obj_label,masked_sentence,masked_sentence_roberta
1941,Peter F Martin (born [MASK]) is an American politician who is a Democratic member of the Rhode Island House of Representatives .,Peter F Martin (born <mask>) is an American politician who is a Democratic member of the Rhode Island House of Representatives .
1982,Maria Pilar Romero (born 22 May [MASK]) is a team handball player from Argentina .,Maria Pilar Romero (born 22 May <mask>) is a team handball player from Argentina .
1977,Federico Falco is an Argentinian writer born in [MASK] .,Federico Falco is an Argentinian writer born in <mask> .
1988,"Tan Jiexi (born December 2, [MASK] in Shenzhen,China), is a Chinese singer-songwriter debuted in 2010 after wining the fourth place at the 2010 Happy Boy singing competition .","Tan Jiexi (born December 2, <mask> in Shenzhen,China), is a Chinese singer-songwriter debuted in 2010 after wining the fourth place at the 2010 Happy Boy singing competition ."
1944,David Carrier (born [MASK]) is an American philosopher and art and culture critic .,David Carrier (born <mask>) is an American philosopher and art and culture critic .
1953,"Michael Hintze (b. c [MASK]) is an Australian/British businessman, philanthropist and political patron, based in the United Kingdom .","Michael Hintze (b. c <mask>) is an Australian/British businessman, philanthropist and political patron, based in the United Kingdom ."
1927,"Sullivan was born in Chippewa Falls, Wisconsin in [MASK] .","Sullivan was born in Chippewa Falls, Wisconsin in <mask> ."
1945,"Thomas Wilkinson Coppola (better known as Tom Coppola) (June 6, [MASK]) is a pianist and arranger, known for being a principal member of the group Air .","Thomas Wilkinson Coppola (better known as Tom Coppola) (June 6, <mask>) is a pianist and arranger, known for being a principal member of the group Air ."
1947,"Ismael Ahmed was born in Brooklyn, New York in [MASK] .","Ismael Ahmed was born in Brooklyn, New York in <mask> ."
1968,"François Letellier (aka FLet), born [MASK], is a French proponent of free/open source software as a major means of innovation in the software industry .","François Letellier (aka FLet), born <mask>, is a French proponent of free/open source software as a major means of innovation in the software industry ."
1991,"Gregor Breinburg (born 16 September, [MASK] in Arnhem) is a Dutch footballer who plays as a midfielder for De Graafschap .","Gregor Breinburg (born 16 September, <mask> in Arnhem) is a Dutch footballer who plays as a midfielder for De Graafschap ."
1860,"William Anderson (born c [MASK], deceased) was a Scottish international footballer who played as a right winger .","William Anderson (born c <mask>, deceased) was a Scottish international footballer who played as a right winger ."
1987,"Cornelia Travnicek (born [MASK] in St Pölten, Lower Austria) is an Austrian writer who has published several books and stories .","Cornelia Travnicek (born <mask> in St Pölten, Lower Austria) is an Austrian writer who has published several books and stories ."
1956,"Steve Lindsey (born May, 6th [MASK]) is an American record producer, song writer music publisher and music industry executive .","Steve Lindsey (born May, 6th <mask>) is an American record producer, song writer music publisher and music industry executive ."
1826,Neroutsos was born in Athens in [MASK] to a wealthy family .,Neroutsos was born in Athens in <mask> to a wealthy family .
1991,"Cartrain (born [MASK]?) , often stylised cartяain, is a British artist associated with the graffiti urban art movement .","Cartrain (born <mask>?) , often stylised cartяain, is a British artist associated with the graffiti urban art movement ."
1870,"Aloys Pennarini, also spelled Alois Pennarini, was born Aloys Federler on June 27, [MASK] in Vienna, Austria-Hungary .","Aloys Pennarini, also spelled Alois Pennarini, was born Aloys Federler on June 27, <mask> in Vienna, Austria-Hungary ."
1948,"Allan Alcorn (born January 1, [MASK] in San Francisco) is an American pioneering engineer and computer scientist .","Allan Alcorn (born January 1, <mask> in San Francisco) is an American pioneering engineer and computer scientist ."
1948,"Karam was born on September 16, [MASK], in Lebanon .","Karam was born on September 16, <mask>, in Lebanon ."
1941,"Eldon Coombe (born c [MASK]) is a Canadian curler from Ottawa, Canada .","Eldon Coombe (born c <mask>) is a Canadian curler from Ottawa, Canada ."
1822,"Franz Joseph Lauth ( b 18 February [MASK] in Arzheim,now a suburb of Landau, d 11 February 1895 in Munich), was a German Egyptologist .","Franz Joseph Lauth ( b 18 February <mask> in Arzheim,now a suburb of Landau, d 11 February 1895 in Munich), was a German Egyptologist ."
1970,"Daniel Bowen, born in [MASK], is a Melbourne resident best known as the author of the blog, Diary of an Average Australian .","Daniel Bowen, born in <mask>, is a Melbourne resident best known as the author of the blog, Diary of an Average Australian ."
1990,"Nikolay Leonidovich Moskalenko (; born January 3, [MASK]) is a Russian professional association football player .","Nikolay Leonidovich Moskalenko (; born January 3, <mask>) is a Russian professional association football player ."
1905,"Ary Sternfeld (* 14 May [MASK] , Sieradz , Poland - † 5 July 1980 , Moscow , Russia ) was co-creator of the modern aerospace science .","Ary Sternfeld (* 14 May <mask> , Sieradz , Poland - † 5 July 1980 , Moscow , Russia ) was co-creator of the modern aerospace science ."
1948,"Kome was born in Chicago in [MASK], immigrated to Canada in 1968 .","Kome was born in Chicago in <mask>, immigrated to Canada in 1968 ."
1946,"Curley was born on October 25, [MASK] in Milwaukee, Wisconsin .","Curley was born on October 25, <mask> in Milwaukee, Wisconsin ."
1976,Eloyan was born in Syria and immigrated to Canada in [MASK] .,Eloyan was born in Syria and immigrated to Canada in <mask> .
1966,Brendan Gamble born [MASK] is an American singer-songwriter .,Brendan Gamble born <mask> is an American singer-songwriter .
