,answers,original,parrot_0,parrot_1,parrot_2
0,alexandra,"[{'token': 'melbourne', 'score': 0.439}, {'token': 'sydney', 'score': 0.306}, {'token': 'brisbane', 'score': 0.058}, {'token': 'adelaide', 'score': 0.053}, {'token': 'perth', 'score': 0.051}, {'token': 'canberra', 'score': 0.018}, {'token': 'victoria', 'score': 0.012}, {'token': 'geelong', 'score': 0.011}, {'token': 'queensland', 'score': 0.006}, {'token': 'tasmania', 'score': 0.003}, {'token': 'hobart', 'score': 0.002}, {'token': 'newcastle', 'score': 0.002}, {'token': 'ipswich', 'score': 0.002}, {'token': 'townsville', 'score': 0.001}, {'token': 'griffith', 'score': 0.001}]","[{'token': 'france', 'score': 0.997}, {'token': 'korea', 'score': 0.001}, {'token': 'taiwan', 'score': 0.0}, {'token': 'paris', 'score': 0.0}, {'token': 'hokkaido', 'score': 0.0}, {'token': 'berlin', 'score': 0.0}, {'token': 'yorkshire', 'score': 0.0}, {'token': 'la', 'score': 0.0}, {'token': 'california', 'score': 0.0}, {'token': 'europe', 'score': 0.0}, {'token': 'mer', 'score': 0.0}, {'token': 'luxembourg', 'score': 0.0}, {'token': 'america', 'score': 0.0}, {'token': 'japan', 'score': 0.0}, {'token': 'germany', 'score': 0.0}]","[{'token': 'france', 'score': 0.998}, {'token': 'korea', 'score': 0.001}, {'token': 'taiwan', 'score': 0.0}, {'token': 'yorkshire', 'score': 0.0}, {'token': 'hokkaido', 'score': 0.0}, {'token': 'paris', 'score': 0.0}, {'token': 'europe', 'score': 0.0}, {'token': 'california', 'score': 0.0}, {'token': 'mer', 'score': 0.0}, {'token': 'berlin', 'score': 0.0}, {'token': 'germany', 'score': 0.0}, {'token': 'japan', 'score': 0.0}, {'token': 'la', 'score': 0.0}, {'token': 'luxembourg', 'score': 0.0}, {'token': 'america', 'score': 0.0}]",
1,doncaster,"[{'token': 'own', 'score': 0.241}, {'token': 'previous', 'score': 0.188}, {'token': 'old', 'score': 0.145}, {'token': 'former', 'score': 0.126}, {'token': 'home', 'score': 0.077}, {'token': 'original', 'score': 0.035}, {'token': 'local', 'score': 0.016}, {'token': 'parliamentary', 'score': 0.015}, {'token': 'earlier', 'score': 0.015}, {'token': 'constituency', 'score': 0.012}, {'token': 'new', 'score': 0.006}, {'token': 'birmingham', 'score': 0.004}, {'token': 'last', 'score': 0.003}, {'token': 'county', 'score': 0.003}, {'token': 'native', 'score': 0.003}]","[{'token': 'birmingham', 'score': 0.033}, {'token': 'reading', 'score': 0.023}, {'token': 'liverpool', 'score': 0.017}, {'token': 'coventry', 'score': 0.016}, {'token': 'northampton', 'score': 0.015}, {'token': 'ipswich', 'score': 0.014}, {'token': 'peterborough', 'score': 0.014}, {'token': 'preston', 'score': 0.013}, {'token': 'bath', 'score': 0.013}, {'token': 'sheffield', 'score': 0.013}, {'token': 'manchester', 'score': 0.012}, {'token': 'wolverhampton', 'score': 0.012}, {'token': 'taunton', 'score': 0.012}, {'token': 'harrow', 'score': 0.011}, {'token': 'luton', 'score': 0.011}]",,"[{'token': 'own', 'score': 0.326}, {'token': 'old', 'score': 0.11}, {'token': 'former', 'score': 0.106}, {'token': 'previous', 'score': 0.105}, {'token': 'home', 'score': 0.077}, {'token': 'parliamentary', 'score': 0.039}, {'token': 'original', 'score': 0.026}, {'token': 'constituency', 'score': 0.019}, {'token': 'local', 'score': 0.018}, {'token': 'birmingham', 'score': 0.01}, {'token': 'earlier', 'score': 0.01}, {'token': 'new', 'score': 0.006}, {'token': 'london', 'score': 0.005}, {'token': 'county', 'score': 0.005}, {'token': 'native', 'score': 0.005}]"
2,scotland,"[{'token': 'australian', 'score': 0.311}, {'token': 'canadian', 'score': 0.179}, {'token': 'american', 'score': 0.12}, {'token': 'folk', 'score': 0.055}, {'token': 'english', 'score': 0.053}, {'token': 'british', 'score': 0.048}, {'token': 'irish', 'score': 0.035}, {'token': 'scottish', 'score': 0.022}, {'token': 'welsh', 'score': 0.016}, {'token': 'jazz', 'score': 0.016}, {'token': 'the', 'score': 0.015}, {'token': 'blues', 'score': 0.013}, {'token': 'rock', 'score': 0.01}, {'token': 'electronic', 'score': 0.004}, {'token': 'country', 'score': 0.004}]",,,
3,toronto,"[{'token': 'jazz', 'score': 0.386}, {'token': 'america', 'score': 0.28}, {'token': 'canada', 'score': 0.105}, {'token': 'today', 'score': 0.07}, {'token': 'chicago', 'score': 0.015}, {'token': 'music', 'score': 0.014}, {'token': 'australia', 'score': 0.01}, {'token': 'nyc', 'score': 0.009}, {'token': 'country', 'score': 0.006}, {'token': 'europe', 'score': 0.005}, {'token': 'california', 'score': 0.005}, {'token': 'rock', 'score': 0.004}, {'token': 'hollywood', 'score': 0.003}, {'token': 'israel', 'score': 0.003}, {'token': 'nashville', 'score': 0.003}]","[{'token': 'jazz', 'score': 0.729}, {'token': 'america', 'score': 0.127}, {'token': 'today', 'score': 0.029}, {'token': 'canada', 'score': 0.023}, {'token': 'music', 'score': 0.015}, {'token': 'rock', 'score': 0.009}, {'token': 'chicago', 'score': 0.005}, {'token': 'country', 'score': 0.005}, {'token': 'hollywood', 'score': 0.003}, {'token': 'nyc', 'score': 0.003}, {'token': 'bluegrass', 'score': 0.003}, {'token': 'australia', 'score': 0.002}, {'token': 'broadway', 'score': 0.002}, {'token': 'swing', 'score': 0.001}, {'token': 'europe', 'score': 0.001}]","[{'token': 'jazz', 'score': 0.482}, {'token': 'america', 'score': 0.2}, {'token': 'today', 'score': 0.105}, {'token': 'canada', 'score': 0.076}, {'token': 'music', 'score': 0.014}, {'token': 'chicago', 'score': 0.011}, {'token': 'europe', 'score': 0.009}, {'token': 'australia', 'score': 0.008}, {'token': 'nyc', 'score': 0.007}, {'token': 'rock', 'score': 0.005}, {'token': 'country', 'score': 0.004}, {'token': 'israel', 'score': 0.004}, {'token': 'california', 'score': 0.003}, {'token': 'hollywood', 'score': 0.002}, {'token': 'japan', 'score': 0.002}]","[{'token': 'jazz', 'score': 0.413}, {'token': 'america', 'score': 0.261}, {'token': 'today', 'score': 0.103}, {'token': 'canada', 'score': 0.078}, {'token': 'music', 'score': 0.021}, {'token': 'chicago', 'score': 0.01}, {'token': 'nyc', 'score': 0.009}, {'token': 'australia', 'score': 0.007}, {'token': 'country', 'score': 0.006}, {'token': 'rock', 'score': 0.005}, {'token': 'europe', 'score': 0.005}, {'token': 'israel', 'score': 0.004}, {'token': 'california', 'score': 0.003}, {'token': 'hollywood', 'score': 0.003}, {'token': 'bluegrass', 'score': 0.002}]"
4,vienna,"[{'token': 'vienna', 'score': 0.831}, {'token': 'graz', 'score': 0.077}, {'token': 'innsbruck', 'score': 0.033}, {'token': 'salzburg', 'score': 0.023}, {'token': 'munich', 'score': 0.006}, {'token': 'austria', 'score': 0.005}, {'token': 'wien', 'score': 0.005}, {'token': 'budapest', 'score': 0.003}, {'token': 'prague', 'score': 0.001}, {'token': 'zagreb', 'score': 0.001}, {'token': 'berlin', 'score': 0.001}, {'token': 'trieste', 'score': 0.001}, {'token': 'dresden', 'score': 0.001}, {'token': 'stuttgart', 'score': 0.001}, {'token': 'wiener', 'score': 0.001}]","[{'token': 'vienna', 'score': 0.775}, {'token': 'graz', 'score': 0.073}, {'token': 'innsbruck', 'score': 0.057}, {'token': 'salzburg', 'score': 0.052}, {'token': 'wien', 'score': 0.008}, {'token': 'austria', 'score': 0.007}, {'token': 'munich', 'score': 0.005}, {'token': 'budapest', 'score': 0.003}, {'token': 'prague', 'score': 0.001}, {'token': 'tyrol', 'score': 0.001}, {'token': 'augsburg', 'score': 0.001}, {'token': 'zagreb', 'score': 0.001}, {'token': 'trieste', 'score': 0.001}, {'token': 'wiener', 'score': 0.001}, {'token': 'stuttgart', 'score': 0.001}]",,
5,paris,"[{'token': 'paris', 'score': 0.685}, {'token': 'lyon', 'score': 0.04}, {'token': 'marseille', 'score': 0.032}, {'token': 'bordeaux', 'score': 0.026}, {'token': 'versailles', 'score': 0.019}, {'token': 'metz', 'score': 0.012}, {'token': 'toulouse', 'score': 0.011}, {'token': 'nantes', 'score': 0.01}, {'token': 'nice', 'score': 0.009}, {'token': 'nancy', 'score': 0.008}, {'token': 'lille', 'score': 0.008}, {'token': 'strasbourg', 'score': 0.007}, {'token': 'toulon', 'score': 0.007}, {'token': 'brussels', 'score': 0.006}, {'token': 'rouen', 'score': 0.006}]",,,
6,yokohama,"[{'token': 'tokyo', 'score': 0.787}, {'token': 'osaka', 'score': 0.085}, {'token': 'kobe', 'score': 0.018}, {'token': 'hokkaido', 'score': 0.016}, {'token': 'kyoto', 'score': 0.015}, {'token': 'yokohama', 'score': 0.01}, {'token': 'chiba', 'score': 0.009}, {'token': 'nagoya', 'score': 0.008}, {'token': 'japan', 'score': 0.008}, {'token': 'okinawa', 'score': 0.008}, {'token': 'hiroshima', 'score': 0.006}, {'token': 'fukuoka', 'score': 0.006}, {'token': 'nara', 'score': 0.005}, {'token': 'nagasaki', 'score': 0.003}, {'token': 'kochi', 'score': 0.001}]",,,
7,antwerp,"[{'token': 'paris', 'score': 0.057}, {'token': 'died', 'score': 0.036}, {'token': 'amsterdam', 'score': 0.036}, {'token': '-', 'score': 0.035}, {'token': 'holland', 'score': 0.033}, {'token': 'hague', 'score': 0.028}, {'token': 'brussels', 'score': 0.02}, {'token': 'london', 'score': 0.018}, {'token': '?', 'score': 0.014}, {'token': ')', 'score': 0.012}, {'token': 'leiden', 'score': 0.011}, {'token': 'stockholm', 'score': 0.01}, {'token': 'parchment', 'score': 0.008}, {'token': 'dutch', 'score': 0.007}, {'token': 'netherlands', 'score': 0.007}]",,,
8,barcelona,"[{'token': 'madrid', 'score': 0.496}, {'token': 'barcelona', 'score': 0.225}, {'token': 'spain', 'score': 0.085}, {'token': 'seville', 'score': 0.019}, {'token': 'bilbao', 'score': 0.016}, {'token': 'salamanca', 'score': 0.015}, {'token': 'toledo', 'score': 0.015}, {'token': 'zaragoza', 'score': 0.014}, {'token': 'valencia', 'score': 0.012}, {'token': 'cadiz', 'score': 0.01}, {'token': 'malaga', 'score': 0.01}, {'token': 'lisbon', 'score': 0.006}, {'token': 'sevilla', 'score': 0.005}, {'token': 'cordoba', 'score': 0.005}, {'token': 'rome', 'score': 0.003}]",,,
9,rome,"[{'token': 'rome', 'score': 0.335}, {'token': 'milan', 'score': 0.13}, {'token': 'naples', 'score': 0.073}, {'token': 'genoa', 'score': 0.058}, {'token': 'florence', 'score': 0.043}, {'token': 'bologna', 'score': 0.042}, {'token': 'turin', 'score': 0.041}, {'token': 'verona', 'score': 0.03}, {'token': 'bari', 'score': 0.028}, {'token': 'palermo', 'score': 0.027}, {'token': 'pisa', 'score': 0.024}, {'token': 'parma', 'score': 0.019}, {'token': 'siena', 'score': 0.014}, {'token': 'como', 'score': 0.012}, {'token': 'venice', 'score': 0.012}]",,,
