,answers,original,parrot_0,parrot_1,parrot_2
0,baku,"[{'token': 'baku', 'score': 0.999}, {'token': 'tbilisi', 'score': 0.001}, {'token': 'azerbaijan', 'score': 0.0}, {'token': 'van', 'score': 0.0}, {'token': 'caspian', 'score': 0.0}, {'token': 'yerevan', 'score': 0.0}, {'token': 'ur', 'score': 0.0}, {'token': 'mug', 'score': 0.0}, {'token': 'caucasian', 'score': 0.0}, {'token': 'constantinople', 'score': 0.0}, {'token': 'helsinki', 'score': 0.0}, {'token': 'bar', 'score': 0.0}, {'token': 'sur', 'score': 0.0}, {'token': 'david', 'score': 0.0}, {'token': 'mari', 'score': 0.0}]","[{'token': 'world', 'score': 0.909}, {'token': 'country', 'score': 0.048}, {'token': 'region', 'score': 0.019}, {'token': 'nation', 'score': 0.011}, {'token': 'caucasus', 'score': 0.006}, {'token': 'ussr', 'score': 0.002}, {'token': 'state', 'score': 0.001}, {'token': 'caspian', 'score': 0.001}, {'token': 'area', 'score': 0.001}, {'token': 'azerbaijan', 'score': 0.001}, {'token': 'planet', 'score': 0.0}, {'token': 'city', 'score': 0.0}, {'token': 'gulf', 'score': 0.0}, {'token': 'iran', 'score': 0.0}, {'token': 'west', 'score': 0.0}]","[{'token': 'world', 'score': 0.872}, {'token': 'country', 'score': 0.065}, {'token': 'region', 'score': 0.033}, {'token': 'nation', 'score': 0.012}, {'token': 'caucasus', 'score': 0.009}, {'token': 'ussr', 'score': 0.002}, {'token': 'state', 'score': 0.001}, {'token': 'area', 'score': 0.001}, {'token': 'caspian', 'score': 0.001}, {'token': 'planet', 'score': 0.0}, {'token': 'azerbaijan', 'score': 0.0}, {'token': 'city', 'score': 0.0}, {'token': 'gulf', 'score': 0.0}, {'token': 'peninsula', 'score': 0.0}, {'token': 'continent', 'score': 0.0}]",
1,brody,"[{'token': 'brody', 'score': 0.999}, {'token': 'lviv', 'score': 0.0}, {'token': 'the', 'score': 0.0}, {'token': 'donetsk', 'score': 0.0}, {'token': 'bar', 'score': 0.0}, {'token': 'kiev', 'score': 0.0}, {'token': 'odessa', 'score': 0.0}, {'token': 'tor', 'score': 0.0}, {'token': 'triangle', 'score': 0.0}, {'token': 'aba', 'score': 0.0}, {'token': 'minsk', 'score': 0.0}, {'token': 'marian', 'score': 0.0}, {'token': 'bender', 'score': 0.0}, {'token': 'brest', 'score': 0.0}, {'token': 'tis', 'score': 0.0}]",,,
2,chicago,"[{'token': 'it', 'score': 0.634}, {'token': 'chicago', 'score': 0.353}, {'token': 'decatur', 'score': 0.002}, {'token': 'cicero', 'score': 0.001}, {'token': 'aurora', 'score': 0.001}, {'token': 'harvey', 'score': 0.0}, {'token': 'downtown', 'score': 0.0}, {'token': 'milwaukee', 'score': 0.0}, {'token': 'batavia', 'score': 0.0}, {'token': 'and', 'score': 0.0}, {'token': 'seattle', 'score': 0.0}, {'token': 'springfield', 'score': 0.0}, {'token': 'illinois', 'score': 0.0}, {'token': 'metropolis', 'score': 0.0}, {'token': 'appleton', 'score': 0.0}]","[{'token': 'it', 'score': 0.455}, {'token': 'chicago', 'score': 0.218}, {'token': 'cicero', 'score': 0.056}, {'token': 'aurora', 'score': 0.019}, {'token': 'elgin', 'score': 0.015}, {'token': 'barrington', 'score': 0.01}, {'token': 'harvey', 'score': 0.01}, {'token': 'decatur', 'score': 0.009}, {'token': 'batavia', 'score': 0.006}, {'token': 'morton', 'score': 0.006}, {'token': 'dwight', 'score': 0.006}, {'token': 'midway', 'score': 0.004}, {'token': 'normal', 'score': 0.003}, {'token': 'metropolis', 'score': 0.003}, {'token': 'northwestern', 'score': 0.003}]",,
3,richmond,"[{'token': 'dallas', 'score': 0.332}, {'token': 'houston', 'score': 0.183}, {'token': 'austin', 'score': 0.088}, {'token': 'galveston', 'score': 0.042}, {'token': 'beaumont', 'score': 0.025}, {'token': 'tyler', 'score': 0.013}, {'token': 'midland', 'score': 0.01}, {'token': 'odessa', 'score': 0.009}, {'token': 'victoria', 'score': 0.008}, {'token': 'arlington', 'score': 0.005}, {'token': 'pasadena', 'score': 0.005}, {'token': 'bryan', 'score': 0.004}, {'token': 'irving', 'score': 0.004}, {'token': 'shreveport', 'score': 0.004}, {'token': 'texas', 'score': 0.004}]","[{'token': 'dallas', 'score': 0.133}, {'token': 'austin', 'score': 0.094}, {'token': 'houston', 'score': 0.08}, {'token': 'fargo', 'score': 0.042}, {'token': 'gary', 'score': 0.024}, {'token': 'galveston', 'score': 0.021}, {'token': 'beaumont', 'score': 0.013}, {'token': 'midland', 'score': 0.01}, {'token': 'anderson', 'score': 0.01}, {'token': 'jamestown', 'score': 0.01}, {'token': 'bend', 'score': 0.009}, {'token': 'commerce', 'score': 0.009}, {'token': 'jasper', 'score': 0.009}, {'token': 'rochester', 'score': 0.008}, {'token': 'marshall', 'score': 0.007}]",,
4,auburn,"[{'token': 'albany', 'score': 0.616}, {'token': 'syracuse', 'score': 0.143}, {'token': 'buffalo', 'score': 0.044}, {'token': 'auburn', 'score': 0.038}, {'token': 'rochester', 'score': 0.014}, {'token': 'brooklyn', 'score': 0.013}, {'token': 'ithaca', 'score': 0.009}, {'token': 'rome', 'score': 0.007}, {'token': 'geneva', 'score': 0.005}, {'token': 'saratoga', 'score': 0.005}, {'token': 'troy', 'score': 0.005}, {'token': 'ny', 'score': 0.004}, {'token': 'ontario', 'score': 0.004}, {'token': 'clinton', 'score': 0.003}, {'token': 'batavia', 'score': 0.003}]",,,
5,windsor,"[{'token': 'sydney', 'score': 0.716}, {'token': 'nsw', 'score': 0.148}, {'token': 'victoria', 'score': 0.085}, {'token': 'queensland', 'score': 0.02}, {'token': 'melbourne', 'score': 0.003}, {'token': 'newcastle', 'score': 0.003}, {'token': 'hawke', 'score': 0.002}, {'token': 'nelson', 'score': 0.002}, {'token': 'parramatta', 'score': 0.002}, {'token': 'tasmania', 'score': 0.001}, {'token': 'liverpool', 'score': 0.001}, {'token': 'cumberland', 'score': 0.001}, {'token': 'adelaide', 'score': 0.001}, {'token': 'bathurst', 'score': 0.001}, {'token': 'brisbane', 'score': 0.001}]","[{'token': 'south', 'score': 0.542}, {'token': 'western', 'score': 0.413}, {'token': 'sydney', 'score': 0.029}, {'token': 'west', 'score': 0.004}, {'token': 'nsw', 'score': 0.002}, {'token': 'colonial', 'score': 0.002}, {'token': 'eastern', 'score': 0.001}, {'token': 'southern', 'score': 0.001}, {'token': 'central', 'score': 0.001}, {'token': 'northern', 'score': 0.001}, {'token': 'british', 'score': 0.001}, {'token': 'queensland', 'score': 0.0}, {'token': 'victorian', 'score': 0.0}, {'token': 'rural', 'score': 0.0}, {'token': 'north', 'score': 0.0}]","[{'token': 'south', 'score': 0.506}, {'token': 'western', 'score': 0.474}, {'token': 'sydney', 'score': 0.011}, {'token': 'west', 'score': 0.004}, {'token': 'nsw', 'score': 0.002}, {'token': 'central', 'score': 0.001}, {'token': 'southern', 'score': 0.0}, {'token': 'queensland', 'score': 0.0}, {'token': 'eastern', 'score': 0.0}, {'token': 'northern', 'score': 0.0}, {'token': 'british', 'score': 0.0}, {'token': 'rural', 'score': 0.0}, {'token': 'victorian', 'score': 0.0}, {'token': 'north', 'score': 0.0}, {'token': 'colonial', 'score': 0.0}]","[{'token': 'western', 'score': 0.513}, {'token': 'south', 'score': 0.458}, {'token': 'sydney', 'score': 0.018}, {'token': 'west', 'score': 0.004}, {'token': 'nsw', 'score': 0.002}, {'token': 'central', 'score': 0.001}, {'token': 'eastern', 'score': 0.001}, {'token': 'southern', 'score': 0.001}, {'token': 'british', 'score': 0.0}, {'token': 'queensland', 'score': 0.0}, {'token': 'northern', 'score': 0.0}, {'token': 'colonial', 'score': 0.0}, {'token': 'rural', 'score': 0.0}, {'token': 'inland', 'score': 0.0}, {'token': 'north', 'score': 0.0}]"
6,strasbourg,"[{'token': 'strasbourg', 'score': 0.944}, {'token': 'paris', 'score': 0.017}, {'token': 'metz', 'score': 0.016}, {'token': 'alsace', 'score': 0.01}, {'token': 'nancy', 'score': 0.009}, {'token': 'lyon', 'score': 0.0}, {'token': 'luxembourg', 'score': 0.0}, {'token': 'versailles', 'score': 0.0}, {'token': 'aachen', 'score': 0.0}, {'token': 'aix', 'score': 0.0}, {'token': 'lorraine', 'score': 0.0}, {'token': 'brussels', 'score': 0.0}, {'token': 'france', 'score': 0.0}, {'token': 'sedan', 'score': 0.0}, {'token': 'lille', 'score': 0.0}]",,,
7,shreveport,"[{'token': 'louisiana', 'score': 0.301}, {'token': '.', 'score': 0.165}, {'token': ',', 'score': 0.129}, {'token': ']', 'score': 0.1}, {'token': '...', 'score': 0.048}, {'token': 'usa', 'score': 0.048}, {'token': 'la', 'score': 0.04}, {'token': '-', 'score': 0.032}, {'token': 'texas', 'score': 0.014}, {'token': ')', 'score': 0.01}, {'token': 'shreveport', 'score': 0.01}, {'token': 'arkansas', 'score': 0.009}, {'token': ';', 'score': 0.008}, {'token': 'in', 'score': 0.005}, {'token': 'parish', 'score': 0.004}]",,,
8,lincoln,"[{'token': 'nebraska', 'score': 0.965}, {'token': 'omaha', 'score': 0.006}, {'token': 'ohio', 'score': 0.003}, {'token': 'iowa', 'score': 0.003}, {'token': 'oklahoma', 'score': 0.003}, {'token': 'california', 'score': 0.002}, {'token': 'colorado', 'score': 0.002}, {'token': 'kansas', 'score': 0.002}, {'token': 'illinois', 'score': 0.001}, {'token': 'texas', 'score': 0.001}, {'token': 'kentucky', 'score': 0.001}, {'token': 'wisconsin', 'score': 0.001}, {'token': 'louisiana', 'score': 0.001}, {'token': 'minnesota', 'score': 0.001}, {'token': 'utah', 'score': 0.001}]","[{'token': 'the', 'score': 0.559}, {'token': 'nebraska', 'score': 0.311}, {'token': 'ohio', 'score': 0.015}, {'token': 'oklahoma', 'score': 0.011}, {'token': 'iowa', 'score': 0.01}, {'token': 'california', 'score': 0.009}, {'token': 'omaha', 'score': 0.008}, {'token': 'texas', 'score': 0.008}, {'token': 'kansas', 'score': 0.004}, {'token': 'indiana', 'score': 0.004}, {'token': 'kentucky', 'score': 0.004}, {'token': 'pennsylvania', 'score': 0.003}, {'token': 'midwest', 'score': 0.003}, {'token': 'illinois', 'score': 0.003}, {'token': 'utah', 'score': 0.003}]",,
9,winchester,"[{'token': 'london', 'score': 0.704}, {'token': 'winchester', 'score': 0.11}, {'token': 'southampton', 'score': 0.055}, {'token': 'portsmouth', 'score': 0.039}, {'token': 'whitehall', 'score': 0.014}, {'token': 'westminster', 'score': 0.01}, {'token': 'melbourne', 'score': 0.01}, {'token': 'manchester', 'score': 0.009}, {'token': 'oxford', 'score': 0.007}, {'token': 'richmond', 'score': 0.005}, {'token': 'dublin', 'score': 0.005}, {'token': 'exeter', 'score': 0.003}, {'token': 'wellington', 'score': 0.003}, {'token': 'cambridge', 'score': 0.003}, {'token': 'concord', 'score': 0.002}]",,,
