,answers,original,parrot_0,parrot_1,parrot_2
0,brazil,"[{'token': 'ferrari', 'score': 0.368}, {'token': 'argentina', 'score': 0.148}, {'token': 'spain', 'score': 0.103}, {'token': 'renault', 'score': 0.062}, {'token': 'brazil', 'score': 0.049}, {'token': 'mclaren', 'score': 0.026}, {'token': 'italy', 'score': 0.023}, {'token': 'barcelona', 'score': 0.016}, {'token': 'colombia', 'score': 0.015}, {'token': 'mexico', 'score': 0.015}, {'token': 'honda', 'score': 0.014}, {'token': 'mercedes', 'score': 0.011}, {'token': 'toyota', 'score': 0.009}, {'token': 'williams', 'score': 0.006}, {'token': 'chevrolet', 'score': 0.006}]","[{'token': 'argentina', 'score': 0.36}, {'token': 'ferrari', 'score': 0.238}, {'token': 'spain', 'score': 0.12}, {'token': 'italy', 'score': 0.097}, {'token': 'brazil', 'score': 0.065}, {'token': 'switzerland', 'score': 0.014}, {'token': 'renault', 'score': 0.01}, {'token': 'mclaren', 'score': 0.007}, {'token': 'mexico', 'score': 0.006}, {'token': 'colombia', 'score': 0.006}, {'token': 'mercedes', 'score': 0.005}, {'token': 'portugal', 'score': 0.005}, {'token': 'jordan', 'score': 0.004}, {'token': 'barcelona', 'score': 0.004}, {'token': 'uruguay', 'score': 0.003}]",,
1,france,"[{'token': 'french', 'score': 0.999}, {'token': 'belgian', 'score': 0.0}, {'token': 'swiss', 'score': 0.0}, {'token': 'france', 'score': 0.0}, {'token': 'canadian', 'score': 0.0}, {'token': 'parisian', 'score': 0.0}, {'token': 'british', 'score': 0.0}, {'token': 'german', 'score': 0.0}, {'token': 'film', 'score': 0.0}, {'token': 'noted', 'score': 0.0}, {'token': 'quebec', 'score': 0.0}, {'token': 'prolific', 'score': 0.0}, {'token': 'breton', 'score': 0.0}, {'token': 'paris', 'score': 0.0}, {'token': 'haitian', 'score': 0.0}]",,,
2,estonia,"[{'token': 'estonian', 'score': 0.961}, {'token': 'latvian', 'score': 0.017}, {'token': 'russian', 'score': 0.002}, {'token': 'soviet', 'score': 0.002}, {'token': 'lithuanian', 'score': 0.001}, {'token': 'finnish', 'score': 0.001}, {'token': 'czech', 'score': 0.001}, {'token': 'belarusian', 'score': 0.001}, {'token': 'socialist', 'score': 0.001}, {'token': 'german', 'score': 0.001}, {'token': 'estonia', 'score': 0.001}, {'token': 'danish', 'score': 0.001}, {'token': 'yiddish', 'score': 0.0}, {'token': 'georgian', 'score': 0.0}, {'token': 'norwegian', 'score': 0.0}]",,,
3,denmark,"[{'token': 'denmark', 'score': 0.988}, {'token': 'sweden', 'score': 0.004}, {'token': 'belgium', 'score': 0.001}, {'token': 'greece', 'score': 0.001}, {'token': 'zealand', 'score': 0.001}, {'token': 'monaco', 'score': 0.001}, {'token': 'norway', 'score': 0.001}, {'token': 'hanover', 'score': 0.0}, {'token': 'baden', 'score': 0.0}, {'token': 'yugoslavia', 'score': 0.0}, {'token': 'savoy', 'score': 0.0}, {'token': 'prussia', 'score': 0.0}, {'token': 'bulgaria', 'score': 0.0}, {'token': 'luxembourg', 'score': 0.0}, {'token': 'saxony', 'score': 0.0}]",,,
4,denmark,"[{'token': 'norwegian', 'score': 0.326}, {'token': 'danish', 'score': 0.136}, {'token': 'british', 'score': 0.119}, {'token': 'swedish', 'score': 0.06}, {'token': 'german', 'score': 0.054}, {'token': 'dutch', 'score': 0.039}, {'token': 'french', 'score': 0.027}, {'token': 'canadian', 'score': 0.024}, {'token': 'malaysian', 'score': 0.02}, {'token': 'welsh', 'score': 0.017}, {'token': 'brazilian', 'score': 0.016}, {'token': 'ghanaian', 'score': 0.016}, {'token': 'finnish', 'score': 0.014}, {'token': 'japanese', 'score': 0.012}, {'token': 'belgian', 'score': 0.009}]",,,
5,sweden,"[{'token': 'swedish', 'score': 0.992}, {'token': 'danish', 'score': 0.006}, {'token': 'finnish', 'score': 0.001}, {'token': 'norwegian', 'score': 0.001}, {'token': 'german', 'score': 0.0}, {'token': 'scandinavian', 'score': 0.0}, {'token': 'sweden', 'score': 0.0}, {'token': 'chilean', 'score': 0.0}, {'token': 'nordic', 'score': 0.0}, {'token': 'dutch', 'score': 0.0}, {'token': 'british', 'score': 0.0}, {'token': 'belgian', 'score': 0.0}, {'token': 'polish', 'score': 0.0}, {'token': 'portuguese', 'score': 0.0}, {'token': 'brazilian', 'score': 0.0}]",,,
6,india,"[{'token': 'india', 'score': 0.998}, {'token': 'bangladesh', 'score': 0.001}, {'token': 'pakistan', 'score': 0.0}, {'token': 'indian', 'score': 0.0}, {'token': 'bengal', 'score': 0.0}, {'token': 'england', 'score': 0.0}, {'token': 'australia', 'score': 0.0}, {'token': 'canada', 'score': 0.0}, {'token': 'china', 'score': 0.0}, {'token': 'nepal', 'score': 0.0}, {'token': 'indians', 'score': 0.0}, {'token': 'govt', 'score': 0.0}, {'token': 'calcutta', 'score': 0.0}, {'token': 'africa', 'score': 0.0}, {'token': 'malaysia', 'score': 0.0}]",,,
7,japan,"[{'token': 'japan', 'score': 0.999}, {'token': 'japanese', 'score': 0.0}, {'token': 'taiwan', 'score': 0.0}, {'token': 'tokyo', 'score': 0.0}, {'token': 'thailand', 'score': 0.0}, {'token': 'indonesia', 'score': 0.0}, {'token': 'australia', 'score': 0.0}, {'token': 'india', 'score': 0.0}, {'token': 'nippon', 'score': 0.0}, {'token': 'hokkaido', 'score': 0.0}, {'token': 'brazil', 'score': 0.0}, {'token': 'peru', 'score': 0.0}, {'token': 'fukuoka', 'score': 0.0}, {'token': 'asia', 'score': 0.0}, {'token': 'china', 'score': 0.0}]",,,
8,canada,"[{'token': 'canada', 'score': 0.92}, {'token': 'ontario', 'score': 0.025}, {'token': 'australia', 'score': 0.021}, {'token': 'alberta', 'score': 0.011}, {'token': 'victoria', 'score': 0.005}, {'token': 'manitoba', 'score': 0.003}, {'token': 'bc', 'score': 0.003}, {'token': 'saskatchewan', 'score': 0.001}, {'token': 'newfoundland', 'score': 0.001}, {'token': 'queensland', 'score': 0.001}, {'token': 'britain', 'score': 0.001}, {'token': 'ottawa', 'score': 0.0}, {'token': 'quebec', 'score': 0.0}, {'token': 'history', 'score': 0.0}, {'token': 'america', 'score': 0.0}]","[{'token': 'canada', 'score': 0.632}, {'token': 'australia', 'score': 0.273}, {'token': 'victoria', 'score': 0.035}, {'token': 'ontario', 'score': 0.018}, {'token': 'alberta', 'score': 0.011}, {'token': 'queensland', 'score': 0.008}, {'token': 'bc', 'score': 0.003}, {'token': 'tasmania', 'score': 0.003}, {'token': 'manitoba', 'score': 0.002}, {'token': 'britain', 'score': 0.002}, {'token': 'saskatchewan', 'score': 0.001}, {'token': 'nsw', 'score': 0.001}, {'token': 'england', 'score': 0.0}, {'token': 'india', 'score': 0.0}, {'token': 'history', 'score': 0.0}]","[{'token': 'canada', 'score': 0.916}, {'token': 'australia', 'score': 0.03}, {'token': 'ontario', 'score': 0.027}, {'token': 'alberta', 'score': 0.009}, {'token': 'victoria', 'score': 0.006}, {'token': 'bc', 'score': 0.002}, {'token': 'manitoba', 'score': 0.002}, {'token': 'britain', 'score': 0.001}, {'token': 'queensland', 'score': 0.001}, {'token': 'saskatchewan', 'score': 0.001}, {'token': 'newfoundland', 'score': 0.0}, {'token': 'ottawa', 'score': 0.0}, {'token': 'england', 'score': 0.0}, {'token': 'history', 'score': 0.0}, {'token': 'tasmania', 'score': 0.0}]",
9,nigeria,"[{'token': 'nigeria', 'score': 0.997}, {'token': 'nigerian', 'score': 0.002}, {'token': 'benin', 'score': 0.0}, {'token': 'lagos', 'score': 0.0}, {'token': 'niger', 'score': 0.0}, {'token': 'liberia', 'score': 0.0}, {'token': 'federation', 'score': 0.0}, {'token': 'ghana', 'score': 0.0}, {'token': 'malaysia', 'score': 0.0}, {'token': 'confederation', 'score': 0.0}, {'token': 'togo', 'score': 0.0}, {'token': 'gabon', 'score': 0.0}, {'token': 'republic', 'score': 0.0}, {'token': 'turkey', 'score': 0.0}, {'token': 'samoa', 'score': 0.0}]",,,
10,denmark,"[{'token': 'danish', 'score': 0.998}, {'token': 'norwegian', 'score': 0.001}, {'token': 'german', 'score': 0.0}, {'token': 'swedish', 'score': 0.0}, {'token': 'danes', 'score': 0.0}, {'token': 'dutch', 'score': 0.0}, {'token': 'latvian', 'score': 0.0}, {'token': 'denmark', 'score': 0.0}, {'token': 'copenhagen', 'score': 0.0}, {'token': 'scandinavian', 'score': 0.0}, {'token': 'contemporary', 'score': 0.0}, {'token': 'greenland', 'score': 0.0}, {'token': 'british', 'score': 0.0}, {'token': 'nordic', 'score': 0.0}, {'token': 'belgian', 'score': 0.0}]",,,
