,answers,original,t5_0,t5_1,t5_2,t5_3
0,urdu,"[{'token': 'urdu', 'score': 0.999}, {'token': 'persian', 'score': 0.0}, {'token': 'arabic', 'score': 0.0}, {'token': 'punjabi', 'score': 0.0}, {'token': 'pakistani', 'score': 0.0}, {'token': 'pakistan', 'score': 0.0}, {'token': 'hindi', 'score': 0.0}, {'token': 'bengali', 'score': 0.0}, {'token': 'english', 'score': 0.0}, {'token': 'chinese', 'score': 0.0}]",,,,
1,italian,"[{'token': 'italian', 'score': 0.994}, {'token': 'argentine', 'score': 0.005}, {'token': 'austrian', 'score': 0.0}, {'token': 'australian', 'score': 0.0}, {'token': 'albanian', 'score': 0.0}, {'token': 'indonesian', 'score': 0.0}, {'token': 'italy', 'score': 0.0}, {'token': 'irish', 'score': 0.0}, {'token': 'uruguayan', 'score': 0.0}, {'token': 'american', 'score': 0.0}]","[{'token': 'italian', 'score': 0.682}, {'token': 'argentine', 'score': 0.065}, {'token': 'austrian', 'score': 0.053}, {'token': 'american', 'score': 0.034}, {'token': 'australian', 'score': 0.03}, {'token': 'engineer', 'score': 0.015}, {'token': 'athlete', 'score': 0.009}, {'token': 'artist', 'score': 0.009}, {'token': 'uruguayan', 'score': 0.009}, {'token': 'israeli', 'score': 0.008}]","[{'token': 'italian', 'score': 0.963}, {'token': 'argentine', 'score': 0.013}, {'token': 'australian', 'score': 0.006}, {'token': 'austrian', 'score': 0.004}, {'token': 'algerian', 'score': 0.002}, {'token': 'american', 'score': 0.002}, {'token': 'uruguayan', 'score': 0.001}, {'token': 'ethiopian', 'score': 0.001}, {'token': 'indonesian', 'score': 0.001}, {'token': 'athlete', 'score': 0.001}]",,
2,finnish,"[{'token': 'finnish', 'score': 0.992}, {'token': 'swedish', 'score': 0.004}, {'token': 'sami', 'score': 0.001}, {'token': 'latvian', 'score': 0.001}, {'token': 'finland', 'score': 0.0}, {'token': 'local', 'score': 0.0}, {'token': 'norwegian', 'score': 0.0}, {'token': 'estonian', 'score': 0.0}, {'token': 'professional', 'score': 0.0}, {'token': 'noted', 'score': 0.0}]","[{'token': 'finnish', 'score': 0.941}, {'token': 'former', 'score': 0.013}, {'token': 'local', 'score': 0.011}, {'token': 'prominent', 'score': 0.006}, {'token': 'veteran', 'score': 0.003}, {'token': 'retired', 'score': 0.003}, {'token': 'finn', 'score': 0.002}, {'token': 'finland', 'score': 0.001}, {'token': 'notable', 'score': 0.001}, {'token': 'noted', 'score': 0.001}]","[{'token': 'finnish', 'score': 0.298}, {'token': 'local', 'score': 0.182}, {'token': 'dairy', 'score': 0.159}, {'token': 'small', 'score': 0.053}, {'token': 'successful', 'score': 0.025}, {'token': 'swedish', 'score': 0.024}, {'token': 'sami', 'score': 0.023}, {'token': 'prominent', 'score': 0.017}, {'token': 'large', 'score': 0.01}, {'token': 'prosperous', 'score': 0.009}]",,
3,spanish,"[{'token': 'spanish', 'score': 0.987}, {'token': 'english', 'score': 0.003}, {'token': 'basque', 'score': 0.002}, {'token': 'french', 'score': 0.002}, {'token': 'portuguese', 'score': 0.002}, {'token': 'arabic', 'score': 0.001}, {'token': 'catalan', 'score': 0.0}, {'token': 'maya', 'score': 0.0}, {'token': 'mexican', 'score': 0.0}, {'token': 'native', 'score': 0.0}]","[{'token': 'spanish', 'score': 0.963}, {'token': 'english', 'score': 0.021}, {'token': 'portuguese', 'score': 0.009}, {'token': 'french', 'score': 0.003}, {'token': 'basque', 'score': 0.001}, {'token': 'latin', 'score': 0.0}, {'token': 'german', 'score': 0.0}, {'token': 'catalan', 'score': 0.0}, {'token': 'native', 'score': 0.0}, {'token': 'creole', 'score': 0.0}]","[{'token': 'spanish', 'score': 0.963}, {'token': 'english', 'score': 0.022}, {'token': 'portuguese', 'score': 0.007}, {'token': 'french', 'score': 0.003}, {'token': 'latin', 'score': 0.001}, {'token': 'german', 'score': 0.001}, {'token': 'basque', 'score': 0.001}, {'token': 'arabic', 'score': 0.0}, {'token': 'catalan', 'score': 0.0}, {'token': 'hispanic', 'score': 0.0}]","[{'token': 'spanish', 'score': 0.985}, {'token': 'english', 'score': 0.012}, {'token': 'hispanic', 'score': 0.001}, {'token': 'latin', 'score': 0.0}, {'token': 'romance', 'score': 0.0}, {'token': 'portuguese', 'score': 0.0}, {'token': 'french', 'score': 0.0}, {'token': 'mexican', 'score': 0.0}, {'token': 'maya', 'score': 0.0}, {'token': 'iberian', 'score': 0.0}]","[{'token': 'spanish', 'score': 0.967}, {'token': 'english', 'score': 0.013}, {'token': 'portuguese', 'score': 0.01}, {'token': 'latin', 'score': 0.002}, {'token': 'french', 'score': 0.002}, {'token': 'basque', 'score': 0.001}, {'token': 'german', 'score': 0.001}, {'token': 'hispanic', 'score': 0.0}, {'token': 'swedish', 'score': 0.0}, {'token': 'native', 'score': 0.0}]"
4,french,"[{'token': 'french', 'score': 1.0}, {'token': 'fr', 'score': 0.0}, {'token': 'france', 'score': 0.0}, {'token': '##ʁ', 'score': 0.0}, {'token': 'francais', 'score': 0.0}, {'token': 'english', 'score': 0.0}, {'token': 'latin', 'score': 0.0}, {'token': 'spanish', 'score': 0.0}, {'token': 'portuguese', 'score': 0.0}, {'token': 'vietnamese', 'score': 0.0}]","[{'token': 'french', 'score': 1.0}, {'token': 'france', 'score': 0.0}, {'token': 'portuguese', 'score': 0.0}, {'token': 'british', 'score': 0.0}, {'token': 'american', 'score': 0.0}, {'token': 'italian', 'score': 0.0}, {'token': 'spanish', 'score': 0.0}, {'token': 'dutch', 'score': 0.0}, {'token': 'torres', 'score': 0.0}, {'token': 'eastern', 'score': 0.0}]","[{'token': 'french', 'score': 1.0}, {'token': 'france', 'score': 0.0}, {'token': 'american', 'score': 0.0}, {'token': 'portuguese', 'score': 0.0}, {'token': 'british', 'score': 0.0}, {'token': 'italian', 'score': 0.0}, {'token': 'spanish', 'score': 0.0}, {'token': 'japanese', 'score': 0.0}, {'token': 'english', 'score': 0.0}, {'token': 'german', 'score': 0.0}]","[{'token': 'french', 'score': 1.0}, {'token': 'france', 'score': 0.0}, {'token': 'portuguese', 'score': 0.0}, {'token': 'british', 'score': 0.0}, {'token': 'eastern', 'score': 0.0}, {'token': 'western', 'score': 0.0}, {'token': 'american', 'score': 0.0}, {'token': 'torres', 'score': 0.0}, {'token': 'english', 'score': 0.0}, {'token': 'spanish', 'score': 0.0}]","[{'token': 'french', 'score': 1.0}, {'token': 'france', 'score': 0.0}, {'token': 'portuguese', 'score': 0.0}, {'token': 'italian', 'score': 0.0}, {'token': 'british', 'score': 0.0}, {'token': 'american', 'score': 0.0}, {'token': 'spanish', 'score': 0.0}, {'token': 'dutch', 'score': 0.0}, {'token': 'english', 'score': 0.0}, {'token': 'german', 'score': 0.0}]"
5,finnish,"[{'token': 'finnish', 'score': 0.884}, {'token': 'estonian', 'score': 0.104}, {'token': 'swedish', 'score': 0.006}, {'token': 'italian', 'score': 0.001}, {'token': 'finland', 'score': 0.001}, {'token': 'norwegian', 'score': 0.001}, {'token': 'latvian', 'score': 0.0}, {'token': 'sami', 'score': 0.0}, {'token': 'german', 'score': 0.0}, {'token': 'professional', 'score': 0.0}]","[{'token': 'finnish', 'score': 0.628}, {'token': 'former', 'score': 0.103}, {'token': 'notable', 'score': 0.042}, {'token': 'retired', 'score': 0.033}, {'token': 'estonian', 'score': 0.033}, {'token': 'famous', 'score': 0.021}, {'token': 'professional', 'score': 0.015}, {'token': 'local', 'score': 0.012}, {'token': 'successful', 'score': 0.007}, {'token': 'tall', 'score': 0.005}]",,"[{'token': 'estonian', 'score': 0.34}, {'token': 'finnish', 'score': 0.305}, {'token': 'the', 'score': 0.113}, {'token': 'former', 'score': 0.069}, {'token': 'greek', 'score': 0.036}, {'token': 'retired', 'score': 0.027}, {'token': 'romanian', 'score': 0.009}, {'token': 'lithuanian', 'score': 0.006}, {'token': 'cypriot', 'score': 0.006}, {'token': 'olympic', 'score': 0.005}]","[{'token': 'finnish', 'score': 0.911}, {'token': 'finland', 'score': 0.015}, {'token': 'swedish', 'score': 0.01}, {'token': 'soviet', 'score': 0.005}, {'token': 'estonian', 'score': 0.005}, {'token': 'senior', 'score': 0.005}, {'token': 'junior', 'score': 0.003}, {'token': 'french', 'score': 0.003}, {'token': 'finn', 'score': 0.002}, {'token': 'italian', 'score': 0.002}]"
6,malay,"[{'token': 'malay', 'score': 0.996}, {'token': 'indonesian', 'score': 0.002}, {'token': 'brunei', 'score': 0.001}, {'token': 'filipino', 'score': 0.001}, {'token': 'arabic', 'score': 0.0}, {'token': 'turkish', 'score': 0.0}, {'token': 'chinese', 'score': 0.0}, {'token': 'malaysian', 'score': 0.0}, {'token': 'hindi', 'score': 0.0}, {'token': 'malaysia', 'score': 0.0}]",,,,
7,urdu,"[{'token': 'urdu', 'score': 0.991}, {'token': 'persian', 'score': 0.007}, {'token': 'punjabi', 'score': 0.001}, {'token': 'arabic', 'score': 0.0}, {'token': 'afghan', 'score': 0.0}, {'token': 'bengali', 'score': 0.0}, {'token': 'pakistani', 'score': 0.0}, {'token': 'gujarati', 'score': 0.0}, {'token': 'hindi', 'score': 0.0}, {'token': 'afghanistan', 'score': 0.0}]",,,,
8,finnish,"[{'token': 'finnish', 'score': 1.0}, {'token': 'finland', 'score': 0.0}, {'token': 'italian', 'score': 0.0}, {'token': 'norwegian', 'score': 0.0}, {'token': 'estonian', 'score': 0.0}, {'token': 'latin', 'score': 0.0}, {'token': 'lombard', 'score': 0.0}, {'token': 'danish', 'score': 0.0}, {'token': 'helsinki', 'score': 0.0}, {'token': 'japanese', 'score': 0.0}]","[{'token': 'swedish', 'score': 0.977}, {'token': 'english', 'score': 0.006}, {'token': 'estonian', 'score': 0.006}, {'token': 'sami', 'score': 0.003}, {'token': 'russian', 'score': 0.001}, {'token': 'norwegian', 'score': 0.001}, {'token': 'french', 'score': 0.001}, {'token': 'latin', 'score': 0.001}, {'token': 'finnish', 'score': 0.001}, {'token': 'danish', 'score': 0.001}]","[{'token': 'south', 'score': 0.277}, {'token': 'east', 'score': 0.262}, {'token': 'north', 'score': 0.221}, {'token': 'west', 'score': 0.168}, {'token': 'southeast', 'score': 0.021}, {'token': 'mainland', 'score': 0.012}, {'token': 'southwest', 'score': 0.008}, {'token': 'northeast', 'score': 0.008}, {'token': 'baltic', 'score': 0.005}, {'token': 'northwest', 'score': 0.004}]","[{'token': 'swedish', 'score': 0.972}, {'token': 'english', 'score': 0.012}, {'token': 'estonian', 'score': 0.006}, {'token': 'french', 'score': 0.002}, {'token': 'sami', 'score': 0.002}, {'token': 'norwegian', 'score': 0.001}, {'token': 'russian', 'score': 0.001}, {'token': 'latin', 'score': 0.0}, {'token': 'finnish', 'score': 0.0}, {'token': 'sweden', 'score': 0.0}]","[{'token': 'swedish', 'score': 0.495}, {'token': 'finnish', 'score': 0.431}, {'token': 'finland', 'score': 0.024}, {'token': 'english', 'score': 0.021}, {'token': 'sweden', 'score': 0.009}, {'token': 'estonian', 'score': 0.004}, {'token': 'latin', 'score': 0.002}, {'token': 'norwegian', 'score': 0.002}, {'token': 'italian', 'score': 0.001}, {'token': 'french', 'score': 0.001}]"
9,french,"[{'token': 'french', 'score': 0.496}, {'token': 'english', 'score': 0.229}, {'token': 'swedish', 'score': 0.102}, {'token': 'dutch', 'score': 0.094}, {'token': 'german', 'score': 0.048}, {'token': 'spanish', 'score': 0.006}, {'token': 'afrikaans', 'score': 0.005}, {'token': 'danish', 'score': 0.002}, {'token': 'flemish', 'score': 0.002}, {'token': 'italian', 'score': 0.002}]","[{'token': 'french', 'score': 0.972}, {'token': 'spanish', 'score': 0.005}, {'token': 'english', 'score': 0.003}, {'token': 'german', 'score': 0.002}, {'token': 'dutch', 'score': 0.002}, {'token': 'creole', 'score': 0.001}, {'token': 'portuguese', 'score': 0.001}, {'token': 'vietnamese', 'score': 0.001}, {'token': 'breton', 'score': 0.001}, {'token': 'swedish', 'score': 0.001}]","[{'token': 'french', 'score': 0.852}, {'token': 'swedish', 'score': 0.029}, {'token': 'finnish', 'score': 0.026}, {'token': 'english', 'score': 0.018}, {'token': 'spanish', 'score': 0.017}, {'token': 'german', 'score': 0.015}, {'token': 'dutch', 'score': 0.008}, {'token': 'russian', 'score': 0.005}, {'token': 'portuguese', 'score': 0.004}, {'token': 'catalan', 'score': 0.002}]","[{'token': 'french', 'score': 0.933}, {'token': 'german', 'score': 0.017}, {'token': 'dutch', 'score': 0.016}, {'token': 'swedish', 'score': 0.015}, {'token': 'english', 'score': 0.006}, {'token': 'spanish', 'score': 0.005}, {'token': 'danish', 'score': 0.001}, {'token': 'portuguese', 'score': 0.001}, {'token': 'welsh', 'score': 0.001}, {'token': 'catalan', 'score': 0.001}]","[{'token': 'french', 'score': 0.904}, {'token': 'dutch', 'score': 0.032}, {'token': 'german', 'score': 0.02}, {'token': 'english', 'score': 0.013}, {'token': 'spanish', 'score': 0.009}, {'token': 'swedish', 'score': 0.004}, {'token': 'breton', 'score': 0.002}, {'token': 'welsh', 'score': 0.001}, {'token': 'portuguese', 'score': 0.001}, {'token': 'catalan', 'score': 0.001}]"
