,answers,original,t5_0,t5_1,t5_2,t5_3
0,alexandra,"[{'token': 'melbourne', 'score': 0.39}, {'token': 'sydney', 'score': 0.283}, {'token': 'brisbane', 'score': 0.079}, {'token': 'adelaide', 'score': 0.071}, {'token': 'perth', 'score': 0.061}, {'token': 'canberra', 'score': 0.033}, {'token': 'queensland', 'score': 0.012}, {'token': 'victoria', 'score': 0.011}, {'token': 'geelong', 'score': 0.01}, {'token': 'tasmania', 'score': 0.003}]","[{'token': 'france', 'score': 0.998}, {'token': 'korea', 'score': 0.0}, {'token': 'yorkshire', 'score': 0.0}, {'token': 'taiwan', 'score': 0.0}, {'token': 'luxembourg', 'score': 0.0}, {'token': 'canada', 'score': 0.0}, {'token': 'paris', 'score': 0.0}, {'token': 'europe', 'score': 0.0}, {'token': 'germany', 'score': 0.0}, {'token': 'britain', 'score': 0.0}]","[{'token': 'france', 'score': 0.998}, {'token': 'korea', 'score': 0.0}, {'token': 'taiwan', 'score': 0.0}, {'token': 'yorkshire', 'score': 0.0}, {'token': 'berlin', 'score': 0.0}, {'token': 'europe', 'score': 0.0}, {'token': 'germany', 'score': 0.0}, {'token': 'ski', 'score': 0.0}, {'token': 'paris', 'score': 0.0}, {'token': 'britain', 'score': 0.0}]","[{'token': 'france', 'score': 0.998}, {'token': 'korea', 'score': 0.0}, {'token': 'taiwan', 'score': 0.0}, {'token': 'paris', 'score': 0.0}, {'token': 'yorkshire', 'score': 0.0}, {'token': 'luxembourg', 'score': 0.0}, {'token': 'berlin', 'score': 0.0}, {'token': 'europe', 'score': 0.0}, {'token': 'germany', 'score': 0.0}, {'token': 'ski', 'score': 0.0}]","[{'token': 'france', 'score': 0.999}, {'token': 'paris', 'score': 0.0}, {'token': 'korea', 'score': 0.0}, {'token': 'la', 'score': 0.0}, {'token': 'yorkshire', 'score': 0.0}, {'token': 'america', 'score': 0.0}, {'token': 'europe', 'score': 0.0}, {'token': 'germany', 'score': 0.0}, {'token': 'canada', 'score': 0.0}, {'token': 'california', 'score': 0.0}]"
1,doncaster,"[{'token': 'old', 'score': 0.16}, {'token': 'own', 'score': 0.153}, {'token': 'former', 'score': 0.135}, {'token': 'previous', 'score': 0.105}, {'token': 'home', 'score': 0.099}, {'token': 'original', 'score': 0.036}, {'token': 'local', 'score': 0.032}, {'token': 'parliamentary', 'score': 0.031}, {'token': 'new', 'score': 0.016}, {'token': 'constituency', 'score': 0.016}]","[{'token': 'own', 'score': 0.232}, {'token': 'parliamentary', 'score': 0.196}, {'token': 'constituency', 'score': 0.071}, {'token': 'old', 'score': 0.041}, {'token': 'home', 'score': 0.041}, {'token': 'new', 'score': 0.028}, {'token': 'former', 'score': 0.022}, {'token': 'local', 'score': 0.016}, {'token': 'birmingham', 'score': 0.013}, {'token': 'natal', 'score': 0.011}]","[{'token': 'own', 'score': 0.455}, {'token': 'parliamentary', 'score': 0.056}, {'token': 'old', 'score': 0.04}, {'token': 'former', 'score': 0.038}, {'token': 'home', 'score': 0.033}, {'token': 'local', 'score': 0.03}, {'token': 'birmingham', 'score': 0.026}, {'token': 'london', 'score': 0.017}, {'token': 'constituency', 'score': 0.015}, {'token': 'previous', 'score': 0.011}]","[{'token': 'own', 'score': 0.357}, {'token': 'parliamentary', 'score': 0.096}, {'token': 'home', 'score': 0.058}, {'token': 'local', 'score': 0.055}, {'token': 'constituency', 'score': 0.037}, {'token': 'former', 'score': 0.034}, {'token': 'old', 'score': 0.023}, {'token': 'birmingham', 'score': 0.022}, {'token': 'previous', 'score': 0.02}, {'token': 'london', 'score': 0.018}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]"
2,scotland,"[{'token': 'australian', 'score': 0.735}, {'token': 'english', 'score': 0.043}, {'token': 'british', 'score': 0.034}, {'token': 'irish', 'score': 0.025}, {'token': 'canadian', 'score': 0.021}, {'token': 'american', 'score': 0.017}, {'token': 'welsh', 'score': 0.015}, {'token': 'scottish', 'score': 0.015}, {'token': 'folk', 'score': 0.014}, {'token': 'the', 'score': 0.009}]","[{'token': 'melbourne', 'score': 0.152}, {'token': 'sydney', 'score': 0.084}, {'token': 'london', 'score': 0.067}, {'token': 'brisbane', 'score': 0.052}, {'token': 'australia', 'score': 0.04}, {'token': 'toronto', 'score': 0.035}, {'token': 'adelaide', 'score': 0.027}, {'token': 'perth', 'score': 0.017}, {'token': 'england', 'score': 0.016}, {'token': 'canberra', 'score': 0.013}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': 'australia', 'score': 0.181}, {'token': 'sydney', 'score': 0.118}, {'token': 'melbourne', 'score': 0.075}, {'token': 'london', 'score': 0.05}, {'token': 'england', 'score': 0.045}, {'token': 'jamaica', 'score': 0.032}, {'token': 'adelaide', 'score': 0.029}, {'token': 'brisbane', 'score': 0.021}, {'token': 'toronto', 'score': 0.015}, {'token': 'canada', 'score': 0.014}]","[{'token': 'australia', 'score': 0.222}, {'token': 'ireland', 'score': 0.078}, {'token': 'england', 'score': 0.062}, {'token': 'london', 'score': 0.044}, {'token': 'canada', 'score': 0.028}, {'token': 'scotland', 'score': 0.026}, {'token': 'uk', 'score': 0.025}, {'token': 'liverpool', 'score': 0.023}, {'token': 'britain', 'score': 0.017}, {'token': 'jamaica', 'score': 0.012}]"
3,toronto,"[{'token': 'jazz', 'score': 0.511}, {'token': 'america', 'score': 0.242}, {'token': 'today', 'score': 0.123}, {'token': 'canada', 'score': 0.014}, {'token': 'music', 'score': 0.013}, {'token': 'country', 'score': 0.011}, {'token': 'world', 'score': 0.007}, {'token': 'europe', 'score': 0.006}, {'token': 'chicago', 'score': 0.004}, {'token': 'australia', 'score': 0.003}]","[{'token': 'jazz', 'score': 0.179}, {'token': 'uruguay', 'score': 0.126}, {'token': 'brazil', 'score': 0.034}, {'token': 'argentina', 'score': 0.033}, {'token': 'chicago', 'score': 0.027}, {'token': 'america', 'score': 0.024}, {'token': 'montevideo', 'score': 0.023}, {'token': 'sweden', 'score': 0.017}, {'token': 'spain', 'score': 0.016}, {'token': 'europe', 'score': 0.014}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': 'jazz', 'score': 0.322}, {'token': 'europe', 'score': 0.158}, {'token': 'america', 'score': 0.062}, {'token': 'canada', 'score': 0.045}, {'token': 'music', 'score': 0.044}, {'token': 'asia', 'score': 0.04}, {'token': 'norway', 'score': 0.04}, {'token': 'india', 'score': 0.034}, {'token': 'chicago', 'score': 0.019}, {'token': 'japan', 'score': 0.009}]","[{'token': 'canada', 'score': 0.209}, {'token': 'chicago', 'score': 0.136}, {'token': 'america', 'score': 0.113}, {'token': 'australia', 'score': 0.065}, {'token': 'britain', 'score': 0.04}, {'token': 'today', 'score': 0.036}, {'token': 'country', 'score': 0.027}, {'token': 'toronto', 'score': 0.025}, {'token': 'oldham', 'score': 0.022}, {'token': 'nashville', 'score': 0.016}]"
4,vienna,"[{'token': 'vienna', 'score': 0.787}, {'token': 'graz', 'score': 0.073}, {'token': 'munich', 'score': 0.023}, {'token': 'salzburg', 'score': 0.02}, {'token': 'innsbruck', 'score': 0.012}, {'token': 'austria', 'score': 0.01}, {'token': 'berlin', 'score': 0.007}, {'token': 'wien', 'score': 0.006}, {'token': 'prague', 'score': 0.005}, {'token': 'budapest', 'score': 0.005}]","[{'token': 'oslo', 'score': 0.242}, {'token': 'vienna', 'score': 0.172}, {'token': 'helsinki', 'score': 0.139}, {'token': 'tallinn', 'score': 0.044}, {'token': 'budapest', 'score': 0.037}, {'token': 'graz', 'score': 0.022}, {'token': 'bergen', 'score': 0.017}, {'token': 'stockholm', 'score': 0.014}, {'token': 'trondheim', 'score': 0.013}, {'token': 'innsbruck', 'score': 0.012}]","[{'token': 'vienna', 'score': 0.843}, {'token': 'austria', 'score': 0.048}, {'token': 'graz', 'score': 0.02}, {'token': 'salzburg', 'score': 0.015}, {'token': 'munich', 'score': 0.008}, {'token': 'innsbruck', 'score': 0.006}, {'token': 'prague', 'score': 0.005}, {'token': 'berlin', 'score': 0.004}, {'token': 'budapest', 'score': 0.004}, {'token': 'wien', 'score': 0.002}]","[{'token': 'vienna', 'score': 0.61}, {'token': 'graz', 'score': 0.098}, {'token': 'innsbruck', 'score': 0.033}, {'token': 'budapest', 'score': 0.028}, {'token': 'munich', 'score': 0.017}, {'token': 'austria', 'score': 0.016}, {'token': 'salzburg', 'score': 0.016}, {'token': 'oslo', 'score': 0.014}, {'token': 'wien', 'score': 0.01}, {'token': 'prague', 'score': 0.009}]","[{'token': 'vienna', 'score': 0.353}, {'token': 'oslo', 'score': 0.045}, {'token': 'budapest', 'score': 0.04}, {'token': 'helsinki', 'score': 0.037}, {'token': 'graz', 'score': 0.037}, {'token': 'munich', 'score': 0.033}, {'token': 'berlin', 'score': 0.026}, {'token': 'prague', 'score': 0.021}, {'token': 'innsbruck', 'score': 0.015}, {'token': 'austria', 'score': 0.014}]"
5,paris,"[{'token': 'paris', 'score': 0.544}, {'token': 'brussels', 'score': 0.024}, {'token': 'lyon', 'score': 0.024}, {'token': 'berlin', 'score': 0.02}, {'token': 'marseille', 'score': 0.019}, {'token': 'london', 'score': 0.018}, {'token': 'montreal', 'score': 0.015}, {'token': 'amsterdam', 'score': 0.013}, {'token': 'bordeaux', 'score': 0.012}, {'token': 'munich', 'score': 0.01}]","[{'token': 'paris', 'score': 0.539}, {'token': 'france', 'score': 0.052}, {'token': 'london', 'score': 0.034}, {'token': 'montreal', 'score': 0.029}, {'token': 'brussels', 'score': 0.015}, {'token': 'lyon', 'score': 0.014}, {'token': 'sydney', 'score': 0.01}, {'token': 'geneva', 'score': 0.008}, {'token': 'marseille', 'score': 0.008}, {'token': 'bordeaux', 'score': 0.008}]","[{'token': 'paris', 'score': 0.308}, {'token': 'france', 'score': 0.07}, {'token': 'montreal', 'score': 0.058}, {'token': 'sydney', 'score': 0.056}, {'token': 'melbourne', 'score': 0.016}, {'token': 'london', 'score': 0.015}, {'token': 'helsinki', 'score': 0.015}, {'token': 'ottawa', 'score': 0.014}, {'token': 'toronto', 'score': 0.013}, {'token': 'australia', 'score': 0.012}]","[{'token': 'ottawa', 'score': 0.043}, {'token': 'canadian', 'score': 0.036}, {'token': 'chicago', 'score': 0.024}, {'token': 'virginia', 'score': 0.021}, {'token': 'wisconsin', 'score': 0.02}, {'token': 'montreal', 'score': 0.019}, {'token': 'kentucky', 'score': 0.016}, {'token': 'canada', 'score': 0.015}, {'token': 'indiana', 'score': 0.015}, {'token': 'american', 'score': 0.014}]","[{'token': 'paris', 'score': 0.712}, {'token': 'there', 'score': 0.045}, {'token': 'france', 'score': 0.038}, {'token': 'here', 'score': 0.03}, {'token': 'versailles', 'score': 0.019}, {'token': 'bordeaux', 'score': 0.012}, {'token': 'geneva', 'score': 0.01}, {'token': 'montreal', 'score': 0.005}, {'token': 'marseille', 'score': 0.005}, {'token': 'lyon', 'score': 0.005}]"
6,yokohama,"[{'token': 'tokyo', 'score': 0.82}, {'token': 'osaka', 'score': 0.051}, {'token': 'japan', 'score': 0.023}, {'token': 'yokohama', 'score': 0.017}, {'token': 'kobe', 'score': 0.01}, {'token': 'kyoto', 'score': 0.009}, {'token': 'seoul', 'score': 0.006}, {'token': 'fukuoka', 'score': 0.006}, {'token': 'nagoya', 'score': 0.004}, {'token': 'hiroshima', 'score': 0.004}]","[{'token': 'tokyo', 'score': 0.412}, {'token': 'japan', 'score': 0.295}, {'token': 'osaka', 'score': 0.027}, {'token': 'yokohama', 'score': 0.018}, {'token': 'taiwan', 'score': 0.015}, {'token': 'hawaii', 'score': 0.015}, {'token': 'seoul', 'score': 0.013}, {'token': 'fukuoka', 'score': 0.011}, {'token': 'kyoto', 'score': 0.009}, {'token': 'okinawa', 'score': 0.006}]","[{'token': 'tokyo', 'score': 0.304}, {'token': 'osaka', 'score': 0.1}, {'token': 'japan', 'score': 0.058}, {'token': 'seoul', 'score': 0.051}, {'token': 'jakarta', 'score': 0.045}, {'token': 'kobe', 'score': 0.038}, {'token': 'kyoto', 'score': 0.031}, {'token': 'yokohama', 'score': 0.019}, {'token': 'fukuoka', 'score': 0.018}, {'token': 'helsinki', 'score': 0.016}]","[{'token': 'tokyo', 'score': 0.125}, {'token': 'osaka', 'score': 0.045}, {'token': 'chicago', 'score': 0.034}, {'token': 'london', 'score': 0.03}, {'token': 'japan', 'score': 0.027}, {'token': 'yokohama', 'score': 0.027}, {'token': 'seoul', 'score': 0.021}, {'token': 'amsterdam', 'score': 0.02}, {'token': 'fukuoka', 'score': 0.017}, {'token': 'toronto', 'score': 0.013}]","[{'token': 'osaka', 'score': 0.049}, {'token': 'tokyo', 'score': 0.044}, {'token': 'london', 'score': 0.039}, {'token': 'oldham', 'score': 0.03}, {'token': 'fukuoka', 'score': 0.022}, {'token': 'chennai', 'score': 0.021}, {'token': 'manchester', 'score': 0.02}, {'token': 'liverpool', 'score': 0.018}, {'token': 'kota', 'score': 0.018}, {'token': 'ahmedabad', 'score': 0.017}]"
7,antwerp,"[{'token': 'london', 'score': 0.129}, {'token': 'amsterdam', 'score': 0.086}, {'token': 'hague', 'score': 0.039}, {'token': 'paris', 'score': 0.028}, {'token': 'holland', 'score': 0.028}, {'token': 'england', 'score': 0.024}, {'token': 'albany', 'score': 0.022}, {'token': 'brussels', 'score': 0.021}, {'token': 'utrecht', 'score': 0.021}, {'token': 'died', 'score': 0.013}]","[{'token': 'england', 'score': 0.623}, {'token': 'flanders', 'score': 0.057}, {'token': 'london', 'score': 0.029}, {'token': 'europe', 'score': 0.018}, {'token': 'france', 'score': 0.017}, {'token': 'ireland', 'score': 0.015}, {'token': 'holland', 'score': 0.013}, {'token': 'utrecht', 'score': 0.012}, {'token': 'germany', 'score': 0.011}, {'token': 'scotland', 'score': 0.011}]","[{'token': 'flanders', 'score': 0.26}, {'token': 'holland', 'score': 0.146}, {'token': 'england', 'score': 0.093}, {'token': 'france', 'score': 0.071}, {'token': 'germany', 'score': 0.04}, {'token': 'utrecht', 'score': 0.033}, {'token': 'brussels', 'score': 0.033}, {'token': 'belgium', 'score': 0.028}, {'token': 'europe', 'score': 0.027}, {'token': 'rome', 'score': 0.013}]","[{'token': 'utrecht', 'score': 0.224}, {'token': 'amsterdam', 'score': 0.115}, {'token': 'brussels', 'score': 0.065}, {'token': 'flanders', 'score': 0.048}, {'token': 'england', 'score': 0.046}, {'token': 'antwerp', 'score': 0.046}, {'token': 'holland', 'score': 0.044}, {'token': 'ghent', 'score': 0.026}, {'token': 'paris', 'score': 0.026}, {'token': 'cologne', 'score': 0.016}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]"
8,barcelona,"[{'token': 'barcelona', 'score': 0.168}, {'token': 'madrid', 'score': 0.162}, {'token': 'spain', 'score': 0.132}, {'token': 'seville', 'score': 0.04}, {'token': 'paris', 'score': 0.022}, {'token': 'trinidad', 'score': 0.021}, {'token': 'uruguay', 'score': 0.021}, {'token': 'cadiz', 'score': 0.018}, {'token': 'lisbon', 'score': 0.017}, {'token': 'montevideo', 'score': 0.016}]","[{'token': '1900', 'score': 0.035}, {'token': '1896', 'score': 0.033}, {'token': '1892', 'score': 0.027}, {'token': '1898', 'score': 0.026}, {'token': '1891', 'score': 0.025}, {'token': '1904', 'score': 0.022}, {'token': '1894', 'score': 0.022}, {'token': '1897', 'score': 0.021}, {'token': '1899', 'score': 0.021}, {'token': '1888', 'score': 0.021}]","[{'token': 'india', 'score': 0.998}, {'token': 'bombay', 'score': 0.001}, {'token': 'maharashtra', 'score': 0.0}, {'token': 'gujarat', 'score': 0.0}, {'token': 'mumbai', 'score': 0.0}, {'token': 'pakistan', 'score': 0.0}, {'token': 'indian', 'score': 0.0}, {'token': 'asia', 'score': 0.0}, {'token': 'africa', 'score': 0.0}, {'token': 'goa', 'score': 0.0}]","[{'token': 'barcelona', 'score': 0.217}, {'token': 'paris', 'score': 0.153}, {'token': 'madrid', 'score': 0.071}, {'token': 'spain', 'score': 0.05}, {'token': 'rome', 'score': 0.046}, {'token': 'lisbon', 'score': 0.034}, {'token': 'goa', 'score': 0.031}, {'token': 'manila', 'score': 0.017}, {'token': 'london', 'score': 0.017}, {'token': 'dublin', 'score': 0.01}]","[{'token': 'uruguay', 'score': 0.404}, {'token': 'spain', 'score': 0.243}, {'token': 'montevideo', 'score': 0.075}, {'token': 'europe', 'score': 0.052}, {'token': 'america', 'score': 0.024}, {'token': 'brazil', 'score': 0.021}, {'token': 'argentina', 'score': 0.017}, {'token': 'mexico', 'score': 0.015}, {'token': 'peru', 'score': 0.015}, {'token': 'france', 'score': 0.01}]"
9,rome,"[{'token': 'rome', 'score': 0.248}, {'token': 'milan', 'score': 0.232}, {'token': 'turin', 'score': 0.085}, {'token': 'bologna', 'score': 0.046}, {'token': 'naples', 'score': 0.043}, {'token': 'genoa', 'score': 0.042}, {'token': 'florence', 'score': 0.033}, {'token': 'verona', 'score': 0.022}, {'token': 'italy', 'score': 0.017}, {'token': 'parma', 'score': 0.014}]","[{'token': 'milan', 'score': 0.232}, {'token': 'rome', 'score': 0.144}, {'token': 'turin', 'score': 0.067}, {'token': 'genoa', 'score': 0.043}, {'token': 'naples', 'score': 0.033}, {'token': 'bologna', 'score': 0.032}, {'token': 'italy', 'score': 0.031}, {'token': 'montevideo', 'score': 0.028}, {'token': 'bari', 'score': 0.022}, {'token': 'palermo', 'score': 0.021}]","[{'token': 'kota', 'score': 0.16}, {'token': 'helsinki', 'score': 0.025}, {'token': 'jakarta', 'score': 0.022}, {'token': 'nairobi', 'score': 0.018}, {'token': 'oslo', 'score': 0.016}, {'token': 'mumbai', 'score': 0.014}, {'token': 'jaipur', 'score': 0.014}, {'token': 'bangalore', 'score': 0.014}, {'token': 'bombay', 'score': 0.013}, {'token': 'rome', 'score': 0.011}]","[{'token': 'italy', 'score': 0.273}, {'token': 'milan', 'score': 0.178}, {'token': 'rome', 'score': 0.116}, {'token': 'turin', 'score': 0.07}, {'token': 'genoa', 'score': 0.025}, {'token': 'naples', 'score': 0.024}, {'token': 'florence', 'score': 0.014}, {'token': 'bologna', 'score': 0.012}, {'token': 'sicily', 'score': 0.01}, {'token': 'palermo', 'score': 0.01}]","[{'token': 'milan', 'score': 0.195}, {'token': 'rome', 'score': 0.123}, {'token': 'italy', 'score': 0.106}, {'token': 'turin', 'score': 0.079}, {'token': 'naples', 'score': 0.024}, {'token': 'genoa', 'score': 0.022}, {'token': 'florence', 'score': 0.016}, {'token': 'bologna', 'score': 0.016}, {'token': 'montevideo', 'score': 0.015}, {'token': 'argentina', 'score': 0.012}]"
