,answers,original,t5_0,t5_1,t5_2,t5_3
0,brazil,"[{'token': 'spain', 'score': 0.409}, {'token': 'argentina', 'score': 0.184}, {'token': 'ferrari', 'score': 0.16}, {'token': 'brazil', 'score': 0.053}, {'token': 'italy', 'score': 0.047}, {'token': 'colombia', 'score': 0.024}, {'token': 'mexico', 'score': 0.019}, {'token': 'barcelona', 'score': 0.012}, {'token': 'renault', 'score': 0.011}, {'token': 'portugal', 'score': 0.006}]","[{'token': 'argentina', 'score': 0.32}, {'token': 'ferrari', 'score': 0.209}, {'token': 'spain', 'score': 0.164}, {'token': 'italy', 'score': 0.158}, {'token': 'brazil', 'score': 0.072}, {'token': 'switzerland', 'score': 0.017}, {'token': 'colombia', 'score': 0.005}, {'token': 'portugal', 'score': 0.005}, {'token': 'mclaren', 'score': 0.004}, {'token': 'germany', 'score': 0.004}]","[{'token': 'argentina', 'score': 0.665}, {'token': 'spain', 'score': 0.165}, {'token': 'italy', 'score': 0.055}, {'token': 'ferrari', 'score': 0.042}, {'token': 'brazil', 'score': 0.023}, {'token': 'colombia', 'score': 0.009}, {'token': 'switzerland', 'score': 0.007}, {'token': 'uruguay', 'score': 0.006}, {'token': 'mexico', 'score': 0.005}, {'token': 'chile', 'score': 0.002}]","[{'token': 'argentina', 'score': 0.38}, {'token': 'spain', 'score': 0.189}, {'token': 'italy', 'score': 0.167}, {'token': 'ferrari', 'score': 0.085}, {'token': 'brazil', 'score': 0.06}, {'token': 'switzerland', 'score': 0.041}, {'token': 'portugal', 'score': 0.013}, {'token': 'colombia', 'score': 0.007}, {'token': 'france', 'score': 0.005}, {'token': 'germany', 'score': 0.005}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]"
1,france,"[{'token': 'french', 'score': 0.997}, {'token': 'belgian', 'score': 0.001}, {'token': 'swiss', 'score': 0.0}, {'token': 'france', 'score': 0.0}, {'token': 'parisian', 'score': 0.0}, {'token': 'canadian', 'score': 0.0}, {'token': 'noted', 'score': 0.0}, {'token': 'famous', 'score': 0.0}, {'token': 'prolific', 'score': 0.0}, {'token': 'film', 'score': 0.0}]","[{'token': 'the', 'score': 0.724}, {'token': ')', 'score': 0.139}, {'token': 'first', 'score': 0.028}, {'token': 'its', 'score': 0.009}, {'token': 'main', 'score': 0.006}, {'token': 'his', 'score': 0.005}, {'token': 'french', 'score': 0.005}, {'token': 'a', 'score': 0.005}, {'token': 'best', 'score': 0.003}, {'token': '""', 'score': 0.003}]","[{'token': 'france', 'score': 0.34}, {'token': 'paris', 'score': 0.25}, {'token': 'montreal', 'score': 0.08}, {'token': 'quebec', 'score': 0.048}, {'token': 'canada', 'score': 0.038}, {'token': 'switzerland', 'score': 0.031}, {'token': 'belgium', 'score': 0.017}, {'token': 'geneva', 'score': 0.014}, {'token': 'marseille', 'score': 0.012}, {'token': 'luxembourg', 'score': 0.012}]","[{'token': 'france', 'score': 0.144}, {'token': 'paris', 'score': 0.122}, {'token': 'nice', 'score': 0.046}, {'token': 'nantes', 'score': 0.034}, {'token': 'laval', 'score': 0.03}, {'token': 'pau', 'score': 0.021}, {'token': 'lyon', 'score': 0.019}, {'token': 'bordeaux', 'score': 0.014}, {'token': 'marseille', 'score': 0.013}, {'token': 'town', 'score': 0.012}]","[{'token': 'france', 'score': 0.311}, {'token': 'quebec', 'score': 0.179}, {'token': 'paris', 'score': 0.064}, {'token': 'switzerland', 'score': 0.032}, {'token': 'belgium', 'score': 0.028}, {'token': 'montreal', 'score': 0.024}, {'token': 'martinique', 'score': 0.023}, {'token': 'algeria', 'score': 0.022}, {'token': 'brittany', 'score': 0.019}, {'token': 'senegal', 'score': 0.019}]"
2,estonia,"[{'token': 'estonian', 'score': 0.908}, {'token': 'latvian', 'score': 0.036}, {'token': 'danish', 'score': 0.009}, {'token': 'german', 'score': 0.005}, {'token': 'norwegian', 'score': 0.005}, {'token': 'czech', 'score': 0.004}, {'token': 'finnish', 'score': 0.003}, {'token': 'lithuanian', 'score': 0.002}, {'token': 'swedish', 'score': 0.002}, {'token': 'polish', 'score': 0.002}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': 'women', 'score': 0.412}, {'token': 'children', 'score': 0.245}, {'token': 'estonia', 'score': 0.154}, {'token': 'finland', 'score': 0.12}, {'token': 'men', 'score': 0.046}, {'token': 'estonian', 'score': 0.005}, {'token': 'helsinki', 'score': 0.003}, {'token': 'tallinn', 'score': 0.003}, {'token': 'today', 'score': 0.001}, {'token': 'finnish', 'score': 0.001}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]"
3,denmark,"[{'token': 'denmark', 'score': 0.968}, {'token': 'sweden', 'score': 0.006}, {'token': 'monaco', 'score': 0.004}, {'token': 'belgium', 'score': 0.003}, {'token': 'greece', 'score': 0.003}, {'token': 'hanover', 'score': 0.001}, {'token': 'zealand', 'score': 0.001}, {'token': 'baden', 'score': 0.001}, {'token': 'prussia', 'score': 0.001}, {'token': 'norway', 'score': 0.001}]","[{'token': 'denmark', 'score': 0.972}, {'token': 'sweden', 'score': 0.005}, {'token': 'norway', 'score': 0.004}, {'token': 'prussia', 'score': 0.003}, {'token': 'baden', 'score': 0.003}, {'token': 'belgium', 'score': 0.001}, {'token': 'saxony', 'score': 0.001}, {'token': 'zealand', 'score': 0.001}, {'token': 'bavaria', 'score': 0.001}, {'token': 'hanover', 'score': 0.001}]","[{'token': 'denmark', 'score': 0.887}, {'token': 'danish', 'score': 0.054}, {'token': 'baden', 'score': 0.015}, {'token': 'schleswig', 'score': 0.006}, {'token': 'prussia', 'score': 0.006}, {'token': 'hanover', 'score': 0.003}, {'token': 'sweden', 'score': 0.003}, {'token': 'belgium', 'score': 0.002}, {'token': 'saxony', 'score': 0.002}, {'token': 'wurttemberg', 'score': 0.002}]","[{'token': 'denmark', 'score': 0.972}, {'token': 'sweden', 'score': 0.007}, {'token': 'norway', 'score': 0.003}, {'token': 'baden', 'score': 0.003}, {'token': 'belgium', 'score': 0.002}, {'token': 'prussia', 'score': 0.002}, {'token': 'zealand', 'score': 0.001}, {'token': 'saxony', 'score': 0.001}, {'token': 'greece', 'score': 0.001}, {'token': 'hanover', 'score': 0.001}]","[{'token': 'denmark', 'score': 0.983}, {'token': 'prussia', 'score': 0.003}, {'token': 'sweden', 'score': 0.002}, {'token': 'baden', 'score': 0.002}, {'token': 'norway', 'score': 0.001}, {'token': 'danish', 'score': 0.001}, {'token': 'hanover', 'score': 0.001}, {'token': 'saxony', 'score': 0.001}, {'token': 'belgium', 'score': 0.0}, {'token': 'germany', 'score': 0.0}]"
4,denmark,"[{'token': 'norwegian', 'score': 0.196}, {'token': 'danish', 'score': 0.12}, {'token': 'taiwanese', 'score': 0.119}, {'token': 'korean', 'score': 0.081}, {'token': 'dutch', 'score': 0.068}, {'token': 'german', 'score': 0.037}, {'token': 'swedish', 'score': 0.035}, {'token': 'malaysian', 'score': 0.032}, {'token': 'japanese', 'score': 0.03}, {'token': 'french', 'score': 0.026}]","[{'token': 'lee', 'score': 0.018}, {'token': 'it', 'score': 0.014}, {'token': 'kim', 'score': 0.013}, {'token': 'john', 'score': 0.01}, {'token': 'australia', 'score': 0.01}, {'token': 'jo', 'score': 0.01}, {'token': 'yu', 'score': 0.007}, {'token': 'peter', 'score': 0.007}, {'token': 'k', 'score': 0.007}, {'token': 'ra', 'score': 0.007}]","[{'token': 'denmark', 'score': 0.192}, {'token': 'norway', 'score': 0.099}, {'token': 'taiwan', 'score': 0.078}, {'token': 'sweden', 'score': 0.067}, {'token': 'germany', 'score': 0.059}, {'token': 'korea', 'score': 0.047}, {'token': 'singapore', 'score': 0.037}, {'token': 'finland', 'score': 0.026}, {'token': 'japan', 'score': 0.017}, {'token': 'thailand', 'score': 0.016}]","[{'token': 'belgium', 'score': 0.103}, {'token': 'amsterdam', 'score': 0.093}, {'token': 'antwerp', 'score': 0.07}, {'token': 'brussels', 'score': 0.055}, {'token': 'suriname', 'score': 0.032}, {'token': 'rotterdam', 'score': 0.031}, {'token': 'pretoria', 'score': 0.023}, {'token': 'hague', 'score': 0.017}, {'token': 'singapore', 'score': 0.017}, {'token': 'luxembourg', 'score': 0.017}]","[{'token': 'singapore', 'score': 0.272}, {'token': 'korea', 'score': 0.101}, {'token': 'taiwan', 'score': 0.069}, {'token': 'malaysia', 'score': 0.058}, {'token': 'vietnam', 'score': 0.047}, {'token': 'thailand', 'score': 0.045}, {'token': 'china', 'score': 0.025}, {'token': 'myanmar', 'score': 0.022}, {'token': 'australia', 'score': 0.021}, {'token': 'indonesia', 'score': 0.019}]"
5,sweden,"[{'token': 'swedish', 'score': 0.98}, {'token': 'danish', 'score': 0.011}, {'token': 'finnish', 'score': 0.003}, {'token': 'norwegian', 'score': 0.001}, {'token': 'german', 'score': 0.001}, {'token': 'sweden', 'score': 0.0}, {'token': 'scandinavian', 'score': 0.0}, {'token': 'radio', 'score': 0.0}, {'token': 'soviet', 'score': 0.0}, {'token': 'noted', 'score': 0.0}]","[{'token': 'sweden', 'score': 0.856}, {'token': 'denmark', 'score': 0.045}, {'token': 'stockholm', 'score': 0.036}, {'token': 'finland', 'score': 0.015}, {'token': 'norway', 'score': 0.014}, {'token': 'lund', 'score': 0.004}, {'token': 'copenhagen', 'score': 0.004}, {'token': 'germany', 'score': 0.003}, {'token': 'scandinavia', 'score': 0.003}, {'token': 'uppsala', 'score': 0.003}]","[{'token': 'sweden', 'score': 0.525}, {'token': 'stockholm', 'score': 0.297}, {'token': 'finland', 'score': 0.013}, {'token': 'lund', 'score': 0.013}, {'token': 'uppsala', 'score': 0.01}, {'token': 'malmo', 'score': 0.009}, {'token': 'gothenburg', 'score': 0.008}, {'token': 'denmark', 'score': 0.007}, {'token': 'copenhagen', 'score': 0.006}, {'token': 'norway', 'score': 0.005}]","[{'token': 'sweden', 'score': 0.926}, {'token': 'stockholm', 'score': 0.047}, {'token': 'denmark', 'score': 0.013}, {'token': 'finland', 'score': 0.004}, {'token': 'gothenburg', 'score': 0.003}, {'token': 'copenhagen', 'score': 0.002}, {'token': 'lund', 'score': 0.001}, {'token': 'norway', 'score': 0.001}, {'token': 'swedish', 'score': 0.0}, {'token': 'scandinavia', 'score': 0.0}]","[{'token': 'denmark', 'score': 0.499}, {'token': 'sweden', 'score': 0.194}, {'token': 'copenhagen', 'score': 0.194}, {'token': 'norway', 'score': 0.039}, {'token': 'stockholm', 'score': 0.018}, {'token': 'germany', 'score': 0.005}, {'token': 'scandinavia', 'score': 0.005}, {'token': 'aarhus', 'score': 0.005}, {'token': 'danish', 'score': 0.004}, {'token': 'hamburg', 'score': 0.003}]"
6,india,"[{'token': 'india', 'score': 0.999}, {'token': 'bangladesh', 'score': 0.0}, {'token': 'pakistan', 'score': 0.0}, {'token': 'indian', 'score': 0.0}, {'token': 'bengal', 'score': 0.0}, {'token': 'england', 'score': 0.0}, {'token': 'australia', 'score': 0.0}, {'token': 'china', 'score': 0.0}, {'token': 'canada', 'score': 0.0}, {'token': 'calcutta', 'score': 0.0}]","[{'token': 'india', 'score': 0.889}, {'token': 'time', 'score': 0.012}, {'token': 'government', 'score': 0.008}, {'token': 'office', 'score': 0.008}, {'token': 'period', 'score': 0.007}, {'token': 'calcutta', 'score': 0.006}, {'token': 'parliament', 'score': 0.005}, {'token': 'terms', 'score': 0.003}, {'token': 'power', 'score': 0.002}, {'token': 'service', 'score': 0.002}]","[{'token': 'india', 'score': 0.812}, {'token': 'bengal', 'score': 0.065}, {'token': 'calcutta', 'score': 0.033}, {'token': 'kolkata', 'score': 0.018}, {'token': 'bangladesh', 'score': 0.01}, {'token': 'bengali', 'score': 0.004}, {'token': 'then', 'score': 0.003}, {'token': 'odisha', 'score': 0.003}, {'token': '1948', 'score': 0.002}, {'token': 'indian', 'score': 0.001}]","[{'token': 'india', 'score': 0.996}, {'token': 'bangladesh', 'score': 0.001}, {'token': 'pakistan', 'score': 0.001}, {'token': 'bengal', 'score': 0.0}, {'token': 'govt', 'score': 0.0}, {'token': 'indian', 'score': 0.0}, {'token': 'canada', 'score': 0.0}, {'token': 'calcutta', 'score': 0.0}, {'token': 'c', 'score': 0.0}, {'token': 'england', 'score': 0.0}]","[{'token': 'india', 'score': 0.588}, {'token': 'bengal', 'score': 0.292}, {'token': 'bangladesh', 'score': 0.037}, {'token': 'odisha', 'score': 0.015}, {'token': 'assam', 'score': 0.015}, {'token': 'kolkata', 'score': 0.012}, {'token': 'bihar', 'score': 0.007}, {'token': 'karnataka', 'score': 0.006}, {'token': 'maharashtra', 'score': 0.004}, {'token': 'kerala', 'score': 0.004}]"
7,japan,"[{'token': 'japan', 'score': 0.982}, {'token': 'indonesia', 'score': 0.003}, {'token': 'thailand', 'score': 0.003}, {'token': 'india', 'score': 0.002}, {'token': 'taiwan', 'score': 0.001}, {'token': 'brazil', 'score': 0.001}, {'token': 'australia', 'score': 0.001}, {'token': 'japanese', 'score': 0.001}, {'token': 'finland', 'score': 0.001}, {'token': 'china', 'score': 0.001}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': 'japan', 'score': 0.414}, {'token': 'tokyo', 'score': 0.396}, {'token': 'osaka', 'score': 0.032}, {'token': 'hokkaido', 'score': 0.016}, {'token': 'yokohama', 'score': 0.01}, {'token': 'fukuoka', 'score': 0.009}, {'token': 'kyoto', 'score': 0.008}, {'token': 'taiwan', 'score': 0.008}, {'token': 'okinawa', 'score': 0.007}, {'token': 'kobe', 'score': 0.007}]"
8,canada,"[{'token': 'canada', 'score': 0.929}, {'token': 'australia', 'score': 0.056}, {'token': 'ontario', 'score': 0.004}, {'token': 'america', 'score': 0.002}, {'token': 'alberta', 'score': 0.001}, {'token': 'victoria', 'score': 0.001}, {'token': 'britain', 'score': 0.001}, {'token': 'history', 'score': 0.001}, {'token': 'europe', 'score': 0.0}, {'token': 'bc', 'score': 0.0}]","[{'token': 'canada', 'score': 0.447}, {'token': 'australia', 'score': 0.282}, {'token': 'ontario', 'score': 0.055}, {'token': 'victoria', 'score': 0.054}, {'token': 'queensland', 'score': 0.044}, {'token': 'manitoba', 'score': 0.022}, {'token': 'alberta', 'score': 0.02}, {'token': 'tasmania', 'score': 0.011}, {'token': 'saskatchewan', 'score': 0.006}, {'token': 'bc', 'score': 0.005}]","[{'token': 'victoria', 'score': 0.27}, {'token': 'ontario', 'score': 0.081}, {'token': 'he', 'score': 0.069}, {'token': 'queensland', 'score': 0.067}, {'token': 'tasmania', 'score': 0.058}, {'token': 'manitoba', 'score': 0.039}, {'token': 'hamilton', 'score': 0.038}, {'token': 'canada', 'score': 0.034}, {'token': 'alberta', 'score': 0.03}, {'token': 'australia', 'score': 0.019}]","[{'token': 'canada', 'score': 0.984}, {'token': 'australia', 'score': 0.008}, {'token': 'ontario', 'score': 0.003}, {'token': 'alberta', 'score': 0.001}, {'token': 'america', 'score': 0.001}, {'token': 'britain', 'score': 0.0}, {'token': 'history', 'score': 0.0}, {'token': 'bc', 'score': 0.0}, {'token': 'victoria', 'score': 0.0}, {'token': 'canadian', 'score': 0.0}]","[{'token': 'canada', 'score': 0.72}, {'token': 'australia', 'score': 0.263}, {'token': 'ontario', 'score': 0.006}, {'token': 'britain', 'score': 0.003}, {'token': 'alberta', 'score': 0.001}, {'token': 'victoria', 'score': 0.001}, {'token': 'america', 'score': 0.001}, {'token': 'queensland', 'score': 0.001}, {'token': 'country', 'score': 0.0}, {'token': 'newfoundland', 'score': 0.0}]"
9,nigeria,"[{'token': 'nigeria', 'score': 0.996}, {'token': 'nigerian', 'score': 0.003}, {'token': 'benin', 'score': 0.001}, {'token': 'niger', 'score': 0.0}, {'token': 'ghana', 'score': 0.0}, {'token': 'lagos', 'score': 0.0}, {'token': 'liberia', 'score': 0.0}, {'token': 'malaysia', 'score': 0.0}, {'token': 'federation', 'score': 0.0}, {'token': 'cameroon', 'score': 0.0}]","[{'token': 'tunisia', 'score': 0.295}, {'token': 'algeria', 'score': 0.23}, {'token': 'morocco', 'score': 0.12}, {'token': 'mali', 'score': 0.059}, {'token': 'libya', 'score': 0.034}, {'token': 'guinea', 'score': 0.023}, {'token': 'senegal', 'score': 0.022}, {'token': 'benin', 'score': 0.022}, {'token': 'egypt', 'score': 0.021}, {'token': 'chad', 'score': 0.018}]","[{'token': 'algeria', 'score': 0.132}, {'token': 'fifa', 'score': 0.097}, {'token': 'morocco', 'score': 0.086}, {'token': 'tunisia', 'score': 0.07}, {'token': 'mali', 'score': 0.04}, {'token': 'egypt', 'score': 0.039}, {'token': 'libya', 'score': 0.029}, {'token': 'caf', 'score': 0.023}, {'token': 'lebanon', 'score': 0.017}, {'token': 'unesco', 'score': 0.016}]","[{'token': 'mali', 'score': 0.135}, {'token': 'tunisia', 'score': 0.118}, {'token': 'morocco', 'score': 0.114}, {'token': 'algeria', 'score': 0.089}, {'token': 'guinea', 'score': 0.08}, {'token': 'chad', 'score': 0.064}, {'token': 'libya', 'score': 0.05}, {'token': 'senegal', 'score': 0.046}, {'token': 'benin', 'score': 0.044}, {'token': 'ghana', 'score': 0.036}]","[{'token': 'ghana', 'score': 0.066}, {'token': 'algeria', 'score': 0.06}, {'token': 'benin', 'score': 0.048}, {'token': 'nigeria', 'score': 0.04}, {'token': 'senegal', 'score': 0.039}, {'token': 'fifa', 'score': 0.037}, {'token': 'tunisia', 'score': 0.033}, {'token': 'mali', 'score': 0.029}, {'token': 'cameroon', 'score': 0.028}, {'token': 'indonesia', 'score': 0.028}]"
