,answers,original,t5_0,t5_1,t5_2,t5_3
0,opera,"[{'token': 'poem', 'score': 0.364}, {'token': 'essay', 'score': 0.23}, {'token': 'book', 'score': 0.05}, {'token': 'painting', 'score': 0.038}, {'token': 'play', 'score': 0.032}, {'token': 'song', 'score': 0.025}, {'token': 'work', 'score': 0.022}, {'token': 'piece', 'score': 0.02}, {'token': 'composition', 'score': 0.019}, {'token': 'film', 'score': 0.017}]","[{'token': 'poem', 'score': 0.396}, {'token': 'essay', 'score': 0.119}, {'token': 'song', 'score': 0.094}, {'token': 'book', 'score': 0.059}, {'token': 'composition', 'score': 0.056}, {'token': 'piece', 'score': 0.036}, {'token': 'article', 'score': 0.018}, {'token': 'work', 'score': 0.017}, {'token': 'painting', 'score': 0.016}, {'token': 'film', 'score': 0.014}]","[{'token': 'essay', 'score': 0.317}, {'token': 'poem', 'score': 0.124}, {'token': 'book', 'score': 0.123}, {'token': 'piece', 'score': 0.096}, {'token': 'work', 'score': 0.037}, {'token': 'song', 'score': 0.033}, {'token': 'project', 'score': 0.031}, {'token': 'thesis', 'score': 0.031}, {'token': 'article', 'score': 0.026}, {'token': 'composition', 'score': 0.012}]","[{'token': 'poem', 'score': 0.095}, {'token': 'piece', 'score': 0.063}, {'token': 'film', 'score': 0.062}, {'token': 'essay', 'score': 0.051}, {'token': 'play', 'score': 0.036}, {'token': 'painting', 'score': 0.035}, {'token': 'documentary', 'score': 0.027}, {'token': 'work', 'score': 0.026}, {'token': 'performance', 'score': 0.025}, {'token': 'installation', 'score': 0.025}]","[{'token': 'song', 'score': 0.256}, {'token': 'piece', 'score': 0.211}, {'token': 'composition', 'score': 0.095}, {'token': 'project', 'score': 0.066}, {'token': 'album', 'score': 0.05}, {'token': 'work', 'score': 0.047}, {'token': 'poem', 'score': 0.033}, {'token': 'cd', 'score': 0.02}, {'token': 'performance', 'score': 0.018}, {'token': 'track', 'score': 0.012}]"
1,jazz,"[{'token': 'jazz', 'score': 0.97}, {'token': 'classical', 'score': 0.012}, {'token': 'rock', 'score': 0.006}, {'token': 'concert', 'score': 0.005}, {'token': 'blues', 'score': 0.001}, {'token': 'bass', 'score': 0.001}, {'token': 'folk', 'score': 0.0}, {'token': 'fusion', 'score': 0.0}, {'token': 'electric', 'score': 0.0}, {'token': 'american', 'score': 0.0}]","[{'token': 'jazz', 'score': 0.96}, {'token': 'classical', 'score': 0.011}, {'token': 'rock', 'score': 0.009}, {'token': 'concert', 'score': 0.006}, {'token': 'blues', 'score': 0.002}, {'token': 'electric', 'score': 0.001}, {'token': 'bass', 'score': 0.001}, {'token': 'solo', 'score': 0.001}, {'token': 'fusion', 'score': 0.001}, {'token': 'american', 'score': 0.001}]","[{'token': 'jazz', 'score': 0.965}, {'token': 'rock', 'score': 0.009}, {'token': 'classical', 'score': 0.006}, {'token': 'blues', 'score': 0.004}, {'token': 'concert', 'score': 0.002}, {'token': 'electric', 'score': 0.001}, {'token': 'american', 'score': 0.001}, {'token': 'bass', 'score': 0.001}, {'token': 'born', 'score': 0.0}, {'token': 'swing', 'score': 0.0}]","[{'token': 'jazz', 'score': 0.955}, {'token': 'blues', 'score': 0.018}, {'token': 'rock', 'score': 0.01}, {'token': 'professional', 'score': 0.005}, {'token': 'folk', 'score': 0.002}, {'token': 'session', 'score': 0.002}, {'token': 'soul', 'score': 0.001}, {'token': 'pop', 'score': 0.001}, {'token': 'classical', 'score': 0.001}, {'token': 'studio', 'score': 0.001}]","[{'token': 'jazz', 'score': 0.984}, {'token': 'classical', 'score': 0.008}, {'token': 'rock', 'score': 0.002}, {'token': 'concert', 'score': 0.002}, {'token': 'blues', 'score': 0.001}, {'token': 'bass', 'score': 0.0}, {'token': 'american', 'score': 0.0}, {'token': 'fusion', 'score': 0.0}, {'token': 'electric', 'score': 0.0}, {'token': 'double', 'score': 0.0}]"
2,opera,"[{'token': 'musical', 'score': 0.469}, {'token': 'opera', 'score': 0.343}, {'token': 'play', 'score': 0.144}, {'token': 'drama', 'score': 0.016}, {'token': 'ballet', 'score': 0.007}, {'token': 'comedy', 'score': 0.004}, {'token': 'novel', 'score': 0.003}, {'token': 'tragedy', 'score': 0.003}, {'token': 'film', 'score': 0.002}, {'token': 'playwright', 'score': 0.001}]","[{'token': 'musical', 'score': 0.361}, {'token': 'sitcom', 'score': 0.23}, {'token': 'film', 'score': 0.184}, {'token': 'opera', 'score': 0.046}, {'token': 'drama', 'score': 0.027}, {'token': 'comedy', 'score': 0.026}, {'token': 'movie', 'score': 0.021}, {'token': 'series', 'score': 0.021}, {'token': 'comic', 'score': 0.018}, {'token': 'play', 'score': 0.014}]","[{'token': 'musical', 'score': 0.151}, {'token': 'play', 'score': 0.105}, {'token': 'opera', 'score': 0.089}, {'token': 'libretto', 'score': 0.06}, {'token': 'playwright', 'score': 0.047}, {'token': 'novel', 'score': 0.043}, {'token': 'translation', 'score': 0.026}, {'token': 'tragedy', 'score': 0.019}, {'token': 'drama', 'score': 0.016}, {'token': 'composer', 'score': 0.016}]","[{'token': 'film', 'score': 0.734}, {'token': 'movie', 'score': 0.098}, {'token': 'musical', 'score': 0.061}, {'token': 'comedy', 'score': 0.028}, {'token': 'thriller', 'score': 0.016}, {'token': 'drama', 'score': 0.013}, {'token': 'western', 'score': 0.007}, {'token': 'sitcom', 'score': 0.007}, {'token': 'play', 'score': 0.005}, {'token': 'novel', 'score': 0.004}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]"
3,jazz,"[{'token': 'commercial', 'score': 0.265}, {'token': 'jazz', 'score': 0.239}, {'token': 'known', 'score': 0.052}, {'token': 'vinyl', 'score': 0.023}, {'token': 'american', 'score': 0.016}, {'token': 'ever', 'score': 0.013}, {'token': 'victor', 'score': 0.011}, {'token': 'successful', 'score': 0.011}, {'token': 'hit', 'score': 0.011}, {'token': 'lp', 'score': 0.01}]","[{'token': 'jazz', 'score': 0.313}, {'token': 'commercial', 'score': 0.156}, {'token': 'known', 'score': 0.039}, {'token': 'hit', 'score': 0.021}, {'token': 'cast', 'score': 0.016}, {'token': 'studio', 'score': 0.013}, {'token': 'vinyl', 'score': 0.012}, {'token': 'sound', 'score': 0.012}, {'token': 'blues', 'score': 0.011}, {'token': 'official', 'score': 0.008}]","[{'token': 'together', 'score': 0.171}, {'token': 'commercially', 'score': 0.146}, {'token': 'records', 'score': 0.095}, {'token': 'live', 'score': 0.07}, {'token': 'successfully', 'score': 0.07}, {'token': 'music', 'score': 0.053}, {'token': 'professionally', 'score': 0.039}, {'token': 'songs', 'score': 0.023}, {'token': 'ever', 'score': 0.021}, {'token': 'continuously', 'score': 0.014}]","[{'token': 'jazz', 'score': 0.515}, {'token': 'commercial', 'score': 0.078}, {'token': 'known', 'score': 0.037}, {'token': 'vinyl', 'score': 0.012}, {'token': 'hit', 'score': 0.012}, {'token': 'blues', 'score': 0.011}, {'token': 'studio', 'score': 0.011}, {'token': 'official', 'score': 0.007}, {'token': 'cast', 'score': 0.006}, {'token': '78', 'score': 0.006}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]"
4,jazz,"[{'token': 'jazz', 'score': 0.804}, {'token': 'classical', 'score': 0.133}, {'token': 'concert', 'score': 0.029}, {'token': 'french', 'score': 0.01}, {'token': 'solo', 'score': 0.003}, {'token': 'contemporary', 'score': 0.002}, {'token': 'piano', 'score': 0.001}, {'token': 'american', 'score': 0.001}, {'token': 'professional', 'score': 0.001}, {'token': 'modern', 'score': 0.001}]","[{'token': 'jazz', 'score': 0.923}, {'token': 'classical', 'score': 0.058}, {'token': 'concert', 'score': 0.008}, {'token': 'french', 'score': 0.001}, {'token': 'solo', 'score': 0.001}, {'token': 'piano', 'score': 0.001}, {'token': 'professional', 'score': 0.0}, {'token': 'session', 'score': 0.0}, {'token': 'acoustic', 'score': 0.0}, {'token': 'blues', 'score': 0.0}]","[{'token': 'french', 'score': 0.382}, {'token': 'jazz', 'score': 0.269}, {'token': 'young', 'score': 0.103}, {'token': 'classical', 'score': 0.055}, {'token': 'concert', 'score': 0.035}, {'token': 'swiss', 'score': 0.011}, {'token': 'famous', 'score': 0.01}, {'token': 'professional', 'score': 0.007}, {'token': 'canadian', 'score': 0.005}, {'token': 'solo', 'score': 0.004}]","[{'token': 'jazz', 'score': 0.808}, {'token': 'concert', 'score': 0.114}, {'token': 'classical', 'score': 0.053}, {'token': 'solo', 'score': 0.007}, {'token': 'modern', 'score': 0.001}, {'token': 'session', 'score': 0.001}, {'token': 'recital', 'score': 0.001}, {'token': 'contemporary', 'score': 0.001}, {'token': 'chamber', 'score': 0.001}, {'token': 'studio', 'score': 0.001}]","[{'token': 'jazz', 'score': 0.443}, {'token': 'french', 'score': 0.12}, {'token': 'young', 'score': 0.112}, {'token': 'famous', 'score': 0.105}, {'token': 'concert', 'score': 0.023}, {'token': 'classical', 'score': 0.02}, {'token': 'little', 'score': 0.005}, {'token': 'swiss', 'score': 0.005}, {'token': 'street', 'score': 0.005}, {'token': 'new', 'score': 0.004}]"
5,opera,"[{'token': 'opera', 'score': 0.999}, {'token': 'epic', 'score': 0.0}, {'token': 'adaptation', 'score': 0.0}, {'token': 'overture', 'score': 0.0}, {'token': 'operatic', 'score': 0.0}, {'token': 'anthem', 'score': 0.0}, {'token': 'drama', 'score': 0.0}, {'token': 'tragedy', 'score': 0.0}, {'token': 'aria', 'score': 0.0}, {'token': 'ballet', 'score': 0.0}]","[{'token': 'opera', 'score': 0.808}, {'token': 'play', 'score': 0.085}, {'token': 'musical', 'score': 0.033}, {'token': 'ballet', 'score': 0.023}, {'token': 'drama', 'score': 0.018}, {'token': 'tragedy', 'score': 0.012}, {'token': 'libretto', 'score': 0.008}, {'token': 'novel', 'score': 0.002}, {'token': 'comedy', 'score': 0.002}, {'token': 'poem', 'score': 0.001}]","[{'token': 'opera', 'score': 0.866}, {'token': 'ballet', 'score': 0.031}, {'token': 'libretto', 'score': 0.027}, {'token': 'play', 'score': 0.022}, {'token': 'musical', 'score': 0.021}, {'token': 'drama', 'score': 0.01}, {'token': 'tragedy', 'score': 0.008}, {'token': 'cantata', 'score': 0.003}, {'token': 'poem', 'score': 0.002}, {'token': 'novel', 'score': 0.001}]","[{'token': 'opera', 'score': 0.998}, {'token': 'adaptation', 'score': 0.0}, {'token': 'album', 'score': 0.0}, {'token': 'epic', 'score': 0.0}, {'token': 'entertainment', 'score': 0.0}, {'token': 'evening', 'score': 0.0}, {'token': 'ensemble', 'score': 0.0}, {'token': 'hour', 'score': 0.0}, {'token': 'anthology', 'score': 0.0}, {'token': 'act', 'score': 0.0}]","[{'token': 'opera', 'score': 0.945}, {'token': 'ballet', 'score': 0.027}, {'token': 'musical', 'score': 0.013}, {'token': 'play', 'score': 0.005}, {'token': 'drama', 'score': 0.003}, {'token': 'libretto', 'score': 0.003}, {'token': 'tragedy', 'score': 0.001}, {'token': 'cantata', 'score': 0.001}, {'token': 'operas', 'score': 0.0}, {'token': 'film', 'score': 0.0}]"
6,opera,"[{'token': 'opera', 'score': 1.0}, {'token': 'epic', 'score': 0.0}, {'token': 'ballet', 'score': 0.0}, {'token': 'operas', 'score': 0.0}, {'token': 'operatic', 'score': 0.0}, {'token': 'adaptation', 'score': 0.0}, {'token': 'anthem', 'score': 0.0}, {'token': 'drama', 'score': 0.0}, {'token': 'tragedy', 'score': 0.0}, {'token': 'entertainment', 'score': 0.0}]","[{'token': 'opera', 'score': 0.999}, {'token': 'epic', 'score': 0.0}, {'token': 'adaptation', 'score': 0.0}, {'token': 'ballet', 'score': 0.0}, {'token': 'drama', 'score': 0.0}, {'token': 'operatic', 'score': 0.0}, {'token': 'anthem', 'score': 0.0}, {'token': 'operas', 'score': 0.0}, {'token': 'musical', 'score': 0.0}, {'token': 'act', 'score': 0.0}]","[{'token': 'opera', 'score': 0.999}, {'token': 'epic', 'score': 0.001}, {'token': 'adaptation', 'score': 0.0}, {'token': 'ballet', 'score': 0.0}, {'token': 'anthem', 'score': 0.0}, {'token': 'entertainment', 'score': 0.0}, {'token': 'operatic', 'score': 0.0}, {'token': 'drama', 'score': 0.0}, {'token': 'orchestra', 'score': 0.0}, {'token': 'act', 'score': 0.0}]","[{'token': 'opera', 'score': 0.588}, {'token': 'play', 'score': 0.362}, {'token': 'musical', 'score': 0.01}, {'token': 'drama', 'score': 0.009}, {'token': 'ballet', 'score': 0.009}, {'token': 'comedy', 'score': 0.006}, {'token': 'tragedy', 'score': 0.003}, {'token': 'libretto', 'score': 0.002}, {'token': 'story', 'score': 0.002}, {'token': 'piece', 'score': 0.002}]","[{'token': 'opera', 'score': 0.877}, {'token': 'play', 'score': 0.056}, {'token': 'ballet', 'score': 0.024}, {'token': 'musical', 'score': 0.013}, {'token': 'comedy', 'score': 0.01}, {'token': 'drama', 'score': 0.008}, {'token': 'tragedy', 'score': 0.003}, {'token': 'libretto', 'score': 0.001}, {'token': 'piece', 'score': 0.001}, {'token': 'vaudeville', 'score': 0.001}]"
7,opera,"[{'token': 'opera', 'score': 1.0}, {'token': 'operas', 'score': 0.0}, {'token': 'operatic', 'score': 0.0}, {'token': 'epic', 'score': 0.0}, {'token': 'aria', 'score': 0.0}, {'token': 'anthem', 'score': 0.0}, {'token': 'adaptation', 'score': 0.0}, {'token': 'ballet', 'score': 0.0}, {'token': 'drama', 'score': 0.0}, {'token': 'entertainment', 'score': 0.0}]","[{'token': 'musical', 'score': 0.483}, {'token': 'opera', 'score': 0.452}, {'token': 'play', 'score': 0.025}, {'token': 'drama', 'score': 0.022}, {'token': 'ballet', 'score': 0.006}, {'token': 'ballad', 'score': 0.001}, {'token': 'song', 'score': 0.001}, {'token': 'novel', 'score': 0.001}, {'token': 'tragedy', 'score': 0.001}, {'token': 'comedy', 'score': 0.001}]","[{'token': 'play', 'score': 0.873}, {'token': 'opera', 'score': 0.058}, {'token': 'musical', 'score': 0.037}, {'token': 'drama', 'score': 0.014}, {'token': 'comedy', 'score': 0.009}, {'token': 'ballet', 'score': 0.003}, {'token': 'show', 'score': 0.001}, {'token': 'plays', 'score': 0.001}, {'token': 'tragedy', 'score': 0.001}, {'token': 'piece', 'score': 0.001}]","[{'token': 'play', 'score': 0.799}, {'token': 'opera', 'score': 0.075}, {'token': 'musical', 'score': 0.063}, {'token': 'comedy', 'score': 0.026}, {'token': 'drama', 'score': 0.018}, {'token': 'show', 'score': 0.003}, {'token': 'piece', 'score': 0.003}, {'token': 'ballet', 'score': 0.002}, {'token': 'tragedy', 'score': 0.002}, {'token': 'plays', 'score': 0.001}]","[{'token': 'play', 'score': 0.872}, {'token': 'drama', 'score': 0.03}, {'token': 'novel', 'score': 0.019}, {'token': 'comedy', 'score': 0.009}, {'token': 'musical', 'score': 0.007}, {'token': 'work', 'score': 0.006}, {'token': 'opera', 'score': 0.004}, {'token': 'production', 'score': 0.003}, {'token': 'piece', 'score': 0.003}, {'token': 'book', 'score': 0.003}]"
8,jazz,"[{'token': 'jazz', 'score': 0.971}, {'token': 'blues', 'score': 0.015}, {'token': 'bass', 'score': 0.005}, {'token': 'swing', 'score': 0.001}, {'token': 'alto', 'score': 0.001}, {'token': 'pop', 'score': 0.0}, {'token': 'classical', 'score': 0.0}, {'token': 'rock', 'score': 0.0}, {'token': 'tenor', 'score': 0.0}, {'token': 'music', 'score': 0.0}]","[{'token': 'jazz', 'score': 0.953}, {'token': 'blues', 'score': 0.03}, {'token': 'bass', 'score': 0.004}, {'token': 'classical', 'score': 0.002}, {'token': 'alto', 'score': 0.002}, {'token': 'swing', 'score': 0.001}, {'token': 'music', 'score': 0.001}, {'token': 'professional', 'score': 0.0}, {'token': 'concert', 'score': 0.0}, {'token': 'musical', 'score': 0.0}]","[{'token': 'jazz', 'score': 0.81}, {'token': 'blues', 'score': 0.018}, {'token': 'young', 'score': 0.015}, {'token': 'former', 'score': 0.013}, {'token': 'swing', 'score': 0.012}, {'token': 'bass', 'score': 0.012}, {'token': 'talented', 'score': 0.01}, {'token': 'professional', 'score': 0.009}, {'token': 'famous', 'score': 0.005}, {'token': 'popular', 'score': 0.005}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': 'jazz', 'score': 0.952}, {'token': 'bass', 'score': 0.013}, {'token': 'blues', 'score': 0.007}, {'token': 'alto', 'score': 0.007}, {'token': 'classical', 'score': 0.003}, {'token': 'swing', 'score': 0.003}, {'token': 'music', 'score': 0.001}, {'token': 'tenor', 'score': 0.001}, {'token': 'born', 'score': 0.001}, {'token': 'concert', 'score': 0.001}]"
9,jazz,"[{'token': 'jazz', 'score': 0.62}, {'token': 'noted', 'score': 0.06}, {'token': 'prominent', 'score': 0.05}, {'token': 'popular', 'score': 0.039}, {'token': 'canadian', 'score': 0.023}, {'token': 'famous', 'score': 0.016}, {'token': 'professional', 'score': 0.015}, {'token': 'notable', 'score': 0.012}, {'token': 'leading', 'score': 0.01}, {'token': 'chicago', 'score': 0.008}]","[{'token': 'notable', 'score': 0.293}, {'token': 'famous', 'score': 0.143}, {'token': 'popular', 'score': 0.123}, {'token': 'prominent', 'score': 0.122}, {'token': 'noted', 'score': 0.07}, {'token': 'leading', 'score': 0.046}, {'token': 'great', 'score': 0.016}, {'token': 'legendary', 'score': 0.014}, {'token': 'successful', 'score': 0.012}, {'token': 'major', 'score': 0.011}]","[{'token': 'jazz', 'score': 0.434}, {'token': 'noted', 'score': 0.06}, {'token': 'popular', 'score': 0.057}, {'token': 'prominent', 'score': 0.039}, {'token': 'professional', 'score': 0.023}, {'token': 'canadian', 'score': 0.023}, {'token': 'chicago', 'score': 0.022}, {'token': 'legendary', 'score': 0.022}, {'token': 'famous', 'score': 0.016}, {'token': 'leading', 'score': 0.015}]","[{'token': 'jazz', 'score': 0.702}, {'token': 'canadian', 'score': 0.03}, {'token': 'prominent', 'score': 0.029}, {'token': 'noted', 'score': 0.025}, {'token': 'popular', 'score': 0.024}, {'token': 'famous', 'score': 0.011}, {'token': 'chicago', 'score': 0.01}, {'token': 'professional', 'score': 0.009}, {'token': 'british', 'score': 0.008}, {'token': 'leading', 'score': 0.008}]","[{'token': 'noted', 'score': 0.132}, {'token': 'jazz', 'score': 0.105}, {'token': 'professional', 'score': 0.096}, {'token': 'prominent', 'score': 0.062}, {'token': 'talented', 'score': 0.053}, {'token': 'notable', 'score': 0.039}, {'token': 'popular', 'score': 0.039}, {'token': 'famous', 'score': 0.036}, {'token': 'successful', 'score': 0.025}, {'token': 'leading', 'score': 0.02}]"
