,answers,original,t5_0,t5_1,t5_2,t5_3
0,brazil,"[{'token': 'spain', 'score': 0.249}, {'token': 'germany', 'score': 0.13}, {'token': 'argentina', 'score': 0.126}, {'token': 'italy', 'score': 0.085}, {'token': 'brazil', 'score': 0.058}, {'token': 'mexico', 'score': 0.048}, {'token': 'france', 'score': 0.04}, {'token': 'switzerland', 'score': 0.028}, {'token': 'barcelona', 'score': 0.017}, {'token': 'japan', 'score': 0.016}]","[{'token': 'spain', 'score': 0.378}, {'token': 'argentina', 'score': 0.106}, {'token': 'france', 'score': 0.087}, {'token': 'italy', 'score': 0.077}, {'token': 'switzerland', 'score': 0.073}, {'token': 'brazil', 'score': 0.051}, {'token': 'germany', 'score': 0.048}, {'token': 'monaco', 'score': 0.017}, {'token': 'portugal', 'score': 0.016}, {'token': 'austria', 'score': 0.014}]","[{'token': 'spain', 'score': 0.21}, {'token': 'argentina', 'score': 0.201}, {'token': 'brazil', 'score': 0.151}, {'token': 'italy', 'score': 0.055}, {'token': 'mexico', 'score': 0.045}, {'token': 'portugal', 'score': 0.045}, {'token': 'france', 'score': 0.03}, {'token': 'morocco', 'score': 0.012}, {'token': 'switzerland', 'score': 0.012}, {'token': 'uruguay', 'score': 0.012}]","[{'token': 'spain', 'score': 0.118}, {'token': 'germany', 'score': 0.075}, {'token': 'brazil', 'score': 0.063}, {'token': 'switzerland', 'score': 0.059}, {'token': 'argentina', 'score': 0.056}, {'token': 'france', 'score': 0.055}, {'token': 'italy', 'score': 0.051}, {'token': 'japan', 'score': 0.042}, {'token': 'belgium', 'score': 0.031}, {'token': 'barcelona', 'score': 0.029}]",
1,france,"[{'token': 'french', 'score': 0.489}, {'token': 'canadian', 'score': 0.161}, {'token': 'belgian', 'score': 0.072}, {'token': 'swedish', 'score': 0.071}, {'token': 'swiss', 'score': 0.042}, {'token': 'norwegian', 'score': 0.032}, {'token': 'british', 'score': 0.02}, {'token': 'finnish', 'score': 0.014}, {'token': 'danish', 'score': 0.012}, {'token': 'dutch', 'score': 0.009}]","[{'token': 'the', 'score': 0.772}, {'token': 'his', 'score': 0.047}, {'token': 'its', 'score': 0.04}, {'token': 'a', 'score': 0.011}, {'token': 'their', 'score': 0.009}, {'token': 'first', 'score': 0.008}, {'token': 'her', 'score': 0.007}, {'token': 'principal', 'score': 0.006}, {'token': 'chief', 'score': 0.006}, {'token': 'our', 'score': 0.005}]","[{'token': 'japan', 'score': 0.292}, {'token': 'tokyo', 'score': 0.057}, {'token': 'denmark', 'score': 0.041}, {'token': 'finland', 'score': 0.037}, {'token': 'germany', 'score': 0.034}, {'token': 'france', 'score': 0.029}, {'token': 'poland', 'score': 0.025}, {'token': 'sweden', 'score': 0.022}, {'token': 'copenhagen', 'score': 0.019}, {'token': 'china', 'score': 0.016}]","[{'token': 'france', 'score': 0.16}, {'token': 'paris', 'score': 0.069}, {'token': 'montreal', 'score': 0.037}, {'token': 'quebec', 'score': 0.024}, {'token': 'canada', 'score': 0.021}, {'token': 'england', 'score': 0.02}, {'token': 'switzerland', 'score': 0.02}, {'token': 'sweden', 'score': 0.016}, {'token': 'germany', 'score': 0.015}, {'token': 'italy', 'score': 0.014}]","[{'token': 'france', 'score': 0.277}, {'token': 'belgium', 'score': 0.073}, {'token': 'paris', 'score': 0.062}, {'token': 'india', 'score': 0.025}, {'token': 'germany', 'score': 0.024}, {'token': 'spain', 'score': 0.023}, {'token': 'italy', 'score': 0.022}, {'token': 'russia', 'score': 0.017}, {'token': 'london', 'score': 0.017}, {'token': 'canada', 'score': 0.015}]"
2,estonia,"[{'token': 'danish', 'score': 0.15}, {'token': 'norwegian', 'score': 0.113}, {'token': 'estonian', 'score': 0.11}, {'token': 'german', 'score': 0.106}, {'token': 'swedish', 'score': 0.094}, {'token': 'finnish', 'score': 0.028}, {'token': 'french', 'score': 0.027}, {'token': 'dutch', 'score': 0.024}, {'token': 'american', 'score': 0.024}, {'token': 'polish', 'score': 0.023}]",,"[{'token': 'norway', 'score': 0.176}, {'token': 'sweden', 'score': 0.16}, {'token': 'estonia', 'score': 0.115}, {'token': 'poland', 'score': 0.073}, {'token': 'denmark', 'score': 0.058}, {'token': 'finland', 'score': 0.047}, {'token': 'australia', 'score': 0.019}, {'token': 'germany', 'score': 0.019}, {'token': 'canada', 'score': 0.015}, {'token': 'latvia', 'score': 0.014}]",,
3,denmark,"[{'token': 'denmark', 'score': 0.48}, {'token': 'sweden', 'score': 0.227}, {'token': 'norway', 'score': 0.052}, {'token': 'austria', 'score': 0.034}, {'token': 'estonia', 'score': 0.028}, {'token': 'liechtenstein', 'score': 0.015}, {'token': 'france', 'score': 0.011}, {'token': 'lithuania', 'score': 0.011}, {'token': 'latvia', 'score': 0.011}, {'token': 'finland', 'score': 0.008}]","[{'token': 'denmark', 'score': 0.457}, {'token': 'sweden', 'score': 0.201}, {'token': 'estonia', 'score': 0.046}, {'token': 'norway', 'score': 0.045}, {'token': 'liechtenstein', 'score': 0.041}, {'token': 'lithuania', 'score': 0.021}, {'token': 'finland', 'score': 0.021}, {'token': 'austria', 'score': 0.019}, {'token': 'prussia', 'score': 0.015}, {'token': 'copenhagen', 'score': 0.011}]","[{'token': 'denmark', 'score': 0.685}, {'token': 'sweden', 'score': 0.077}, {'token': 'norway', 'score': 0.042}, {'token': 'danish', 'score': 0.039}, {'token': 'copenhagen', 'score': 0.012}, {'token': 'estonia', 'score': 0.011}, {'token': 'finland', 'score': 0.008}, {'token': 'germany', 'score': 0.007}, {'token': 'france', 'score': 0.007}, {'token': 'austria', 'score': 0.007}]","[{'token': 'denmark', 'score': 0.378}, {'token': 'sweden', 'score': 0.187}, {'token': 'norway', 'score': 0.061}, {'token': 'liechtenstein', 'score': 0.054}, {'token': 'austria', 'score': 0.049}, {'token': 'lithuania', 'score': 0.035}, {'token': 'estonia', 'score': 0.028}, {'token': 'poland', 'score': 0.02}, {'token': 'hungary', 'score': 0.018}, {'token': 'germany', 'score': 0.017}]","[{'token': 'denmark', 'score': 0.279}, {'token': 'sweden', 'score': 0.233}, {'token': 'norway', 'score': 0.109}, {'token': 'finland', 'score': 0.031}, {'token': 'lithuania', 'score': 0.03}, {'token': 'estonia', 'score': 0.028}, {'token': 'austria', 'score': 0.025}, {'token': 'poland', 'score': 0.022}, {'token': 'liechtenstein', 'score': 0.021}, {'token': 'hungary', 'score': 0.016}]"
4,denmark,"[{'token': 'swedish', 'score': 0.234}, {'token': 'finnish', 'score': 0.172}, {'token': 'danish', 'score': 0.163}, {'token': 'norwegian', 'score': 0.115}, {'token': 'german', 'score': 0.028}, {'token': 'dutch', 'score': 0.024}, {'token': 'canadian', 'score': 0.016}, {'token': 'czech', 'score': 0.013}, {'token': 'latvian', 'score': 0.011}, {'token': 'french', 'score': 0.011}]","[{'token': 'india', 'score': 0.013}, {'token': 'children', 'score': 0.01}, {'token': 'it', 'score': 0.009}, {'token': 'iran', 'score': 0.009}, {'token': 'israel', 'score': 0.009}, {'token': 'u', 'score': 0.008}, {'token': 'who', 'score': 0.008}, {'token': 'king', 'score': 0.008}, {'token': 'people', 'score': 0.007}, {'token': 'poland', 'score': 0.007}]","[{'token': 'denmark', 'score': 0.1}, {'token': 'sweden', 'score': 0.082}, {'token': 'germany', 'score': 0.057}, {'token': 'norway', 'score': 0.033}, {'token': 'france', 'score': 0.029}, {'token': 'finland', 'score': 0.028}, {'token': 'poland', 'score': 0.025}, {'token': 'estonia', 'score': 0.023}, {'token': 'austria', 'score': 0.02}, {'token': 'turkey', 'score': 0.016}]","[{'token': 'sweden', 'score': 0.115}, {'token': 'germany', 'score': 0.062}, {'token': 'denmark', 'score': 0.058}, {'token': 'norway', 'score': 0.04}, {'token': 'belgium', 'score': 0.04}, {'token': 'stockholm', 'score': 0.037}, {'token': 'france', 'score': 0.035}, {'token': 'england', 'score': 0.027}, {'token': 'berlin', 'score': 0.026}, {'token': 'amsterdam', 'score': 0.024}]","[{'token': 'sweden', 'score': 0.15}, {'token': 'india', 'score': 0.122}, {'token': 'finland', 'score': 0.058}, {'token': 'norway', 'score': 0.051}, {'token': 'denmark', 'score': 0.041}, {'token': 'australia', 'score': 0.028}, {'token': 'germany', 'score': 0.024}, {'token': 'england', 'score': 0.018}, {'token': 'indonesia', 'score': 0.016}, {'token': 'canada', 'score': 0.015}]"
5,sweden,"[{'token': 'swedish', 'score': 0.582}, {'token': 'norwegian', 'score': 0.116}, {'token': 'danish', 'score': 0.07}, {'token': 'german', 'score': 0.065}, {'token': 'finnish', 'score': 0.041}, {'token': 'czech', 'score': 0.038}, {'token': 'dutch', 'score': 0.008}, {'token': 'polish', 'score': 0.007}, {'token': 'swiss', 'score': 0.006}, {'token': 'latvian', 'score': 0.005}]","[{'token': 'sweden', 'score': 0.38}, {'token': 'norway', 'score': 0.139}, {'token': 'denmark', 'score': 0.088}, {'token': 'germany', 'score': 0.052}, {'token': 'finland', 'score': 0.033}, {'token': 'austria', 'score': 0.033}, {'token': 'stockholm', 'score': 0.03}, {'token': 'switzerland', 'score': 0.02}, {'token': 'belgium', 'score': 0.014}, {'token': 'liechtenstein', 'score': 0.012}]","[{'token': 'stockholm', 'score': 0.342}, {'token': 'sweden', 'score': 0.252}, {'token': 'norway', 'score': 0.047}, {'token': 'oslo', 'score': 0.038}, {'token': 'india', 'score': 0.027}, {'token': 'finland', 'score': 0.025}, {'token': 'denmark', 'score': 0.019}, {'token': 'copenhagen', 'score': 0.019}, {'token': 'uppsala', 'score': 0.013}, {'token': 'gothenburg', 'score': 0.013}]","[{'token': 'sweden', 'score': 0.2}, {'token': 'denmark', 'score': 0.163}, {'token': 'germany', 'score': 0.115}, {'token': 'norway', 'score': 0.101}, {'token': 'stockholm', 'score': 0.083}, {'token': 'copenhagen', 'score': 0.034}, {'token': 'switzerland', 'score': 0.033}, {'token': 'england', 'score': 0.029}, {'token': 'austria', 'score': 0.02}, {'token': 'finland', 'score': 0.015}]","[{'token': 'india', 'score': 0.065}, {'token': 'sweden', 'score': 0.048}, {'token': 'germany', 'score': 0.046}, {'token': 'belgium', 'score': 0.038}, {'token': 'norway', 'score': 0.023}, {'token': 'denmark', 'score': 0.022}, {'token': 'england', 'score': 0.021}, {'token': 'nepal', 'score': 0.021}, {'token': 'austria', 'score': 0.021}, {'token': 'japan', 'score': 0.02}]"
6,india,"[{'token': 'india', 'score': 0.887}, {'token': 'bangladesh', 'score': 0.022}, {'token': 'pakistan', 'score': 0.012}, {'token': 'burma', 'score': 0.004}, {'token': 'etc', 'score': 0.004}, {'token': 'bengal', 'score': 0.004}, {'token': 'respectively', 'score': 0.003}, {'token': '1971', 'score': 0.003}, {'token': 'odisha', 'score': 0.002}, {'token': '1962', 'score': 0.002}]","[{'token': 'india', 'score': 0.685}, {'token': 'bengal', 'score': 0.05}, {'token': 'bangladesh', 'score': 0.026}, {'token': 'nepal', 'score': 0.02}, {'token': 'calcutta', 'score': 0.017}, {'token': 'bihar', 'score': 0.016}, {'token': 'maharashtra', 'score': 0.014}, {'token': 'assam', 'score': 0.013}, {'token': 'gujarat', 'score': 0.01}, {'token': 'delhi', 'score': 0.01}]","[{'token': 'india', 'score': 0.642}, {'token': 'who', 'score': 0.055}, {'token': 'maharashtra', 'score': 0.026}, {'token': 'there', 'score': 0.019}, {'token': 'assam', 'score': 0.017}, {'token': 'he', 'score': 0.014}, {'token': 'then', 'score': 0.012}, {'token': 'gujarat', 'score': 0.012}, {'token': 'nepal', 'score': 0.008}, {'token': 'pakistan', 'score': 0.008}]","[{'token': 'india', 'score': 0.796}, {'token': 'bangladesh', 'score': 0.015}, {'token': 'respectively', 'score': 0.015}, {'token': 'etc', 'score': 0.013}, {'token': 'pakistan', 'score': 0.012}, {'token': 'maharashtra', 'score': 0.009}, {'token': 'bengal', 'score': 0.007}, {'token': 'odisha', 'score': 0.005}, {'token': 'burma', 'score': 0.004}, {'token': '1947', 'score': 0.003}]","[{'token': 'india', 'score': 0.653}, {'token': 'state', 'score': 0.068}, {'token': 'bangladesh', 'score': 0.041}, {'token': 'odisha', 'score': 0.031}, {'token': 'bengal', 'score': 0.017}, {'token': 'assam', 'score': 0.015}, {'token': 'bihar', 'score': 0.014}, {'token': 'nepal', 'score': 0.014}, {'token': 'kerala', 'score': 0.011}, {'token': 'maharashtra', 'score': 0.01}]"
7,japan,"[{'token': 'india', 'score': 0.23}, {'token': 'nepal', 'score': 0.066}, {'token': 'pakistan', 'score': 0.054}, {'token': 'indonesia', 'score': 0.041}, {'token': 'japan', 'score': 0.04}, {'token': 'bangladesh', 'score': 0.028}, {'token': 'iran', 'score': 0.024}, {'token': 'thailand', 'score': 0.022}, {'token': 'china', 'score': 0.022}, {'token': 'kenya', 'score': 0.021}]",,,,"[{'token': 'india', 'score': 0.105}, {'token': 'japan', 'score': 0.047}, {'token': 'nepal', 'score': 0.044}, {'token': 'mumbai', 'score': 0.025}, {'token': 'pakistan', 'score': 0.021}, {'token': 'bangalore', 'score': 0.018}, {'token': 'indonesia', 'score': 0.017}, {'token': 'tokyo', 'score': 0.017}, {'token': 'sweden', 'score': 0.016}, {'token': 'russia', 'score': 0.014}]"
8,canada,"[{'token': 'america', 'score': 0.179}, {'token': 'canada', 'score': 0.11}, {'token': 'europe', 'score': 0.09}, {'token': 'britain', 'score': 0.033}, {'token': 'england', 'score': 0.022}, {'token': 'washington', 'score': 0.019}, {'token': 'massachusetts', 'score': 0.019}, {'token': 'california', 'score': 0.018}, {'token': 'africa', 'score': 0.015}, {'token': 'germany', 'score': 0.015}]","[{'token': 'india', 'score': 0.456}, {'token': 'canada', 'score': 0.083}, {'token': 'australia', 'score': 0.058}, {'token': 'pakistan', 'score': 0.051}, {'token': 'nepal', 'score': 0.025}, {'token': 'britain', 'score': 0.022}, {'token': 'bangladesh', 'score': 0.021}, {'token': 'kenya', 'score': 0.012}, {'token': 'america', 'score': 0.008}, {'token': 'china', 'score': 0.008}]","[{'token': 'he', 'score': 0.31}, {'token': 'canada', 'score': 0.265}, {'token': 'britain', 'score': 0.039}, {'token': 'quebec', 'score': 0.021}, {'token': 'ontario', 'score': 0.019}, {'token': 'douglas', 'score': 0.015}, {'token': 'congress', 'score': 0.012}, {'token': 'norway', 'score': 0.012}, {'token': 'alberta', 'score': 0.011}, {'token': 'parliament', 'score': 0.011}]","[{'token': '1972', 'score': 0.041}, {'token': '1973', 'score': 0.032}, {'token': '1974', 'score': 0.03}, {'token': '1964', 'score': 0.024}, {'token': '1965', 'score': 0.024}, {'token': '1971', 'score': 0.023}, {'token': 'canada', 'score': 0.023}, {'token': '1968', 'score': 0.021}, {'token': '1961', 'score': 0.021}, {'token': '1970', 'score': 0.019}]","[{'token': 'canada', 'score': 0.633}, {'token': 'america', 'score': 0.085}, {'token': 'britain', 'score': 0.033}, {'token': 'australia', 'score': 0.021}, {'token': 'washington', 'score': 0.017}, {'token': 'quebec', 'score': 0.016}, {'token': 'california', 'score': 0.013}, {'token': 'europe', 'score': 0.01}, {'token': 'norway', 'score': 0.007}, {'token': 'vermont', 'score': 0.007}]"
9,nigeria,"[{'token': 'nigeria', 'score': 0.659}, {'token': 'parliament', 'score': 0.04}, {'token': 'ghana', 'score': 0.031}, {'token': 'benin', 'score': 0.02}, {'token': 'lagos', 'score': 0.019}, {'token': 'fifa', 'score': 0.013}, {'token': 'government', 'score': 0.011}, {'token': 'niger', 'score': 0.01}, {'token': 'zambia', 'score': 0.01}, {'token': 'guinea', 'score': 0.008}]","[{'token': 'pakistan', 'score': 0.097}, {'token': 'unicef', 'score': 0.07}, {'token': 'bangladesh', 'score': 0.043}, {'token': 'maldives', 'score': 0.042}, {'token': 'unesco', 'score': 0.028}, {'token': 'fifa', 'score': 0.027}, {'token': 'government', 'score': 0.022}, {'token': 'parliament', 'score': 0.022}, {'token': 'oman', 'score': 0.022}, {'token': 'iran', 'score': 0.02}]","[{'token': 'nigeria', 'score': 0.058}, {'token': 'ghana', 'score': 0.05}, {'token': 'iran', 'score': 0.042}, {'token': 'indonesia', 'score': 0.037}, {'token': 'fifa', 'score': 0.035}, {'token': 'pakistan', 'score': 0.035}, {'token': 'mongolia', 'score': 0.024}, {'token': 'japan', 'score': 0.022}, {'token': 'malawi', 'score': 0.02}, {'token': 'egypt', 'score': 0.018}]","[{'token': 'iran', 'score': 0.07}, {'token': 'belgium', 'score': 0.057}, {'token': 'israel', 'score': 0.051}, {'token': 'poland', 'score': 0.048}, {'token': 'lebanon', 'score': 0.038}, {'token': 'kyrgyzstan', 'score': 0.024}, {'token': 'belarus', 'score': 0.023}, {'token': 'france', 'score': 0.021}, {'token': 'nigeria', 'score': 0.02}, {'token': 'germany', 'score': 0.018}]","[{'token': 'pakistan', 'score': 0.125}, {'token': 'maldives', 'score': 0.087}, {'token': 'bangladesh', 'score': 0.068}, {'token': 'unicef', 'score': 0.064}, {'token': 'india', 'score': 0.057}, {'token': 'indonesia', 'score': 0.022}, {'token': 'fifa', 'score': 0.021}, {'token': 'iran', 'score': 0.02}, {'token': 'nepal', 'score': 0.018}, {'token': 'parliament', 'score': 0.017}]"
