,answers,original,t5_0,t5_1,t5_2,t5_3
0,alexandra,"[{'token': 'melbourne', 'score': 0.285}, {'token': 'sydney', 'score': 0.276}, {'token': 'perth', 'score': 0.119}, {'token': 'adelaide', 'score': 0.072}, {'token': 'brisbane', 'score': 0.07}, {'token': 'canberra', 'score': 0.023}, {'token': 'victoria', 'score': 0.021}, {'token': 'hobart', 'score': 0.014}, {'token': 'queensland', 'score': 0.014}, {'token': 'cairns', 'score': 0.012}]","[{'token': 'france', 'score': 0.967}, {'token': 'canada', 'score': 0.013}, {'token': 'europe', 'score': 0.003}, {'token': 'america', 'score': 0.002}, {'token': 'world', 'score': 0.001}, {'token': 'quebec', 'score': 0.001}, {'token': 'africa', 'score': 0.001}, {'token': 'spain', 'score': 0.001}, {'token': 'england', 'score': 0.001}, {'token': 'nations', 'score': 0.001}]","[{'token': 'france', 'score': 0.971}, {'token': 'canada', 'score': 0.009}, {'token': 'europe', 'score': 0.003}, {'token': 'australia', 'score': 0.002}, {'token': 'america', 'score': 0.001}, {'token': 'asia', 'score': 0.001}, {'token': 'world', 'score': 0.001}, {'token': 'spain', 'score': 0.001}, {'token': 'china', 'score': 0.001}, {'token': 'ireland', 'score': 0.001}]","[{'token': 'france', 'score': 0.946}, {'token': 'canada', 'score': 0.022}, {'token': 'europe', 'score': 0.005}, {'token': 'america', 'score': 0.004}, {'token': 'world', 'score': 0.002}, {'token': 'asia', 'score': 0.002}, {'token': 'australia', 'score': 0.002}, {'token': 'spain', 'score': 0.001}, {'token': 'england', 'score': 0.001}, {'token': 'european', 'score': 0.001}]","[{'token': 'france', 'score': 0.964}, {'token': 'canada', 'score': 0.016}, {'token': 'europe', 'score': 0.002}, {'token': 'asia', 'score': 0.002}, {'token': 'world', 'score': 0.002}, {'token': 'america', 'score': 0.001}, {'token': 'spain', 'score': 0.001}, {'token': 'cycling', 'score': 0.001}, {'token': 'africa', 'score': 0.001}, {'token': 'australia', 'score': 0.001}]"
1,doncaster,"[{'token': 'home', 'score': 0.468}, {'token': 'own', 'score': 0.072}, {'token': 'parliamentary', 'score': 0.058}, {'token': 'first', 'score': 0.019}, {'token': 'seat', 'score': 0.016}, {'token': 'main', 'score': 0.01}, {'token': 'constituency', 'score': 0.009}, {'token': 'new', 'score': 0.008}, {'token': 'electoral', 'score': 0.008}, {'token': 'local', 'score': 0.008}]","[{'token': 'home', 'score': 0.356}, {'token': 'parliamentary', 'score': 0.075}, {'token': 'own', 'score': 0.052}, {'token': 'first', 'score': 0.044}, {'token': 'electoral', 'score': 0.029}, {'token': 'seat', 'score': 0.016}, {'token': 'main', 'score': 0.016}, {'token': 'bihar', 'score': 0.012}, {'token': 'assembly', 'score': 0.011}, {'token': 'primary', 'score': 0.01}]","[{'token': 'home', 'score': 0.257}, {'token': 'parliamentary', 'score': 0.073}, {'token': 'own', 'score': 0.072}, {'token': 'westminster', 'score': 0.036}, {'token': 'sydney', 'score': 0.023}, {'token': 'electoral', 'score': 0.021}, {'token': 'first', 'score': 0.017}, {'token': 'primary', 'score': 0.016}, {'token': 'conservative', 'score': 0.013}, {'token': 'main', 'score': 0.011}]","[{'token': 'home', 'score': 0.307}, {'token': 'parliamentary', 'score': 0.084}, {'token': 'own', 'score': 0.067}, {'token': 'westminster', 'score': 0.027}, {'token': 'first', 'score': 0.02}, {'token': 'electoral', 'score': 0.019}, {'token': 'seat', 'score': 0.017}, {'token': 'conservative', 'score': 0.012}, {'token': 'primary', 'score': 0.011}, {'token': 'main', 'score': 0.01}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]"
2,scotland,"[{'token': 'german', 'score': 0.145}, {'token': 'polish', 'score': 0.143}, {'token': 'american', 'score': 0.083}, {'token': 'swedish', 'score': 0.065}, {'token': 'australian', 'score': 0.059}, {'token': 'dutch', 'score': 0.049}, {'token': 'canadian', 'score': 0.038}, {'token': 'british', 'score': 0.037}, {'token': 'irish', 'score': 0.032}, {'token': 'the', 'score': 0.031}]","[{'token': 'poland', 'score': 0.063}, {'token': 'germany', 'score': 0.026}, {'token': 'london', 'score': 0.024}, {'token': 'toronto', 'score': 0.023}, {'token': 'australia', 'score': 0.021}, {'token': 'sweden', 'score': 0.02}, {'token': 'berlin', 'score': 0.019}, {'token': 'chicago', 'score': 0.018}, {'token': 'warsaw', 'score': 0.017}, {'token': 'amsterdam', 'score': 0.015}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': 'australia', 'score': 0.109}, {'token': 'jamaica', 'score': 0.078}, {'token': 'brazil', 'score': 0.037}, {'token': 'mexico', 'score': 0.032}, {'token': 'argentina', 'score': 0.029}, {'token': 'canada', 'score': 0.027}, {'token': 'cuba', 'score': 0.02}, {'token': 'spain', 'score': 0.018}, {'token': 'england', 'score': 0.015}, {'token': 'india', 'score': 0.014}]","[{'token': 'norway', 'score': 0.149}, {'token': 'germany', 'score': 0.083}, {'token': 'australia', 'score': 0.07}, {'token': 'sweden', 'score': 0.054}, {'token': 'ireland', 'score': 0.031}, {'token': 'france', 'score': 0.029}, {'token': 'canada', 'score': 0.027}, {'token': 'uk', 'score': 0.026}, {'token': 'belgium', 'score': 0.016}, {'token': 'bbc', 'score': 0.013}]"
3,toronto,"[{'token': 'america', 'score': 0.394}, {'token': 'cuba', 'score': 0.058}, {'token': 'canada', 'score': 0.046}, {'token': 'europe', 'score': 0.03}, {'token': 'chicago', 'score': 0.029}, {'token': 'baseball', 'score': 0.027}, {'token': 'florida', 'score': 0.018}, {'token': 'mexico', 'score': 0.018}, {'token': 'today', 'score': 0.017}, {'token': 'uruguay', 'score': 0.014}]","[{'token': 'finland', 'score': 0.14}, {'token': 'uruguay', 'score': 0.087}, {'token': 'canada', 'score': 0.065}, {'token': 'america', 'score': 0.051}, {'token': 'cuba', 'score': 0.048}, {'token': 'europe', 'score': 0.042}, {'token': 'sweden', 'score': 0.04}, {'token': 'brazil', 'score': 0.03}, {'token': 'venezuela', 'score': 0.021}, {'token': 'argentina', 'score': 0.02}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': 'japan', 'score': 0.169}, {'token': 'nepal', 'score': 0.057}, {'token': 'india', 'score': 0.042}, {'token': 'indonesia', 'score': 0.041}, {'token': 'norway', 'score': 0.036}, {'token': 'taiwan', 'score': 0.031}, {'token': 'malaysia', 'score': 0.025}, {'token': 'canada', 'score': 0.025}, {'token': 'europe', 'score': 0.025}, {'token': 'denmark', 'score': 0.022}]","[{'token': 'poland', 'score': 0.2}, {'token': 'america', 'score': 0.063}, {'token': 'ohio', 'score': 0.018}, {'token': 'today', 'score': 0.018}, {'token': 'germany', 'score': 0.016}, {'token': 'sweden', 'score': 0.013}, {'token': 'chicago', 'score': 0.013}, {'token': 'europe', 'score': 0.011}, {'token': 'clinton', 'score': 0.01}, {'token': 'britain', 'score': 0.009}]"
4,vienna,"[{'token': 'vienna', 'score': 0.372}, {'token': 'berlin', 'score': 0.049}, {'token': 'copenhagen', 'score': 0.047}, {'token': 'austria', 'score': 0.044}, {'token': 'salzburg', 'score': 0.04}, {'token': 'munich', 'score': 0.025}, {'token': 'budapest', 'score': 0.022}, {'token': 'germany', 'score': 0.016}, {'token': 'innsbruck', 'score': 0.015}, {'token': 'stockholm', 'score': 0.014}]","[{'token': 'vienna', 'score': 0.177}, {'token': 'berlin', 'score': 0.132}, {'token': 'stockholm', 'score': 0.109}, {'token': 'oslo', 'score': 0.051}, {'token': 'copenhagen', 'score': 0.032}, {'token': 'helsinki', 'score': 0.024}, {'token': 'austria', 'score': 0.019}, {'token': 'sweden', 'score': 0.019}, {'token': 'germany', 'score': 0.017}, {'token': 'prague', 'score': 0.017}]","[{'token': 'vienna', 'score': 0.263}, {'token': 'austria', 'score': 0.079}, {'token': 'berlin', 'score': 0.046}, {'token': 'germany', 'score': 0.037}, {'token': 'london', 'score': 0.031}, {'token': 'munich', 'score': 0.021}, {'token': 'stockholm', 'score': 0.014}, {'token': 'paris', 'score': 0.013}, {'token': 'budapest', 'score': 0.013}, {'token': 'copenhagen', 'score': 0.012}]","[{'token': 'vienna', 'score': 0.206}, {'token': 'berlin', 'score': 0.129}, {'token': 'oslo', 'score': 0.048}, {'token': 'stockholm', 'score': 0.047}, {'token': 'munich', 'score': 0.041}, {'token': 'austria', 'score': 0.039}, {'token': 'copenhagen', 'score': 0.035}, {'token': 'germany', 'score': 0.028}, {'token': 'frankfurt', 'score': 0.019}, {'token': 'helsinki', 'score': 0.018}]","[{'token': 'vienna', 'score': 0.205}, {'token': 'berlin', 'score': 0.12}, {'token': 'stockholm', 'score': 0.049}, {'token': 'austria', 'score': 0.046}, {'token': 'oslo', 'score': 0.046}, {'token': 'munich', 'score': 0.033}, {'token': 'copenhagen', 'score': 0.033}, {'token': 'germany', 'score': 0.03}, {'token': 'helsinki', 'score': 0.019}, {'token': 'sweden', 'score': 0.018}]"
5,paris,"[{'token': 'paris', 'score': 0.243}, {'token': 'london', 'score': 0.07}, {'token': 'amsterdam', 'score': 0.061}, {'token': 'oslo', 'score': 0.032}, {'token': 'brussels', 'score': 0.032}, {'token': 'stockholm', 'score': 0.032}, {'token': 'berlin', 'score': 0.031}, {'token': 'vienna', 'score': 0.026}, {'token': 'copenhagen', 'score': 0.024}, {'token': 'montreal', 'score': 0.017}]","[{'token': 'paris', 'score': 0.134}, {'token': 'london', 'score': 0.06}, {'token': 'berlin', 'score': 0.03}, {'token': 'france', 'score': 0.03}, {'token': 'vienna', 'score': 0.018}, {'token': 'warsaw', 'score': 0.018}, {'token': 'rome', 'score': 0.015}, {'token': 'brussels', 'score': 0.012}, {'token': 'montreal', 'score': 0.011}, {'token': 'stockholm', 'score': 0.011}]","[{'token': 'paris', 'score': 0.168}, {'token': 'london', 'score': 0.05}, {'token': 'france', 'score': 0.048}, {'token': 'montreal', 'score': 0.022}, {'token': 'stockholm', 'score': 0.021}, {'token': 'copenhagen', 'score': 0.02}, {'token': 'vienna', 'score': 0.019}, {'token': 'amsterdam', 'score': 0.018}, {'token': 'rome', 'score': 0.016}, {'token': 'england', 'score': 0.014}]","[{'token': 'french', 'score': 0.096}, {'token': 'montevideo', 'score': 0.037}, {'token': 'uruguay', 'score': 0.029}, {'token': 'english', 'score': 0.028}, {'token': 'american', 'score': 0.026}, {'token': 'the', 'score': 0.023}, {'token': 'france', 'score': 0.019}, {'token': 'paris', 'score': 0.018}, {'token': 'uruguayan', 'score': 0.015}, {'token': 'german', 'score': 0.014}]","[{'token': 'paris', 'score': 0.442}, {'token': 'there', 'score': 0.073}, {'token': 'here', 'score': 0.057}, {'token': 'brussels', 'score': 0.027}, {'token': 'barcelona', 'score': 0.014}, {'token': 'london', 'score': 0.011}, {'token': 'berlin', 'score': 0.011}, {'token': 'france', 'score': 0.011}, {'token': 'vienna', 'score': 0.01}, {'token': 'stockholm', 'score': 0.009}]"
6,yokohama,"[{'token': 'tokyo', 'score': 0.152}, {'token': 'helsinki', 'score': 0.073}, {'token': 'oslo', 'score': 0.059}, {'token': 'warsaw', 'score': 0.042}, {'token': 'osaka', 'score': 0.04}, {'token': 'stockholm', 'score': 0.029}, {'token': 'berlin', 'score': 0.025}, {'token': 'kyoto', 'score': 0.024}, {'token': 'seoul', 'score': 0.02}, {'token': 'moscow', 'score': 0.02}]","[{'token': 'tokyo', 'score': 0.09}, {'token': 'japan', 'score': 0.081}, {'token': 'oslo', 'score': 0.025}, {'token': 'osaka', 'score': 0.019}, {'token': 'helsinki', 'score': 0.017}, {'token': 'germany', 'score': 0.016}, {'token': 'norway', 'score': 0.015}, {'token': 'sweden', 'score': 0.014}, {'token': 'stockholm', 'score': 0.012}, {'token': 'finland', 'score': 0.012}]","[{'token': 'helsinki', 'score': 0.106}, {'token': 'tokyo', 'score': 0.055}, {'token': 'tallinn', 'score': 0.028}, {'token': 'oslo', 'score': 0.027}, {'token': 'copenhagen', 'score': 0.025}, {'token': 'jakarta', 'score': 0.024}, {'token': 'stockholm', 'score': 0.023}, {'token': 'finland', 'score': 0.019}, {'token': 'osaka', 'score': 0.018}, {'token': 'japan', 'score': 0.015}]","[{'token': 'tokyo', 'score': 0.061}, {'token': 'chicago', 'score': 0.038}, {'token': 'lima', 'score': 0.017}, {'token': 'london', 'score': 0.017}, {'token': 'warsaw', 'score': 0.016}, {'token': 'osaka', 'score': 0.016}, {'token': 'berlin', 'score': 0.015}, {'token': 'montevideo', 'score': 0.014}, {'token': 'seoul', 'score': 0.014}, {'token': 'stockholm', 'score': 0.013}]","[{'token': 'tokyo', 'score': 0.176}, {'token': 'osaka', 'score': 0.05}, {'token': 'japan', 'score': 0.035}, {'token': 'kyoto', 'score': 0.026}, {'token': 'hiroshima', 'score': 0.02}, {'token': 'nagoya', 'score': 0.014}, {'token': 'seoul', 'score': 0.014}, {'token': 'nanjing', 'score': 0.013}, {'token': 'chiba', 'score': 0.013}, {'token': 'chennai', 'score': 0.013}]"
7,antwerp,"[{'token': '14', 'score': 0.012}, {'token': '15', 'score': 0.008}, {'token': 'london', 'score': 0.008}, {'token': '13', 'score': 0.008}, {'token': '1', 'score': 0.007}, {'token': 'elizabeth', 'score': 0.007}, {'token': '18', 'score': 0.007}, {'token': '3', 'score': 0.007}, {'token': '6', 'score': 0.007}, {'token': '2', 'score': 0.007}]","[{'token': 'england', 'score': 0.578}, {'token': 'france', 'score': 0.063}, {'token': 'holland', 'score': 0.034}, {'token': 'scotland', 'score': 0.031}, {'token': 'spain', 'score': 0.024}, {'token': 'britain', 'score': 0.021}, {'token': 'london', 'score': 0.017}, {'token': 'europe', 'score': 0.016}, {'token': 'ireland', 'score': 0.011}, {'token': 'germany', 'score': 0.009}]","[{'token': 'england', 'score': 0.124}, {'token': 'france', 'score': 0.091}, {'token': 'spain', 'score': 0.085}, {'token': 'holland', 'score': 0.079}, {'token': 'portugal', 'score': 0.051}, {'token': 'germany', 'score': 0.039}, {'token': 'rome', 'score': 0.033}, {'token': 'italy', 'score': 0.033}, {'token': 'flanders', 'score': 0.027}, {'token': 'poland', 'score': 0.025}]","[{'token': 'holland', 'score': 0.039}, {'token': 'holstein', 'score': 0.038}, {'token': 'england', 'score': 0.035}, {'token': 'flanders', 'score': 0.024}, {'token': 'kiel', 'score': 0.019}, {'token': 'saxony', 'score': 0.016}, {'token': 'danzig', 'score': 0.015}, {'token': 'chester', 'score': 0.013}, {'token': 'rotterdam', 'score': 0.013}, {'token': 'antwerp', 'score': 0.01}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]"
8,barcelona,"[{'token': 'calcutta', 'score': 0.09}, {'token': 'bombay', 'score': 0.048}, {'token': 'london', 'score': 0.031}, {'token': 'india', 'score': 0.03}, {'token': 'madrid', 'score': 0.029}, {'token': 'delhi', 'score': 0.028}, {'token': 'jamaica', 'score': 0.02}, {'token': 'trinidad', 'score': 0.019}, {'token': 'paris', 'score': 0.018}, {'token': 'manila', 'score': 0.016}]","[{'token': 'madrid', 'score': 0.037}, {'token': 'barcelona', 'score': 0.029}, {'token': '1936', 'score': 0.026}, {'token': '1938', 'score': 0.02}, {'token': 'paris', 'score': 0.016}, {'token': '1937', 'score': 0.015}, {'token': '1929', 'score': 0.015}, {'token': '1933', 'score': 0.013}, {'token': '1948', 'score': 0.012}, {'token': '1945', 'score': 0.012}]","[{'token': 'india', 'score': 0.951}, {'token': 'maharashtra', 'score': 0.021}, {'token': 'bombay', 'score': 0.006}, {'token': 'mumbai', 'score': 0.004}, {'token': 'england', 'score': 0.003}, {'token': 'pakistan', 'score': 0.002}, {'token': 'goa', 'score': 0.001}, {'token': 'rajasthan', 'score': 0.001}, {'token': 'japan', 'score': 0.001}, {'token': 'spain', 'score': 0.001}]","[{'token': 'days', 'score': 0.187}, {'token': 'time', 'score': 0.126}, {'token': 'india', 'score': 0.061}, {'token': 'just', 'score': 0.028}, {'token': 'shortly', 'score': 0.026}, {'token': 'months', 'score': 0.026}, {'token': 'years', 'score': 0.021}, {'token': 'london', 'score': 0.019}, {'token': 'hours', 'score': 0.017}, {'token': 'paris', 'score': 0.016}]","[{'token': 'spain', 'score': 0.057}, {'token': 'mexico', 'score': 0.045}, {'token': 'madrid', 'score': 0.043}, {'token': 'america', 'score': 0.043}, {'token': 'panama', 'score': 0.036}, {'token': 'france', 'score': 0.031}, {'token': 'cuba', 'score': 0.03}, {'token': 'uruguay', 'score': 0.028}, {'token': 'europe', 'score': 0.027}, {'token': 'montevideo', 'score': 0.026}]"
9,rome,"[{'token': 'rome', 'score': 0.101}, {'token': 'milan', 'score': 0.084}, {'token': 'helsinki', 'score': 0.044}, {'token': 'turin', 'score': 0.029}, {'token': 'bologna', 'score': 0.029}, {'token': 'venice', 'score': 0.023}, {'token': 'italy', 'score': 0.022}, {'token': 'barcelona', 'score': 0.02}, {'token': 'paris', 'score': 0.02}, {'token': 'berlin', 'score': 0.019}]","[{'token': 'rome', 'score': 0.079}, {'token': 'montevideo', 'score': 0.049}, {'token': 'madrid', 'score': 0.037}, {'token': 'lisbon', 'score': 0.027}, {'token': 'milan', 'score': 0.026}, {'token': 'italy', 'score': 0.024}, {'token': 'helsinki', 'score': 0.023}, {'token': 'paris', 'score': 0.021}, {'token': 'barcelona', 'score': 0.021}, {'token': 'athens', 'score': 0.019}]","[{'token': 'colombo', 'score': 0.029}, {'token': 'malta', 'score': 0.019}, {'token': 'tokyo', 'score': 0.018}, {'token': 'helsinki', 'score': 0.017}, {'token': 'italy', 'score': 0.013}, {'token': 'jakarta', 'score': 0.012}, {'token': 'romania', 'score': 0.011}, {'token': 'milan', 'score': 0.011}, {'token': 'istanbul', 'score': 0.011}, {'token': 'japan', 'score': 0.01}]","[{'token': 'london', 'score': 0.062}, {'token': 'melbourne', 'score': 0.032}, {'token': 'sydney', 'score': 0.031}, {'token': 'england', 'score': 0.021}, {'token': 'rome', 'score': 0.021}, {'token': 'liverpool', 'score': 0.019}, {'token': 'paris', 'score': 0.016}, {'token': 'italy', 'score': 0.016}, {'token': 'glasgow', 'score': 0.015}, {'token': 'australia', 'score': 0.013}]","[{'token': 'montevideo', 'score': 0.049}, {'token': 'rome', 'score': 0.022}, {'token': 'london', 'score': 0.021}, {'token': 'turin', 'score': 0.02}, {'token': 'helsinki', 'score': 0.02}, {'token': 'barcelona', 'score': 0.019}, {'token': 'liverpool', 'score': 0.018}, {'token': 'milan', 'score': 0.017}, {'token': 'paris', 'score': 0.016}, {'token': 'madrid', 'score': 0.016}]"
