,answers,original,t5_0,t5_1,t5_2,t5_3
0,baku,"[{'token': 'baku', 'score': 0.862}, {'token': 'azerbaijan', 'score': 0.07}, {'token': 'tbilisi', 'score': 0.009}, {'token': 'odessa', 'score': 0.006}, {'token': 'riga', 'score': 0.005}, {'token': 'yerevan', 'score': 0.004}, {'token': 'kazan', 'score': 0.003}, {'token': 'caspian', 'score': 0.002}, {'token': 'brest', 'score': 0.002}, {'token': 'armenia', 'score': 0.002}]","[{'token': 'many', 'score': 0.378}, {'token': 'several', 'score': 0.038}, {'token': '40', 'score': 0.028}, {'token': '50', 'score': 0.022}, {'token': '150', 'score': 0.021}, {'token': '30', 'score': 0.021}, {'token': '60', 'score': 0.019}, {'token': '100', 'score': 0.019}, {'token': '35', 'score': 0.014}, {'token': '200', 'score': 0.014}]","[{'token': 'many', 'score': 0.348}, {'token': '40', 'score': 0.035}, {'token': '30', 'score': 0.033}, {'token': 'several', 'score': 0.029}, {'token': '35', 'score': 0.026}, {'token': '150', 'score': 0.025}, {'token': '50', 'score': 0.024}, {'token': '100', 'score': 0.021}, {'token': '145', 'score': 0.019}, {'token': '60', 'score': 0.018}]","[{'token': 'many', 'score': 0.261}, {'token': '100', 'score': 0.039}, {'token': '150', 'score': 0.037}, {'token': '40', 'score': 0.032}, {'token': '200', 'score': 0.029}, {'token': '50', 'score': 0.027}, {'token': '30', 'score': 0.025}, {'token': '35', 'score': 0.023}, {'token': '145', 'score': 0.023}, {'token': '800', 'score': 0.022}]","[{'token': 'many', 'score': 0.522}, {'token': 'several', 'score': 0.049}, {'token': '40', 'score': 0.019}, {'token': '150', 'score': 0.017}, {'token': '50', 'score': 0.017}, {'token': '100', 'score': 0.015}, {'token': '35', 'score': 0.013}, {'token': '30', 'score': 0.013}, {'token': '60', 'score': 0.012}, {'token': '200', 'score': 0.01}]"
1,brody,"[{'token': 'donetsk', 'score': 0.658}, {'token': 'kiev', 'score': 0.088}, {'token': 'crimea', 'score': 0.033}, {'token': 'lviv', 'score': 0.023}, {'token': 'kyiv', 'score': 0.014}, {'token': 'ukrainian', 'score': 0.009}, {'token': 'ukraine', 'score': 0.008}, {'token': 'the', 'score': 0.008}, {'token': 'this', 'score': 0.006}, {'token': 'moscow', 'score': 0.006}]","[{'token': 'donetsk', 'score': 0.174}, {'token': 'lviv', 'score': 0.044}, {'token': 'kiev', 'score': 0.042}, {'token': 'moscow', 'score': 0.03}, {'token': 'warsaw', 'score': 0.017}, {'token': 'brest', 'score': 0.014}, {'token': 'new', 'score': 0.012}, {'token': 'odessa', 'score': 0.012}, {'token': 'kyiv', 'score': 0.011}, {'token': 'minsk', 'score': 0.011}]","[{'token': 'the', 'score': 0.262}, {'token': 'donetsk', 'score': 0.26}, {'token': 'this', 'score': 0.162}, {'token': 'another', 'score': 0.027}, {'token': 'that', 'score': 0.024}, {'token': 'cape', 'score': 0.013}, {'token': 'ukrainian', 'score': 0.01}, {'token': 'my', 'score': 0.009}, {'token': 'lviv', 'score': 0.009}, {'token': 'capital', 'score': 0.008}]","[{'token': 'the', 'score': 0.385}, {'token': 'a', 'score': 0.03}, {'token': 'new', 'score': 0.013}, {'token': 'red', 'score': 0.012}, {'token': 'la', 'score': 0.008}, {'token': ',', 'score': 0.007}, {'token': 'donetsk', 'score': 0.006}, {'token': 'this', 'score': 0.005}, {'token': 'ukrainian', 'score': 0.005}, {'token': '[unk]', 'score': 0.005}]","[{'token': 'donetsk', 'score': 0.54}, {'token': 'kiev', 'score': 0.082}, {'token': 'lviv', 'score': 0.037}, {'token': 'the', 'score': 0.034}, {'token': 'this', 'score': 0.033}, {'token': 'crimea', 'score': 0.029}, {'token': 'ukrainian', 'score': 0.015}, {'token': 'that', 'score': 0.012}, {'token': 'ukraine', 'score': 0.009}, {'token': 'kyiv', 'score': 0.008}]"
2,chicago,"[{'token': 'it', 'score': 0.093}, {'token': 'baku', 'score': 0.084}, {'token': 'this', 'score': 0.04}, {'token': 'tokyo', 'score': 0.031}, {'token': 'wellington', 'score': 0.025}, {'token': 'ankara', 'score': 0.024}, {'token': 'auckland', 'score': 0.023}, {'token': 'hokkaido', 'score': 0.015}, {'token': 'osaka', 'score': 0.014}, {'token': 'dunedin', 'score': 0.014}]","[{'token': 'center', 'score': 0.467}, {'token': 'capital', 'score': 0.183}, {'token': 'seat', 'score': 0.155}, {'token': 'headquarters', 'score': 0.068}, {'token': 'centre', 'score': 0.038}, {'token': 'office', 'score': 0.012}, {'token': 'district', 'score': 0.011}, {'token': 'base', 'score': 0.009}, {'token': 'hub', 'score': 0.009}, {'token': 'jurisdiction', 'score': 0.005}]","[{'token': 'baku', 'score': 0.625}, {'token': 'it', 'score': 0.046}, {'token': 'tbilisi', 'score': 0.036}, {'token': 'this', 'score': 0.028}, {'token': 'ankara', 'score': 0.025}, {'token': 'stade', 'score': 0.015}, {'token': 'tehran', 'score': 0.01}, {'token': 'istanbul', 'score': 0.008}, {'token': 'yerevan', 'score': 0.006}, {'token': 'bremen', 'score': 0.006}]","[{'token': 'france', 'score': 0.052}, {'token': 'brussels', 'score': 0.03}, {'token': 'belgium', 'score': 0.028}, {'token': 'normandy', 'score': 0.022}, {'token': 'montreal', 'score': 0.021}, {'token': 'scotland', 'score': 0.021}, {'token': 'dublin', 'score': 0.016}, {'token': 'ontario', 'score': 0.015}, {'token': 'waterloo', 'score': 0.014}, {'token': 'germany', 'score': 0.013}]","[{'token': 'baku', 'score': 0.052}, {'token': 'lagos', 'score': 0.042}, {'token': 'santiago', 'score': 0.018}, {'token': 'karachi', 'score': 0.017}, {'token': 'ankara', 'score': 0.016}, {'token': 'cordoba', 'score': 0.016}, {'token': 'tbilisi', 'score': 0.014}, {'token': 'valencia', 'score': 0.013}, {'token': 'palermo', 'score': 0.012}, {'token': 'mayo', 'score': 0.01}]"
3,richmond,"[{'token': 'texas', 'score': 0.071}, {'token': 'dallas', 'score': 0.049}, {'token': 'albuquerque', 'score': 0.029}, {'token': 'mexico', 'score': 0.025}, {'token': 'houston', 'score': 0.023}, {'token': 'california', 'score': 0.018}, {'token': 'arizona', 'score': 0.016}, {'token': 'monterrey', 'score': 0.016}, {'token': 'gonzales', 'score': 0.016}, {'token': 'oklahoma', 'score': 0.015}]","[{'token': 'dallas', 'score': 0.216}, {'token': 'texas', 'score': 0.104}, {'token': 'austin', 'score': 0.081}, {'token': 'hereford', 'score': 0.076}, {'token': 'houston', 'score': 0.073}, {'token': 'arlington', 'score': 0.019}, {'token': 'town', 'score': 0.015}, {'token': 'galveston', 'score': 0.012}, {'token': 'beaumont', 'score': 0.01}, {'token': 'denton', 'score': 0.01}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': 'dunedin', 'score': 0.239}, {'token': 'otago', 'score': 0.066}, {'token': 'rochester', 'score': 0.031}, {'token': 'eagle', 'score': 0.028}, {'token': 'auckland', 'score': 0.028}, {'token': 'buffalo', 'score': 0.021}, {'token': 'wellington', 'score': 0.021}, {'token': 'toronto', 'score': 0.019}, {'token': 'canterbury', 'score': 0.018}, {'token': 'aberdeen', 'score': 0.015}]","[{'token': 'dunedin', 'score': 0.137}, {'token': 'otago', 'score': 0.058}, {'token': 'canterbury', 'score': 0.053}, {'token': 'eagle', 'score': 0.052}, {'token': 'lincoln', 'score': 0.052}, {'token': 'omaha', 'score': 0.045}, {'token': 'rochester', 'score': 0.03}, {'token': 'auckland', 'score': 0.028}, {'token': 'wellington', 'score': 0.018}, {'token': 'southland', 'score': 0.012}]"
4,auburn,"[{'token': 'albany', 'score': 0.065}, {'token': 'rochester', 'score': 0.042}, {'token': 'buffalo', 'score': 0.038}, {'token': 'vermont', 'score': 0.035}, {'token': 'brooklyn', 'score': 0.028}, {'token': 'ontario', 'score': 0.022}, {'token': 'washington', 'score': 0.022}, {'token': 'california', 'score': 0.021}, {'token': 'ohio', 'score': 0.02}, {'token': 'syracuse', 'score': 0.019}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': 'elected', 'score': 0.392}, {'token': 'alabama', 'score': 0.128}, {'token': 'independent', 'score': 0.117}, {'token': 'assistant', 'score': 0.045}, {'token': 'acting', 'score': 0.044}, {'token': 'assembly', 'score': 0.032}, {'token': 'oregon', 'score': 0.015}, {'token': 'american', 'score': 0.014}, {'token': 'incumbent', 'score': 0.014}, {'token': 'illinois', 'score': 0.011}]","[{'token': 'california', 'score': 0.055}, {'token': 'albany', 'score': 0.055}, {'token': 'brooklyn', 'score': 0.042}, {'token': 'philadelphia', 'score': 0.037}, {'token': 'virginia', 'score': 0.032}, {'token': 'ohio', 'score': 0.03}, {'token': 'kentucky', 'score': 0.027}, {'token': 'rochester', 'score': 0.025}, {'token': 'buffalo', 'score': 0.024}, {'token': 'pennsylvania', 'score': 0.024}]","[{'token': 'albany', 'score': 0.266}, {'token': 'vermont', 'score': 0.07}, {'token': 'washington', 'score': 0.054}, {'token': 'california', 'score': 0.031}, {'token': 'congress', 'score': 0.026}, {'token': 'ohio', 'score': 0.022}, {'token': 'iowa', 'score': 0.021}, {'token': 'illinois', 'score': 0.02}, {'token': 'canada', 'score': 0.02}, {'token': 'chicago', 'score': 0.02}]"
5,windsor,"[{'token': 'sydney', 'score': 0.24}, {'token': 'perth', 'score': 0.172}, {'token': 'melbourne', 'score': 0.118}, {'token': 'adelaide', 'score': 0.112}, {'token': 'victoria', 'score': 0.054}, {'token': 'brisbane', 'score': 0.033}, {'token': 'canberra', 'score': 0.028}, {'token': 'fremantle', 'score': 0.026}, {'token': 'queensland', 'score': 0.022}, {'token': 'auckland', 'score': 0.021}]","[{'token': 'previously', 'score': 0.101}, {'token': 'later', 'score': 0.093}, {'token': 'then', 'score': 0.062}, {'token': 'elsewhere', 'score': 0.049}, {'token': 'similarly', 'score': 0.045}, {'token': 'earlier', 'score': 0.044}, {'token': 'meanwhile', 'score': 0.039}, {'token': 'also', 'score': 0.03}, {'token': 'recently', 'score': 0.027}, {'token': 'historically', 'score': 0.023}]","[{'token': 'sydney', 'score': 0.33}, {'token': 'melbourne', 'score': 0.228}, {'token': 'perth', 'score': 0.132}, {'token': 'adelaide', 'score': 0.107}, {'token': 'canberra', 'score': 0.048}, {'token': 'brisbane', 'score': 0.045}, {'token': 'fremantle', 'score': 0.025}, {'token': 'victoria', 'score': 0.016}, {'token': 'queensland', 'score': 0.009}, {'token': 'darwin', 'score': 0.009}]","[{'token': 'sydney', 'score': 0.272}, {'token': 'perth', 'score': 0.157}, {'token': 'melbourne', 'score': 0.135}, {'token': 'victoria', 'score': 0.088}, {'token': 'queensland', 'score': 0.07}, {'token': 'adelaide', 'score': 0.062}, {'token': 'brisbane', 'score': 0.036}, {'token': 'canberra', 'score': 0.036}, {'token': 'tasmania', 'score': 0.026}, {'token': 'fremantle', 'score': 0.018}]","[{'token': 'sydney', 'score': 0.323}, {'token': 'melbourne', 'score': 0.255}, {'token': 'perth', 'score': 0.112}, {'token': 'adelaide', 'score': 0.091}, {'token': 'fremantle', 'score': 0.051}, {'token': 'brisbane', 'score': 0.037}, {'token': 'canberra', 'score': 0.029}, {'token': 'victoria', 'score': 0.026}, {'token': 'queensland', 'score': 0.014}, {'token': 'australia', 'score': 0.007}]"
6,strasbourg,"[{'token': '(', 'score': 0.085}, {'token': '""', 'score': 0.073}, {'token': '[', 'score': 0.062}, {'token': ',', 'score': 0.035}, {'token': 'german', 'score': 0.023}, {'token': '_', 'score': 0.022}, {'token': ';', 'score': 0.021}, {'token': '—', 'score': 0.019}, {'token': 'germany', 'score': 0.018}, {'token': ')', 'score': 0.016}]","[{'token': 'strasbourg', 'score': 0.43}, {'token': 'trier', 'score': 0.063}, {'token': 'toulouse', 'score': 0.048}, {'token': 'metz', 'score': 0.043}, {'token': 'montpellier', 'score': 0.03}, {'token': 'bordeaux', 'score': 0.025}, {'token': 'lille', 'score': 0.023}, {'token': 'lyon', 'score': 0.022}, {'token': 'cologne', 'score': 0.022}, {'token': 'marseille', 'score': 0.016}]","[{'token': 'eagle', 'score': 0.694}, {'token': 'eagles', 'score': 0.027}, {'token': 'zurich', 'score': 0.016}, {'token': 'luxembourg', 'score': 0.009}, {'token': 'canton', 'score': 0.009}, {'token': 'olympia', 'score': 0.008}, {'token': 'omaha', 'score': 0.008}, {'token': 'strasbourg', 'score': 0.007}, {'token': 'alsace', 'score': 0.005}, {'token': 'marche', 'score': 0.005}]","[{'token': 'strasbourg', 'score': 0.228}, {'token': 'toulouse', 'score': 0.1}, {'token': 'lyon', 'score': 0.042}, {'token': 'paris', 'score': 0.042}, {'token': 'alsace', 'score': 0.04}, {'token': 'marseille', 'score': 0.037}, {'token': 'lille', 'score': 0.036}, {'token': 'luxembourg', 'score': 0.035}, {'token': 'rouen', 'score': 0.027}, {'token': 'bordeaux', 'score': 0.017}]","[{'token': 'strasbourg', 'score': 0.087}, {'token': 'hereford', 'score': 0.069}, {'token': 'paris', 'score': 0.045}, {'token': 'cologne', 'score': 0.041}, {'token': 'frankfurt', 'score': 0.039}, {'token': 'berlin', 'score': 0.037}, {'token': 'aachen', 'score': 0.029}, {'token': 'zurich', 'score': 0.025}, {'token': 'luxembourg', 'score': 0.023}, {'token': 'hannover', 'score': 0.021}]"
7,shreveport,"[{'token': '.', 'score': 0.537}, {'token': ',', 'score': 0.34}, {'token': ';', 'score': 0.007}, {'token': 'area', 'score': 0.007}, {'token': 'ny', 'score': 0.004}, {'token': 'here', 'score': 0.003}, {'token': '-', 'score': 0.003}, {'token': '##a', 'score': 0.003}, {'token': '?', 'score': 0.002}, {'token': 'south', 'score': 0.002}]","[{'token': '##a', 'score': 0.152}, {'token': '##e', 'score': 0.072}, {'token': 'church', 'score': 0.053}, {'token': '##al', 'score': 0.034}, {'token': '##ad', 'score': 0.025}, {'token': '##o', 'score': 0.023}, {'token': ')', 'score': 0.023}, {'token': ',', 'score': 0.023}, {'token': '##in', 'score': 0.021}, {'token': 'area', 'score': 0.017}]","[{'token': ',', 'score': 0.717}, {'token': 'here', 'score': 0.013}, {'token': '##a', 'score': 0.013}, {'token': 'church', 'score': 0.01}, {'token': 'hospital', 'score': 0.008}, {'token': 'cemetery', 'score': 0.007}, {'token': 'township', 'score': 0.006}, {'token': 'there', 'score': 0.006}, {'token': 'south', 'score': 0.005}, {'token': 'of', 'score': 0.005}]","[{'token': ',', 'score': 0.82}, {'token': 'is', 'score': 0.026}, {'token': '.', 'score': 0.015}, {'token': 'was', 'score': 0.014}, {'token': 'died', 'score': 0.012}, {'token': '-', 'score': 0.009}, {'token': 'lived', 'score': 0.008}, {'token': 'attended', 'score': 0.008}, {'token': 'lives', 'score': 0.007}, {'token': ')', 'score': 0.004}]","[{'token': ',', 'score': 0.855}, {'token': '##a', 'score': 0.023}, {'token': '.', 'score': 0.009}, {'token': 'church', 'score': 0.008}, {'token': '##al', 'score': 0.006}, {'token': ')', 'score': 0.003}, {'token': '##an', 'score': 0.003}, {'token': '##o', 'score': 0.003}, {'token': '##e', 'score': 0.003}, {'token': 'of', 'score': 0.002}]"
8,lincoln,"[{'token': 'nebraska', 'score': 0.367}, {'token': 'omaha', 'score': 0.214}, {'token': 'washington', 'score': 0.036}, {'token': 'colorado', 'score': 0.032}, {'token': 'kansas', 'score': 0.025}, {'token': 'boulder', 'score': 0.019}, {'token': 'denver', 'score': 0.018}, {'token': 'lincoln', 'score': 0.017}, {'token': 'oklahoma', 'score': 0.014}, {'token': 'albuquerque', 'score': 0.013}]","[{'token': 'washington', 'score': 0.044}, {'token': 'minnesota', 'score': 0.036}, {'token': 'chicago', 'score': 0.028}, {'token': 'california', 'score': 0.027}, {'token': 'iowa', 'score': 0.021}, {'token': 'michigan', 'score': 0.021}, {'token': 'nebraska', 'score': 0.021}, {'token': 'kansas', 'score': 0.02}, {'token': 'buffalo', 'score': 0.02}, {'token': 'minneapolis', 'score': 0.019}]","[{'token': 'it', 'score': 0.196}, {'token': 'brussels', 'score': 0.174}, {'token': 'this', 'score': 0.134}, {'token': 'bremen', 'score': 0.121}, {'token': 'stade', 'score': 0.039}, {'token': 'belgium', 'score': 0.014}, {'token': 'luxembourg', 'score': 0.013}, {'token': 'ghent', 'score': 0.012}, {'token': 'berlin', 'score': 0.011}, {'token': 'frankfurt', 'score': 0.011}]","[{'token': 'nebraska', 'score': 0.591}, {'token': 'omaha', 'score': 0.093}, {'token': 'washington', 'score': 0.04}, {'token': 'colorado', 'score': 0.027}, {'token': 'kansas', 'score': 0.023}, {'token': 'oklahoma', 'score': 0.013}, {'token': 'minnesota', 'score': 0.011}, {'token': 'boulder', 'score': 0.01}, {'token': 'iowa', 'score': 0.01}, {'token': 'lincoln', 'score': 0.01}]","[{'token': 'omaha', 'score': 0.343}, {'token': 'nebraska', 'score': 0.302}, {'token': 'lincoln', 'score': 0.051}, {'token': 'boulder', 'score': 0.021}, {'token': 'washington', 'score': 0.012}, {'token': 'minnesota', 'score': 0.011}, {'token': 'denver', 'score': 0.01}, {'token': 'colorado', 'score': 0.01}, {'token': 'chicago', 'score': 0.01}, {'token': 'columbus', 'score': 0.009}]"
9,winchester,"[{'token': 'plymouth', 'score': 0.099}, {'token': 'southampton', 'score': 0.055}, {'token': 'exeter', 'score': 0.055}, {'token': 'manchester', 'score': 0.053}, {'token': 'hanover', 'score': 0.034}, {'token': 'portsmouth', 'score': 0.033}, {'token': 'winchester', 'score': 0.018}, {'token': 'bournemouth', 'score': 0.015}, {'token': 'peterborough', 'score': 0.015}, {'token': 'poole', 'score': 0.014}]","[{'token': 'hampshire', 'score': 0.09}, {'token': 'hanover', 'score': 0.065}, {'token': 'plymouth', 'score': 0.047}, {'token': 'kent', 'score': 0.046}, {'token': 'manchester', 'score': 0.032}, {'token': 'portsmouth', 'score': 0.028}, {'token': 'dover', 'score': 0.023}, {'token': 'sussex', 'score': 0.02}, {'token': 'exeter', 'score': 0.019}, {'token': 'southampton', 'score': 0.018}]","[{'token': 'hampshire', 'score': 0.148}, {'token': 'hanover', 'score': 0.101}, {'token': 'southampton', 'score': 0.039}, {'token': 'england', 'score': 0.038}, {'token': 'portsmouth', 'score': 0.037}, {'token': 'kent', 'score': 0.024}, {'token': 'plymouth', 'score': 0.022}, {'token': 'london', 'score': 0.021}, {'token': 'winchester', 'score': 0.02}, {'token': 'sussex', 'score': 0.018}]","[{'token': 'portsmouth', 'score': 0.072}, {'token': 'hampshire', 'score': 0.049}, {'token': 'manchester', 'score': 0.047}, {'token': 'dover', 'score': 0.03}, {'token': 'derry', 'score': 0.025}, {'token': 'southampton', 'score': 0.022}, {'token': 'winchester', 'score': 0.022}, {'token': 'london', 'score': 0.02}, {'token': 'hanover', 'score': 0.019}, {'token': 'ely', 'score': 0.016}]","[{'token': 'plymouth', 'score': 0.101}, {'token': 'portsmouth', 'score': 0.087}, {'token': 'manchester', 'score': 0.083}, {'token': 'southampton', 'score': 0.045}, {'token': 'hanover', 'score': 0.04}, {'token': 'hampshire', 'score': 0.03}, {'token': 'winchester', 'score': 0.027}, {'token': 'exeter', 'score': 0.024}, {'token': 'poole', 'score': 0.02}, {'token': 'bournemouth', 'score': 0.019}]"
