,answers,original,t5_0,t5_1,t5_2,t5_3
0,iraq,"[{'token': 'tokyo', 'score': 0.097}, {'token': 'paris', 'score': 0.057}, {'token': 'baghdad', 'score': 0.052}, {'token': 'london', 'score': 0.045}, {'token': 'madrid', 'score': 0.044}, {'token': 'istanbul', 'score': 0.038}, {'token': 'moscow', 'score': 0.036}, {'token': 'tehran', 'score': 0.023}, {'token': 'rome', 'score': 0.019}, {'token': 'beijing', 'score': 0.016}]","[{'token': 'tokyo', 'score': 0.16}, {'token': 'japan', 'score': 0.066}, {'token': 'paris', 'score': 0.042}, {'token': 'london', 'score': 0.041}, {'token': 'berlin', 'score': 0.035}, {'token': 'germany', 'score': 0.025}, {'token': 'istanbul', 'score': 0.022}, {'token': 'baghdad', 'score': 0.022}, {'token': 'hiroshima', 'score': 0.021}, {'token': 'osaka', 'score': 0.02}]","[{'token': 'poland', 'score': 0.136}, {'token': 'japan', 'score': 0.114}, {'token': 'russia', 'score': 0.063}, {'token': 'germany', 'score': 0.038}, {'token': 'finland', 'score': 0.037}, {'token': 'switzerland', 'score': 0.033}, {'token': 'italy', 'score': 0.028}, {'token': 'ukraine', 'score': 0.023}, {'token': 'tokyo', 'score': 0.023}, {'token': 'kazakhstan', 'score': 0.019}]","[{'token': 'baghdad', 'score': 0.237}, {'token': 'iraq', 'score': 0.077}, {'token': 'afghanistan', 'score': 0.041}, {'token': 'pakistan', 'score': 0.032}, {'token': 'london', 'score': 0.029}, {'token': 'yemen', 'score': 0.028}, {'token': 'kabul', 'score': 0.026}, {'token': 'mumbai', 'score': 0.025}, {'token': 'tokyo', 'score': 0.024}, {'token': 'istanbul', 'score': 0.023}]","[{'token': 'baghdad', 'score': 0.132}, {'token': 'tokyo', 'score': 0.079}, {'token': 'kabul', 'score': 0.041}, {'token': 'tehran', 'score': 0.037}, {'token': 'istanbul', 'score': 0.033}, {'token': 'moscow', 'score': 0.03}, {'token': 'afghanistan', 'score': 0.023}, {'token': 'iraq', 'score': 0.023}, {'token': 'paris', 'score': 0.022}, {'token': 'beirut', 'score': 0.021}]"
1,paris,"[{'token': 'paris', 'score': 0.585}, {'token': 'france', 'score': 0.057}, {'token': 'vienna', 'score': 0.026}, {'token': 'rome', 'score': 0.022}, {'token': 'london', 'score': 0.02}, {'token': 'berlin', 'score': 0.018}, {'token': 'italy', 'score': 0.013}, {'token': 'florence', 'score': 0.013}, {'token': 'germany', 'score': 0.01}, {'token': 'munich', 'score': 0.01}]","[{'token': 'high', 'score': 0.523}, {'token': 'boarding', 'score': 0.106}, {'token': 'grammar', 'score': 0.06}, {'token': 'elementary', 'score': 0.039}, {'token': 'private', 'score': 0.025}, {'token': 'public', 'score': 0.024}, {'token': 'law', 'score': 0.015}, {'token': 'old', 'score': 0.012}, {'token': 'medical', 'score': 0.012}, {'token': 'warsaw', 'score': 0.012}]","[{'token': 'paris', 'score': 0.346}, {'token': 'vienna', 'score': 0.158}, {'token': 'london', 'score': 0.061}, {'token': 'france', 'score': 0.041}, {'token': 'italy', 'score': 0.032}, {'token': 'rome', 'score': 0.028}, {'token': 'berlin', 'score': 0.02}, {'token': 'england', 'score': 0.018}, {'token': 'prague', 'score': 0.017}, {'token': 'switzerland', 'score': 0.014}]","[{'token': 'chicago', 'score': 0.113}, {'token': 'berlin', 'score': 0.087}, {'token': 'warsaw', 'score': 0.073}, {'token': 'germany', 'score': 0.045}, {'token': 'prague', 'score': 0.035}, {'token': 'dresden', 'score': 0.033}, {'token': 'paris', 'score': 0.032}, {'token': 'vienna', 'score': 0.029}, {'token': 'poland', 'score': 0.027}, {'token': 'london', 'score': 0.026}]","[{'token': 'warsaw', 'score': 0.147}, {'token': 'vienna', 'score': 0.087}, {'token': 'london', 'score': 0.08}, {'token': 'prague', 'score': 0.067}, {'token': 'berlin', 'score': 0.052}, {'token': 'poland', 'score': 0.051}, {'token': 'paris', 'score': 0.038}, {'token': 'england', 'score': 0.035}, {'token': 'germany', 'score': 0.024}, {'token': 'france', 'score': 0.015}]"
2,baltimore,"[{'token': 'london', 'score': 0.218}, {'token': 'inc', 'score': 0.105}, {'token': 'ltd', 'score': 0.102}, {'token': 'paris', 'score': 0.058}, {'token': 'france', 'score': 0.041}, {'token': 'berlin', 'score': 0.022}, {'token': 'germany', 'score': 0.021}, {'token': 'italy', 'score': 0.018}, {'token': 'usa', 'score': 0.015}, {'token': 'austria', 'score': 0.013}]","[{'token': 'meanwhile', 'score': 0.103}, {'token': 'however', 'score': 0.102}, {'token': 'france', 'score': 0.08}, {'token': 'london', 'score': 0.058}, {'token': 'germany', 'score': 0.048}, {'token': 'ltd', 'score': 0.022}, {'token': 'berlin', 'score': 0.016}, {'token': 'austria', 'score': 0.016}, {'token': 'also', 'score': 0.015}, {'token': 'italy', 'score': 0.014}]","[{'token': 'which', 'score': 0.546}, {'token': 'france', 'score': 0.042}, {'token': 'who', 'score': 0.041}, {'token': 'also', 'score': 0.015}, {'token': 'ltd', 'score': 0.014}, {'token': 'germany', 'score': 0.011}, {'token': 'italy', 'score': 0.01}, {'token': 'belgium', 'score': 0.009}, {'token': 'and', 'score': 0.009}, {'token': 'had', 'score': 0.009}]","[{'token': 'published', 'score': 0.154}, {'token': 'starting', 'score': 0.108}, {'token': 'beginning', 'score': 0.08}, {'token': 'released', 'score': 0.041}, {'token': 'usa', 'score': 0.038}, {'token': 'founded', 'score': 0.037}, {'token': 'london', 'score': 0.03}, {'token': 'france', 'score': 0.024}, {'token': 'based', 'score': 0.015}, {'token': 'back', 'score': 0.015}]","[{'token': 'which', 'score': 0.787}, {'token': 'who', 'score': 0.049}, {'token': 'also', 'score': 0.02}, {'token': 'that', 'score': 0.009}, {'token': 'had', 'score': 0.009}, {'token': 'france', 'score': 0.006}, {'token': 'it', 'score': 0.005}, {'token': 'first', 'score': 0.005}, {'token': 'originally', 'score': 0.004}, {'token': 'germany', 'score': 0.004}]"
3,leicester,"[{'token': 'london', 'score': 0.037}, {'token': 'chicago', 'score': 0.03}, {'token': '2001', 'score': 0.024}, {'token': '2002', 'score': 0.021}, {'token': '2000', 'score': 0.021}, {'token': '1992', 'score': 0.02}, {'token': '1996', 'score': 0.019}, {'token': '1993', 'score': 0.019}, {'token': '1994', 'score': 0.019}, {'token': '2004', 'score': 0.017}]","[{'token': 'london', 'score': 0.042}, {'token': 'germany', 'score': 0.031}, {'token': 'england', 'score': 0.026}, {'token': '2006', 'score': 0.024}, {'token': '2009', 'score': 0.02}, {'token': 'poland', 'score': 0.02}, {'token': '2005', 'score': 0.019}, {'token': '2010', 'score': 0.018}, {'token': 'berlin', 'score': 0.017}, {'token': 'paris', 'score': 0.017}]","[{'token': '1944', 'score': 0.035}, {'token': 'recent', 'score': 0.032}, {'token': '1949', 'score': 0.018}, {'token': '1940', 'score': 0.017}, {'token': 'national', 'score': 0.013}, {'token': '1964', 'score': 0.012}, {'token': '1943', 'score': 0.012}, {'token': '1952', 'score': 0.011}, {'token': 'famous', 'score': 0.011}, {'token': '1942', 'score': 0.011}]","[{'token': 'lincoln', 'score': 0.026}, {'token': 'kennedy', 'score': 0.023}, {'token': 'detroit', 'score': 0.019}, {'token': 'fox', 'score': 0.018}, {'token': 'boston', 'score': 0.015}, {'token': 'recent', 'score': 0.014}, {'token': 'hollywood', 'score': 0.012}, {'token': 'london', 'score': 0.01}, {'token': 'paris', 'score': 0.009}, {'token': 'national', 'score': 0.009}]","[{'token': 'chelsea', 'score': 0.017}, {'token': 'london', 'score': 0.014}, {'token': 'national', 'score': 0.014}, {'token': 'birmingham', 'score': 0.013}, {'token': 'summer', 'score': 0.01}, {'token': 'local', 'score': 0.01}, {'token': 'kennedy', 'score': 0.01}, {'token': 'charity', 'score': 0.01}, {'token': 'benefit', 'score': 0.009}, {'token': 'brooklyn', 'score': 0.009}]"
4,athens,"[{'token': 'royal', 'score': 0.115}, {'token': 'paris', 'score': 0.069}, {'token': 'vienna', 'score': 0.041}, {'token': 'berlin', 'score': 0.04}, {'token': 'national', 'score': 0.036}, {'token': 'moscow', 'score': 0.033}, {'token': 'london', 'score': 0.031}, {'token': 'athens', 'score': 0.018}, {'token': 'french', 'score': 0.016}, {'token': 'vilnius', 'score': 0.013}]","[{'token': 'berlin', 'score': 0.088}, {'token': 'moscow', 'score': 0.069}, {'token': 'vienna', 'score': 0.047}, {'token': 'leipzig', 'score': 0.031}, {'token': 'national', 'score': 0.028}, {'token': 'royal', 'score': 0.027}, {'token': 'vilnius', 'score': 0.024}, {'token': 'warsaw', 'score': 0.024}, {'token': 'leningrad', 'score': 0.022}, {'token': 'munich', 'score': 0.02}]","[{'token': 'warsaw', 'score': 0.14}, {'token': 'berlin', 'score': 0.101}, {'token': 'vienna', 'score': 0.045}, {'token': 'moscow', 'score': 0.04}, {'token': 'royal', 'score': 0.035}, {'token': 'london', 'score': 0.032}, {'token': 'krakow', 'score': 0.024}, {'token': 'vilnius', 'score': 0.017}, {'token': 'chicago', 'score': 0.015}, {'token': 'budapest', 'score': 0.013}]","[{'token': 'berlin', 'score': 0.131}, {'token': 'prussian', 'score': 0.077}, {'token': 'royal', 'score': 0.049}, {'token': 'german', 'score': 0.046}, {'token': 'leipzig', 'score': 0.043}, {'token': 'gottingen', 'score': 0.04}, {'token': 'vienna', 'score': 0.036}, {'token': 'national', 'score': 0.02}, {'token': 'frankfurt', 'score': 0.017}, {'token': 'munich', 'score': 0.017}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]"
5,vienna,"[{'token': 'prague', 'score': 0.345}, {'token': 'vienna', 'score': 0.221}, {'token': 'berlin', 'score': 0.086}, {'token': 'munich', 'score': 0.057}, {'token': 'salzburg', 'score': 0.031}, {'token': 'amsterdam', 'score': 0.022}, {'token': 'frankfurt', 'score': 0.014}, {'token': 'cologne', 'score': 0.013}, {'token': 'hamburg', 'score': 0.012}, {'token': 'weimar', 'score': 0.011}]","[{'token': 'vienna', 'score': 0.57}, {'token': 'berlin', 'score': 0.08}, {'token': 'munich', 'score': 0.041}, {'token': 'prague', 'score': 0.023}, {'token': 'salzburg', 'score': 0.021}, {'token': 'cologne', 'score': 0.021}, {'token': 'leipzig', 'score': 0.012}, {'token': 'austria', 'score': 0.012}, {'token': 'paris', 'score': 0.012}, {'token': 'dresden', 'score': 0.011}]","[{'token': 'vienna', 'score': 0.706}, {'token': 'berlin', 'score': 0.067}, {'token': 'prague', 'score': 0.031}, {'token': 'salzburg', 'score': 0.017}, {'token': 'austria', 'score': 0.013}, {'token': 'munich', 'score': 0.013}, {'token': 'budapest', 'score': 0.013}, {'token': 'warsaw', 'score': 0.01}, {'token': 'leipzig', 'score': 0.008}, {'token': 'dresden', 'score': 0.007}]","[{'token': 'vienna', 'score': 0.716}, {'token': 'berlin', 'score': 0.033}, {'token': 'prague', 'score': 0.023}, {'token': 'budapest', 'score': 0.018}, {'token': 'salzburg', 'score': 0.015}, {'token': 'munich', 'score': 0.014}, {'token': 'austria', 'score': 0.008}, {'token': 'frankfurt', 'score': 0.008}, {'token': 'london', 'score': 0.008}, {'token': 'leipzig', 'score': 0.007}]","[{'token': 'berlin', 'score': 0.225}, {'token': 'munich', 'score': 0.142}, {'token': 'leipzig', 'score': 0.105}, {'token': 'vienna', 'score': 0.095}, {'token': 'cologne', 'score': 0.048}, {'token': 'hamburg', 'score': 0.03}, {'token': 'frankfurt', 'score': 0.029}, {'token': 'dresden', 'score': 0.027}, {'token': 'nuremberg', 'score': 0.022}, {'token': 'stuttgart', 'score': 0.017}]"
6,rome,"[{'token': 'rome', 'score': 0.335}, {'token': 'paris', 'score': 0.185}, {'token': 'florence', 'score': 0.079}, {'token': 'venice', 'score': 0.06}, {'token': 'italy', 'score': 0.043}, {'token': 'siena', 'score': 0.03}, {'token': 'naples', 'score': 0.026}, {'token': 'london', 'score': 0.017}, {'token': 'vienna', 'score': 0.013}, {'token': 'turin', 'score': 0.012}]","[{'token': 'paris', 'score': 0.1}, {'token': 'naples', 'score': 0.088}, {'token': 'rome', 'score': 0.067}, {'token': 'milan', 'score': 0.063}, {'token': 'florence', 'score': 0.039}, {'token': 'madrid', 'score': 0.036}, {'token': 'turin', 'score': 0.035}, {'token': 'vienna', 'score': 0.029}, {'token': 'italy', 'score': 0.022}, {'token': 'athens', 'score': 0.022}]","[{'token': 'florence', 'score': 0.13}, {'token': 'milan', 'score': 0.114}, {'token': 'naples', 'score': 0.1}, {'token': 'rome', 'score': 0.071}, {'token': 'italy', 'score': 0.064}, {'token': 'sicily', 'score': 0.053}, {'token': 'paris', 'score': 0.034}, {'token': 'turin', 'score': 0.03}, {'token': 'athens', 'score': 0.022}, {'token': 'venice', 'score': 0.022}]","[{'token': 'naples', 'score': 0.104}, {'token': 'milan', 'score': 0.073}, {'token': 'rome', 'score': 0.07}, {'token': 'paris', 'score': 0.06}, {'token': 'turin', 'score': 0.054}, {'token': 'florence', 'score': 0.043}, {'token': 'athens', 'score': 0.028}, {'token': 'verona', 'score': 0.024}, {'token': 'sicily', 'score': 0.022}, {'token': 'genoa', 'score': 0.021}]","[{'token': 'rome', 'score': 0.168}, {'token': 'florence', 'score': 0.132}, {'token': 'milan', 'score': 0.093}, {'token': 'naples', 'score': 0.058}, {'token': 'paris', 'score': 0.05}, {'token': 'italy', 'score': 0.046}, {'token': 'venice', 'score': 0.044}, {'token': 'verona', 'score': 0.024}, {'token': 'siena', 'score': 0.023}, {'token': 'turin', 'score': 0.022}]"
7,paris,"[{'token': 'paris', 'score': 0.368}, {'token': 'france', 'score': 0.163}, {'token': 'london', 'score': 0.038}, {'token': 'vienna', 'score': 0.035}, {'token': 'usa', 'score': 0.027}, {'token': 'switzerland', 'score': 0.023}, {'token': 'brussels', 'score': 0.015}, {'token': 'belgium', 'score': 0.015}, {'token': 'french', 'score': 0.013}, {'token': 'italy', 'score': 0.012}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]"
8,munich,"[{'token': 'berlin', 'score': 0.225}, {'token': 'vienna', 'score': 0.126}, {'token': 'munich', 'score': 0.123}, {'token': 'paris', 'score': 0.059}, {'token': 'london', 'score': 0.04}, {'token': 'frankfurt', 'score': 0.029}, {'token': 'stuttgart', 'score': 0.027}, {'token': 'stockholm', 'score': 0.026}, {'token': 'hamburg', 'score': 0.023}, {'token': 'dresden', 'score': 0.019}]","[{'token': 'berlin', 'score': 0.147}, {'token': 'paris', 'score': 0.117}, {'token': 'london', 'score': 0.1}, {'token': 'germany', 'score': 0.054}, {'token': 'vienna', 'score': 0.041}, {'token': 'munich', 'score': 0.032}, {'token': 'france', 'score': 0.027}, {'token': 'hamburg', 'score': 0.025}, {'token': 'warsaw', 'score': 0.024}, {'token': 'dresden', 'score': 0.02}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': 'berlin', 'score': 0.192}, {'token': 'munich', 'score': 0.1}, {'token': 'paris', 'score': 0.068}, {'token': 'vienna', 'score': 0.043}, {'token': 'germany', 'score': 0.042}, {'token': 'hamburg', 'score': 0.034}, {'token': 'london', 'score': 0.034}, {'token': 'frankfurt', 'score': 0.029}, {'token': 'warsaw', 'score': 0.024}, {'token': 'stuttgart', 'score': 0.018}]","[{'token': 'berlin', 'score': 0.247}, {'token': 'munich', 'score': 0.082}, {'token': 'vienna', 'score': 0.079}, {'token': 'london', 'score': 0.057}, {'token': 'paris', 'score': 0.039}, {'token': 'hamburg', 'score': 0.035}, {'token': 'frankfurt', 'score': 0.033}, {'token': 'germany', 'score': 0.026}, {'token': 'stockholm', 'score': 0.02}, {'token': 'cologne', 'score': 0.019}]"
9,bonn,"[{'token': 'berlin', 'score': 0.147}, {'token': 'paris', 'score': 0.108}, {'token': 'cologne', 'score': 0.042}, {'token': 'munich', 'score': 0.04}, {'token': 'leipzig', 'score': 0.037}, {'token': 'hamburg', 'score': 0.037}, {'token': 'mainz', 'score': 0.03}, {'token': 'frankfurt', 'score': 0.028}, {'token': 'gottingen', 'score': 0.023}, {'token': 'vienna', 'score': 0.023}]","[{'token': 'german', 'score': 0.045}, {'token': 'germany', 'score': 0.035}, {'token': '[unk]', 'score': 0.031}, {'token': 'sic', 'score': 0.016}, {'token': 'austria', 'score': 0.009}, {'token': 'bavaria', 'score': 0.008}, {'token': 'ss', 'score': 0.008}, {'token': 'vienna', 'score': 0.007}, {'token': 'paris', 'score': 0.007}, {'token': 'heinrich', 'score': 0.007}]","[{'token': 'german', 'score': 0.058}, {'token': 'germany', 'score': 0.05}, {'token': '[unk]', 'score': 0.015}, {'token': 'wolff', 'score': 0.01}, {'token': 'berlin', 'score': 0.01}, {'token': 'holland', 'score': 0.01}, {'token': 'french', 'score': 0.008}, {'token': 'paris', 'score': 0.008}, {'token': 'gottingen', 'score': 0.008}, {'token': 'sic', 'score': 0.008}]","[{'token': 'berlin', 'score': 0.202}, {'token': 'bonn', 'score': 0.063}, {'token': 'paris', 'score': 0.051}, {'token': 'cologne', 'score': 0.04}, {'token': 'vienna', 'score': 0.037}, {'token': 'hamburg', 'score': 0.031}, {'token': 'london', 'score': 0.028}, {'token': 'munich', 'score': 0.024}, {'token': 'mainz', 'score': 0.023}, {'token': 'frankfurt', 'score': 0.022}]","[{'token': 'berlin', 'score': 0.209}, {'token': 'bonn', 'score': 0.101}, {'token': 'paris', 'score': 0.069}, {'token': 'cologne', 'score': 0.033}, {'token': 'hamburg', 'score': 0.029}, {'token': 'munich', 'score': 0.028}, {'token': 'frankfurt', 'score': 0.025}, {'token': 'germany', 'score': 0.022}, {'token': 'mainz', 'score': 0.021}, {'token': 'halle', 'score': 0.02}]"
