,answers,original,t5_0,t5_1,t5_2,t5_3
0,urdu,"[{'token': 'urdu', 'score': 0.458}, {'token': 'arabic', 'score': 0.152}, {'token': 'english', 'score': 0.098}, {'token': 'persian', 'score': 0.037}, {'token': 'hindi', 'score': 0.021}, {'token': 'code', 'score': 0.021}, {'token': 'language', 'score': 0.012}, {'token': 'translation', 'score': 0.01}, {'token': 'sanskrit', 'score': 0.009}, {'token': 'pakistan', 'score': 0.008}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]"
1,italian,"[{'token': 'italian', 'score': 0.345}, {'token': 'estonian', 'score': 0.143}, {'token': 'albanian', 'score': 0.105}, {'token': 'azerbaijani', 'score': 0.044}, {'token': 'icelandic', 'score': 0.044}, {'token': 'austrian', 'score': 0.042}, {'token': 'argentine', 'score': 0.038}, {'token': 'iranian', 'score': 0.036}, {'token': 'ethiopian', 'score': 0.032}, {'token': 'american', 'score': 0.03}]","[{'token': 'american', 'score': 0.269}, {'token': 'englishman', 'score': 0.105}, {'token': 'estonian', 'score': 0.099}, {'token': 'austrian', 'score': 0.09}, {'token': 'italian', 'score': 0.077}, {'token': 'indian', 'score': 0.076}, {'token': 'australian', 'score': 0.058}, {'token': 'athlete', 'score': 0.035}, {'token': 'engineer', 'score': 0.024}, {'token': 'armenian', 'score': 0.024}]","[{'token': 'algerian', 'score': 0.422}, {'token': 'american', 'score': 0.096}, {'token': 'ethiopian', 'score': 0.076}, {'token': 'italian', 'score': 0.07}, {'token': 'african', 'score': 0.069}, {'token': 'armenian', 'score': 0.045}, {'token': 'austrian', 'score': 0.042}, {'token': 'egyptian', 'score': 0.031}, {'token': 'englishman', 'score': 0.02}, {'token': 'arab', 'score': 0.016}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]"
2,finnish,"[{'token': 'finnish', 'score': 0.342}, {'token': 'swedish', 'score': 0.289}, {'token': 'danish', 'score': 0.062}, {'token': 'norwegian', 'score': 0.057}, {'token': 'german', 'score': 0.045}, {'token': 'lithuanian', 'score': 0.026}, {'token': 'dutch', 'score': 0.016}, {'token': 'polish', 'score': 0.015}, {'token': 'canadian', 'score': 0.014}, {'token': 'latvian', 'score': 0.014}]","[{'token': 'finnish', 'score': 0.27}, {'token': 'swedish', 'score': 0.139}, {'token': 'former', 'score': 0.077}, {'token': 'norwegian', 'score': 0.061}, {'token': 'dutch', 'score': 0.05}, {'token': 'lithuanian', 'score': 0.048}, {'token': 'hungarian', 'score': 0.043}, {'token': 'german', 'score': 0.034}, {'token': 'danish', 'score': 0.031}, {'token': 'prominent', 'score': 0.028}]","[{'token': 'german', 'score': 0.162}, {'token': 'dutch', 'score': 0.096}, {'token': 'former', 'score': 0.05}, {'token': 'norwegian', 'score': 0.05}, {'token': 'swedish', 'score': 0.046}, {'token': 'successful', 'score': 0.046}, {'token': 'danish', 'score': 0.043}, {'token': 'polish', 'score': 0.042}, {'token': 'local', 'score': 0.028}, {'token': 'french', 'score': 0.023}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]"
3,spanish,"[{'token': 'spanish', 'score': 0.509}, {'token': 'portuguese', 'score': 0.229}, {'token': 'english', 'score': 0.088}, {'token': 'french', 'score': 0.025}, {'token': 'turkic', 'score': 0.015}, {'token': 'brazilian', 'score': 0.013}, {'token': 'basque', 'score': 0.009}, {'token': 'arabic', 'score': 0.008}, {'token': 'albanian', 'score': 0.007}, {'token': 'mexican', 'score': 0.007}]","[{'token': 'spanish', 'score': 0.497}, {'token': 'portuguese', 'score': 0.21}, {'token': 'english', 'score': 0.143}, {'token': 'french', 'score': 0.019}, {'token': 'brazilian', 'score': 0.015}, {'token': 'italian', 'score': 0.008}, {'token': 'mexican', 'score': 0.006}, {'token': 'basque', 'score': 0.006}, {'token': 'romanian', 'score': 0.006}, {'token': 'indigenous', 'score': 0.006}]","[{'token': 'spanish', 'score': 0.405}, {'token': 'portuguese', 'score': 0.247}, {'token': 'english', 'score': 0.065}, {'token': 'brazilian', 'score': 0.03}, {'token': 'colombian', 'score': 0.022}, {'token': 'non', 'score': 0.02}, {'token': 'french', 'score': 0.018}, {'token': 'chilean', 'score': 0.015}, {'token': 'basque', 'score': 0.014}, {'token': 'galician', 'score': 0.014}]","[{'token': 'spanish', 'score': 0.627}, {'token': 'portuguese', 'score': 0.111}, {'token': 'english', 'score': 0.069}, {'token': 'mexican', 'score': 0.026}, {'token': 'basque', 'score': 0.017}, {'token': 'brazilian', 'score': 0.015}, {'token': 'french', 'score': 0.013}, {'token': 'non', 'score': 0.009}, {'token': 'colombian', 'score': 0.006}, {'token': 'galician', 'score': 0.006}]","[{'token': 'spanish', 'score': 0.801}, {'token': 'portuguese', 'score': 0.066}, {'token': 'english', 'score': 0.054}, {'token': 'french', 'score': 0.009}, {'token': 'mexican', 'score': 0.006}, {'token': 'italian', 'score': 0.005}, {'token': 'basque', 'score': 0.005}, {'token': 'galician', 'score': 0.004}, {'token': 'brazilian', 'score': 0.004}, {'token': 'native', 'score': 0.003}]"
4,french,"[{'token': 'french', 'score': 0.128}, {'token': 'english', 'score': 0.036}, {'token': 'aka', 'score': 0.03}, {'token': 'see', 'score': 0.028}, {'token': 'also', 'score': 0.023}, {'token': 'now', 'score': 0.022}, {'token': 'france', 'score': 0.02}, {'token': 'officially', 'score': 0.018}, {'token': 'pronounced', 'score': 0.015}, {'token': 'originally', 'score': 0.014}]","[{'token': 'french', 'score': 0.981}, {'token': 'british', 'score': 0.006}, {'token': 'the', 'score': 0.001}, {'token': 'american', 'score': 0.001}, {'token': 'vanuatu', 'score': 0.001}, {'token': 'australian', 'score': 0.001}, {'token': 'modern', 'score': 0.001}, {'token': 'then', 'score': 0.0}, {'token': 'now', 'score': 0.0}, {'token': 'western', 'score': 0.0}]","[{'token': 'french', 'score': 0.947}, {'token': 'british', 'score': 0.033}, {'token': 'canadian', 'score': 0.008}, {'token': 'australian', 'score': 0.002}, {'token': 'american', 'score': 0.001}, {'token': 'the', 'score': 0.001}, {'token': 'great', 'score': 0.0}, {'token': 'western', 'score': 0.0}, {'token': 'papua', 'score': 0.0}, {'token': 'indian', 'score': 0.0}]","[{'token': 'french', 'score': 0.967}, {'token': 'british', 'score': 0.011}, {'token': 'the', 'score': 0.006}, {'token': 'american', 'score': 0.001}, {'token': 'australian', 'score': 0.001}, {'token': 'papua', 'score': 0.001}, {'token': 'little', 'score': 0.001}, {'token': 'great', 'score': 0.001}, {'token': 'japanese', 'score': 0.001}, {'token': 'western', 'score': 0.001}]","[{'token': 'french', 'score': 0.956}, {'token': 'british', 'score': 0.016}, {'token': 'the', 'score': 0.002}, {'token': 'american', 'score': 0.002}, {'token': 'australian', 'score': 0.001}, {'token': 'great', 'score': 0.001}, {'token': 'then', 'score': 0.001}, {'token': 'modern', 'score': 0.001}, {'token': 'papua', 'score': 0.001}, {'token': 'now', 'score': 0.001}]"
5,finnish,"[{'token': 'finnish', 'score': 0.236}, {'token': 'icelandic', 'score': 0.07}, {'token': 'german', 'score': 0.066}, {'token': 'norwegian', 'score': 0.063}, {'token': 'swedish', 'score': 0.063}, {'token': 'russian', 'score': 0.055}, {'token': 'danish', 'score': 0.047}, {'token': 'polish', 'score': 0.044}, {'token': 'estonian', 'score': 0.021}, {'token': 'french', 'score': 0.019}]","[{'token': 'finnish', 'score': 0.66}, {'token': 'swedish', 'score': 0.076}, {'token': 'mongolian', 'score': 0.058}, {'token': 'former', 'score': 0.03}, {'token': 'norwegian', 'score': 0.024}, {'token': 'danish', 'score': 0.019}, {'token': 'russian', 'score': 0.017}, {'token': 'german', 'score': 0.012}, {'token': 'latvian', 'score': 0.01}, {'token': 'japanese', 'score': 0.008}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': 'finnish', 'score': 0.232}, {'token': 'estonian', 'score': 0.092}, {'token': 'canadian', 'score': 0.081}, {'token': 'icelandic', 'score': 0.068}, {'token': 'swedish', 'score': 0.044}, {'token': 'norwegian', 'score': 0.037}, {'token': 'russian', 'score': 0.036}, {'token': 'former', 'score': 0.036}, {'token': 'danish', 'score': 0.021}, {'token': 'american', 'score': 0.019}]","[{'token': 'finnish', 'score': 0.632}, {'token': 'albanian', 'score': 0.032}, {'token': 'swedish', 'score': 0.029}, {'token': 'finland', 'score': 0.019}, {'token': 'icelandic', 'score': 0.019}, {'token': 'norwegian', 'score': 0.013}, {'token': 'canadian', 'score': 0.012}, {'token': 'estonian', 'score': 0.012}, {'token': 'kenya', 'score': 0.01}, {'token': 'danish', 'score': 0.009}]"
6,malay,"[{'token': 'indonesian', 'score': 0.102}, {'token': 'english', 'score': 0.077}, {'token': 'malaysia', 'score': 0.069}, {'token': 'indonesia', 'score': 0.066}, {'token': 'brunei', 'score': 0.039}, {'token': 'malay', 'score': 0.037}, {'token': 'thai', 'score': 0.033}, {'token': 'chinese', 'score': 0.027}, {'token': 'malaysian', 'score': 0.02}, {'token': 'dutch', 'score': 0.014}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]"
7,urdu,"[{'token': 'english', 'score': 0.258}, {'token': 'urdu', 'score': 0.244}, {'token': 'tamil', 'score': 0.03}, {'token': 'arabic', 'score': 0.03}, {'token': 'hindi', 'score': 0.026}, {'token': 'translation', 'score': 0.017}, {'token': 'language', 'score': 0.016}, {'token': 'hebrew', 'score': 0.016}, {'token': 'spanish', 'score': 0.013}, {'token': 'marathi', 'score': 0.013}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]"
8,finnish,"[{'token': 'swedish', 'score': 0.296}, {'token': 'finnish', 'score': 0.194}, {'token': 'danish', 'score': 0.116}, {'token': 'norwegian', 'score': 0.07}, {'token': 'german', 'score': 0.043}, {'token': 'english', 'score': 0.032}, {'token': 'sweden', 'score': 0.026}, {'token': 'finland', 'score': 0.022}, {'token': 'estonian', 'score': 0.021}, {'token': 'norway', 'score': 0.013}]","[{'token': 'english', 'score': 0.346}, {'token': 'french', 'score': 0.099}, {'token': 'arabic', 'score': 0.094}, {'token': 'icelandic', 'score': 0.043}, {'token': 'portuguese', 'score': 0.035}, {'token': 'german', 'score': 0.027}, {'token': 'dutch', 'score': 0.019}, {'token': 'estonian', 'score': 0.018}, {'token': 'swedish', 'score': 0.018}, {'token': 'italian', 'score': 0.017}]","[{'token': 'baltic', 'score': 0.15}, {'token': 'north', 'score': 0.095}, {'token': 'arctic', 'score': 0.074}, {'token': 'mediterranean', 'score': 0.044}, {'token': 'west', 'score': 0.036}, {'token': 'aegean', 'score': 0.034}, {'token': 'atlantic', 'score': 0.029}, {'token': 'middle', 'score': 0.026}, {'token': 'south', 'score': 0.026}, {'token': 'caucasus', 'score': 0.025}]","[{'token': 'english', 'score': 0.506}, {'token': 'estonian', 'score': 0.051}, {'token': 'finnish', 'score': 0.035}, {'token': 'swedish', 'score': 0.03}, {'token': 'norwegian', 'score': 0.026}, {'token': 'russian', 'score': 0.024}, {'token': 'icelandic', 'score': 0.023}, {'token': 'french', 'score': 0.023}, {'token': 'german', 'score': 0.022}, {'token': 'language', 'score': 0.014}]","[{'token': 'finnish', 'score': 0.128}, {'token': 'english', 'score': 0.123}, {'token': 'finland', 'score': 0.116}, {'token': 'sweden', 'score': 0.068}, {'token': 'estonia', 'score': 0.038}, {'token': 'norway', 'score': 0.031}, {'token': ')', 'score': 0.031}, {'token': 'canada', 'score': 0.029}, {'token': 'swedish', 'score': 0.025}, {'token': 'french', 'score': 0.024}]"
9,french,"[{'token': 'swedish', 'score': 0.262}, {'token': 'english', 'score': 0.157}, {'token': 'finnish', 'score': 0.13}, {'token': 'russian', 'score': 0.06}, {'token': 'french', 'score': 0.056}, {'token': 'spanish', 'score': 0.055}, {'token': 'german', 'score': 0.052}, {'token': 'hindi', 'score': 0.013}, {'token': 'afrikaans', 'score': 0.012}, {'token': 'korean', 'score': 0.009}]","[{'token': 'french', 'score': 0.428}, {'token': 'spanish', 'score': 0.173}, {'token': 'english', 'score': 0.062}, {'token': 'german', 'score': 0.059}, {'token': 'russian', 'score': 0.047}, {'token': 'swedish', 'score': 0.031}, {'token': 'finnish', 'score': 0.014}, {'token': 'vietnamese', 'score': 0.012}, {'token': 'hindi', 'score': 0.011}, {'token': 'romanian', 'score': 0.011}]","[{'token': 'french', 'score': 0.421}, {'token': 'spanish', 'score': 0.143}, {'token': 'russian', 'score': 0.07}, {'token': 'german', 'score': 0.068}, {'token': 'swedish', 'score': 0.051}, {'token': 'english', 'score': 0.041}, {'token': 'finnish', 'score': 0.034}, {'token': 'romanian', 'score': 0.016}, {'token': 'hindi', 'score': 0.012}, {'token': 'canadian', 'score': 0.01}]","[{'token': 'french', 'score': 0.507}, {'token': 'spanish', 'score': 0.11}, {'token': 'swedish', 'score': 0.091}, {'token': 'english', 'score': 0.058}, {'token': 'german', 'score': 0.041}, {'token': 'russian', 'score': 0.034}, {'token': 'finnish', 'score': 0.027}, {'token': 'dutch', 'score': 0.008}, {'token': 'gaelic', 'score': 0.008}, {'token': 'romanian', 'score': 0.008}]","[{'token': 'french', 'score': 0.548}, {'token': 'spanish', 'score': 0.171}, {'token': 'english', 'score': 0.052}, {'token': 'canadian', 'score': 0.037}, {'token': 'swedish', 'score': 0.029}, {'token': 'german', 'score': 0.029}, {'token': 'gaelic', 'score': 0.012}, {'token': 'russian', 'score': 0.011}, {'token': 'finnish', 'score': 0.01}, {'token': 'romanian', 'score': 0.006}]"
