,answers,original,t5_0,t5_1,t5_2,t5_3
0,opera,"[{'token': 'book', 'score': 0.397}, {'token': 'novel', 'score': 0.202}, {'token': 'film', 'score': 0.07}, {'token': 'song', 'score': 0.061}, {'token': 'poem', 'score': 0.039}, {'token': 'play', 'score': 0.035}, {'token': 'essay', 'score': 0.018}, {'token': 'classic', 'score': 0.015}, {'token': 'work', 'score': 0.015}, {'token': 'autobiography', 'score': 0.014}]","[{'token': 'book', 'score': 0.206}, {'token': 'novel', 'score': 0.201}, {'token': 'song', 'score': 0.163}, {'token': 'play', 'score': 0.074}, {'token': 'poem', 'score': 0.059}, {'token': 'film', 'score': 0.04}, {'token': 'work', 'score': 0.029}, {'token': 'classic', 'score': 0.026}, {'token': 'album', 'score': 0.023}, {'token': 'piece', 'score': 0.016}]","[{'token': 'book', 'score': 0.291}, {'token': 'play', 'score': 0.107}, {'token': 'song', 'score': 0.098}, {'token': 'novel', 'score': 0.092}, {'token': 'film', 'score': 0.085}, {'token': 'work', 'score': 0.031}, {'token': 'album', 'score': 0.03}, {'token': 'piece', 'score': 0.026}, {'token': 'poem', 'score': 0.023}, {'token': 'movie', 'score': 0.012}]","[{'token': 'book', 'score': 0.257}, {'token': 'film', 'score': 0.135}, {'token': 'novel', 'score': 0.082}, {'token': 'song', 'score': 0.077}, {'token': 'album', 'score': 0.061}, {'token': 'play', 'score': 0.051}, {'token': 'autobiography', 'score': 0.038}, {'token': 'documentary', 'score': 0.025}, {'token': 'movie', 'score': 0.022}, {'token': 'poem', 'score': 0.016}]","[{'token': 'song', 'score': 0.204}, {'token': 'album', 'score': 0.133}, {'token': 'book', 'score': 0.107}, {'token': 'play', 'score': 0.074}, {'token': 'novel', 'score': 0.058}, {'token': 'film', 'score': 0.045}, {'token': 'piece', 'score': 0.04}, {'token': 'poem', 'score': 0.032}, {'token': 'cd', 'score': 0.029}, {'token': 'work', 'score': 0.025}]"
1,jazz,"[{'token': 'jazz', 'score': 0.126}, {'token': 'music', 'score': 0.114}, {'token': 'musical', 'score': 0.091}, {'token': 'born', 'score': 0.033}, {'token': 'renaissance', 'score': 0.028}, {'token': 'opera', 'score': 0.027}, {'token': 'classical', 'score': 0.026}, {'token': 'folk', 'score': 0.024}, {'token': 'theater', 'score': 0.018}, {'token': 'vocal', 'score': 0.014}]","[{'token': 'music', 'score': 0.205}, {'token': 'jazz', 'score': 0.186}, {'token': 'musical', 'score': 0.082}, {'token': 'folk', 'score': 0.03}, {'token': 'art', 'score': 0.023}, {'token': 'radio', 'score': 0.017}, {'token': 'rock', 'score': 0.017}, {'token': 'film', 'score': 0.016}, {'token': 'pop', 'score': 0.016}, {'token': 'opera', 'score': 0.015}]","[{'token': 'jazz', 'score': 0.197}, {'token': 'music', 'score': 0.057}, {'token': 'folk', 'score': 0.046}, {'token': 'musical', 'score': 0.029}, {'token': 'english', 'score': 0.029}, {'token': 'rock', 'score': 0.025}, {'token': 'country', 'score': 0.017}, {'token': 'american', 'score': 0.017}, {'token': 'pop', 'score': 0.015}, {'token': 'classical', 'score': 0.014}]","[{'token': 'jazz', 'score': 0.749}, {'token': 'classical', 'score': 0.033}, {'token': 'blues', 'score': 0.03}, {'token': 'country', 'score': 0.016}, {'token': 'folk', 'score': 0.015}, {'token': 'pop', 'score': 0.012}, {'token': 'rock', 'score': 0.011}, {'token': 'session', 'score': 0.009}, {'token': 'american', 'score': 0.007}, {'token': 'professional', 'score': 0.006}]","[{'token': 'jazz', 'score': 0.216}, {'token': 'music', 'score': 0.049}, {'token': 'pop', 'score': 0.031}, {'token': 'opera', 'score': 0.03}, {'token': 'folk', 'score': 0.027}, {'token': 'musical', 'score': 0.027}, {'token': 'rock', 'score': 0.023}, {'token': 'classical', 'score': 0.019}, {'token': 'violin', 'score': 0.015}, {'token': 'operatic', 'score': 0.015}]"
2,opera,"[{'token': 'opera', 'score': 0.449}, {'token': 'song', 'score': 0.177}, {'token': 'play', 'score': 0.05}, {'token': 'musical', 'score': 0.032}, {'token': 'music', 'score': 0.028}, {'token': 'epic', 'score': 0.024}, {'token': 'symphony', 'score': 0.019}, {'token': 'ballad', 'score': 0.017}, {'token': 'novel', 'score': 0.015}, {'token': 'composition', 'score': 0.012}]","[{'token': 'opera', 'score': 0.575}, {'token': 'play', 'score': 0.075}, {'token': 'musical', 'score': 0.055}, {'token': 'song', 'score': 0.037}, {'token': 'film', 'score': 0.033}, {'token': 'band', 'score': 0.022}, {'token': 'comedy', 'score': 0.017}, {'token': 'novel', 'score': 0.016}, {'token': 'ballet', 'score': 0.013}, {'token': 'orchestra', 'score': 0.01}]","[{'token': 'composer', 'score': 0.366}, {'token': 'musical', 'score': 0.024}, {'token': 'libretto', 'score': 0.019}, {'token': 'director', 'score': 0.015}, {'token': 'artist', 'score': 0.015}, {'token': 'playwright', 'score': 0.015}, {'token': 'lyricist', 'score': 0.014}, {'token': 'recording', 'score': 0.013}, {'token': 'poet', 'score': 0.011}, {'token': 'conductor', 'score': 0.01}]","[{'token': 'musical', 'score': 0.215}, {'token': 'comedy', 'score': 0.12}, {'token': 'opera', 'score': 0.118}, {'token': 'play', 'score': 0.097}, {'token': 'film', 'score': 0.06}, {'token': 'song', 'score': 0.045}, {'token': 'novel', 'score': 0.026}, {'token': 'drama', 'score': 0.026}, {'token': 'movie', 'score': 0.011}, {'token': 'ballad', 'score': 0.01}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]"
3,jazz,"[{'token': 'live', 'score': 0.166}, {'token': 'jazz', 'score': 0.082}, {'token': 'recorded', 'score': 0.049}, {'token': 'studio', 'score': 0.029}, {'token': 'solo', 'score': 0.028}, {'token': 'commercial', 'score': 0.024}, {'token': 'radio', 'score': 0.022}, {'token': 'concert', 'score': 0.019}, {'token': 'rock', 'score': 0.018}, {'token': 'music', 'score': 0.018}]","[{'token': 'live', 'score': 0.113}, {'token': 'radio', 'score': 0.063}, {'token': 'studio', 'score': 0.04}, {'token': 'jazz', 'score': 0.034}, {'token': 'beatles', 'score': 0.032}, {'token': 'music', 'score': 0.03}, {'token': 'recorded', 'score': 0.03}, {'token': 'rock', 'score': 0.029}, {'token': 'commercial', 'score': 0.028}, {'token': 'musical', 'score': 0.023}]","[{'token': 'music', 'score': 0.191}, {'token': 'live', 'score': 0.157}, {'token': 'it', 'score': 0.058}, {'token': 'songs', 'score': 0.038}, {'token': 'records', 'score': 0.038}, {'token': 'reggae', 'score': 0.037}, {'token': 'drums', 'score': 0.023}, {'token': 'jazz', 'score': 0.023}, {'token': 'tracks', 'score': 0.02}, {'token': 'vocals', 'score': 0.016}]","[{'token': 'live', 'score': 0.122}, {'token': 'jazz', 'score': 0.079}, {'token': 'recorded', 'score': 0.044}, {'token': 'studio', 'score': 0.042}, {'token': 'commercial', 'score': 0.031}, {'token': 'gospel', 'score': 0.028}, {'token': 'music', 'score': 0.025}, {'token': 'rock', 'score': 0.025}, {'token': 'concert', 'score': 0.023}, {'token': 'beatles', 'score': 0.018}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]"
4,jazz,"[{'token': 'jazz', 'score': 0.5}, {'token': 'concert', 'score': 0.233}, {'token': 'classical', 'score': 0.145}, {'token': 'french', 'score': 0.019}, {'token': 'professional', 'score': 0.008}, {'token': 'german', 'score': 0.006}, {'token': 'school', 'score': 0.005}, {'token': 'american', 'score': 0.004}, {'token': 'master', 'score': 0.003}, {'token': 'english', 'score': 0.003}]","[{'token': 'jazz', 'score': 0.66}, {'token': 'concert', 'score': 0.151}, {'token': 'classical', 'score': 0.092}, {'token': 'french', 'score': 0.015}, {'token': 'professional', 'score': 0.004}, {'token': 'school', 'score': 0.004}, {'token': 'student', 'score': 0.003}, {'token': 'amateur', 'score': 0.003}, {'token': 'master', 'score': 0.003}, {'token': 'college', 'score': 0.002}]","[{'token': 'french', 'score': 0.202}, {'token': 'young', 'score': 0.186}, {'token': 'jazz', 'score': 0.163}, {'token': 'talented', 'score': 0.07}, {'token': 'famous', 'score': 0.041}, {'token': 'classical', 'score': 0.02}, {'token': 'swiss', 'score': 0.017}, {'token': 'german', 'score': 0.013}, {'token': 'renowned', 'score': 0.011}, {'token': 'professional', 'score': 0.011}]","[{'token': 'jazz', 'score': 0.786}, {'token': 'concert', 'score': 0.092}, {'token': 'classical', 'score': 0.045}, {'token': 'french', 'score': 0.016}, {'token': 'young', 'score': 0.004}, {'token': 'chamber', 'score': 0.003}, {'token': 'professional', 'score': 0.003}, {'token': 'student', 'score': 0.003}, {'token': 'american', 'score': 0.002}, {'token': 'master', 'score': 0.002}]","[{'token': 'jazz', 'score': 0.25}, {'token': 'famous', 'score': 0.193}, {'token': 'young', 'score': 0.077}, {'token': 'talented', 'score': 0.064}, {'token': 'french', 'score': 0.052}, {'token': 'popular', 'score': 0.033}, {'token': 'great', 'score': 0.03}, {'token': 'renowned', 'score': 0.022}, {'token': 'concert', 'score': 0.02}, {'token': 'celebrated', 'score': 0.02}]"
5,opera,"[{'token': 'opera', 'score': 0.93}, {'token': 'act', 'score': 0.012}, {'token': 'epic', 'score': 0.011}, {'token': 'aria', 'score': 0.008}, {'token': 'overture', 'score': 0.005}, {'token': 'interlude', 'score': 0.004}, {'token': 'orchestra', 'score': 0.003}, {'token': 'album', 'score': 0.003}, {'token': 'instrumental', 'score': 0.002}, {'token': 'episode', 'score': 0.002}]","[{'token': 'opera', 'score': 0.189}, {'token': 'song', 'score': 0.085}, {'token': 'novel', 'score': 0.079}, {'token': 'play', 'score': 0.06}, {'token': 'cantata', 'score': 0.05}, {'token': 'film', 'score': 0.042}, {'token': 'musical', 'score': 0.035}, {'token': 'poem', 'score': 0.029}, {'token': 'book', 'score': 0.027}, {'token': 'epic', 'score': 0.015}]","[{'token': 'first', 'score': 0.077}, {'token': 'song', 'score': 0.066}, {'token': 'opera', 'score': 0.052}, {'token': 'second', 'score': 0.051}, {'token': 'musical', 'score': 0.042}, {'token': 'third', 'score': 0.027}, {'token': 'original', 'score': 0.022}, {'token': 'whole', 'score': 0.021}, {'token': 'orchestral', 'score': 0.02}, {'token': 'film', 'score': 0.019}]","[{'token': 'opera', 'score': 0.721}, {'token': 'album', 'score': 0.088}, {'token': 'act', 'score': 0.042}, {'token': 'episode', 'score': 0.039}, {'token': 'ep', 'score': 0.019}, {'token': 'anthology', 'score': 0.011}, {'token': 'epic', 'score': 0.008}, {'token': 'adaptation', 'score': 0.006}, {'token': 'event', 'score': 0.004}, {'token': 'aria', 'score': 0.004}]","[{'token': 'opera', 'score': 0.229}, {'token': 'film', 'score': 0.054}, {'token': 'song', 'score': 0.053}, {'token': 'musical', 'score': 0.042}, {'token': 'cantata', 'score': 0.038}, {'token': 'novel', 'score': 0.034}, {'token': 'play', 'score': 0.031}, {'token': 'epic', 'score': 0.02}, {'token': 'first', 'score': 0.02}, {'token': 'poem', 'score': 0.016}]"
6,opera,"[{'token': 'opera', 'score': 0.862}, {'token': 'act', 'score': 0.019}, {'token': 'aria', 'score': 0.016}, {'token': 'epic', 'score': 0.015}, {'token': 'album', 'score': 0.013}, {'token': 'overture', 'score': 0.01}, {'token': 'installation', 'score': 0.008}, {'token': 'instrumental', 'score': 0.006}, {'token': 'adaptation', 'score': 0.004}, {'token': 'anthem', 'score': 0.004}]","[{'token': 'opera', 'score': 0.653}, {'token': 'act', 'score': 0.082}, {'token': 'instrumental', 'score': 0.06}, {'token': 'epic', 'score': 0.016}, {'token': 'orchestra', 'score': 0.014}, {'token': 'aria', 'score': 0.01}, {'token': 'overture', 'score': 0.009}, {'token': 'adaptation', 'score': 0.008}, {'token': 'exercise', 'score': 0.007}, {'token': 'anthem', 'score': 0.007}]","[{'token': 'orchestra', 'score': 0.091}, {'token': 'opera', 'score': 0.09}, {'token': 'instrumental', 'score': 0.085}, {'token': 'anthem', 'score': 0.07}, {'token': 'encore', 'score': 0.057}, {'token': 'accompaniment', 'score': 0.054}, {'token': 'act', 'score': 0.053}, {'token': 'aria', 'score': 0.046}, {'token': 'example', 'score': 0.041}, {'token': 'overture', 'score': 0.033}]","[{'token': 'play', 'score': 0.11}, {'token': 'score', 'score': 0.086}, {'token': 'composition', 'score': 0.067}, {'token': 'piece', 'score': 0.048}, {'token': 'film', 'score': 0.038}, {'token': 'opera', 'score': 0.036}, {'token': 'song', 'score': 0.034}, {'token': 'set', 'score': 0.028}, {'token': 'performance', 'score': 0.027}, {'token': 'suite', 'score': 0.027}]","[{'token': 'piece', 'score': 0.102}, {'token': 'play', 'score': 0.066}, {'token': 'ballet', 'score': 0.049}, {'token': 'opera', 'score': 0.04}, {'token': 'composition', 'score': 0.03}, {'token': 'cantata', 'score': 0.029}, {'token': 'movement', 'score': 0.027}, {'token': 'sculpture', 'score': 0.025}, {'token': 'dance', 'score': 0.022}, {'token': 'film', 'score': 0.021}]"
7,opera,"[{'token': 'opera', 'score': 0.938}, {'token': 'act', 'score': 0.023}, {'token': 'aria', 'score': 0.011}, {'token': 'epic', 'score': 0.011}, {'token': 'play', 'score': 0.002}, {'token': 'adventure', 'score': 0.002}, {'token': 'adaptation', 'score': 0.002}, {'token': 'offering', 'score': 0.001}, {'token': 'album', 'score': 0.001}, {'token': 'ep', 'score': 0.001}]","[{'token': 'play', 'score': 0.184}, {'token': 'opera', 'score': 0.138}, {'token': 'film', 'score': 0.096}, {'token': 'musical', 'score': 0.095}, {'token': 'novel', 'score': 0.091}, {'token': 'song', 'score': 0.058}, {'token': 'band', 'score': 0.021}, {'token': 'movie', 'score': 0.019}, {'token': 'book', 'score': 0.018}, {'token': 'story', 'score': 0.017}]","[{'token': 'play', 'score': 0.548}, {'token': 'musical', 'score': 0.121}, {'token': 'film', 'score': 0.044}, {'token': 'novel', 'score': 0.031}, {'token': 'comedy', 'score': 0.029}, {'token': 'production', 'score': 0.016}, {'token': 'book', 'score': 0.014}, {'token': 'opera', 'score': 0.012}, {'token': 'quartet', 'score': 0.01}, {'token': 'series', 'score': 0.01}]","[{'token': 'musical', 'score': 0.32}, {'token': 'play', 'score': 0.254}, {'token': 'novel', 'score': 0.039}, {'token': 'song', 'score': 0.034}, {'token': 'film', 'score': 0.032}, {'token': 'comedy', 'score': 0.028}, {'token': 'opera', 'score': 0.027}, {'token': 'album', 'score': 0.025}, {'token': 'production', 'score': 0.021}, {'token': 'story', 'score': 0.011}]","[{'token': 'play', 'score': 0.276}, {'token': 'heroine', 'score': 0.093}, {'token': 'character', 'score': 0.084}, {'token': 'novel', 'score': 0.074}, {'token': 'story', 'score': 0.041}, {'token': 'daughter', 'score': 0.035}, {'token': 'debut', 'score': 0.03}, {'token': 'wife', 'score': 0.03}, {'token': 'book', 'score': 0.014}, {'token': 'protagonist', 'score': 0.014}]"
8,jazz,"[{'token': 'jazz', 'score': 0.524}, {'token': 'bass', 'score': 0.111}, {'token': 'alto', 'score': 0.069}, {'token': 'tenor', 'score': 0.047}, {'token': 'baritone', 'score': 0.034}, {'token': 'college', 'score': 0.028}, {'token': 'school', 'score': 0.014}, {'token': 'classical', 'score': 0.012}, {'token': 'electric', 'score': 0.009}, {'token': 'professional', 'score': 0.007}]","[{'token': 'jazz', 'score': 0.462}, {'token': 'bass', 'score': 0.078}, {'token': 'alto', 'score': 0.058}, {'token': 'college', 'score': 0.05}, {'token': 'tenor', 'score': 0.043}, {'token': 'school', 'score': 0.026}, {'token': 'baritone', 'score': 0.024}, {'token': 'electric', 'score': 0.017}, {'token': 'classical', 'score': 0.016}, {'token': 'blues', 'score': 0.01}]","[{'token': 'jazz', 'score': 0.226}, {'token': 'former', 'score': 0.114}, {'token': 'bass', 'score': 0.085}, {'token': 'baritone', 'score': 0.042}, {'token': 'tenor', 'score': 0.041}, {'token': 'professional', 'score': 0.034}, {'token': 'young', 'score': 0.034}, {'token': 'college', 'score': 0.018}, {'token': 'black', 'score': 0.017}, {'token': 'retired', 'score': 0.015}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': 'jazz', 'score': 0.351}, {'token': 'bass', 'score': 0.123}, {'token': 'college', 'score': 0.061}, {'token': 'alto', 'score': 0.039}, {'token': 'baritone', 'score': 0.03}, {'token': 'tenor', 'score': 0.029}, {'token': 'school', 'score': 0.025}, {'token': 'classical', 'score': 0.024}, {'token': 'electric', 'score': 0.022}, {'token': 'solo', 'score': 0.015}]"
9,jazz,"[{'token': 'canadian', 'score': 0.272}, {'token': 'british', 'score': 0.098}, {'token': 'french', 'score': 0.087}, {'token': 'german', 'score': 0.069}, {'token': 'swedish', 'score': 0.059}, {'token': 'swiss', 'score': 0.054}, {'token': 'scottish', 'score': 0.044}, {'token': 'belgian', 'score': 0.027}, {'token': 'dutch', 'score': 0.023}, {'token': 'american', 'score': 0.014}]","[{'token': 'famous', 'score': 0.143}, {'token': 'noted', 'score': 0.069}, {'token': 'notable', 'score': 0.068}, {'token': 'great', 'score': 0.054}, {'token': 'former', 'score': 0.053}, {'token': 'popular', 'score': 0.045}, {'token': 'prominent', 'score': 0.044}, {'token': 'celebrated', 'score': 0.037}, {'token': 'renowned', 'score': 0.026}, {'token': 'leading', 'score': 0.022}]","[{'token': 'jazz', 'score': 0.087}, {'token': 'former', 'score': 0.076}, {'token': 'professional', 'score': 0.048}, {'token': 'young', 'score': 0.047}, {'token': 'canadian', 'score': 0.026}, {'token': 'legendary', 'score': 0.025}, {'token': 'popular', 'score': 0.024}, {'token': 'talented', 'score': 0.023}, {'token': 'noted', 'score': 0.023}, {'token': 'famous', 'score': 0.021}]","[{'token': 'canadian', 'score': 0.241}, {'token': 'british', 'score': 0.105}, {'token': 'jamaican', 'score': 0.083}, {'token': 'swedish', 'score': 0.06}, {'token': 'scottish', 'score': 0.046}, {'token': 'dutch', 'score': 0.031}, {'token': 'german', 'score': 0.025}, {'token': 'french', 'score': 0.023}, {'token': 'american', 'score': 0.018}, {'token': 'former', 'score': 0.017}]","[{'token': 'jazz', 'score': 0.093}, {'token': 'former', 'score': 0.068}, {'token': 'professional', 'score': 0.056}, {'token': 'noted', 'score': 0.056}, {'token': 'talented', 'score': 0.053}, {'token': 'trained', 'score': 0.04}, {'token': 'popular', 'score': 0.039}, {'token': 'young', 'score': 0.027}, {'token': 'retired', 'score': 0.025}, {'token': 'classical', 'score': 0.024}]"
