,answers,original,t5_0,t5_1,t5_2,t5_3
0,brazil,"[{'token': 'brazil', 'score': 0.784}, {'token': 'ferrari', 'score': 0.025}, {'token': 'spain', 'score': 0.023}, {'token': 'jordan', 'score': 0.018}, {'token': 'mexico', 'score': 0.016}, {'token': 'canada', 'score': 0.013}, {'token': 'brazilian', 'score': 0.011}, {'token': 'mercedes', 'score': 0.009}, {'token': 'america', 'score': 0.009}, {'token': 'germany', 'score': 0.007}]","[{'token': 'brazil', 'score': 0.636}, {'token': 'spain', 'score': 0.214}, {'token': 'mexico', 'score': 0.028}, {'token': 'argentina', 'score': 0.027}, {'token': 'portugal', 'score': 0.014}, {'token': 'ferrari', 'score': 0.01}, {'token': 'venezuela', 'score': 0.009}, {'token': 'belgium', 'score': 0.009}, {'token': 'mercedes', 'score': 0.008}, {'token': 'canada', 'score': 0.005}]","[{'token': 'brazil', 'score': 0.886}, {'token': 'spain', 'score': 0.051}, {'token': 'mexico', 'score': 0.015}, {'token': 'venezuela', 'score': 0.012}, {'token': 'argentina', 'score': 0.009}, {'token': 'portugal', 'score': 0.006}, {'token': 'colombia', 'score': 0.004}, {'token': 'canada', 'score': 0.002}, {'token': 'mercedes', 'score': 0.001}, {'token': 'brazilian', 'score': 0.001}]","[{'token': 'brazil', 'score': 0.849}, {'token': 'spain', 'score': 0.059}, {'token': 'portugal', 'score': 0.017}, {'token': 'belgium', 'score': 0.01}, {'token': 'argentina', 'score': 0.01}, {'token': 'mexico', 'score': 0.008}, {'token': 'germany', 'score': 0.005}, {'token': 'mercedes', 'score': 0.005}, {'token': 'venezuela', 'score': 0.004}, {'token': 'jordan', 'score': 0.003}]",
1,france,"[{'token': 'french', 'score': 0.994}, {'token': 'canadian', 'score': 0.001}, {'token': 'film', 'score': 0.001}, {'token': 'belgian', 'score': 0.001}, {'token': 'hollywood', 'score': 0.0}, {'token': 'swiss', 'score': 0.0}, {'token': 'french', 'score': 0.0}, {'token': 'television', 'score': 0.0}, {'token': 'theatrical', 'score': 0.0}, {'token': 'quebec', 'score': 0.0}]","[{'token': 'french', 'score': 0.753}, {'token': 'the', 'score': 0.04}, {'token': 'american', 'score': 0.024}, {'token': 'canadian', 'score': 0.022}, {'token': 'belgian', 'score': 0.02}, {'token': 'french', 'score': 0.011}, {'token': 'another', 'score': 0.01}, {'token': 'english', 'score': 0.009}, {'token': 'a', 'score': 0.007}, {'token': 'british', 'score': 0.006}]","[{'token': 'hollywood', 'score': 0.232}, {'token': 'france', 'score': 0.225}, {'token': 'paris', 'score': 0.136}, {'token': 'america', 'score': 0.037}, {'token': 'california', 'score': 0.036}, {'token': 'canada', 'score': 0.025}, {'token': 'montreal', 'score': 0.021}, {'token': 'chicago', 'score': 0.02}, {'token': 'london', 'score': 0.019}, {'token': 'japan', 'score': 0.016}]","[{'token': 'paris', 'score': 0.431}, {'token': 'france', 'score': 0.245}, {'token': 'switzerland', 'score': 0.029}, {'token': 'belgium', 'score': 0.021}, {'token': 'lyon', 'score': 0.019}, {'token': 'brussels', 'score': 0.018}, {'token': 'montreal', 'score': 0.011}, {'token': 'quebec', 'score': 0.008}, {'token': 'geneva', 'score': 0.008}, {'token': 'morocco', 'score': 0.007}]","[{'token': 'france', 'score': 0.402}, {'token': 'belgium', 'score': 0.108}, {'token': 'paris', 'score': 0.041}, {'token': 'switzerland', 'score': 0.037}, {'token': 'canada', 'score': 0.035}, {'token': 'algeria', 'score': 0.03}, {'token': 'italy', 'score': 0.017}, {'token': 'india', 'score': 0.016}, {'token': 'quebec', 'score': 0.015}, {'token': 'luxembourg', 'score': 0.013}]"
2,estonia,"[{'token': 'finnish', 'score': 0.155}, {'token': 'norwegian', 'score': 0.137}, {'token': 'german', 'score': 0.106}, {'token': 'swedish', 'score': 0.103}, {'token': 'danish', 'score': 0.097}, {'token': 'russian', 'score': 0.061}, {'token': 'dutch', 'score': 0.042}, {'token': 'american', 'score': 0.026}, {'token': 'austrian', 'score': 0.025}, {'token': 'hungarian', 'score': 0.022}]",,"[{'token': 'estonia', 'score': 0.698}, {'token': 'finland', 'score': 0.191}, {'token': 'eston', 'score': 0.019}, {'token': 'children', 'score': 0.013}, {'token': 'today', 'score': 0.008}, {'token': 'country', 'score': 0.007}, {'token': 'denmark', 'score': 0.004}, {'token': 'finn', 'score': 0.004}, {'token': 'sweden', 'score': 0.004}, {'token': 'norway', 'score': 0.003}]",,
3,denmark,"[{'token': 'denmark', 'score': 0.998}, {'token': 'sweden', 'score': 0.001}, {'token': 'norway', 'score': 0.0}, {'token': 'copenhagen', 'score': 0.0}, {'token': 'finland', 'score': 0.0}, {'token': 'belgium', 'score': 0.0}, {'token': 'germany', 'score': 0.0}, {'token': 'austria', 'score': 0.0}, {'token': 'greece', 'score': 0.0}, {'token': 'monaco', 'score': 0.0}]","[{'token': 'denmark', 'score': 0.996}, {'token': 'sweden', 'score': 0.002}, {'token': 'norway', 'score': 0.001}, {'token': 'austria', 'score': 0.0}, {'token': 'belgium', 'score': 0.0}, {'token': 'copenhagen', 'score': 0.0}, {'token': 'greece', 'score': 0.0}, {'token': 'germany', 'score': 0.0}, {'token': 'monaco', 'score': 0.0}, {'token': 'finland', 'score': 0.0}]","[{'token': 'denmark', 'score': 0.974}, {'token': 'sweden', 'score': 0.01}, {'token': 'norway', 'score': 0.008}, {'token': 'copenhagen', 'score': 0.002}, {'token': 'germany', 'score': 0.001}, {'token': 'finland', 'score': 0.001}, {'token': 'danish', 'score': 0.001}, {'token': 'belgium', 'score': 0.0}, {'token': 'austria', 'score': 0.0}, {'token': 'holland', 'score': 0.0}]","[{'token': 'denmark', 'score': 0.944}, {'token': 'sweden', 'score': 0.026}, {'token': 'norway', 'score': 0.009}, {'token': 'belgium', 'score': 0.005}, {'token': 'austria', 'score': 0.002}, {'token': 'greece', 'score': 0.002}, {'token': 'germany', 'score': 0.002}, {'token': 'netherlands', 'score': 0.001}, {'token': 'finland', 'score': 0.001}, {'token': 'spain', 'score': 0.001}]","[{'token': 'denmark', 'score': 0.945}, {'token': 'sweden', 'score': 0.028}, {'token': 'norway', 'score': 0.008}, {'token': 'belgium', 'score': 0.003}, {'token': 'finland', 'score': 0.002}, {'token': 'germany', 'score': 0.002}, {'token': 'greece', 'score': 0.001}, {'token': 'austria', 'score': 0.001}, {'token': 'netherlands', 'score': 0.001}, {'token': 'russia', 'score': 0.001}]"
4,denmark,"[{'token': 'british', 'score': 0.425}, {'token': 'canadian', 'score': 0.079}, {'token': 'german', 'score': 0.067}, {'token': 'swedish', 'score': 0.065}, {'token': 'french', 'score': 0.047}, {'token': 'scottish', 'score': 0.026}, {'token': 'danish', 'score': 0.025}, {'token': 'music', 'score': 0.024}, {'token': 'dutch', 'score': 0.023}, {'token': 'norwegian', 'score': 0.022}]","[{'token': 'germany', 'score': 0.119}, {'token': 'canada', 'score': 0.115}, {'token': 'australia', 'score': 0.112}, {'token': 'sweden', 'score': 0.042}, {'token': 'france', 'score': 0.033}, {'token': 'norway', 'score': 0.032}, {'token': 'japan', 'score': 0.026}, {'token': 'israel', 'score': 0.024}, {'token': 'denmark', 'score': 0.022}, {'token': 'switzerland', 'score': 0.019}]","[{'token': 'australia', 'score': 0.126}, {'token': 'canada', 'score': 0.103}, {'token': 'england', 'score': 0.065}, {'token': 'sweden', 'score': 0.041}, {'token': 'germany', 'score': 0.036}, {'token': 'london', 'score': 0.036}, {'token': 'denmark', 'score': 0.027}, {'token': 'france', 'score': 0.024}, {'token': 'belgium', 'score': 0.021}, {'token': 'britain', 'score': 0.021}]","[{'token': 'sweden', 'score': 0.15}, {'token': 'stockholm', 'score': 0.119}, {'token': 'belgium', 'score': 0.053}, {'token': 'berlin', 'score': 0.043}, {'token': 'amsterdam', 'score': 0.039}, {'token': 'germany', 'score': 0.033}, {'token': 'paris', 'score': 0.028}, {'token': 'london', 'score': 0.025}, {'token': 'brussels', 'score': 0.025}, {'token': 'barcelona', 'score': 0.022}]","[{'token': 'sweden', 'score': 0.174}, {'token': 'germany', 'score': 0.114}, {'token': 'denmark', 'score': 0.072}, {'token': 'belgium', 'score': 0.068}, {'token': 'switzerland', 'score': 0.042}, {'token': 'australia', 'score': 0.037}, {'token': 'finland', 'score': 0.036}, {'token': 'norway', 'score': 0.027}, {'token': 'austria', 'score': 0.026}, {'token': 'france', 'score': 0.022}]"
5,sweden,"[{'token': 'swedish', 'score': 0.994}, {'token': 'norwegian', 'score': 0.003}, {'token': 'finnish', 'score': 0.001}, {'token': 'danish', 'score': 0.0}, {'token': 'scandinavian', 'score': 0.0}, {'token': 'sweden', 'score': 0.0}, {'token': 'nordic', 'score': 0.0}, {'token': 'german', 'score': 0.0}, {'token': 'pioneering', 'score': 0.0}, {'token': 'soviet', 'score': 0.0}]","[{'token': 'sweden', 'score': 0.963}, {'token': 'stockholm', 'score': 0.015}, {'token': 'norway', 'score': 0.006}, {'token': 'denmark', 'score': 0.002}, {'token': 'finland', 'score': 0.002}, {'token': 'lund', 'score': 0.001}, {'token': 'swedish', 'score': 0.001}, {'token': 'russia', 'score': 0.0}, {'token': 'germany', 'score': 0.0}, {'token': 'canada', 'score': 0.0}]","[{'token': 'sweden', 'score': 0.606}, {'token': 'stockholm', 'score': 0.12}, {'token': 'russia', 'score': 0.01}, {'token': 'europe', 'score': 0.009}, {'token': 'india', 'score': 0.009}, {'token': 'canada', 'score': 0.008}, {'token': 'switzerland', 'score': 0.008}, {'token': 'finland', 'score': 0.006}, {'token': 'japan', 'score': 0.006}, {'token': 'norway', 'score': 0.006}]","[{'token': 'sweden', 'score': 0.242}, {'token': 'norway', 'score': 0.117}, {'token': 'stockholm', 'score': 0.107}, {'token': 'antarctica', 'score': 0.054}, {'token': 'oslo', 'score': 0.044}, {'token': 'denmark', 'score': 0.039}, {'token': 'finland', 'score': 0.031}, {'token': 'copenhagen', 'score': 0.029}, {'token': 'germany', 'score': 0.025}, {'token': 'iceland', 'score': 0.023}]","[{'token': 'sweden', 'score': 0.492}, {'token': 'denmark', 'score': 0.176}, {'token': 'norway', 'score': 0.161}, {'token': 'stockholm', 'score': 0.033}, {'token': 'belgium', 'score': 0.014}, {'token': 'finland', 'score': 0.012}, {'token': 'england', 'score': 0.01}, {'token': 'copenhagen', 'score': 0.01}, {'token': 'lund', 'score': 0.009}, {'token': 'scotland', 'score': 0.008}]"
6,india,"[{'token': 'india', 'score': 0.996}, {'token': 'india', 'score': 0.002}, {'token': 'bangladesh', 'score': 0.001}, {'token': 'indian', 'score': 0.0}, {'token': 'england', 'score': 0.0}, {'token': '1971', 'score': 0.0}, {'token': 'pakistan', 'score': 0.0}, {'token': 'uk', 'score': 0.0}, {'token': 'australia', 'score': 0.0}, {'token': '1947', 'score': 0.0}]","[{'token': 'india', 'score': 0.971}, {'token': 'the', 'score': 0.005}, {'token': 'history', 'score': 0.003}, {'token': 'bengal', 'score': 0.002}, {'token': 'bangladesh', 'score': 0.001}, {'token': '1893', 'score': 0.001}, {'token': '1947', 'score': 0.001}, {'token': '1911', 'score': 0.001}, {'token': 'indian', 'score': 0.001}, {'token': 'from', 'score': 0.0}]","[{'token': 'india', 'score': 0.898}, {'token': 'india', 'score': 0.022}, {'token': 'which', 'score': 0.016}, {'token': 'who', 'score': 0.006}, {'token': 'it', 'score': 0.004}, {'token': 'bangladesh', 'score': 0.004}, {'token': 'and', 'score': 0.003}, {'token': 'it', 'score': 0.003}, {'token': 'usa', 'score': 0.003}, {'token': 'he', 'score': 0.001}]","[{'token': 'india', 'score': 0.995}, {'token': 'india', 'score': 0.003}, {'token': 'bangladesh', 'score': 0.001}, {'token': 'usa', 'score': 0.0}, {'token': 'indian', 'score': 0.0}, {'token': 'england', 'score': 0.0}, {'token': 'australia', 'score': 0.0}, {'token': 'burma', 'score': 0.0}, {'token': 'pakistan', 'score': 0.0}, {'token': 'canada', 'score': 0.0}]","[{'token': 'india', 'score': 0.451}, {'token': 'bengal', 'score': 0.434}, {'token': 'bangladesh', 'score': 0.07}, {'token': 'maharashtra', 'score': 0.019}, {'token': 'up', 'score': 0.004}, {'token': 'bihar', 'score': 0.004}, {'token': 'kerala', 'score': 0.003}, {'token': 'nepal', 'score': 0.001}, {'token': 'delhi', 'score': 0.001}, {'token': 'indian', 'score': 0.001}]"
7,japan,"[{'token': 'japan', 'score': 0.99}, {'token': 'china', 'score': 0.002}, {'token': 'taiwan', 'score': 0.001}, {'token': 'india', 'score': 0.001}, {'token': 'thailand', 'score': 0.001}, {'token': 'tokyo', 'score': 0.001}, {'token': 'japanese', 'score': 0.0}, {'token': 'philippines', 'score': 0.0}, {'token': 'nepal', 'score': 0.0}, {'token': 'australia', 'score': 0.0}]",,,,"[{'token': 'japan', 'score': 0.65}, {'token': 'tokyo', 'score': 0.225}, {'token': 'osaka', 'score': 0.048}, {'token': 'hiroshima', 'score': 0.023}, {'token': 'kyoto', 'score': 0.008}, {'token': 'kobe', 'score': 0.004}, {'token': 'india', 'score': 0.003}, {'token': 'taiwan', 'score': 0.003}, {'token': 'china', 'score': 0.003}, {'token': 'singapore', 'score': 0.002}]"
8,canada,"[{'token': 'canada', 'score': 0.596}, {'token': 'ontario', 'score': 0.097}, {'token': 'alberta', 'score': 0.091}, {'token': 'manitoba', 'score': 0.076}, {'token': 'saskatchewan', 'score': 0.053}, {'token': 'bc', 'score': 0.022}, {'token': 'quebec', 'score': 0.015}, {'token': 'australia', 'score': 0.011}, {'token': 'newfoundland', 'score': 0.008}, {'token': 'history', 'score': 0.007}]","[{'token': 'canada', 'score': 0.384}, {'token': 'manitoba', 'score': 0.178}, {'token': 'saskatchewan', 'score': 0.16}, {'token': 'alberta', 'score': 0.112}, {'token': 'ontario', 'score': 0.063}, {'token': 'bc', 'score': 0.043}, {'token': 'newfoundland', 'score': 0.01}, {'token': 'australia', 'score': 0.007}, {'token': 'quebec', 'score': 0.006}, {'token': 'victoria', 'score': 0.004}]","[{'token': 'manitoba', 'score': 0.224}, {'token': 'saskatchewan', 'score': 0.19}, {'token': 'ontario', 'score': 0.149}, {'token': 'alberta', 'score': 0.077}, {'token': 'victoria', 'score': 0.04}, {'token': 'quebec', 'score': 0.036}, {'token': 'winnipeg', 'score': 0.026}, {'token': 'newfoundland', 'score': 0.023}, {'token': 'canada', 'score': 0.022}, {'token': 'he', 'score': 0.018}]","[{'token': 'canada', 'score': 0.252}, {'token': 'ontario', 'score': 0.213}, {'token': 'saskatchewan', 'score': 0.183}, {'token': 'alberta', 'score': 0.108}, {'token': 'manitoba', 'score': 0.1}, {'token': 'australia', 'score': 0.022}, {'token': 'bc', 'score': 0.022}, {'token': 'newfoundland', 'score': 0.022}, {'token': 'quebec', 'score': 0.013}, {'token': 'victoria', 'score': 0.01}]","[{'token': 'canada', 'score': 0.971}, {'token': 'ontario', 'score': 0.007}, {'token': 'alberta', 'score': 0.005}, {'token': 'manitoba', 'score': 0.004}, {'token': 'australia', 'score': 0.003}, {'token': 'saskatchewan', 'score': 0.002}, {'token': 'america', 'score': 0.002}, {'token': 'quebec', 'score': 0.001}, {'token': 'bc', 'score': 0.001}, {'token': 'britain', 'score': 0.001}]"
9,nigeria,"[{'token': 'nigeria', 'score': 0.973}, {'token': 'niger', 'score': 0.009}, {'token': 'liberia', 'score': 0.006}, {'token': 'ghana', 'score': 0.003}, {'token': 'senegal', 'score': 0.002}, {'token': 'uganda', 'score': 0.001}, {'token': 'nigerian', 'score': 0.001}, {'token': 'cameroon', 'score': 0.001}, {'token': 'tanzania', 'score': 0.001}, {'token': 'guinea', 'score': 0.0}]","[{'token': 'senegal', 'score': 0.377}, {'token': 'tunisia', 'score': 0.16}, {'token': 'algeria', 'score': 0.059}, {'token': 'niger', 'score': 0.047}, {'token': 'mali', 'score': 0.046}, {'token': 'chad', 'score': 0.041}, {'token': 'morocco', 'score': 0.033}, {'token': 'liberia', 'score': 0.029}, {'token': 'guinea', 'score': 0.024}, {'token': 'somalia', 'score': 0.023}]","[{'token': 'tunisia', 'score': 0.33}, {'token': 'senegal', 'score': 0.198}, {'token': 'nigeria', 'score': 0.091}, {'token': 'liberia', 'score': 0.042}, {'token': 'algeria', 'score': 0.029}, {'token': 'libya', 'score': 0.027}, {'token': 'mali', 'score': 0.026}, {'token': 'chad', 'score': 0.025}, {'token': 'niger', 'score': 0.024}, {'token': 'somalia', 'score': 0.019}]","[{'token': 'senegal', 'score': 0.181}, {'token': 'liberia', 'score': 0.139}, {'token': 'guinea', 'score': 0.091}, {'token': 'ghana', 'score': 0.088}, {'token': 'mali', 'score': 0.067}, {'token': 'uganda', 'score': 0.062}, {'token': 'chad', 'score': 0.06}, {'token': 'congo', 'score': 0.051}, {'token': 'nigeria', 'score': 0.038}, {'token': 'cameroon', 'score': 0.029}]","[{'token': 'uganda', 'score': 0.16}, {'token': 'liberia', 'score': 0.124}, {'token': 'ghana', 'score': 0.114}, {'token': 'kenya', 'score': 0.109}, {'token': 'senegal', 'score': 0.102}, {'token': 'nigeria', 'score': 0.101}, {'token': 'somalia', 'score': 0.041}, {'token': 'tanzania', 'score': 0.038}, {'token': 'ethiopia', 'score': 0.026}, {'token': 'mali', 'score': 0.02}]"
