,answers,original,t5_0,t5_1,t5_2,t5_3
0,opera,"[{'token': 'film', 'score': 0.146}, {'token': 'book', 'score': 0.141}, {'token': 'poem', 'score': 0.097}, {'token': 'documentary', 'score': 0.079}, {'token': 'play', 'score': 0.07}, {'token': 'song', 'score': 0.063}, {'token': 'novel', 'score': 0.053}, {'token': 'essay', 'score': 0.048}, {'token': 'memoir', 'score': 0.029}, {'token': 'movie', 'score': 0.024}]","[{'token': 'song', 'score': 0.217}, {'token': 'poem', 'score': 0.159}, {'token': 'book', 'score': 0.116}, {'token': 'play', 'score': 0.085}, {'token': 'piece', 'score': 0.047}, {'token': 'essay', 'score': 0.044}, {'token': 'novel', 'score': 0.025}, {'token': 'album', 'score': 0.023}, {'token': 'composition', 'score': 0.017}, {'token': 'work', 'score': 0.016}]","[{'token': 'song', 'score': 0.153}, {'token': 'piece', 'score': 0.125}, {'token': 'poem', 'score': 0.088}, {'token': 'book', 'score': 0.078}, {'token': 'play', 'score': 0.071}, {'token': 'performance', 'score': 0.049}, {'token': 'work', 'score': 0.048}, {'token': 'essay', 'score': 0.039}, {'token': 'film', 'score': 0.038}, {'token': 'novel', 'score': 0.023}]","[{'token': 'album', 'score': 0.148}, {'token': 'book', 'score': 0.128}, {'token': 'film', 'score': 0.123}, {'token': 'video', 'score': 0.103}, {'token': 'documentary', 'score': 0.07}, {'token': 'cd', 'score': 0.055}, {'token': 'performance', 'score': 0.018}, {'token': 'play', 'score': 0.016}, {'token': 'essay', 'score': 0.015}, {'token': 'song', 'score': 0.014}]","[{'token': 'song', 'score': 0.167}, {'token': 'performance', 'score': 0.147}, {'token': 'album', 'score': 0.133}, {'token': 'concert', 'score': 0.091}, {'token': 'piece', 'score': 0.07}, {'token': 'show', 'score': 0.056}, {'token': 'video', 'score': 0.053}, {'token': 'play', 'score': 0.03}, {'token': 'cd', 'score': 0.022}, {'token': 'film', 'score': 0.021}]"
1,jazz,"[{'token': 'jazz', 'score': 0.939}, {'token': 'classical', 'score': 0.025}, {'token': 'experimental', 'score': 0.004}, {'token': 'jazz', 'score': 0.003}, {'token': 'fusion', 'score': 0.002}, {'token': 'blues', 'score': 0.002}, {'token': 'bass', 'score': 0.002}, {'token': 'jewish', 'score': 0.002}, {'token': 'rock', 'score': 0.002}, {'token': 'folk', 'score': 0.001}]","[{'token': 'jazz', 'score': 0.743}, {'token': 'classical', 'score': 0.129}, {'token': 'experimental', 'score': 0.017}, {'token': 'jazz', 'score': 0.013}, {'token': 'fusion', 'score': 0.009}, {'token': 'classical', 'score': 0.006}, {'token': 'contemporary', 'score': 0.004}, {'token': 'blues', 'score': 0.003}, {'token': 'jewish', 'score': 0.003}, {'token': 'renaissance', 'score': 0.003}]","[{'token': 'jazz', 'score': 0.713}, {'token': 'classical', 'score': 0.062}, {'token': 'jewish', 'score': 0.048}, {'token': 'born', 'score': 0.018}, {'token': 'blues', 'score': 0.015}, {'token': 'jazz', 'score': 0.011}, {'token': 'bass', 'score': 0.008}, {'token': 'folk', 'score': 0.007}, {'token': 'rock', 'score': 0.006}, {'token': 'soul', 'score': 0.004}]","[{'token': 'jazz', 'score': 0.898}, {'token': 'blues', 'score': 0.037}, {'token': 'rock', 'score': 0.011}, {'token': 'folk', 'score': 0.007}, {'token': 'classical', 'score': 0.007}, {'token': 'jazz', 'score': 0.006}, {'token': 'session', 'score': 0.004}, {'token': 'soul', 'score': 0.003}, {'token': 'professional', 'score': 0.002}, {'token': 'black', 'score': 0.002}]","[{'token': 'jazz', 'score': 0.915}, {'token': 'classical', 'score': 0.035}, {'token': 'jazz', 'score': 0.008}, {'token': 'jewish', 'score': 0.006}, {'token': 'experimental', 'score': 0.002}, {'token': 'bass', 'score': 0.002}, {'token': 'rock', 'score': 0.002}, {'token': 'blues', 'score': 0.002}, {'token': 'fusion', 'score': 0.001}, {'token': 'folk', 'score': 0.001}]"
2,opera,"[{'token': 'musical', 'score': 0.555}, {'token': 'opera', 'score': 0.293}, {'token': 'film', 'score': 0.043}, {'token': 'play', 'score': 0.036}, {'token': 'ballet', 'score': 0.017}, {'token': 'drama', 'score': 0.012}, {'token': 'comedy', 'score': 0.008}, {'token': 'song', 'score': 0.007}, {'token': 'music', 'score': 0.003}, {'token': 'movie', 'score': 0.002}]","[{'token': 'musical', 'score': 0.71}, {'token': 'film', 'score': 0.074}, {'token': 'sitcom', 'score': 0.051}, {'token': 'comedy', 'score': 0.044}, {'token': 'classic', 'score': 0.014}, {'token': 'movie', 'score': 0.012}, {'token': 'play', 'score': 0.01}, {'token': 'opera', 'score': 0.01}, {'token': 'series', 'score': 0.009}, {'token': 'drama', 'score': 0.006}]","[{'token': 'classic', 'score': 0.156}, {'token': 'musical', 'score': 0.142}, {'token': 'comedy', 'score': 0.088}, {'token': 'epic', 'score': 0.057}, {'token': 'anthem', 'score': 0.043}, {'token': 'tragedy', 'score': 0.032}, {'token': 'opera', 'score': 0.03}, {'token': 'drama', 'score': 0.028}, {'token': 'film', 'score': 0.027}, {'token': 'play', 'score': 0.021}]","[{'token': 'musical', 'score': 0.548}, {'token': 'film', 'score': 0.106}, {'token': 'comedy', 'score': 0.09}, {'token': 'western', 'score': 0.038}, {'token': 'classic', 'score': 0.023}, {'token': 'movie', 'score': 0.021}, {'token': 'opera', 'score': 0.02}, {'token': 'drama', 'score': 0.019}, {'token': 'western', 'score': 0.018}, {'token': 'play', 'score': 0.016}]",
3,jazz,"[{'token': 'jazz', 'score': 0.513}, {'token': 'commercial', 'score': 0.058}, {'token': 'blues', 'score': 0.034}, {'token': 'session', 'score': 0.025}, {'token': 'recorded', 'score': 0.021}, {'token': 'such', 'score': 0.02}, {'token': 'jazz', 'score': 0.015}, {'token': 'studio', 'score': 0.012}, {'token': 'sound', 'score': 0.012}, {'token': 'successful', 'score': 0.011}]","[{'token': 'jazz', 'score': 0.576}, {'token': 'blues', 'score': 0.048}, {'token': 'commercial', 'score': 0.037}, {'token': 'such', 'score': 0.02}, {'token': 'session', 'score': 0.018}, {'token': 'recorded', 'score': 0.013}, {'token': 'studio', 'score': 0.01}, {'token': 'hit', 'score': 0.009}, {'token': 'jazz', 'score': 0.009}, {'token': 'successful', 'score': 0.008}]","[{'token': 'together', 'score': 0.477}, {'token': 'professionally', 'score': 0.135}, {'token': 'commercially', 'score': 0.102}, {'token': 'music', 'score': 0.036}, {'token': 'live', 'score': 0.02}, {'token': 'independently', 'score': 0.02}, {'token': 'successfully', 'score': 0.019}, {'token': 'records', 'score': 0.018}, {'token': 'jazz', 'score': 0.014}, {'token': 'nationally', 'score': 0.012}]","[{'token': 'jazz', 'score': 0.491}, {'token': 'commercial', 'score': 0.107}, {'token': 'blues', 'score': 0.029}, {'token': 'session', 'score': 0.019}, {'token': 'studio', 'score': 0.015}, {'token': 'such', 'score': 0.013}, {'token': 'professional', 'score': 0.012}, {'token': 'successful', 'score': 0.012}, {'token': 'jazz', 'score': 0.011}, {'token': 'demo', 'score': 0.011}]",
4,jazz,"[{'token': 'jazz', 'score': 0.464}, {'token': 'classical', 'score': 0.394}, {'token': 'french', 'score': 0.034}, {'token': 'concert', 'score': 0.029}, {'token': 'jazz', 'score': 0.005}, {'token': 'experimental', 'score': 0.003}, {'token': 'piano', 'score': 0.003}, {'token': 'professional', 'score': 0.003}, {'token': 'solo', 'score': 0.003}, {'token': 'minimalist', 'score': 0.002}]","[{'token': 'jazz', 'score': 0.93}, {'token': 'classical', 'score': 0.031}, {'token': 'french', 'score': 0.012}, {'token': 'jazz', 'score': 0.007}, {'token': 'concert', 'score': 0.002}, {'token': 'experimental', 'score': 0.001}, {'token': 'american', 'score': 0.001}, {'token': 'piano', 'score': 0.001}, {'token': 'belgian', 'score': 0.001}, {'token': 'blues', 'score': 0.001}]","[{'token': 'jazz', 'score': 0.419}, {'token': 'french', 'score': 0.294}, {'token': 'young', 'score': 0.12}, {'token': 'classical', 'score': 0.024}, {'token': 'belgian', 'score': 0.021}, {'token': 'jazz', 'score': 0.018}, {'token': 'french', 'score': 0.008}, {'token': 'concert', 'score': 0.005}, {'token': 'professional', 'score': 0.003}, {'token': 'talented', 'score': 0.003}]","[{'token': 'jazz', 'score': 0.943}, {'token': 'classical', 'score': 0.015}, {'token': 'concert', 'score': 0.012}, {'token': 'jazz', 'score': 0.005}, {'token': 'french', 'score': 0.003}, {'token': 'solo', 'score': 0.003}, {'token': 'young', 'score': 0.001}, {'token': 'piano', 'score': 0.001}, {'token': 'american', 'score': 0.001}, {'token': 'contemporary', 'score': 0.001}]","[{'token': 'jazz', 'score': 0.647}, {'token': 'french', 'score': 0.106}, {'token': 'young', 'score': 0.084}, {'token': 'great', 'score': 0.023}, {'token': 'classical', 'score': 0.016}, {'token': 'jazz', 'score': 0.014}, {'token': 'black', 'score': 0.009}, {'token': 'famous', 'score': 0.008}, {'token': 'belgian', 'score': 0.006}, {'token': 'french', 'score': 0.006}]"
5,opera,"[{'token': 'opera', 'score': 0.998}, {'token': 'epic', 'score': 0.001}, {'token': 'opera', 'score': 0.0}, {'token': 'orchestra', 'score': 0.0}, {'token': 'album', 'score': 0.0}, {'token': 'ballet', 'score': 0.0}, {'token': 'drama', 'score': 0.0}, {'token': 'autobiography', 'score': 0.0}, {'token': 'adaptation', 'score': 0.0}, {'token': 'anthem', 'score': 0.0}]","[{'token': 'opera', 'score': 0.945}, {'token': 'ballet', 'score': 0.017}, {'token': 'play', 'score': 0.011}, {'token': 'musical', 'score': 0.008}, {'token': 'novel', 'score': 0.004}, {'token': 'drama', 'score': 0.002}, {'token': 'epic', 'score': 0.001}, {'token': 'film', 'score': 0.001}, {'token': 'poem', 'score': 0.001}, {'token': 'work', 'score': 0.001}]","[{'token': 'opera', 'score': 0.773}, {'token': 'ballet', 'score': 0.142}, {'token': 'musical', 'score': 0.019}, {'token': 'film', 'score': 0.009}, {'token': 'movie', 'score': 0.005}, {'token': 'opera', 'score': 0.004}, {'token': 'play', 'score': 0.003}, {'token': 'song', 'score': 0.003}, {'token': 'symphony', 'score': 0.002}, {'token': 'novel', 'score': 0.001}]","[{'token': 'opera', 'score': 0.99}, {'token': 'album', 'score': 0.002}, {'token': 'epic', 'score': 0.002}, {'token': 'episode', 'score': 0.001}, {'token': 'lp', 'score': 0.001}, {'token': 'opera', 'score': 0.0}, {'token': 'act', 'score': 0.0}, {'token': 'play', 'score': 0.0}, {'token': 'evening', 'score': 0.0}, {'token': 'adaptation', 'score': 0.0}]","[{'token': 'opera', 'score': 0.935}, {'token': 'ballet', 'score': 0.036}, {'token': 'musical', 'score': 0.007}, {'token': 'play', 'score': 0.003}, {'token': 'epic', 'score': 0.002}, {'token': 'film', 'score': 0.001}, {'token': 'drama', 'score': 0.001}, {'token': 'work', 'score': 0.001}, {'token': 'novel', 'score': 0.001}, {'token': 'masterpiece', 'score': 0.001}]"
6,opera,"[{'token': 'opera', 'score': 0.999}, {'token': 'epic', 'score': 0.0}, {'token': 'opera', 'score': 0.0}, {'token': 'adaptation', 'score': 0.0}, {'token': 'play', 'score': 0.0}, {'token': 'drama', 'score': 0.0}, {'token': 'ballet', 'score': 0.0}, {'token': 'musical', 'score': 0.0}, {'token': 'orchestra', 'score': 0.0}, {'token': 'comedy', 'score': 0.0}]","[{'token': 'opera', 'score': 0.998}, {'token': 'epic', 'score': 0.001}, {'token': 'opera', 'score': 0.0}, {'token': 'play', 'score': 0.0}, {'token': 'adaptation', 'score': 0.0}, {'token': 'drama', 'score': 0.0}, {'token': 'orchestra', 'score': 0.0}, {'token': 'musical', 'score': 0.0}, {'token': 'ballet', 'score': 0.0}, {'token': 'action', 'score': 0.0}]","[{'token': 'opera', 'score': 0.986}, {'token': 'epic', 'score': 0.013}, {'token': 'adaptation', 'score': 0.0}, {'token': 'play', 'score': 0.0}, {'token': 'drama', 'score': 0.0}, {'token': 'opera', 'score': 0.0}, {'token': 'comedy', 'score': 0.0}, {'token': 'adventure', 'score': 0.0}, {'token': 'ballet', 'score': 0.0}, {'token': 'musical', 'score': 0.0}]","[{'token': 'opera', 'score': 0.77}, {'token': 'play', 'score': 0.102}, {'token': 'ballet', 'score': 0.071}, {'token': 'film', 'score': 0.013}, {'token': 'drama', 'score': 0.013}, {'token': 'musical', 'score': 0.009}, {'token': 'comedy', 'score': 0.004}, {'token': 'work', 'score': 0.002}, {'token': 'piece', 'score': 0.002}, {'token': 'movie', 'score': 0.001}]","[{'token': 'opera', 'score': 0.904}, {'token': 'play', 'score': 0.03}, {'token': 'ballet', 'score': 0.015}, {'token': 'drama', 'score': 0.013}, {'token': 'work', 'score': 0.009}, {'token': 'musical', 'score': 0.006}, {'token': 'piece', 'score': 0.005}, {'token': 'comedy', 'score': 0.003}, {'token': 'film', 'score': 0.001}, {'token': 'tragedy', 'score': 0.001}]"
7,opera,"[{'token': 'opera', 'score': 0.998}, {'token': 'epic', 'score': 0.001}, {'token': 'play', 'score': 0.0}, {'token': 'adaptation', 'score': 0.0}, {'token': 'opera', 'score': 0.0}, {'token': 'ballet', 'score': 0.0}, {'token': 'drama', 'score': 0.0}, {'token': 'musical', 'score': 0.0}, {'token': 'autobiography', 'score': 0.0}, {'token': 'action', 'score': 0.0}]","[{'token': 'musical', 'score': 0.485}, {'token': 'play', 'score': 0.371}, {'token': 'opera', 'score': 0.069}, {'token': 'musical', 'score': 0.012}, {'token': 'drama', 'score': 0.01}, {'token': 'comedy', 'score': 0.008}, {'token': 'show', 'score': 0.006}, {'token': 'play', 'score': 0.004}, {'token': 'ballet', 'score': 0.003}, {'token': 'song', 'score': 0.002}]","[{'token': 'play', 'score': 0.814}, {'token': 'opera', 'score': 0.108}, {'token': 'musical', 'score': 0.022}, {'token': 'drama', 'score': 0.012}, {'token': 'ballet', 'score': 0.007}, {'token': 'piece', 'score': 0.006}, {'token': 'comedy', 'score': 0.005}, {'token': 'adaptation', 'score': 0.005}, {'token': 'film', 'score': 0.003}, {'token': 'work', 'score': 0.003}]","[{'token': 'play', 'score': 0.728}, {'token': 'opera', 'score': 0.143}, {'token': 'drama', 'score': 0.049}, {'token': 'musical', 'score': 0.027}, {'token': 'comedy', 'score': 0.007}, {'token': 'piece', 'score': 0.006}, {'token': 'novel', 'score': 0.006}, {'token': 'work', 'score': 0.004}, {'token': 'ballet', 'score': 0.004}, {'token': 'adaptation', 'score': 0.004}]","[{'token': 'play', 'score': 0.348}, {'token': 'drama', 'score': 0.072}, {'token': 'opera', 'score': 0.039}, {'token': 'production', 'score': 0.036}, {'token': 'latest', 'score': 0.035}, {'token': 'masterpiece', 'score': 0.027}, {'token': 'debut', 'score': 0.027}, {'token': 'work', 'score': 0.019}, {'token': 'musical', 'score': 0.018}, {'token': 'show', 'score': 0.015}]"
8,jazz,"[{'token': 'jazz', 'score': 0.976}, {'token': 'blues', 'score': 0.006}, {'token': 'rhythm', 'score': 0.003}, {'token': 'classical', 'score': 0.002}, {'token': 'bass', 'score': 0.002}, {'token': 'jazz', 'score': 0.002}, {'token': 'swing', 'score': 0.001}, {'token': 'pioneer', 'score': 0.0}, {'token': 'folk', 'score': 0.0}, {'token': 'professional', 'score': 0.0}]","[{'token': 'jazz', 'score': 0.949}, {'token': 'classical', 'score': 0.009}, {'token': 'blues', 'score': 0.005}, {'token': 'bass', 'score': 0.004}, {'token': 'band', 'score': 0.003}, {'token': 'jazz', 'score': 0.003}, {'token': 'rhythm', 'score': 0.002}, {'token': 'folk', 'score': 0.001}, {'token': 'musical', 'score': 0.001}, {'token': 'professional', 'score': 0.001}]","[{'token': 'jazz', 'score': 0.355}, {'token': 'bass', 'score': 0.079}, {'token': 'young', 'score': 0.063}, {'token': 'blind', 'score': 0.047}, {'token': 'classical', 'score': 0.038}, {'token': 'blues', 'score': 0.03}, {'token': 'famous', 'score': 0.019}, {'token': 'former', 'score': 0.018}, {'token': 'black', 'score': 0.017}, {'token': 'talented', 'score': 0.013}]",,"[{'token': 'jazz', 'score': 0.927}, {'token': 'classical', 'score': 0.013}, {'token': 'bass', 'score': 0.011}, {'token': 'blues', 'score': 0.01}, {'token': 'rhythm', 'score': 0.008}, {'token': 'jazz', 'score': 0.005}, {'token': 'born', 'score': 0.002}, {'token': 'electric', 'score': 0.001}, {'token': 'swing', 'score': 0.001}, {'token': 'steel', 'score': 0.001}]"
9,jazz,"[{'token': 'jazz', 'score': 0.459}, {'token': 'canadian', 'score': 0.357}, {'token': 'british', 'score': 0.023}, {'token': 'chicago', 'score': 0.012}, {'token': 'professional', 'score': 0.01}, {'token': 'scottish', 'score': 0.009}, {'token': 'noted', 'score': 0.007}, {'token': 'french', 'score': 0.006}, {'token': 'american', 'score': 0.006}, {'token': 'popular', 'score': 0.006}]","[{'token': 'great', 'score': 0.236}, {'token': 'notable', 'score': 0.129}, {'token': 'famous', 'score': 0.094}, {'token': 'noted', 'score': 0.064}, {'token': 'popular', 'score': 0.048}, {'token': 'jazz', 'score': 0.034}, {'token': 'prominent', 'score': 0.019}, {'token': 'renowned', 'score': 0.017}, {'token': 'legendary', 'score': 0.017}, {'token': 'fine', 'score': 0.015}]","[{'token': 'canadian', 'score': 0.35}, {'token': 'jazz', 'score': 0.213}, {'token': 'british', 'score': 0.056}, {'token': 'noted', 'score': 0.022}, {'token': 'prominent', 'score': 0.019}, {'token': 'popular', 'score': 0.018}, {'token': 'chicago', 'score': 0.017}, {'token': 'celebrated', 'score': 0.016}, {'token': 'scottish', 'score': 0.015}, {'token': 'renowned', 'score': 0.015}]","[{'token': 'canadian', 'score': 0.725}, {'token': 'british', 'score': 0.115}, {'token': 'jazz', 'score': 0.083}, {'token': 'scottish', 'score': 0.032}, {'token': 'french', 'score': 0.002}, {'token': 'professional', 'score': 0.002}, {'token': 'american', 'score': 0.002}, {'token': 'welsh', 'score': 0.002}, {'token': 'noted', 'score': 0.002}, {'token': 'popular', 'score': 0.002}]","[{'token': 'jazz', 'score': 0.41}, {'token': 'noted', 'score': 0.06}, {'token': 'professional', 'score': 0.042}, {'token': 'renowned', 'score': 0.035}, {'token': 'prominent', 'score': 0.029}, {'token': 'great', 'score': 0.027}, {'token': 'famous', 'score': 0.027}, {'token': 'celebrated', 'score': 0.019}, {'token': 'master', 'score': 0.016}, {'token': 'popular', 'score': 0.016}]"
