,answers,original,t5_0,t5_1,t5_2,t5_3
0,urdu,"[{'token': 'english', 'score': 0.159}, {'token': 'pakistan', 'score': 0.105}, {'token': 'pakistani', 'score': 0.087}, {'token': 'arabic', 'score': 0.076}, {'token': 'indian', 'score': 0.057}, {'token': 'persian', 'score': 0.034}, {'token': 'also', 'score': 0.029}, {'token': 'arab', 'score': 0.026}, {'token': 'ani', 'score': 0.022}, {'token': 'du', 'score': 0.02}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]"
1,italian,"[{'token': 'italian', 'score': 0.701}, {'token': 'austrian', 'score': 0.25}, {'token': 'indonesian', 'score': 0.009}, {'token': 'american', 'score': 0.006}, {'token': 'argentine', 'score': 0.006}, {'token': 'ethiopian', 'score': 0.005}, {'token': 'australian', 'score': 0.004}, {'token': 'african', 'score': 0.003}, {'token': 'israeli', 'score': 0.002}, {'token': 'english', 'score': 0.002}]","[{'token': 'athlete', 'score': 0.203}, {'token': 'austrian', 'score': 0.167}, {'token': 'american', 'score': 0.154}, {'token': 'italian', 'score': 0.136}, {'token': 'entrepreneur', 'score': 0.1}, {'token': 'engineer', 'score': 0.047}, {'token': 'actor', 'score': 0.033}, {'token': 'australian', 'score': 0.027}, {'token': 'author', 'score': 0.016}, {'token': 'immigrant', 'score': 0.012}]","[{'token': 'italian', 'score': 0.22}, {'token': 'athlete', 'score': 0.194}, {'token': 'engineer', 'score': 0.09}, {'token': 'american', 'score': 0.075}, {'token': 'austrian', 'score': 0.052}, {'token': 'actor', 'score': 0.043}, {'token': 'entrepreneur', 'score': 0.041}, {'token': 'african', 'score': 0.029}, {'token': 'artist', 'score': 0.025}, {'token': 'ethiopian', 'score': 0.019}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]"
2,finnish,"[{'token': 'finnish', 'score': 0.899}, {'token': 'swedish', 'score': 0.084}, {'token': 'norwegian', 'score': 0.012}, {'token': 'danish', 'score': 0.001}, {'token': 'canadian', 'score': 0.001}, {'token': 'nordic', 'score': 0.0}, {'token': 'scandinavian', 'score': 0.0}, {'token': 'finn', 'score': 0.0}, {'token': 'local', 'score': 0.0}, {'token': 'baltic', 'score': 0.0}]","[{'token': 'finnish', 'score': 0.969}, {'token': 'former', 'score': 0.005}, {'token': 'swedish', 'score': 0.003}, {'token': 'prominent', 'score': 0.002}, {'token': 'local', 'score': 0.002}, {'token': 'finn', 'score': 0.002}, {'token': 'notable', 'score': 0.001}, {'token': 'successful', 'score': 0.001}, {'token': 'famous', 'score': 0.001}, {'token': 'norwegian', 'score': 0.001}]","[{'token': 'swedish', 'score': 0.407}, {'token': 'finnish', 'score': 0.039}, {'token': 'peasant', 'score': 0.033}, {'token': 'dairy', 'score': 0.031}, {'token': 'former', 'score': 0.027}, {'token': 'fish', 'score': 0.017}, {'token': 'sheep', 'score': 0.017}, {'token': 'pioneer', 'score': 0.013}, {'token': 'cattle', 'score': 0.012}, {'token': 'local', 'score': 0.011}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]"
3,spanish,"[{'token': 'spanish', 'score': 0.986}, {'token': 'portuguese', 'score': 0.004}, {'token': 'english', 'score': 0.003}, {'token': 'indigenous', 'score': 0.002}, {'token': 'mexican', 'score': 0.001}, {'token': 'maya', 'score': 0.001}, {'token': 'latin', 'score': 0.001}, {'token': 'native', 'score': 0.001}, {'token': 'hispanic', 'score': 0.0}, {'token': 'colombian', 'score': 0.0}]","[{'token': 'spanish', 'score': 0.983}, {'token': 'english', 'score': 0.007}, {'token': 'portuguese', 'score': 0.003}, {'token': 'indigenous', 'score': 0.002}, {'token': 'maya', 'score': 0.001}, {'token': 'mexican', 'score': 0.001}, {'token': 'native', 'score': 0.001}, {'token': 'latin', 'score': 0.0}, {'token': 'french', 'score': 0.0}, {'token': 'hispanic', 'score': 0.0}]","[{'token': 'spanish', 'score': 0.978}, {'token': 'indigenous', 'score': 0.005}, {'token': 'english', 'score': 0.003}, {'token': 'maya', 'score': 0.003}, {'token': 'latin', 'score': 0.002}, {'token': 'mexican', 'score': 0.002}, {'token': 'native', 'score': 0.002}, {'token': 'portuguese', 'score': 0.001}, {'token': 'hispanic', 'score': 0.001}, {'token': 'french', 'score': 0.0}]","[{'token': 'spanish', 'score': 0.964}, {'token': 'latin', 'score': 0.008}, {'token': 'portuguese', 'score': 0.007}, {'token': 'english', 'score': 0.005}, {'token': 'hispanic', 'score': 0.003}, {'token': 'mexican', 'score': 0.003}, {'token': 'indigenous', 'score': 0.002}, {'token': 'maya', 'score': 0.002}, {'token': 'native', 'score': 0.001}, {'token': 'carib', 'score': 0.001}]","[{'token': 'spanish', 'score': 0.978}, {'token': 'english', 'score': 0.005}, {'token': 'indigenous', 'score': 0.003}, {'token': 'mexican', 'score': 0.003}, {'token': 'latin', 'score': 0.002}, {'token': 'native', 'score': 0.002}, {'token': 'maya', 'score': 0.001}, {'token': 'hispanic', 'score': 0.001}, {'token': 'portuguese', 'score': 0.001}, {'token': 'colombian', 'score': 0.0}]"
4,french,"[{'token': 'french', 'score': 0.98}, {'token': 'french', 'score': 0.004}, {'token': 'english', 'score': 0.003}, {'token': 'spanish', 'score': 0.002}, {'token': 'dutch', 'score': 0.002}, {'token': 'also', 'score': 0.001}, {'token': 're', 'score': 0.001}, {'token': 'france', 'score': 0.001}, {'token': 'italian', 'score': 0.001}, {'token': 'fr', 'score': 0.001}]","[{'token': 'french', 'score': 0.997}, {'token': 'french', 'score': 0.001}, {'token': 'dutch', 'score': 0.0}, {'token': 'danish', 'score': 0.0}, {'token': 'italian', 'score': 0.0}, {'token': 'south', 'score': 0.0}, {'token': 'western', 'score': 0.0}, {'token': 'german', 'score': 0.0}, {'token': 'eastern', 'score': 0.0}, {'token': 'british', 'score': 0.0}]","[{'token': 'french', 'score': 0.999}, {'token': 'dutch', 'score': 0.0}, {'token': 'french', 'score': 0.0}, {'token': 'british', 'score': 0.0}, {'token': 'english', 'score': 0.0}, {'token': 'south', 'score': 0.0}, {'token': 'japanese', 'score': 0.0}, {'token': 'danish', 'score': 0.0}, {'token': 'german', 'score': 0.0}, {'token': 'west', 'score': 0.0}]","[{'token': 'french', 'score': 0.997}, {'token': 'dutch', 'score': 0.001}, {'token': 'british', 'score': 0.0}, {'token': 'danish', 'score': 0.0}, {'token': 'japanese', 'score': 0.0}, {'token': 'swedish', 'score': 0.0}, {'token': 'south', 'score': 0.0}, {'token': 'west', 'score': 0.0}, {'token': 'english', 'score': 0.0}, {'token': 'german', 'score': 0.0}]","[{'token': 'french', 'score': 0.996}, {'token': 'french', 'score': 0.001}, {'token': 'dutch', 'score': 0.001}, {'token': 'danish', 'score': 0.001}, {'token': 'swedish', 'score': 0.0}, {'token': 'english', 'score': 0.0}, {'token': 'german', 'score': 0.0}, {'token': 'western', 'score': 0.0}, {'token': 'south', 'score': 0.0}, {'token': 'spanish', 'score': 0.0}]"
5,finnish,"[{'token': 'finnish', 'score': 0.507}, {'token': 'swedish', 'score': 0.442}, {'token': 'norwegian', 'score': 0.008}, {'token': 'professional', 'score': 0.007}, {'token': 'male', 'score': 0.002}, {'token': 'danish', 'score': 0.002}, {'token': 'european', 'score': 0.002}, {'token': 'pole', 'score': 0.002}, {'token': 'former', 'score': 0.001}, {'token': 'international', 'score': 0.001}]","[{'token': 'swedish', 'score': 0.367}, {'token': 'finnish', 'score': 0.17}, {'token': 'former', 'score': 0.058}, {'token': 'norwegian', 'score': 0.044}, {'token': 'famous', 'score': 0.032}, {'token': 'local', 'score': 0.031}, {'token': 'national', 'score': 0.031}, {'token': 'female', 'score': 0.03}, {'token': 'notable', 'score': 0.022}, {'token': 'male', 'score': 0.014}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': 'finnish', 'score': 0.937}, {'token': 'the', 'score': 0.019}, {'token': 'swedish', 'score': 0.009}, {'token': 'former', 'score': 0.004}, {'token': 'estonia', 'score': 0.004}, {'token': 'finn', 'score': 0.003}, {'token': 'norwegian', 'score': 0.003}, {'token': 'finland', 'score': 0.002}, {'token': 'pole', 'score': 0.001}, {'token': 'international', 'score': 0.001}]","[{'token': 'finnish', 'score': 0.93}, {'token': 'finland', 'score': 0.057}, {'token': 'senior', 'score': 0.002}, {'token': 'russian', 'score': 0.001}, {'token': 'finn', 'score': 0.001}, {'token': 'swedish', 'score': 0.001}, {'token': 'norwegian', 'score': 0.0}, {'token': 'junior', 'score': 0.0}, {'token': 'national', 'score': 0.0}, {'token': 'estonia', 'score': 0.0}]"
6,malay,"[{'token': 'indonesian', 'score': 0.416}, {'token': 'dutch', 'score': 0.24}, {'token': 'arab', 'score': 0.049}, {'token': 'muslim', 'score': 0.039}, {'token': 'english', 'score': 0.026}, {'token': 'turkish', 'score': 0.019}, {'token': 'arabic', 'score': 0.015}, {'token': 'chinese', 'score': 0.014}, {'token': 'spanish', 'score': 0.013}, {'token': 'malaysian', 'score': 0.012}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]"
7,urdu,"[{'token': 'arabic', 'score': 0.912}, {'token': 'tamil', 'score': 0.035}, {'token': 'persian', 'score': 0.02}, {'token': 'english', 'score': 0.014}, {'token': 'sanskrit', 'score': 0.003}, {'token': 'hindi', 'score': 0.003}, {'token': 'russian', 'score': 0.002}, {'token': 'egyptian', 'score': 0.001}, {'token': 'ur', 'score': 0.001}, {'token': 'pakistani', 'score': 0.001}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]"
8,finnish,"[{'token': 'finnish', 'score': 0.982}, {'token': 'norwegian', 'score': 0.013}, {'token': 'finn', 'score': 0.001}, {'token': 'swedish', 'score': 0.001}, {'token': 'russian', 'score': 0.001}, {'token': 'english', 'score': 0.001}, {'token': 'danish', 'score': 0.0}, {'token': 'dutch', 'score': 0.0}, {'token': 'finland', 'score': 0.0}, {'token': 'japanese', 'score': 0.0}]","[{'token': 'swedish', 'score': 0.731}, {'token': 'norwegian', 'score': 0.066}, {'token': 'english', 'score': 0.063}, {'token': 'scandinavian', 'score': 0.036}, {'token': 'german', 'score': 0.01}, {'token': 'japanese', 'score': 0.009}, {'token': 'danish', 'score': 0.009}, {'token': 'sweden', 'score': 0.008}, {'token': 'russian', 'score': 0.007}, {'token': 'dutch', 'score': 0.006}]","[{'token': 'north', 'score': 0.222}, {'token': 'east', 'score': 0.184}, {'token': 'baltic', 'score': 0.123}, {'token': 'south', 'score': 0.099}, {'token': 'west', 'score': 0.067}, {'token': 'area', 'score': 0.034}, {'token': 'region', 'score': 0.032}, {'token': 'east', 'score': 0.022}, {'token': 'north', 'score': 0.021}, {'token': 'northeast', 'score': 0.015}]","[{'token': 'swedish', 'score': 0.759}, {'token': 'english', 'score': 0.14}, {'token': 'norwegian', 'score': 0.038}, {'token': 'scandinavian', 'score': 0.013}, {'token': 'german', 'score': 0.007}, {'token': 'russian', 'score': 0.005}, {'token': 'sweden', 'score': 0.005}, {'token': 'elsewhere', 'score': 0.003}, {'token': 'finnish', 'score': 0.003}, {'token': 'japanese', 'score': 0.003}]","[{'token': 'swedish', 'score': 0.313}, {'token': 'finnish', 'score': 0.263}, {'token': 'sweden', 'score': 0.103}, {'token': 'estonia', 'score': 0.05}, {'token': 'english', 'score': 0.036}, {'token': 'finland', 'score': 0.028}, {'token': 'russian', 'score': 0.023}, {'token': 'german', 'score': 0.023}, {'token': 'norwegian', 'score': 0.018}, {'token': 'french', 'score': 0.015}]"
9,french,"[{'token': 'swedish', 'score': 0.476}, {'token': 'english', 'score': 0.265}, {'token': 'spanish', 'score': 0.044}, {'token': 'french', 'score': 0.038}, {'token': 'german', 'score': 0.037}, {'token': 'finnish', 'score': 0.031}, {'token': 'dutch', 'score': 0.025}, {'token': 'english', 'score': 0.008}, {'token': 'welsh', 'score': 0.007}, {'token': 'french', 'score': 0.006}]","[{'token': 'french', 'score': 0.868}, {'token': 'spanish', 'score': 0.046}, {'token': 'german', 'score': 0.018}, {'token': 'dutch', 'score': 0.014}, {'token': 'portuguese', 'score': 0.011}, {'token': 'english', 'score': 0.008}, {'token': 'french', 'score': 0.005}, {'token': 'catalan', 'score': 0.004}, {'token': 'russian', 'score': 0.002}, {'token': 'swedish', 'score': 0.002}]","[{'token': 'french', 'score': 0.796}, {'token': 'spanish', 'score': 0.073}, {'token': 'german', 'score': 0.033}, {'token': 'dutch', 'score': 0.012}, {'token': 'french', 'score': 0.011}, {'token': 'russian', 'score': 0.01}, {'token': 'english', 'score': 0.007}, {'token': 'portuguese', 'score': 0.007}, {'token': 'swedish', 'score': 0.004}, {'token': 'polish', 'score': 0.003}]","[{'token': 'french', 'score': 0.614}, {'token': 'spanish', 'score': 0.135}, {'token': 'dutch', 'score': 0.057}, {'token': 'german', 'score': 0.055}, {'token': 'english', 'score': 0.024}, {'token': 'swedish', 'score': 0.018}, {'token': 'catalan', 'score': 0.013}, {'token': 'welsh', 'score': 0.009}, {'token': 'rap', 'score': 0.007}, {'token': 'french', 'score': 0.006}]","[{'token': 'french', 'score': 0.934}, {'token': 'spanish', 'score': 0.017}, {'token': 'french', 'score': 0.01}, {'token': 'german', 'score': 0.009}, {'token': 'dutch', 'score': 0.006}, {'token': 'catalan', 'score': 0.003}, {'token': 'english', 'score': 0.003}, {'token': 'portuguese', 'score': 0.002}, {'token': 'welsh', 'score': 0.001}, {'token': 'russian', 'score': 0.001}]"
