,answers,original,t5_0,t5_1,t5_2,t5_3
0,opera,"[{'token': 'essay', 'score': 0.246}, {'token': 'poem', 'score': 0.173}, {'token': 'book', 'score': 0.065}, {'token': 'play', 'score': 0.057}, {'token': 'film', 'score': 0.037}, {'token': 'article', 'score': 0.037}, {'token': 'lecture', 'score': 0.029}, {'token': 'piece', 'score': 0.029}, {'token': 'work', 'score': 0.019}, {'token': 'documentary', 'score': 0.017}]","[{'token': 'poem', 'score': 0.358}, {'token': 'song', 'score': 0.127}, {'token': 'essay', 'score': 0.098}, {'token': 'composition', 'score': 0.075}, {'token': 'piece', 'score': 0.058}, {'token': 'book', 'score': 0.053}, {'token': 'painting', 'score': 0.021}, {'token': 'work', 'score': 0.019}, {'token': 'article', 'score': 0.013}, {'token': 'film', 'score': 0.012}]","[{'token': 'essay', 'score': 0.317}, {'token': 'book', 'score': 0.245}, {'token': 'poem', 'score': 0.141}, {'token': 'article', 'score': 0.035}, {'token': 'piece', 'score': 0.028}, {'token': 'thesis', 'score': 0.023}, {'token': 'song', 'score': 0.021}, {'token': 'work', 'score': 0.017}, {'token': 'memoir', 'score': 0.01}, {'token': 'story', 'score': 0.009}]","[{'token': 'essay', 'score': 0.124}, {'token': 'poem', 'score': 0.087}, {'token': 'article', 'score': 0.081}, {'token': 'piece', 'score': 0.049}, {'token': 'film', 'score': 0.035}, {'token': 'book', 'score': 0.034}, {'token': 'play', 'score': 0.03}, {'token': 'exhibition', 'score': 0.03}, {'token': 'episode', 'score': 0.029}, {'token': 'lecture', 'score': 0.027}]","[{'token': 'piece', 'score': 0.211}, {'token': 'song', 'score': 0.201}, {'token': 'composition', 'score': 0.138}, {'token': 'work', 'score': 0.057}, {'token': 'album', 'score': 0.042}, {'token': 'project', 'score': 0.041}, {'token': 'poem', 'score': 0.036}, {'token': 'cd', 'score': 0.028}, {'token': 'painting', 'score': 0.019}, {'token': 'performance', 'score': 0.019}]"
1,jazz,"[{'token': 'jazz', 'score': 0.98}, {'token': 'classical', 'score': 0.006}, {'token': 'rock', 'score': 0.004}, {'token': 'blues', 'score': 0.003}, {'token': 'concert', 'score': 0.002}, {'token': 'bass', 'score': 0.001}, {'token': 'folk', 'score': 0.0}, {'token': 'swing', 'score': 0.0}, {'token': 'electric', 'score': 0.0}, {'token': 'soul', 'score': 0.0}]","[{'token': 'jazz', 'score': 0.967}, {'token': 'concert', 'score': 0.008}, {'token': 'classical', 'score': 0.006}, {'token': 'rock', 'score': 0.006}, {'token': 'blues', 'score': 0.003}, {'token': 'folk', 'score': 0.001}, {'token': 'music', 'score': 0.001}, {'token': 'swing', 'score': 0.001}, {'token': 'bass', 'score': 0.001}, {'token': 'musical', 'score': 0.001}]","[{'token': 'jazz', 'score': 0.938}, {'token': 'classical', 'score': 0.016}, {'token': 'rock', 'score': 0.013}, {'token': 'concert', 'score': 0.005}, {'token': 'blues', 'score': 0.004}, {'token': 'born', 'score': 0.002}, {'token': 'american', 'score': 0.002}, {'token': 'bass', 'score': 0.001}, {'token': 'electric', 'score': 0.001}, {'token': 'folk', 'score': 0.001}]","[{'token': 'jazz', 'score': 0.88}, {'token': 'blues', 'score': 0.056}, {'token': 'rock', 'score': 0.017}, {'token': 'professional', 'score': 0.017}, {'token': 'session', 'score': 0.005}, {'token': 'soul', 'score': 0.004}, {'token': 'studio', 'score': 0.003}, {'token': 'folk', 'score': 0.003}, {'token': 'pop', 'score': 0.002}, {'token': 'born', 'score': 0.002}]","[{'token': 'jazz', 'score': 0.978}, {'token': 'classical', 'score': 0.007}, {'token': 'rock', 'score': 0.006}, {'token': 'blues', 'score': 0.004}, {'token': 'concert', 'score': 0.001}, {'token': 'bass', 'score': 0.001}, {'token': 'fusion', 'score': 0.0}, {'token': 'electric', 'score': 0.0}, {'token': 'american', 'score': 0.0}, {'token': 'swing', 'score': 0.0}]"
2,opera,"[{'token': 'opera', 'score': 0.456}, {'token': 'musical', 'score': 0.361}, {'token': 'play', 'score': 0.143}, {'token': 'ballet', 'score': 0.012}, {'token': 'drama', 'score': 0.011}, {'token': 'tragedy', 'score': 0.003}, {'token': 'novel', 'score': 0.002}, {'token': 'comedy', 'score': 0.001}, {'token': 'film', 'score': 0.001}, {'token': 'story', 'score': 0.001}]","[{'token': 'musical', 'score': 0.596}, {'token': 'film', 'score': 0.166}, {'token': 'opera', 'score': 0.083}, {'token': 'movie', 'score': 0.021}, {'token': 'sitcom', 'score': 0.018}, {'token': 'series', 'score': 0.017}, {'token': 'comedy', 'score': 0.016}, {'token': 'play', 'score': 0.015}, {'token': 'drama', 'score': 0.011}, {'token': 'character', 'score': 0.011}]","[{'token': 'musical', 'score': 0.259}, {'token': 'play', 'score': 0.136}, {'token': 'opera', 'score': 0.107}, {'token': 'novel', 'score': 0.043}, {'token': 'libretto', 'score': 0.042}, {'token': 'playwright', 'score': 0.023}, {'token': 'tragedy', 'score': 0.018}, {'token': 'translation', 'score': 0.017}, {'token': 'drama', 'score': 0.016}, {'token': 'production', 'score': 0.013}]","[{'token': 'film', 'score': 0.648}, {'token': 'musical', 'score': 0.117}, {'token': 'movie', 'score': 0.079}, {'token': 'play', 'score': 0.036}, {'token': 'comedy', 'score': 0.029}, {'token': 'drama', 'score': 0.028}, {'token': 'novel', 'score': 0.009}, {'token': 'western', 'score': 0.007}, {'token': 'thriller', 'score': 0.006}, {'token': 'opera', 'score': 0.004}]",
3,jazz,"[{'token': 'commercial', 'score': 0.32}, {'token': 'jazz', 'score': 0.089}, {'token': 'known', 'score': 0.064}, {'token': 'vinyl', 'score': 0.019}, {'token': 'ever', 'score': 0.017}, {'token': 'lp', 'score': 0.015}, {'token': 'victor', 'score': 0.014}, {'token': 'hit', 'score': 0.014}, {'token': 'american', 'score': 0.013}, {'token': 'successful', 'score': 0.012}]","[{'token': 'jazz', 'score': 0.5}, {'token': 'commercial', 'score': 0.099}, {'token': 'known', 'score': 0.033}, {'token': 'hit', 'score': 0.029}, {'token': 'blues', 'score': 0.011}, {'token': 'vinyl', 'score': 0.009}, {'token': 'sound', 'score': 0.008}, {'token': 'successful', 'score': 0.008}, {'token': 'studio', 'score': 0.008}, {'token': 'cast', 'score': 0.008}]","[{'token': 'together', 'score': 0.248}, {'token': 'commercially', 'score': 0.126}, {'token': 'successfully', 'score': 0.077}, {'token': 'live', 'score': 0.068}, {'token': 'records', 'score': 0.065}, {'token': 'professionally', 'score': 0.036}, {'token': 'music', 'score': 0.028}, {'token': 'songs', 'score': 0.022}, {'token': 'it', 'score': 0.019}, {'token': 'there', 'score': 0.016}]","[{'token': 'jazz', 'score': 0.37}, {'token': 'commercial', 'score': 0.109}, {'token': 'known', 'score': 0.059}, {'token': 'hit', 'score': 0.028}, {'token': 'successful', 'score': 0.012}, {'token': 'cast', 'score': 0.012}, {'token': 'studio', 'score': 0.011}, {'token': 'official', 'score': 0.011}, {'token': 'recorded', 'score': 0.011}, {'token': 'vinyl', 'score': 0.01}]",
4,jazz,"[{'token': 'jazz', 'score': 0.417}, {'token': 'classical', 'score': 0.331}, {'token': 'concert', 'score': 0.113}, {'token': 'french', 'score': 0.08}, {'token': 'solo', 'score': 0.011}, {'token': 'contemporary', 'score': 0.007}, {'token': 'american', 'score': 0.003}, {'token': 'modern', 'score': 0.003}, {'token': 'professional', 'score': 0.002}, {'token': 'baroque', 'score': 0.002}]","[{'token': 'jazz', 'score': 0.824}, {'token': 'classical', 'score': 0.142}, {'token': 'concert', 'score': 0.007}, {'token': 'french', 'score': 0.005}, {'token': 'solo', 'score': 0.002}, {'token': 'blues', 'score': 0.002}, {'token': 'session', 'score': 0.001}, {'token': 'rock', 'score': 0.001}, {'token': 'professional', 'score': 0.001}, {'token': 'soul', 'score': 0.0}]","[{'token': 'french', 'score': 0.388}, {'token': 'young', 'score': 0.329}, {'token': 'jazz', 'score': 0.045}, {'token': 'classical', 'score': 0.02}, {'token': 'younger', 'score': 0.015}, {'token': 'contemporary', 'score': 0.013}, {'token': 'new', 'score': 0.013}, {'token': 'concert', 'score': 0.012}, {'token': 'second', 'score': 0.011}, {'token': 'modern', 'score': 0.009}]","[{'token': 'jazz', 'score': 0.843}, {'token': 'concert', 'score': 0.082}, {'token': 'classical', 'score': 0.049}, {'token': 'solo', 'score': 0.008}, {'token': 'session', 'score': 0.002}, {'token': 'modern', 'score': 0.001}, {'token': 'recital', 'score': 0.001}, {'token': 'chamber', 'score': 0.001}, {'token': 'studio', 'score': 0.001}, {'token': 'contemporary', 'score': 0.001}]","[{'token': 'jazz', 'score': 0.41}, {'token': 'french', 'score': 0.189}, {'token': 'famous', 'score': 0.085}, {'token': 'young', 'score': 0.04}, {'token': 'classical', 'score': 0.026}, {'token': 'black', 'score': 0.013}, {'token': 'haitian', 'score': 0.011}, {'token': 'cuban', 'score': 0.009}, {'token': 'concert', 'score': 0.009}, {'token': 'jamaican', 'score': 0.007}]"
5,opera,"[{'token': 'opera', 'score': 1.0}, {'token': 'epic', 'score': 0.0}, {'token': 'operatic', 'score': 0.0}, {'token': 'aria', 'score': 0.0}, {'token': 'overture', 'score': 0.0}, {'token': 'operas', 'score': 0.0}, {'token': 'adaptation', 'score': 0.0}, {'token': 'tragedy', 'score': 0.0}, {'token': 'anthem', 'score': 0.0}, {'token': 'drama', 'score': 0.0}]","[{'token': 'opera', 'score': 0.895}, {'token': 'play', 'score': 0.028}, {'token': 'ballet', 'score': 0.017}, {'token': 'musical', 'score': 0.015}, {'token': 'drama', 'score': 0.015}, {'token': 'tragedy', 'score': 0.014}, {'token': 'libretto', 'score': 0.006}, {'token': 'comedy', 'score': 0.002}, {'token': 'epic', 'score': 0.002}, {'token': 'cantata', 'score': 0.001}]","[{'token': 'opera', 'score': 0.881}, {'token': 'ballet', 'score': 0.059}, {'token': 'libretto', 'score': 0.017}, {'token': 'play', 'score': 0.015}, {'token': 'musical', 'score': 0.006}, {'token': 'cantata', 'score': 0.004}, {'token': 'tragedy', 'score': 0.004}, {'token': 'drama', 'score': 0.004}, {'token': 'poem', 'score': 0.002}, {'token': 'work', 'score': 0.001}]","[{'token': 'opera', 'score': 0.998}, {'token': 'album', 'score': 0.001}, {'token': 'ensemble', 'score': 0.0}, {'token': 'epic', 'score': 0.0}, {'token': 'adaptation', 'score': 0.0}, {'token': 'orchestra', 'score': 0.0}, {'token': 'evening', 'score': 0.0}, {'token': 'anthology', 'score': 0.0}, {'token': 'entertainment', 'score': 0.0}, {'token': 'episode', 'score': 0.0}]","[{'token': 'opera', 'score': 0.937}, {'token': 'play', 'score': 0.014}, {'token': 'ballet', 'score': 0.012}, {'token': 'drama', 'score': 0.011}, {'token': 'tragedy', 'score': 0.01}, {'token': 'libretto', 'score': 0.006}, {'token': 'musical', 'score': 0.005}, {'token': 'cantata', 'score': 0.002}, {'token': 'poem', 'score': 0.001}, {'token': 'epic', 'score': 0.001}]"
6,opera,"[{'token': 'opera', 'score': 1.0}, {'token': 'epic', 'score': 0.0}, {'token': 'operas', 'score': 0.0}, {'token': 'operatic', 'score': 0.0}, {'token': 'adaptation', 'score': 0.0}, {'token': 'ballet', 'score': 0.0}, {'token': 'drama', 'score': 0.0}, {'token': 'anthem', 'score': 0.0}, {'token': 'tragedy', 'score': 0.0}, {'token': 'overture', 'score': 0.0}]","[{'token': 'opera', 'score': 0.999}, {'token': 'epic', 'score': 0.0}, {'token': 'adaptation', 'score': 0.0}, {'token': 'ballet', 'score': 0.0}, {'token': 'drama', 'score': 0.0}, {'token': 'operatic', 'score': 0.0}, {'token': 'anthem', 'score': 0.0}, {'token': 'operas', 'score': 0.0}, {'token': 'entertainment', 'score': 0.0}, {'token': 'tragedy', 'score': 0.0}]","[{'token': 'opera', 'score': 0.999}, {'token': 'epic', 'score': 0.0}, {'token': 'adaptation', 'score': 0.0}, {'token': 'overture', 'score': 0.0}, {'token': 'ballet', 'score': 0.0}, {'token': 'orchestra', 'score': 0.0}, {'token': 'operatic', 'score': 0.0}, {'token': 'ensemble', 'score': 0.0}, {'token': 'anthem', 'score': 0.0}, {'token': 'original', 'score': 0.0}]","[{'token': 'opera', 'score': 0.533}, {'token': 'play', 'score': 0.386}, {'token': 'ballet', 'score': 0.016}, {'token': 'drama', 'score': 0.015}, {'token': 'comedy', 'score': 0.01}, {'token': 'musical', 'score': 0.007}, {'token': 'tragedy', 'score': 0.006}, {'token': 'piece', 'score': 0.004}, {'token': 'story', 'score': 0.004}, {'token': 'libretto', 'score': 0.003}]","[{'token': 'opera', 'score': 0.894}, {'token': 'play', 'score': 0.031}, {'token': 'comedy', 'score': 0.022}, {'token': 'ballet', 'score': 0.017}, {'token': 'drama', 'score': 0.013}, {'token': 'tragedy', 'score': 0.006}, {'token': 'musical', 'score': 0.004}, {'token': 'vaudeville', 'score': 0.002}, {'token': 'piece', 'score': 0.002}, {'token': 'libretto', 'score': 0.001}]"
7,opera,"[{'token': 'opera', 'score': 1.0}, {'token': 'operas', 'score': 0.0}, {'token': 'operatic', 'score': 0.0}, {'token': 'epic', 'score': 0.0}, {'token': 'aria', 'score': 0.0}, {'token': 'adaptation', 'score': 0.0}, {'token': 'anthem', 'score': 0.0}, {'token': 'ballet', 'score': 0.0}, {'token': 'drama', 'score': 0.0}, {'token': 'entertainment', 'score': 0.0}]","[{'token': 'musical', 'score': 0.503}, {'token': 'opera', 'score': 0.349}, {'token': 'play', 'score': 0.095}, {'token': 'drama', 'score': 0.032}, {'token': 'ballet', 'score': 0.008}, {'token': 'tragedy', 'score': 0.001}, {'token': 'comedy', 'score': 0.001}, {'token': 'ballad', 'score': 0.001}, {'token': 'song', 'score': 0.001}, {'token': 'poem', 'score': 0.0}]","[{'token': 'play', 'score': 0.924}, {'token': 'opera', 'score': 0.033}, {'token': 'musical', 'score': 0.018}, {'token': 'drama', 'score': 0.011}, {'token': 'comedy', 'score': 0.008}, {'token': 'ballet', 'score': 0.001}, {'token': 'plays', 'score': 0.001}, {'token': 'show', 'score': 0.001}, {'token': 'tragedy', 'score': 0.001}, {'token': 'revue', 'score': 0.0}]","[{'token': 'play', 'score': 0.755}, {'token': 'opera', 'score': 0.145}, {'token': 'musical', 'score': 0.04}, {'token': 'comedy', 'score': 0.024}, {'token': 'drama', 'score': 0.019}, {'token': 'ballet', 'score': 0.005}, {'token': 'tragedy', 'score': 0.003}, {'token': 'piece', 'score': 0.001}, {'token': 'plays', 'score': 0.001}, {'token': 'show', 'score': 0.001}]","[{'token': 'play', 'score': 0.761}, {'token': 'novel', 'score': 0.031}, {'token': 'drama', 'score': 0.022}, {'token': 'work', 'score': 0.015}, {'token': 'comedy', 'score': 0.013}, {'token': 'opera', 'score': 0.013}, {'token': 'piece', 'score': 0.011}, {'token': 'musical', 'score': 0.01}, {'token': 'adaptation', 'score': 0.006}, {'token': 'production', 'score': 0.006}]"
8,jazz,"[{'token': 'jazz', 'score': 0.953}, {'token': 'blues', 'score': 0.014}, {'token': 'bass', 'score': 0.013}, {'token': 'alto', 'score': 0.004}, {'token': 'swing', 'score': 0.002}, {'token': 'tenor', 'score': 0.002}, {'token': 'classical', 'score': 0.001}, {'token': 'pop', 'score': 0.001}, {'token': 'concert', 'score': 0.001}, {'token': 'rhythm', 'score': 0.001}]","[{'token': 'jazz', 'score': 0.962}, {'token': 'blues', 'score': 0.016}, {'token': 'bass', 'score': 0.005}, {'token': 'classical', 'score': 0.003}, {'token': 'alto', 'score': 0.003}, {'token': 'swing', 'score': 0.001}, {'token': 'music', 'score': 0.001}, {'token': 'professional', 'score': 0.001}, {'token': 'tenor', 'score': 0.001}, {'token': 'american', 'score': 0.0}]","[{'token': 'jazz', 'score': 0.682}, {'token': 'young', 'score': 0.029}, {'token': 'bass', 'score': 0.027}, {'token': 'swing', 'score': 0.025}, {'token': 'blues', 'score': 0.023}, {'token': 'former', 'score': 0.014}, {'token': 'prominent', 'score': 0.01}, {'token': 'talented', 'score': 0.009}, {'token': 'noted', 'score': 0.009}, {'token': 'popular', 'score': 0.009}]",,"[{'token': 'jazz', 'score': 0.96}, {'token': 'blues', 'score': 0.01}, {'token': 'alto', 'score': 0.006}, {'token': 'bass', 'score': 0.004}, {'token': 'classical', 'score': 0.003}, {'token': 'swing', 'score': 0.002}, {'token': 'music', 'score': 0.001}, {'token': 'concert', 'score': 0.001}, {'token': 'tenor', 'score': 0.001}, {'token': 'born', 'score': 0.001}]"
9,jazz,"[{'token': 'jazz', 'score': 0.576}, {'token': 'canadian', 'score': 0.062}, {'token': 'prominent', 'score': 0.043}, {'token': 'popular', 'score': 0.038}, {'token': 'noted', 'score': 0.037}, {'token': 'professional', 'score': 0.021}, {'token': 'chicago', 'score': 0.018}, {'token': 'british', 'score': 0.01}, {'token': 'notable', 'score': 0.008}, {'token': 'leading', 'score': 0.006}]","[{'token': 'notable', 'score': 0.28}, {'token': 'prominent', 'score': 0.142}, {'token': 'popular', 'score': 0.14}, {'token': 'famous', 'score': 0.123}, {'token': 'noted', 'score': 0.097}, {'token': 'leading', 'score': 0.031}, {'token': 'local', 'score': 0.011}, {'token': 'successful', 'score': 0.011}, {'token': 'legendary', 'score': 0.01}, {'token': 'major', 'score': 0.008}]","[{'token': 'jazz', 'score': 0.256}, {'token': 'noted', 'score': 0.077}, {'token': 'popular', 'score': 0.057}, {'token': 'prominent', 'score': 0.049}, {'token': 'canadian', 'score': 0.048}, {'token': 'professional', 'score': 0.037}, {'token': 'famous', 'score': 0.03}, {'token': 'chicago', 'score': 0.026}, {'token': 'leading', 'score': 0.026}, {'token': 'legendary', 'score': 0.025}]","[{'token': 'jazz', 'score': 0.468}, {'token': 'jamaican', 'score': 0.159}, {'token': 'canadian', 'score': 0.056}, {'token': 'prominent', 'score': 0.031}, {'token': 'popular', 'score': 0.029}, {'token': 'british', 'score': 0.023}, {'token': 'noted', 'score': 0.02}, {'token': 'chicago', 'score': 0.018}, {'token': 'swing', 'score': 0.008}, {'token': 'professional', 'score': 0.008}]","[{'token': 'noted', 'score': 0.15}, {'token': 'professional', 'score': 0.088}, {'token': 'jazz', 'score': 0.084}, {'token': 'prominent', 'score': 0.071}, {'token': 'talented', 'score': 0.062}, {'token': 'leading', 'score': 0.047}, {'token': 'notable', 'score': 0.037}, {'token': 'popular', 'score': 0.032}, {'token': 'successful', 'score': 0.025}, {'token': 'champion', 'score': 0.021}]"
