,answers,original,t5_0,t5_1,t5_2,t5_3
0,brazil,"[{'token': 'ferrari', 'score': 0.352}, {'token': 'spain', 'score': 0.183}, {'token': 'argentina', 'score': 0.118}, {'token': 'brazil', 'score': 0.072}, {'token': 'italy', 'score': 0.048}, {'token': 'renault', 'score': 0.038}, {'token': 'mexico', 'score': 0.018}, {'token': 'barcelona', 'score': 0.013}, {'token': 'colombia', 'score': 0.011}, {'token': 'honda', 'score': 0.009}]","[{'token': 'ferrari', 'score': 0.403}, {'token': 'argentina', 'score': 0.274}, {'token': 'spain', 'score': 0.128}, {'token': 'italy', 'score': 0.064}, {'token': 'brazil', 'score': 0.037}, {'token': 'switzerland', 'score': 0.022}, {'token': 'mclaren', 'score': 0.008}, {'token': 'colombia', 'score': 0.006}, {'token': 'mercedes', 'score': 0.006}, {'token': 'renault', 'score': 0.005}]","[{'token': 'spain', 'score': 0.421}, {'token': 'argentina', 'score': 0.345}, {'token': 'ferrari', 'score': 0.084}, {'token': 'italy', 'score': 0.042}, {'token': 'brazil', 'score': 0.028}, {'token': 'switzerland', 'score': 0.01}, {'token': 'colombia', 'score': 0.01}, {'token': 'mexico', 'score': 0.008}, {'token': 'mercedes', 'score': 0.004}, {'token': 'renault', 'score': 0.004}]","[{'token': 'argentina', 'score': 0.364}, {'token': 'ferrari', 'score': 0.191}, {'token': 'italy', 'score': 0.188}, {'token': 'spain', 'score': 0.084}, {'token': 'brazil', 'score': 0.058}, {'token': 'switzerland', 'score': 0.025}, {'token': 'portugal', 'score': 0.008}, {'token': 'renault', 'score': 0.008}, {'token': 'colombia', 'score': 0.005}, {'token': 'germany', 'score': 0.004}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]"
1,france,"[{'token': 'french', 'score': 0.994}, {'token': 'belgian', 'score': 0.001}, {'token': 'polish', 'score': 0.0}, {'token': 'noted', 'score': 0.0}, {'token': 'swiss', 'score': 0.0}, {'token': 'famous', 'score': 0.0}, {'token': 'canadian', 'score': 0.0}, {'token': 'german', 'score': 0.0}, {'token': 'parisian', 'score': 0.0}, {'token': 'film', 'score': 0.0}]","[{'token': 'the', 'score': 0.744}, {'token': ')', 'score': 0.121}, {'token': 'first', 'score': 0.023}, {'token': 'his', 'score': 0.01}, {'token': 'its', 'score': 0.01}, {'token': 'her', 'score': 0.007}, {'token': 'main', 'score': 0.006}, {'token': 'a', 'score': 0.004}, {'token': 'french', 'score': 0.003}, {'token': 'as', 'score': 0.003}]","[{'token': 'france', 'score': 0.338}, {'token': 'poland', 'score': 0.262}, {'token': 'paris', 'score': 0.169}, {'token': 'warsaw', 'score': 0.04}, {'token': 'switzerland', 'score': 0.01}, {'token': 'luxembourg', 'score': 0.01}, {'token': 'canada', 'score': 0.007}, {'token': 'krakow', 'score': 0.007}, {'token': 'geneva', 'score': 0.005}, {'token': 'nice', 'score': 0.005}]","[{'token': 'india', 'score': 0.402}, {'token': 'france', 'score': 0.092}, {'token': 'chennai', 'score': 0.028}, {'token': 'pune', 'score': 0.026}, {'token': 'mauritius', 'score': 0.019}, {'token': 'paris', 'score': 0.015}, {'token': 'mysore', 'score': 0.015}, {'token': 'hyderabad', 'score': 0.014}, {'token': 'madras', 'score': 0.014}, {'token': 'here', 'score': 0.013}]","[{'token': 'france', 'score': 0.279}, {'token': 'paris', 'score': 0.183}, {'token': 'quebec', 'score': 0.041}, {'token': 'switzerland', 'score': 0.029}, {'token': 'marseille', 'score': 0.025}, {'token': 'lyon', 'score': 0.024}, {'token': 'martinique', 'score': 0.023}, {'token': 'brittany', 'score': 0.023}, {'token': 'alsace', 'score': 0.02}, {'token': 'toulouse', 'score': 0.019}]"
2,estonia,"[{'token': 'estonian', 'score': 0.957}, {'token': 'latvian', 'score': 0.013}, {'token': 'finnish', 'score': 0.004}, {'token': 'swedish', 'score': 0.004}, {'token': 'norwegian', 'score': 0.003}, {'token': 'danish', 'score': 0.002}, {'token': 'german', 'score': 0.001}, {'token': 'lithuanian', 'score': 0.001}, {'token': 'russian', 'score': 0.001}, {'token': 'sami', 'score': 0.001}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': 'women', 'score': 0.471}, {'token': 'children', 'score': 0.284}, {'token': 'estonia', 'score': 0.155}, {'token': 'finland', 'score': 0.045}, {'token': 'men', 'score': 0.025}, {'token': 'estonian', 'score': 0.005}, {'token': 'tallinn', 'score': 0.003}, {'token': 'today', 'score': 0.001}, {'token': 'sweden', 'score': 0.001}, {'token': 'helsinki', 'score': 0.001}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]"
3,denmark,"[{'token': 'denmark', 'score': 0.99}, {'token': 'sweden', 'score': 0.002}, {'token': 'belgium', 'score': 0.001}, {'token': 'greece', 'score': 0.001}, {'token': 'monaco', 'score': 0.001}, {'token': 'zealand', 'score': 0.0}, {'token': 'prussia', 'score': 0.0}, {'token': 'norway', 'score': 0.0}, {'token': 'baden', 'score': 0.0}, {'token': 'albania', 'score': 0.0}]","[{'token': 'denmark', 'score': 0.981}, {'token': 'norway', 'score': 0.004}, {'token': 'sweden', 'score': 0.003}, {'token': 'prussia', 'score': 0.002}, {'token': 'baden', 'score': 0.001}, {'token': 'zealand', 'score': 0.001}, {'token': 'belgium', 'score': 0.001}, {'token': 'saxony', 'score': 0.001}, {'token': 'danish', 'score': 0.0}, {'token': 'liechtenstein', 'score': 0.0}]","[{'token': 'denmark', 'score': 0.863}, {'token': 'danish', 'score': 0.037}, {'token': 'baden', 'score': 0.022}, {'token': 'prussia', 'score': 0.011}, {'token': 'sweden', 'score': 0.008}, {'token': 'saxony', 'score': 0.007}, {'token': 'schleswig', 'score': 0.006}, {'token': 'hanover', 'score': 0.005}, {'token': 'wurttemberg', 'score': 0.004}, {'token': 'mecklenburg', 'score': 0.003}]","[{'token': 'denmark', 'score': 0.961}, {'token': 'sweden', 'score': 0.01}, {'token': 'norway', 'score': 0.005}, {'token': 'baden', 'score': 0.003}, {'token': 'prussia', 'score': 0.003}, {'token': 'belgium', 'score': 0.002}, {'token': 'saxony', 'score': 0.001}, {'token': 'hanover', 'score': 0.001}, {'token': 'liechtenstein', 'score': 0.001}, {'token': 'bulgaria', 'score': 0.001}]","[{'token': 'denmark', 'score': 0.981}, {'token': 'danes', 'score': 0.007}, {'token': 'danish', 'score': 0.002}, {'token': 'prussia', 'score': 0.001}, {'token': 'baden', 'score': 0.001}, {'token': 'sweden', 'score': 0.001}, {'token': 'schleswig', 'score': 0.001}, {'token': 'norway', 'score': 0.001}, {'token': 'saxony', 'score': 0.0}, {'token': 'scandinavia', 'score': 0.0}]"
4,denmark,"[{'token': 'malaysian', 'score': 0.243}, {'token': 'music', 'score': 0.067}, {'token': 'film', 'score': 0.063}, {'token': 'taiwanese', 'score': 0.059}, {'token': 'thai', 'score': 0.053}, {'token': 'chinese', 'score': 0.036}, {'token': 'british', 'score': 0.035}, {'token': 'vietnamese', 'score': 0.024}, {'token': 'burmese', 'score': 0.023}, {'token': 'french', 'score': 0.018}]","[{'token': 'malaysia', 'score': 0.034}, {'token': 'singapore', 'score': 0.027}, {'token': 'lee', 'score': 0.025}, {'token': 'it', 'score': 0.017}, {'token': 'australia', 'score': 0.015}, {'token': 'taiwan', 'score': 0.013}, {'token': 'kim', 'score': 0.011}, {'token': 'tan', 'score': 0.007}, {'token': 'mr', 'score': 0.006}, {'token': 'taekwondo', 'score': 0.006}]","[{'token': 'taiwan', 'score': 0.082}, {'token': 'germany', 'score': 0.071}, {'token': 'singapore', 'score': 0.068}, {'token': 'denmark', 'score': 0.052}, {'token': 'sweden', 'score': 0.047}, {'token': 'norway', 'score': 0.044}, {'token': 'japan', 'score': 0.034}, {'token': 'thailand', 'score': 0.029}, {'token': 'hawaii', 'score': 0.028}, {'token': 'finland', 'score': 0.028}]","[{'token': 'argentina', 'score': 0.318}, {'token': 'rosario', 'score': 0.073}, {'token': 'berlin', 'score': 0.024}, {'token': 'cordoba', 'score': 0.022}, {'token': 'frankfurt', 'score': 0.013}, {'token': 'germany', 'score': 0.013}, {'token': 'argentine', 'score': 0.013}, {'token': 'barcelona', 'score': 0.012}, {'token': 'paraguay', 'score': 0.011}, {'token': 'bogota', 'score': 0.01}]","[{'token': 'singapore', 'score': 0.261}, {'token': 'malaysia', 'score': 0.141}, {'token': 'india', 'score': 0.09}, {'token': 'australia', 'score': 0.036}, {'token': 'thailand', 'score': 0.036}, {'token': 'myanmar', 'score': 0.027}, {'token': 'vietnam', 'score': 0.026}, {'token': 'burma', 'score': 0.021}, {'token': 'taiwan', 'score': 0.021}, {'token': 'china', 'score': 0.019}]"
5,sweden,"[{'token': 'swedish', 'score': 0.955}, {'token': 'danish', 'score': 0.021}, {'token': 'finnish', 'score': 0.008}, {'token': 'norwegian', 'score': 0.003}, {'token': 'german', 'score': 0.002}, {'token': 'noted', 'score': 0.001}, {'token': 'radio', 'score': 0.001}, {'token': 'scandinavian', 'score': 0.0}, {'token': 'prominent', 'score': 0.0}, {'token': 'soviet', 'score': 0.0}]","[{'token': 'sweden', 'score': 0.909}, {'token': 'stockholm', 'score': 0.048}, {'token': 'denmark', 'score': 0.01}, {'token': 'finland', 'score': 0.008}, {'token': 'norway', 'score': 0.003}, {'token': 'lund', 'score': 0.003}, {'token': 'uppsala', 'score': 0.002}, {'token': 'germany', 'score': 0.002}, {'token': 'gothenburg', 'score': 0.002}, {'token': 'scandinavia', 'score': 0.002}]","[{'token': 'sweden', 'score': 0.28}, {'token': 'stockholm', 'score': 0.151}, {'token': 'poland', 'score': 0.141}, {'token': 'warsaw', 'score': 0.047}, {'token': 'germany', 'score': 0.017}, {'token': 'finland', 'score': 0.016}, {'token': 'berlin', 'score': 0.015}, {'token': 'malmo', 'score': 0.013}, {'token': 'france', 'score': 0.011}, {'token': 'paris', 'score': 0.011}]","[{'token': 'sweden', 'score': 0.957}, {'token': 'stockholm', 'score': 0.019}, {'token': 'denmark', 'score': 0.012}, {'token': 'finland', 'score': 0.005}, {'token': 'lund', 'score': 0.002}, {'token': 'norway', 'score': 0.001}, {'token': 'copenhagen', 'score': 0.001}, {'token': 'scandinavia', 'score': 0.001}, {'token': 'gothenburg', 'score': 0.001}, {'token': 'iceland', 'score': 0.0}]","[{'token': 'sweden', 'score': 0.417}, {'token': 'denmark', 'score': 0.266}, {'token': 'copenhagen', 'score': 0.151}, {'token': 'stockholm', 'score': 0.046}, {'token': 'norway', 'score': 0.036}, {'token': 'finland', 'score': 0.009}, {'token': 'germany', 'score': 0.008}, {'token': 'scandinavia', 'score': 0.006}, {'token': 'gothenburg', 'score': 0.005}, {'token': 'aarhus', 'score': 0.005}]"
6,india,"[{'token': 'india', 'score': 0.999}, {'token': 'pakistan', 'score': 0.0}, {'token': 'bangladesh', 'score': 0.0}, {'token': 'indian', 'score': 0.0}, {'token': 'australia', 'score': 0.0}, {'token': 'canada', 'score': 0.0}, {'token': 'bengal', 'score': 0.0}, {'token': 'england', 'score': 0.0}, {'token': 'china', 'score': 0.0}, {'token': 'malaysia', 'score': 0.0}]","[{'token': 'india', 'score': 0.821}, {'token': 'office', 'score': 0.028}, {'token': 'time', 'score': 0.017}, {'token': 'government', 'score': 0.014}, {'token': 'parliament', 'score': 0.01}, {'token': 'period', 'score': 0.009}, {'token': 'terms', 'score': 0.008}, {'token': 'power', 'score': 0.006}, {'token': 'service', 'score': 0.006}, {'token': 'calcutta', 'score': 0.003}]","[{'token': 'india', 'score': 0.927}, {'token': 'bengal', 'score': 0.02}, {'token': 'calcutta', 'score': 0.007}, {'token': 'bangladesh', 'score': 0.005}, {'token': 'kolkata', 'score': 0.004}, {'token': 'then', 'score': 0.002}, {'token': 'it', 'score': 0.001}, {'token': 'indian', 'score': 0.001}, {'token': 'there', 'score': 0.001}, {'token': 'and', 'score': 0.001}]","[{'token': 'india', 'score': 0.98}, {'token': 'c', 'score': 0.002}, {'token': 'govt', 'score': 0.001}, {'token': 'bengal', 'score': 0.001}, {'token': 'pakistan', 'score': 0.001}, {'token': 'bangladesh', 'score': 0.001}, {'token': 'canada', 'score': 0.001}, {'token': 'viz', 'score': 0.001}, {'token': 'respectively', 'score': 0.001}, {'token': 'australia', 'score': 0.001}]","[{'token': 'india', 'score': 0.743}, {'token': 'bengal', 'score': 0.173}, {'token': 'bangladesh', 'score': 0.033}, {'token': 'assam', 'score': 0.011}, {'token': 'odisha', 'score': 0.009}, {'token': 'bihar', 'score': 0.007}, {'token': 'kolkata', 'score': 0.004}, {'token': 'kerala', 'score': 0.003}, {'token': 'pakistan', 'score': 0.002}, {'token': 'karnataka', 'score': 0.002}]"
7,japan,"[{'token': 'japan', 'score': 0.968}, {'token': 'indonesia', 'score': 0.004}, {'token': 'thailand', 'score': 0.003}, {'token': 'taiwan', 'score': 0.003}, {'token': 'brazil', 'score': 0.003}, {'token': 'australia', 'score': 0.001}, {'token': 'italy', 'score': 0.001}, {'token': 'china', 'score': 0.001}, {'token': 'india', 'score': 0.001}, {'token': 'finland', 'score': 0.001}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': 'japan', 'score': 0.433}, {'token': 'tokyo', 'score': 0.379}, {'token': 'osaka', 'score': 0.042}, {'token': 'hokkaido', 'score': 0.015}, {'token': 'okinawa', 'score': 0.01}, {'token': 'kyoto', 'score': 0.009}, {'token': 'yokohama', 'score': 0.007}, {'token': 'fukuoka', 'score': 0.007}, {'token': 'taiwan', 'score': 0.006}, {'token': 'hawaii', 'score': 0.006}]"
8,canada,"[{'token': 'canada', 'score': 0.714}, {'token': 'australia', 'score': 0.254}, {'token': 'victoria', 'score': 0.01}, {'token': 'ontario', 'score': 0.006}, {'token': 'queensland', 'score': 0.002}, {'token': 'alberta', 'score': 0.001}, {'token': 'britain', 'score': 0.001}, {'token': 'tasmania', 'score': 0.001}, {'token': 'bc', 'score': 0.001}, {'token': 'america', 'score': 0.001}]","[{'token': 'canada', 'score': 0.761}, {'token': 'ontario', 'score': 0.072}, {'token': 'australia', 'score': 0.049}, {'token': 'alberta', 'score': 0.036}, {'token': 'manitoba', 'score': 0.027}, {'token': 'victoria', 'score': 0.011}, {'token': 'saskatchewan', 'score': 0.006}, {'token': 'queensland', 'score': 0.005}, {'token': 'sweden', 'score': 0.004}, {'token': 'bc', 'score': 0.004}]","[{'token': 'ontario', 'score': 0.175}, {'token': 'victoria', 'score': 0.101}, {'token': 'canada', 'score': 0.07}, {'token': 'he', 'score': 0.064}, {'token': 'hamilton', 'score': 0.05}, {'token': 'manitoba', 'score': 0.047}, {'token': 'alberta', 'score': 0.046}, {'token': 'douglas', 'score': 0.043}, {'token': 'toronto', 'score': 0.025}, {'token': 'tasmania', 'score': 0.021}]","[{'token': 'canada', 'score': 0.919}, {'token': 'australia', 'score': 0.048}, {'token': 'ontario', 'score': 0.012}, {'token': 'victoria', 'score': 0.005}, {'token': 'alberta', 'score': 0.004}, {'token': 'bc', 'score': 0.002}, {'token': 'queensland', 'score': 0.001}, {'token': 'britain', 'score': 0.001}, {'token': 'manitoba', 'score': 0.001}, {'token': 'history', 'score': 0.001}]","[{'token': 'australia', 'score': 0.752}, {'token': 'canada', 'score': 0.222}, {'token': 'victoria', 'score': 0.006}, {'token': 'ontario', 'score': 0.004}, {'token': 'britain', 'score': 0.003}, {'token': 'queensland', 'score': 0.003}, {'token': 'tasmania', 'score': 0.002}, {'token': 'alberta', 'score': 0.001}, {'token': 'country', 'score': 0.001}, {'token': 'bc', 'score': 0.0}]"
9,nigeria,"[{'token': 'nigeria', 'score': 0.994}, {'token': 'nigerian', 'score': 0.003}, {'token': 'benin', 'score': 0.001}, {'token': 'lagos', 'score': 0.0}, {'token': 'niger', 'score': 0.0}, {'token': 'ghana', 'score': 0.0}, {'token': 'liberia', 'score': 0.0}, {'token': 'malaysia', 'score': 0.0}, {'token': 'gabon', 'score': 0.0}, {'token': 'federation', 'score': 0.0}]","[{'token': 'algeria', 'score': 0.097}, {'token': 'gabon', 'score': 0.09}, {'token': 'benin', 'score': 0.082}, {'token': 'togo', 'score': 0.077}, {'token': 'tunisia', 'score': 0.064}, {'token': 'morocco', 'score': 0.059}, {'token': 'mali', 'score': 0.054}, {'token': 'senegal', 'score': 0.04}, {'token': 'chad', 'score': 0.04}, {'token': 'congo', 'score': 0.035}]","[{'token': 'tunisia', 'score': 0.833}, {'token': 'algeria', 'score': 0.023}, {'token': 'mali', 'score': 0.016}, {'token': 'morocco', 'score': 0.013}, {'token': 'jordan', 'score': 0.012}, {'token': 'country', 'score': 0.01}, {'token': 'tunisian', 'score': 0.007}, {'token': 'libya', 'score': 0.005}, {'token': 'egypt', 'score': 0.005}, {'token': 'lebanon', 'score': 0.005}]","[{'token': 'mali', 'score': 0.155}, {'token': 'chad', 'score': 0.135}, {'token': 'benin', 'score': 0.079}, {'token': 'morocco', 'score': 0.07}, {'token': 'tunisia', 'score': 0.069}, {'token': 'guinea', 'score': 0.063}, {'token': 'ghana', 'score': 0.054}, {'token': 'algeria', 'score': 0.048}, {'token': 'cameroon', 'score': 0.034}, {'token': 'senegal', 'score': 0.033}]","[{'token': 'chad', 'score': 0.098}, {'token': 'morocco', 'score': 0.094}, {'token': 'ghana', 'score': 0.078}, {'token': 'mali', 'score': 0.067}, {'token': 'algeria', 'score': 0.058}, {'token': 'togo', 'score': 0.041}, {'token': 'senegal', 'score': 0.039}, {'token': 'benin', 'score': 0.038}, {'token': 'cameroon', 'score': 0.031}, {'token': 'nigeria', 'score': 0.022}]"
