,answers,original,t5_0,t5_1,t5_2,t5_3
0,urdu,"[{'token': 'urdu', 'score': 1.0}, {'token': 'persian', 'score': 0.0}, {'token': 'punjabi', 'score': 0.0}, {'token': 'arabic', 'score': 0.0}, {'token': 'pakistani', 'score': 0.0}, {'token': 'pakistan', 'score': 0.0}, {'token': 'hindi', 'score': 0.0}, {'token': 'english', 'score': 0.0}, {'token': 'bengali', 'score': 0.0}, {'token': 'qur', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]"
1,italian,"[{'token': 'italian', 'score': 0.946}, {'token': 'argentine', 'score': 0.045}, {'token': 'austrian', 'score': 0.005}, {'token': 'australian', 'score': 0.002}, {'token': 'uruguayan', 'score': 0.001}, {'token': 'american', 'score': 0.0}, {'token': 'irish', 'score': 0.0}, {'token': 'albanian', 'score': 0.0}, {'token': 'israeli', 'score': 0.0}, {'token': 'estonian', 'score': 0.0}]","[{'token': 'italian', 'score': 0.928}, {'token': 'algerian', 'score': 0.016}, {'token': 'argentine', 'score': 0.009}, {'token': 'engineer', 'score': 0.007}, {'token': 'australian', 'score': 0.004}, {'token': 'uruguayan', 'score': 0.004}, {'token': 'american', 'score': 0.003}, {'token': 'entrepreneur', 'score': 0.003}, {'token': 'austrian', 'score': 0.002}, {'token': 'albanian', 'score': 0.002}]","[{'token': 'italian', 'score': 0.777}, {'token': 'australian', 'score': 0.049}, {'token': 'american', 'score': 0.042}, {'token': 'argentine', 'score': 0.04}, {'token': 'austrian', 'score': 0.035}, {'token': 'athlete', 'score': 0.006}, {'token': 'engineer', 'score': 0.006}, {'token': 'artist', 'score': 0.005}, {'token': 'indonesian', 'score': 0.004}, {'token': 'actor', 'score': 0.003}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]"
2,finnish,"[{'token': 'finnish', 'score': 0.991}, {'token': 'latvian', 'score': 0.002}, {'token': 'estonian', 'score': 0.002}, {'token': 'swedish', 'score': 0.001}, {'token': 'finn', 'score': 0.001}, {'token': 'sami', 'score': 0.0}, {'token': 'georgian', 'score': 0.0}, {'token': 'kenyan', 'score': 0.0}, {'token': 'somali', 'score': 0.0}, {'token': 'lithuanian', 'score': 0.0}]","[{'token': 'finnish', 'score': 0.683}, {'token': 'local', 'score': 0.088}, {'token': 'former', 'score': 0.075}, {'token': 'veteran', 'score': 0.024}, {'token': 'prominent', 'score': 0.02}, {'token': 'retired', 'score': 0.011}, {'token': 'noted', 'score': 0.007}, {'token': 'notable', 'score': 0.006}, {'token': 'sami', 'score': 0.006}, {'token': 'popular', 'score': 0.005}]","[{'token': 'finnish', 'score': 0.276}, {'token': 'local', 'score': 0.105}, {'token': 'small', 'score': 0.088}, {'token': 'prominent', 'score': 0.049}, {'token': 'successful', 'score': 0.044}, {'token': 'pioneer', 'score': 0.033}, {'token': 'estonian', 'score': 0.032}, {'token': 'somali', 'score': 0.021}, {'token': 'large', 'score': 0.017}, {'token': 'traditional', 'score': 0.015}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]"
3,spanish,"[{'token': 'spanish', 'score': 0.986}, {'token': 'french', 'score': 0.006}, {'token': 'english', 'score': 0.003}, {'token': 'portuguese', 'score': 0.001}, {'token': 'basque', 'score': 0.001}, {'token': 'arabic', 'score': 0.0}, {'token': 'maya', 'score': 0.0}, {'token': 'creole', 'score': 0.0}, {'token': 'romance', 'score': 0.0}, {'token': 'catalan', 'score': 0.0}]","[{'token': 'spanish', 'score': 0.98}, {'token': 'english', 'score': 0.008}, {'token': 'french', 'score': 0.007}, {'token': 'portuguese', 'score': 0.003}, {'token': 'creole', 'score': 0.0}, {'token': 'basque', 'score': 0.0}, {'token': 'maya', 'score': 0.0}, {'token': 'latin', 'score': 0.0}, {'token': 'arabic', 'score': 0.0}, {'token': 'hispanic', 'score': 0.0}]","[{'token': 'spanish', 'score': 0.959}, {'token': 'english', 'score': 0.027}, {'token': 'portuguese', 'score': 0.006}, {'token': 'french', 'score': 0.002}, {'token': 'latin', 'score': 0.002}, {'token': 'basque', 'score': 0.001}, {'token': 'german', 'score': 0.001}, {'token': 'romance', 'score': 0.0}, {'token': 'hispanic', 'score': 0.0}, {'token': 'maya', 'score': 0.0}]","[{'token': 'spanish', 'score': 0.988}, {'token': 'english', 'score': 0.008}, {'token': 'hispanic', 'score': 0.001}, {'token': 'portuguese', 'score': 0.001}, {'token': 'latin', 'score': 0.001}, {'token': 'romance', 'score': 0.0}, {'token': 'iberian', 'score': 0.0}, {'token': 'french', 'score': 0.0}, {'token': 'catalan', 'score': 0.0}, {'token': 'mexican', 'score': 0.0}]","[{'token': 'spanish', 'score': 0.969}, {'token': 'english', 'score': 0.016}, {'token': 'basque', 'score': 0.003}, {'token': 'portuguese', 'score': 0.003}, {'token': 'latin', 'score': 0.002}, {'token': 'french', 'score': 0.001}, {'token': 'german', 'score': 0.001}, {'token': 'native', 'score': 0.001}, {'token': '-', 'score': 0.001}, {'token': 'finnish', 'score': 0.0}]"
4,french,"[{'token': 'french', 'score': 1.0}, {'token': 'fr', 'score': 0.0}, {'token': 'france', 'score': 0.0}, {'token': 'francais', 'score': 0.0}, {'token': '##ʁ', 'score': 0.0}, {'token': 'english', 'score': 0.0}, {'token': 'latin', 'score': 0.0}, {'token': 'spanish', 'score': 0.0}, {'token': 'portuguese', 'score': 0.0}, {'token': 'frenchman', 'score': 0.0}]","[{'token': 'french', 'score': 1.0}, {'token': 'france', 'score': 0.0}, {'token': 'british', 'score': 0.0}, {'token': 'portuguese', 'score': 0.0}, {'token': 'american', 'score': 0.0}, {'token': 'spanish', 'score': 0.0}, {'token': 'english', 'score': 0.0}, {'token': 'italian', 'score': 0.0}, {'token': 'dutch', 'score': 0.0}, {'token': 'eastern', 'score': 0.0}]","[{'token': 'french', 'score': 1.0}, {'token': 'france', 'score': 0.0}, {'token': 'portuguese', 'score': 0.0}, {'token': 'british', 'score': 0.0}, {'token': 'american', 'score': 0.0}, {'token': 'italian', 'score': 0.0}, {'token': 'eastern', 'score': 0.0}, {'token': 'spanish', 'score': 0.0}, {'token': 'japanese', 'score': 0.0}, {'token': 'dutch', 'score': 0.0}]","[{'token': 'french', 'score': 1.0}, {'token': 'france', 'score': 0.0}, {'token': 'portuguese', 'score': 0.0}, {'token': 'british', 'score': 0.0}, {'token': 'eastern', 'score': 0.0}, {'token': 'western', 'score': 0.0}, {'token': 'american', 'score': 0.0}, {'token': 'spanish', 'score': 0.0}, {'token': 'dutch', 'score': 0.0}, {'token': 'italian', 'score': 0.0}]","[{'token': 'french', 'score': 1.0}, {'token': 'france', 'score': 0.0}, {'token': 'portuguese', 'score': 0.0}, {'token': 'american', 'score': 0.0}, {'token': 'british', 'score': 0.0}, {'token': 'spanish', 'score': 0.0}, {'token': 'english', 'score': 0.0}, {'token': 'italian', 'score': 0.0}, {'token': 'eastern', 'score': 0.0}, {'token': 'german', 'score': 0.0}]"
5,finnish,"[{'token': 'finnish', 'score': 0.915}, {'token': 'swedish', 'score': 0.045}, {'token': 'estonian', 'score': 0.033}, {'token': 'norwegian', 'score': 0.001}, {'token': 'sami', 'score': 0.001}, {'token': 'italian', 'score': 0.001}, {'token': 'professional', 'score': 0.0}, {'token': 'finland', 'score': 0.0}, {'token': 'nordic', 'score': 0.0}, {'token': 'icelandic', 'score': 0.0}]","[{'token': 'former', 'score': 0.366}, {'token': 'finnish', 'score': 0.141}, {'token': 'retired', 'score': 0.127}, {'token': 'famous', 'score': 0.108}, {'token': 'notable', 'score': 0.082}, {'token': 'professional', 'score': 0.027}, {'token': 'successful', 'score': 0.019}, {'token': 'local', 'score': 0.014}, {'token': 'prominent', 'score': 0.013}, {'token': 'popular', 'score': 0.012}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': 'the', 'score': 0.389}, {'token': 'former', 'score': 0.178}, {'token': 'finnish', 'score': 0.166}, {'token': 'retired', 'score': 0.092}, {'token': 'estonian', 'score': 0.036}, {'token': 'olympic', 'score': 0.017}, {'token': 'professional', 'score': 0.013}, {'token': 'local', 'score': 0.011}, {'token': 'male', 'score': 0.01}, {'token': 'swedish', 'score': 0.007}]","[{'token': 'finnish', 'score': 0.406}, {'token': 'french', 'score': 0.125}, {'token': 'kenyan', 'score': 0.037}, {'token': 'senior', 'score': 0.025}, {'token': 'estonian', 'score': 0.02}, {'token': 'italian', 'score': 0.019}, {'token': 'swedish', 'score': 0.018}, {'token': 'ethiopian', 'score': 0.018}, {'token': 'soviet', 'score': 0.017}, {'token': 'tunisian', 'score': 0.016}]"
6,malay,"[{'token': 'malay', 'score': 0.998}, {'token': 'indonesian', 'score': 0.001}, {'token': 'filipino', 'score': 0.001}, {'token': 'arabic', 'score': 0.0}, {'token': 'brunei', 'score': 0.0}, {'token': 'turkish', 'score': 0.0}, {'token': 'chinese', 'score': 0.0}, {'token': 'hindi', 'score': 0.0}, {'token': 'malaysian', 'score': 0.0}, {'token': 'urdu', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]"
7,urdu,"[{'token': 'urdu', 'score': 0.982}, {'token': 'persian', 'score': 0.015}, {'token': 'punjabi', 'score': 0.002}, {'token': 'arabic', 'score': 0.001}, {'token': 'afghan', 'score': 0.0}, {'token': 'bengali', 'score': 0.0}, {'token': 'pakistani', 'score': 0.0}, {'token': 'kazakh', 'score': 0.0}, {'token': 'afghanistan', 'score': 0.0}, {'token': 'pakistan', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]"
8,finnish,"[{'token': 'finnish', 'score': 1.0}, {'token': 'finland', 'score': 0.0}, {'token': 'estonian', 'score': 0.0}, {'token': 'italian', 'score': 0.0}, {'token': 'norwegian', 'score': 0.0}, {'token': 'latin', 'score': 0.0}, {'token': 'helsinki', 'score': 0.0}, {'token': 'sami', 'score': 0.0}, {'token': 'finn', 'score': 0.0}, {'token': 'lombard', 'score': 0.0}]","[{'token': 'swedish', 'score': 0.973}, {'token': 'estonian', 'score': 0.013}, {'token': 'sami', 'score': 0.007}, {'token': 'russian', 'score': 0.002}, {'token': 'norwegian', 'score': 0.001}, {'token': 'finnish', 'score': 0.001}, {'token': 'english', 'score': 0.001}, {'token': 'latin', 'score': 0.001}, {'token': 'french', 'score': 0.0}, {'token': 'german', 'score': 0.0}]","[{'token': 'south', 'score': 0.259}, {'token': 'east', 'score': 0.237}, {'token': 'north', 'score': 0.231}, {'token': 'west', 'score': 0.174}, {'token': 'mainland', 'score': 0.025}, {'token': 'southeast', 'score': 0.023}, {'token': 'southwest', 'score': 0.01}, {'token': 'other', 'score': 0.007}, {'token': 'baltic', 'score': 0.005}, {'token': 'northeast', 'score': 0.005}]","[{'token': 'swedish', 'score': 0.976}, {'token': 'estonian', 'score': 0.013}, {'token': 'sami', 'score': 0.006}, {'token': 'russian', 'score': 0.001}, {'token': 'norwegian', 'score': 0.001}, {'token': 'english', 'score': 0.001}, {'token': 'finnish', 'score': 0.0}, {'token': 'latin', 'score': 0.0}, {'token': 'french', 'score': 0.0}, {'token': 'danish', 'score': 0.0}]","[{'token': 'finnish', 'score': 0.493}, {'token': 'swedish', 'score': 0.451}, {'token': 'english', 'score': 0.024}, {'token': 'finland', 'score': 0.009}, {'token': 'latin', 'score': 0.004}, {'token': 'estonian', 'score': 0.003}, {'token': 'sami', 'score': 0.003}, {'token': 'french', 'score': 0.003}, {'token': 'sweden', 'score': 0.002}, {'token': 'italian', 'score': 0.001}]"
9,french,"[{'token': 'french', 'score': 0.507}, {'token': 'english', 'score': 0.324}, {'token': 'dutch', 'score': 0.107}, {'token': 'german', 'score': 0.033}, {'token': 'flemish', 'score': 0.005}, {'token': 'afrikaans', 'score': 0.005}, {'token': 'spanish', 'score': 0.004}, {'token': 'swedish', 'score': 0.002}, {'token': 'belgian', 'score': 0.001}, {'token': 'italian', 'score': 0.001}]","[{'token': 'french', 'score': 0.92}, {'token': 'spanish', 'score': 0.034}, {'token': 'english', 'score': 0.018}, {'token': 'portuguese', 'score': 0.005}, {'token': 'german', 'score': 0.004}, {'token': 'catalan', 'score': 0.003}, {'token': 'welsh', 'score': 0.002}, {'token': 'dutch', 'score': 0.002}, {'token': 'breton', 'score': 0.001}, {'token': 'swedish', 'score': 0.001}]","[{'token': 'french', 'score': 0.98}, {'token': 'english', 'score': 0.006}, {'token': 'spanish', 'score': 0.003}, {'token': 'german', 'score': 0.001}, {'token': 'creole', 'score': 0.001}, {'token': 'arabic', 'score': 0.001}, {'token': 'welsh', 'score': 0.001}, {'token': 'dutch', 'score': 0.0}, {'token': 'chad', 'score': 0.0}, {'token': 'portuguese', 'score': 0.0}]","[{'token': 'french', 'score': 0.973}, {'token': 'dutch', 'score': 0.012}, {'token': 'german', 'score': 0.006}, {'token': 'english', 'score': 0.003}, {'token': 'spanish', 'score': 0.001}, {'token': 'flemish', 'score': 0.001}, {'token': 'swedish', 'score': 0.001}, {'token': 'breton', 'score': 0.0}, {'token': 'catalan', 'score': 0.0}, {'token': 'belgian', 'score': 0.0}]","[{'token': 'mongolian', 'score': 0.598}, {'token': 'french', 'score': 0.34}, {'token': 'german', 'score': 0.012}, {'token': 'dutch', 'score': 0.005}, {'token': 'russian', 'score': 0.005}, {'token': 'mongol', 'score': 0.005}, {'token': 'swedish', 'score': 0.004}, {'token': 'english', 'score': 0.004}, {'token': 'korean', 'score': 0.003}, {'token': 'chinese', 'score': 0.002}]"
