,answers,original,t5_0,t5_1,t5_2,t5_3
0,baku,"[{'token': 'baku', 'score': 0.92}, {'token': 'azerbaijan', 'score': 0.031}, {'token': 'tbilisi', 'score': 0.005}, {'token': 'riga', 'score': 0.004}, {'token': 'armenia', 'score': 0.003}, {'token': 'odessa', 'score': 0.003}, {'token': 'kazan', 'score': 0.002}, {'token': 'tehran', 'score': 0.002}, {'token': 'moscow', 'score': 0.002}, {'token': 'yerevan', 'score': 0.002}]","[{'token': 'many', 'score': 0.383}, {'token': 'several', 'score': 0.043}, {'token': '40', 'score': 0.029}, {'token': '30', 'score': 0.026}, {'token': '50', 'score': 0.023}, {'token': '60', 'score': 0.021}, {'token': '100', 'score': 0.02}, {'token': '150', 'score': 0.02}, {'token': '35', 'score': 0.017}, {'token': '20', 'score': 0.016}]","[{'token': 'many', 'score': 0.362}, {'token': 'several', 'score': 0.036}, {'token': '40', 'score': 0.034}, {'token': '30', 'score': 0.033}, {'token': '35', 'score': 0.024}, {'token': '50', 'score': 0.023}, {'token': '150', 'score': 0.021}, {'token': '100', 'score': 0.019}, {'token': '60', 'score': 0.018}, {'token': '145', 'score': 0.017}]","[{'token': 'many', 'score': 0.295}, {'token': '100', 'score': 0.037}, {'token': '40', 'score': 0.033}, {'token': '150', 'score': 0.033}, {'token': '200', 'score': 0.026}, {'token': '50', 'score': 0.026}, {'token': '30', 'score': 0.025}, {'token': '35', 'score': 0.021}, {'token': 'several', 'score': 0.021}, {'token': '800', 'score': 0.02}]","[{'token': 'many', 'score': 0.477}, {'token': 'several', 'score': 0.049}, {'token': '150', 'score': 0.022}, {'token': '40', 'score': 0.02}, {'token': '50', 'score': 0.019}, {'token': '100', 'score': 0.019}, {'token': '35', 'score': 0.017}, {'token': '30', 'score': 0.015}, {'token': '60', 'score': 0.015}, {'token': '145', 'score': 0.014}]"
1,brody,"[{'token': 'donetsk', 'score': 0.34}, {'token': 'kiev', 'score': 0.195}, {'token': 'lviv', 'score': 0.072}, {'token': 'kyiv', 'score': 0.038}, {'token': 'odessa', 'score': 0.022}, {'token': 'the', 'score': 0.016}, {'token': 'ukrainian', 'score': 0.015}, {'token': 'crimea', 'score': 0.015}, {'token': 'ukraine', 'score': 0.014}, {'token': 'this', 'score': 0.012}]","[{'token': 'new', 'score': 0.026}, {'token': 'otago', 'score': 0.024}, {'token': 'hamilton', 'score': 0.017}, {'token': 'moscow', 'score': 0.016}, {'token': 'donetsk', 'score': 0.012}, {'token': 'central', 'score': 0.012}, {'token': 'dunedin', 'score': 0.011}, {'token': 'ottawa', 'score': 0.011}, {'token': 'wellington', 'score': 0.01}, {'token': 'main', 'score': 0.008}]","[{'token': 'the', 'score': 0.516}, {'token': 'this', 'score': 0.152}, {'token': 'hereford', 'score': 0.02}, {'token': 'holy', 'score': 0.015}, {'token': 'that', 'score': 0.011}, {'token': 'lviv', 'score': 0.011}, {'token': 'his', 'score': 0.009}, {'token': 'old', 'score': 0.009}, {'token': 'kiev', 'score': 0.006}, {'token': 'union', 'score': 0.005}]","[{'token': 'the', 'score': 0.667}, {'token': 'a', 'score': 0.017}, {'token': 'new', 'score': 0.007}, {'token': ',', 'score': 0.005}, {'token': '1st', 'score': 0.004}, {'token': 'olympia', 'score': 0.004}, {'token': '""', 'score': 0.004}, {'token': 'as', 'score': 0.004}, {'token': 'this', 'score': 0.003}, {'token': 'moscow', 'score': 0.003}]","[{'token': 'donetsk', 'score': 0.25}, {'token': 'mexico', 'score': 0.067}, {'token': 'the', 'score': 0.035}, {'token': 'this', 'score': 0.031}, {'token': 'kiev', 'score': 0.027}, {'token': 'lake', 'score': 0.022}, {'token': 'crimea', 'score': 0.018}, {'token': 'guerrero', 'score': 0.014}, {'token': 'port', 'score': 0.013}, {'token': 'moscow', 'score': 0.013}]"
2,chicago,"[{'token': 'it', 'score': 0.33}, {'token': 'eagle', 'score': 0.288}, {'token': 'this', 'score': 0.05}, {'token': 'that', 'score': 0.01}, {'token': 'which', 'score': 0.006}, {'token': 'there', 'score': 0.004}, {'token': 'orange', 'score': 0.004}, {'token': 'he', 'score': 0.004}, {'token': 'minnesota', 'score': 0.003}, {'token': 'pennsylvania', 'score': 0.003}]","[{'token': 'center', 'score': 0.474}, {'token': 'seat', 'score': 0.219}, {'token': 'capital', 'score': 0.104}, {'token': 'headquarters', 'score': 0.055}, {'token': 'district', 'score': 0.023}, {'token': 'centre', 'score': 0.023}, {'token': 'office', 'score': 0.016}, {'token': 'jurisdiction', 'score': 0.009}, {'token': 'base', 'score': 0.009}, {'token': 'area', 'score': 0.008}]","[{'token': 'baku', 'score': 0.702}, {'token': 'it', 'score': 0.18}, {'token': 'this', 'score': 0.053}, {'token': 'he', 'score': 0.007}, {'token': 'that', 'score': 0.006}, {'token': 'azerbaijan', 'score': 0.005}, {'token': 'tehran', 'score': 0.004}, {'token': 'moscow', 'score': 0.003}, {'token': 'yerevan', 'score': 0.002}, {'token': 'which', 'score': 0.002}]","[{'token': 'bremen', 'score': 0.403}, {'token': 'stade', 'score': 0.064}, {'token': 'germany', 'score': 0.032}, {'token': 'hamburg', 'score': 0.025}, {'token': 'bavaria', 'score': 0.023}, {'token': 'france', 'score': 0.018}, {'token': 'munich', 'score': 0.015}, {'token': 'normandy', 'score': 0.013}, {'token': 'berlin', 'score': 0.013}, {'token': 'lille', 'score': 0.012}]","[{'token': 'bremen', 'score': 0.346}, {'token': 'stade', 'score': 0.241}, {'token': 'halle', 'score': 0.018}, {'token': 'lille', 'score': 0.015}, {'token': 'nuremberg', 'score': 0.014}, {'token': 'hamburg', 'score': 0.01}, {'token': 'metz', 'score': 0.009}, {'token': 'montpellier', 'score': 0.008}, {'token': 'munich', 'score': 0.007}, {'token': 'ghent', 'score': 0.007}]"
3,richmond,"[{'token': 'dunedin', 'score': 0.688}, {'token': 'otago', 'score': 0.2}, {'token': 'wellington', 'score': 0.032}, {'token': 'auckland', 'score': 0.031}, {'token': 'christchurch', 'score': 0.015}, {'token': 'canterbury', 'score': 0.007}, {'token': 'napier', 'score': 0.004}, {'token': 'southland', 'score': 0.003}, {'token': 'darwin', 'score': 0.001}, {'token': 'marlborough', 'score': 0.001}]","[{'token': 'dunedin', 'score': 0.678}, {'token': 'otago', 'score': 0.173}, {'token': 'wellington', 'score': 0.063}, {'token': 'auckland', 'score': 0.023}, {'token': 'christchurch', 'score': 0.02}, {'token': 'canterbury', 'score': 0.007}, {'token': 'napier', 'score': 0.006}, {'token': 'southland', 'score': 0.003}, {'token': 'marlborough', 'score': 0.002}, {'token': 'town', 'score': 0.002}]",,"[{'token': 'seattle', 'score': 0.866}, {'token': 'tacoma', 'score': 0.027}, {'token': 'washington', 'score': 0.024}, {'token': 'dallas', 'score': 0.007}, {'token': 'bellevue', 'score': 0.006}, {'token': 'houston', 'score': 0.004}, {'token': 'vancouver', 'score': 0.004}, {'token': 'spokane', 'score': 0.003}, {'token': 'everett', 'score': 0.003}, {'token': 'king', 'score': 0.002}]","[{'token': 'eagle', 'score': 0.941}, {'token': 'eagles', 'score': 0.008}, {'token': 'dallas', 'score': 0.005}, {'token': 'arlington', 'score': 0.001}, {'token': 'wayne', 'score': 0.001}, {'token': 'county', 'score': 0.001}, {'token': 'texas', 'score': 0.001}, {'token': 'king', 'score': 0.001}, {'token': 'philadelphia', 'score': 0.001}, {'token': 'arizona', 'score': 0.001}]"
4,auburn,"[{'token': 'albany', 'score': 0.093}, {'token': 'rochester', 'score': 0.043}, {'token': 'dunedin', 'score': 0.038}, {'token': 'buffalo', 'score': 0.034}, {'token': 'syracuse', 'score': 0.028}, {'token': 'chicago', 'score': 0.027}, {'token': 'california', 'score': 0.026}, {'token': 'ontario', 'score': 0.025}, {'token': 'brooklyn', 'score': 0.022}, {'token': 'washington', 'score': 0.017}]",,"[{'token': 'elected', 'score': 0.507}, {'token': 'independent', 'score': 0.077}, {'token': 'alabama', 'score': 0.059}, {'token': 'assistant', 'score': 0.054}, {'token': 'acting', 'score': 0.028}, {'token': 'assembly', 'score': 0.022}, {'token': 'auxiliary', 'score': 0.014}, {'token': 'oregon', 'score': 0.013}, {'token': 'incumbent', 'score': 0.012}, {'token': 'agricultural', 'score': 0.012}]","[{'token': 'albany', 'score': 0.068}, {'token': 'rochester', 'score': 0.05}, {'token': 'california', 'score': 0.041}, {'token': 'brooklyn', 'score': 0.037}, {'token': 'philadelphia', 'score': 0.032}, {'token': 'chicago', 'score': 0.029}, {'token': 'wisconsin', 'score': 0.022}, {'token': 'pennsylvania', 'score': 0.021}, {'token': 'syracuse', 'score': 0.02}, {'token': 'ohio', 'score': 0.019}]","[{'token': 'albany', 'score': 0.13}, {'token': 'dunedin', 'score': 0.037}, {'token': 'washington', 'score': 0.035}, {'token': 'vermont', 'score': 0.032}, {'token': 'ontario', 'score': 0.031}, {'token': 'canada', 'score': 0.031}, {'token': 'iowa', 'score': 0.029}, {'token': 'wellington', 'score': 0.027}, {'token': 'congress', 'score': 0.026}, {'token': 'chicago', 'score': 0.024}]"
5,windsor,"[{'token': 'sydney', 'score': 0.254}, {'token': 'perth', 'score': 0.218}, {'token': 'melbourne', 'score': 0.155}, {'token': 'adelaide', 'score': 0.121}, {'token': 'fremantle', 'score': 0.055}, {'token': 'victoria', 'score': 0.041}, {'token': 'brisbane', 'score': 0.031}, {'token': 'canberra', 'score': 0.026}, {'token': 'queensland', 'score': 0.017}, {'token': 'australia', 'score': 0.008}]","[{'token': 'previously', 'score': 0.104}, {'token': 'meanwhile', 'score': 0.08}, {'token': 'elsewhere', 'score': 0.063}, {'token': 'similarly', 'score': 0.063}, {'token': 'later', 'score': 0.058}, {'token': 'then', 'score': 0.043}, {'token': 'earlier', 'score': 0.033}, {'token': 'historically', 'score': 0.03}, {'token': 'today', 'score': 0.029}, {'token': 'also', 'score': 0.027}]","[{'token': 'sydney', 'score': 0.295}, {'token': 'melbourne', 'score': 0.258}, {'token': 'perth', 'score': 0.178}, {'token': 'adelaide', 'score': 0.063}, {'token': 'canberra', 'score': 0.045}, {'token': 'brisbane', 'score': 0.042}, {'token': 'fremantle', 'score': 0.036}, {'token': 'victoria', 'score': 0.019}, {'token': 'queensland', 'score': 0.008}, {'token': 'darwin', 'score': 0.006}]","[{'token': 'melbourne', 'score': 0.218}, {'token': 'sydney', 'score': 0.205}, {'token': 'victoria', 'score': 0.139}, {'token': 'perth', 'score': 0.126}, {'token': 'queensland', 'score': 0.049}, {'token': 'adelaide', 'score': 0.047}, {'token': 'tasmania', 'score': 0.038}, {'token': 'canberra', 'score': 0.031}, {'token': 'fremantle', 'score': 0.028}, {'token': 'brisbane', 'score': 0.026}]","[{'token': 'sydney', 'score': 0.292}, {'token': 'melbourne', 'score': 0.18}, {'token': 'adelaide', 'score': 0.118}, {'token': 'brisbane', 'score': 0.103}, {'token': 'perth', 'score': 0.079}, {'token': 'victoria', 'score': 0.036}, {'token': 'queensland', 'score': 0.034}, {'token': 'canberra', 'score': 0.026}, {'token': 'fremantle', 'score': 0.022}, {'token': 'darwin', 'score': 0.016}]"
6,strasbourg,"[{'token': '(', 'score': 0.179}, {'token': ',', 'score': 0.041}, {'token': '_', 'score': 0.04}, {'token': '—', 'score': 0.038}, {'token': '""', 'score': 0.035}, {'token': '[', 'score': 0.029}, {'token': 'spain', 'score': 0.02}, {'token': ';', 'score': 0.019}, {'token': 'in', 'score': 0.018}, {'token': '.', 'score': 0.014}]","[{'token': 'bordeaux', 'score': 0.145}, {'token': 'toulouse', 'score': 0.09}, {'token': 'strasbourg', 'score': 0.088}, {'token': 'montpellier', 'score': 0.081}, {'token': 'metz', 'score': 0.064}, {'token': 'lyon', 'score': 0.043}, {'token': 'marseille', 'score': 0.036}, {'token': 'paris', 'score': 0.025}, {'token': 'clermont', 'score': 0.014}, {'token': 'lille', 'score': 0.014}]","[{'token': 'eagle', 'score': 0.982}, {'token': 'eagles', 'score': 0.006}, {'token': 'this', 'score': 0.001}, {'token': 'it', 'score': 0.001}, {'token': 'area', 'score': 0.0}, {'token': 'eh', 'score': 0.0}, {'token': 'marche', 'score': 0.0}, {'token': 'turkey', 'score': 0.0}, {'token': 'canton', 'score': 0.0}, {'token': 'the', 'score': 0.0}]","[{'token': 'strasbourg', 'score': 0.304}, {'token': 'vienna', 'score': 0.218}, {'token': 'paris', 'score': 0.082}, {'token': 'brussels', 'score': 0.028}, {'token': 'versailles', 'score': 0.025}, {'token': 'luxembourg', 'score': 0.018}, {'token': 'metz', 'score': 0.018}, {'token': 'cologne', 'score': 0.015}, {'token': 'toulouse', 'score': 0.013}, {'token': 'salzburg', 'score': 0.013}]","[{'token': 'martinez', 'score': 0.956}, {'token': 'monterrey', 'score': 0.003}, {'token': 'it', 'score': 0.002}, {'token': 'pedro', 'score': 0.001}, {'token': 'la', 'score': 0.001}, {'token': 'this', 'score': 0.001}, {'token': 'valencia', 'score': 0.001}, {'token': 'santiago', 'score': 0.001}, {'token': 'leon', 'score': 0.001}, {'token': 'he', 'score': 0.001}]"
7,shreveport,"[{'token': '.', 'score': 0.494}, {'token': ',', 'score': 0.421}, {'token': ';', 'score': 0.006}, {'token': 'area', 'score': 0.003}, {'token': '##a', 'score': 0.003}, {'token': 'ny', 'score': 0.003}, {'token': '?', 'score': 0.002}, {'token': 'here', 'score': 0.002}, {'token': 'texas', 'score': 0.002}, {'token': '##o', 'score': 0.002}]","[{'token': '##a', 'score': 0.165}, {'token': '##ad', 'score': 0.069}, {'token': '##in', 'score': 0.032}, {'token': '##ah', 'score': 0.032}, {'token': '##al', 'score': 0.03}, {'token': '##an', 'score': 0.028}, {'token': '##e', 'score': 0.026}, {'token': 'area', 'score': 0.026}, {'token': 'school', 'score': 0.024}, {'token': ',', 'score': 0.022}]","[{'token': ',', 'score': 0.815}, {'token': 'township', 'score': 0.013}, {'token': 'cemetery', 'score': 0.011}, {'token': 'church', 'score': 0.008}, {'token': 'here', 'score': 0.006}, {'token': 'area', 'score': 0.004}, {'token': 'county', 'score': 0.003}, {'token': 'of', 'score': 0.003}, {'token': '##a', 'score': 0.003}, {'token': '.', 'score': 0.003}]","[{'token': ',', 'score': 0.924}, {'token': 'is', 'score': 0.007}, {'token': '.', 'score': 0.006}, {'token': '-', 'score': 0.005}, {'token': 'was', 'score': 0.004}, {'token': ')', 'score': 0.004}, {'token': 'attended', 'score': 0.003}, {'token': ';', 'score': 0.002}, {'token': '##a', 'score': 0.002}, {'token': 'lived', 'score': 0.002}]","[{'token': ',', 'score': 0.894}, {'token': '##a', 'score': 0.011}, {'token': '.', 'score': 0.009}, {'token': ')', 'score': 0.005}, {'token': 'church', 'score': 0.004}, {'token': '##al', 'score': 0.004}, {'token': '-', 'score': 0.002}, {'token': '##e', 'score': 0.002}, {'token': '""', 'score': 0.002}, {'token': 'of', 'score': 0.002}]"
8,lincoln,"[{'token': 'nebraska', 'score': 0.178}, {'token': 'omaha', 'score': 0.154}, {'token': 'washington', 'score': 0.059}, {'token': 'kansas', 'score': 0.047}, {'token': 'minnesota', 'score': 0.021}, {'token': 'maryland', 'score': 0.021}, {'token': 'illinois', 'score': 0.02}, {'token': 'denver', 'score': 0.02}, {'token': 'colorado', 'score': 0.018}, {'token': 'michigan', 'score': 0.018}]","[{'token': 'belgium', 'score': 0.096}, {'token': 'brussels', 'score': 0.069}, {'token': 'baltimore', 'score': 0.055}, {'token': 'washington', 'score': 0.049}, {'token': 'maryland', 'score': 0.047}, {'token': 'flanders', 'score': 0.047}, {'token': 'germany', 'score': 0.025}, {'token': 'philadelphia', 'score': 0.021}, {'token': 'antwerp', 'score': 0.019}, {'token': 'pittsburgh', 'score': 0.018}]","[{'token': 'seattle', 'score': 0.553}, {'token': 'it', 'score': 0.253}, {'token': 'this', 'score': 0.06}, {'token': 'tacoma', 'score': 0.03}, {'token': 'washington', 'score': 0.026}, {'token': 'bellevue', 'score': 0.013}, {'token': 'everett', 'score': 0.009}, {'token': 'omaha', 'score': 0.005}, {'token': 'that', 'score': 0.005}, {'token': 'olympia', 'score': 0.005}]","[{'token': 'nebraska', 'score': 0.593}, {'token': 'omaha', 'score': 0.131}, {'token': 'washington', 'score': 0.024}, {'token': 'colorado', 'score': 0.021}, {'token': 'oklahoma', 'score': 0.019}, {'token': 'kansas', 'score': 0.015}, {'token': 'boulder', 'score': 0.013}, {'token': 'lincoln', 'score': 0.012}, {'token': 'iowa', 'score': 0.01}, {'token': 'minnesota', 'score': 0.009}]","[{'token': 'omaha', 'score': 0.145}, {'token': 'nebraska', 'score': 0.118}, {'token': 'boulder', 'score': 0.1}, {'token': 'albuquerque', 'score': 0.092}, {'token': 'colorado', 'score': 0.042}, {'token': 'denver', 'score': 0.032}, {'token': 'california', 'score': 0.029}, {'token': 'washington', 'score': 0.016}, {'token': 'carson', 'score': 0.012}, {'token': 'buffalo', 'score': 0.012}]"
9,winchester,"[{'token': 'plymouth', 'score': 0.078}, {'token': 'winchester', 'score': 0.075}, {'token': 'manchester', 'score': 0.074}, {'token': 'hampshire', 'score': 0.06}, {'token': 'exeter', 'score': 0.026}, {'token': 'peterborough', 'score': 0.021}, {'token': 'portsmouth', 'score': 0.021}, {'token': 'devon', 'score': 0.02}, {'token': 'southampton', 'score': 0.019}, {'token': 'northampton', 'score': 0.017}]","[{'token': 'hampshire', 'score': 0.094}, {'token': 'winchester', 'score': 0.069}, {'token': 'portsmouth', 'score': 0.04}, {'token': 'exeter', 'score': 0.028}, {'token': 'southampton', 'score': 0.024}, {'token': 'manchester', 'score': 0.023}, {'token': 'plymouth', 'score': 0.023}, {'token': 'hanover', 'score': 0.022}, {'token': 'devon', 'score': 0.021}, {'token': 'kent', 'score': 0.019}]","[{'token': 'flanders', 'score': 0.213}, {'token': 'hanover', 'score': 0.047}, {'token': 'kent', 'score': 0.032}, {'token': 'hampshire', 'score': 0.032}, {'token': 'ghent', 'score': 0.03}, {'token': 'cumberland', 'score': 0.026}, {'token': 'essex', 'score': 0.021}, {'token': 'brunswick', 'score': 0.02}, {'token': 'england', 'score': 0.018}, {'token': 'calais', 'score': 0.015}]","[{'token': 'hampshire', 'score': 0.061}, {'token': 'portsmouth', 'score': 0.053}, {'token': 'plymouth', 'score': 0.045}, {'token': 'manchester', 'score': 0.038}, {'token': 'boston', 'score': 0.033}, {'token': 'worcester', 'score': 0.032}, {'token': 'dorset', 'score': 0.03}, {'token': 'southampton', 'score': 0.027}, {'token': 'cambridge', 'score': 0.026}, {'token': 'bournemouth', 'score': 0.019}]","[{'token': 'plymouth', 'score': 0.128}, {'token': 'dunedin', 'score': 0.126}, {'token': 'christchurch', 'score': 0.115}, {'token': 'wellington', 'score': 0.04}, {'token': 'canterbury', 'score': 0.035}, {'token': 'auckland', 'score': 0.031}, {'token': 'marlborough', 'score': 0.026}, {'token': 'hampshire', 'score': 0.02}, {'token': 'southampton', 'score': 0.019}, {'token': 'milton', 'score': 0.019}]"
