,answers,original,t5_0,t5_1,t5_2,t5_3
0,urdu,"[{'token': 'urdu', 'score': 0.519}, {'token': 'arabic', 'score': 0.163}, {'token': 'persian', 'score': 0.055}, {'token': 'english', 'score': 0.054}, {'token': 'hindi', 'score': 0.023}, {'token': 'sanskrit', 'score': 0.015}, {'token': 'code', 'score': 0.013}, {'token': 'language', 'score': 0.01}, {'token': 'punjabi', 'score': 0.008}, {'token': 'pakistan', 'score': 0.007}]",,,,
1,italian,"[{'token': 'alberta', 'score': 0.277}, {'token': 'american', 'score': 0.2}, {'token': 'italian', 'score': 0.162}, {'token': 'austrian', 'score': 0.055}, {'token': 'estonian', 'score': 0.044}, {'token': 'english', 'score': 0.028}, {'token': 'argentine', 'score': 0.024}, {'token': 'australian', 'score': 0.02}, {'token': 'ontario', 'score': 0.015}, {'token': 'edmonton', 'score': 0.013}]","[{'token': 'american', 'score': 0.224}, {'token': 'algerian', 'score': 0.161}, {'token': 'african', 'score': 0.107}, {'token': 'armenian', 'score': 0.094}, {'token': 'italian', 'score': 0.084}, {'token': 'englishman', 'score': 0.067}, {'token': 'austrian', 'score': 0.053}, {'token': 'ethiopian', 'score': 0.026}, {'token': 'engineer', 'score': 0.017}, {'token': 'athlete', 'score': 0.016}]","[{'token': 'estonian', 'score': 0.261}, {'token': 'american', 'score': 0.152}, {'token': 'italian', 'score': 0.149}, {'token': 'austrian', 'score': 0.081}, {'token': 'australian', 'score': 0.05}, {'token': 'engineer', 'score': 0.048}, {'token': 'albanian', 'score': 0.035}, {'token': 'armenian', 'score': 0.033}, {'token': 'indian', 'score': 0.027}, {'token': 'argentine', 'score': 0.024}]",,
2,finnish,"[{'token': 'finnish', 'score': 0.174}, {'token': 'dutch', 'score': 0.151}, {'token': 'hungarian', 'score': 0.068}, {'token': 'lithuanian', 'score': 0.063}, {'token': 'swedish', 'score': 0.06}, {'token': 'german', 'score': 0.047}, {'token': 'croatian', 'score': 0.043}, {'token': 'portuguese', 'score': 0.039}, {'token': 'polish', 'score': 0.031}, {'token': 'danish', 'score': 0.026}]","[{'token': 'finnish', 'score': 0.492}, {'token': 'swedish', 'score': 0.139}, {'token': 'former', 'score': 0.07}, {'token': 'prominent', 'score': 0.041}, {'token': 'norwegian', 'score': 0.037}, {'token': 'lithuanian', 'score': 0.028}, {'token': 'danish', 'score': 0.021}, {'token': 'german', 'score': 0.014}, {'token': 'hungarian', 'score': 0.012}, {'token': 'latvian', 'score': 0.01}]","[{'token': 'dutch', 'score': 0.089}, {'token': 'former', 'score': 0.081}, {'token': 'german', 'score': 0.058}, {'token': 'successful', 'score': 0.055}, {'token': 'french', 'score': 0.042}, {'token': 'local', 'score': 0.035}, {'token': 'turkish', 'score': 0.027}, {'token': 'hungarian', 'score': 0.026}, {'token': 'prominent', 'score': 0.025}, {'token': 'basque', 'score': 0.025}]",,
3,spanish,"[{'token': 'spanish', 'score': 0.349}, {'token': 'portuguese', 'score': 0.247}, {'token': 'french', 'score': 0.166}, {'token': 'english', 'score': 0.122}, {'token': 'arabic', 'score': 0.019}, {'token': 'colombian', 'score': 0.013}, {'token': 'brazilian', 'score': 0.008}, {'token': 'basque', 'score': 0.008}, {'token': 'italian', 'score': 0.007}, {'token': 'creole', 'score': 0.004}]","[{'token': 'portuguese', 'score': 0.35}, {'token': 'spanish', 'score': 0.313}, {'token': 'english', 'score': 0.123}, {'token': 'french', 'score': 0.12}, {'token': 'arabic', 'score': 0.016}, {'token': 'brazilian', 'score': 0.008}, {'token': 'italian', 'score': 0.007}, {'token': 'basque', 'score': 0.006}, {'token': 'colombian', 'score': 0.005}, {'token': 'creole', 'score': 0.004}]","[{'token': 'spanish', 'score': 0.377}, {'token': 'portuguese', 'score': 0.251}, {'token': 'english', 'score': 0.081}, {'token': 'finnish', 'score': 0.042}, {'token': 'french', 'score': 0.025}, {'token': 'brazilian', 'score': 0.02}, {'token': 'basque', 'score': 0.018}, {'token': 'galician', 'score': 0.014}, {'token': 'colombian', 'score': 0.014}, {'token': 'non', 'score': 0.013}]","[{'token': 'spanish', 'score': 0.606}, {'token': 'portuguese', 'score': 0.208}, {'token': 'english', 'score': 0.036}, {'token': 'greek', 'score': 0.02}, {'token': 'french', 'score': 0.016}, {'token': 'brazilian', 'score': 0.013}, {'token': 'basque', 'score': 0.01}, {'token': 'catalan', 'score': 0.009}, {'token': 'galician', 'score': 0.008}, {'token': 'non', 'score': 0.007}]","[{'token': 'spanish', 'score': 0.759}, {'token': 'portuguese', 'score': 0.091}, {'token': 'english', 'score': 0.052}, {'token': 'french', 'score': 0.01}, {'token': 'mexican', 'score': 0.01}, {'token': 'italian', 'score': 0.007}, {'token': 'basque', 'score': 0.006}, {'token': 'brazilian', 'score': 0.006}, {'token': 'galician', 'score': 0.004}, {'token': 'native', 'score': 0.004}]"
4,french,"[{'token': 'french', 'score': 0.15}, {'token': 'english', 'score': 0.044}, {'token': 'also', 'score': 0.032}, {'token': 'see', 'score': 0.024}, {'token': 'aka', 'score': 0.019}, {'token': 'pronounced', 'score': 0.019}, {'token': 'originally', 'score': 0.018}, {'token': 'france', 'score': 0.016}, {'token': 'sometimes', 'score': 0.016}, {'token': 'now', 'score': 0.016}]","[{'token': 'french', 'score': 0.513}, {'token': 'british', 'score': 0.282}, {'token': 'canadian', 'score': 0.15}, {'token': 'australian', 'score': 0.006}, {'token': 'american', 'score': 0.004}, {'token': 'then', 'score': 0.004}, {'token': 'the', 'score': 0.003}, {'token': 'english', 'score': 0.003}, {'token': 'now', 'score': 0.003}, {'token': 'western', 'score': 0.002}]","[{'token': 'french', 'score': 0.971}, {'token': 'british', 'score': 0.014}, {'token': 'american', 'score': 0.001}, {'token': 'the', 'score': 0.001}, {'token': 'modern', 'score': 0.001}, {'token': 'australian', 'score': 0.001}, {'token': 'then', 'score': 0.001}, {'token': 'canadian', 'score': 0.001}, {'token': 'western', 'score': 0.0}, {'token': 'vanuatu', 'score': 0.0}]","[{'token': 'french', 'score': 0.959}, {'token': 'british', 'score': 0.018}, {'token': 'the', 'score': 0.006}, {'token': 'american', 'score': 0.001}, {'token': 'little', 'score': 0.001}, {'token': 'australian', 'score': 0.001}, {'token': 'western', 'score': 0.001}, {'token': 'canadian', 'score': 0.001}, {'token': 'papua', 'score': 0.0}, {'token': 'great', 'score': 0.0}]","[{'token': 'french', 'score': 0.922}, {'token': 'british', 'score': 0.034}, {'token': 'the', 'score': 0.003}, {'token': 'australian', 'score': 0.003}, {'token': 'american', 'score': 0.002}, {'token': 'then', 'score': 0.002}, {'token': 'great', 'score': 0.001}, {'token': 'modern', 'score': 0.001}, {'token': 'now', 'score': 0.001}, {'token': 'poly', 'score': 0.001}]"
5,finnish,"[{'token': 'finnish', 'score': 0.348}, {'token': 'swedish', 'score': 0.33}, {'token': 'danish', 'score': 0.11}, {'token': 'norwegian', 'score': 0.04}, {'token': 'icelandic', 'score': 0.04}, {'token': 'estonian', 'score': 0.015}, {'token': 'german', 'score': 0.014}, {'token': 'polish', 'score': 0.008}, {'token': 'russian', 'score': 0.008}, {'token': 'nordic', 'score': 0.008}]","[{'token': 'finnish', 'score': 0.626}, {'token': 'swedish', 'score': 0.215}, {'token': 'danish', 'score': 0.04}, {'token': 'norwegian', 'score': 0.036}, {'token': 'former', 'score': 0.017}, {'token': 'latvian', 'score': 0.01}, {'token': 'german', 'score': 0.006}, {'token': 'russian', 'score': 0.004}, {'token': 'female', 'score': 0.003}, {'token': 'young', 'score': 0.003}]",,"[{'token': 'finnish', 'score': 0.292}, {'token': 'swedish', 'score': 0.258}, {'token': 'danish', 'score': 0.087}, {'token': 'estonian', 'score': 0.084}, {'token': 'icelandic', 'score': 0.04}, {'token': 'norwegian', 'score': 0.034}, {'token': 'former', 'score': 0.017}, {'token': 'german', 'score': 0.013}, {'token': 'russian', 'score': 0.012}, {'token': 'the', 'score': 0.01}]","[{'token': 'finnish', 'score': 0.735}, {'token': 'finland', 'score': 0.022}, {'token': 'albanian', 'score': 0.021}, {'token': 'swedish', 'score': 0.02}, {'token': 'icelandic', 'score': 0.011}, {'token': 'estonian', 'score': 0.009}, {'token': 'danish', 'score': 0.008}, {'token': 'norwegian', 'score': 0.008}, {'token': 'french', 'score': 0.007}, {'token': 'kenyan', 'score': 0.007}]"
6,malay,"[{'token': 'english', 'score': 0.16}, {'token': 'indonesian', 'score': 0.074}, {'token': 'thai', 'score': 0.056}, {'token': 'malaysia', 'score': 0.049}, {'token': 'malay', 'score': 0.042}, {'token': 'chinese', 'score': 0.036}, {'token': 'indonesia', 'score': 0.029}, {'token': 'brunei', 'score': 0.023}, {'token': 'malaysian', 'score': 0.02}, {'token': 'french', 'score': 0.015}]",,,,
7,urdu,"[{'token': 'english', 'score': 0.203}, {'token': 'urdu', 'score': 0.192}, {'token': 'translation', 'score': 0.053}, {'token': 'arabic', 'score': 0.034}, {'token': 'hebrew', 'score': 0.026}, {'token': 'language', 'score': 0.024}, {'token': 'tamil', 'score': 0.023}, {'token': 'japanese', 'score': 0.016}, {'token': 'pinyin', 'score': 0.016}, {'token': 'hindi', 'score': 0.014}]",,,,
8,finnish,"[{'token': 'finnish', 'score': 0.23}, {'token': 'swedish', 'score': 0.176}, {'token': 'danish', 'score': 0.13}, {'token': 'german', 'score': 0.067}, {'token': 'norwegian', 'score': 0.064}, {'token': 'english', 'score': 0.041}, {'token': 'estonian', 'score': 0.024}, {'token': 'russian', 'score': 0.023}, {'token': 'french', 'score': 0.015}, {'token': 'finland', 'score': 0.014}]","[{'token': 'english', 'score': 0.192}, {'token': 'swedish', 'score': 0.073}, {'token': 'estonian', 'score': 0.07}, {'token': 'icelandic', 'score': 0.054}, {'token': 'german', 'score': 0.053}, {'token': 'russian', 'score': 0.05}, {'token': 'finnish', 'score': 0.044}, {'token': 'norwegian', 'score': 0.031}, {'token': 'arabic', 'score': 0.023}, {'token': 'french', 'score': 0.02}]","[{'token': 'baltic', 'score': 0.183}, {'token': 'north', 'score': 0.077}, {'token': 'mediterranean', 'score': 0.055}, {'token': 'arctic', 'score': 0.041}, {'token': 'aegean', 'score': 0.036}, {'token': 'west', 'score': 0.034}, {'token': 'east', 'score': 0.032}, {'token': 'atlantic', 'score': 0.03}, {'token': 'middle', 'score': 0.024}, {'token': 'south', 'score': 0.021}]","[{'token': 'english', 'score': 0.26}, {'token': 'german', 'score': 0.057}, {'token': 'estonian', 'score': 0.055}, {'token': 'russian', 'score': 0.049}, {'token': 'swedish', 'score': 0.041}, {'token': 'icelandic', 'score': 0.029}, {'token': 'arabic', 'score': 0.025}, {'token': 'finnish', 'score': 0.023}, {'token': 'french', 'score': 0.022}, {'token': 'chinese', 'score': 0.021}]","[{'token': ')', 'score': 0.114}, {'token': 'finland', 'score': 0.107}, {'token': 'english', 'score': 0.097}, {'token': 'finnish', 'score': 0.096}, {'token': 'sweden', 'score': 0.04}, {'token': 'french', 'score': 0.031}, {'token': 'germany', 'score': 0.025}, {'token': 'europe', 'score': 0.022}, {'token': 'russia', 'score': 0.019}, {'token': 'norway', 'score': 0.018}]"
9,french,"[{'token': 'english', 'score': 0.264}, {'token': 'spanish', 'score': 0.181}, {'token': 'french', 'score': 0.114}, {'token': 'german', 'score': 0.087}, {'token': 'afrikaans', 'score': 0.022}, {'token': 'russian', 'score': 0.018}, {'token': 'irish', 'score': 0.018}, {'token': 'british', 'score': 0.015}, {'token': 'hindi', 'score': 0.015}, {'token': 'arabic', 'score': 0.015}]","[{'token': 'french', 'score': 0.544}, {'token': 'spanish', 'score': 0.254}, {'token': 'german', 'score': 0.046}, {'token': 'english', 'score': 0.041}, {'token': 'portuguese', 'score': 0.011}, {'token': 'russian', 'score': 0.009}, {'token': 'welsh', 'score': 0.009}, {'token': 'swedish', 'score': 0.007}, {'token': 'british', 'score': 0.005}, {'token': 'dutch', 'score': 0.004}]","[{'token': 'french', 'score': 0.784}, {'token': 'spanish', 'score': 0.098}, {'token': 'english', 'score': 0.035}, {'token': 'german', 'score': 0.016}, {'token': 'creole', 'score': 0.009}, {'token': 'portuguese', 'score': 0.006}, {'token': 'afrikaans', 'score': 0.004}, {'token': 'catalan', 'score': 0.002}, {'token': 'welsh', 'score': 0.002}, {'token': 'dutch', 'score': 0.002}]","[{'token': 'french', 'score': 0.429}, {'token': 'spanish', 'score': 0.268}, {'token': 'english', 'score': 0.087}, {'token': 'canadian', 'score': 0.04}, {'token': 'german', 'score': 0.024}, {'token': 'gaelic', 'score': 0.016}, {'token': 'swedish', 'score': 0.014}, {'token': 'welsh', 'score': 0.011}, {'token': 'russian', 'score': 0.009}, {'token': 'british', 'score': 0.008}]","[{'token': 'french', 'score': 0.2}, {'token': 'russian', 'score': 0.114}, {'token': 'german', 'score': 0.079}, {'token': 'english', 'score': 0.076}, {'token': 'spanish', 'score': 0.059}, {'token': 'turkic', 'score': 0.056}, {'token': 'mongolian', 'score': 0.046}, {'token': 'chinese', 'score': 0.044}, {'token': 'vietnamese', 'score': 0.035}, {'token': 'hindi', 'score': 0.029}]"
