,answers,original,t5_0,t5_1,t5_2,t5_3
0,alexandra,"[{'token': 'sydney', 'score': 0.463}, {'token': 'melbourne', 'score': 0.184}, {'token': 'perth', 'score': 0.103}, {'token': 'adelaide', 'score': 0.051}, {'token': 'brisbane', 'score': 0.051}, {'token': 'canberra', 'score': 0.019}, {'token': 'victoria', 'score': 0.01}, {'token': 'queensland', 'score': 0.01}, {'token': 'auckland', 'score': 0.01}, {'token': 'darwin', 'score': 0.008}]","[{'token': 'france', 'score': 0.946}, {'token': 'canada', 'score': 0.018}, {'token': 'australia', 'score': 0.006}, {'token': 'europe', 'score': 0.003}, {'token': 'america', 'score': 0.002}, {'token': 'melbourne', 'score': 0.002}, {'token': 'asia', 'score': 0.002}, {'token': 'africa', 'score': 0.002}, {'token': 'world', 'score': 0.002}, {'token': 'china', 'score': 0.001}]","[{'token': 'france', 'score': 0.967}, {'token': 'canada', 'score': 0.009}, {'token': 'europe', 'score': 0.003}, {'token': 'america', 'score': 0.002}, {'token': 'china', 'score': 0.001}, {'token': 'spain', 'score': 0.001}, {'token': 'flanders', 'score': 0.001}, {'token': 'africa', 'score': 0.001}, {'token': 'world', 'score': 0.001}, {'token': 'quebec', 'score': 0.001}]","[{'token': 'france', 'score': 0.767}, {'token': 'asia', 'score': 0.047}, {'token': 'canada', 'score': 0.033}, {'token': 'china', 'score': 0.033}, {'token': 'japan', 'score': 0.024}, {'token': 'india', 'score': 0.015}, {'token': 'australia', 'score': 0.015}, {'token': 'africa', 'score': 0.009}, {'token': 'world', 'score': 0.007}, {'token': 'america', 'score': 0.004}]","[{'token': 'france', 'score': 0.967}, {'token': 'canada', 'score': 0.008}, {'token': 'europe', 'score': 0.003}, {'token': 'flanders', 'score': 0.002}, {'token': 'world', 'score': 0.001}, {'token': 'asia', 'score': 0.001}, {'token': 'spain', 'score': 0.001}, {'token': 'cycling', 'score': 0.001}, {'token': 'africa', 'score': 0.001}, {'token': 'orient', 'score': 0.001}]"
1,doncaster,"[{'token': 'home', 'score': 0.5}, {'token': 'own', 'score': 0.088}, {'token': 'oldham', 'score': 0.054}, {'token': 'labour', 'score': 0.019}, {'token': 'parliamentary', 'score': 0.016}, {'token': 'constituency', 'score': 0.015}, {'token': 'old', 'score': 0.012}, {'token': 'conservative', 'score': 0.011}, {'token': 'seat', 'score': 0.009}, {'token': 'lancashire', 'score': 0.008}]","[{'token': 'home', 'score': 0.523}, {'token': 'own', 'score': 0.033}, {'token': 'primary', 'score': 0.032}, {'token': 'congressional', 'score': 0.029}, {'token': 'first', 'score': 0.028}, {'token': 'republican', 'score': 0.018}, {'token': 'seat', 'score': 0.017}, {'token': 'electoral', 'score': 0.015}, {'token': 'house', 'score': 0.011}, {'token': 'senate', 'score': 0.011}]","[{'token': 'home', 'score': 0.338}, {'token': 'parliamentary', 'score': 0.105}, {'token': 'own', 'score': 0.098}, {'token': 'first', 'score': 0.029}, {'token': 'conservative', 'score': 0.016}, {'token': 'electoral', 'score': 0.015}, {'token': 'constituency', 'score': 0.012}, {'token': 'primary', 'score': 0.011}, {'token': 'old', 'score': 0.011}, {'token': 'seat', 'score': 0.01}]","[{'token': 'home', 'score': 0.444}, {'token': 'own', 'score': 0.072}, {'token': 'parliamentary', 'score': 0.035}, {'token': 'first', 'score': 0.023}, {'token': 'seat', 'score': 0.021}, {'token': 'westminster', 'score': 0.02}, {'token': 'electoral', 'score': 0.017}, {'token': 'belfast', 'score': 0.015}, {'token': 'primary', 'score': 0.012}, {'token': 'london', 'score': 0.011}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]"
2,scotland,"[{'token': 'australian', 'score': 0.186}, {'token': 'indian', 'score': 0.112}, {'token': 'indonesian', 'score': 0.082}, {'token': 'japanese', 'score': 0.048}, {'token': 'the', 'score': 0.047}, {'token': 'malaysian', 'score': 0.046}, {'token': 'american', 'score': 0.045}, {'token': 'english', 'score': 0.024}, {'token': 'british', 'score': 0.019}, {'token': 'nigerian', 'score': 0.018}]","[{'token': 'norway', 'score': 0.212}, {'token': 'oslo', 'score': 0.165}, {'token': 'sweden', 'score': 0.057}, {'token': 'germany', 'score': 0.036}, {'token': 'denmark', 'score': 0.028}, {'token': 'iceland', 'score': 0.019}, {'token': 'copenhagen', 'score': 0.018}, {'token': 'amsterdam', 'score': 0.018}, {'token': 'switzerland', 'score': 0.018}, {'token': 'trondheim', 'score': 0.015}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': 'poland', 'score': 0.483}, {'token': 'warsaw', 'score': 0.052}, {'token': 'germany', 'score': 0.037}, {'token': 'krakow', 'score': 0.026}, {'token': 'lithuania', 'score': 0.026}, {'token': 'hungary', 'score': 0.017}, {'token': 'sweden', 'score': 0.014}, {'token': 'austria', 'score': 0.012}, {'token': 'berlin', 'score': 0.011}, {'token': 'prague', 'score': 0.011}]","[{'token': 'australia', 'score': 0.194}, {'token': 'ireland', 'score': 0.032}, {'token': 'canada', 'score': 0.028}, {'token': 'sydney', 'score': 0.022}, {'token': 'london', 'score': 0.02}, {'token': 'france', 'score': 0.018}, {'token': 'sweden', 'score': 0.018}, {'token': 'scotland', 'score': 0.018}, {'token': 'uk', 'score': 0.017}, {'token': 'liverpool', 'score': 0.015}]"
3,toronto,"[{'token': 'jamaica', 'score': 0.683}, {'token': 'america', 'score': 0.089}, {'token': 'canada', 'score': 0.058}, {'token': 'cuba', 'score': 0.013}, {'token': 'today', 'score': 0.011}, {'token': 'haiti', 'score': 0.009}, {'token': 'australia', 'score': 0.008}, {'token': 'europe', 'score': 0.007}, {'token': 'history', 'score': 0.006}, {'token': 'kingston', 'score': 0.006}]","[{'token': 'poland', 'score': 0.924}, {'token': 'warsaw', 'score': 0.038}, {'token': 'krakow', 'score': 0.01}, {'token': 'europe', 'score': 0.004}, {'token': 'łodz', 'score': 0.004}, {'token': 'czechoslovakia', 'score': 0.002}, {'token': 'germany', 'score': 0.001}, {'token': 'america', 'score': 0.001}, {'token': 'hungary', 'score': 0.001}, {'token': 'prague', 'score': 0.001}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': 'uruguay', 'score': 0.556}, {'token': 'montevideo', 'score': 0.209}, {'token': 'argentina', 'score': 0.07}, {'token': 'cuba', 'score': 0.023}, {'token': 'brazil', 'score': 0.018}, {'token': 'venezuela', 'score': 0.015}, {'token': 'mexico', 'score': 0.01}, {'token': 'paraguay', 'score': 0.009}, {'token': 'europe', 'score': 0.008}, {'token': 'bolivia', 'score': 0.008}]","[{'token': 'greece', 'score': 0.402}, {'token': 'athens', 'score': 0.088}, {'token': 'australia', 'score': 0.036}, {'token': 'sydney', 'score': 0.033}, {'token': 'america', 'score': 0.018}, {'token': 'scotland', 'score': 0.015}, {'token': 'europe', 'score': 0.014}, {'token': 'london', 'score': 0.013}, {'token': 'today', 'score': 0.013}, {'token': 'ireland', 'score': 0.013}]"
4,vienna,"[{'token': 'vienna', 'score': 0.312}, {'token': 'berlin', 'score': 0.11}, {'token': 'austria', 'score': 0.055}, {'token': 'salzburg', 'score': 0.046}, {'token': 'london', 'score': 0.038}, {'token': 'munich', 'score': 0.031}, {'token': 'germany', 'score': 0.028}, {'token': 'copenhagen', 'score': 0.021}, {'token': 'innsbruck', 'score': 0.021}, {'token': 'amsterdam', 'score': 0.012}]","[{'token': 'kota', 'score': 0.283}, {'token': 'vienna', 'score': 0.086}, {'token': 'copenhagen', 'score': 0.016}, {'token': 'austria', 'score': 0.012}, {'token': 'baku', 'score': 0.012}, {'token': 'nepal', 'score': 0.011}, {'token': 'budapest', 'score': 0.009}, {'token': 'kathmandu', 'score': 0.009}, {'token': 'tokyo', 'score': 0.008}, {'token': 'denmark', 'score': 0.008}]","[{'token': 'vienna', 'score': 0.202}, {'token': 'berlin', 'score': 0.118}, {'token': 'salzburg', 'score': 0.053}, {'token': 'munich', 'score': 0.042}, {'token': 'athens', 'score': 0.03}, {'token': 'rome', 'score': 0.03}, {'token': 'austria', 'score': 0.028}, {'token': 'paris', 'score': 0.023}, {'token': 'london', 'score': 0.02}, {'token': 'copenhagen', 'score': 0.02}]","[{'token': 'vienna', 'score': 0.223}, {'token': 'warsaw', 'score': 0.131}, {'token': 'berlin', 'score': 0.112}, {'token': 'krakow', 'score': 0.074}, {'token': 'poland', 'score': 0.059}, {'token': 'austria', 'score': 0.041}, {'token': 'prague', 'score': 0.037}, {'token': 'dresden', 'score': 0.025}, {'token': 'germany', 'score': 0.021}, {'token': 'poznan', 'score': 0.013}]","[{'token': 'vienna', 'score': 0.142}, {'token': 'berlin', 'score': 0.109}, {'token': 'athens', 'score': 0.068}, {'token': 'salzburg', 'score': 0.049}, {'token': 'munich', 'score': 0.032}, {'token': 'rome', 'score': 0.028}, {'token': 'paris', 'score': 0.026}, {'token': 'austria', 'score': 0.022}, {'token': 'germany', 'score': 0.019}, {'token': 'london', 'score': 0.019}]"
5,paris,"[{'token': 'sydney', 'score': 0.417}, {'token': 'paris', 'score': 0.139}, {'token': 'london', 'score': 0.065}, {'token': 'melbourne', 'score': 0.027}, {'token': 'amsterdam', 'score': 0.023}, {'token': 'rome', 'score': 0.012}, {'token': 'adelaide', 'score': 0.011}, {'token': 'canberra', 'score': 0.009}, {'token': 'brussels', 'score': 0.009}, {'token': 'edinburgh', 'score': 0.008}]","[{'token': 'montevideo', 'score': 0.752}, {'token': 'uruguay', 'score': 0.047}, {'token': 'paris', 'score': 0.01}, {'token': 'havana', 'score': 0.009}, {'token': 'montreal', 'score': 0.008}, {'token': 'argentina', 'score': 0.007}, {'token': 'lisbon', 'score': 0.005}, {'token': 'madrid', 'score': 0.005}, {'token': 'chicago', 'score': 0.005}, {'token': 'brazil', 'score': 0.004}]","[{'token': 'clinton', 'score': 0.106}, {'token': 'paris', 'score': 0.048}, {'token': 'washington', 'score': 0.046}, {'token': 'chicago', 'score': 0.03}, {'token': 'miami', 'score': 0.02}, {'token': 'london', 'score': 0.019}, {'token': 'philadelphia', 'score': 0.019}, {'token': 'madison', 'score': 0.017}, {'token': 'boston', 'score': 0.016}, {'token': 'cleveland', 'score': 0.015}]","[{'token': 'jamaican', 'score': 0.34}, {'token': 'jamaica', 'score': 0.151}, {'token': 'french', 'score': 0.057}, {'token': 'martinique', 'score': 0.054}, {'token': 'the', 'score': 0.053}, {'token': 'trinidad', 'score': 0.025}, {'token': 'his', 'score': 0.025}, {'token': 'barbados', 'score': 0.024}, {'token': 'american', 'score': 0.013}, {'token': 'english', 'score': 0.012}]","[{'token': 'there', 'score': 0.339}, {'token': 'here', 'score': 0.155}, {'token': 'paris', 'score': 0.11}, {'token': ',', 'score': 0.019}, {'token': 'washington', 'score': 0.014}, {'token': 'briefly', 'score': 0.012}, {'token': 'early', 'score': 0.011}, {'token': 'born', 'score': 0.01}, {'token': 'rochester', 'score': 0.007}, {'token': 'in', 'score': 0.006}]"
6,yokohama,"[{'token': 'oldham', 'score': 0.051}, {'token': 'tokyo', 'score': 0.05}, {'token': 'london', 'score': 0.047}, {'token': 'osaka', 'score': 0.023}, {'token': 'wigan', 'score': 0.021}, {'token': 'auckland', 'score': 0.019}, {'token': 'oslo', 'score': 0.015}, {'token': 'nagoya', 'score': 0.015}, {'token': 'glasgow', 'score': 0.014}, {'token': 'manchester', 'score': 0.013}]","[{'token': 'montevideo', 'score': 0.51}, {'token': 'uruguay', 'score': 0.105}, {'token': 'argentina', 'score': 0.026}, {'token': 'lima', 'score': 0.02}, {'token': 'japan', 'score': 0.015}, {'token': 'brazil', 'score': 0.014}, {'token': 'tokyo', 'score': 0.011}, {'token': 'havana', 'score': 0.009}, {'token': 'chicago', 'score': 0.009}, {'token': 'cuba', 'score': 0.008}]","[{'token': 'oldham', 'score': 0.31}, {'token': 'london', 'score': 0.03}, {'token': 'wigan', 'score': 0.027}, {'token': 'glasgow', 'score': 0.021}, {'token': 'nottingham', 'score': 0.019}, {'token': 'manchester', 'score': 0.018}, {'token': 'liverpool', 'score': 0.014}, {'token': 'birmingham', 'score': 0.013}, {'token': 'leeds', 'score': 0.011}, {'token': 'burnley', 'score': 0.011}]","[{'token': 'kota', 'score': 0.268}, {'token': 'tokyo', 'score': 0.138}, {'token': 'japan', 'score': 0.049}, {'token': 'osaka', 'score': 0.024}, {'token': 'chiba', 'score': 0.022}, {'token': 'fukuoka', 'score': 0.022}, {'token': 'kochi', 'score': 0.02}, {'token': 'kyoto', 'score': 0.017}, {'token': 'jakarta', 'score': 0.014}, {'token': 'hawaii', 'score': 0.011}]","[{'token': 'oldham', 'score': 0.163}, {'token': 'tokyo', 'score': 0.035}, {'token': 'london', 'score': 0.035}, {'token': 'wigan', 'score': 0.029}, {'token': 'japan', 'score': 0.025}, {'token': 'england', 'score': 0.019}, {'token': 'nagoya', 'score': 0.019}, {'token': 'osaka', 'score': 0.019}, {'token': 'auckland', 'score': 0.018}, {'token': 'glasgow', 'score': 0.014}]"
7,antwerp,"[{'token': 'elizabeth', 'score': 0.01}, {'token': '14', 'score': 0.01}, {'token': '2', 'score': 0.008}, {'token': '15', 'score': 0.008}, {'token': '1', 'score': 0.007}, {'token': '3', 'score': 0.007}, {'token': '18', 'score': 0.007}, {'token': '16', 'score': 0.007}, {'token': '4', 'score': 0.007}, {'token': '6', 'score': 0.006}]","[{'token': 'england', 'score': 0.356}, {'token': 'australia', 'score': 0.178}, {'token': 'holland', 'score': 0.065}, {'token': 'france', 'score': 0.041}, {'token': 'sydney', 'score': 0.03}, {'token': 'scotland', 'score': 0.025}, {'token': 'london', 'score': 0.022}, {'token': 'wales', 'score': 0.019}, {'token': 'rome', 'score': 0.015}, {'token': 'germany', 'score': 0.013}]","[{'token': 'england', 'score': 0.345}, {'token': 'france', 'score': 0.084}, {'token': 'holland', 'score': 0.075}, {'token': 'australia', 'score': 0.068}, {'token': 'london', 'score': 0.024}, {'token': 'spain', 'score': 0.021}, {'token': 'scotland', 'score': 0.021}, {'token': 'germany', 'score': 0.02}, {'token': 'rome', 'score': 0.02}, {'token': 'flanders', 'score': 0.016}]","[{'token': 'helsinki', 'score': 0.254}, {'token': 'stockholm', 'score': 0.093}, {'token': 'finland', 'score': 0.058}, {'token': 'sweden', 'score': 0.034}, {'token': 'copenhagen', 'score': 0.019}, {'token': 'venice', 'score': 0.018}, {'token': 'strasbourg', 'score': 0.017}, {'token': 'uppsala', 'score': 0.01}, {'token': 'utrecht', 'score': 0.01}, {'token': 'amsterdam', 'score': 0.009}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]"
8,barcelona,"[{'token': 'calcutta', 'score': 0.103}, {'token': 'delhi', 'score': 0.051}, {'token': 'london', 'score': 0.047}, {'token': 'bombay', 'score': 0.04}, {'token': 'india', 'score': 0.032}, {'token': 'paris', 'score': 0.026}, {'token': 'madrid', 'score': 0.023}, {'token': 'madras', 'score': 0.017}, {'token': 'moscow', 'score': 0.015}, {'token': 'spain', 'score': 0.014}]","[{'token': 'barcelona', 'score': 0.053}, {'token': '1936', 'score': 0.05}, {'token': '1937', 'score': 0.026}, {'token': 'madrid', 'score': 0.025}, {'token': '1938', 'score': 0.019}, {'token': '1913', 'score': 0.014}, {'token': '1914', 'score': 0.014}, {'token': '1935', 'score': 0.014}, {'token': '1919', 'score': 0.013}, {'token': '1912', 'score': 0.013}]","[{'token': 'india', 'score': 0.939}, {'token': 'maharashtra', 'score': 0.03}, {'token': 'bombay', 'score': 0.005}, {'token': 'mumbai', 'score': 0.004}, {'token': 'england', 'score': 0.004}, {'token': 'pakistan', 'score': 0.002}, {'token': 'rajasthan', 'score': 0.001}, {'token': 'goa', 'score': 0.001}, {'token': 'kenya', 'score': 0.001}, {'token': 'gujarat', 'score': 0.001}]","[{'token': 'days', 'score': 0.232}, {'token': 'time', 'score': 0.112}, {'token': 'india', 'score': 0.054}, {'token': 'london', 'score': 0.035}, {'token': 'months', 'score': 0.034}, {'token': 'years', 'score': 0.026}, {'token': 'weeks', 'score': 0.026}, {'token': 'just', 'score': 0.022}, {'token': 'hours', 'score': 0.021}, {'token': 'shortly', 'score': 0.019}]","[{'token': 'jamaica', 'score': 0.794}, {'token': 'trinidad', 'score': 0.041}, {'token': 'cuba', 'score': 0.027}, {'token': 'spain', 'score': 0.022}, {'token': 'kingston', 'score': 0.011}, {'token': 'barbados', 'score': 0.01}, {'token': 'england', 'score': 0.007}, {'token': 'haiti', 'score': 0.006}, {'token': 'mexico', 'score': 0.005}, {'token': 'havana', 'score': 0.004}]"
9,rome,"[{'token': 'oslo', 'score': 0.105}, {'token': 'rome', 'score': 0.048}, {'token': 'milan', 'score': 0.045}, {'token': 'bologna', 'score': 0.044}, {'token': 'stockholm', 'score': 0.032}, {'token': 'verona', 'score': 0.031}, {'token': 'turin', 'score': 0.028}, {'token': 'copenhagen', 'score': 0.027}, {'token': 'vienna', 'score': 0.025}, {'token': 'paris', 'score': 0.023}]","[{'token': 'athens', 'score': 0.457}, {'token': 'rome', 'score': 0.134}, {'token': 'greece', 'score': 0.053}, {'token': 'thessaloniki', 'score': 0.044}, {'token': 'milan', 'score': 0.032}, {'token': 'italy', 'score': 0.016}, {'token': 'crete', 'score': 0.014}, {'token': 'paris', 'score': 0.013}, {'token': 'cyprus', 'score': 0.009}, {'token': 'verona', 'score': 0.009}]","[{'token': 'montevideo', 'score': 0.631}, {'token': 'uruguay', 'score': 0.071}, {'token': 'argentina', 'score': 0.017}, {'token': 'rome', 'score': 0.013}, {'token': 'caracas', 'score': 0.009}, {'token': 'madrid', 'score': 0.009}, {'token': 'lima', 'score': 0.008}, {'token': 'havana', 'score': 0.008}, {'token': 'lisbon', 'score': 0.008}, {'token': 'brazil', 'score': 0.008}]","[{'token': 'warsaw', 'score': 0.522}, {'token': 'krakow', 'score': 0.108}, {'token': 'poland', 'score': 0.066}, {'token': 'poznan', 'score': 0.035}, {'token': 'łodz', 'score': 0.028}, {'token': 'rome', 'score': 0.019}, {'token': 'prague', 'score': 0.018}, {'token': 'gdansk', 'score': 0.011}, {'token': 'italy', 'score': 0.009}, {'token': 'lublin', 'score': 0.008}]","[{'token': 'kota', 'score': 0.516}, {'token': 'colombo', 'score': 0.016}, {'token': 'tokyo', 'score': 0.016}, {'token': 'kochi', 'score': 0.011}, {'token': 'bangalore', 'score': 0.01}, {'token': 'milan', 'score': 0.01}, {'token': 'jakarta', 'score': 0.008}, {'token': 'chennai', 'score': 0.008}, {'token': 'parma', 'score': 0.008}, {'token': 'japan', 'score': 0.007}]"
