,answers,original,t5_0,t5_1,t5_2,t5_3
0,brazil,"[{'token': 'spain', 'score': 0.3}, {'token': 'germany', 'score': 0.142}, {'token': 'italy', 'score': 0.093}, {'token': 'france', 'score': 0.065}, {'token': 'argentina', 'score': 0.064}, {'token': 'brazil', 'score': 0.053}, {'token': 'poland', 'score': 0.047}, {'token': 'switzerland', 'score': 0.022}, {'token': 'mexico', 'score': 0.021}, {'token': 'austria', 'score': 0.018}]","[{'token': 'spain', 'score': 0.211}, {'token': 'argentina', 'score': 0.154}, {'token': 'brazil', 'score': 0.102}, {'token': 'france', 'score': 0.056}, {'token': 'mexico', 'score': 0.051}, {'token': 'italy', 'score': 0.047}, {'token': 'monaco', 'score': 0.031}, {'token': 'australia', 'score': 0.03}, {'token': 'india', 'score': 0.022}, {'token': 'switzerland', 'score': 0.022}]","[{'token': 'spain', 'score': 0.283}, {'token': 'italy', 'score': 0.101}, {'token': 'france', 'score': 0.07}, {'token': 'brazil', 'score': 0.06}, {'token': 'germany', 'score': 0.052}, {'token': 'argentina', 'score': 0.051}, {'token': 'portugal', 'score': 0.043}, {'token': 'switzerland', 'score': 0.043}, {'token': 'denmark', 'score': 0.03}, {'token': 'belgium', 'score': 0.026}]","[{'token': 'spain', 'score': 0.084}, {'token': 'poland', 'score': 0.071}, {'token': 'germany', 'score': 0.069}, {'token': 'france', 'score': 0.055}, {'token': 'italy', 'score': 0.052}, {'token': 'argentina', 'score': 0.048}, {'token': 'brazil', 'score': 0.042}, {'token': 'switzerland', 'score': 0.039}, {'token': 'monaco', 'score': 0.026}, {'token': 'austria', 'score': 0.022}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]"
1,france,"[{'token': 'french', 'score': 0.579}, {'token': 'polish', 'score': 0.109}, {'token': 'belgian', 'score': 0.035}, {'token': 'canadian', 'score': 0.031}, {'token': 'german', 'score': 0.029}, {'token': 'swiss', 'score': 0.023}, {'token': 'swedish', 'score': 0.022}, {'token': 'russian', 'score': 0.021}, {'token': 'dutch', 'score': 0.012}, {'token': 'british', 'score': 0.011}]","[{'token': 'the', 'score': 0.563}, {'token': 'her', 'score': 0.168}, {'token': 'his', 'score': 0.074}, {'token': 'its', 'score': 0.054}, {'token': 'a', 'score': 0.02}, {'token': 'their', 'score': 0.009}, {'token': 'principal', 'score': 0.008}, {'token': 'first', 'score': 0.008}, {'token': 'assistant', 'score': 0.006}, {'token': 'another', 'score': 0.006}]","[{'token': 'poland', 'score': 0.679}, {'token': 'warsaw', 'score': 0.141}, {'token': 'krakow', 'score': 0.051}, {'token': 'prague', 'score': 0.008}, {'token': 'germany', 'score': 0.008}, {'token': 'poznan', 'score': 0.007}, {'token': 'berlin', 'score': 0.005}, {'token': 'gdansk', 'score': 0.004}, {'token': 'russia', 'score': 0.004}, {'token': 'austria', 'score': 0.004}]","[{'token': 'india', 'score': 0.093}, {'token': 'paris', 'score': 0.082}, {'token': 'france', 'score': 0.065}, {'token': 'montreal', 'score': 0.028}, {'token': 'london', 'score': 0.02}, {'token': 'calcutta', 'score': 0.016}, {'token': 'quebec', 'score': 0.016}, {'token': 'mumbai', 'score': 0.014}, {'token': 'mauritius', 'score': 0.014}, {'token': 'canada', 'score': 0.014}]","[{'token': 'argentina', 'score': 0.434}, {'token': 'france', 'score': 0.057}, {'token': 'paris', 'score': 0.035}, {'token': 'spain', 'score': 0.028}, {'token': 'italy', 'score': 0.021}, {'token': 'chile', 'score': 0.016}, {'token': 'switzerland', 'score': 0.013}, {'token': 'brazil', 'score': 0.013}, {'token': 'mexico', 'score': 0.012}, {'token': 'uruguay', 'score': 0.012}]"
2,estonia,"[{'token': 'swedish', 'score': 0.268}, {'token': 'norwegian', 'score': 0.171}, {'token': 'danish', 'score': 0.155}, {'token': 'german', 'score': 0.102}, {'token': 'estonian', 'score': 0.092}, {'token': 'finnish', 'score': 0.031}, {'token': 'latvian', 'score': 0.016}, {'token': 'dutch', 'score': 0.012}, {'token': 'french', 'score': 0.011}, {'token': 'polish', 'score': 0.011}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': 'estonia', 'score': 0.12}, {'token': 'sweden', 'score': 0.098}, {'token': 'israel', 'score': 0.06}, {'token': 'norway', 'score': 0.044}, {'token': 'germany', 'score': 0.037}, {'token': 'romania', 'score': 0.033}, {'token': 'italy', 'score': 0.032}, {'token': 'france', 'score': 0.027}, {'token': 'tunisia', 'score': 0.026}, {'token': 'denmark', 'score': 0.023}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]"
3,denmark,"[{'token': 'denmark', 'score': 0.491}, {'token': 'sweden', 'score': 0.152}, {'token': 'norway', 'score': 0.034}, {'token': 'liechtenstein', 'score': 0.027}, {'token': 'austria', 'score': 0.024}, {'token': 'france', 'score': 0.018}, {'token': 'copenhagen', 'score': 0.015}, {'token': 'estonia', 'score': 0.011}, {'token': 'saxony', 'score': 0.009}, {'token': 'germany', 'score': 0.009}]","[{'token': 'denmark', 'score': 0.523}, {'token': 'sweden', 'score': 0.09}, {'token': 'norway', 'score': 0.05}, {'token': 'finland', 'score': 0.049}, {'token': 'copenhagen', 'score': 0.042}, {'token': 'japan', 'score': 0.03}, {'token': 'estonia', 'score': 0.029}, {'token': 'lithuania', 'score': 0.01}, {'token': 'liechtenstein', 'score': 0.008}, {'token': 'austria', 'score': 0.007}]","[{'token': 'denmark', 'score': 0.565}, {'token': 'sweden', 'score': 0.248}, {'token': 'norway', 'score': 0.043}, {'token': 'danish', 'score': 0.032}, {'token': 'copenhagen', 'score': 0.022}, {'token': 'finland', 'score': 0.011}, {'token': 'swedish', 'score': 0.01}, {'token': 'estonia', 'score': 0.006}, {'token': 'iceland', 'score': 0.005}, {'token': 'stockholm', 'score': 0.003}]","[{'token': 'denmark', 'score': 0.202}, {'token': 'sweden', 'score': 0.178}, {'token': 'poland', 'score': 0.114}, {'token': 'lithuania', 'score': 0.091}, {'token': 'norway', 'score': 0.064}, {'token': 'austria', 'score': 0.045}, {'token': 'estonia', 'score': 0.045}, {'token': 'liechtenstein', 'score': 0.038}, {'token': 'latvia', 'score': 0.023}, {'token': 'hungary', 'score': 0.021}]","[{'token': 'denmark', 'score': 0.702}, {'token': 'sweden', 'score': 0.108}, {'token': 'norway', 'score': 0.08}, {'token': 'finland', 'score': 0.013}, {'token': 'copenhagen', 'score': 0.01}, {'token': 'estonia', 'score': 0.008}, {'token': 'danes', 'score': 0.006}, {'token': 'germany', 'score': 0.004}, {'token': 'liechtenstein', 'score': 0.004}, {'token': 'austria', 'score': 0.004}]"
4,denmark,"[{'token': 'pakistani', 'score': 0.06}, {'token': 'gujarati', 'score': 0.059}, {'token': 'bengali', 'score': 0.052}, {'token': 'music', 'score': 0.044}, {'token': 'marathi', 'score': 0.032}, {'token': 'renowned', 'score': 0.031}, {'token': 'bangladeshi', 'score': 0.03}, {'token': 'punjabi', 'score': 0.028}, {'token': 'british', 'score': 0.025}, {'token': 'famous', 'score': 0.024}]","[{'token': 'tunisia', 'score': 0.056}, {'token': 'morocco', 'score': 0.037}, {'token': 'egypt', 'score': 0.027}, {'token': 'israel', 'score': 0.026}, {'token': 'iran', 'score': 0.016}, {'token': 'africa', 'score': 0.012}, {'token': 'kenya', 'score': 0.012}, {'token': 'ghana', 'score': 0.01}, {'token': 'ethiopia', 'score': 0.009}, {'token': 'tanzania', 'score': 0.009}]","[{'token': 'argentina', 'score': 0.282}, {'token': 'chile', 'score': 0.047}, {'token': 'brazil', 'score': 0.028}, {'token': 'spain', 'score': 0.025}, {'token': 'uruguay', 'score': 0.021}, {'token': 'sweden', 'score': 0.019}, {'token': 'mexico', 'score': 0.014}, {'token': 'germany', 'score': 0.014}, {'token': 'australia', 'score': 0.013}, {'token': 'italy', 'score': 0.012}]","[{'token': 'argentina', 'score': 0.423}, {'token': 'chile', 'score': 0.045}, {'token': 'brazil', 'score': 0.023}, {'token': 'spain', 'score': 0.021}, {'token': 'madrid', 'score': 0.016}, {'token': 'rome', 'score': 0.015}, {'token': 'paris', 'score': 0.012}, {'token': 'mexico', 'score': 0.011}, {'token': 'montevideo', 'score': 0.01}, {'token': 'cordoba', 'score': 0.009}]","[{'token': 'india', 'score': 0.405}, {'token': 'pakistan', 'score': 0.049}, {'token': 'kerala', 'score': 0.04}, {'token': 'delhi', 'score': 0.031}, {'token': 'nepal', 'score': 0.027}, {'token': 'mumbai', 'score': 0.02}, {'token': 'bangladesh', 'score': 0.018}, {'token': 'karnataka', 'score': 0.015}, {'token': 'gujarat', 'score': 0.015}, {'token': 'bangalore', 'score': 0.014}]"
5,sweden,"[{'token': 'swedish', 'score': 0.641}, {'token': 'norwegian', 'score': 0.174}, {'token': 'finnish', 'score': 0.059}, {'token': 'danish', 'score': 0.057}, {'token': 'german', 'score': 0.012}, {'token': 'czech', 'score': 0.008}, {'token': 'dutch', 'score': 0.005}, {'token': 'latvian', 'score': 0.003}, {'token': 'russian', 'score': 0.003}, {'token': 'british', 'score': 0.003}]","[{'token': 'sweden', 'score': 0.419}, {'token': 'stockholm', 'score': 0.098}, {'token': 'norway', 'score': 0.057}, {'token': 'denmark', 'score': 0.049}, {'token': 'germany', 'score': 0.034}, {'token': 'finland', 'score': 0.022}, {'token': 'switzerland', 'score': 0.02}, {'token': 'tunisia', 'score': 0.017}, {'token': 'austria', 'score': 0.017}, {'token': 'liechtenstein', 'score': 0.016}]","[{'token': 'sweden', 'score': 0.242}, {'token': 'poland', 'score': 0.169}, {'token': 'stockholm', 'score': 0.131}, {'token': 'warsaw', 'score': 0.042}, {'token': 'norway', 'score': 0.032}, {'token': 'denmark', 'score': 0.023}, {'token': 'krakow', 'score': 0.023}, {'token': 'germany', 'score': 0.017}, {'token': 'finland', 'score': 0.015}, {'token': 'austria', 'score': 0.012}]","[{'token': 'sweden', 'score': 0.195}, {'token': 'india', 'score': 0.125}, {'token': 'norway', 'score': 0.094}, {'token': 'stockholm', 'score': 0.076}, {'token': 'germany', 'score': 0.057}, {'token': 'england', 'score': 0.053}, {'token': 'denmark', 'score': 0.04}, {'token': 'finland', 'score': 0.022}, {'token': 'switzerland', 'score': 0.021}, {'token': 'london', 'score': 0.017}]","[{'token': 'india', 'score': 0.317}, {'token': 'delhi', 'score': 0.057}, {'token': 'nepal', 'score': 0.039}, {'token': 'kerala', 'score': 0.038}, {'token': 'mumbai', 'score': 0.027}, {'token': 'bangalore', 'score': 0.026}, {'token': 'calcutta', 'score': 0.026}, {'token': 'pakistan', 'score': 0.024}, {'token': 'bombay', 'score': 0.02}, {'token': 'kolkata', 'score': 0.017}]"
6,india,"[{'token': 'india', 'score': 0.799}, {'token': 'bangladesh', 'score': 0.05}, {'token': 'pakistan', 'score': 0.024}, {'token': 'burma', 'score': 0.007}, {'token': 'respectively', 'score': 0.005}, {'token': 'bengal', 'score': 0.004}, {'token': 'etc', 'score': 0.004}, {'token': 'odisha', 'score': 0.003}, {'token': 'nepal', 'score': 0.003}, {'token': '1971', 'score': 0.003}]","[{'token': 'india', 'score': 0.48}, {'token': 'bengal', 'score': 0.052}, {'token': 'bangladesh', 'score': 0.05}, {'token': 'nepal', 'score': 0.047}, {'token': 'bihar', 'score': 0.022}, {'token': 'assam', 'score': 0.019}, {'token': 'calcutta', 'score': 0.019}, {'token': 'delhi', 'score': 0.013}, {'token': 'maharashtra', 'score': 0.011}, {'token': '1947', 'score': 0.01}]","[{'token': 'india', 'score': 0.332}, {'token': 'he', 'score': 0.18}, {'token': 'who', 'score': 0.063}, {'token': 'assam', 'score': 0.037}, {'token': 'there', 'score': 0.033}, {'token': 'it', 'score': 0.022}, {'token': 'this', 'score': 0.022}, {'token': 'maharashtra', 'score': 0.02}, {'token': 'then', 'score': 0.018}, {'token': 'gujarat', 'score': 0.015}]","[{'token': 'india', 'score': 0.58}, {'token': 'bangladesh', 'score': 0.041}, {'token': 'pakistan', 'score': 0.026}, {'token': 'respectively', 'score': 0.023}, {'token': 'etc', 'score': 0.018}, {'token': 'burma', 'score': 0.008}, {'token': 'bengal', 'score': 0.008}, {'token': '1962', 'score': 0.007}, {'token': 'maharashtra', 'score': 0.007}, {'token': '1937', 'score': 0.006}]","[{'token': 'india', 'score': 0.336}, {'token': 'bangladesh', 'score': 0.08}, {'token': 'state', 'score': 0.048}, {'token': 'nepal', 'score': 0.048}, {'token': 'bihar', 'score': 0.026}, {'token': 'health', 'score': 0.024}, {'token': 'government', 'score': 0.023}, {'token': 'assam', 'score': 0.023}, {'token': 'education', 'score': 0.023}, {'token': 'pakistan', 'score': 0.021}]"
7,japan,"[{'token': 'argentina', 'score': 0.244}, {'token': 'japan', 'score': 0.082}, {'token': 'brazil', 'score': 0.058}, {'token': 'india', 'score': 0.035}, {'token': 'china', 'score': 0.028}, {'token': 'taiwan', 'score': 0.026}, {'token': 'mexico', 'score': 0.022}, {'token': 'peru', 'score': 0.021}, {'token': 'indonesia', 'score': 0.02}, {'token': 'sweden', 'score': 0.019}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': 'poland', 'score': 0.383}, {'token': 'warsaw', 'score': 0.263}, {'token': 'krakow', 'score': 0.107}, {'token': 'lithuania', 'score': 0.02}, {'token': 'poznan', 'score': 0.015}, {'token': 'gdansk', 'score': 0.012}, {'token': 'vilnius', 'score': 0.009}, {'token': 'japan', 'score': 0.008}, {'token': 'germany', 'score': 0.007}, {'token': 'moscow', 'score': 0.007}]"
8,canada,"[{'token': 'argentina', 'score': 0.551}, {'token': 'america', 'score': 0.087}, {'token': 'chile', 'score': 0.026}, {'token': 'canada', 'score': 0.024}, {'token': 'australia', 'score': 0.014}, {'token': 'california', 'score': 0.012}, {'token': 'washington', 'score': 0.011}, {'token': 'europe', 'score': 0.011}, {'token': 'texas', 'score': 0.007}, {'token': '1973', 'score': 0.007}]","[{'token': 'sweden', 'score': 0.615}, {'token': 'canada', 'score': 0.084}, {'token': 'norway', 'score': 0.047}, {'token': 'stockholm', 'score': 0.021}, {'token': 'denmark', 'score': 0.017}, {'token': 'europe', 'score': 0.013}, {'token': 'finland', 'score': 0.01}, {'token': 'america', 'score': 0.007}, {'token': 'britain', 'score': 0.007}, {'token': 'england', 'score': 0.006}]","[{'token': 'he', 'score': 0.269}, {'token': 'poland', 'score': 0.194}, {'token': 'canada', 'score': 0.131}, {'token': 'britain', 'score': 0.033}, {'token': 'congress', 'score': 0.015}, {'token': 'ontario', 'score': 0.013}, {'token': 'parliament', 'score': 0.011}, {'token': 'norway', 'score': 0.01}, {'token': 'she', 'score': 0.01}, {'token': 'england', 'score': 0.01}]","[{'token': '1971', 'score': 0.049}, {'token': '1972', 'score': 0.045}, {'token': '1964', 'score': 0.039}, {'token': '1965', 'score': 0.039}, {'token': '1973', 'score': 0.034}, {'token': '1974', 'score': 0.031}, {'token': '1961', 'score': 0.027}, {'token': '1970', 'score': 0.025}, {'token': '1966', 'score': 0.024}, {'token': '1968', 'score': 0.021}]","[{'token': 'canada', 'score': 0.42}, {'token': 'poland', 'score': 0.227}, {'token': 'america', 'score': 0.085}, {'token': 'britain', 'score': 0.039}, {'token': 'europe', 'score': 0.031}, {'token': 'australia', 'score': 0.015}, {'token': 'germany', 'score': 0.015}, {'token': 'washington', 'score': 0.011}, {'token': 'russia', 'score': 0.01}, {'token': 'norway', 'score': 0.006}]"
9,nigeria,"[{'token': 'nigeria', 'score': 0.485}, {'token': 'parliament', 'score': 0.083}, {'token': 'ghana', 'score': 0.038}, {'token': 'benin', 'score': 0.027}, {'token': 'zambia', 'score': 0.023}, {'token': 'guinea', 'score': 0.022}, {'token': 'fifa', 'score': 0.02}, {'token': 'lagos', 'score': 0.017}, {'token': 'niger', 'score': 0.013}, {'token': 'togo', 'score': 0.011}]","[{'token': 'belgium', 'score': 0.492}, {'token': 'fifa', 'score': 0.031}, {'token': 'parliament', 'score': 0.03}, {'token': 'brussels', 'score': 0.02}, {'token': 'nato', 'score': 0.016}, {'token': 'flanders', 'score': 0.013}, {'token': 'france', 'score': 0.012}, {'token': 'mauritius', 'score': 0.012}, {'token': 'luxembourg', 'score': 0.008}, {'token': 'canada', 'score': 0.007}]","[{'token': 'tunisia', 'score': 0.871}, {'token': 'tunis', 'score': 0.045}, {'token': 'egypt', 'score': 0.014}, {'token': 'libya', 'score': 0.009}, {'token': 'algeria', 'score': 0.006}, {'token': 'yemen', 'score': 0.005}, {'token': 'tunisian', 'score': 0.004}, {'token': 'morocco', 'score': 0.003}, {'token': 'iran', 'score': 0.002}, {'token': 'parliament', 'score': 0.002}]","[{'token': 'poland', 'score': 0.914}, {'token': 'warsaw', 'score': 0.018}, {'token': 'parliament', 'score': 0.009}, {'token': 'belarus', 'score': 0.008}, {'token': 'krakow', 'score': 0.007}, {'token': 'lithuania', 'score': 0.005}, {'token': 'kyrgyzstan', 'score': 0.003}, {'token': 'ukraine', 'score': 0.003}, {'token': 'poznan', 'score': 0.002}, {'token': 'russia', 'score': 0.002}]","[{'token': 'sweden', 'score': 0.559}, {'token': 'parliament', 'score': 0.037}, {'token': 'finland', 'score': 0.033}, {'token': 'stockholm', 'score': 0.031}, {'token': 'iceland', 'score': 0.021}, {'token': 'unicef', 'score': 0.019}, {'token': 'fifa', 'score': 0.011}, {'token': 'norway', 'score': 0.011}, {'token': 'denmark', 'score': 0.01}, {'token': 'nato', 'score': 0.009}]"
