,answers,original,t5_0,t5_1,t5_2,t5_3
0,iraq,"[{'token': 'london', 'score': 0.143}, {'token': 'tokyo', 'score': 0.071}, {'token': 'baghdad', 'score': 0.052}, {'token': 'madrid', 'score': 0.038}, {'token': 'istanbul', 'score': 0.032}, {'token': 'paris', 'score': 0.029}, {'token': 'moscow', 'score': 0.018}, {'token': 'bangkok', 'score': 0.016}, {'token': 'kabul', 'score': 0.014}, {'token': 'berlin', 'score': 0.014}]","[{'token': 'london', 'score': 0.228}, {'token': 'tokyo', 'score': 0.074}, {'token': 'baghdad', 'score': 0.046}, {'token': 'japan', 'score': 0.031}, {'token': 'mumbai', 'score': 0.026}, {'token': 'karachi', 'score': 0.022}, {'token': 'istanbul', 'score': 0.021}, {'token': 'pakistan', 'score': 0.02}, {'token': 'dubai', 'score': 0.019}, {'token': 'iraq', 'score': 0.017}]","[{'token': 'japan', 'score': 0.212}, {'token': 'thailand', 'score': 0.05}, {'token': 'russia', 'score': 0.044}, {'token': 'tokyo', 'score': 0.03}, {'token': 'iraq', 'score': 0.027}, {'token': 'switzerland', 'score': 0.026}, {'token': 'kazakhstan', 'score': 0.025}, {'token': 'italy', 'score': 0.023}, {'token': 'finland', 'score': 0.022}, {'token': 'china', 'score': 0.022}]","[{'token': 'baghdad', 'score': 0.31}, {'token': 'iraq', 'score': 0.138}, {'token': 'afghanistan', 'score': 0.068}, {'token': 'kabul', 'score': 0.045}, {'token': 'tehran', 'score': 0.02}, {'token': 'pakistan', 'score': 0.018}, {'token': 'iran', 'score': 0.017}, {'token': 'istanbul', 'score': 0.017}, {'token': 'london', 'score': 0.017}, {'token': 'jerusalem', 'score': 0.016}]","[{'token': 'baghdad', 'score': 0.162}, {'token': 'tokyo', 'score': 0.099}, {'token': 'paris', 'score': 0.054}, {'token': 'iraq', 'score': 0.033}, {'token': 'japan', 'score': 0.032}, {'token': 'istanbul', 'score': 0.032}, {'token': 'london', 'score': 0.025}, {'token': 'kabul', 'score': 0.024}, {'token': 'beirut', 'score': 0.023}, {'token': 'afghanistan', 'score': 0.021}]"
1,paris,"[{'token': 'warsaw', 'score': 0.392}, {'token': 'poland', 'score': 0.131}, {'token': 'prague', 'score': 0.043}, {'token': 'vienna', 'score': 0.025}, {'token': 'berlin', 'score': 0.025}, {'token': 'paris', 'score': 0.021}, {'token': 'krakow', 'score': 0.02}, {'token': 'germany', 'score': 0.015}, {'token': 'italy', 'score': 0.012}, {'token': 'europe', 'score': 0.011}]","[{'token': 'high', 'score': 0.314}, {'token': 'boarding', 'score': 0.203}, {'token': 'grammar', 'score': 0.061}, {'token': 'private', 'score': 0.043}, {'token': 'elementary', 'score': 0.027}, {'token': 'public', 'score': 0.026}, {'token': 'old', 'score': 0.026}, {'token': 'preparatory', 'score': 0.01}, {'token': 'secondary', 'score': 0.01}, {'token': 'same', 'score': 0.008}]","[{'token': 'warsaw', 'score': 0.297}, {'token': 'poland', 'score': 0.106}, {'token': 'prague', 'score': 0.044}, {'token': 'paris', 'score': 0.04}, {'token': 'vienna', 'score': 0.034}, {'token': 'berlin', 'score': 0.031}, {'token': 'germany', 'score': 0.022}, {'token': 'italy', 'score': 0.019}, {'token': 'london', 'score': 0.017}, {'token': 'krakow', 'score': 0.015}]","[{'token': 'chicago', 'score': 0.508}, {'token': 'london', 'score': 0.017}, {'token': 'philadelphia', 'score': 0.016}, {'token': 'manhattan', 'score': 0.014}, {'token': 'illinois', 'score': 0.013}, {'token': 'boston', 'score': 0.011}, {'token': 'detroit', 'score': 0.011}, {'token': 'california', 'score': 0.01}, {'token': 'brooklyn', 'score': 0.01}, {'token': 'harlem', 'score': 0.009}]","[{'token': 'vienna', 'score': 0.34}, {'token': 'berlin', 'score': 0.042}, {'token': 'austria', 'score': 0.039}, {'token': 'prague', 'score': 0.035}, {'token': 'london', 'score': 0.034}, {'token': 'paris', 'score': 0.03}, {'token': 'germany', 'score': 0.026}, {'token': 'england', 'score': 0.018}, {'token': 'budapest', 'score': 0.013}, {'token': 'france', 'score': 0.01}]"
2,baltimore,"[{'token': 'ltd', 'score': 0.131}, {'token': 'london', 'score': 0.131}, {'token': 'paris', 'score': 0.11}, {'token': 'inc', 'score': 0.101}, {'token': 'france', 'score': 0.092}, {'token': 'italy', 'score': 0.038}, {'token': 'california', 'score': 0.015}, {'token': 'germany', 'score': 0.015}, {'token': 'ca', 'score': 0.013}, {'token': 'spain', 'score': 0.013}]","[{'token': 'however', 'score': 0.258}, {'token': 'meanwhile', 'score': 0.237}, {'token': 'then', 'score': 0.04}, {'token': 'ltd', 'score': 0.032}, {'token': 'london', 'score': 0.029}, {'token': 'too', 'score': 0.029}, {'token': 'france', 'score': 0.028}, {'token': 'also', 'score': 0.024}, {'token': 'therefore', 'score': 0.012}, {'token': 'though', 'score': 0.009}]","[{'token': 'which', 'score': 0.495}, {'token': 'who', 'score': 0.04}, {'token': 'france', 'score': 0.027}, {'token': 'also', 'score': 0.026}, {'token': 'ltd', 'score': 0.026}, {'token': 'and', 'score': 0.017}, {'token': 'had', 'score': 0.016}, {'token': 'uk', 'score': 0.01}, {'token': 'company', 'score': 0.01}, {'token': 'it', 'score': 0.01}]","[{'token': 'london', 'score': 0.218}, {'token': 'published', 'score': 0.136}, {'token': 'starting', 'score': 0.058}, {'token': 'beginning', 'score': 0.039}, {'token': 'usa', 'score': 0.024}, {'token': 'founded', 'score': 0.023}, {'token': 'france', 'score': 0.023}, {'token': 'uk', 'score': 0.019}, {'token': 'paris', 'score': 0.016}, {'token': 'england', 'score': 0.016}]","[{'token': 'which', 'score': 0.701}, {'token': 'also', 'score': 0.051}, {'token': 'who', 'score': 0.044}, {'token': 'had', 'score': 0.017}, {'token': 'then', 'score': 0.012}, {'token': 'originally', 'score': 0.009}, {'token': 'that', 'score': 0.006}, {'token': 'first', 'score': 0.006}, {'token': 'and', 'score': 0.006}, {'token': 'initially', 'score': 0.005}]"
3,leicester,"[{'token': '2001', 'score': 0.028}, {'token': 'london', 'score': 0.026}, {'token': '1993', 'score': 0.023}, {'token': '2002', 'score': 0.023}, {'token': '2000', 'score': 0.023}, {'token': '1992', 'score': 0.022}, {'token': '1994', 'score': 0.022}, {'token': '2010', 'score': 0.021}, {'token': '1996', 'score': 0.019}, {'token': '1999', 'score': 0.019}]","[{'token': '2009', 'score': 0.022}, {'token': 'london', 'score': 0.021}, {'token': '2010', 'score': 0.021}, {'token': '1989', 'score': 0.021}, {'token': '2001', 'score': 0.02}, {'token': '2006', 'score': 0.018}, {'token': '2011', 'score': 0.018}, {'token': '2008', 'score': 0.018}, {'token': '2007', 'score': 0.018}, {'token': '1993', 'score': 0.018}]","[{'token': 'recent', 'score': 0.041}, {'token': '1944', 'score': 0.03}, {'token': '1949', 'score': 0.02}, {'token': '1943', 'score': 0.018}, {'token': '1964', 'score': 0.016}, {'token': '1989', 'score': 0.016}, {'token': '1993', 'score': 0.015}, {'token': '1952', 'score': 0.014}, {'token': '1942', 'score': 0.014}, {'token': '1940', 'score': 0.014}]","[{'token': 'recent', 'score': 0.046}, {'token': 'paris', 'score': 0.023}, {'token': 'detroit', 'score': 0.021}, {'token': '2004', 'score': 0.019}, {'token': '2010', 'score': 0.018}, {'token': '2001', 'score': 0.015}, {'token': 'live', 'score': 0.015}, {'token': '2007', 'score': 0.014}, {'token': '2009', 'score': 0.014}, {'token': '2002', 'score': 0.014}]","[{'token': 'berlin', 'score': 0.019}, {'token': 'national', 'score': 0.014}, {'token': 'birmingham', 'score': 0.012}, {'token': 'lincoln', 'score': 0.011}, {'token': 'summer', 'score': 0.011}, {'token': '2010', 'score': 0.009}, {'token': 'local', 'score': 0.009}, {'token': 'brooklyn', 'score': 0.008}, {'token': '2009', 'score': 0.008}, {'token': 'recent', 'score': 0.008}]"
4,athens,"[{'token': 'royal', 'score': 0.157}, {'token': 'paris', 'score': 0.126}, {'token': 'national', 'score': 0.049}, {'token': 'french', 'score': 0.031}, {'token': 'moscow', 'score': 0.029}, {'token': 'sorbonne', 'score': 0.022}, {'token': 'athens', 'score': 0.019}, {'token': 'vienna', 'score': 0.016}, {'token': 'metropolitan', 'score': 0.016}, {'token': 'london', 'score': 0.015}]","[{'token': 'royal', 'score': 0.246}, {'token': 'london', 'score': 0.175}, {'token': 'glasgow', 'score': 0.02}, {'token': 'university', 'score': 0.017}, {'token': 'berlin', 'score': 0.014}, {'token': 'warsaw', 'score': 0.013}, {'token': 'jerusalem', 'score': 0.013}, {'token': 'liverpool', 'score': 0.012}, {'token': 'vienna', 'score': 0.011}, {'token': 'edinburgh', 'score': 0.011}]","[{'token': 'paris', 'score': 0.164}, {'token': 'royal', 'score': 0.128}, {'token': 'university', 'score': 0.035}, {'token': 'french', 'score': 0.033}, {'token': 'national', 'score': 0.033}, {'token': 'sorbonne', 'score': 0.024}, {'token': 'moscow', 'score': 0.024}, {'token': 'london', 'score': 0.022}, {'token': 'berlin', 'score': 0.017}, {'token': 'imperial', 'score': 0.015}]","[{'token': 'royal', 'score': 0.175}, {'token': 'paris', 'score': 0.122}, {'token': 'french', 'score': 0.063}, {'token': 'national', 'score': 0.054}, {'token': 'imperial', 'score': 0.018}, {'token': 'university', 'score': 0.017}, {'token': 'prussian', 'score': 0.016}, {'token': 'ecole', 'score': 0.015}, {'token': 'parisian', 'score': 0.014}, {'token': 'sorbonne', 'score': 0.013}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]"
5,vienna,"[{'token': 'prague', 'score': 0.46}, {'token': 'vienna', 'score': 0.107}, {'token': 'berlin', 'score': 0.045}, {'token': 'paris', 'score': 0.036}, {'token': 'munich', 'score': 0.033}, {'token': 'strasbourg', 'score': 0.032}, {'token': 'amsterdam', 'score': 0.026}, {'token': 'salzburg', 'score': 0.02}, {'token': 'weimar', 'score': 0.019}, {'token': 'brussels', 'score': 0.016}]","[{'token': 'vienna', 'score': 0.472}, {'token': 'berlin', 'score': 0.085}, {'token': 'prague', 'score': 0.061}, {'token': 'warsaw', 'score': 0.054}, {'token': 'dresden', 'score': 0.025}, {'token': 'munich', 'score': 0.022}, {'token': 'krakow', 'score': 0.02}, {'token': 'leipzig', 'score': 0.013}, {'token': 'salzburg', 'score': 0.012}, {'token': 'cologne', 'score': 0.01}]","[{'token': 'vienna', 'score': 0.66}, {'token': 'berlin', 'score': 0.062}, {'token': 'salzburg', 'score': 0.023}, {'token': 'prague', 'score': 0.02}, {'token': 'munich', 'score': 0.018}, {'token': 'paris', 'score': 0.018}, {'token': 'cologne', 'score': 0.014}, {'token': 'budapest', 'score': 0.014}, {'token': 'austria', 'score': 0.011}, {'token': 'frankfurt', 'score': 0.009}]","[{'token': 'vienna', 'score': 0.646}, {'token': 'berlin', 'score': 0.04}, {'token': 'london', 'score': 0.03}, {'token': 'prague', 'score': 0.028}, {'token': 'salzburg', 'score': 0.014}, {'token': 'munich', 'score': 0.011}, {'token': 'amsterdam', 'score': 0.01}, {'token': 'frankfurt', 'score': 0.01}, {'token': 'budapest', 'score': 0.01}, {'token': 'leipzig', 'score': 0.008}]","[{'token': 'berlin', 'score': 0.239}, {'token': 'munich', 'score': 0.121}, {'token': 'vienna', 'score': 0.094}, {'token': 'leipzig', 'score': 0.05}, {'token': 'cologne', 'score': 0.041}, {'token': 'london', 'score': 0.036}, {'token': 'hamburg', 'score': 0.035}, {'token': 'frankfurt', 'score': 0.033}, {'token': 'nuremberg', 'score': 0.025}, {'token': 'dresden', 'score': 0.023}]"
6,rome,"[{'token': 'rome', 'score': 0.378}, {'token': 'paris', 'score': 0.077}, {'token': 'florence', 'score': 0.066}, {'token': 'venice', 'score': 0.056}, {'token': 'italy', 'score': 0.053}, {'token': 'siena', 'score': 0.049}, {'token': 'naples', 'score': 0.022}, {'token': 'vienna', 'score': 0.021}, {'token': 'london', 'score': 0.016}, {'token': 'prague', 'score': 0.015}]","[{'token': 'paris', 'score': 0.111}, {'token': 'rome', 'score': 0.082}, {'token': 'naples', 'score': 0.08}, {'token': 'milan', 'score': 0.072}, {'token': 'florence', 'score': 0.058}, {'token': 'madrid', 'score': 0.032}, {'token': 'turin', 'score': 0.03}, {'token': 'italy', 'score': 0.028}, {'token': 'venice', 'score': 0.025}, {'token': 'vienna', 'score': 0.022}]","[{'token': 'florence', 'score': 0.111}, {'token': 'milan', 'score': 0.084}, {'token': 'italy', 'score': 0.079}, {'token': 'naples', 'score': 0.078}, {'token': 'rome', 'score': 0.069}, {'token': 'sicily', 'score': 0.064}, {'token': 'paris', 'score': 0.044}, {'token': 'france', 'score': 0.028}, {'token': 'athens', 'score': 0.023}, {'token': 'spain', 'score': 0.022}]","[{'token': 'naples', 'score': 0.105}, {'token': 'milan', 'score': 0.072}, {'token': 'rome', 'score': 0.072}, {'token': 'paris', 'score': 0.071}, {'token': 'florence', 'score': 0.055}, {'token': 'turin', 'score': 0.043}, {'token': 'siena', 'score': 0.029}, {'token': 'athens', 'score': 0.024}, {'token': 'vienna', 'score': 0.023}, {'token': 'constantinople', 'score': 0.023}]","[{'token': 'rome', 'score': 0.163}, {'token': 'florence', 'score': 0.12}, {'token': 'italy', 'score': 0.063}, {'token': 'milan', 'score': 0.06}, {'token': 'naples', 'score': 0.056}, {'token': 'venice', 'score': 0.047}, {'token': 'paris', 'score': 0.04}, {'token': 'vienna', 'score': 0.039}, {'token': 'siena', 'score': 0.035}, {'token': 'verona', 'score': 0.024}]"
7,paris,"[{'token': 'paris', 'score': 0.267}, {'token': 'france', 'score': 0.129}, {'token': 'chicago', 'score': 0.077}, {'token': 'usa', 'score': 0.065}, {'token': 'london', 'score': 0.042}, {'token': 'montreal', 'score': 0.025}, {'token': 'switzerland', 'score': 0.02}, {'token': 'belgium', 'score': 0.016}, {'token': 'germany', 'score': 0.014}, {'token': 'quebec', 'score': 0.013}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]"
8,munich,"[{'token': 'berlin', 'score': 0.24}, {'token': 'munich', 'score': 0.122}, {'token': 'chicago', 'score': 0.075}, {'token': 'vienna', 'score': 0.063}, {'token': 'london', 'score': 0.041}, {'token': 'hamburg', 'score': 0.03}, {'token': 'frankfurt', 'score': 0.028}, {'token': 'germany', 'score': 0.026}, {'token': 'stuttgart', 'score': 0.023}, {'token': 'dresden', 'score': 0.019}]","[{'token': 'berlin', 'score': 0.164}, {'token': 'paris', 'score': 0.147}, {'token': 'london', 'score': 0.062}, {'token': 'germany', 'score': 0.06}, {'token': 'munich', 'score': 0.046}, {'token': 'vienna', 'score': 0.039}, {'token': 'hamburg', 'score': 0.031}, {'token': 'france', 'score': 0.022}, {'token': 'switzerland', 'score': 0.021}, {'token': 'frankfurt', 'score': 0.018}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': 'berlin', 'score': 0.169}, {'token': 'munich', 'score': 0.135}, {'token': 'paris', 'score': 0.074}, {'token': 'london', 'score': 0.041}, {'token': 'hamburg', 'score': 0.038}, {'token': 'germany', 'score': 0.037}, {'token': 'vienna', 'score': 0.036}, {'token': 'frankfurt', 'score': 0.032}, {'token': 'cologne', 'score': 0.019}, {'token': 'stuttgart', 'score': 0.019}]","[{'token': 'berlin', 'score': 0.158}, {'token': 'london', 'score': 0.124}, {'token': 'munich', 'score': 0.079}, {'token': 'vienna', 'score': 0.057}, {'token': 'paris', 'score': 0.04}, {'token': 'hamburg', 'score': 0.035}, {'token': 'frankfurt', 'score': 0.026}, {'token': 'stockholm', 'score': 0.025}, {'token': 'germany', 'score': 0.019}, {'token': 'cologne', 'score': 0.019}]"
9,bonn,"[{'token': 'paris', 'score': 0.139}, {'token': 'berlin', 'score': 0.109}, {'token': 'london', 'score': 0.037}, {'token': 'cologne', 'score': 0.036}, {'token': 'hamburg', 'score': 0.027}, {'token': 'munich', 'score': 0.027}, {'token': 'frankfurt', 'score': 0.022}, {'token': 'vienna', 'score': 0.019}, {'token': 'copenhagen', 'score': 0.019}, {'token': 'leipzig', 'score': 0.017}]","[{'token': 'german', 'score': 0.044}, {'token': 'germany', 'score': 0.031}, {'token': '[unk]', 'score': 0.02}, {'token': 'sic', 'score': 0.016}, {'token': 'leipzig', 'score': 0.01}, {'token': 'heinrich', 'score': 0.008}, {'token': 'ss', 'score': 0.008}, {'token': 'bavaria', 'score': 0.008}, {'token': 'gottingen', 'score': 0.008}, {'token': 'unknown', 'score': 0.007}]","[{'token': 'german', 'score': 0.063}, {'token': 'germany', 'score': 0.039}, {'token': '[unk]', 'score': 0.023}, {'token': 'vienna', 'score': 0.014}, {'token': 'austria', 'score': 0.012}, {'token': 'berlin', 'score': 0.011}, {'token': 'leipzig', 'score': 0.01}, {'token': 'karl', 'score': 0.008}, {'token': 'botanist', 'score': 0.008}, {'token': 'bavaria', 'score': 0.008}]","[{'token': 'berlin', 'score': 0.23}, {'token': 'bonn', 'score': 0.066}, {'token': 'leipzig', 'score': 0.063}, {'token': 'halle', 'score': 0.043}, {'token': 'cologne', 'score': 0.036}, {'token': 'hamburg', 'score': 0.036}, {'token': 'mainz', 'score': 0.032}, {'token': 'munich', 'score': 0.031}, {'token': 'gottingen', 'score': 0.027}, {'token': 'stuttgart', 'score': 0.02}]","[{'token': 'berlin', 'score': 0.232}, {'token': 'bonn', 'score': 0.074}, {'token': 'leipzig', 'score': 0.063}, {'token': 'munich', 'score': 0.04}, {'token': 'halle', 'score': 0.035}, {'token': 'hamburg', 'score': 0.034}, {'token': 'cologne', 'score': 0.031}, {'token': 'gottingen', 'score': 0.029}, {'token': 'mainz', 'score': 0.025}, {'token': 'frankfurt', 'score': 0.023}]"
