,answers,original,t5_0,t5_1,t5_2,t5_3
0,opera,"[{'token': 'book', 'score': 0.223}, {'token': 'novel', 'score': 0.192}, {'token': 'film', 'score': 0.138}, {'token': 'song', 'score': 0.092}, {'token': 'play', 'score': 0.056}, {'token': 'movie', 'score': 0.025}, {'token': 'poem', 'score': 0.024}, {'token': 'essay', 'score': 0.018}, {'token': 'classic', 'score': 0.016}, {'token': 'story', 'score': 0.014}]","[{'token': 'song', 'score': 0.238}, {'token': 'book', 'score': 0.152}, {'token': 'novel', 'score': 0.092}, {'token': 'album', 'score': 0.082}, {'token': 'play', 'score': 0.038}, {'token': 'poem', 'score': 0.037}, {'token': 'film', 'score': 0.034}, {'token': 'classic', 'score': 0.033}, {'token': 'piece', 'score': 0.025}, {'token': 'work', 'score': 0.025}]","[{'token': 'book', 'score': 0.346}, {'token': 'play', 'score': 0.097}, {'token': 'film', 'score': 0.066}, {'token': 'song', 'score': 0.065}, {'token': 'novel', 'score': 0.064}, {'token': 'piece', 'score': 0.042}, {'token': 'album', 'score': 0.039}, {'token': 'work', 'score': 0.031}, {'token': 'autobiography', 'score': 0.018}, {'token': 'poem', 'score': 0.018}]","[{'token': 'book', 'score': 0.168}, {'token': 'novel', 'score': 0.142}, {'token': 'film', 'score': 0.135}, {'token': 'play', 'score': 0.096}, {'token': 'opera', 'score': 0.044}, {'token': 'song', 'score': 0.041}, {'token': 'poem', 'score': 0.034}, {'token': 'work', 'score': 0.029}, {'token': 'piece', 'score': 0.027}, {'token': 'essay', 'score': 0.019}]","[{'token': 'song', 'score': 0.125}, {'token': 'play', 'score': 0.115}, {'token': 'book', 'score': 0.113}, {'token': 'album', 'score': 0.111}, {'token': 'piece', 'score': 0.07}, {'token': 'novel', 'score': 0.068}, {'token': 'film', 'score': 0.053}, {'token': 'work', 'score': 0.032}, {'token': 'poem', 'score': 0.025}, {'token': 'composition', 'score': 0.023}]"
1,jazz,"[{'token': 'jazz', 'score': 0.463}, {'token': 'music', 'score': 0.07}, {'token': 'musical', 'score': 0.054}, {'token': 'born', 'score': 0.021}, {'token': 'classical', 'score': 0.017}, {'token': 'renaissance', 'score': 0.015}, {'token': 'folk', 'score': 0.013}, {'token': ',', 'score': 0.012}, {'token': 'concert', 'score': 0.007}, {'token': 'piano', 'score': 0.007}]","[{'token': 'music', 'score': 0.167}, {'token': 'jazz', 'score': 0.122}, {'token': 'musical', 'score': 0.079}, {'token': 'opera', 'score': 0.043}, {'token': 'folk', 'score': 0.039}, {'token': 'art', 'score': 0.024}, {'token': 'theater', 'score': 0.018}, {'token': 'radio', 'score': 0.017}, {'token': 'pop', 'score': 0.017}, {'token': 'film', 'score': 0.015}]","[{'token': 'jazz', 'score': 0.519}, {'token': 'music', 'score': 0.031}, {'token': 'classical', 'score': 0.015}, {'token': 'piano', 'score': 0.014}, {'token': 'musical', 'score': 0.013}, {'token': 'rock', 'score': 0.012}, {'token': 'folk', 'score': 0.011}, {'token': 'saxophone', 'score': 0.01}, {'token': 'english', 'score': 0.01}, {'token': 'american', 'score': 0.009}]","[{'token': 'jazz', 'score': 0.891}, {'token': 'blues', 'score': 0.021}, {'token': 'classical', 'score': 0.012}, {'token': 'country', 'score': 0.007}, {'token': 'session', 'score': 0.005}, {'token': 'folk', 'score': 0.005}, {'token': 'rock', 'score': 0.005}, {'token': 'american', 'score': 0.004}, {'token': 'pop', 'score': 0.004}, {'token': 'professional', 'score': 0.002}]","[{'token': 'jazz', 'score': 0.513}, {'token': 'music', 'score': 0.028}, {'token': 'rock', 'score': 0.022}, {'token': 'pop', 'score': 0.019}, {'token': 'folk', 'score': 0.018}, {'token': 'musical', 'score': 0.014}, {'token': 'classical', 'score': 0.014}, {'token': 'clarinet', 'score': 0.01}, {'token': 'blues', 'score': 0.009}, {'token': 'violin', 'score': 0.008}]"
2,opera,"[{'token': 'opera', 'score': 0.452}, {'token': 'song', 'score': 0.15}, {'token': 'play', 'score': 0.071}, {'token': 'musical', 'score': 0.04}, {'token': 'music', 'score': 0.026}, {'token': 'score', 'score': 0.025}, {'token': 'film', 'score': 0.018}, {'token': 'symphony', 'score': 0.017}, {'token': 'epic', 'score': 0.014}, {'token': 'composition', 'score': 0.014}]","[{'token': 'opera', 'score': 0.547}, {'token': 'play', 'score': 0.105}, {'token': 'film', 'score': 0.057}, {'token': 'musical', 'score': 0.044}, {'token': 'novel', 'score': 0.028}, {'token': 'comedy', 'score': 0.017}, {'token': 'song', 'score': 0.015}, {'token': 'ballet', 'score': 0.015}, {'token': 'movie', 'score': 0.012}, {'token': 'drama', 'score': 0.011}]","[{'token': 'composer', 'score': 0.361}, {'token': 'playwright', 'score': 0.021}, {'token': 'director', 'score': 0.021}, {'token': 'artist', 'score': 0.017}, {'token': 'musical', 'score': 0.017}, {'token': 'lyricist', 'score': 0.017}, {'token': 'poet', 'score': 0.017}, {'token': 'conductor', 'score': 0.016}, {'token': 'translator', 'score': 0.013}, {'token': 'pianist', 'score': 0.009}]","[{'token': 'musical', 'score': 0.13}, {'token': 'song', 'score': 0.118}, {'token': 'opera', 'score': 0.086}, {'token': 'play', 'score': 0.066}, {'token': 'film', 'score': 0.059}, {'token': 'comedy', 'score': 0.039}, {'token': 'version', 'score': 0.035}, {'token': 'ballad', 'score': 0.026}, {'token': 'composer', 'score': 0.017}, {'token': 'classic', 'score': 0.013}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]"
3,jazz,"[{'token': 'live', 'score': 0.186}, {'token': 'recorded', 'score': 0.048}, {'token': 'studio', 'score': 0.043}, {'token': 'solo', 'score': 0.039}, {'token': 'commercial', 'score': 0.021}, {'token': 'jazz', 'score': 0.019}, {'token': 'demo', 'score': 0.017}, {'token': 'two', 'score': 0.017}, {'token': 'radio', 'score': 0.015}, {'token': 'european', 'score': 0.013}]","[{'token': 'jazz', 'score': 0.245}, {'token': 'live', 'score': 0.076}, {'token': 'studio', 'score': 0.029}, {'token': 'blues', 'score': 0.027}, {'token': 'rock', 'score': 0.023}, {'token': 'gospel', 'score': 0.023}, {'token': 'recorded', 'score': 0.02}, {'token': 'radio', 'score': 0.02}, {'token': 'beatles', 'score': 0.02}, {'token': 'commercial', 'score': 0.017}]","[{'token': 'live', 'score': 0.234}, {'token': 'music', 'score': 0.101}, {'token': 'it', 'score': 0.061}, {'token': 'songs', 'score': 0.043}, {'token': 'drums', 'score': 0.037}, {'token': 'vocals', 'score': 0.035}, {'token': 'him', 'score': 0.031}, {'token': 'records', 'score': 0.023}, {'token': 'there', 'score': 0.019}, {'token': 'tracks', 'score': 0.019}]","[{'token': 'jazz', 'score': 0.204}, {'token': 'live', 'score': 0.088}, {'token': 'gospel', 'score': 0.047}, {'token': 'studio', 'score': 0.032}, {'token': 'commercial', 'score': 0.029}, {'token': 'recorded', 'score': 0.026}, {'token': 'rock', 'score': 0.023}, {'token': 'blues', 'score': 0.019}, {'token': 'concert', 'score': 0.018}, {'token': 'music', 'score': 0.017}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]"
4,jazz,"[{'token': 'jazz', 'score': 0.414}, {'token': 'concert', 'score': 0.23}, {'token': 'classical', 'score': 0.218}, {'token': 'french', 'score': 0.029}, {'token': 'german', 'score': 0.007}, {'token': 'professional', 'score': 0.005}, {'token': 'opera', 'score': 0.005}, {'token': 'master', 'score': 0.004}, {'token': 'american', 'score': 0.004}, {'token': 'chamber', 'score': 0.004}]","[{'token': 'jazz', 'score': 0.671}, {'token': 'classical', 'score': 0.089}, {'token': 'concert', 'score': 0.067}, {'token': 'french', 'score': 0.02}, {'token': 'master', 'score': 0.007}, {'token': 'rock', 'score': 0.005}, {'token': 'cuban', 'score': 0.005}, {'token': 'school', 'score': 0.005}, {'token': 'professional', 'score': 0.005}, {'token': 'session', 'score': 0.005}]","[{'token': 'french', 'score': 0.256}, {'token': 'young', 'score': 0.169}, {'token': 'jazz', 'score': 0.09}, {'token': 'talented', 'score': 0.061}, {'token': 'famous', 'score': 0.035}, {'token': 'swiss', 'score': 0.024}, {'token': 'classical', 'score': 0.021}, {'token': 'german', 'score': 0.017}, {'token': 'renowned', 'score': 0.013}, {'token': 'former', 'score': 0.011}]","[{'token': 'jazz', 'score': 0.817}, {'token': 'concert', 'score': 0.055}, {'token': 'classical', 'score': 0.035}, {'token': 'french', 'score': 0.02}, {'token': 'young', 'score': 0.004}, {'token': 'swiss', 'score': 0.003}, {'token': 'student', 'score': 0.003}, {'token': 'professional', 'score': 0.003}, {'token': 'american', 'score': 0.003}, {'token': 'chamber', 'score': 0.003}]","[{'token': 'jazz', 'score': 0.198}, {'token': 'famous', 'score': 0.195}, {'token': 'talented', 'score': 0.073}, {'token': 'young', 'score': 0.06}, {'token': 'great', 'score': 0.042}, {'token': 'french', 'score': 0.041}, {'token': 'popular', 'score': 0.035}, {'token': 'renowned', 'score': 0.03}, {'token': 'classical', 'score': 0.015}, {'token': 'celebrated', 'score': 0.012}]"
5,opera,"[{'token': 'opera', 'score': 0.954}, {'token': 'aria', 'score': 0.008}, {'token': 'act', 'score': 0.008}, {'token': 'epic', 'score': 0.006}, {'token': 'overture', 'score': 0.005}, {'token': 'interlude', 'score': 0.002}, {'token': 'orchestra', 'score': 0.002}, {'token': 'adaptation', 'score': 0.001}, {'token': 'ode', 'score': 0.001}, {'token': 'instrumental', 'score': 0.001}]","[{'token': 'opera', 'score': 0.142}, {'token': 'novel', 'score': 0.117}, {'token': 'play', 'score': 0.056}, {'token': 'epic', 'score': 0.047}, {'token': 'poem', 'score': 0.043}, {'token': 'film', 'score': 0.043}, {'token': 'song', 'score': 0.035}, {'token': 'cantata', 'score': 0.032}, {'token': 'book', 'score': 0.024}, {'token': 'italian', 'score': 0.019}]","[{'token': 'first', 'score': 0.13}, {'token': 'second', 'score': 0.062}, {'token': 'third', 'score': 0.038}, {'token': 'final', 'score': 0.035}, {'token': 'original', 'score': 0.033}, {'token': 'song', 'score': 0.03}, {'token': 'novel', 'score': 0.024}, {'token': 'musical', 'score': 0.024}, {'token': 'opera', 'score': 0.023}, {'token': 'film', 'score': 0.019}]","[{'token': 'opera', 'score': 0.689}, {'token': 'album', 'score': 0.158}, {'token': 'ep', 'score': 0.021}, {'token': 'act', 'score': 0.021}, {'token': 'anthology', 'score': 0.009}, {'token': 'epic', 'score': 0.008}, {'token': 'instrumental', 'score': 0.008}, {'token': 'orchestra', 'score': 0.007}, {'token': 'aria', 'score': 0.005}, {'token': 'interlude', 'score': 0.005}]","[{'token': 'opera', 'score': 0.132}, {'token': 'song', 'score': 0.065}, {'token': 'musical', 'score': 0.059}, {'token': 'film', 'score': 0.046}, {'token': 'play', 'score': 0.03}, {'token': 'first', 'score': 0.029}, {'token': 'novel', 'score': 0.026}, {'token': 'cantata', 'score': 0.026}, {'token': 'italian', 'score': 0.019}, {'token': 'orchestral', 'score': 0.019}]"
6,opera,"[{'token': 'opera', 'score': 0.711}, {'token': 'album', 'score': 0.038}, {'token': 'act', 'score': 0.034}, {'token': 'instrumental', 'score': 0.027}, {'token': 'epic', 'score': 0.025}, {'token': 'overture', 'score': 0.023}, {'token': 'aria', 'score': 0.02}, {'token': 'installation', 'score': 0.01}, {'token': 'adaptation', 'score': 0.01}, {'token': 'anthem', 'score': 0.006}]","[{'token': 'opera', 'score': 0.699}, {'token': 'instrumental', 'score': 0.063}, {'token': 'act', 'score': 0.063}, {'token': 'overture', 'score': 0.016}, {'token': 'orchestra', 'score': 0.012}, {'token': 'epic', 'score': 0.011}, {'token': 'aria', 'score': 0.011}, {'token': 'adaptation', 'score': 0.009}, {'token': 'exercise', 'score': 0.005}, {'token': 'anthem', 'score': 0.004}]","[{'token': 'instrumental', 'score': 0.119}, {'token': 'orchestra', 'score': 0.111}, {'token': 'opera', 'score': 0.088}, {'token': 'accompaniment', 'score': 0.083}, {'token': 'encore', 'score': 0.075}, {'token': 'anthem', 'score': 0.05}, {'token': 'aria', 'score': 0.044}, {'token': 'act', 'score': 0.044}, {'token': 'overture', 'score': 0.037}, {'token': 'introduction', 'score': 0.036}]","[{'token': 'score', 'score': 0.121}, {'token': 'play', 'score': 0.099}, {'token': 'piece', 'score': 0.07}, {'token': 'composition', 'score': 0.065}, {'token': 'suite', 'score': 0.055}, {'token': 'performance', 'score': 0.038}, {'token': 'sequence', 'score': 0.029}, {'token': 'set', 'score': 0.027}, {'token': 'movement', 'score': 0.025}, {'token': 'song', 'score': 0.024}]","[{'token': 'piece', 'score': 0.094}, {'token': 'ballet', 'score': 0.077}, {'token': 'play', 'score': 0.066}, {'token': 'opera', 'score': 0.065}, {'token': 'cantata', 'score': 0.041}, {'token': 'composition', 'score': 0.031}, {'token': 'work', 'score': 0.027}, {'token': 'movement', 'score': 0.024}, {'token': 'act', 'score': 0.021}, {'token': 'dance', 'score': 0.018}]"
7,opera,"[{'token': 'opera', 'score': 0.942}, {'token': 'act', 'score': 0.021}, {'token': 'aria', 'score': 0.011}, {'token': 'epic', 'score': 0.009}, {'token': 'play', 'score': 0.002}, {'token': 'adaptation', 'score': 0.002}, {'token': 'adventure', 'score': 0.002}, {'token': 'album', 'score': 0.001}, {'token': 'offering', 'score': 0.001}, {'token': 'entry', 'score': 0.001}]","[{'token': 'play', 'score': 0.282}, {'token': 'opera', 'score': 0.209}, {'token': 'musical', 'score': 0.109}, {'token': 'film', 'score': 0.1}, {'token': 'novel', 'score': 0.051}, {'token': 'song', 'score': 0.043}, {'token': 'movie', 'score': 0.012}, {'token': 'book', 'score': 0.01}, {'token': 'story', 'score': 0.009}, {'token': 'band', 'score': 0.008}]","[{'token': 'play', 'score': 0.527}, {'token': 'musical', 'score': 0.11}, {'token': 'film', 'score': 0.036}, {'token': 'production', 'score': 0.028}, {'token': 'comedy', 'score': 0.024}, {'token': 'novel', 'score': 0.018}, {'token': 'book', 'score': 0.013}, {'token': 'piece', 'score': 0.013}, {'token': 'album', 'score': 0.013}, {'token': 'song', 'score': 0.012}]","[{'token': 'play', 'score': 0.455}, {'token': 'musical', 'score': 0.186}, {'token': 'novel', 'score': 0.025}, {'token': 'performance', 'score': 0.024}, {'token': 'song', 'score': 0.024}, {'token': 'film', 'score': 0.021}, {'token': 'production', 'score': 0.021}, {'token': 'comedy', 'score': 0.021}, {'token': 'opera', 'score': 0.018}, {'token': 'score', 'score': 0.01}]","[{'token': 'character', 'score': 0.221}, {'token': 'play', 'score': 0.16}, {'token': 'heroine', 'score': 0.142}, {'token': 'novel', 'score': 0.071}, {'token': 'daughter', 'score': 0.045}, {'token': 'wife', 'score': 0.038}, {'token': 'protagonist', 'score': 0.03}, {'token': 'debut', 'score': 0.026}, {'token': 'story', 'score': 0.019}, {'token': 'sister', 'score': 0.01}]"
8,jazz,"[{'token': 'jazz', 'score': 0.739}, {'token': 'bass', 'score': 0.053}, {'token': 'alto', 'score': 0.032}, {'token': 'tenor', 'score': 0.026}, {'token': 'baritone', 'score': 0.019}, {'token': 'college', 'score': 0.015}, {'token': 'classical', 'score': 0.01}, {'token': 'school', 'score': 0.007}, {'token': 'blues', 'score': 0.006}, {'token': 'professional', 'score': 0.004}]","[{'token': 'jazz', 'score': 0.614}, {'token': 'bass', 'score': 0.05}, {'token': 'alto', 'score': 0.041}, {'token': 'tenor', 'score': 0.039}, {'token': 'college', 'score': 0.031}, {'token': 'baritone', 'score': 0.019}, {'token': 'school', 'score': 0.014}, {'token': 'classical', 'score': 0.011}, {'token': 'blues', 'score': 0.01}, {'token': 'electric', 'score': 0.009}]","[{'token': 'jazz', 'score': 0.19}, {'token': 'former', 'score': 0.151}, {'token': 'bass', 'score': 0.09}, {'token': 'baritone', 'score': 0.05}, {'token': 'tenor', 'score': 0.039}, {'token': 'professional', 'score': 0.03}, {'token': 'young', 'score': 0.026}, {'token': 'college', 'score': 0.017}, {'token': 'retired', 'score': 0.017}, {'token': 'noted', 'score': 0.016}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': 'jazz', 'score': 0.335}, {'token': 'bass', 'score': 0.098}, {'token': 'college', 'score': 0.054}, {'token': 'baritone', 'score': 0.046}, {'token': 'classical', 'score': 0.033}, {'token': 'school', 'score': 0.032}, {'token': 'alto', 'score': 0.027}, {'token': 'born', 'score': 0.023}, {'token': 'tenor', 'score': 0.023}, {'token': 'professional', 'score': 0.019}]"
9,jazz,"[{'token': 'canadian', 'score': 0.228}, {'token': 'british', 'score': 0.114}, {'token': 'swedish', 'score': 0.098}, {'token': 'scottish', 'score': 0.095}, {'token': 'american', 'score': 0.027}, {'token': 'jamaican', 'score': 0.018}, {'token': 'former', 'score': 0.015}, {'token': 'german', 'score': 0.014}, {'token': 'welsh', 'score': 0.014}, {'token': 'dutch', 'score': 0.012}]","[{'token': 'former', 'score': 0.14}, {'token': 'noted', 'score': 0.108}, {'token': 'notable', 'score': 0.067}, {'token': 'famous', 'score': 0.046}, {'token': 'popular', 'score': 0.038}, {'token': 'prominent', 'score': 0.037}, {'token': 'renowned', 'score': 0.026}, {'token': 'celebrated', 'score': 0.025}, {'token': 'future', 'score': 0.024}, {'token': 'fellow', 'score': 0.024}]","[{'token': 'jazz', 'score': 0.103}, {'token': 'former', 'score': 0.062}, {'token': 'young', 'score': 0.043}, {'token': 'professional', 'score': 0.03}, {'token': 'noted', 'score': 0.024}, {'token': 'boston', 'score': 0.024}, {'token': 'canadian', 'score': 0.024}, {'token': 'tenor', 'score': 0.022}, {'token': 'prominent', 'score': 0.019}, {'token': 'distinguished', 'score': 0.018}]","[{'token': 'jamaican', 'score': 0.441}, {'token': 'canadian', 'score': 0.153}, {'token': 'british', 'score': 0.065}, {'token': 'scottish', 'score': 0.039}, {'token': 'swedish', 'score': 0.037}, {'token': 'dutch', 'score': 0.02}, {'token': 'former', 'score': 0.018}, {'token': 'reggae', 'score': 0.011}, {'token': 'american', 'score': 0.011}, {'token': 'brazilian', 'score': 0.01}]","[{'token': 'noted', 'score': 0.096}, {'token': 'former', 'score': 0.096}, {'token': 'jazz', 'score': 0.08}, {'token': 'professional', 'score': 0.048}, {'token': 'popular', 'score': 0.043}, {'token': 'talented', 'score': 0.039}, {'token': 'trained', 'score': 0.026}, {'token': 'renowned', 'score': 0.025}, {'token': 'retired', 'score': 0.024}, {'token': 'prominent', 'score': 0.023}]"
