,answers,original,t5_0,t5_1,t5_2,t5_3
0,brazil,"[{'token': 'brazil', 'score': 0.612}, {'token': 'ferrari', 'score': 0.072}, {'token': 'spain', 'score': 0.04}, {'token': 'jordan', 'score': 0.022}, {'token': 'mexico', 'score': 0.02}, {'token': 'germany', 'score': 0.018}, {'token': 'america', 'score': 0.018}, {'token': 'canada', 'score': 0.016}, {'token': 'mercedes', 'score': 0.015}, {'token': 'toyota', 'score': 0.014}]","[{'token': 'brazil', 'score': 0.469}, {'token': 'spain', 'score': 0.221}, {'token': 'mercedes', 'score': 0.058}, {'token': 'ferrari', 'score': 0.038}, {'token': 'mexico', 'score': 0.037}, {'token': 'lotus', 'score': 0.021}, {'token': 'jordan', 'score': 0.018}, {'token': 'canada', 'score': 0.017}, {'token': 'argentina', 'score': 0.015}, {'token': 'venezuela', 'score': 0.009}]","[{'token': 'brazil', 'score': 0.784}, {'token': 'spain', 'score': 0.06}, {'token': 'mexico', 'score': 0.05}, {'token': 'argentina', 'score': 0.022}, {'token': 'venezuela', 'score': 0.014}, {'token': 'texas', 'score': 0.008}, {'token': 'canada', 'score': 0.007}, {'token': 'mercedes', 'score': 0.006}, {'token': 'ferrari', 'score': 0.006}, {'token': 'portugal', 'score': 0.003}]","[{'token': 'brazil', 'score': 0.575}, {'token': 'spain', 'score': 0.17}, {'token': 'mexico', 'score': 0.031}, {'token': 'portugal', 'score': 0.029}, {'token': 'belgium', 'score': 0.025}, {'token': 'argentina', 'score': 0.025}, {'token': 'germany', 'score': 0.023}, {'token': 'mercedes', 'score': 0.015}, {'token': 'lotus', 'score': 0.007}, {'token': 'austria', 'score': 0.007}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]"
1,france,"[{'token': 'french', 'score': 0.994}, {'token': 'canadian', 'score': 0.002}, {'token': 'belgian', 'score': 0.001}, {'token': 'film', 'score': 0.001}, {'token': 'swiss', 'score': 0.0}, {'token': 'hollywood', 'score': 0.0}, {'token': 'french', 'score': 0.0}, {'token': 'noted', 'score': 0.0}, {'token': 'quebec', 'score': 0.0}, {'token': 'prominent', 'score': 0.0}]","[{'token': 'french', 'score': 0.577}, {'token': 'the', 'score': 0.09}, {'token': 'american', 'score': 0.048}, {'token': 'her', 'score': 0.036}, {'token': 'canadian', 'score': 0.022}, {'token': 'italian', 'score': 0.014}, {'token': 'a', 'score': 0.011}, {'token': 'french', 'score': 0.01}, {'token': 'another', 'score': 0.01}, {'token': 'english', 'score': 0.008}]","[{'token': 'hollywood', 'score': 0.15}, {'token': 'paris', 'score': 0.142}, {'token': 'france', 'score': 0.083}, {'token': 'chicago', 'score': 0.065}, {'token': 'poland', 'score': 0.051}, {'token': 'london', 'score': 0.038}, {'token': 'america', 'score': 0.035}, {'token': 'warsaw', 'score': 0.024}, {'token': 'rome', 'score': 0.023}, {'token': 'italy', 'score': 0.022}]","[{'token': 'paris', 'score': 0.502}, {'token': 'france', 'score': 0.279}, {'token': 'india', 'score': 0.032}, {'token': 'london', 'score': 0.015}, {'token': 'england', 'score': 0.008}, {'token': 'lyon', 'score': 0.005}, {'token': 'italy', 'score': 0.005}, {'token': 'cannes', 'score': 0.005}, {'token': 'rome', 'score': 0.005}, {'token': 'belgium', 'score': 0.005}]","[{'token': 'argentina', 'score': 0.533}, {'token': 'france', 'score': 0.204}, {'token': 'paris', 'score': 0.024}, {'token': 'algeria', 'score': 0.019}, {'token': 'switzerland', 'score': 0.015}, {'token': 'belgium', 'score': 0.014}, {'token': 'spain', 'score': 0.01}, {'token': 'lyon', 'score': 0.008}, {'token': 'canada', 'score': 0.008}, {'token': 'italy', 'score': 0.007}]"
2,estonia,"[{'token': 'swedish', 'score': 0.342}, {'token': 'finnish', 'score': 0.278}, {'token': 'norwegian', 'score': 0.168}, {'token': 'danish', 'score': 0.062}, {'token': 'german', 'score': 0.016}, {'token': 'russian', 'score': 0.016}, {'token': 'baltic', 'score': 0.007}, {'token': 'dutch', 'score': 0.006}, {'token': 'american', 'score': 0.006}, {'token': 'icelandic', 'score': 0.004}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': 'estonia', 'score': 0.564}, {'token': 'finland', 'score': 0.17}, {'token': 'country', 'score': 0.03}, {'token': 'eston', 'score': 0.023}, {'token': 'today', 'score': 0.02}, {'token': 'children', 'score': 0.014}, {'token': 'latvia', 'score': 0.012}, {'token': 'norway', 'score': 0.011}, {'token': 'sweden', 'score': 0.011}, {'token': 'women', 'score': 0.01}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]"
3,denmark,"[{'token': 'denmark', 'score': 0.998}, {'token': 'sweden', 'score': 0.001}, {'token': 'norway', 'score': 0.0}, {'token': 'copenhagen', 'score': 0.0}, {'token': 'belgium', 'score': 0.0}, {'token': 'finland', 'score': 0.0}, {'token': 'greece', 'score': 0.0}, {'token': 'germany', 'score': 0.0}, {'token': 'kent', 'score': 0.0}, {'token': 'france', 'score': 0.0}]","[{'token': 'denmark', 'score': 0.996}, {'token': 'sweden', 'score': 0.002}, {'token': 'norway', 'score': 0.001}, {'token': 'austria', 'score': 0.0}, {'token': 'finland', 'score': 0.0}, {'token': 'japan', 'score': 0.0}, {'token': 'copenhagen', 'score': 0.0}, {'token': 'greece', 'score': 0.0}, {'token': 'germany', 'score': 0.0}, {'token': 'kent', 'score': 0.0}]","[{'token': 'denmark', 'score': 0.929}, {'token': 'sweden', 'score': 0.052}, {'token': 'norway', 'score': 0.011}, {'token': 'germany', 'score': 0.001}, {'token': 'finland', 'score': 0.001}, {'token': 'copenhagen', 'score': 0.001}, {'token': 'belgium', 'score': 0.0}, {'token': 'russia', 'score': 0.0}, {'token': 'danish', 'score': 0.0}, {'token': 'austria', 'score': 0.0}]","[{'token': 'denmark', 'score': 0.899}, {'token': 'sweden', 'score': 0.043}, {'token': 'poland', 'score': 0.018}, {'token': 'norway', 'score': 0.009}, {'token': 'austria', 'score': 0.003}, {'token': 'finland', 'score': 0.003}, {'token': 'belgium', 'score': 0.002}, {'token': 'russia', 'score': 0.002}, {'token': 'greece', 'score': 0.002}, {'token': 'romania', 'score': 0.002}]","[{'token': 'denmark', 'score': 0.758}, {'token': 'sweden', 'score': 0.133}, {'token': 'norway', 'score': 0.045}, {'token': 'belgium', 'score': 0.008}, {'token': 'austria', 'score': 0.006}, {'token': 'germany', 'score': 0.005}, {'token': 'finland', 'score': 0.004}, {'token': 'netherlands', 'score': 0.004}, {'token': 'estonia', 'score': 0.003}, {'token': 'russia', 'score': 0.002}]"
4,denmark,"[{'token': 'british', 'score': 0.354}, {'token': 'music', 'score': 0.084}, {'token': 'canadian', 'score': 0.06}, {'token': 'film', 'score': 0.046}, {'token': 'german', 'score': 0.035}, {'token': 'french', 'score': 0.032}, {'token': 'swedish', 'score': 0.023}, {'token': 'scottish', 'score': 0.02}, {'token': 'dutch', 'score': 0.018}, {'token': 'jazz', 'score': 0.018}]","[{'token': 'germany', 'score': 0.066}, {'token': 'belgium', 'score': 0.064}, {'token': 'france', 'score': 0.06}, {'token': 'australia', 'score': 0.057}, {'token': 'canada', 'score': 0.041}, {'token': 'nigeria', 'score': 0.035}, {'token': 'israel', 'score': 0.027}, {'token': 'sweden', 'score': 0.026}, {'token': 'britain', 'score': 0.024}, {'token': 'england', 'score': 0.021}]","[{'token': 'argentina', 'score': 0.068}, {'token': 'chicago', 'score': 0.047}, {'token': 'australia', 'score': 0.045}, {'token': 'canada', 'score': 0.041}, {'token': 'germany', 'score': 0.038}, {'token': 'london', 'score': 0.033}, {'token': 'california', 'score': 0.032}, {'token': 'england', 'score': 0.023}, {'token': 'france', 'score': 0.021}, {'token': 'montreal', 'score': 0.018}]","[{'token': 'argentina', 'score': 0.207}, {'token': 'paris', 'score': 0.035}, {'token': 'london', 'score': 0.034}, {'token': 'germany', 'score': 0.031}, {'token': 'switzerland', 'score': 0.025}, {'token': 'france', 'score': 0.025}, {'token': 'israel', 'score': 0.019}, {'token': 'barcelona', 'score': 0.019}, {'token': 'brazil', 'score': 0.019}, {'token': 'berlin', 'score': 0.019}]","[{'token': 'india', 'score': 0.212}, {'token': 'australia', 'score': 0.062}, {'token': 'england', 'score': 0.041}, {'token': 'canada', 'score': 0.037}, {'token': 'uk', 'score': 0.031}, {'token': 'usa', 'score': 0.022}, {'token': 'london', 'score': 0.021}, {'token': 'germany', 'score': 0.02}, {'token': 'mumbai', 'score': 0.019}, {'token': 'kerala', 'score': 0.018}]"
5,sweden,"[{'token': 'swedish', 'score': 0.992}, {'token': 'norwegian', 'score': 0.003}, {'token': 'finnish', 'score': 0.002}, {'token': 'danish', 'score': 0.001}, {'token': 'scandinavian', 'score': 0.0}, {'token': 'sweden', 'score': 0.0}, {'token': 'nordic', 'score': 0.0}, {'token': 'german', 'score': 0.0}, {'token': 'pioneering', 'score': 0.0}, {'token': 'soviet', 'score': 0.0}]","[{'token': 'sweden', 'score': 0.941}, {'token': 'norway', 'score': 0.022}, {'token': 'stockholm', 'score': 0.013}, {'token': 'denmark', 'score': 0.005}, {'token': 'finland', 'score': 0.004}, {'token': 'lund', 'score': 0.001}, {'token': 'russia', 'score': 0.001}, {'token': 'germany', 'score': 0.001}, {'token': 'swedish', 'score': 0.001}, {'token': 'iceland', 'score': 0.001}]","[{'token': 'sweden', 'score': 0.337}, {'token': 'stockholm', 'score': 0.248}, {'token': 'poland', 'score': 0.037}, {'token': 'lund', 'score': 0.013}, {'token': 'russia', 'score': 0.011}, {'token': 'warsaw', 'score': 0.009}, {'token': 'europe', 'score': 0.009}, {'token': 'switzerland', 'score': 0.009}, {'token': 'finland', 'score': 0.008}, {'token': 'oslo', 'score': 0.006}]","[{'token': 'sweden', 'score': 0.205}, {'token': 'germany', 'score': 0.098}, {'token': 'norway', 'score': 0.096}, {'token': 'india', 'score': 0.071}, {'token': 'switzerland', 'score': 0.036}, {'token': 'finland', 'score': 0.035}, {'token': 'antarctica', 'score': 0.034}, {'token': 'denmark', 'score': 0.025}, {'token': 'england', 'score': 0.022}, {'token': 'stockholm', 'score': 0.02}]","[{'token': 'sweden', 'score': 0.614}, {'token': 'norway', 'score': 0.148}, {'token': 'denmark', 'score': 0.092}, {'token': 'finland', 'score': 0.04}, {'token': 'stockholm', 'score': 0.031}, {'token': 'england', 'score': 0.009}, {'token': 'lund', 'score': 0.005}, {'token': 'germany', 'score': 0.005}, {'token': 'iceland', 'score': 0.004}, {'token': 'scotland', 'score': 0.004}]"
6,india,"[{'token': 'india', 'score': 0.999}, {'token': 'india', 'score': 0.0}, {'token': 'bangladesh', 'score': 0.0}, {'token': 'indian', 'score': 0.0}, {'token': 'pakistan', 'score': 0.0}, {'token': '1971', 'score': 0.0}, {'token': 'england', 'score': 0.0}, {'token': '1947', 'score': 0.0}, {'token': 'australia', 'score': 0.0}, {'token': '1965', 'score': 0.0}]","[{'token': 'india', 'score': 0.952}, {'token': 'the', 'score': 0.009}, {'token': 'history', 'score': 0.005}, {'token': 'bengal', 'score': 0.003}, {'token': 'bangladesh', 'score': 0.002}, {'token': 'maharashtra', 'score': 0.002}, {'token': '1893', 'score': 0.001}, {'token': 'from', 'score': 0.001}, {'token': 'between', 'score': 0.001}, {'token': '1947', 'score': 0.001}]","[{'token': 'india', 'score': 0.777}, {'token': 'india', 'score': 0.042}, {'token': 'which', 'score': 0.012}, {'token': 'who', 'score': 0.008}, {'token': 'bangladesh', 'score': 0.007}, {'token': '1971', 'score': 0.007}, {'token': 'and', 'score': 0.004}, {'token': 'today', 'score': 0.004}, {'token': '1911', 'score': 0.004}, {'token': 'it', 'score': 0.003}]","[{'token': 'india', 'score': 0.995}, {'token': 'india', 'score': 0.002}, {'token': 'bangladesh', 'score': 0.001}, {'token': 'indian', 'score': 0.0}, {'token': 'england', 'score': 0.0}, {'token': 'pakistan', 'score': 0.0}, {'token': 'usa', 'score': 0.0}, {'token': 'burma', 'score': 0.0}, {'token': 'australia', 'score': 0.0}, {'token': '</s>', 'score': 0.0}]","[{'token': 'india', 'score': 0.479}, {'token': 'bengal', 'score': 0.307}, {'token': 'bangladesh', 'score': 0.162}, {'token': 'maharashtra', 'score': 0.014}, {'token': 'bihar', 'score': 0.007}, {'token': 'up', 'score': 0.004}, {'token': 'nepal', 'score': 0.004}, {'token': 'kerala', 'score': 0.003}, {'token': 'burma', 'score': 0.001}, {'token': 'indian', 'score': 0.001}]"
7,japan,"[{'token': 'japan', 'score': 0.984}, {'token': 'china', 'score': 0.003}, {'token': 'taiwan', 'score': 0.002}, {'token': 'tokyo', 'score': 0.001}, {'token': 'india', 'score': 0.001}, {'token': 'thailand', 'score': 0.001}, {'token': 'philippines', 'score': 0.001}, {'token': 'japanese', 'score': 0.001}, {'token': 'hiroshima', 'score': 0.0}, {'token': 'finland', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': 'japan', 'score': 0.566}, {'token': 'tokyo', 'score': 0.286}, {'token': 'osaka', 'score': 0.047}, {'token': 'hiroshima', 'score': 0.026}, {'token': 'kyoto', 'score': 0.009}, {'token': 'taiwan', 'score': 0.005}, {'token': 'poland', 'score': 0.005}, {'token': 'kobe', 'score': 0.003}, {'token': 'china', 'score': 0.003}, {'token': 'india', 'score': 0.002}]"
8,canada,"[{'token': 'canada', 'score': 0.658}, {'token': 'ontario', 'score': 0.114}, {'token': 'alberta', 'score': 0.057}, {'token': 'saskatchewan', 'score': 0.054}, {'token': 'manitoba', 'score': 0.029}, {'token': 'history', 'score': 0.02}, {'token': 'quebec', 'score': 0.014}, {'token': 'australia', 'score': 0.013}, {'token': 'bc', 'score': 0.006}, {'token': 'newfoundland', 'score': 0.004}]","[{'token': 'canada', 'score': 0.657}, {'token': 'saskatchewan', 'score': 0.13}, {'token': 'alberta', 'score': 0.069}, {'token': 'manitoba', 'score': 0.042}, {'token': 'ontario', 'score': 0.031}, {'token': 'bc', 'score': 0.012}, {'token': 'australia', 'score': 0.011}, {'token': 'newfoundland', 'score': 0.005}, {'token': 'quebec', 'score': 0.003}, {'token': 'britain', 'score': 0.003}]","[{'token': 'manitoba', 'score': 0.303}, {'token': 'saskatchewan', 'score': 0.229}, {'token': 'ontario', 'score': 0.153}, {'token': 'alberta', 'score': 0.035}, {'token': 'winnipeg', 'score': 0.034}, {'token': 'he', 'score': 0.032}, {'token': 'newfoundland', 'score': 0.028}, {'token': 'quebec', 'score': 0.016}, {'token': 'canada', 'score': 0.013}, {'token': 'victoria', 'score': 0.01}]","[{'token': 'canada', 'score': 0.269}, {'token': 'ontario', 'score': 0.198}, {'token': 'saskatchewan', 'score': 0.162}, {'token': 'manitoba', 'score': 0.108}, {'token': 'alberta', 'score': 0.083}, {'token': 'australia', 'score': 0.031}, {'token': 'bc', 'score': 0.024}, {'token': 'victoria', 'score': 0.015}, {'token': 'newfoundland', 'score': 0.015}, {'token': 'quebec', 'score': 0.01}]","[{'token': 'canada', 'score': 0.951}, {'token': 'ontario', 'score': 0.017}, {'token': 'manitoba', 'score': 0.008}, {'token': 'australia', 'score': 0.007}, {'token': 'america', 'score': 0.003}, {'token': 'saskatchewan', 'score': 0.002}, {'token': 'britain', 'score': 0.002}, {'token': 'alberta', 'score': 0.001}, {'token': 'europe', 'score': 0.001}, {'token': 'newfoundland', 'score': 0.001}]"
9,nigeria,"[{'token': 'nigeria', 'score': 0.955}, {'token': 'niger', 'score': 0.011}, {'token': 'liberia', 'score': 0.006}, {'token': 'senegal', 'score': 0.005}, {'token': 'ghana', 'score': 0.004}, {'token': 'uganda', 'score': 0.003}, {'token': 'cameroon', 'score': 0.002}, {'token': 'tanzania', 'score': 0.001}, {'token': 'rwanda', 'score': 0.001}, {'token': 'guinea', 'score': 0.001}]","[{'token': 'senegal', 'score': 0.469}, {'token': 'mali', 'score': 0.054}, {'token': 'liberia', 'score': 0.049}, {'token': 'guinea', 'score': 0.043}, {'token': 'algeria', 'score': 0.043}, {'token': 'somalia', 'score': 0.039}, {'token': 'nigeria', 'score': 0.035}, {'token': 'chad', 'score': 0.034}, {'token': 'morocco', 'score': 0.028}, {'token': 'ghana', 'score': 0.024}]","[{'token': 'tunisia', 'score': 0.92}, {'token': 'algeria', 'score': 0.014}, {'token': 'egypt', 'score': 0.012}, {'token': 'libya', 'score': 0.01}, {'token': 'morocco', 'score': 0.007}, {'token': 'senegal', 'score': 0.004}, {'token': 'mali', 'score': 0.003}, {'token': 'lebanon', 'score': 0.002}, {'token': 'liberia', 'score': 0.002}, {'token': 'tunis', 'score': 0.001}]","[{'token': 'senegal', 'score': 0.159}, {'token': 'chad', 'score': 0.101}, {'token': 'somalia', 'score': 0.089}, {'token': 'liberia', 'score': 0.085}, {'token': 'mali', 'score': 0.069}, {'token': 'guinea', 'score': 0.062}, {'token': 'uganda', 'score': 0.056}, {'token': 'nigeria', 'score': 0.042}, {'token': 'ethiopia', 'score': 0.041}, {'token': 'ghana', 'score': 0.032}]","[{'token': 'liberia', 'score': 0.146}, {'token': 'senegal', 'score': 0.135}, {'token': 'somalia', 'score': 0.097}, {'token': 'ghana', 'score': 0.063}, {'token': 'nigeria', 'score': 0.06}, {'token': 'uganda', 'score': 0.057}, {'token': 'libya', 'score': 0.037}, {'token': 'kenya', 'score': 0.031}, {'token': 'mali', 'score': 0.026}, {'token': 'chad', 'score': 0.026}]"
