,answers,original,t5_0,t5_1,t5_2,t5_3
0,urdu,"[{'token': 'pakistan', 'score': 0.236}, {'token': 'english', 'score': 0.146}, {'token': 'pakistani', 'score': 0.07}, {'token': 'indian', 'score': 0.06}, {'token': 'arabic', 'score': 0.03}, {'token': 'also', 'score': 0.019}, {'token': 'ani', 'score': 0.019}, {'token': 'arab', 'score': 0.018}, {'token': 'russian', 'score': 0.015}, {'token': 'international', 'score': 0.014}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]"
1,italian,"[{'token': 'austrian', 'score': 0.814}, {'token': 'italian', 'score': 0.116}, {'token': 'argentine', 'score': 0.017}, {'token': 'american', 'score': 0.016}, {'token': 'australian', 'score': 0.016}, {'token': 'english', 'score': 0.005}, {'token': 'israeli', 'score': 0.003}, {'token': 'indian', 'score': 0.002}, {'token': 'indonesian', 'score': 0.002}, {'token': 'irish', 'score': 0.001}]","[{'token': 'italian', 'score': 0.22}, {'token': 'engineer', 'score': 0.163}, {'token': 'athlete', 'score': 0.113}, {'token': 'entrepreneur', 'score': 0.106}, {'token': 'austrian', 'score': 0.076}, {'token': 'american', 'score': 0.05}, {'token': 'actor', 'score': 0.027}, {'token': 'african', 'score': 0.025}, {'token': 'economist', 'score': 0.022}, {'token': 'argentine', 'score': 0.022}]","[{'token': 'italian', 'score': 0.448}, {'token': 'austrian', 'score': 0.114}, {'token': 'engineer', 'score': 0.098}, {'token': 'american', 'score': 0.095}, {'token': 'entrepreneur', 'score': 0.061}, {'token': 'athlete', 'score': 0.05}, {'token': 'immigrant', 'score': 0.017}, {'token': 'architect', 'score': 0.011}, {'token': 'australian', 'score': 0.009}, {'token': 'argentine', 'score': 0.008}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]"
2,finnish,"[{'token': 'finnish', 'score': 0.989}, {'token': 'swedish', 'score': 0.007}, {'token': 'norwegian', 'score': 0.001}, {'token': 'danish', 'score': 0.001}, {'token': 'finn', 'score': 0.0}, {'token': 'baltic', 'score': 0.0}, {'token': 'finland', 'score': 0.0}, {'token': 'dutch', 'score': 0.0}, {'token': 'nordic', 'score': 0.0}, {'token': 'russian', 'score': 0.0}]","[{'token': 'finnish', 'score': 0.527}, {'token': 'local', 'score': 0.161}, {'token': 'former', 'score': 0.124}, {'token': 'prominent', 'score': 0.036}, {'token': 'notable', 'score': 0.014}, {'token': 'successful', 'score': 0.01}, {'token': 'swedish', 'score': 0.008}, {'token': 'noted', 'score': 0.006}, {'token': 'municipal', 'score': 0.005}, {'token': 'retired', 'score': 0.004}]","[{'token': 'rice', 'score': 0.06}, {'token': 'dairy', 'score': 0.054}, {'token': 'former', 'score': 0.052}, {'token': 'fish', 'score': 0.039}, {'token': 'peasant', 'score': 0.039}, {'token': 'cattle', 'score': 0.031}, {'token': 'coffee', 'score': 0.021}, {'token': 'pig', 'score': 0.021}, {'token': 'wheat', 'score': 0.017}, {'token': 'banana', 'score': 0.016}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]"
3,spanish,"[{'token': 'spanish', 'score': 0.983}, {'token': 'english', 'score': 0.004}, {'token': 'portuguese', 'score': 0.004}, {'token': 'indigenous', 'score': 0.003}, {'token': 'french', 'score': 0.001}, {'token': 'latin', 'score': 0.001}, {'token': 'maya', 'score': 0.001}, {'token': 'native', 'score': 0.001}, {'token': 'mexican', 'score': 0.001}, {'token': 'colombian', 'score': 0.0}]","[{'token': 'spanish', 'score': 0.953}, {'token': 'english', 'score': 0.012}, {'token': 'portuguese', 'score': 0.01}, {'token': 'indigenous', 'score': 0.008}, {'token': 'french', 'score': 0.006}, {'token': 'native', 'score': 0.002}, {'token': 'maya', 'score': 0.001}, {'token': 'colombian', 'score': 0.001}, {'token': 'latin', 'score': 0.001}, {'token': 'mexican', 'score': 0.001}]","[{'token': 'spanish', 'score': 0.963}, {'token': 'indigenous', 'score': 0.011}, {'token': 'maya', 'score': 0.007}, {'token': 'english', 'score': 0.004}, {'token': 'native', 'score': 0.003}, {'token': 'mexican', 'score': 0.002}, {'token': 'hispanic', 'score': 0.002}, {'token': 'latin', 'score': 0.002}, {'token': 'portuguese', 'score': 0.001}, {'token': 'indian', 'score': 0.001}]","[{'token': 'spanish', 'score': 0.97}, {'token': 'portuguese', 'score': 0.007}, {'token': 'latin', 'score': 0.007}, {'token': 'english', 'score': 0.004}, {'token': 'hispanic', 'score': 0.003}, {'token': 'mexican', 'score': 0.002}, {'token': 'indigenous', 'score': 0.002}, {'token': 'native', 'score': 0.001}, {'token': 'maya', 'score': 0.001}, {'token': 'latino', 'score': 0.001}]","[{'token': 'spanish', 'score': 0.959}, {'token': 'english', 'score': 0.009}, {'token': 'indigenous', 'score': 0.009}, {'token': 'native', 'score': 0.004}, {'token': 'mexican', 'score': 0.003}, {'token': 'latin', 'score': 0.003}, {'token': 'maya', 'score': 0.003}, {'token': 'portuguese', 'score': 0.002}, {'token': 'hispanic', 'score': 0.001}, {'token': 'carib', 'score': 0.0}]"
4,french,"[{'token': 'french', 'score': 0.988}, {'token': 'french', 'score': 0.004}, {'token': 'english', 'score': 0.001}, {'token': 'spanish', 'score': 0.001}, {'token': 'france', 'score': 0.001}, {'token': 'dutch', 'score': 0.001}, {'token': 'fr', 'score': 0.001}, {'token': 're', 'score': 0.001}, {'token': 'also', 'score': 0.0}, {'token': 'fr', 'score': 0.0}]","[{'token': 'french', 'score': 0.997}, {'token': 'french', 'score': 0.003}, {'token': 'british', 'score': 0.0}, {'token': 'dutch', 'score': 0.0}, {'token': 'danish', 'score': 0.0}, {'token': 'english', 'score': 0.0}, {'token': 'spanish', 'score': 0.0}, {'token': 'german', 'score': 0.0}, {'token': 'portuguese', 'score': 0.0}, {'token': 'japanese', 'score': 0.0}]","[{'token': 'french', 'score': 0.997}, {'token': 'dutch', 'score': 0.001}, {'token': 'japanese', 'score': 0.0}, {'token': 'finnish', 'score': 0.0}, {'token': 'british', 'score': 0.0}, {'token': 'danish', 'score': 0.0}, {'token': 'south', 'score': 0.0}, {'token': 'french', 'score': 0.0}, {'token': 'german', 'score': 0.0}, {'token': 'west', 'score': 0.0}]","[{'token': 'french', 'score': 0.995}, {'token': 'dutch', 'score': 0.001}, {'token': 'japanese', 'score': 0.0}, {'token': 'british', 'score': 0.0}, {'token': 'danish', 'score': 0.0}, {'token': 'south', 'score': 0.0}, {'token': 'finnish', 'score': 0.0}, {'token': 'west', 'score': 0.0}, {'token': 'north', 'score': 0.0}, {'token': 'italian', 'score': 0.0}]","[{'token': 'french', 'score': 0.997}, {'token': 'french', 'score': 0.002}, {'token': 'dutch', 'score': 0.0}, {'token': 'english', 'score': 0.0}, {'token': 'danish', 'score': 0.0}, {'token': 'british', 'score': 0.0}, {'token': 'south', 'score': 0.0}, {'token': 'german', 'score': 0.0}, {'token': 'france', 'score': 0.0}, {'token': 'european', 'score': 0.0}]"
5,finnish,"[{'token': 'swedish', 'score': 0.779}, {'token': 'finnish', 'score': 0.127}, {'token': 'professional', 'score': 0.017}, {'token': 'norwegian', 'score': 0.013}, {'token': 'male', 'score': 0.01}, {'token': 'female', 'score': 0.007}, {'token': 'former', 'score': 0.004}, {'token': 'international', 'score': 0.003}, {'token': 'nordic', 'score': 0.003}, {'token': 'competitive', 'score': 0.003}]","[{'token': 'local', 'score': 0.148}, {'token': 'former', 'score': 0.123}, {'token': 'swedish', 'score': 0.122}, {'token': 'famous', 'score': 0.083}, {'token': 'finnish', 'score': 0.06}, {'token': 'notable', 'score': 0.053}, {'token': 'national', 'score': 0.052}, {'token': 'female', 'score': 0.029}, {'token': 'successful', 'score': 0.019}, {'token': 'professional', 'score': 0.019}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': 'the', 'score': 0.513}, {'token': 'swedish', 'score': 0.088}, {'token': 'finnish', 'score': 0.072}, {'token': 'former', 'score': 0.039}, {'token': 'its', 'score': 0.022}, {'token': 'local', 'score': 0.018}, {'token': 'male', 'score': 0.016}, {'token': 'norwegian', 'score': 0.016}, {'token': 'their', 'score': 0.015}, {'token': 'senior', 'score': 0.013}]","[{'token': 'finnish', 'score': 0.919}, {'token': 'finland', 'score': 0.056}, {'token': 'senior', 'score': 0.003}, {'token': 'swedish', 'score': 0.002}, {'token': 'finn', 'score': 0.002}, {'token': 'russian', 'score': 0.002}, {'token': 'norwegian', 'score': 0.001}, {'token': 'junior', 'score': 0.001}, {'token': 'estonia', 'score': 0.001}, {'token': 'national', 'score': 0.001}]"
6,malay,"[{'token': 'dutch', 'score': 0.315}, {'token': 'indonesian', 'score': 0.235}, {'token': 'arab', 'score': 0.093}, {'token': 'muslim', 'score': 0.073}, {'token': 'english', 'score': 0.042}, {'token': 'arabic', 'score': 0.032}, {'token': 'islamic', 'score': 0.019}, {'token': 'turkish', 'score': 0.018}, {'token': 'chinese', 'score': 0.014}, {'token': 'spanish', 'score': 0.014}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]"
7,urdu,"[{'token': 'arabic', 'score': 0.622}, {'token': 'tamil', 'score': 0.254}, {'token': 'persian', 'score': 0.043}, {'token': 'english', 'score': 0.019}, {'token': 'russian', 'score': 0.015}, {'token': 'ur', 'score': 0.009}, {'token': 'sanskrit', 'score': 0.006}, {'token': 'hindi', 'score': 0.005}, {'token': 'egyptian', 'score': 0.003}, {'token': 'mongol', 'score': 0.002}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]"
8,finnish,"[{'token': 'finnish', 'score': 0.976}, {'token': 'norwegian', 'score': 0.019}, {'token': 'finn', 'score': 0.001}, {'token': 'russian', 'score': 0.001}, {'token': 'swedish', 'score': 0.001}, {'token': 'english', 'score': 0.001}, {'token': 'latin', 'score': 0.0}, {'token': 'dutch', 'score': 0.0}, {'token': 'danish', 'score': 0.0}, {'token': 'finland', 'score': 0.0}]","[{'token': 'swedish', 'score': 0.742}, {'token': 'english', 'score': 0.074}, {'token': 'norwegian', 'score': 0.049}, {'token': 'scandinavian', 'score': 0.034}, {'token': 'german', 'score': 0.014}, {'token': 'japanese', 'score': 0.013}, {'token': 'russian', 'score': 0.01}, {'token': 'dutch', 'score': 0.006}, {'token': 'arabic', 'score': 0.006}, {'token': 'elsewhere', 'score': 0.005}]","[{'token': 'north', 'score': 0.18}, {'token': 'east', 'score': 0.176}, {'token': 'baltic', 'score': 0.102}, {'token': 'south', 'score': 0.086}, {'token': 'area', 'score': 0.068}, {'token': 'region', 'score': 0.066}, {'token': 'west', 'score': 0.059}, {'token': 'east', 'score': 0.016}, {'token': 'part', 'score': 0.016}, {'token': 'northeast', 'score': 0.014}]","[{'token': 'swedish', 'score': 0.782}, {'token': 'english', 'score': 0.065}, {'token': 'norwegian', 'score': 0.054}, {'token': 'scandinavian', 'score': 0.019}, {'token': 'russian', 'score': 0.012}, {'token': 'german', 'score': 0.012}, {'token': 'japanese', 'score': 0.011}, {'token': 'dutch', 'score': 0.005}, {'token': 'arabic', 'score': 0.004}, {'token': 'danish', 'score': 0.004}]","[{'token': 'english', 'score': 0.164}, {'token': 'finnish', 'score': 0.119}, {'token': 'romanian', 'score': 0.118}, {'token': 'estonia', 'score': 0.117}, {'token': 'swedish', 'score': 0.074}, {'token': 'russian', 'score': 0.067}, {'token': 'german', 'score': 0.035}, {'token': 'sweden', 'score': 0.034}, {'token': 'french', 'score': 0.03}, {'token': 'russia', 'score': 0.024}]"
9,french,"[{'token': 'english', 'score': 0.77}, {'token': 'french', 'score': 0.061}, {'token': 'spanish', 'score': 0.039}, {'token': 'german', 'score': 0.03}, {'token': 'dutch', 'score': 0.028}, {'token': 'english', 'score': 0.017}, {'token': 'french', 'score': 0.008}, {'token': 'the', 'score': 0.004}, {'token': 'arabic', 'score': 0.003}, {'token': 'welsh', 'score': 0.003}]","[{'token': 'french', 'score': 0.668}, {'token': 'spanish', 'score': 0.189}, {'token': 'german', 'score': 0.031}, {'token': 'english', 'score': 0.027}, {'token': 'portuguese', 'score': 0.018}, {'token': 'dutch', 'score': 0.01}, {'token': 'french', 'score': 0.007}, {'token': 'latin', 'score': 0.004}, {'token': 'rap', 'score': 0.004}, {'token': 'catalan', 'score': 0.003}]","[{'token': 'french', 'score': 0.954}, {'token': 'spanish', 'score': 0.008}, {'token': 'french', 'score': 0.005}, {'token': 'german', 'score': 0.003}, {'token': 'english', 'score': 0.002}, {'token': 'chad', 'score': 0.002}, {'token': 'moroccan', 'score': 0.002}, {'token': 'rap', 'score': 0.001}, {'token': 'arabic', 'score': 0.001}, {'token': 'portuguese', 'score': 0.001}]","[{'token': 'french', 'score': 0.893}, {'token': 'spanish', 'score': 0.041}, {'token': 'english', 'score': 0.013}, {'token': 'dutch', 'score': 0.01}, {'token': 'german', 'score': 0.01}, {'token': 'french', 'score': 0.008}, {'token': 'catalan', 'score': 0.004}, {'token': 'rap', 'score': 0.003}, {'token': 'welsh', 'score': 0.002}, {'token': 'portuguese', 'score': 0.001}]","[{'token': 'french', 'score': 0.5}, {'token': 'russian', 'score': 0.085}, {'token': 'german', 'score': 0.058}, {'token': 'spanish', 'score': 0.051}, {'token': 'mandarin', 'score': 0.038}, {'token': 'dutch', 'score': 0.035}, {'token': 'persian', 'score': 0.03}, {'token': 'chinese', 'score': 0.02}, {'token': 'turkish', 'score': 0.013}, {'token': 'mongol', 'score': 0.012}]"
