,answers,original,t5_0,t5_1,t5_2,t5_3
0,opera,"[{'token': 'essay', 'score': 0.121}, {'token': 'poem', 'score': 0.119}, {'token': 'film', 'score': 0.094}, {'token': 'book', 'score': 0.093}, {'token': 'play', 'score': 0.088}, {'token': 'documentary', 'score': 0.069}, {'token': 'novel', 'score': 0.053}, {'token': 'song', 'score': 0.039}, {'token': 'memoir', 'score': 0.028}, {'token': 'piece', 'score': 0.022}]","[{'token': 'song', 'score': 0.263}, {'token': 'poem', 'score': 0.184}, {'token': 'book', 'score': 0.13}, {'token': 'essay', 'score': 0.072}, {'token': 'play', 'score': 0.051}, {'token': 'piece', 'score': 0.034}, {'token': 'memoir', 'score': 0.028}, {'token': 'novel', 'score': 0.027}, {'token': 'album', 'score': 0.017}, {'token': 'composition', 'score': 0.012}]","[{'token': 'poem', 'score': 0.163}, {'token': 'song', 'score': 0.157}, {'token': 'piece', 'score': 0.097}, {'token': 'essay', 'score': 0.097}, {'token': 'book', 'score': 0.093}, {'token': 'play', 'score': 0.047}, {'token': 'work', 'score': 0.039}, {'token': 'novel', 'score': 0.025}, {'token': 'performance', 'score': 0.023}, {'token': 'film', 'score': 0.021}]","[{'token': 'film', 'score': 0.173}, {'token': 'book', 'score': 0.165}, {'token': 'documentary', 'score': 0.086}, {'token': 'video', 'score': 0.077}, {'token': 'essay', 'score': 0.049}, {'token': 'album', 'score': 0.035}, {'token': 'exhibition', 'score': 0.034}, {'token': 'play', 'score': 0.028}, {'token': 'memoir', 'score': 0.025}, {'token': 'novel', 'score': 0.017}]","[{'token': 'performance', 'score': 0.159}, {'token': 'album', 'score': 0.13}, {'token': 'concert', 'score': 0.123}, {'token': 'piece', 'score': 0.087}, {'token': 'show', 'score': 0.073}, {'token': 'song', 'score': 0.072}, {'token': 'cd', 'score': 0.047}, {'token': 'video', 'score': 0.039}, {'token': 'play', 'score': 0.025}, {'token': 'work', 'score': 0.024}]"
1,jazz,"[{'token': 'jazz', 'score': 0.939}, {'token': 'classical', 'score': 0.017}, {'token': 'experimental', 'score': 0.005}, {'token': 'fusion', 'score': 0.005}, {'token': 'blues', 'score': 0.004}, {'token': 'jazz', 'score': 0.003}, {'token': 'bass', 'score': 0.002}, {'token': 'jewish', 'score': 0.001}, {'token': 'rock', 'score': 0.001}, {'token': 'folk', 'score': 0.001}]","[{'token': 'jazz', 'score': 0.709}, {'token': 'classical', 'score': 0.162}, {'token': 'experimental', 'score': 0.017}, {'token': 'jazz', 'score': 0.012}, {'token': 'classical', 'score': 0.009}, {'token': 'fusion', 'score': 0.006}, {'token': 'jewish', 'score': 0.005}, {'token': 'renaissance', 'score': 0.004}, {'token': 'contemporary', 'score': 0.004}, {'token': 'folk', 'score': 0.003}]","[{'token': 'jazz', 'score': 0.854}, {'token': 'classical', 'score': 0.042}, {'token': 'jewish', 'score': 0.036}, {'token': 'jazz', 'score': 0.01}, {'token': 'born', 'score': 0.006}, {'token': 'blues', 'score': 0.005}, {'token': 'bass', 'score': 0.003}, {'token': 'fusion', 'score': 0.002}, {'token': 'experimental', 'score': 0.002}, {'token': 'blind', 'score': 0.001}]","[{'token': 'jazz', 'score': 0.887}, {'token': 'blues', 'score': 0.04}, {'token': 'rock', 'score': 0.01}, {'token': 'classical', 'score': 0.006}, {'token': 'jazz', 'score': 0.006}, {'token': 'folk', 'score': 0.005}, {'token': 'soul', 'score': 0.005}, {'token': 'session', 'score': 0.005}, {'token': 'black', 'score': 0.003}, {'token': 'professional', 'score': 0.002}]","[{'token': 'jazz', 'score': 0.949}, {'token': 'classical', 'score': 0.013}, {'token': 'jazz', 'score': 0.009}, {'token': 'jewish', 'score': 0.005}, {'token': 'experimental', 'score': 0.002}, {'token': 'fusion', 'score': 0.002}, {'token': 'blues', 'score': 0.002}, {'token': 'folk', 'score': 0.001}, {'token': 'rock', 'score': 0.001}, {'token': 'bass', 'score': 0.001}]"
2,opera,"[{'token': 'musical', 'score': 0.425}, {'token': 'play', 'score': 0.227}, {'token': 'opera', 'score': 0.177}, {'token': 'film', 'score': 0.074}, {'token': 'comedy', 'score': 0.037}, {'token': 'drama', 'score': 0.022}, {'token': 'ballet', 'score': 0.006}, {'token': 'song', 'score': 0.004}, {'token': 'novel', 'score': 0.004}, {'token': 'movie', 'score': 0.004}]","[{'token': 'musical', 'score': 0.457}, {'token': 'film', 'score': 0.186}, {'token': 'comedy', 'score': 0.035}, {'token': 'play', 'score': 0.031}, {'token': 'classic', 'score': 0.03}, {'token': 'movie', 'score': 0.03}, {'token': 'series', 'score': 0.024}, {'token': 'fantasy', 'score': 0.018}, {'token': 'opera', 'score': 0.015}, {'token': 'sitcom', 'score': 0.012}]","[{'token': 'classic', 'score': 0.152}, {'token': 'comedy', 'score': 0.111}, {'token': 'musical', 'score': 0.092}, {'token': 'epic', 'score': 0.056}, {'token': 'tragedy', 'score': 0.055}, {'token': 'novel', 'score': 0.04}, {'token': 'drama', 'score': 0.039}, {'token': 'film', 'score': 0.032}, {'token': 'play', 'score': 0.03}, {'token': 'story', 'score': 0.025}]","[{'token': 'musical', 'score': 0.415}, {'token': 'comedy', 'score': 0.213}, {'token': 'film', 'score': 0.158}, {'token': 'play', 'score': 0.029}, {'token': 'movie', 'score': 0.023}, {'token': 'classic', 'score': 0.02}, {'token': 'drama', 'score': 0.019}, {'token': 'western', 'score': 0.019}, {'token': 'production', 'score': 0.014}, {'token': 'western', 'score': 0.012}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]"
3,jazz,"[{'token': 'jazz', 'score': 0.408}, {'token': 'blues', 'score': 0.1}, {'token': 'commercial', 'score': 0.06}, {'token': 'recorded', 'score': 0.033}, {'token': 'session', 'score': 0.031}, {'token': 'such', 'score': 0.022}, {'token': 'studio', 'score': 0.019}, {'token': 'professional', 'score': 0.012}, {'token': 'successful', 'score': 0.012}, {'token': 'demo', 'score': 0.012}]","[{'token': 'jazz', 'score': 0.763}, {'token': 'commercial', 'score': 0.033}, {'token': 'jazz', 'score': 0.011}, {'token': 'blues', 'score': 0.01}, {'token': 'session', 'score': 0.01}, {'token': 'recorded', 'score': 0.01}, {'token': 'such', 'score': 0.007}, {'token': 'successful', 'score': 0.007}, {'token': 'studio', 'score': 0.007}, {'token': 'professional', 'score': 0.006}]","[{'token': 'together', 'score': 0.397}, {'token': 'professionally', 'score': 0.147}, {'token': 'commercially', 'score': 0.096}, {'token': 'music', 'score': 0.057}, {'token': 'records', 'score': 0.031}, {'token': 'live', 'score': 0.025}, {'token': 'jazz', 'score': 0.018}, {'token': 'nationally', 'score': 0.018}, {'token': 'independently', 'score': 0.017}, {'token': 'gold', 'score': 0.016}]","[{'token': 'jazz', 'score': 0.329}, {'token': 'commercial', 'score': 0.204}, {'token': 'successful', 'score': 0.038}, {'token': 'studio', 'score': 0.029}, {'token': 'professional', 'score': 0.026}, {'token': 'recorded', 'score': 0.022}, {'token': 'session', 'score': 0.022}, {'token': 'sound', 'score': 0.013}, {'token': 'such', 'score': 0.012}, {'token': 'official', 'score': 0.011}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]"
4,jazz,"[{'token': 'classical', 'score': 0.518}, {'token': 'jazz', 'score': 0.185}, {'token': 'french', 'score': 0.109}, {'token': 'concert', 'score': 0.091}, {'token': 'professional', 'score': 0.01}, {'token': 'belgian', 'score': 0.004}, {'token': 'classical', 'score': 0.004}, {'token': 'freelance', 'score': 0.004}, {'token': 'swiss', 'score': 0.004}, {'token': 'amateur', 'score': 0.004}]","[{'token': 'jazz', 'score': 0.607}, {'token': 'classical', 'score': 0.195}, {'token': 'french', 'score': 0.106}, {'token': 'concert', 'score': 0.013}, {'token': 'belgian', 'score': 0.008}, {'token': 'jazz', 'score': 0.006}, {'token': 'blues', 'score': 0.002}, {'token': 'experimental', 'score': 0.002}, {'token': 'electric', 'score': 0.002}, {'token': 'professional', 'score': 0.002}]","[{'token': 'french', 'score': 0.587}, {'token': 'young', 'score': 0.177}, {'token': 'belgian', 'score': 0.041}, {'token': 'jazz', 'score': 0.024}, {'token': 'classical', 'score': 0.023}, {'token': 'french', 'score': 0.01}, {'token': 'talented', 'score': 0.008}, {'token': 'concert', 'score': 0.006}, {'token': 'swiss', 'score': 0.006}, {'token': 'professional', 'score': 0.006}]","[{'token': 'jazz', 'score': 0.901}, {'token': 'concert', 'score': 0.02}, {'token': 'classical', 'score': 0.017}, {'token': 'solo', 'score': 0.009}, {'token': 'jazz', 'score': 0.008}, {'token': 'french', 'score': 0.008}, {'token': 'young', 'score': 0.003}, {'token': 'freelance', 'score': 0.002}, {'token': 'american', 'score': 0.001}, {'token': 'piano', 'score': 0.001}]","[{'token': 'french', 'score': 0.34}, {'token': 'jazz', 'score': 0.315}, {'token': 'young', 'score': 0.074}, {'token': 'classical', 'score': 0.047}, {'token': 'famous', 'score': 0.023}, {'token': 'great', 'score': 0.018}, {'token': 'belgian', 'score': 0.017}, {'token': 'french', 'score': 0.016}, {'token': 'black', 'score': 0.014}, {'token': 'jazz', 'score': 0.009}]"
5,opera,"[{'token': 'opera', 'score': 0.998}, {'token': 'epic', 'score': 0.001}, {'token': 'opera', 'score': 0.0}, {'token': 'autobiography', 'score': 0.0}, {'token': 'adaptation', 'score': 0.0}, {'token': 'adventure', 'score': 0.0}, {'token': 'work', 'score': 0.0}, {'token': 'anthem', 'score': 0.0}, {'token': 'action', 'score': 0.0}, {'token': 'tragedy', 'score': 0.0}]","[{'token': 'opera', 'score': 0.858}, {'token': 'play', 'score': 0.036}, {'token': 'novel', 'score': 0.023}, {'token': 'epic', 'score': 0.012}, {'token': 'poem', 'score': 0.01}, {'token': 'story', 'score': 0.01}, {'token': 'musical', 'score': 0.009}, {'token': 'ballet', 'score': 0.008}, {'token': 'original', 'score': 0.003}, {'token': 'fantasy', 'score': 0.002}]","[{'token': 'opera', 'score': 0.885}, {'token': 'ballet', 'score': 0.038}, {'token': 'musical', 'score': 0.011}, {'token': 'film', 'score': 0.006}, {'token': 'story', 'score': 0.005}, {'token': 'play', 'score': 0.005}, {'token': 'original', 'score': 0.004}, {'token': 'novel', 'score': 0.004}, {'token': 'opera', 'score': 0.003}, {'token': 'piece', 'score': 0.003}]","[{'token': 'opera', 'score': 0.994}, {'token': 'epic', 'score': 0.001}, {'token': 'album', 'score': 0.001}, {'token': 'episode', 'score': 0.001}, {'token': 'opera', 'score': 0.0}, {'token': 'act', 'score': 0.0}, {'token': 'adventure', 'score': 0.0}, {'token': 'evening', 'score': 0.0}, {'token': 'orchestra', 'score': 0.0}, {'token': 'lp', 'score': 0.0}]","[{'token': 'opera', 'score': 0.93}, {'token': 'ballet', 'score': 0.037}, {'token': 'musical', 'score': 0.007}, {'token': 'play', 'score': 0.006}, {'token': 'epic', 'score': 0.002}, {'token': 'drama', 'score': 0.002}, {'token': 'work', 'score': 0.001}, {'token': 'novel', 'score': 0.001}, {'token': 'masterpiece', 'score': 0.001}, {'token': 'opera', 'score': 0.001}]"
6,opera,"[{'token': 'opera', 'score': 0.999}, {'token': 'epic', 'score': 0.001}, {'token': 'adaptation', 'score': 0.0}, {'token': 'opera', 'score': 0.0}, {'token': 'play', 'score': 0.0}, {'token': 'comedy', 'score': 0.0}, {'token': 'drama', 'score': 0.0}, {'token': 'ballet', 'score': 0.0}, {'token': 'original', 'score': 0.0}, {'token': 'adventure', 'score': 0.0}]","[{'token': 'opera', 'score': 0.998}, {'token': 'epic', 'score': 0.001}, {'token': 'opera', 'score': 0.0}, {'token': 'play', 'score': 0.0}, {'token': 'adaptation', 'score': 0.0}, {'token': 'ballet', 'score': 0.0}, {'token': 'comedy', 'score': 0.0}, {'token': 'musical', 'score': 0.0}, {'token': 'adventure', 'score': 0.0}, {'token': 'drama', 'score': 0.0}]","[{'token': 'opera', 'score': 0.993}, {'token': 'epic', 'score': 0.006}, {'token': 'adaptation', 'score': 0.0}, {'token': 'play', 'score': 0.0}, {'token': 'comedy', 'score': 0.0}, {'token': 'drama', 'score': 0.0}, {'token': 'opera', 'score': 0.0}, {'token': 'ballet', 'score': 0.0}, {'token': 'autobiography', 'score': 0.0}, {'token': 'adventure', 'score': 0.0}]","[{'token': 'opera', 'score': 0.522}, {'token': 'play', 'score': 0.316}, {'token': 'ballet', 'score': 0.052}, {'token': 'drama', 'score': 0.03}, {'token': 'film', 'score': 0.022}, {'token': 'comedy', 'score': 0.013}, {'token': 'musical', 'score': 0.011}, {'token': 'work', 'score': 0.006}, {'token': 'adaptation', 'score': 0.004}, {'token': 'piece', 'score': 0.003}]","[{'token': 'opera', 'score': 0.942}, {'token': 'work', 'score': 0.016}, {'token': 'play', 'score': 0.01}, {'token': 'drama', 'score': 0.009}, {'token': 'ballet', 'score': 0.007}, {'token': 'piece', 'score': 0.005}, {'token': 'comedy', 'score': 0.002}, {'token': 'musical', 'score': 0.001}, {'token': 'tragedy', 'score': 0.001}, {'token': 'production', 'score': 0.001}]"
7,opera,"[{'token': 'opera', 'score': 0.999}, {'token': 'epic', 'score': 0.0}, {'token': 'adaptation', 'score': 0.0}, {'token': 'play', 'score': 0.0}, {'token': 'opera', 'score': 0.0}, {'token': 'ballet', 'score': 0.0}, {'token': 'musical', 'score': 0.0}, {'token': 'drama', 'score': 0.0}, {'token': 'autobiography', 'score': 0.0}, {'token': 'action', 'score': 0.0}]","[{'token': 'musical', 'score': 0.489}, {'token': 'play', 'score': 0.421}, {'token': 'opera', 'score': 0.042}, {'token': 'musical', 'score': 0.01}, {'token': 'drama', 'score': 0.007}, {'token': 'show', 'score': 0.006}, {'token': 'comedy', 'score': 0.006}, {'token': 'play', 'score': 0.005}, {'token': 'ballet', 'score': 0.002}, {'token': 'production', 'score': 0.001}]","[{'token': 'play', 'score': 0.93}, {'token': 'opera', 'score': 0.019}, {'token': 'musical', 'score': 0.014}, {'token': 'drama', 'score': 0.008}, {'token': 'adaptation', 'score': 0.007}, {'token': 'comedy', 'score': 0.004}, {'token': 'piece', 'score': 0.002}, {'token': 'film', 'score': 0.002}, {'token': 'ballet', 'score': 0.002}, {'token': 'production', 'score': 0.002}]","[{'token': 'play', 'score': 0.716}, {'token': 'opera', 'score': 0.104}, {'token': 'drama', 'score': 0.084}, {'token': 'adaptation', 'score': 0.014}, {'token': 'musical', 'score': 0.012}, {'token': 'work', 'score': 0.012}, {'token': 'novel', 'score': 0.011}, {'token': 'comedy', 'score': 0.007}, {'token': 'piece', 'score': 0.004}, {'token': 'ballet', 'score': 0.003}]","[{'token': 'play', 'score': 0.198}, {'token': 'drama', 'score': 0.084}, {'token': 'latest', 'score': 0.068}, {'token': 'debut', 'score': 0.068}, {'token': 'novel', 'score': 0.065}, {'token': 'film', 'score': 0.029}, {'token': 'masterpiece', 'score': 0.026}, {'token': 'production', 'score': 0.022}, {'token': 'comedy', 'score': 0.017}, {'token': 'opera', 'score': 0.016}]"
8,jazz,"[{'token': 'jazz', 'score': 0.98}, {'token': 'blues', 'score': 0.003}, {'token': 'rhythm', 'score': 0.003}, {'token': 'bass', 'score': 0.002}, {'token': 'classical', 'score': 0.002}, {'token': 'jazz', 'score': 0.001}, {'token': 'swing', 'score': 0.001}, {'token': 'pioneer', 'score': 0.001}, {'token': 'musical', 'score': 0.0}, {'token': 'professional', 'score': 0.0}]","[{'token': 'jazz', 'score': 0.946}, {'token': 'band', 'score': 0.006}, {'token': 'bass', 'score': 0.006}, {'token': 'blues', 'score': 0.004}, {'token': 'rhythm', 'score': 0.004}, {'token': 'classical', 'score': 0.003}, {'token': 'jazz', 'score': 0.003}, {'token': 'swing', 'score': 0.001}, {'token': 'musical', 'score': 0.001}, {'token': 'trio', 'score': 0.001}]","[{'token': 'jazz', 'score': 0.31}, {'token': 'young', 'score': 0.14}, {'token': 'famous', 'score': 0.033}, {'token': 'blind', 'score': 0.026}, {'token': 'bass', 'score': 0.026}, {'token': 'talented', 'score': 0.024}, {'token': 'popular', 'score': 0.023}, {'token': 'classical', 'score': 0.019}, {'token': 'renowned', 'score': 0.018}, {'token': 'jewish', 'score': 0.018}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': 'jazz', 'score': 0.606}, {'token': 'classical', 'score': 0.111}, {'token': 'bass', 'score': 0.048}, {'token': 'blues', 'score': 0.03}, {'token': 'a', 'score': 0.019}, {'token': 'born', 'score': 0.017}, {'token': 'rhythm', 'score': 0.014}, {'token': 'jazz', 'score': 0.01}, {'token': 'folk', 'score': 0.009}, {'token': 'band', 'score': 0.008}]"
9,jazz,"[{'token': 'canadian', 'score': 0.529}, {'token': 'jazz', 'score': 0.289}, {'token': 'british', 'score': 0.022}, {'token': 'professional', 'score': 0.017}, {'token': 'popular', 'score': 0.009}, {'token': 'chicago', 'score': 0.009}, {'token': 'scottish', 'score': 0.008}, {'token': 'noted', 'score': 0.008}, {'token': 'blues', 'score': 0.006}, {'token': 'prominent', 'score': 0.005}]","[{'token': 'great', 'score': 0.219}, {'token': 'notable', 'score': 0.144}, {'token': 'famous', 'score': 0.079}, {'token': 'popular', 'score': 0.078}, {'token': 'noted', 'score': 0.078}, {'token': 'legendary', 'score': 0.031}, {'token': 'prominent', 'score': 0.024}, {'token': 'renowned', 'score': 0.021}, {'token': 'canadian', 'score': 0.018}, {'token': 'jazz', 'score': 0.013}]","[{'token': 'canadian', 'score': 0.406}, {'token': 'jazz', 'score': 0.082}, {'token': 'celebrated', 'score': 0.036}, {'token': 'noted', 'score': 0.035}, {'token': 'british', 'score': 0.033}, {'token': 'prominent', 'score': 0.026}, {'token': 'renowned', 'score': 0.022}, {'token': 'chicago', 'score': 0.022}, {'token': 'professional', 'score': 0.016}, {'token': 'prolific', 'score': 0.016}]","[{'token': 'canadian', 'score': 0.667}, {'token': 'british', 'score': 0.185}, {'token': 'jazz', 'score': 0.066}, {'token': 'scottish', 'score': 0.042}, {'token': 'welsh', 'score': 0.003}, {'token': 'blues', 'score': 0.002}, {'token': 'professional', 'score': 0.002}, {'token': 'american', 'score': 0.002}, {'token': 'black', 'score': 0.002}, {'token': 'popular', 'score': 0.002}]","[{'token': 'jazz', 'score': 0.19}, {'token': 'noted', 'score': 0.082}, {'token': 'professional', 'score': 0.042}, {'token': 'renowned', 'score': 0.041}, {'token': 'prominent', 'score': 0.038}, {'token': 'great', 'score': 0.032}, {'token': 'famous', 'score': 0.029}, {'token': 'celebrated', 'score': 0.029}, {'token': 'pioneering', 'score': 0.028}, {'token': 'master', 'score': 0.025}]"
