,answers,original,t5_0,t5_1,t5_2,t5_3
0,iraq,"[{'token': 'iraq', 'score': 0.429}, {'token': 'baghdad', 'score': 0.321}, {'token': 'thailand', 'score': 0.018}, {'token': 'turkey', 'score': 0.016}, {'token': 'kuwait', 'score': 0.016}, {'token': 'jordan', 'score': 0.015}, {'token': 'afghanistan', 'score': 0.013}, {'token': 'iran', 'score': 0.008}, {'token': 'syria', 'score': 0.007}, {'token': 'istanbul', 'score': 0.007}]","[{'token': 'iraq', 'score': 0.106}, {'token': 'yemen', 'score': 0.08}, {'token': 'baghdad', 'score': 0.064}, {'token': 'syria', 'score': 0.052}, {'token': 'afghanistan', 'score': 0.052}, {'token': 'lebanon', 'score': 0.045}, {'token': 'sudan', 'score': 0.034}, {'token': 'jordan', 'score': 0.033}, {'token': 'egypt', 'score': 0.025}, {'token': 'pakistan', 'score': 0.023}]","[{'token': 'japan', 'score': 0.097}, {'token': 'tokyo', 'score': 0.078}, {'token': 'korea', 'score': 0.056}, {'token': 'thailand', 'score': 0.054}, {'token': 'taiwan', 'score': 0.045}, {'token': 'seoul', 'score': 0.04}, {'token': 'philippines', 'score': 0.02}, {'token': 'china', 'score': 0.019}, {'token': 'vietnam', 'score': 0.015}, {'token': 'russia', 'score': 0.015}]","[{'token': 'iraq', 'score': 0.21}, {'token': 'yemen', 'score': 0.177}, {'token': 'syria', 'score': 0.135}, {'token': 'jordan', 'score': 0.076}, {'token': 'baghdad', 'score': 0.06}, {'token': 'lebanon', 'score': 0.056}, {'token': 'egypt', 'score': 0.028}, {'token': 'sudan', 'score': 0.027}, {'token': 'aden', 'score': 0.02}, {'token': 'somalia', 'score': 0.019}]","[{'token': 'baghdad', 'score': 0.257}, {'token': 'iraq', 'score': 0.122}, {'token': 'kuwait', 'score': 0.096}, {'token': 'jordan', 'score': 0.042}, {'token': 'syria', 'score': 0.033}, {'token': 'thailand', 'score': 0.031}, {'token': 'afghanistan', 'score': 0.031}, {'token': 'yemen', 'score': 0.017}, {'token': 'turkey', 'score': 0.015}, {'token': 'istanbul', 'score': 0.015}]"
1,paris,"[{'token': 'paris', 'score': 0.878}, {'token': 'rome', 'score': 0.026}, {'token': 'france', 'score': 0.023}, {'token': 'lyon', 'score': 0.007}, {'token': 'london', 'score': 0.005}, {'token': 'brussels', 'score': 0.005}, {'token': 'geneva', 'score': 0.004}, {'token': 'vienna', 'score': 0.003}, {'token': 'munich', 'score': 0.002}, {'token': 'italy', 'score': 0.002}]","[{'token': 'high', 'score': 0.289}, {'token': 'elementary', 'score': 0.106}, {'token': 'grammar', 'score': 0.081}, {'token': 'public', 'score': 0.062}, {'token': 'boarding', 'score': 0.062}, {'token': 'private', 'score': 0.046}, {'token': 'primary', 'score': 0.033}, {'token': 'middle', 'score': 0.018}, {'token': 'secondary', 'score': 0.018}, {'token': 'catholic', 'score': 0.018}]","[{'token': 'paris', 'score': 0.84}, {'token': 'rome', 'score': 0.04}, {'token': 'france', 'score': 0.036}, {'token': 'london', 'score': 0.008}, {'token': 'lyon', 'score': 0.006}, {'token': 'geneva', 'score': 0.005}, {'token': 'italy', 'score': 0.004}, {'token': 'vienna', 'score': 0.003}, {'token': 'brussels', 'score': 0.003}, {'token': 'berlin', 'score': 0.003}]","[{'token': 'paris', 'score': 0.556}, {'token': 'france', 'score': 0.062}, {'token': 'montreal', 'score': 0.047}, {'token': 'lyon', 'score': 0.017}, {'token': 'quebec', 'score': 0.011}, {'token': 'rome', 'score': 0.009}, {'token': 'brussels', 'score': 0.008}, {'token': 'metz', 'score': 0.008}, {'token': 'nancy', 'score': 0.007}, {'token': 'geneva', 'score': 0.007}]","[{'token': 'paris', 'score': 0.518}, {'token': 'france', 'score': 0.063}, {'token': 'montreal', 'score': 0.05}, {'token': 'london', 'score': 0.013}, {'token': 'quebec', 'score': 0.013}, {'token': 'lyon', 'score': 0.011}, {'token': 'philadelphia', 'score': 0.011}, {'token': 'rome', 'score': 0.008}, {'token': 'brussels', 'score': 0.007}, {'token': 'baltimore', 'score': 0.006}]"
2,baltimore,"[{'token': 'london', 'score': 0.175}, {'token': 'california', 'score': 0.153}, {'token': 'usa', 'score': 0.088}, {'token': 'chicago', 'score': 0.072}, {'token': 'uk', 'score': 0.037}, {'token': 'ny', 'score': 0.029}, {'token': 'toronto', 'score': 0.028}, {'token': 'australia', 'score': 0.022}, {'token': 'llc', 'score': 0.019}, {'token': 'canada', 'score': 0.013}]","[{'token': 'california', 'score': 0.221}, {'token': 'chicago', 'score': 0.077}, {'token': 'london', 'score': 0.068}, {'token': 'usa', 'score': 0.038}, {'token': 'toronto', 'score': 0.031}, {'token': 'florida', 'score': 0.016}, {'token': 'colorado', 'score': 0.014}, {'token': 'australia', 'score': 0.014}, {'token': 'canada', 'score': 0.014}, {'token': 'arizona', 'score': 0.014}]","[{'token': 'usa', 'score': 0.163}, {'token': 'london', 'score': 0.142}, {'token': 'inc', 'score': 0.102}, {'token': 'chicago', 'score': 0.044}, {'token': 'uk', 'score': 0.035}, {'token': 'ltd', 'score': 0.028}, {'token': 'ny', 'score': 0.02}, {'token': 'toronto', 'score': 0.02}, {'token': 'canada', 'score': 0.019}, {'token': 'california', 'score': 0.016}]","[{'token': 'starting', 'score': 0.198}, {'token': 'beginning', 'score': 0.096}, {'token': 'inc', 'score': 0.072}, {'token': 'published', 'score': 0.065}, {'token': 'london', 'score': 0.063}, {'token': 'usa', 'score': 0.038}, {'token': 'ltd', 'score': 0.027}, {'token': 'limited', 'score': 0.025}, {'token': 'chicago', 'score': 0.023}, {'token': 'incorporated', 'score': 0.022}]","[{'token': 'which', 'score': 0.863}, {'token': 'who', 'score': 0.048}, {'token': 'that', 'score': 0.01}, {'token': 'ltd', 'score': 0.006}, {'token': 'inc', 'score': 0.005}, {'token': 'also', 'score': 0.004}, {'token': 'usa', 'score': 0.004}, {'token': 'and', 'score': 0.004}, {'token': 'london', 'score': 0.004}, {'token': 'llc', 'score': 0.003}]"
3,leicester,"[{'token': 'chelsea', 'score': 0.361}, {'token': 'london', 'score': 0.238}, {'token': 'boston', 'score': 0.025}, {'token': 'toronto', 'score': 0.022}, {'token': 'nyc', 'score': 0.02}, {'token': 'montreal', 'score': 0.02}, {'token': 'queens', 'score': 0.017}, {'token': 'melbourne', 'score': 0.016}, {'token': 'dublin', 'score': 0.014}, {'token': 'manhattan', 'score': 0.011}]","[{'token': '1998', 'score': 0.048}, {'token': '2004', 'score': 0.04}, {'token': '1996', 'score': 0.039}, {'token': '2006', 'score': 0.038}, {'token': '2003', 'score': 0.036}, {'token': '1999', 'score': 0.036}, {'token': '2001', 'score': 0.034}, {'token': '1997', 'score': 0.034}, {'token': '1993', 'score': 0.032}, {'token': '1994', 'score': 0.032}]","[{'token': '1994', 'score': 0.048}, {'token': '1999', 'score': 0.047}, {'token': '1993', 'score': 0.034}, {'token': '1998', 'score': 0.033}, {'token': '1996', 'score': 0.033}, {'token': '1995', 'score': 0.031}, {'token': '2005', 'score': 0.03}, {'token': '1989', 'score': 0.03}, {'token': '1997', 'score': 0.03}, {'token': '2009', 'score': 0.029}]","[{'token': '2009', 'score': 0.076}, {'token': '2006', 'score': 0.067}, {'token': '2005', 'score': 0.05}, {'token': '2004', 'score': 0.048}, {'token': '1998', 'score': 0.034}, {'token': '2007', 'score': 0.029}, {'token': '1994', 'score': 0.027}, {'token': '2008', 'score': 0.025}, {'token': '1989', 'score': 0.024}, {'token': '1992', 'score': 0.019}]","[{'token': 'clash', 'score': 0.046}, {'token': 'charity', 'score': 0.046}, {'token': 'chelsea', 'score': 0.036}, {'token': 'war', 'score': 0.025}, {'token': 'police', 'score': 0.022}, {'token': 'punk', 'score': 0.015}, {'token': 'holocaust', 'score': 0.012}, {'token': 'london', 'score': 0.011}, {'token': 'friends', 'score': 0.011}, {'token': 'beatles', 'score': 0.01}]"
4,athens,"[{'token': 'athens', 'score': 0.86}, {'token': 'national', 'score': 0.052}, {'token': 'athenian', 'score': 0.016}, {'token': 'municipal', 'score': 0.009}, {'token': 'state', 'score': 0.007}, {'token': 'spartan', 'score': 0.006}, {'token': 'thessaloniki', 'score': 0.005}, {'token': 'byzantine', 'score': 0.005}, {'token': 'greek', 'score': 0.005}, {'token': 'central', 'score': 0.004}]","[{'token': 'athens', 'score': 0.817}, {'token': 'national', 'score': 0.067}, {'token': 'athenian', 'score': 0.015}, {'token': 'municipal', 'score': 0.014}, {'token': 'local', 'score': 0.01}, {'token': 'state', 'score': 0.009}, {'token': 'imperial', 'score': 0.006}, {'token': 'central', 'score': 0.006}, {'token': 'byzantine', 'score': 0.006}, {'token': 'greek', 'score': 0.005}]","[{'token': 'athens', 'score': 0.873}, {'token': 'national', 'score': 0.031}, {'token': 'athenian', 'score': 0.017}, {'token': 'municipal', 'score': 0.01}, {'token': 'byzantine', 'score': 0.007}, {'token': 'imperial', 'score': 0.005}, {'token': 'thessaloniki', 'score': 0.005}, {'token': 'central', 'score': 0.004}, {'token': 'local', 'score': 0.004}, {'token': 'state', 'score': 0.004}]","[{'token': 'athens', 'score': 0.858}, {'token': 'national', 'score': 0.033}, {'token': 'athenian', 'score': 0.018}, {'token': 'greek', 'score': 0.01}, {'token': 'byzantine', 'score': 0.009}, {'token': 'thessaloniki', 'score': 0.006}, {'token': 'municipal', 'score': 0.005}, {'token': 'imperial', 'score': 0.005}, {'token': 'local', 'score': 0.005}, {'token': 'state', 'score': 0.005}]",
5,vienna,"[{'token': 'prague', 'score': 0.694}, {'token': 'vienna', 'score': 0.274}, {'token': 'berlin', 'score': 0.005}, {'token': 'munich', 'score': 0.005}, {'token': 'frankfurt', 'score': 0.005}, {'token': 'leipzig', 'score': 0.002}, {'token': 'pest', 'score': 0.002}, {'token': 'cologne', 'score': 0.001}, {'token': 'dresden', 'score': 0.001}, {'token': 'mannheim', 'score': 0.001}]","[{'token': 'vienna', 'score': 0.955}, {'token': 'graz', 'score': 0.013}, {'token': 'wien', 'score': 0.006}, {'token': 'munich', 'score': 0.005}, {'token': 'prague', 'score': 0.003}, {'token': 'salzburg', 'score': 0.003}, {'token': 'budapest', 'score': 0.002}, {'token': 'innsbruck', 'score': 0.002}, {'token': 'berlin', 'score': 0.001}, {'token': 'pest', 'score': 0.001}]","[{'token': 'vienna', 'score': 0.967}, {'token': 'graz', 'score': 0.01}, {'token': 'wien', 'score': 0.003}, {'token': 'prague', 'score': 0.003}, {'token': 'munich', 'score': 0.003}, {'token': 'innsbruck', 'score': 0.002}, {'token': 'budapest', 'score': 0.002}, {'token': 'salzburg', 'score': 0.001}, {'token': 'pest', 'score': 0.001}, {'token': 'berlin', 'score': 0.001}]","[{'token': 'vienna', 'score': 0.942}, {'token': 'graz', 'score': 0.017}, {'token': 'pest', 'score': 0.01}, {'token': 'wien', 'score': 0.005}, {'token': 'prague', 'score': 0.004}, {'token': 'munich', 'score': 0.003}, {'token': 'innsbruck', 'score': 0.002}, {'token': 'budapest', 'score': 0.002}, {'token': 'salzburg', 'score': 0.001}, {'token': 'berlin', 'score': 0.001}]","[{'token': 'frankfurt', 'score': 0.359}, {'token': 'berlin', 'score': 0.071}, {'token': 'mainz', 'score': 0.069}, {'token': 'mannheim', 'score': 0.064}, {'token': 'munich', 'score': 0.049}, {'token': 'dusseldorf', 'score': 0.043}, {'token': 'strasbourg', 'score': 0.029}, {'token': 'nuremberg', 'score': 0.023}, {'token': 'stuttgart', 'score': 0.023}, {'token': 'leipzig', 'score': 0.023}]"
6,rome,"[{'token': 'rome', 'score': 0.496}, {'token': 'florence', 'score': 0.433}, {'token': 'venice', 'score': 0.023}, {'token': 'siena', 'score': 0.009}, {'token': 'paris', 'score': 0.008}, {'token': 'naples', 'score': 0.008}, {'token': 'bologna', 'score': 0.005}, {'token': 'pisa', 'score': 0.004}, {'token': 'genoa', 'score': 0.003}, {'token': 'italy', 'score': 0.002}]","[{'token': 'naples', 'score': 0.732}, {'token': 'florence', 'score': 0.051}, {'token': 'venice', 'score': 0.043}, {'token': 'ferrara', 'score': 0.032}, {'token': 'milan', 'score': 0.022}, {'token': 'bologna', 'score': 0.017}, {'token': 'genoa', 'score': 0.015}, {'token': 'parma', 'score': 0.012}, {'token': 'alba', 'score': 0.011}, {'token': 'turin', 'score': 0.01}]","[{'token': 'naples', 'score': 0.722}, {'token': 'florence', 'score': 0.11}, {'token': 'venice', 'score': 0.042}, {'token': 'italy', 'score': 0.022}, {'token': 'milan', 'score': 0.012}, {'token': 'genoa', 'score': 0.008}, {'token': 'greece', 'score': 0.006}, {'token': 'paris', 'score': 0.006}, {'token': 'ferrara', 'score': 0.006}, {'token': 'turin', 'score': 0.006}]","[{'token': 'naples', 'score': 0.636}, {'token': 'venice', 'score': 0.082}, {'token': 'florence', 'score': 0.058}, {'token': 'milan', 'score': 0.035}, {'token': 'ferrara', 'score': 0.026}, {'token': 'genoa', 'score': 0.021}, {'token': 'bologna', 'score': 0.016}, {'token': 'turin', 'score': 0.015}, {'token': 'parma', 'score': 0.014}, {'token': 'toledo', 'score': 0.012}]","[{'token': 'naples', 'score': 0.419}, {'token': 'italy', 'score': 0.079}, {'token': 'florence', 'score': 0.076}, {'token': 'ferrara', 'score': 0.058}, {'token': 'venice', 'score': 0.055}, {'token': 'milan', 'score': 0.038}, {'token': 'bologna', 'score': 0.036}, {'token': 'rome', 'score': 0.031}, {'token': 'genoa', 'score': 0.021}, {'token': 'parma', 'score': 0.021}]"
7,paris,"[{'token': 'paris', 'score': 0.855}, {'token': 'marseille', 'score': 0.029}, {'token': 'nice', 'score': 0.02}, {'token': 'france', 'score': 0.019}, {'token': 'cannes', 'score': 0.014}, {'token': 'lyon', 'score': 0.009}, {'token': 'toulouse', 'score': 0.008}, {'token': 'bordeaux', 'score': 0.007}, {'token': 'versailles', 'score': 0.002}, {'token': 'strasbourg', 'score': 0.002}]",,,,
8,munich,"[{'token': 'berlin', 'score': 0.443}, {'token': 'munich', 'score': 0.117}, {'token': 'hamburg', 'score': 0.08}, {'token': 'cologne', 'score': 0.048}, {'token': 'stuttgart', 'score': 0.034}, {'token': 'leipzig', 'score': 0.021}, {'token': 'darmstadt', 'score': 0.02}, {'token': 'heidelberg', 'score': 0.02}, {'token': 'bonn', 'score': 0.018}, {'token': 'potsdam', 'score': 0.014}]","[{'token': 'berlin', 'score': 0.141}, {'token': 'germany', 'score': 0.109}, {'token': 'paris', 'score': 0.063}, {'token': 'london', 'score': 0.055}, {'token': 'munich', 'score': 0.044}, {'token': 'england', 'score': 0.043}, {'token': 'hamburg', 'score': 0.043}, {'token': 'switzerland', 'score': 0.028}, {'token': 'france', 'score': 0.028}, {'token': 'vienna', 'score': 0.025}]",,"[{'token': 'munich', 'score': 0.32}, {'token': 'london', 'score': 0.052}, {'token': 'berlin', 'score': 0.049}, {'token': 'vienna', 'score': 0.033}, {'token': 'paris', 'score': 0.025}, {'token': 'germany', 'score': 0.023}, {'token': 'cologne', 'score': 0.014}, {'token': 'hamburg', 'score': 0.014}, {'token': 'stuttgart', 'score': 0.013}, {'token': 'dusseldorf', 'score': 0.012}]","[{'token': 'munich', 'score': 0.347}, {'token': 'berlin', 'score': 0.087}, {'token': 'vienna', 'score': 0.051}, {'token': 'hamburg', 'score': 0.038}, {'token': 'cologne', 'score': 0.037}, {'token': 'stuttgart', 'score': 0.034}, {'token': 'heidelberg', 'score': 0.027}, {'token': 'dusseldorf', 'score': 0.025}, {'token': 'darmstadt', 'score': 0.021}, {'token': 'frankfurt', 'score': 0.017}]"
9,bonn,"[{'token': 'heidelberg', 'score': 0.269}, {'token': 'berlin', 'score': 0.247}, {'token': 'gottingen', 'score': 0.099}, {'token': 'vienna', 'score': 0.083}, {'token': 'halle', 'score': 0.059}, {'token': 'jena', 'score': 0.021}, {'token': 'leipzig', 'score': 0.021}, {'token': 'hamburg', 'score': 0.02}, {'token': 'kiel', 'score': 0.019}, {'token': 'munich', 'score': 0.019}]","[{'token': 'germany', 'score': 0.152}, {'token': 'heidelberg', 'score': 0.083}, {'token': 'astronomer', 'score': 0.041}, {'token': 'german', 'score': 0.035}, {'token': 'prussian', 'score': 0.028}, {'token': '1862', 'score': 0.016}, {'token': 'karl', 'score': 0.014}, {'token': '1861', 'score': 0.013}, {'token': 'prussia', 'score': 0.012}, {'token': 'ii', 'score': 0.012}]","[{'token': 'germany', 'score': 0.208}, {'token': 'heidelberg', 'score': 0.049}, {'token': 'astronomer', 'score': 0.032}, {'token': 'prussian', 'score': 0.03}, {'token': 'german', 'score': 0.026}, {'token': 'prussia', 'score': 0.025}, {'token': '1862', 'score': 0.017}, {'token': '1861', 'score': 0.016}, {'token': 'berlin', 'score': 0.014}, {'token': 'gottingen', 'score': 0.013}]","[{'token': 'berlin', 'score': 0.259}, {'token': 'heidelberg', 'score': 0.164}, {'token': 'gottingen', 'score': 0.127}, {'token': 'vienna', 'score': 0.105}, {'token': 'halle', 'score': 0.093}, {'token': 'leipzig', 'score': 0.036}, {'token': 'jena', 'score': 0.033}, {'token': 'bonn', 'score': 0.023}, {'token': 'kiel', 'score': 0.021}, {'token': 'hanover', 'score': 0.017}]","[{'token': 'berlin', 'score': 0.312}, {'token': 'gottingen', 'score': 0.129}, {'token': 'heidelberg', 'score': 0.108}, {'token': 'vienna', 'score': 0.077}, {'token': 'halle', 'score': 0.07}, {'token': 'leipzig', 'score': 0.05}, {'token': 'kiel', 'score': 0.026}, {'token': 'bonn', 'score': 0.023}, {'token': 'jena', 'score': 0.022}, {'token': 'hanover', 'score': 0.021}]"
