,answers,original,t5_0,t5_1,t5_2,t5_3
0,urdu,"[{'token': 'urdu', 'score': 1.0}, {'token': 'punjabi', 'score': 0.0}, {'token': 'pakistani', 'score': 0.0}, {'token': 'arabic', 'score': 0.0}, {'token': 'pakistan', 'score': 0.0}, {'token': 'persian', 'score': 0.0}, {'token': 'english', 'score': 0.0}, {'token': 'hindi', 'score': 0.0}, {'token': 'bengali', 'score': 0.0}, {'token': 'qur', 'score': 0.0}]",,,,
1,italian,"[{'token': 'italian', 'score': 0.982}, {'token': 'argentine', 'score': 0.017}, {'token': 'austrian', 'score': 0.001}, {'token': 'uruguayan', 'score': 0.0}, {'token': 'australian', 'score': 0.0}, {'token': 'albanian', 'score': 0.0}, {'token': 'irish', 'score': 0.0}, {'token': 'american', 'score': 0.0}, {'token': 'indian', 'score': 0.0}, {'token': 'italy', 'score': 0.0}]","[{'token': 'italian', 'score': 0.813}, {'token': 'argentine', 'score': 0.039}, {'token': 'engineer', 'score': 0.029}, {'token': 'entrepreneur', 'score': 0.017}, {'token': 'austrian', 'score': 0.016}, {'token': 'australian', 'score': 0.009}, {'token': 'american', 'score': 0.008}, {'token': 'architect', 'score': 0.008}, {'token': 'actor', 'score': 0.008}, {'token': 'athlete', 'score': 0.006}]","[{'token': 'italian', 'score': 0.739}, {'token': 'argentine', 'score': 0.071}, {'token': 'australian', 'score': 0.057}, {'token': 'american', 'score': 0.045}, {'token': 'austrian', 'score': 0.038}, {'token': 'uruguayan', 'score': 0.008}, {'token': 'engineer', 'score': 0.005}, {'token': 'athlete', 'score': 0.004}, {'token': 'actor', 'score': 0.004}, {'token': 'artist', 'score': 0.004}]",,
2,finnish,"[{'token': 'finnish', 'score': 1.0}, {'token': 'swedish', 'score': 0.0}, {'token': 'finland', 'score': 0.0}, {'token': 'latvian', 'score': 0.0}, {'token': 'finn', 'score': 0.0}, {'token': 'norwegian', 'score': 0.0}, {'token': 'estonian', 'score': 0.0}, {'token': 'helsinki', 'score': 0.0}, {'token': 'sami', 'score': 0.0}, {'token': 'lithuanian', 'score': 0.0}]","[{'token': 'finnish', 'score': 0.991}, {'token': 'former', 'score': 0.001}, {'token': 'finn', 'score': 0.001}, {'token': 'local', 'score': 0.001}, {'token': 'sami', 'score': 0.001}, {'token': 'finland', 'score': 0.001}, {'token': 'swedish', 'score': 0.001}, {'token': 'veteran', 'score': 0.0}, {'token': 'prominent', 'score': 0.0}, {'token': 'latvian', 'score': 0.0}]","[{'token': 'finnish', 'score': 0.921}, {'token': 'sami', 'score': 0.01}, {'token': 'dairy', 'score': 0.01}, {'token': 'small', 'score': 0.007}, {'token': 'estonian', 'score': 0.005}, {'token': 'swedish', 'score': 0.004}, {'token': 'prominent', 'score': 0.004}, {'token': 'successful', 'score': 0.003}, {'token': 'local', 'score': 0.003}, {'token': 'helsinki', 'score': 0.003}]",,
3,spanish,"[{'token': 'spanish', 'score': 0.991}, {'token': 'english', 'score': 0.003}, {'token': 'portuguese', 'score': 0.001}, {'token': 'basque', 'score': 0.001}, {'token': 'french', 'score': 0.001}, {'token': 'maya', 'score': 0.0}, {'token': 'native', 'score': 0.0}, {'token': 'mexican', 'score': 0.0}, {'token': 'hispanic', 'score': 0.0}, {'token': 'romance', 'score': 0.0}]","[{'token': 'spanish', 'score': 0.97}, {'token': 'english', 'score': 0.019}, {'token': 'portuguese', 'score': 0.007}, {'token': 'french', 'score': 0.002}, {'token': 'latin', 'score': 0.0}, {'token': 'creole', 'score': 0.0}, {'token': 'native', 'score': 0.0}, {'token': 'basque', 'score': 0.0}, {'token': 'maya', 'score': 0.0}, {'token': '-', 'score': 0.0}]","[{'token': 'spanish', 'score': 0.976}, {'token': 'english', 'score': 0.017}, {'token': 'portuguese', 'score': 0.003}, {'token': 'french', 'score': 0.001}, {'token': 'hispanic', 'score': 0.0}, {'token': 'maya', 'score': 0.0}, {'token': 'latin', 'score': 0.0}, {'token': 'creole', 'score': 0.0}, {'token': 'romance', 'score': 0.0}, {'token': 'arabic', 'score': 0.0}]","[{'token': 'spanish', 'score': 0.983}, {'token': 'english', 'score': 0.012}, {'token': 'portuguese', 'score': 0.001}, {'token': 'hispanic', 'score': 0.001}, {'token': 'romance', 'score': 0.001}, {'token': 'latin', 'score': 0.0}, {'token': 'iberian', 'score': 0.0}, {'token': 'mexican', 'score': 0.0}, {'token': 'french', 'score': 0.0}, {'token': 'indigenous', 'score': 0.0}]","[{'token': 'spanish', 'score': 0.991}, {'token': 'english', 'score': 0.004}, {'token': 'basque', 'score': 0.001}, {'token': 'french', 'score': 0.001}, {'token': 'hispanic', 'score': 0.0}, {'token': 'portuguese', 'score': 0.0}, {'token': 'mexican', 'score': 0.0}, {'token': 'maya', 'score': 0.0}, {'token': 'latin', 'score': 0.0}, {'token': 'native', 'score': 0.0}]"
4,french,"[{'token': 'french', 'score': 0.999}, {'token': 'fr', 'score': 0.001}, {'token': 'france', 'score': 0.0}, {'token': 'francais', 'score': 0.0}, {'token': 'english', 'score': 0.0}, {'token': 'latin', 'score': 0.0}, {'token': 'spanish', 'score': 0.0}, {'token': '##ʁ', 'score': 0.0}, {'token': 'portuguese', 'score': 0.0}, {'token': 'vietnamese', 'score': 0.0}]","[{'token': 'french', 'score': 1.0}, {'token': 'france', 'score': 0.0}, {'token': 'portuguese', 'score': 0.0}, {'token': 'british', 'score': 0.0}, {'token': 'american', 'score': 0.0}, {'token': 'eastern', 'score': 0.0}, {'token': 'spanish', 'score': 0.0}, {'token': 'torres', 'score': 0.0}, {'token': 'german', 'score': 0.0}, {'token': 'western', 'score': 0.0}]","[{'token': 'french', 'score': 1.0}, {'token': 'france', 'score': 0.0}, {'token': 'portuguese', 'score': 0.0}, {'token': 'british', 'score': 0.0}, {'token': 'american', 'score': 0.0}, {'token': 'spanish', 'score': 0.0}, {'token': 'eastern', 'score': 0.0}, {'token': 'german', 'score': 0.0}, {'token': 'torres', 'score': 0.0}, {'token': 'western', 'score': 0.0}]","[{'token': 'french', 'score': 1.0}, {'token': 'france', 'score': 0.0}, {'token': 'portuguese', 'score': 0.0}, {'token': 'western', 'score': 0.0}, {'token': 'eastern', 'score': 0.0}, {'token': 'british', 'score': 0.0}, {'token': 'torres', 'score': 0.0}, {'token': 'american', 'score': 0.0}, {'token': 'english', 'score': 0.0}, {'token': 'spanish', 'score': 0.0}]","[{'token': 'french', 'score': 1.0}, {'token': 'france', 'score': 0.0}, {'token': 'british', 'score': 0.0}, {'token': 'portuguese', 'score': 0.0}, {'token': 'american', 'score': 0.0}, {'token': 'spanish', 'score': 0.0}, {'token': 'eastern', 'score': 0.0}, {'token': 'german', 'score': 0.0}, {'token': 'english', 'score': 0.0}, {'token': 'italian', 'score': 0.0}]"
5,finnish,"[{'token': 'finnish', 'score': 0.695}, {'token': 'estonian', 'score': 0.297}, {'token': 'swedish', 'score': 0.001}, {'token': 'italian', 'score': 0.001}, {'token': 'romanian', 'score': 0.001}, {'token': 'latvian', 'score': 0.001}, {'token': 'norwegian', 'score': 0.0}, {'token': 'lithuanian', 'score': 0.0}, {'token': 'german', 'score': 0.0}, {'token': 'icelandic', 'score': 0.0}]","[{'token': 'finnish', 'score': 0.415}, {'token': 'former', 'score': 0.32}, {'token': 'retired', 'score': 0.091}, {'token': 'notable', 'score': 0.03}, {'token': 'famous', 'score': 0.017}, {'token': 'professional', 'score': 0.017}, {'token': 'local', 'score': 0.007}, {'token': 'prominent', 'score': 0.007}, {'token': 'tall', 'score': 0.006}, {'token': 'successful', 'score': 0.006}]",,"[{'token': 'finnish', 'score': 0.711}, {'token': 'estonian', 'score': 0.256}, {'token': 'the', 'score': 0.01}, {'token': 'retired', 'score': 0.008}, {'token': 'former', 'score': 0.004}, {'token': 'finland', 'score': 0.001}, {'token': 'male', 'score': 0.001}, {'token': 'professional', 'score': 0.001}, {'token': 'lithuanian', 'score': 0.0}, {'token': 'sami', 'score': 0.0}]","[{'token': 'finnish', 'score': 0.951}, {'token': 'finland', 'score': 0.023}, {'token': 'senior', 'score': 0.004}, {'token': 'swedish', 'score': 0.004}, {'token': 'junior', 'score': 0.002}, {'token': 'finn', 'score': 0.001}, {'token': 'italian', 'score': 0.001}, {'token': 'soviet', 'score': 0.001}, {'token': 'russian', 'score': 0.001}, {'token': 'japanese', 'score': 0.001}]"
6,malay,"[{'token': 'malay', 'score': 0.997}, {'token': 'indonesian', 'score': 0.001}, {'token': 'filipino', 'score': 0.0}, {'token': 'brunei', 'score': 0.0}, {'token': 'arabic', 'score': 0.0}, {'token': 'turkish', 'score': 0.0}, {'token': 'chinese', 'score': 0.0}, {'token': 'malaysian', 'score': 0.0}, {'token': 'hindi', 'score': 0.0}, {'token': 'persian', 'score': 0.0}]",,,,
7,urdu,"[{'token': 'urdu', 'score': 0.996}, {'token': 'persian', 'score': 0.003}, {'token': 'punjabi', 'score': 0.0}, {'token': 'arabic', 'score': 0.0}, {'token': 'afghan', 'score': 0.0}, {'token': 'bengali', 'score': 0.0}, {'token': 'english', 'score': 0.0}, {'token': 'afghanistan', 'score': 0.0}, {'token': 'kazakh', 'score': 0.0}, {'token': 'hindi', 'score': 0.0}]",,,,
8,finnish,"[{'token': 'finnish', 'score': 1.0}, {'token': 'finland', 'score': 0.0}, {'token': 'italian', 'score': 0.0}, {'token': 'lombard', 'score': 0.0}, {'token': 'estonian', 'score': 0.0}, {'token': 'norwegian', 'score': 0.0}, {'token': 'finn', 'score': 0.0}, {'token': 'latin', 'score': 0.0}, {'token': 'helsinki', 'score': 0.0}, {'token': 'hepburn', 'score': 0.0}]","[{'token': 'swedish', 'score': 0.958}, {'token': 'estonian', 'score': 0.016}, {'token': 'sami', 'score': 0.01}, {'token': 'russian', 'score': 0.003}, {'token': 'french', 'score': 0.003}, {'token': 'norwegian', 'score': 0.002}, {'token': 'english', 'score': 0.002}, {'token': 'latin', 'score': 0.001}, {'token': 'german', 'score': 0.001}, {'token': 'finnish', 'score': 0.0}]","[{'token': 'south', 'score': 0.287}, {'token': 'north', 'score': 0.222}, {'token': 'east', 'score': 0.206}, {'token': 'west', 'score': 0.194}, {'token': 'southeast', 'score': 0.023}, {'token': 'mainland', 'score': 0.017}, {'token': 'southwest', 'score': 0.011}, {'token': 'northeast', 'score': 0.007}, {'token': 'other', 'score': 0.005}, {'token': 'northwest', 'score': 0.005}]","[{'token': 'swedish', 'score': 0.978}, {'token': 'estonian', 'score': 0.008}, {'token': 'sami', 'score': 0.007}, {'token': 'french', 'score': 0.002}, {'token': 'english', 'score': 0.001}, {'token': 'norwegian', 'score': 0.001}, {'token': 'russian', 'score': 0.001}, {'token': 'latin', 'score': 0.001}, {'token': 'german', 'score': 0.0}, {'token': 'finnish', 'score': 0.0}]","[{'token': 'finnish', 'score': 0.613}, {'token': 'swedish', 'score': 0.332}, {'token': 'finland', 'score': 0.026}, {'token': 'english', 'score': 0.009}, {'token': 'sweden', 'score': 0.005}, {'token': 'latin', 'score': 0.003}, {'token': 'sami', 'score': 0.002}, {'token': 'estonian', 'score': 0.002}, {'token': 'french', 'score': 0.001}, {'token': 'italian', 'score': 0.001}]"
9,french,"[{'token': 'french', 'score': 0.69}, {'token': 'dutch', 'score': 0.189}, {'token': 'german', 'score': 0.039}, {'token': 'english', 'score': 0.036}, {'token': 'flemish', 'score': 0.011}, {'token': 'afrikaans', 'score': 0.008}, {'token': 'belgian', 'score': 0.005}, {'token': 'swedish', 'score': 0.003}, {'token': 'spanish', 'score': 0.002}, {'token': 'dialect', 'score': 0.002}]","[{'token': 'french', 'score': 0.931}, {'token': 'spanish', 'score': 0.031}, {'token': 'catalan', 'score': 0.005}, {'token': 'english', 'score': 0.004}, {'token': 'portuguese', 'score': 0.003}, {'token': 'german', 'score': 0.003}, {'token': 'breton', 'score': 0.003}, {'token': 'welsh', 'score': 0.002}, {'token': 'dutch', 'score': 0.001}, {'token': 'creole', 'score': 0.001}]","[{'token': 'french', 'score': 0.889}, {'token': 'spanish', 'score': 0.05}, {'token': 'english', 'score': 0.01}, {'token': 'catalan', 'score': 0.009}, {'token': 'portuguese', 'score': 0.006}, {'token': 'german', 'score': 0.005}, {'token': 'breton', 'score': 0.004}, {'token': 'welsh', 'score': 0.004}, {'token': 'dutch', 'score': 0.002}, {'token': 'creole', 'score': 0.001}]","[{'token': 'french', 'score': 0.905}, {'token': 'dutch', 'score': 0.053}, {'token': 'german', 'score': 0.02}, {'token': 'spanish', 'score': 0.006}, {'token': 'english', 'score': 0.004}, {'token': 'flemish', 'score': 0.003}, {'token': 'catalan', 'score': 0.001}, {'token': 'breton', 'score': 0.001}, {'token': 'belgian', 'score': 0.001}, {'token': 'swedish', 'score': 0.001}]","[{'token': 'french', 'score': 0.937}, {'token': 'dutch', 'score': 0.024}, {'token': 'german', 'score': 0.009}, {'token': 'spanish', 'score': 0.008}, {'token': 'english', 'score': 0.003}, {'token': 'breton', 'score': 0.003}, {'token': 'catalan', 'score': 0.001}, {'token': 'flemish', 'score': 0.001}, {'token': 'dialect', 'score': 0.001}, {'token': 'franco', 'score': 0.001}]"
