,answers,original,t5_0,t5_1,t5_2,t5_3
0,iraq,"[{'token': 'baghdad', 'score': 0.139}, {'token': 'tokyo', 'score': 0.083}, {'token': 'iraq', 'score': 0.038}, {'token': 'london', 'score': 0.032}, {'token': 'istanbul', 'score': 0.031}, {'token': 'afghanistan', 'score': 0.027}, {'token': 'kabul', 'score': 0.024}, {'token': 'bangkok', 'score': 0.023}, {'token': 'japan', 'score': 0.022}, {'token': 'singapore', 'score': 0.017}]","[{'token': 'baghdad', 'score': 0.083}, {'token': 'tokyo', 'score': 0.046}, {'token': 'afghanistan', 'score': 0.046}, {'token': 'dubai', 'score': 0.04}, {'token': 'iraq', 'score': 0.039}, {'token': 'london', 'score': 0.038}, {'token': 'karachi', 'score': 0.036}, {'token': 'pakistan', 'score': 0.035}, {'token': 'istanbul', 'score': 0.029}, {'token': 'mumbai', 'score': 0.026}]","[{'token': 'japan', 'score': 0.37}, {'token': 'iraq', 'score': 0.037}, {'token': 'thailand', 'score': 0.036}, {'token': 'tokyo', 'score': 0.033}, {'token': 'russia', 'score': 0.026}, {'token': 'china', 'score': 0.021}, {'token': 'indonesia', 'score': 0.021}, {'token': 'pakistan', 'score': 0.017}, {'token': 'iran', 'score': 0.016}, {'token': 'hokkaido', 'score': 0.016}]","[{'token': 'baghdad', 'score': 0.358}, {'token': 'iraq', 'score': 0.097}, {'token': 'afghanistan', 'score': 0.038}, {'token': 'karachi', 'score': 0.029}, {'token': 'yemen', 'score': 0.025}, {'token': 'pakistan', 'score': 0.025}, {'token': 'dubai', 'score': 0.024}, {'token': 'kabul', 'score': 0.023}, {'token': 'london', 'score': 0.018}, {'token': 'cairo', 'score': 0.014}]","[{'token': 'baghdad', 'score': 0.192}, {'token': 'iraq', 'score': 0.071}, {'token': 'tokyo', 'score': 0.068}, {'token': 'afghanistan', 'score': 0.066}, {'token': 'japan', 'score': 0.048}, {'token': 'kabul', 'score': 0.039}, {'token': 'pakistan', 'score': 0.023}, {'token': 'istanbul', 'score': 0.022}, {'token': 'karachi', 'score': 0.018}, {'token': 'thailand', 'score': 0.016}]"
1,paris,"[{'token': 'paris', 'score': 0.147}, {'token': 'london', 'score': 0.088}, {'token': 'france', 'score': 0.04}, {'token': 'england', 'score': 0.038}, {'token': 'europe', 'score': 0.024}, {'token': 'italy', 'score': 0.023}, {'token': 'chicago', 'score': 0.019}, {'token': 'vienna', 'score': 0.018}, {'token': 'college', 'score': 0.018}, {'token': 'germany', 'score': 0.013}]","[{'token': 'high', 'score': 0.403}, {'token': 'boarding', 'score': 0.197}, {'token': 'grammar', 'score': 0.06}, {'token': 'public', 'score': 0.043}, {'token': 'private', 'score': 0.041}, {'token': 'elementary', 'score': 0.036}, {'token': 'preparatory', 'score': 0.013}, {'token': 'law', 'score': 0.011}, {'token': 'old', 'score': 0.01}, {'token': 'sunday', 'score': 0.008}]","[{'token': 'paris', 'score': 0.183}, {'token': 'london', 'score': 0.104}, {'token': 'england', 'score': 0.054}, {'token': 'france', 'score': 0.048}, {'token': 'europe', 'score': 0.024}, {'token': 'italy', 'score': 0.022}, {'token': 'vienna', 'score': 0.018}, {'token': 'chicago', 'score': 0.015}, {'token': 'germany', 'score': 0.012}, {'token': 'america', 'score': 0.011}]","[{'token': 'chicago', 'score': 0.056}, {'token': 'london', 'score': 0.051}, {'token': 'paris', 'score': 0.049}, {'token': 'philadelphia', 'score': 0.031}, {'token': 'england', 'score': 0.023}, {'token': 'boston', 'score': 0.021}, {'token': 'france', 'score': 0.017}, {'token': 'brooklyn', 'score': 0.016}, {'token': 'manhattan', 'score': 0.013}, {'token': 'pennsylvania', 'score': 0.012}]","[{'token': 'chicago', 'score': 0.075}, {'token': 'conjunction', 'score': 0.06}, {'token': 'london', 'score': 0.053}, {'token': 'paris', 'score': 0.037}, {'token': 'philadelphia', 'score': 0.029}, {'token': 'england', 'score': 0.028}, {'token': 'pennsylvania', 'score': 0.021}, {'token': 'california', 'score': 0.019}, {'token': 'france', 'score': 0.017}, {'token': 'brooklyn', 'score': 0.017}]"
2,baltimore,"[{'token': 'inc', 'score': 0.548}, {'token': 'ltd', 'score': 0.185}, {'token': 'london', 'score': 0.02}, {'token': 'california', 'score': 0.019}, {'token': 'llc', 'score': 0.016}, {'token': 'ca', 'score': 0.013}, {'token': 'usa', 'score': 0.012}, {'token': 'co', 'score': 0.008}, {'token': 'uk', 'score': 0.006}, {'token': 'canada', 'score': 0.005}]","[{'token': 'however', 'score': 0.25}, {'token': 'meanwhile', 'score': 0.2}, {'token': 'ltd', 'score': 0.042}, {'token': 'also', 'score': 0.033}, {'token': 'too', 'score': 0.023}, {'token': 'then', 'score': 0.021}, {'token': 'london', 'score': 0.013}, {'token': 'inc', 'score': 0.013}, {'token': 'usa', 'score': 0.013}, {'token': 'therefore', 'score': 0.012}]","[{'token': 'which', 'score': 0.384}, {'token': 'ltd', 'score': 0.033}, {'token': 'who', 'score': 0.032}, {'token': 'also', 'score': 0.025}, {'token': 'llc', 'score': 0.022}, {'token': 'uk', 'score': 0.02}, {'token': 'usa', 'score': 0.019}, {'token': 'and', 'score': 0.017}, {'token': 'australia', 'score': 0.014}, {'token': 'california', 'score': 0.014}]","[{'token': 'published', 'score': 0.162}, {'token': 'starting', 'score': 0.104}, {'token': 'beginning', 'score': 0.073}, {'token': 'released', 'score': 0.034}, {'token': 'usa', 'score': 0.033}, {'token': 'london', 'score': 0.031}, {'token': 'founded', 'score': 0.03}, {'token': 'france', 'score': 0.018}, {'token': 'incorporated', 'score': 0.016}, {'token': 'based', 'score': 0.015}]","[{'token': 'which', 'score': 0.5}, {'token': 'also', 'score': 0.117}, {'token': 'first', 'score': 0.032}, {'token': 'originally', 'score': 0.03}, {'token': 'had', 'score': 0.024}, {'token': 'who', 'score': 0.021}, {'token': 'and', 'score': 0.02}, {'token': 'initially', 'score': 0.015}, {'token': 'has', 'score': 0.013}, {'token': 'then', 'score': 0.012}]"
3,leicester,"[{'token': '2001', 'score': 0.036}, {'token': '2007', 'score': 0.035}, {'token': '2002', 'score': 0.034}, {'token': '2006', 'score': 0.032}, {'token': '2010', 'score': 0.031}, {'token': '2004', 'score': 0.029}, {'token': '2000', 'score': 0.028}, {'token': '2009', 'score': 0.026}, {'token': '2005', 'score': 0.026}, {'token': 'may', 'score': 0.023}]","[{'token': '2006', 'score': 0.051}, {'token': '2011', 'score': 0.043}, {'token': '2009', 'score': 0.042}, {'token': '2007', 'score': 0.041}, {'token': '2010', 'score': 0.041}, {'token': '2005', 'score': 0.034}, {'token': '2008', 'score': 0.03}, {'token': '2012', 'score': 0.029}, {'token': '2015', 'score': 0.027}, {'token': '2014', 'score': 0.024}]","[{'token': 'recent', 'score': 0.073}, {'token': '2004', 'score': 0.025}, {'token': '2010', 'score': 0.02}, {'token': 'grammy', 'score': 0.02}, {'token': '2007', 'score': 0.018}, {'token': '2012', 'score': 0.017}, {'token': '2009', 'score': 0.016}, {'token': '2006', 'score': 0.016}, {'token': '2008', 'score': 0.016}, {'token': '2011', 'score': 0.015}]","[{'token': 'recent', 'score': 0.026}, {'token': 'benefit', 'score': 0.014}, {'token': 'grammy', 'score': 0.013}, {'token': 'fox', 'score': 0.012}, {'token': 'local', 'score': 0.012}, {'token': 'kennedy', 'score': 0.012}, {'token': 'lincoln', 'score': 0.011}, {'token': 'detroit', 'score': 0.011}, {'token': 'brooklyn', 'score': 0.01}, {'token': 'charity', 'score': 0.009}]","[{'token': 'local', 'score': 0.016}, {'token': 'brooklyn', 'score': 0.014}, {'token': 'benefit', 'score': 0.011}, {'token': 'national', 'score': 0.011}, {'token': 'chelsea', 'score': 0.011}, {'token': 'charity', 'score': 0.01}, {'token': 'birmingham', 'score': 0.009}, {'token': 'boston', 'score': 0.009}, {'token': 'summer', 'score': 0.009}, {'token': 'recent', 'score': 0.007}]"
4,athens,"[{'token': 'moscow', 'score': 0.087}, {'token': 'thessaloniki', 'score': 0.048}, {'token': 'athens', 'score': 0.047}, {'token': 'kiev', 'score': 0.041}, {'token': 'vilnius', 'score': 0.037}, {'token': 'russian', 'score': 0.03}, {'token': 'royal', 'score': 0.027}, {'token': 'lviv', 'score': 0.024}, {'token': 'leningrad', 'score': 0.023}, {'token': 'greek', 'score': 0.02}]","[{'token': 'moscow', 'score': 0.074}, {'token': 'athens', 'score': 0.059}, {'token': 'thessaloniki', 'score': 0.045}, {'token': 'lviv', 'score': 0.039}, {'token': 'kiev', 'score': 0.039}, {'token': 'greek', 'score': 0.033}, {'token': 'russian', 'score': 0.033}, {'token': 'vilnius', 'score': 0.033}, {'token': 'royal', 'score': 0.019}, {'token': 'leningrad', 'score': 0.019}]","[{'token': 'moscow', 'score': 0.079}, {'token': 'athens', 'score': 0.047}, {'token': 'thessaloniki', 'score': 0.039}, {'token': 'russian', 'score': 0.03}, {'token': 'kiev', 'score': 0.029}, {'token': 'greek', 'score': 0.027}, {'token': 'vilnius', 'score': 0.026}, {'token': 'lviv', 'score': 0.024}, {'token': 'royal', 'score': 0.021}, {'token': 'warsaw', 'score': 0.019}]","[{'token': 'greek', 'score': 0.067}, {'token': 'russian', 'score': 0.049}, {'token': 'athens', 'score': 0.045}, {'token': 'moscow', 'score': 0.042}, {'token': 'lithuanian', 'score': 0.038}, {'token': 'vilnius', 'score': 0.037}, {'token': 'thessaloniki', 'score': 0.035}, {'token': 'royal', 'score': 0.028}, {'token': 'kiev', 'score': 0.02}, {'token': 'ukrainian', 'score': 0.018}]",
5,vienna,"[{'token': 'prague', 'score': 0.786}, {'token': 'vienna', 'score': 0.045}, {'token': 'berlin', 'score': 0.022}, {'token': 'munich', 'score': 0.014}, {'token': 'brno', 'score': 0.014}, {'token': 'bohemia', 'score': 0.01}, {'token': 'salzburg', 'score': 0.009}, {'token': 'amsterdam', 'score': 0.008}, {'token': 'weimar', 'score': 0.006}, {'token': 'warsaw', 'score': 0.005}]","[{'token': 'vienna', 'score': 0.547}, {'token': 'berlin', 'score': 0.064}, {'token': 'munich', 'score': 0.035}, {'token': 'prague', 'score': 0.03}, {'token': 'salzburg', 'score': 0.027}, {'token': 'cologne', 'score': 0.018}, {'token': 'dresden', 'score': 0.015}, {'token': 'austria', 'score': 0.013}, {'token': 'stuttgart', 'score': 0.013}, {'token': 'leipzig', 'score': 0.012}]","[{'token': 'vienna', 'score': 0.716}, {'token': 'berlin', 'score': 0.051}, {'token': 'salzburg', 'score': 0.026}, {'token': 'prague', 'score': 0.025}, {'token': 'munich', 'score': 0.014}, {'token': 'austria', 'score': 0.013}, {'token': 'budapest', 'score': 0.009}, {'token': 'cologne', 'score': 0.008}, {'token': 'leipzig', 'score': 0.007}, {'token': 'frankfurt', 'score': 0.007}]","[{'token': 'vienna', 'score': 0.669}, {'token': 'berlin', 'score': 0.033}, {'token': 'prague', 'score': 0.032}, {'token': 'salzburg', 'score': 0.018}, {'token': 'budapest', 'score': 0.011}, {'token': 'leipzig', 'score': 0.01}, {'token': 'frankfurt', 'score': 0.009}, {'token': 'austria', 'score': 0.009}, {'token': 'munich', 'score': 0.009}, {'token': 'stuttgart', 'score': 0.007}]","[{'token': 'berlin', 'score': 0.196}, {'token': 'munich', 'score': 0.116}, {'token': 'vienna', 'score': 0.099}, {'token': 'leipzig', 'score': 0.055}, {'token': 'cologne', 'score': 0.037}, {'token': 'hamburg', 'score': 0.033}, {'token': 'nuremberg', 'score': 0.029}, {'token': 'dresden', 'score': 0.028}, {'token': 'frankfurt', 'score': 0.026}, {'token': 'stuttgart', 'score': 0.025}]"
6,rome,"[{'token': 'rome', 'score': 0.393}, {'token': 'paris', 'score': 0.079}, {'token': 'venice', 'score': 0.076}, {'token': 'florence', 'score': 0.063}, {'token': 'siena', 'score': 0.062}, {'token': 'italy', 'score': 0.042}, {'token': 'naples', 'score': 0.037}, {'token': 'london', 'score': 0.014}, {'token': 'seville', 'score': 0.013}, {'token': 'turin', 'score': 0.013}]","[{'token': 'naples', 'score': 0.098}, {'token': 'rome', 'score': 0.074}, {'token': 'milan', 'score': 0.063}, {'token': 'paris', 'score': 0.056}, {'token': 'florence', 'score': 0.047}, {'token': 'turin', 'score': 0.03}, {'token': 'siena', 'score': 0.029}, {'token': 'sicily', 'score': 0.029}, {'token': 'italy', 'score': 0.027}, {'token': 'athens', 'score': 0.026}]","[{'token': 'sicily', 'score': 0.102}, {'token': 'naples', 'score': 0.097}, {'token': 'italy', 'score': 0.087}, {'token': 'florence', 'score': 0.078}, {'token': 'milan', 'score': 0.072}, {'token': 'rome', 'score': 0.056}, {'token': 'greece', 'score': 0.034}, {'token': 'athens', 'score': 0.024}, {'token': 'spain', 'score': 0.024}, {'token': 'genoa', 'score': 0.022}]","[{'token': 'naples', 'score': 0.12}, {'token': 'rome', 'score': 0.062}, {'token': 'milan', 'score': 0.055}, {'token': 'turin', 'score': 0.044}, {'token': 'florence', 'score': 0.039}, {'token': 'siena', 'score': 0.038}, {'token': 'constantinople', 'score': 0.034}, {'token': 'athens', 'score': 0.031}, {'token': 'paris', 'score': 0.029}, {'token': 'sicily', 'score': 0.028}]","[{'token': 'rome', 'score': 0.139}, {'token': 'florence', 'score': 0.116}, {'token': 'italy', 'score': 0.07}, {'token': 'milan', 'score': 0.06}, {'token': 'naples', 'score': 0.056}, {'token': 'venice', 'score': 0.046}, {'token': 'siena', 'score': 0.046}, {'token': 'paris', 'score': 0.036}, {'token': 'sicily', 'score': 0.032}, {'token': 'verona', 'score': 0.029}]"
7,paris,"[{'token': 'paris', 'score': 0.423}, {'token': 'france', 'score': 0.246}, {'token': 'french', 'score': 0.022}, {'token': 'usa', 'score': 0.021}, {'token': 'london', 'score': 0.019}, {'token': 'brussels', 'score': 0.017}, {'token': 'marseille', 'score': 0.012}, {'token': 'toulouse', 'score': 0.011}, {'token': 'belgium', 'score': 0.011}, {'token': 'quebec', 'score': 0.01}]",,,,
8,munich,"[{'token': 'berlin', 'score': 0.306}, {'token': 'munich', 'score': 0.115}, {'token': 'vienna', 'score': 0.048}, {'token': 'stuttgart', 'score': 0.041}, {'token': 'hamburg', 'score': 0.041}, {'token': 'frankfurt', 'score': 0.037}, {'token': 'stockholm', 'score': 0.035}, {'token': 'london', 'score': 0.026}, {'token': 'germany', 'score': 0.023}, {'token': 'cologne', 'score': 0.02}]","[{'token': 'berlin', 'score': 0.232}, {'token': 'germany', 'score': 0.118}, {'token': 'munich', 'score': 0.079}, {'token': 'hamburg', 'score': 0.074}, {'token': 'london', 'score': 0.038}, {'token': 'vienna', 'score': 0.036}, {'token': 'frankfurt', 'score': 0.027}, {'token': 'cologne', 'score': 0.019}, {'token': 'stockholm', 'score': 0.017}, {'token': 'dresden', 'score': 0.016}]",,"[{'token': 'munich', 'score': 0.264}, {'token': 'berlin', 'score': 0.171}, {'token': 'hamburg', 'score': 0.051}, {'token': 'germany', 'score': 0.043}, {'token': 'frankfurt', 'score': 0.034}, {'token': 'vienna', 'score': 0.027}, {'token': 'stuttgart', 'score': 0.025}, {'token': 'cologne', 'score': 0.021}, {'token': 'london', 'score': 0.021}, {'token': 'stockholm', 'score': 0.013}]","[{'token': 'berlin', 'score': 0.207}, {'token': 'munich', 'score': 0.153}, {'token': 'vienna', 'score': 0.065}, {'token': 'hamburg', 'score': 0.06}, {'token': 'london', 'score': 0.034}, {'token': 'frankfurt', 'score': 0.033}, {'token': 'cologne', 'score': 0.03}, {'token': 'germany', 'score': 0.027}, {'token': 'stuttgart', 'score': 0.023}, {'token': 'stockholm', 'score': 0.02}]"
9,bonn,"[{'token': 'paris', 'score': 0.165}, {'token': 'berlin', 'score': 0.088}, {'token': 'cologne', 'score': 0.036}, {'token': 'marseille', 'score': 0.027}, {'token': 'strasbourg', 'score': 0.025}, {'token': 'hamburg', 'score': 0.025}, {'token': 'munich', 'score': 0.025}, {'token': 'frankfurt', 'score': 0.02}, {'token': 'london', 'score': 0.018}, {'token': 'germany', 'score': 0.017}]","[{'token': '[unk]', 'score': 0.054}, {'token': 'german', 'score': 0.05}, {'token': 'germany', 'score': 0.036}, {'token': 'sic', 'score': 0.015}, {'token': 'heinrich', 'score': 0.01}, {'token': 'french', 'score': 0.008}, {'token': 'ss', 'score': 0.008}, {'token': 'holland', 'score': 0.008}, {'token': 'wolff', 'score': 0.008}, {'token': 'bavaria', 'score': 0.007}]","[{'token': 'german', 'score': 0.06}, {'token': 'germany', 'score': 0.045}, {'token': '[unk]', 'score': 0.036}, {'token': 'french', 'score': 0.013}, {'token': 'paris', 'score': 0.01}, {'token': 'holland', 'score': 0.01}, {'token': 'wolff', 'score': 0.009}, {'token': 'sic', 'score': 0.009}, {'token': 'berlin', 'score': 0.009}, {'token': 'gottingen', 'score': 0.009}]","[{'token': 'berlin', 'score': 0.181}, {'token': 'bonn', 'score': 0.145}, {'token': 'paris', 'score': 0.046}, {'token': 'cologne', 'score': 0.035}, {'token': 'halle', 'score': 0.034}, {'token': 'hamburg', 'score': 0.028}, {'token': 'mainz', 'score': 0.02}, {'token': 'munich', 'score': 0.019}, {'token': 'london', 'score': 0.017}, {'token': 'frankfurt', 'score': 0.017}]","[{'token': 'berlin', 'score': 0.195}, {'token': 'bonn', 'score': 0.156}, {'token': 'paris', 'score': 0.041}, {'token': 'cologne', 'score': 0.032}, {'token': 'hamburg', 'score': 0.029}, {'token': 'halle', 'score': 0.028}, {'token': 'germany', 'score': 0.023}, {'token': 'munich', 'score': 0.023}, {'token': 'frankfurt', 'score': 0.02}, {'token': 'stuttgart', 'score': 0.018}]"
