,answers,original,t5_0,t5_1,t5_2,t5_3
0,alexandra,,,,,
1,doncaster,,,,,
2,scotland,,,,,
3,toronto,,,,,
4,vienna,,,,,
5,paris,,,,,
6,yokohama,,,,,
7,antwerp,,,,,
8,barcelona,,,,,
9,rome,,,,,
10,guangzhou,,,,,
11,lahore,,,,,
12,florence,,,,,
13,belfast,,,,,
14,paris,,,,,
15,budapest,,,,,
16,odessa,,,,,
17,melbourne,,,,,
18,lyon,,,,,
19,halifax,,,,,
20,tokyo,,,,,
21,london,,,,,
22,montreal,,,,,
23,queensland,,,,,
24,sydney,,,,,
25,helsinki,,,,,
26,preston,,,,,
27,london,,,,,
28,seoul,,,,,
29,tokyo,,,,,
30,detroit,,,,,
31,bangkok,,,,,
32,nebraska,,,,,
33,madrid,,,,,
34,melbourne,,,,,
35,montreal,,,,,
36,rome,,,,,
37,constantinople,,,,,
38,bristol,,,,,
39,glasgow,,,,,
40,cebu,,,,,
41,ukraine,,,,,
42,houston,,,,,
43,barcelona,,,,,
44,lund,,,,,
45,milan,,,,,
46,scotland,,,,,
47,tehran,,,,,
48,atlanta,,,,,
49,london,,,,,
50,atlanta,,,,,
51,thailand,,,,,
52,angeles,,,,,
53,paris,,,,,
54,staffordshire,,,,,
55,salt,,,,,
56,shanghai,,,,,
57,lyon,,,,,
58,berlin,,,,,
59,taipei,,,,,
60,gothenburg,,,,,
61,guangdong,,,,,
62,luton,,,,,
63,boston,,,,,
64,havana,,,,,
65,essex,,,,,
66,bristol,,,,,
67,newmarket,,,,,
68,verona,,,,,
69,madrid,,,,,
70,hamilton,,,,,
71,boston,,,,,
72,london,,,,,
73,auckland,,,,,
74,chicago,,,,,
75,brunswick,,,,,
76,toronto,,,,,
77,denver,,,,,
78,rome,,,,,
79,boston,,,,,
80,london,,,,,
81,perth,,,,,
82,utrecht,,,,,
83,harlem,,,,,
84,granada,,,,,
85,atlanta,,,,,
86,paris,,,,,
87,strasbourg,,,,,
88,berlin,,,,,
89,copenhagen,,,,,
90,vienna,,,,,
91,siena,,,,,
