,answers,original,t5_0,t5_1,t5_2,t5_3
0,baku,,,,,
1,brody,,,,,
2,chicago,,,,,
3,richmond,,,,,
4,auburn,,,,,
5,windsor,,,,,
6,strasbourg,,,,,
7,shreveport,,,,,
8,lincoln,,,,,
9,winchester,,,,,
10,alexandria,,,,,
11,colombo,,,,,
12,florence,,,,,
13,helsinki,,,,,
14,hyderabad,,,,,
15,carlisle,,,,,
16,adelaide,,,,,
17,edinburgh,,,,,
18,warsaw,,,,,
19,dhaka,,,,,
20,moscow,,,,,
21,jackson,,,,,
22,hermann,,,,,
23,christchurch,,,,,
24,paris,,,,,
25,stade,,,,,
26,edmonton,,,,,
27,athens,,,,,
28,monaco,,,,,
29,camden,,,,,
30,berlin,,,,,
31,yerevan,,,,,
32,aberdeen,,,,,
33,indianapolis,,,,,
34,boone,,,,,
35,salvador,,,,,
36,pontiac,,,,,
37,paris,,,,,
38,pueblo,,,,,
39,delhi,,,,,
40,cambridge,,,,,
41,lund,,,,,
42,graham,,,,,
43,lebanon,,,,,
44,milwaukee,,,,,
45,steele,,,,,
46,naples,,,,,
47,brisbane,,,,,
48,tours,,,,,
49,vilnius,,,,,
50,georgetown,,,,,
51,beijing,,,,,
52,bari,,,,,
53,ljubljana,,,,,
54,ghent,,,,,
55,copenhagen,,,,,
56,lansing,,,,,
57,paris,,,,,
58,huntington,,,,,
59,cairo,,,,,
60,berlin,,,,,
61,medina,,,,,
62,stirling,,,,,
63,stafford,,,,,
64,edo,,,,,
65,amsterdam,,,,,
66,tbilisi,,,,,
67,moscow,,,,,
68,oral,,,,,
69,bucharest,,,,,
70,hobart,,,,,
71,concord,,,,,
72,limerick,,,,,
73,cairo,,,,,
74,auckland,,,,,
75,concord,,,,,
76,odessa,,,,,
77,tripoli,,,,,
78,canberra,,,,,
79,antrim,,,,,
80,republic,,,,,
81,istanbul,,,,,
82,clifton,,,,,
83,kilkenny,,,,,
84,edinburgh,,,,,
85,bristol,,,,,
86,belgrade,,,,,
87,austin,,,,,
88,constantinople,,,,,
89,palmer,,,,,
90,hutchinson,,,,,
91,greenville,,,,,
92,budapest,,,,,
93,hamilton,,,,,
94,moscow,,,,,
95,baghdad,,,,,
96,venice,,,,,
97,center,,,,,
98,worcester,,,,,
99,palermo,,,,,
100,harrisburg,,,,,
101,rome,,,,,
102,galway,,,,,
103,elizabeth,,,,,
104,vienna,,,,,
105,jakarta,,,,,
106,jerusalem,,,,,
107,nagoya,,,,,
108,auburn,,,,,
109,augusta,,,,,
110,victoria,,,,,
111,kensington,,,,,
112,leicester,,,,,
113,salvador,,,,,
114,seattle,,,,,
115,manhattan,,,,,
116,athens,,,,,
117,amsterdam,,,,,
118,cheyenne,,,,,
119,hamilton,,,,,
120,albuquerque,,,,,
121,liberty,,,,,
122,aden,,,,,
123,tirana,,,,,
124,prescott,,,,,
125,craig,,,,,
126,genoa,,,,,
127,taipei,,,,,
128,munich,,,,,
129,kabul,,,,,
130,prague,,,,,
131,dubai,,,,,
132,crosby,,,,,
133,bismarck,,,,,
