,answers,original,t5_0,t5_1,t5_2,t5_3
0,baku,"[{'token': 'azerbaijan', 'score': 0.347}, {'token': 'bor', 'score': 0.089}, {'token': 'aku', 'score': 0.072}, {'token': 'bam', 'score': 0.067}, {'token': 'kut', 'score': 0.027}, {'token': 'b', 'score': 0.023}, {'token': 'az', 'score': 0.023}, {'token': 'van', 'score': 0.018}, {'token': 'sark', 'score': 0.017}, {'token': 'bab', 'score': 0.014}]","[{'token': 'azerbaijan', 'score': 0.44}, {'token': 'bam', 'score': 0.07}, {'token': 'tehran', 'score': 0.062}, {'token': 'aku', 'score': 0.055}, {'token': '</s>', 'score': 0.04}, {'token': 'az', 'score': 0.031}, {'token': 'b', 'score': 0.018}, {'token': 'osh', 'score': 0.017}, {'token': 'kara', 'score': 0.015}, {'token': 'mehran', 'score': 0.011}]","[{'token': 'azerbaijan', 'score': 0.429}, {'token': 'aku', 'score': 0.15}, {'token': 'bam', 'score': 0.046}, {'token': 'b', 'score': 0.043}, {'token': 'bor', 'score': 0.033}, {'token': 'tehran', 'score': 0.026}, {'token': 'az', 'score': 0.018}, {'token': 'kut', 'score': 0.014}, {'token': 'bay', 'score': 0.011}, {'token': 'ast', 'score': 0.011}]","[{'token': 'azerbaijan', 'score': 0.689}, {'token': 'aku', 'score': 0.063}, {'token': 'tehran', 'score': 0.06}, {'token': 'bam', 'score': 0.012}, {'token': 'sochi', 'score': 0.01}, {'token': 'istanbul', 'score': 0.01}, {'token': 'mir', 'score': 0.009}, {'token': 'dubai', 'score': 0.009}, {'token': 'van', 'score': 0.008}, {'token': 'az', 'score': 0.007}]","[{'token': 'azerbaijan', 'score': 0.534}, {'token': 'tehran', 'score': 0.096}, {'token': 'bam', 'score': 0.076}, {'token': 'aku', 'score': 0.052}, {'token': '</s>', 'score': 0.028}, {'token': 'constantinople', 'score': 0.015}, {'token': 'az', 'score': 0.012}, {'token': 'sochi', 'score': 0.011}, {'token': 'b', 'score': 0.01}, {'token': 'ast', 'score': 0.009}]"
1,brody,"[{'token': 'donetsk', 'score': 0.754}, {'token': 'kiev', 'score': 0.209}, {'token': 'lv', 'score': 0.005}, {'token': 'ky', 'score': 0.004}, {'token': 'don', 'score': 0.003}, {'token': 'the', 'score': 0.003}, {'token': 'this', 'score': 0.002}, {'token': 'a', 'score': 0.002}, {'token': 'osh', 'score': 0.002}, {'token': 'ukrainian', 'score': 0.002}]","[{'token': 'ukrainian', 'score': 0.157}, {'token': 'kiev', 'score': 0.075}, {'token': 'national', 'score': 0.074}, {'token': 'donetsk', 'score': 0.041}, {'token': 'international', 'score': 0.029}, {'token': 'new', 'score': 0.021}, {'token': 'crimean', 'score': 0.02}, {'token': 'ukraine', 'score': 0.014}, {'token': 'lenin', 'score': 0.013}, {'token': 'first', 'score': 0.013}]","[{'token': 'the', 'score': 0.511}, {'token': 'donetsk', 'score': 0.133}, {'token': 'this', 'score': 0.114}, {'token': 'by', 'score': 0.051}, {'token': 'that', 'score': 0.031}, {'token': 'in', 'score': 0.01}, {'token': 'kiev', 'score': 0.009}, {'token': 'born', 'score': 0.009}, {'token': 'my', 'score': 0.003}, {'token': 'the', 'score': 0.003}]","[{'token': 'the', 'score': 0.407}, {'token': 'as', 'score': 0.1}, {'token': 'the', 'score': 0.062}, {'token': 'ivan', 'score': 0.039}, {'token': 'ukrainian', 'score': 0.021}, {'token': 'kiev', 'score': 0.014}, {'token': ',', 'score': 0.009}, {'token': ':', 'score': 0.008}, {'token': 'les', 'score': 0.007}, {'token': 'ukraine', 'score': 0.007}]","[{'token': 'donetsk', 'score': 0.734}, {'token': 'kiev', 'score': 0.144}, {'token': 'this', 'score': 0.017}, {'token': 'lv', 'score': 0.016}, {'token': 'ky', 'score': 0.012}, {'token': 'the', 'score': 0.011}, {'token': 'that', 'score': 0.01}, {'token': 'osh', 'score': 0.007}, {'token': 'don', 'score': 0.006}, {'token': 'lug', 'score': 0.004}]"
2,chicago,"[{'token': 'chicago', 'score': 0.748}, {'token': 'it', 'score': 0.063}, {'token': 'cook', 'score': 0.02}, {'token': 'milwaukee', 'score': 0.006}, {'token': 'dublin', 'score': 0.005}, {'token': 'anchorage', 'score': 0.005}, {'token': 'ottawa', 'score': 0.005}, {'token': 'indianapolis', 'score': 0.004}, {'token': 'birmingham', 'score': 0.004}, {'token': 'london', 'score': 0.003}]","[{'token': 'chicago', 'score': 0.988}, {'token': 'aurora', 'score': 0.005}, {'token': 'cook', 'score': 0.003}, {'token': 'springfield', 'score': 0.003}, {'token': 'chicago', 'score': 0.0}, {'token': 'loop', 'score': 0.0}, {'token': 'riverside', 'score': 0.0}, {'token': 'quincy', 'score': 0.0}, {'token': 'morton', 'score': 0.0}, {'token': 'illinois', 'score': 0.0}]","[{'token': 'chicago', 'score': 0.227}, {'token': 'it', 'score': 0.076}, {'token': 'cook', 'score': 0.066}, {'token': 'dublin', 'score': 0.039}, {'token': 'this', 'score': 0.038}, {'token': 'auckland', 'score': 0.032}, {'token': 'hamilton', 'score': 0.032}, {'token': 'london', 'score': 0.026}, {'token': 'kingston', 'score': 0.024}, {'token': 'bristol', 'score': 0.023}]","[{'token': 'auckland', 'score': 0.176}, {'token': 'wellington', 'score': 0.147}, {'token': 'victoria', 'score': 0.091}, {'token': 'canterbury', 'score': 0.07}, {'token': 'england', 'score': 0.035}, {'token': 'hamilton', 'score': 0.031}, {'token': 'kent', 'score': 0.022}, {'token': 'tasmania', 'score': 0.019}, {'token': 'australia', 'score': 0.017}, {'token': 'london', 'score': 0.012}]","[{'token': 'chicago', 'score': 0.962}, {'token': 'aurora', 'score': 0.021}, {'token': 'cook', 'score': 0.006}, {'token': 'springfield', 'score': 0.003}, {'token': 'riverside', 'score': 0.001}, {'token': 'quincy', 'score': 0.001}, {'token': 'milwaukee', 'score': 0.0}, {'token': 'austin', 'score': 0.0}, {'token': 'loop', 'score': 0.0}, {'token': 'geneva', 'score': 0.0}]"
3,richmond,"[{'token': 'austin', 'score': 0.143}, {'token': 'dallas', 'score': 0.127}, {'token': 'houston', 'score': 0.1}, {'token': 'arlington', 'score': 0.043}, {'token': 'martinez', 'score': 0.043}, {'token': 'richmond', 'score': 0.032}, {'token': 'eagle', 'score': 0.029}, {'token': 'denver', 'score': 0.024}, {'token': 'georgetown', 'score': 0.019}, {'token': 'concord', 'score': 0.017}]","[{'token': 'houston', 'score': 0.384}, {'token': 'dallas', 'score': 0.123}, {'token': 'victoria', 'score': 0.095}, {'token': 'austin', 'score': 0.072}, {'token': 'richmond', 'score': 0.038}, {'token': 'georgetown', 'score': 0.027}, {'token': 'alvin', 'score': 0.023}, {'token': 'rosenberg', 'score': 0.019}, {'token': 'pasadena', 'score': 0.013}, {'token': 'richardson', 'score': 0.01}]",,"[{'token': 'eagle', 'score': 0.577}, {'token': 'dallas', 'score': 0.108}, {'token': 'houston', 'score': 0.033}, {'token': 'austin', 'score': 0.029}, {'token': 'atlanta', 'score': 0.027}, {'token': 'denver', 'score': 0.019}, {'token': 'omaha', 'score': 0.013}, {'token': 'toronto', 'score': 0.008}, {'token': 'chicago', 'score': 0.007}, {'token': 'albuquerque', 'score': 0.007}]","[{'token': 'houston', 'score': 0.303}, {'token': 'dallas', 'score': 0.296}, {'token': 'austin', 'score': 0.1}, {'token': 'atlanta', 'score': 0.019}, {'token': 'eagle', 'score': 0.015}, {'token': 'victoria', 'score': 0.011}, {'token': 'arlington', 'score': 0.009}, {'token': 'omaha', 'score': 0.008}, {'token': 'georgetown', 'score': 0.007}, {'token': 'denver', 'score': 0.006}]"
4,auburn,"[{'token': 'albany', 'score': 0.392}, {'token': 'buffalo', 'score': 0.112}, {'token': 'brooklyn', 'score': 0.077}, {'token': 'syracuse', 'score': 0.035}, {'token': 'rochester', 'score': 0.026}, {'token': 'manhattan', 'score': 0.021}, {'token': 'florida', 'score': 0.021}, {'token': 'connecticut', 'score': 0.019}, {'token': 'canada', 'score': 0.017}, {'token': 'massachusetts', 'score': 0.011}]",,"[{'token': 'associate', 'score': 0.103}, {'token': 'ohio', 'score': 0.073}, {'token': 'alabama', 'score': 0.072}, {'token': 'state', 'score': 0.068}, {'token': 'illinois', 'score': 0.067}, {'token': 'alternate', 'score': 0.054}, {'token': 'interim', 'score': 0.049}, {'token': 'indiana', 'score': 0.044}, {'token': 'assistant', 'score': 0.041}, {'token': 'iowa', 'score': 0.04}]","[{'token': 'albany', 'score': 0.274}, {'token': 'buffalo', 'score': 0.075}, {'token': 'ohio', 'score': 0.054}, {'token': 'pennsylvania', 'score': 0.041}, {'token': 'connecticut', 'score': 0.04}, {'token': 'brooklyn', 'score': 0.029}, {'token': 'georgia', 'score': 0.027}, {'token': 'syracuse', 'score': 0.024}, {'token': 'florida', 'score': 0.021}, {'token': 'massachusetts', 'score': 0.021}]","[{'token': 'albany', 'score': 0.346}, {'token': 'buffalo', 'score': 0.091}, {'token': 'canada', 'score': 0.058}, {'token': 'florida', 'score': 0.04}, {'token': 'california', 'score': 0.038}, {'token': 'brooklyn', 'score': 0.028}, {'token': 'syracuse', 'score': 0.023}, {'token': 'connecticut', 'score': 0.022}, {'token': 'rochester', 'score': 0.021}, {'token': 'ohio', 'score': 0.021}]"
5,windsor,"[{'token': 'adelaide', 'score': 0.287}, {'token': 'sydney', 'score': 0.179}, {'token': 'queensland', 'score': 0.142}, {'token': 'brisbane', 'score': 0.109}, {'token': 'tasmania', 'score': 0.08}, {'token': 'melbourne', 'score': 0.044}, {'token': 'perth', 'score': 0.039}, {'token': 'victoria', 'score': 0.029}, {'token': 'darwin', 'score': 0.012}, {'token': 'auckland', 'score': 0.011}]","[{'token': 'adelaide', 'score': 0.438}, {'token': 'canberra', 'score': 0.144}, {'token': 'brisbane', 'score': 0.096}, {'token': 'melbourne', 'score': 0.091}, {'token': 'sydney', 'score': 0.075}, {'token': 'perth', 'score': 0.067}, {'token': 'darwin', 'score': 0.019}, {'token': 'tasmania', 'score': 0.018}, {'token': 'newcastle', 'score': 0.011}, {'token': 'wellington', 'score': 0.007}]","[{'token': 'adelaide', 'score': 0.273}, {'token': 'sydney', 'score': 0.255}, {'token': 'melbourne', 'score': 0.102}, {'token': 'canberra', 'score': 0.089}, {'token': 'brisbane', 'score': 0.083}, {'token': 'perth', 'score': 0.08}, {'token': 'queensland', 'score': 0.025}, {'token': 'tasmania', 'score': 0.022}, {'token': 'darwin', 'score': 0.02}, {'token': 'victoria', 'score': 0.013}]","[{'token': 'queensland', 'score': 0.261}, {'token': 'adelaide', 'score': 0.207}, {'token': 'tasmania', 'score': 0.154}, {'token': 'sydney', 'score': 0.112}, {'token': 'brisbane', 'score': 0.061}, {'token': 'canberra', 'score': 0.046}, {'token': 'victoria', 'score': 0.036}, {'token': 'perth', 'score': 0.03}, {'token': 'melbourne', 'score': 0.03}, {'token': 'darwin', 'score': 0.016}]","[{'token': 'sydney', 'score': 0.373}, {'token': 'adelaide', 'score': 0.122}, {'token': 'perth', 'score': 0.105}, {'token': 'brisbane', 'score': 0.079}, {'token': 'canberra', 'score': 0.076}, {'token': 'melbourne', 'score': 0.074}, {'token': 'tasmania', 'score': 0.038}, {'token': 'darwin', 'score': 0.03}, {'token': 'queensland', 'score': 0.022}, {'token': 'victoria', 'score': 0.014}]"
6,strasbourg,"[{'token': 'brussels', 'score': 0.862}, {'token': 'paris', 'score': 0.051}, {'token': 'stras', 'score': 0.044}, {'token': 'luxembourg', 'score': 0.014}, {'token': 'frankfurt', 'score': 0.004}, {'token': 'berlin', 'score': 0.003}, {'token': 'lyon', 'score': 0.003}, {'token': 'cologne', 'score': 0.002}, {'token': 'munich', 'score': 0.002}, {'token': 'spa', 'score': 0.002}]","[{'token': 'paris', 'score': 0.369}, {'token': 'stras', 'score': 0.144}, {'token': 'lyon', 'score': 0.116}, {'token': 'nancy', 'score': 0.076}, {'token': 'cologne', 'score': 0.057}, {'token': 'brussels', 'score': 0.041}, {'token': 'frankfurt', 'score': 0.032}, {'token': 'sens', 'score': 0.03}, {'token': 'bern', 'score': 0.027}, {'token': 'berlin', 'score': 0.014}]","[{'token': 'paris', 'score': 0.201}, {'token': 'stras', 'score': 0.172}, {'token': 'brussels', 'score': 0.048}, {'token': 'luxembourg', 'score': 0.042}, {'token': 'nancy', 'score': 0.04}, {'token': 'sagan', 'score': 0.027}, {'token': 'lyon', 'score': 0.026}, {'token': 'sens', 'score': 0.024}, {'token': 'burg', 'score': 0.018}, {'token': 'berg', 'score': 0.017}]","[{'token': 'paris', 'score': 0.596}, {'token': 'brussels', 'score': 0.283}, {'token': 'lyon', 'score': 0.1}, {'token': 'luxembourg', 'score': 0.007}, {'token': 'stras', 'score': 0.005}, {'token': 'ely', 'score': 0.002}, {'token': 'calais', 'score': 0.001}, {'token': 'nice', 'score': 0.001}, {'token': 'frankfurt', 'score': 0.001}, {'token': 'prague', 'score': 0.001}]","[{'token': 'paris', 'score': 0.175}, {'token': 'stras', 'score': 0.148}, {'token': 'bern', 'score': 0.055}, {'token': 'luxembourg', 'score': 0.051}, {'token': 'berg', 'score': 0.05}, {'token': 'frankfurt', 'score': 0.046}, {'token': 'brussels', 'score': 0.043}, {'token': 'burg', 'score': 0.039}, {'token': 'nancy', 'score': 0.038}, {'token': 'cologne', 'score': 0.036}]"
7,shreveport,"[{'token': 'louisiana', 'score': 0.889}, {'token': 'la', 'score': 0.035}, {'token': 'texas', 'score': 0.027}, {'token': 'la', 'score': 0.027}, {'token': 'arkansas', 'score': 0.004}, {'token': 'parish', 'score': 0.004}, {'token': 'mississippi', 'score': 0.003}, {'token': 'tx', 'score': 0.001}, {'token': 'missouri', 'score': 0.001}, {'token': 'alabama', 'score': 0.001}]","[{'token': 'louisiana', 'score': 0.835}, {'token': 'la', 'score': 0.065}, {'token': 'texas', 'score': 0.061}, {'token': 'la', 'score': 0.012}, {'token': 'mississippi', 'score': 0.003}, {'token': 'arkansas', 'score': 0.002}, {'token': 'parish', 'score': 0.002}, {'token': 'missouri', 'score': 0.002}, {'token': 'oklahoma', 'score': 0.001}, {'token': 'alabama', 'score': 0.001}]","[{'token': 'louisiana', 'score': 0.591}, {'token': ',', 'score': 0.221}, {'token': 'la', 'score': 0.049}, {'token': 'texas', 'score': 0.04}, {'token': ',', 'score': 0.023}, {'token': 'in', 'score': 0.011}, {'token': 'usa', 'score': 0.009}, {'token': '.', 'score': 0.005}, {'token': 'arkansas', 'score': 0.005}, {'token': 'la', 'score': 0.005}]","[{'token': ',', 'score': 0.712}, {'token': ',', 'score': 0.173}, {'token': 'louisiana', 'score': 0.029}, {'token': 'in', 'score': 0.017}, {'token': 'is', 'score': 0.01}, {'token': 'was', 'score': 0.009}, {'token': 'texas', 'score': 0.007}, {'token': '.', 'score': 0.005}, {'token': '.', 'score': 0.002}, {'token': 'usa', 'score': 0.001}]","[{'token': ',', 'score': 0.574}, {'token': 'louisiana', 'score': 0.184}, {'token': 'texas', 'score': 0.058}, {'token': 'la', 'score': 0.025}, {'token': ',', 'score': 0.019}, {'token': 'in', 'score': 0.017}, {'token': 'usa', 'score': 0.016}, {'token': '.', 'score': 0.011}, {'token': 'arkansas', 'score': 0.008}, {'token': 'la', 'score': 0.008}]"
8,lincoln,"[{'token': 'nebraska', 'score': 0.536}, {'token': 'lincoln', 'score': 0.243}, {'token': 'omaha', 'score': 0.208}, {'token': 'colorado', 'score': 0.001}, {'token': 'ne', 'score': 0.001}, {'token': 'denver', 'score': 0.001}, {'token': 'kansas', 'score': 0.0}, {'token': 'aurora', 'score': 0.0}, {'token': 'albuquerque', 'score': 0.0}, {'token': 'hastings', 'score': 0.0}]","[{'token': 'nebraska', 'score': 0.259}, {'token': 'omaha', 'score': 0.173}, {'token': 'boston', 'score': 0.122}, {'token': 'albuquerque', 'score': 0.038}, {'token': 'denver', 'score': 0.026}, {'token': 'portland', 'score': 0.024}, {'token': 'honolulu', 'score': 0.019}, {'token': 'massachusetts', 'score': 0.016}, {'token': 'seattle', 'score': 0.014}, {'token': 'maine', 'score': 0.012}]","[{'token': 'brussels', 'score': 0.527}, {'token': 'this', 'score': 0.168}, {'token': 'it', 'score': 0.144}, {'token': 'belgium', 'score': 0.014}, {'token': 'berlin', 'score': 0.007}, {'token': 'boston', 'score': 0.007}, {'token': 'milwaukee', 'score': 0.005}, {'token': 'amsterdam', 'score': 0.005}, {'token': 'that', 'score': 0.004}, {'token': 'dallas', 'score': 0.004}]","[{'token': 'nebraska', 'score': 0.984}, {'token': 'lincoln', 'score': 0.004}, {'token': 'omaha', 'score': 0.004}, {'token': 'ne', 'score': 0.001}, {'token': 'oklahoma', 'score': 0.001}, {'token': 'colorado', 'score': 0.001}, {'token': 'kansas', 'score': 0.001}, {'token': 'minnesota', 'score': 0.0}, {'token': 'missouri', 'score': 0.0}, {'token': 'america', 'score': 0.0}]","[{'token': 'nebraska', 'score': 0.961}, {'token': 'omaha', 'score': 0.02}, {'token': 'lincoln', 'score': 0.014}, {'token': 'ne', 'score': 0.003}, {'token': 'colorado', 'score': 0.0}, {'token': 'kansas', 'score': 0.0}, {'token': 'oklahoma', 'score': 0.0}, {'token': 'neb', 'score': 0.0}, {'token': 'aurora', 'score': 0.0}, {'token': 'wyoming', 'score': 0.0}]"
9,winchester,"[{'token': 'portsmouth', 'score': 0.567}, {'token': 'winchester', 'score': 0.246}, {'token': 'southampton', 'score': 0.115}, {'token': 'london', 'score': 0.04}, {'token': 'oxford', 'score': 0.006}, {'token': 'rochester', 'score': 0.004}, {'token': 'bath', 'score': 0.003}, {'token': 'hampton', 'score': 0.002}, {'token': 'canterbury', 'score': 0.002}, {'token': 'worcester', 'score': 0.001}]","[{'token': 'london', 'score': 0.471}, {'token': 'portsmouth', 'score': 0.121}, {'token': 'winchester', 'score': 0.118}, {'token': 'southampton', 'score': 0.107}, {'token': 'westminster', 'score': 0.019}, {'token': 'worcester', 'score': 0.017}, {'token': 'oxford', 'score': 0.015}, {'token': 'manchester', 'score': 0.014}, {'token': 'lincoln', 'score': 0.011}, {'token': 'dover', 'score': 0.009}]","[{'token': 'london', 'score': 0.77}, {'token': 'southampton', 'score': 0.074}, {'token': 'portsmouth', 'score': 0.019}, {'token': 'worcester', 'score': 0.016}, {'token': 'birmingham', 'score': 0.013}, {'token': 'manchester', 'score': 0.011}, {'token': 'bristol', 'score': 0.009}, {'token': 'westminster', 'score': 0.008}, {'token': 'hampton', 'score': 0.007}, {'token': 'richmond', 'score': 0.006}]","[{'token': 'portsmouth', 'score': 0.437}, {'token': 'london', 'score': 0.212}, {'token': 'winchester', 'score': 0.18}, {'token': 'southampton', 'score': 0.061}, {'token': 'oxford', 'score': 0.017}, {'token': 'rochester', 'score': 0.012}, {'token': 'manchester', 'score': 0.009}, {'token': 'westminster', 'score': 0.007}, {'token': 'bath', 'score': 0.006}, {'token': 'bristol', 'score': 0.004}]","[{'token': 'london', 'score': 0.647}, {'token': 'worcester', 'score': 0.041}, {'token': 'birmingham', 'score': 0.033}, {'token': 'oxford', 'score': 0.032}, {'token': 'norwich', 'score': 0.029}, {'token': 'southampton', 'score': 0.028}, {'token': 'derby', 'score': 0.024}, {'token': 'portsmouth', 'score': 0.016}, {'token': 'westminster', 'score': 0.014}, {'token': 'bristol', 'score': 0.012}]"
