,answers,original,t5_0,t5_1,t5_2,t5_3
0,brazil,,,,,
1,france,,,,,
2,estonia,,,,,
3,denmark,,,,,
4,denmark,,,,,
5,sweden,,,,,
6,india,,,,,
7,japan,,,,,
8,canada,,,,,
9,nigeria,,,,,
10,denmark,,,,,
11,australia,,,,,
12,australia,,,,,
13,england,,,,,
14,france,,,,,
15,france,,,,,
16,denmark,,,,,
17,austria,,,,,
18,israel,,,,,
19,japan,,,,,
20,india,,,,,
21,ecuador,,,,,
22,mexico,,,,,
23,argentina,,,,,
24,venezuela,,,,,
25,japan,,,,,
26,belgium,,,,,
27,brazil,,,,,
28,australia,,,,,
29,tanzania,,,,,
30,mexico,,,,,
31,malaysia,,,,,
32,albania,,,,,
33,switzerland,,,,,
34,switzerland,,,,,
35,austria,,,,,
36,poland,,,,,
37,norway,,,,,
38,canada,,,,,
39,spain,,,,,
40,belgium,,,,,
41,canada,,,,,
42,lebanon,,,,,
43,ireland,,,,,
44,canada,,,,,
45,mexico,,,,,
46,switzerland,,,,,
47,ukraine,,,,,
48,israel,,,,,
49,estonia,,,,,
50,canada,,,,,
51,laos,,,,,
52,bulgaria,,,,,
53,australia,,,,,
54,ireland,,,,,
55,canada,,,,,
56,belgium,,,,,
57,canada,,,,,
58,japan,,,,,
59,afghanistan,,,,,
60,spain,,,,,
61,denmark,,,,,
62,paraguay,,,,,
63,australia,,,,,
64,germany,,,,,
65,japan,,,,,
66,argentina,,,,,
67,japan,,,,,
68,bolivia,,,,,
69,japan,,,,,
70,ireland,,,,,
71,japan,,,,,
72,japan,,,,,
73,canada,,,,,
74,japan,,,,,
75,mexico,,,,,
76,senegal,,,,,
77,paraguay,,,,,
78,egypt,,,,,
79,france,,,,,
80,romania,,,,,
81,australia,,,,,
82,malaysia,,,,,
83,canada,,,,,
84,canada,,,,,
85,malaysia,,,,,
86,italy,,,,,
87,norway,,,,,
88,france,,,,,
89,italy,,,,,
90,france,,,,,
91,israel,,,,,
92,ireland,,,,,
93,italy,,,,,
94,slovakia,,,,,
