,answers,original,t5_0,t5_1,t5_2,t5_3
0,iraq,,,,,
1,paris,,,,,
2,baltimore,,,,,
3,leicester,,,,,
4,athens,,,,,
5,vienna,,,,,
6,rome,,,,,
7,paris,,,,,
8,munich,,,,,
9,bonn,,,,,
10,london,,,,,
11,hamburg,,,,,
12,helsinki,,,,,
13,madrid,,,,,
14,paris,,,,,
15,minsk,,,,,
16,karachi,,,,,
17,amsterdam,,,,,
18,london,,,,,
19,paris,,,,,
20,paris,,,,,
21,geneva,,,,,
22,vienna,,,,,
23,london,,,,,
24,london,,,,,
25,leipzig,,,,,
26,parma,,,,,
27,london,,,,,
28,boston,,,,,
29,edinburgh,,,,,
30,rome,,,,,
31,houston,,,,,
32,pittsburgh,,,,,
33,kent,,,,,
34,sofia,,,,,
35,hollywood,,,,,
36,frankfurt,,,,,
37,milan,,,,,
38,paris,,,,,
39,vienna,,,,,
40,montreal,,,,,
41,karachi,,,,,
42,hobart,,,,,
43,miami,,,,,
44,aleppo,,,,,
45,bremen,,,,,
46,tehran,,,,,
47,cincinnati,,,,,
48,london,,,,,
49,oslo,,,,,
50,montreal,,,,,
51,berlin,,,,,
52,italy,,,,,
53,rome,,,,,
54,sydney,,,,,
55,chicago,,,,,
56,london,,,,,
57,paris,,,,,
58,bologna,,,,,
59,london,,,,,
60,paris,,,,,
61,tehran,,,,,
62,medina,,,,,
63,amsterdam,,,,,
64,london,,,,,
65,london,,,,,
66,munich,,,,,
67,rome,,,,,
68,paris,,,,,
69,bern,,,,,
70,paris,,,,,
71,london,,,,,
72,singapore,,,,,
73,london,,,,,
74,paris,,,,,
75,munich,,,,,
76,dallas,,,,,
77,vancouver,,,,,
78,edo,,,,,
79,paris,,,,,
80,london,,,,,
81,tokyo,,,,,
82,milan,,,,,
83,rome,,,,,
84,rome,,,,,
85,paris,,,,,
86,medina,,,,,
87,moscow,,,,,
88,salzburg,,,,,
89,lexington,,,,,
90,oslo,,,,,
91,windsor,,,,,
92,minneapolis,,,,,
93,baku,,,,,
94,istanbul,,,,,
95,constantinople,,,,,
96,toronto,,,,,
97,augsburg,,,,,
98,amsterdam,,,,,
99,copenhagen,,,,,
100,stockholm,,,,,
101,athens,,,,,
102,chennai,,,,,
103,venice,,,,,
104,paris,,,,,
105,edinburgh,,,,,
106,gabon,,,,,
107,paris,,,,,
108,paris,,,,,
109,rome,,,,,
110,melbourne,,,,,
111,nottingham,,,,,
112,california,,,,,
113,java,,,,,
114,warsaw,,,,,
115,turin,,,,,
116,indianapolis,,,,,
117,turin,,,,,
118,paris,,,,,
119,venice,,,,,
120,berlin,,,,,
121,rome,,,,,
122,moscow,,,,,
123,london,,,,,
124,zagreb,,,,,
125,london,,,,,
126,nuremberg,,,,,
127,paris,,,,,
128,london,,,,,
129,paris,,,,,
130,paris,,,,,
131,constantinople,,,,,
132,london,,,,,
133,london,,,,,
134,leipzig,,,,,
