,answers,original,t5_0,t5_1,t5_2,t5_3
0,apple,,,,,
1,apple,,,,,
2,microsoft,,,,,
3,microsoft,,,,,
4,bbc,,,,,
5,bbc,,,,,
6,bbc,,,,,
7,ibm,,,,,
8,ibm,,,,,
9,ibm,,,,,
10,microsoft,,,,,
11,microsoft,,,,,
12,victoria,,,,,
13,bbc,,,,,
14,google,,,,,
15,apple,,,,,
16,cbs,,,,,
17,elle,,,,,
18,microsoft,,,,,
19,apple,,,,,
20,apple,,,,,
21,ibm,,,,,
22,ibm,,,,,
23,intel,,,,,
24,nintendo,,,,,
25,bbc,,,,,
26,bbc,,,,,
27,bbc,,,,,
28,google,,,,,
29,bbc,,,,,
30,bbc,,,,,
31,bbc,,,,,
32,bbc,,,,,
33,bbc,,,,,
34,bbc,,,,,
35,bbc,,,,,
36,bbc,,,,,
37,bbc,,,,,
38,bbc,,,,,
39,bbc,,,,,
40,bbc,,,,,
41,bbc,,,,,
42,bbc,,,,,
43,bbc,,,,,
44,bbc,,,,,
45,microsoft,,,,,
46,bbc,,,,,
47,bbc,,,,,
48,bbc,,,,,
49,pbs,,,,,
50,bbc,,,,,
51,microsoft,,,,,
52,berlin,,,,,
53,canada,,,,,
54,bbc,,,,,
55,bbc,,,,,
56,yahoo,,,,,
57,google,,,,,
58,bbc,,,,,
59,bbc,,,,,
60,amsterdam,,,,,
61,bbc,,,,,
62,bbc,,,,,
63,bbc,,,,,
64,bbc,,,,,
65,ibm,,,,,
66,ibm,,,,,
67,bbc,,,,,
68,bbc,,,,,
69,bbc,,,,,
70,bbc,,,,,
71,espn,,,,,
72,bbc,,,,,
73,espn,,,,,
74,bbc,,,,,
75,espn,,,,,
76,cbs,,,,,
77,cnn,,,,,
78,espn,,,,,
79,bbc,,,,,
80,ibm,,,,,
81,raphael,,,,,
82,microsoft,,,,,
83,microsoft,,,,,
84,cbs,,,,,
85,bbc,,,,,
86,bbc,,,,,
87,microsoft,,,,,
88,mclaren,,,,,
89,sur,,,,,
90,wwe,,,,,
91,cbs,,,,,
92,cbs,,,,,
93,bbc,,,,,
94,bbc,,,,,
95,cnn,,,,,
96,nintendo,,,,,
97,bbc,,,,,
98,wwe,,,,,
99,microsoft,,,,,
100,nbc,,,,,
101,ibm,,,,,
102,ibm,,,,,
103,bbc,,,,,
104,bbc,,,,,
105,bbc,,,,,
106,bbc,,,,,
107,ibm,,,,,
108,apple,,,,,
109,bbc,,,,,
110,microsoft,,,,,
111,bbc,,,,,
112,bbc,,,,,
113,bbc,,,,,
114,bbc,,,,,
115,bbc,,,,,
116,microsoft,,,,,
117,bbc,,,,,
118,bmw,,,,,
119,bbc,,,,,
120,bbc,,,,,
121,bbc,,,,,
122,russia,,,,,
123,bbc,,,,,
124,bbc,,,,,
125,bbc,,,,,
126,ibm,,,,,
127,paris,,,,,
128,unesco,,,,,
129,bbc,,,,,
130,bbc,,,,,
131,bbc,,,,,
132,bbc,,,,,
133,bbc,,,,,
134,bbc,,,,,
135,microsoft,,,,,
136,bbc,,,,,
137,bbc,,,,,
138,bbc,,,,,
139,bbc,,,,,
140,bbc,,,,,
141,bbc,,,,,
142,salon,,,,,
143,bbc,,,,,
144,boeing,,,,,
145,npr,,,,,
146,bbc,,,,,
147,bbc,,,,,
148,cbs,,,,,
149,ibm,,,,,
150,espn,,,,,
151,bbc,,,,,
152,renault,,,,,
153,alexandria,,,,,
154,bbc,,,,,
155,bbc,,,,,
156,bbc,,,,,
157,bbc,,,,,
158,bbc,,,,,
159,bbc,,,,,
160,google,,,,,
161,bbc,,,,,
162,bbc,,,,,
163,bbc,,,,,
164,apple,,,,,
165,google,,,,,
166,bbc,,,,,
167,bbc,,,,,
168,atari,,,,,
169,bbc,,,,,
170,microsoft,,,,,
171,microsoft,,,,,
172,mercedes,,,,,
173,bbc,,,,,
174,cbs,,,,,
175,bbc,,,,,
176,bbc,,,,,
177,wwe,,,,,
178,intel,,,,,
179,bbc,,,,,
180,bbc,,,,,
181,bbc,,,,,
182,bbc,,,,,
183,bbc,,,,,
184,bbc,,,,,
185,heart,,,,,
186,bbc,,,,,
187,bbc,,,,,
188,ibm,,,,,
189,bbc,,,,,
190,bbc,,,,,
191,ibm,,,,,
192,bbc,,,,,
193,bbc,,,,,
194,fortune,,,,,
195,google,,,,,
196,bbc,,,,,
197,bbc,,,,,
198,bbc,,,,,
199,bbc,,,,,
200,nike,,,,,
201,bbc,,,,,
202,bbc,,,,,
203,bbc,,,,,
204,ibm,,,,,
205,bbc,,,,,
206,microsoft,,,,,
207,bbc,,,,,
208,bbc,,,,,
209,bbc,,,,,
210,npr,,,,,
211,ibm,,,,,
212,bbc,,,,,
213,bbc,,,,,
214,ibm,,,,,
215,bbc,,,,,
216,espn,,,,,
217,bbc,,,,,
218,bmw,,,,,
219,siemens,,,,,
220,vogue,,,,,
221,apple,,,,,
222,bbc,,,,,
223,cnn,,,,,
224,bbc,,,,,
225,bbc,,,,,
226,bbc,,,,,
227,unesco,,,,,
228,bbc,,,,,
229,bbc,,,,,
230,ibm,,,,,
231,bbc,,,,,
232,bbc,,,,,
233,wwe,,,,,
234,bbc,,,,,
235,microsoft,,,,,
236,bbc,,,,,
237,espn,,,,,
238,bbc,,,,,
239,bbc,,,,,
240,google,,,,,
241,microsoft,,,,,
242,espn,,,,,
