,answers,original,t5_0,t5_1,t5_2,t5_3
0,brazil,"[{'token': 'brazil', 'score': 0.17}, {'token': 'chevrolet', 'score': 0.122}, {'token': 'ferrari', 'score': 0.086}, {'token': 'jordan', 'score': 0.06}, {'token': 'toyota', 'score': 0.058}, {'token': 'honda', 'score': 0.032}, {'token': 'renault', 'score': 0.031}, {'token': 'mercedes', 'score': 0.028}, {'token': 'mclaren', 'score': 0.027}, {'token': 'ford', 'score': 0.024}]","[{'token': 'brazil', 'score': 0.505}, {'token': 'spain', 'score': 0.068}, {'token': 'mexico', 'score': 0.057}, {'token': 'ferrari', 'score': 0.05}, {'token': 'canada', 'score': 0.045}, {'token': 'mercedes', 'score': 0.045}, {'token': 'lotus', 'score': 0.022}, {'token': 'jordan', 'score': 0.022}, {'token': 'argentina', 'score': 0.017}, {'token': 'williams', 'score': 0.017}]","[{'token': 'brazil', 'score': 0.628}, {'token': 'spain', 'score': 0.112}, {'token': 'mexico', 'score': 0.075}, {'token': 'argentina', 'score': 0.038}, {'token': 'venezuela', 'score': 0.024}, {'token': 'canada', 'score': 0.021}, {'token': 'texas', 'score': 0.015}, {'token': 'mercedes', 'score': 0.01}, {'token': 'ferrari', 'score': 0.006}, {'token': 'jordan', 'score': 0.006}]","[{'token': 'brazil', 'score': 0.714}, {'token': 'spain', 'score': 0.098}, {'token': 'mercedes', 'score': 0.023}, {'token': 'argentina', 'score': 0.013}, {'token': 'williams', 'score': 0.013}, {'token': 'belgium', 'score': 0.013}, {'token': 'germany', 'score': 0.012}, {'token': 'mexico', 'score': 0.012}, {'token': 'ferrari', 'score': 0.011}, {'token': 'lotus', 'score': 0.011}]",
1,france,"[{'token': 'french', 'score': 0.996}, {'token': 'canadian', 'score': 0.001}, {'token': 'belgian', 'score': 0.001}, {'token': 'film', 'score': 0.0}, {'token': 'swiss', 'score': 0.0}, {'token': 'french', 'score': 0.0}, {'token': 'quebec', 'score': 0.0}, {'token': 'hollywood', 'score': 0.0}, {'token': 'theatrical', 'score': 0.0}, {'token': 'prominent', 'score': 0.0}]","[{'token': 'french', 'score': 0.434}, {'token': 'the', 'score': 0.312}, {'token': 'another', 'score': 0.056}, {'token': 'a', 'score': 0.044}, {'token': 'this', 'score': 0.034}, {'token': 'canadian', 'score': 0.014}, {'token': 'american', 'score': 0.011}, {'token': 'italian', 'score': 0.007}, {'token': 'the', 'score': 0.006}, {'token': 'that', 'score': 0.005}]","[{'token': 'paris', 'score': 0.261}, {'token': 'france', 'score': 0.229}, {'token': 'hollywood', 'score': 0.22}, {'token': 'montreal', 'score': 0.073}, {'token': 'canada', 'score': 0.022}, {'token': 'chicago', 'score': 0.019}, {'token': 'california', 'score': 0.018}, {'token': 'london', 'score': 0.017}, {'token': 'quebec', 'score': 0.012}, {'token': 'america', 'score': 0.01}]","[{'token': 'paris', 'score': 0.791}, {'token': 'lyon', 'score': 0.05}, {'token': 'france', 'score': 0.036}, {'token': 'nice', 'score': 0.019}, {'token': 'cannes', 'score': 0.017}, {'token': 'brussels', 'score': 0.009}, {'token': 'montreal', 'score': 0.007}, {'token': 'geneva', 'score': 0.007}, {'token': 'brittany', 'score': 0.006}, {'token': 'nancy', 'score': 0.005}]","[{'token': 'france', 'score': 0.171}, {'token': 'paris', 'score': 0.11}, {'token': 'lyon', 'score': 0.082}, {'token': 'algeria', 'score': 0.056}, {'token': 'quebec', 'score': 0.048}, {'token': 'belgium', 'score': 0.036}, {'token': 'switzerland', 'score': 0.022}, {'token': 'montreal', 'score': 0.022}, {'token': 'brittany', 'score': 0.019}, {'token': 'morocco', 'score': 0.018}]"
2,estonia,"[{'token': 'finnish', 'score': 0.242}, {'token': 'norwegian', 'score': 0.07}, {'token': 'german', 'score': 0.059}, {'token': 'famous', 'score': 0.045}, {'token': 'swedish', 'score': 0.034}, {'token': 'late', 'score': 0.03}, {'token': 'danish', 'score': 0.03}, {'token': 'russian', 'score': 0.029}, {'token': 'renowned', 'score': 0.022}, {'token': 'folk', 'score': 0.018}]",,"[{'token': 'estonia', 'score': 0.339}, {'token': 'children', 'score': 0.258}, {'token': 'today', 'score': 0.092}, {'token': 'finland', 'score': 0.057}, {'token': 'eston', 'score': 0.043}, {'token': 'women', 'score': 0.033}, {'token': 'country', 'score': 0.025}, {'token': 'men', 'score': 0.022}, {'token': '1950', 'score': 0.011}, {'token': '1930', 'score': 0.007}]",,
3,denmark,"[{'token': 'denmark', 'score': 0.995}, {'token': 'sweden', 'score': 0.002}, {'token': 'norway', 'score': 0.001}, {'token': 'austria', 'score': 0.0}, {'token': 'copenhagen', 'score': 0.0}, {'token': 'finland', 'score': 0.0}, {'token': 'monaco', 'score': 0.0}, {'token': 'belgium', 'score': 0.0}, {'token': 'greece', 'score': 0.0}, {'token': 'germany', 'score': 0.0}]","[{'token': 'denmark', 'score': 0.99}, {'token': 'sweden', 'score': 0.004}, {'token': 'norway', 'score': 0.003}, {'token': 'austria', 'score': 0.001}, {'token': 'belgium', 'score': 0.0}, {'token': 'greece', 'score': 0.0}, {'token': 'germany', 'score': 0.0}, {'token': 'yugoslavia', 'score': 0.0}, {'token': 'russia', 'score': 0.0}, {'token': 'finland', 'score': 0.0}]","[{'token': 'denmark', 'score': 0.98}, {'token': 'sweden', 'score': 0.008}, {'token': 'norway', 'score': 0.007}, {'token': 'germany', 'score': 0.001}, {'token': 'copenhagen', 'score': 0.001}, {'token': 'finland', 'score': 0.001}, {'token': 'belgium', 'score': 0.0}, {'token': 'brunswick', 'score': 0.0}, {'token': 'austria', 'score': 0.0}, {'token': 'danish', 'score': 0.0}]","[{'token': 'denmark', 'score': 0.994}, {'token': 'sweden', 'score': 0.003}, {'token': 'norway', 'score': 0.002}, {'token': 'austria', 'score': 0.0}, {'token': 'belgium', 'score': 0.0}, {'token': 'copenhagen', 'score': 0.0}, {'token': 'greece', 'score': 0.0}, {'token': 'monaco', 'score': 0.0}, {'token': 'finland', 'score': 0.0}, {'token': 'germany', 'score': 0.0}]","[{'token': 'denmark', 'score': 0.934}, {'token': 'sweden', 'score': 0.04}, {'token': 'norway', 'score': 0.018}, {'token': 'belgium', 'score': 0.001}, {'token': 'greece', 'score': 0.001}, {'token': 'austria', 'score': 0.001}, {'token': 'finland', 'score': 0.001}, {'token': 'germany', 'score': 0.0}, {'token': 'russia', 'score': 0.0}, {'token': 'monaco', 'score': 0.0}]"
4,denmark,"[{'token': 'british', 'score': 0.588}, {'token': 'canadian', 'score': 0.085}, {'token': 'french', 'score': 0.05}, {'token': 'scottish', 'score': 0.037}, {'token': 'german', 'score': 0.036}, {'token': 'danish', 'score': 0.02}, {'token': 'welsh', 'score': 0.019}, {'token': 'swedish', 'score': 0.019}, {'token': 'dutch', 'score': 0.016}, {'token': 'norwegian', 'score': 0.015}]","[{'token': 'canada', 'score': 0.072}, {'token': 'australia', 'score': 0.065}, {'token': 'chicago', 'score': 0.064}, {'token': 'london', 'score': 0.059}, {'token': 'toronto', 'score': 0.057}, {'token': 'england', 'score': 0.03}, {'token': 'npr', 'score': 0.027}, {'token': 'germany', 'score': 0.026}, {'token': 'britain', 'score': 0.023}, {'token': 'california', 'score': 0.02}]","[{'token': 'australia', 'score': 0.077}, {'token': 'california', 'score': 0.052}, {'token': 'canada', 'score': 0.047}, {'token': 'chicago', 'score': 0.042}, {'token': 'london', 'score': 0.039}, {'token': 'england', 'score': 0.03}, {'token': 'toronto', 'score': 0.026}, {'token': 'brooklyn', 'score': 0.024}, {'token': 'texas', 'score': 0.024}, {'token': 'seattle', 'score': 0.023}]","[{'token': 'london', 'score': 0.076}, {'token': 'sweden', 'score': 0.037}, {'token': 'germany', 'score': 0.036}, {'token': 'berlin', 'score': 0.027}, {'token': 'england', 'score': 0.024}, {'token': 'paris', 'score': 0.023}, {'token': 'australia', 'score': 0.022}, {'token': 'france', 'score': 0.02}, {'token': 'chicago', 'score': 0.02}, {'token': 'amsterdam', 'score': 0.018}]","[{'token': 'australia', 'score': 0.045}, {'token': 'canada', 'score': 0.029}, {'token': 'london', 'score': 0.026}, {'token': 'california', 'score': 0.026}, {'token': 'chicago', 'score': 0.024}, {'token': 'england', 'score': 0.02}, {'token': 'toronto', 'score': 0.019}, {'token': 'texas', 'score': 0.017}, {'token': 'brooklyn', 'score': 0.016}, {'token': 'germany', 'score': 0.014}]"
5,sweden,"[{'token': 'swedish', 'score': 0.993}, {'token': 'norwegian', 'score': 0.004}, {'token': 'finnish', 'score': 0.001}, {'token': 'danish', 'score': 0.0}, {'token': 'scandinavian', 'score': 0.0}, {'token': 'sweden', 'score': 0.0}, {'token': 'nordic', 'score': 0.0}, {'token': 'german', 'score': 0.0}, {'token': 'pioneering', 'score': 0.0}, {'token': 'dutch', 'score': 0.0}]","[{'token': 'sweden', 'score': 0.97}, {'token': 'stockholm', 'score': 0.012}, {'token': 'norway', 'score': 0.009}, {'token': 'denmark', 'score': 0.002}, {'token': 'finland', 'score': 0.002}, {'token': 'lund', 'score': 0.001}, {'token': 'swedish', 'score': 0.001}, {'token': 'iceland', 'score': 0.0}, {'token': 'russia', 'score': 0.0}, {'token': 'germany', 'score': 0.0}]","[{'token': 'stockholm', 'score': 0.362}, {'token': 'sweden', 'score': 0.193}, {'token': 'lund', 'score': 0.026}, {'token': 'oslo', 'score': 0.018}, {'token': 'copenhagen', 'score': 0.008}, {'token': 'norway', 'score': 0.007}, {'token': 'antarctica', 'score': 0.007}, {'token': 'astronomy', 'score': 0.006}, {'token': 'switzerland', 'score': 0.006}, {'token': 'europe', 'score': 0.006}]","[{'token': 'sweden', 'score': 0.27}, {'token': 'norway', 'score': 0.132}, {'token': 'antarctica', 'score': 0.093}, {'token': 'germany', 'score': 0.055}, {'token': 'denmark', 'score': 0.036}, {'token': 'finland', 'score': 0.032}, {'token': 'stockholm', 'score': 0.031}, {'token': 'switzerland', 'score': 0.027}, {'token': 'oslo', 'score': 0.022}, {'token': 'chile', 'score': 0.022}]","[{'token': 'sweden', 'score': 0.491}, {'token': 'norway', 'score': 0.205}, {'token': 'denmark', 'score': 0.1}, {'token': 'stockholm', 'score': 0.098}, {'token': 'copenhagen', 'score': 0.02}, {'token': 'oslo', 'score': 0.016}, {'token': 'finland', 'score': 0.011}, {'token': 'lund', 'score': 0.01}, {'token': 'iceland', 'score': 0.01}, {'token': 'england', 'score': 0.004}]"
6,india,"[{'token': 'india', 'score': 1.0}, {'token': 'bangladesh', 'score': 0.0}, {'token': 'indian', 'score': 0.0}, {'token': 'india', 'score': 0.0}, {'token': 'pakistan', 'score': 0.0}, {'token': 'england', 'score': 0.0}, {'token': '1971', 'score': 0.0}, {'token': 'australia', 'score': 0.0}, {'token': 'burma', 'score': 0.0}, {'token': '1947', 'score': 0.0}]","[{'token': 'india', 'score': 0.85}, {'token': 'the', 'score': 0.032}, {'token': 'history', 'score': 0.025}, {'token': 'from', 'score': 0.008}, {'token': 'bengal', 'score': 0.008}, {'token': 'power', 'score': 0.006}, {'token': 'between', 'score': 0.005}, {'token': 'maharashtra', 'score': 0.003}, {'token': '1893', 'score': 0.003}, {'token': 'period', 'score': 0.003}]","[{'token': 'india', 'score': 0.633}, {'token': 'who', 'score': 0.033}, {'token': 'which', 'score': 0.023}, {'token': '1912', 'score': 0.01}, {'token': '1911', 'score': 0.009}, {'token': 'today', 'score': 0.008}, {'token': 'and', 'score': 0.007}, {'token': 'the', 'score': 0.006}, {'token': 'it', 'score': 0.006}, {'token': '1934', 'score': 0.006}]","[{'token': 'india', 'score': 0.999}, {'token': 'bangladesh', 'score': 0.0}, {'token': 'india', 'score': 0.0}, {'token': 'indian', 'score': 0.0}, {'token': 'australia', 'score': 0.0}, {'token': 'burma', 'score': 0.0}, {'token': 'england', 'score': 0.0}, {'token': 'pakistan', 'score': 0.0}, {'token': 'canada', 'score': 0.0}, {'token': 'china', 'score': 0.0}]","[{'token': 'bengal', 'score': 0.619}, {'token': 'india', 'score': 0.267}, {'token': 'bangladesh', 'score': 0.086}, {'token': 'maharashtra', 'score': 0.008}, {'token': 'bihar', 'score': 0.006}, {'token': 'up', 'score': 0.003}, {'token': 'kerala', 'score': 0.002}, {'token': 'nepal', 'score': 0.001}, {'token': 'burma', 'score': 0.001}, {'token': 'jamaica', 'score': 0.0}]"
7,japan,"[{'token': 'japan', 'score': 0.993}, {'token': 'china', 'score': 0.001}, {'token': 'tokyo', 'score': 0.001}, {'token': 'taiwan', 'score': 0.001}, {'token': 'india', 'score': 0.0}, {'token': 'thailand', 'score': 0.0}, {'token': 'hiroshima', 'score': 0.0}, {'token': 'japanese', 'score': 0.0}, {'token': 'osaka', 'score': 0.0}, {'token': 'finland', 'score': 0.0}]",,,,"[{'token': 'tokyo', 'score': 0.443}, {'token': 'japan', 'score': 0.373}, {'token': 'osaka', 'score': 0.095}, {'token': 'hiroshima', 'score': 0.037}, {'token': 'kyoto', 'score': 0.025}, {'token': 'kobe', 'score': 0.006}, {'token': 'okinawa', 'score': 0.003}, {'token': 'taiwan', 'score': 0.002}, {'token': 'fukushima', 'score': 0.002}, {'token': 'china', 'score': 0.001}]"
8,canada,"[{'token': 'canada', 'score': 0.898}, {'token': 'ontario', 'score': 0.027}, {'token': 'saskatchewan', 'score': 0.023}, {'token': 'alberta', 'score': 0.017}, {'token': 'manitoba', 'score': 0.017}, {'token': 'australia', 'score': 0.004}, {'token': 'history', 'score': 0.003}, {'token': 'bc', 'score': 0.003}, {'token': 'quebec', 'score': 0.002}, {'token': 'america', 'score': 0.001}]","[{'token': 'canada', 'score': 0.426}, {'token': 'saskatchewan', 'score': 0.159}, {'token': 'alberta', 'score': 0.157}, {'token': 'manitoba', 'score': 0.123}, {'token': 'ontario', 'score': 0.074}, {'token': 'bc', 'score': 0.012}, {'token': 'newfoundland', 'score': 0.012}, {'token': 'quebec', 'score': 0.006}, {'token': 'australia', 'score': 0.006}, {'token': 'victoria', 'score': 0.003}]","[{'token': 'saskatchewan', 'score': 0.43}, {'token': 'manitoba', 'score': 0.159}, {'token': 'alberta', 'score': 0.144}, {'token': 'ontario', 'score': 0.094}, {'token': 'victoria', 'score': 0.023}, {'token': 'newfoundland', 'score': 0.021}, {'token': 'quebec', 'score': 0.021}, {'token': 'winnipeg', 'score': 0.011}, {'token': 'bc', 'score': 0.008}, {'token': 'edmonton', 'score': 0.007}]","[{'token': 'canada', 'score': 0.283}, {'token': 'saskatchewan', 'score': 0.182}, {'token': 'ontario', 'score': 0.162}, {'token': 'alberta', 'score': 0.128}, {'token': 'manitoba', 'score': 0.077}, {'token': 'australia', 'score': 0.029}, {'token': 'newfoundland', 'score': 0.022}, {'token': 'victoria', 'score': 0.018}, {'token': 'history', 'score': 0.012}, {'token': 'bc', 'score': 0.012}]","[{'token': 'canada', 'score': 0.944}, {'token': 'manitoba', 'score': 0.014}, {'token': 'alberta', 'score': 0.011}, {'token': 'ontario', 'score': 0.011}, {'token': 'saskatchewan', 'score': 0.01}, {'token': 'australia', 'score': 0.003}, {'token': 'bc', 'score': 0.001}, {'token': 'america', 'score': 0.001}, {'token': 'quebec', 'score': 0.001}, {'token': 'newfoundland', 'score': 0.001}]"
9,nigeria,"[{'token': 'nigeria', 'score': 0.982}, {'token': 'senegal', 'score': 0.004}, {'token': 'niger', 'score': 0.003}, {'token': 'liberia', 'score': 0.003}, {'token': 'ghana', 'score': 0.002}, {'token': 'guinea', 'score': 0.001}, {'token': 'uganda', 'score': 0.0}, {'token': 'tanzania', 'score': 0.0}, {'token': 'nigerian', 'score': 0.0}, {'token': 'cameroon', 'score': 0.0}]","[{'token': 'senegal', 'score': 0.64}, {'token': 'liberia', 'score': 0.071}, {'token': 'guinea', 'score': 0.058}, {'token': 'ghana', 'score': 0.049}, {'token': 'nigeria', 'score': 0.034}, {'token': 'chad', 'score': 0.028}, {'token': 'mali', 'score': 0.025}, {'token': 'niger', 'score': 0.015}, {'token': 'uganda', 'score': 0.011}, {'token': 'cameroon', 'score': 0.011}]","[{'token': 'senegal', 'score': 0.426}, {'token': 'ghana', 'score': 0.14}, {'token': 'nigeria', 'score': 0.129}, {'token': 'liberia', 'score': 0.096}, {'token': 'mali', 'score': 0.057}, {'token': 'guinea', 'score': 0.032}, {'token': 'cameroon', 'score': 0.02}, {'token': 'chad', 'score': 0.019}, {'token': 'niger', 'score': 0.014}, {'token': 'uganda', 'score': 0.011}]","[{'token': 'senegal', 'score': 0.219}, {'token': 'liberia', 'score': 0.171}, {'token': 'ghana', 'score': 0.118}, {'token': 'guinea', 'score': 0.092}, {'token': 'mali', 'score': 0.07}, {'token': 'chad', 'score': 0.052}, {'token': 'uganda', 'score': 0.051}, {'token': 'nigeria', 'score': 0.043}, {'token': 'cameroon', 'score': 0.026}, {'token': 'somalia', 'score': 0.025}]","[{'token': 'senegal', 'score': 0.607}, {'token': 'ghana', 'score': 0.107}, {'token': 'nigeria', 'score': 0.077}, {'token': 'liberia', 'score': 0.053}, {'token': 'guinea', 'score': 0.042}, {'token': 'mali', 'score': 0.032}, {'token': 'cameroon', 'score': 0.018}, {'token': 'chad', 'score': 0.016}, {'token': 'uganda', 'score': 0.012}, {'token': 'niger', 'score': 0.011}]"
