,answers,original,t5_0,t5_1,t5_2,t5_3
0,opera,"[{'token': 'essay', 'score': 0.196}, {'token': 'book', 'score': 0.131}, {'token': 'poem', 'score': 0.119}, {'token': 'play', 'score': 0.073}, {'token': 'memoir', 'score': 0.058}, {'token': 'novel', 'score': 0.046}, {'token': 'film', 'score': 0.043}, {'token': 'song', 'score': 0.031}, {'token': 'documentary', 'score': 0.03}, {'token': 'piece', 'score': 0.019}]","[{'token': 'poem', 'score': 0.324}, {'token': 'essay', 'score': 0.139}, {'token': 'book', 'score': 0.111}, {'token': 'song', 'score': 0.077}, {'token': 'play', 'score': 0.064}, {'token': 'novel', 'score': 0.032}, {'token': 'piece', 'score': 0.028}, {'token': 'memoir', 'score': 0.026}, {'token': 'painting', 'score': 0.02}, {'token': 'work', 'score': 0.02}]","[{'token': 'piece', 'score': 0.153}, {'token': 'poem', 'score': 0.102}, {'token': 'song', 'score': 0.087}, {'token': 'essay', 'score': 0.085}, {'token': 'work', 'score': 0.078}, {'token': 'performance', 'score': 0.068}, {'token': 'play', 'score': 0.065}, {'token': 'book', 'score': 0.053}, {'token': 'film', 'score': 0.021}, {'token': 'memoir', 'score': 0.013}]","[{'token': 'book', 'score': 0.15}, {'token': 'essay', 'score': 0.111}, {'token': 'film', 'score': 0.095}, {'token': 'video', 'score': 0.081}, {'token': 'documentary', 'score': 0.06}, {'token': 'poem', 'score': 0.041}, {'token': 'memoir', 'score': 0.035}, {'token': 'article', 'score': 0.031}, {'token': 'play', 'score': 0.025}, {'token': 'novel', 'score': 0.02}]","[{'token': 'performance', 'score': 0.282}, {'token': 'concert', 'score': 0.097}, {'token': 'piece', 'score': 0.092}, {'token': 'album', 'score': 0.081}, {'token': 'song', 'score': 0.076}, {'token': 'show', 'score': 0.062}, {'token': 'work', 'score': 0.051}, {'token': 'play', 'score': 0.036}, {'token': 'video', 'score': 0.02}, {'token': 'solo', 'score': 0.017}]"
1,jazz,"[{'token': 'jazz', 'score': 0.86}, {'token': 'classical', 'score': 0.044}, {'token': 'experimental', 'score': 0.015}, {'token': 'fusion', 'score': 0.009}, {'token': 'rock', 'score': 0.006}, {'token': 'blues', 'score': 0.005}, {'token': 'folk', 'score': 0.004}, {'token': 'bass', 'score': 0.003}, {'token': 'jazz', 'score': 0.003}, {'token': 'jewish', 'score': 0.003}]","[{'token': 'jazz', 'score': 0.839}, {'token': 'classical', 'score': 0.06}, {'token': 'experimental', 'score': 0.015}, {'token': 'jazz', 'score': 0.014}, {'token': 'fusion', 'score': 0.011}, {'token': 'blues', 'score': 0.005}, {'token': 'jewish', 'score': 0.004}, {'token': 'rock', 'score': 0.003}, {'token': 'folk', 'score': 0.003}, {'token': 'classical', 'score': 0.003}]","[{'token': 'jazz', 'score': 0.711}, {'token': 'classical', 'score': 0.087}, {'token': 'jewish', 'score': 0.071}, {'token': 'born', 'score': 0.012}, {'token': 'jazz', 'score': 0.009}, {'token': 'blues', 'score': 0.005}, {'token': 'rock', 'score': 0.005}, {'token': 'folk', 'score': 0.005}, {'token': 'bass', 'score': 0.005}, {'token': 'experimental', 'score': 0.004}]","[{'token': 'jazz', 'score': 0.645}, {'token': 'blues', 'score': 0.152}, {'token': 'rock', 'score': 0.038}, {'token': 'folk', 'score': 0.03}, {'token': 'soul', 'score': 0.018}, {'token': 'classical', 'score': 0.012}, {'token': 'session', 'score': 0.009}, {'token': 'funk', 'score': 0.008}, {'token': 'black', 'score': 0.008}, {'token': 'studio', 'score': 0.006}]","[{'token': 'jazz', 'score': 0.886}, {'token': 'classical', 'score': 0.035}, {'token': 'jewish', 'score': 0.012}, {'token': 'experimental', 'score': 0.007}, {'token': 'jazz', 'score': 0.006}, {'token': 'fusion', 'score': 0.003}, {'token': 'folk', 'score': 0.003}, {'token': 'rock', 'score': 0.003}, {'token': 'bass', 'score': 0.002}, {'token': 'blues', 'score': 0.002}]"
2,opera,"[{'token': 'musical', 'score': 0.475}, {'token': 'play', 'score': 0.209}, {'token': 'opera', 'score': 0.17}, {'token': 'film', 'score': 0.073}, {'token': 'drama', 'score': 0.028}, {'token': 'comedy', 'score': 0.017}, {'token': 'ballet', 'score': 0.01}, {'token': 'tragedy', 'score': 0.004}, {'token': 'movie', 'score': 0.002}, {'token': 'song', 'score': 0.001}]","[{'token': 'musical', 'score': 0.551}, {'token': 'film', 'score': 0.156}, {'token': 'comedy', 'score': 0.084}, {'token': 'play', 'score': 0.025}, {'token': 'classic', 'score': 0.025}, {'token': 'movie', 'score': 0.024}, {'token': 'sitcom', 'score': 0.021}, {'token': 'drama', 'score': 0.009}, {'token': 'opera', 'score': 0.008}, {'token': 'series', 'score': 0.007}]","[{'token': 'adaptation', 'score': 0.108}, {'token': 'musical', 'score': 0.089}, {'token': 'opera', 'score': 0.084}, {'token': 'classic', 'score': 0.079}, {'token': 'comedy', 'score': 0.057}, {'token': 'epic', 'score': 0.044}, {'token': 'translation', 'score': 0.034}, {'token': 'play', 'score': 0.031}, {'token': 'tragedy', 'score': 0.03}, {'token': 'drama', 'score': 0.027}]","[{'token': 'comedy', 'score': 0.294}, {'token': 'musical', 'score': 0.144}, {'token': 'film', 'score': 0.128}, {'token': 'western', 'score': 0.077}, {'token': 'drama', 'score': 0.054}, {'token': 'classic', 'score': 0.037}, {'token': 'thriller', 'score': 0.036}, {'token': 'western', 'score': 0.032}, {'token': 'play', 'score': 0.032}, {'token': 'novel', 'score': 0.019}]",
3,jazz,"[{'token': 'commercial', 'score': 0.222}, {'token': 'jazz', 'score': 0.093}, {'token': 'recorded', 'score': 0.06}, {'token': 'successful', 'score': 0.054}, {'token': 'studio', 'score': 0.04}, {'token': 'session', 'score': 0.034}, {'token': 'professional', 'score': 0.028}, {'token': 'demo', 'score': 0.023}, {'token': 'blues', 'score': 0.021}, {'token': 'victor', 'score': 0.018}]","[{'token': 'jazz', 'score': 0.183}, {'token': 'commercial', 'score': 0.168}, {'token': 'successful', 'score': 0.048}, {'token': 'blues', 'score': 0.042}, {'token': 'hit', 'score': 0.032}, {'token': 'victor', 'score': 0.031}, {'token': 'studio', 'score': 0.029}, {'token': 'recorded', 'score': 0.025}, {'token': 'demo', 'score': 0.024}, {'token': 'session', 'score': 0.024}]","[{'token': 'together', 'score': 0.474}, {'token': 'professionally', 'score': 0.162}, {'token': 'commercially', 'score': 0.108}, {'token': 'music', 'score': 0.023}, {'token': 'successfully', 'score': 0.019}, {'token': 'nationally', 'score': 0.018}, {'token': 'live', 'score': 0.016}, {'token': 'records', 'score': 0.015}, {'token': 'independently', 'score': 0.015}, {'token': 'gold', 'score': 0.01}]","[{'token': 'commercial', 'score': 0.4}, {'token': 'successful', 'score': 0.057}, {'token': 'studio', 'score': 0.046}, {'token': 'jazz', 'score': 0.042}, {'token': 'victor', 'score': 0.035}, {'token': 'hit', 'score': 0.03}, {'token': 'professional', 'score': 0.024}, {'token': 'recorded', 'score': 0.023}, {'token': 'demo', 'score': 0.022}, {'token': 'session', 'score': 0.016}]",
4,jazz,"[{'token': 'classical', 'score': 0.4}, {'token': 'jazz', 'score': 0.291}, {'token': 'french', 'score': 0.16}, {'token': 'concert', 'score': 0.069}, {'token': 'professional', 'score': 0.006}, {'token': 'belgian', 'score': 0.005}, {'token': 'experimental', 'score': 0.004}, {'token': 'jazz', 'score': 0.003}, {'token': 'contemporary', 'score': 0.003}, {'token': 'classical', 'score': 0.003}]","[{'token': 'classical', 'score': 0.431}, {'token': 'jazz', 'score': 0.315}, {'token': 'french', 'score': 0.078}, {'token': 'concert', 'score': 0.068}, {'token': 'experimental', 'score': 0.008}, {'token': 'belgian', 'score': 0.008}, {'token': 'minimalist', 'score': 0.004}, {'token': 'american', 'score': 0.004}, {'token': 'professional', 'score': 0.004}, {'token': 'accomplished', 'score': 0.003}]","[{'token': 'french', 'score': 0.509}, {'token': 'young', 'score': 0.291}, {'token': 'belgian', 'score': 0.052}, {'token': 'jazz', 'score': 0.019}, {'token': 'classical', 'score': 0.014}, {'token': 'swiss', 'score': 0.007}, {'token': 'talented', 'score': 0.006}, {'token': 'concert', 'score': 0.006}, {'token': 'french', 'score': 0.005}, {'token': 'professional', 'score': 0.004}]","[{'token': 'jazz', 'score': 0.775}, {'token': 'concert', 'score': 0.069}, {'token': 'classical', 'score': 0.066}, {'token': 'solo', 'score': 0.023}, {'token': 'french', 'score': 0.007}, {'token': 'jazz', 'score': 0.005}, {'token': 'contemporary', 'score': 0.003}, {'token': 'young', 'score': 0.003}, {'token': 'freelance', 'score': 0.003}, {'token': 'international', 'score': 0.003}]","[{'token': 'young', 'score': 0.384}, {'token': 'french', 'score': 0.248}, {'token': 'jazz', 'score': 0.09}, {'token': 'classical', 'score': 0.042}, {'token': 'great', 'score': 0.019}, {'token': 'concert', 'score': 0.016}, {'token': 'famous', 'score': 0.014}, {'token': 'belgian', 'score': 0.013}, {'token': 'jewish', 'score': 0.012}, {'token': 'black', 'score': 0.007}]"
5,opera,"[{'token': 'opera', 'score': 0.998}, {'token': 'epic', 'score': 0.002}, {'token': 'opera', 'score': 0.0}, {'token': 'tragedy', 'score': 0.0}, {'token': 'drama', 'score': 0.0}, {'token': 'ballet', 'score': 0.0}, {'token': 'play', 'score': 0.0}, {'token': 'comedy', 'score': 0.0}, {'token': 'adaptation', 'score': 0.0}, {'token': 'action', 'score': 0.0}]","[{'token': 'opera', 'score': 0.949}, {'token': 'ballet', 'score': 0.011}, {'token': 'play', 'score': 0.009}, {'token': 'musical', 'score': 0.005}, {'token': 'epic', 'score': 0.003}, {'token': 'novel', 'score': 0.002}, {'token': 'work', 'score': 0.002}, {'token': 'poem', 'score': 0.002}, {'token': 'tragedy', 'score': 0.002}, {'token': 'drama', 'score': 0.002}]","[{'token': 'opera', 'score': 0.94}, {'token': 'ballet', 'score': 0.024}, {'token': 'play', 'score': 0.007}, {'token': 'musical', 'score': 0.003}, {'token': 'opera', 'score': 0.002}, {'token': 'novel', 'score': 0.002}, {'token': 'drama', 'score': 0.001}, {'token': 'original', 'score': 0.001}, {'token': 'story', 'score': 0.001}, {'token': 'tragedy', 'score': 0.001}]","[{'token': 'opera', 'score': 0.972}, {'token': 'epic', 'score': 0.017}, {'token': 'episode', 'score': 0.002}, {'token': 'adaptation', 'score': 0.002}, {'token': 'adventure', 'score': 0.001}, {'token': 'play', 'score': 0.001}, {'token': 'action', 'score': 0.0}, {'token': 'act', 'score': 0.0}, {'token': 'evening', 'score': 0.0}, {'token': 'opera', 'score': 0.0}]","[{'token': 'opera', 'score': 0.922}, {'token': 'play', 'score': 0.021}, {'token': 'ballet', 'score': 0.017}, {'token': 'drama', 'score': 0.005}, {'token': 'musical', 'score': 0.004}, {'token': 'tragedy', 'score': 0.004}, {'token': 'novel', 'score': 0.003}, {'token': 'epic', 'score': 0.003}, {'token': 'work', 'score': 0.001}, {'token': 'poem', 'score': 0.001}]"
6,opera,"[{'token': 'opera', 'score': 0.999}, {'token': 'epic', 'score': 0.001}, {'token': 'adaptation', 'score': 0.0}, {'token': 'opera', 'score': 0.0}, {'token': 'play', 'score': 0.0}, {'token': 'comedy', 'score': 0.0}, {'token': 'ballet', 'score': 0.0}, {'token': 'drama', 'score': 0.0}, {'token': 'tragedy', 'score': 0.0}, {'token': 'action', 'score': 0.0}]","[{'token': 'opera', 'score': 0.992}, {'token': 'epic', 'score': 0.006}, {'token': 'opera', 'score': 0.0}, {'token': 'adaptation', 'score': 0.0}, {'token': 'comedy', 'score': 0.0}, {'token': 'play', 'score': 0.0}, {'token': 'ballet', 'score': 0.0}, {'token': 'drama', 'score': 0.0}, {'token': 'action', 'score': 0.0}, {'token': 'tragedy', 'score': 0.0}]","[{'token': 'opera', 'score': 0.979}, {'token': 'epic', 'score': 0.018}, {'token': 'adaptation', 'score': 0.001}, {'token': 'comedy', 'score': 0.0}, {'token': 'play', 'score': 0.0}, {'token': 'drama', 'score': 0.0}, {'token': 'opera', 'score': 0.0}, {'token': 'tragedy', 'score': 0.0}, {'token': 'adventure', 'score': 0.0}, {'token': 'ballet', 'score': 0.0}]","[{'token': 'opera', 'score': 0.812}, {'token': 'play', 'score': 0.054}, {'token': 'ballet', 'score': 0.053}, {'token': 'film', 'score': 0.019}, {'token': 'drama', 'score': 0.011}, {'token': 'adaptation', 'score': 0.008}, {'token': 'musical', 'score': 0.007}, {'token': 'work', 'score': 0.006}, {'token': 'version', 'score': 0.003}, {'token': 'comedy', 'score': 0.003}]","[{'token': 'opera', 'score': 0.772}, {'token': 'play', 'score': 0.076}, {'token': 'ballet', 'score': 0.039}, {'token': 'drama', 'score': 0.036}, {'token': 'musical', 'score': 0.017}, {'token': 'comedy', 'score': 0.014}, {'token': 'work', 'score': 0.012}, {'token': 'piece', 'score': 0.008}, {'token': 'tragedy', 'score': 0.004}, {'token': 'film', 'score': 0.004}]"
7,opera,"[{'token': 'opera', 'score': 0.999}, {'token': 'play', 'score': 0.0}, {'token': 'epic', 'score': 0.0}, {'token': 'adaptation', 'score': 0.0}, {'token': 'ballet', 'score': 0.0}, {'token': 'musical', 'score': 0.0}, {'token': 'opera', 'score': 0.0}, {'token': 'drama', 'score': 0.0}, {'token': 'action', 'score': 0.0}, {'token': 'tragedy', 'score': 0.0}]","[{'token': 'play', 'score': 0.479}, {'token': 'musical', 'score': 0.418}, {'token': 'opera', 'score': 0.056}, {'token': 'drama', 'score': 0.01}, {'token': 'comedy', 'score': 0.006}, {'token': 'musical', 'score': 0.005}, {'token': 'show', 'score': 0.004}, {'token': 'play', 'score': 0.003}, {'token': 'film', 'score': 0.002}, {'token': 'new', 'score': 0.001}]","[{'token': 'play', 'score': 0.918}, {'token': 'adaptation', 'score': 0.019}, {'token': 'opera', 'score': 0.014}, {'token': 'musical', 'score': 0.011}, {'token': 'drama', 'score': 0.01}, {'token': 'film', 'score': 0.005}, {'token': 'comedy', 'score': 0.004}, {'token': 'production', 'score': 0.002}, {'token': 'script', 'score': 0.002}, {'token': 'screenplay', 'score': 0.002}]","[{'token': 'play', 'score': 0.5}, {'token': 'opera', 'score': 0.239}, {'token': 'drama', 'score': 0.099}, {'token': 'musical', 'score': 0.028}, {'token': 'novel', 'score': 0.023}, {'token': 'work', 'score': 0.021}, {'token': 'adaptation', 'score': 0.018}, {'token': 'piece', 'score': 0.006}, {'token': 'comedy', 'score': 0.005}, {'token': 'production', 'score': 0.005}]","[{'token': 'play', 'score': 0.227}, {'token': 'latest', 'score': 0.09}, {'token': 'debut', 'score': 0.083}, {'token': 'novel', 'score': 0.072}, {'token': 'drama', 'score': 0.066}, {'token': 'masterpiece', 'score': 0.02}, {'token': 'film', 'score': 0.016}, {'token': 'adaptation', 'score': 0.015}, {'token': 'production', 'score': 0.015}, {'token': 'heroine', 'score': 0.011}]"
8,jazz,"[{'token': 'jazz', 'score': 0.938}, {'token': 'blues', 'score': 0.025}, {'token': 'rhythm', 'score': 0.008}, {'token': 'bass', 'score': 0.005}, {'token': 'classical', 'score': 0.003}, {'token': 'swing', 'score': 0.002}, {'token': 'steel', 'score': 0.001}, {'token': 'jazz', 'score': 0.001}, {'token': 'street', 'score': 0.001}, {'token': 'folk', 'score': 0.001}]","[{'token': 'jazz', 'score': 0.897}, {'token': 'classical', 'score': 0.01}, {'token': 'band', 'score': 0.01}, {'token': 'blues', 'score': 0.008}, {'token': 'bass', 'score': 0.008}, {'token': 'rhythm', 'score': 0.007}, {'token': 'jazz', 'score': 0.004}, {'token': 'folk', 'score': 0.003}, {'token': 'musical', 'score': 0.002}, {'token': 'street', 'score': 0.002}]","[{'token': 'jazz', 'score': 0.27}, {'token': 'young', 'score': 0.134}, {'token': 'bass', 'score': 0.031}, {'token': 'talented', 'score': 0.031}, {'token': 'famous', 'score': 0.029}, {'token': 'popular', 'score': 0.028}, {'token': 'blind', 'score': 0.024}, {'token': 'blues', 'score': 0.023}, {'token': 'prominent', 'score': 0.023}, {'token': 'black', 'score': 0.021}]",,"[{'token': 'jazz', 'score': 0.847}, {'token': 'classical', 'score': 0.035}, {'token': 'blues', 'score': 0.021}, {'token': 'bass', 'score': 0.014}, {'token': 'rhythm', 'score': 0.013}, {'token': 'jazz', 'score': 0.005}, {'token': 'electric', 'score': 0.004}, {'token': 'born', 'score': 0.004}, {'token': 'steel', 'score': 0.004}, {'token': 'swing', 'score': 0.003}]"
9,jazz,"[{'token': 'canadian', 'score': 0.672}, {'token': 'jazz', 'score': 0.198}, {'token': 'british', 'score': 0.035}, {'token': 'scottish', 'score': 0.016}, {'token': 'professional', 'score': 0.008}, {'token': 'noted', 'score': 0.004}, {'token': 'popular', 'score': 0.004}, {'token': 'american', 'score': 0.004}, {'token': 'prominent', 'score': 0.003}, {'token': 'chicago', 'score': 0.003}]","[{'token': 'notable', 'score': 0.26}, {'token': 'popular', 'score': 0.095}, {'token': 'noted', 'score': 0.079}, {'token': 'canadian', 'score': 0.059}, {'token': 'great', 'score': 0.051}, {'token': 'famous', 'score': 0.045}, {'token': 'prominent', 'score': 0.044}, {'token': 'renowned', 'score': 0.023}, {'token': 'fellow', 'score': 0.023}, {'token': 'legendary', 'score': 0.019}]","[{'token': 'canadian', 'score': 0.553}, {'token': 'jazz', 'score': 0.09}, {'token': 'british', 'score': 0.026}, {'token': 'noted', 'score': 0.026}, {'token': 'prominent', 'score': 0.024}, {'token': 'celebrated', 'score': 0.021}, {'token': 'renowned', 'score': 0.016}, {'token': 'professional', 'score': 0.014}, {'token': 'legendary', 'score': 0.014}, {'token': 'popular', 'score': 0.013}]","[{'token': 'canadian', 'score': 0.818}, {'token': 'jazz', 'score': 0.087}, {'token': 'british', 'score': 0.041}, {'token': 'scottish', 'score': 0.012}, {'token': 'professional', 'score': 0.004}, {'token': 'noted', 'score': 0.002}, {'token': 'french', 'score': 0.002}, {'token': 'american', 'score': 0.002}, {'token': 'popular', 'score': 0.002}, {'token': 'chicago', 'score': 0.001}]","[{'token': 'jazz', 'score': 0.312}, {'token': 'noted', 'score': 0.07}, {'token': 'prominent', 'score': 0.049}, {'token': 'renowned', 'score': 0.035}, {'token': 'pioneering', 'score': 0.033}, {'token': 'professional', 'score': 0.031}, {'token': 'celebrated', 'score': 0.021}, {'token': 'famous', 'score': 0.021}, {'token': 'great', 'score': 0.02}, {'token': 'legendary', 'score': 0.02}]"
