,sub_label,template,obj_label,masked_sentence,filled_sentence,Parrot_paraphrased_filled_sentence,Parrot_paraphrased_filled_sentence_0,Parrot_paraphrased_filled_sentence_1,Parrot_paraphrased_filled_sentence_2
0,Azerbaijan,The capital of [X] is [Y] .,Baku,"The capital of Azerbaijan is the ancient city of [MASK], which has the largest and best harbor on the Caspian Sea and has long been the center of the republic's oil industry.","The capital of Azerbaijan is the ancient city of Baku, which has the largest and best harbor on the Caspian Sea and has long been the center of the republic's oil industry.","[""the capital of azerbaijan is baku the ancient city which has the largest and best harbor on the caspian sea and has long been the center of the republic's oil industry"", ""the capital of azerbaijan is the ancient town of baku which has the largest and best harbor on the caspian sea and has long been the center of the republic's oil industry""]",the capital of azerbaijan is Baku the ancient city which has the largest and best harbor on the caspian sea and has long been the Baku of the [MASK]'s oil industry,the capital of azerbaijan is the ancient town of Baku which has the largest and best harbor on the caspian sea and has long been the Baku of the [MASK]'s oil industry,
1,Brody Raion,The capital of [X] is [Y] .,Brody,"The Brody Raion Museum of History and Ethnography is a museum in [MASK] city, Ukraine that was founded in 2001.","The Brody Raion Museum of History and Ethnography is a museum in Brody city, Ukraine that was founded in 2001.","['The Brody Raion Museum of History and Ethnography is a museum in Brody city, Ukraine that was founded in 2001.']","The Brody Raion Museum of History and Ethnography is a museum in Brody city, Ukraine that was founded in 2001.",,
2,Cook County,The capital of [X] is [Y] .,Chicago,[MASK] is the seat of Cook County.,Chicago is the seat of Cook County.,['chicago is the cook county seat'],[MASK] is the cook county seat,,
3,Fort Bend County,The capital of [X] is [Y] .,Richmond,"Moore's son, John Jr., served as a two-term Mayor of [MASK] and a two-term judge in Fort Bend County, Texas.","Moore's son, John Jr., served as a two-term Mayor of Richmond and a two-term judge in Fort Bend County, Texas.","[""moore's son john jr served as two-term mayor of richmond and judge in fort bend county texas""]",moore's son john jr served as two-term mayor of [MASK] and judge in fort bend county texas,,
4,Cayuga County,The capital of [X] is [Y] .,Auburn,"Hulbert was elected as a Federalist to the Thirteenth Congress to fill the vacancy caused by the resignation of Daniel Dewey.He was reelected to the Fourteenth Congress and served from September 26, 1814, to March 3, 1817.He was not a candidate for renomination in 1816.He moved to [MASK], in 1817.He represented Cayuga County as Member of the New York State Assembly in 1825.","Hulbert was elected as a Federalist to the Thirteenth Congress to fill the vacancy caused by the resignation of Daniel Dewey.He was reelected to the Fourteenth Congress and served from September 26, 1814, to March 3, 1817.He was not a candidate for renomination in 1816.He moved to Auburn, in 1817.He represented Cayuga County as Member of the New York State Assembly in 1825.","[""hulbert was elected as a federalist to the thirteenth congress to fill the vacancy caused by daniel dewey's resignationhe was reelected to the fourteenth congress and served from september 26 1814 to march 3 1817 he was not a candidate for "", 'he was elected as a federalist to the thirteenth congress to fill the vacancy caused by the resignation of daniel deweyhe was reelected to the fourteenth congress and served from september 26 1814 to march 3 1817 he was not a candidate for reno', 'hulbert was elected as a federalist to the thirteenth congress to fill the vacancy caused by the resignation of daniel deweyhe was reelected to the fourteenth congress and served from september 26 1814 to march 3 1817 he was not a candidate for ']",hulbert was elected as a federalist to the thirteenth congress to fill the vacancy caused by daniel dewey's resignationhe was reelected to the fourteenth congress and served from september 26 1814 to march 3 1817 he was not a candidate for ,he was elected as a federalist to the thirteenth congress to fill the vacancy caused by the resignation of daniel deweyhe was reelected to the fourteenth congress and served from september 26 1814 to march 3 1817 he was not a candidate for reno,hulbert was elected as a federalist to the thirteenth congress to fill the vacancy caused by the resignation of daniel deweyhe was reelected to the fourteenth congress and served from september 26 1814 to march 3 1817 he was not a candidate for 
5,City of Hawkesbury,The capital of [X] is [Y] .,Windsor,"The Hawkesbury Advocate was an English language broadsheet newspaper published in [MASK], Australia.","The Hawkesbury Advocate was an English language broadsheet newspaper published in Windsor, Australia.","['the hawkesbury advocate was an english broadsheet newspaper published in windsor australia', 'hawkesbury advocate was an english language broadsheet newspaper published in windsor australia', 'the hawkesbury advocate was an english language broadsheet newspaper published in windsor australia']",the hawkesbury advocate was an english broadsheet newspaper published in [MASK] australia,hawkesbury advocate was an english language broadsheet newspaper published in [MASK] australia,the hawkesbury advocate was an english language broadsheet newspaper published in [MASK] australia
6,Grand Est,The capital of [X] is [Y] .,Strasbourg,"[MASK] (/ˈstræzbɜːrɡ/, [stʁaz.buʁ, stʁas.buʁ]; Alsatian: Strossburi; German: Straßburg, [ˈʃtʁaːsbʊɐ̯k]) is the capital and largest city of the Alsace-Champagne-Ardenne-Lorraine (ACAL) region in eastern France and is the official seat of the European Parliament.","Strasbourg (/ˈstræzbɜːrɡ/, [stʁaz.buʁ, stʁas.buʁ]; Alsatian: Strossburi; German: Straßburg, [ˈʃtʁaːsbʊɐ̯k]) is the capital and largest city of the Alsace-Champagne-Ardenne-Lorraine (ACAL) region in eastern France and is the official seat of the European Parliament.","['Strasbourg (/ˈstræzbɜːrɡ/, [stʁaz.buʁ, stʁas.buʁ]; Alsatian: Strossburi; German: Straßburg, [ˈʃtʁaːsbʊɐ̯k]) is the capital and largest city of the Alsace-Champagne-Ardenne-Lorraine (ACAL) region in eastern France and is the official seat of the European Parliament.']","Strasbourg (/ˈstræzbɜːrɡ/, [stʁaz.buʁ, stʁas.buʁ]; Alsatian: Strossburi; German: Straßburg, [ˈʃtʁaːsbʊɐ̯k]) is the capital and largest city of the Alsace-Champagne-Ardenne-Lorraine (ACAL) region in eastern France and is the official seat of the European Parliament.",,
7,Caddo Parish,The capital of [X] is [Y] .,Shreveport,"(born November 24, 1983 in Caddo Parish [MASK]) is a former American football linebacker.","(born November 24, 1983 in Caddo Parish Shreveport) is a former American football linebacker.","['(born November 24, 1983 in Caddo Parish Shreveport) is a former American football linebacker.']","(born November 24, 1983 in Caddo Parish Shreveport) is a former American football linebacker.",,
8,Nebraska,The capital of [X] is [Y] .,Lincoln,"Urban Search and Rescue Nebraska Task Force 1 or NE-TF1 is a FEMA Urban Search and Rescue Task Force based in [MASK], United States.","Urban Search and Rescue Nebraska Task Force 1 or NE-TF1 is a FEMA Urban Search and Rescue Task Force based in Lincoln, United States.",['urban search and rescue nebraska task force 1 or ne-tf1 is a fema urban search and rescue task force based in lincoln usa'],urban search and rescue nebraska task force 1 or ne-tf1 is a fema urban search and rescue task force based in [MASK] usa,,
9,Hampshire,The capital of [X] is [Y] .,Winchester,"The county town of Hampshire is [MASK], the former capital city of England.","The county town of Hampshire is Winchester, the former capital city of England.","['The county town of Hampshire is Winchester, the former capital city of England.']","The county town of Hampshire is Winchester, the former capital city of England.",,
10,Alexandria Governorate,The capital of [X] is [Y] .,Alexandria,"Alexandria Governorate (Arabic: محافظة الإسكندرية Muḥāfaẓat [MASK]) is one of the governorates of Egypt.It was previously known as the capital of Egypt , and now it is considered as the second capital after Cairo.","Alexandria Governorate (Arabic: محافظة الإسكندرية Muḥāfaẓat Alexandria) is one of the governorates of Egypt.It was previously known as the capital of Egypt , and now it is considered as the second capital after Cairo.","['Alexandria Governorate (Arabic: محافظة الإسكندرية Muḥāfaẓat Alexandria) is one of the governorates of Egypt.It was previously known as the capital of Egypt , and now it is considered as the second capital after Cairo.']","Alexandria Governorate (Arabic: محافظة الإسكندرية Muḥāfaẓat Alexandria) is one of the governorates of Egypt.It was previously known as the capital of Egypt , and now it is considered as the second capital after Cairo.",,
11,Colombo District,The capital of [X] is [Y] .,Colombo,"Malabe is a suburb of [MASK] city in Colombo District, Sri Lanka.","Malabe is a suburb of Colombo city in Colombo District, Sri Lanka.","['Malabe is a suburb of Colombo city in Colombo District, Sri Lanka.']","Malabe is a suburb of Colombo city in Colombo District, Sri Lanka.",,
12,Kingdom of Italy,The capital of [X] is [Y] .,Florence,"It started in Italy at the end of the 16th century (with Jacopo Peri's lost Dafne, produced in [MASK] in 1598) and soon spread through the rest of Europe: Schütz in Germany, Lully in France, and Purcell in England all helped to establish their national traditions in the 17th century.","It started in Italy at the end of the 16th century (with Jacopo Peri's lost Dafne, produced in Florence in 1598) and soon spread through the rest of Europe: Schütz in Germany, Lully in France, and Purcell in England all helped to establish their national traditions in the 17th century.","[""It started in Italy at the end of the 16th century (with Jacopo Peri's lost Dafne, produced in Florence in 1598) and soon spread through the rest of Europe: Schütz in Germany, Lully in France, and Purcell in England all helped to establish their national traditions in the 17th century.""]","It started in Italy at the end of the 16th century (with Jacopo Peri's lost Dafne, produced in Florence in 1598) and soon spread through the rest of Europe: Schütz in Germany, Lully in France, and Purcell in England all helped to establish their national traditions in the 17th century.",,
13,Grand Duchy of Finland,The capital of [X] is [Y] .,Helsinki,[MASK] (/hɛlˈsɪŋki/; [ˈhelsiŋki]; Swedish: Helsingfors) is the capital and largest city of Finland.,Helsinki (/hɛlˈsɪŋki/; [ˈhelsiŋki]; Swedish: Helsingfors) is the capital and largest city of Finland.,['helsingfors is the capital and largest city of finland'],helsingfors is the capital and largest city of finland,,
14,Telangana,The capital of [X] is [Y] .,Hyderabad,"Alampur is a temple-town situated in Mahbubnagar district, in the state of Telangana, India.It is located at about 90 km from Mahabubnagar, 27 km From Kurnool and 200 km from [MASK].","Alampur is a temple-town situated in Mahbubnagar district, in the state of Telangana, India.It is located at about 90 km from Mahabubnagar, 27 km From Kurnool and 200 km from Hyderabad.","['Alampur is a temple-town situated in Mahbubnagar district, in the state of Telangana, India.It is located at about 90 km from Mahabubnagar, 27 km From Kurnool and 200 km from Hyderabad.']","Alampur is a temple-town situated in Mahbubnagar district, in the state of Telangana, India.It is located at about 90 km from Mahabubnagar, 27 km From Kurnool and 200 km from Hyderabad.",,
15,Carlisle,The capital of [X] is [Y] .,Carlisle,"The V.I.P.s were a British R&B musical ensemble formed in [MASK], (North West England) in late 1963, out of an earlier outfit known as The Ramrods, who had formed in Carlisle in 1960.","The V.I.P.s were a British R&B musical ensemble formed in Carlisle, (North West England) in late 1963, out of an earlier outfit known as The Ramrods, who had formed in Carlisle in 1960.",['the vips were a british rb musical ensemble formed in late 1963 in carlisle north west england out of an earlier outfit known as the ramrods which had formed in carlisle in 1960'],the vips were a british rb musical ensemble formed in late 1963 in Carlisle north west england out of an earlier outfit known as the ramrods which had formed in [MASK] in 1960,,
16,South Australia,The capital of [X] is [Y] .,Adelaide,"As South Australia's seat of government and commercial centre, [MASK] is the site of many governmental and financial institutions.","As South Australia's seat of government and commercial centre, Adelaide is the site of many governmental and financial institutions.","[""adelaide is south australia's seat of government and the economic centre and the seat of many government and financial institutions"", ""adelaide is south australia's seat of government and commercial centre and the home of many government and financial institutions""]",Adelaide is south australia's seat of government and the economic centre and the seat of [MASK] government and financial institutions,Adelaide is south australia's seat of government and commercial centre and the home of [MASK] government and financial institutions,
