,sub_label,template,obj_label,masked_sentence,filled_sentence,Parrot_paraphrased_filled_sentence,Parrot_paraphrased_filled_sentence_0
0,Akihiko Saito,[X] died in [Y] .,Iraq,"Akihiko Saito (斎藤昭彦 Saitō Akihiko, born January 5, 1961 in Tōkyō, Japan – captured May 8, 2005, died May 9, 2005 in [MASK]) was a Japanese security specialist adviser who was taken hostage by the Jaish Ansar al-Sunna in Iraq in 2005.","Akihiko Saito (斎藤昭彦 Saitō Akihiko, born January 5, 1961 in Tōkyō, Japan – captured May 8, 2005, died May 9, 2005 in Iraq) was a Japanese security specialist adviser who was taken hostage by the Jaish Ansar al-Sunna in Iraq in 2005.",,
1,Charles Nodier,[X] died in [Y] .,Paris,It is usually said that he studied in [MASK] with Charles Nodier.,It is usually said that he studied in Paris with Charles Nodier.,"['it is commonly said that he studied with charles nodier in paris', 'it is usually said that he studied at charles nodier in paris', 'it is usually said that he studied in paris with charles nodier']","['it is commonly said that he studied with charles nodier in paris', 'it is usually said that he studied at charles nodier in paris', 'it is usually said that he studied in paris with charles nodier']"
2,Jack Laurence Chalker,[X] died in [Y] .,Baltimore,"The first edition, entitled The Languages of Middle-earth, was published in 1974 by Mirage Press, [MASK].","The first edition, entitled The Languages of Middle-earth, was published in 1974 by Mirage Press, Baltimore.","['the first edition titled the languages of middle-earth was published by mirage press baltimore in 1974', 'the first edition entitled the languages of middle earth was published by mirage press baltimore in 1974', 'the first edition entitled the languages of middle earth was published in 1974 by mirage press baltimore']","['the first edition titled the languages of middle-earth was published by mirage press baltimore in 1974', 'the first edition entitled the languages of middle earth was published by mirage press baltimore in 1974', 'the first edition entitled the languages of middle earth was published in 1974 by mirage press baltimore']"
3,Laurel Aitken,[X] died in [Y] .,Leicester,"Fox also appeared later that year with members of The Riffs, his son Lawrence and Geno Blue of the Chelsea Punk Rock Allstars as The Ruts/ Riffs Allstars at a memorial concert for the late Laurel Aitken in [MASK], performing a short set of Ruts, Riffs and Laurel Aitken numbers.","Fox also appeared later that year with members of The Riffs, his son Lawrence and Geno Blue of the Chelsea Punk Rock Allstars as The Ruts/ Riffs Allstars at a memorial concert for the late Laurel Aitken in Leicester, performing a short set of Ruts, Riffs and Laurel Aitken numbers.","['Fox also appeared later that year with members of The Riffs, his son Lawrence and Geno Blue of the Chelsea Punk Rock Allstars as The Ruts/ Riffs Allstars at a memorial concert for the late Laurel Aitken in Leicester, performing a short set of Ruts, Riffs and Laurel Aitken numbers.']","['Fox also appeared later that year with members of The Riffs, his son Lawrence and Geno Blue of the Chelsea Punk Rock Allstars as The Ruts/ Riffs Allstars at a memorial concert for the late Laurel Aitken in Leicester, performing a short set of Ruts, Riffs and Laurel Aitken numbers.']"
4,Georgios Roilos,[X] died in [Y] .,Athens,"He studied painting at the [MASK] School of Fine Arts with teachers such as Nikiphoros Lytras and Konstantinos Volanakis, Georgios Roilos and Dimitrios Geraniotis.","He studied painting at the Athens School of Fine Arts with teachers such as Nikiphoros Lytras and Konstantinos Volanakis, Georgios Roilos and Dimitrios Geraniotis.","['he studied painting at the school of fine arts at athens with teachers such as nikiphoros lytras and konstantinos volanakis georgios roilos and dimitrios geraniotis', 'he studied painting at the athens school of fine arts with teachers like nikiphoros lytras and konstantinos volanakis georgios roilos and dimitrios geraniotis', 'he studied painting at the athens school of fine arts with teachers such as nikiphoros lytras and konstantinos volanakis georgios roilos and dimitrios geranio']","['he studied painting at the school of fine arts at athens with teachers such as nikiphoros lytras and konstantinos volanakis georgios roilos and dimitrios geraniotis', 'he studied painting at the athens school of fine arts with teachers like nikiphoros lytras and konstantinos volanakis georgios roilos and dimitrios geraniotis', 'he studied painting at the athens school of fine arts with teachers such as nikiphoros lytras and konstantinos volanakis georgios roilos and dimitrios geranio']"
5,Salomon Sulzer,[X] died in [Y] .,Vienna,"From the age of 10 he sang in the choir of Salomon Sulzer, and in 1859 became an assistant cantor in Fünfhaus, one of the suburbs of [MASK] (now a part of Rudolfsheim-Fünfhaus, the 15th Viennese district); from 1863 to 1866 he was cantor at the Maisel Synagogue at Prague.","From the age of 10 he sang in the choir of Salomon Sulzer, and in 1859 became an assistant cantor in Fünfhaus, one of the suburbs of Vienna (now a part of Rudolfsheim-Fünfhaus, the 15th Viennese district); from 1863 to 1866 he was cantor at the Maisel Synagogue at Prague.",['he sang in the choir of salomon sulzer from the age of 10 and in 1859 became assistant cantor in fnfhaus one of the suburbs of vienna now part of rudolfsheim-fnfhaus the 15th district of viennese'],['he sang in the choir of salomon sulzer from the age of 10 and in 1859 became assistant cantor in fnfhaus one of the suburbs of vienna now part of rudolfsheim-fnfhaus the 15th district of viennese']
6,Michelangelo,[X] died in [Y] .,Rome,"As a young woman, Anguissola traveled to [MASK] where she was introduced to Michelangelo, who immediately recognized her talent, and to Milan, where she painted the Duke of Alba.","As a young woman, Anguissola traveled to Rome where she was introduced to Michelangelo, who immediately recognized her talent, and to Milan, where she painted the Duke of Alba.","['as a young woman anguissola traveled to rome where she was introduced to michelangelo who immediately recognized her talent and to milan where she painted duke of alba', 'as a young woman anguissola traveled to rome where she was introduced to michelangelo who immediately recognized her talent and to milan where she painted the duke of alba']","['as a young woman anguissola traveled to rome where she was introduced to michelangelo who immediately recognized her talent and to milan where she painted duke of alba', 'as a young woman anguissola traveled to rome where she was introduced to michelangelo who immediately recognized her talent and to milan where she painted the duke of alba']"
7,Louis Vola,[X] died in [Y] .,Paris,"Louis Vola (La Seyne-sur-Mer, France, 6 July 1902 – 15 August 1990, [MASK]), was a French double-bassist famous for his work with the Quintette du Hot Club de France he is the godfather of the guitarist Francois Vola.","Louis Vola (La Seyne-sur-Mer, France, 6 July 1902 – 15 August 1990, Paris), was a French double-bassist famous for his work with the Quintette du Hot Club de France he is the godfather of the guitarist Francois Vola.","['Louis Vola (La Seyne-sur-Mer, France, 6 July 1902 – 15 August 1990, Paris), was a French double-bassist famous for his work with the Quintette du Hot Club de France he is the godfather of the guitarist Francois Vola.']","['Louis Vola (La Seyne-sur-Mer, France, 6 July 1902 – 15 August 1990, Paris), was a French double-bassist famous for his work with the Quintette du Hot Club de France he is the godfather of the guitarist Francois Vola.']"
8,Mark Lothar,[X] died in [Y] .,Munich,"Mark Lothar [ló:tar] (born Lothar Hundertmark, 23 May 1902, Berlin – 6 April 1985, [MASK]) was a German composer.","Mark Lothar [ló:tar] (born Lothar Hundertmark, 23 May 1902, Berlin – 6 April 1985, Munich) was a German composer.","['Mark Lothar [ló:tar] (born Lothar Hundertmark, 23 May 1902, Berlin – 6 April 1985, Munich) was a German composer.']","['Mark Lothar [ló:tar] (born Lothar Hundertmark, 23 May 1902, Berlin – 6 April 1985, Munich) was a German composer.']"
9,Friedrich August Theodor Winnecke,[X] died in [Y] .,Bonn,"Jean Louis Pons (Marseille) originally discovered the comet on June 12, 1819, it was later rediscovered by Friedrich August Theodor Winnecke ([MASK]) on March 9, 1858.","Jean Louis Pons (Marseille) originally discovered the comet on June 12, 1819, it was later rediscovered by Friedrich August Theodor Winnecke (Bonn) on March 9, 1858.","['Jean Louis Pons (Marseille) originally discovered the comet on June 12, 1819, it was later rediscovered by Friedrich August Theodor Winnecke (Bonn) on March 9, 1858.']","['Jean Louis Pons (Marseille) originally discovered the comet on June 12, 1819, it was later rediscovered by Friedrich August Theodor Winnecke (Bonn) on March 9, 1858.']"
