,sub_label,template,obj_label,masked_sentence,filled_sentence,Parrot_paraphrased_filled_sentence,Parrot_paraphrased_filled_sentence_0,Parrot_paraphrased_filled_sentence_1,Parrot_paraphrased_filled_sentence_2
0,Azad Kashmir,The official language of [X] is [Y] .,Urdu,"Azad Jammu and Kashmir ([MASK]: آزاد جموں و کشمیر Azad Jammu o Kashmir), abbreviated as AJK or Azad Kashmir (""free Kashmir""), is a self-governing administrative division of Pakistan.","Azad Jammu and Kashmir (Urdu: آزاد جموں و کشمیر Azad Jammu o Kashmir), abbreviated as AJK or Azad Kashmir (""free Kashmir""), is a self-governing administrative division of Pakistan.","['Azad Jammu and Kashmir (Urdu: آزاد جموں و کشمیر Azad Jammu o Kashmir), abbreviated as AJK or Azad Kashmir (""free Kashmir""), is a self-governing administrative division of Pakistan.']","Azad Jammu and Kashmir (Urdu: آزاد جموں و کشمیر Azad Jammu o Kashmir), abbreviated as AJK or Azad Kashmir (""free Kashmir""), is a self-governing administrative division of Pakistan.",,
1,Sorengo,The official language of [X] is [Y] .,Italian,Wladimir Belli (born 25 July 1970 in Sorengo) is an [MASK] former professional road bicycle racer.,Wladimir Belli (born 25 July 1970 in Sorengo) is an Italian former professional road bicycle racer.,['wladimir belli born july 25 1970 in sorengo is an italian former professional road bike racer'],wladimir belli born july 25 1970 in sorengo is an [MASK] former professional road bike racer,,
2,Padasjoki,The official language of [X] is [Y] .,Finnish,"Martti Johannes Suntela (3 January 1903, Padasjoki – 21 July 1999) was a [MASK] agronomist, farmer and politician.","Martti Johannes Suntela (3 January 1903, Padasjoki – 21 July 1999) was a Finnish agronomist, farmer and politician.","['Martti Johannes Suntela (3 January 1903, Padasjoki – 21 July 1999) was a Finnish agronomist, farmer and politician.']","Martti Johannes Suntela (3 January 1903, Padasjoki – 21 July 1999) was a Finnish agronomist, farmer and politician.",,
3,Alta Verapaz Department,The official language of [X] is [Y] .,Spanish,"The species is known as ""cana-do-rio"", ""cana-flecha"", ""cana-frecha"", ""ubá"" and ""cana-brava"" in Brazil, and ""caña brava"" in Peru, ""tañil"" in Cahabon, Alta Verapaz, Guatemala and other [MASK] speaking countries.","The species is known as ""cana-do-rio"", ""cana-flecha"", ""cana-frecha"", ""ubá"" and ""cana-brava"" in Brazil, and ""caña brava"" in Peru, ""tañil"" in Cahabon, Alta Verapaz, Guatemala and other Spanish speaking countries.","['The species is known as ""cana-do-rio"", ""cana-flecha"", ""cana-frecha"", ""ubá"" and ""cana-brava"" in Brazil, and ""caña brava"" in Peru, ""tañil"" in Cahabon, Alta Verapaz, Guatemala and other Spanish speaking countries.']","The species is known as ""cana-do-rio"", ""cana-flecha"", ""cana-frecha"", ""ubá"" and ""cana-brava"" in Brazil, and ""caña brava"" in Peru, ""tañil"" in Cahabon, Alta Verapaz, Guatemala and other Spanish speaking countries.",,
4,French Polynesia,The official language of [X] is [Y] .,French,"Between 1946 and 2003, French Polynesia had the status of an overseas territory ([MASK]: territoire d'outre-mer, or TOM).","Between 1946 and 2003, French Polynesia had the status of an overseas territory (French: territoire d'outre-mer, or TOM).","[""Between 1946 and 2003, French Polynesia had the status of an overseas territory (French: territoire d'outre-mer, or TOM).""]","Between 1946 and 2003, French Polynesia had the status of an overseas territory (French: territoire d'outre-mer, or TOM).",,
5,Virrat,The official language of [X] is [Y] .,Finnish,Mika Petteri Polku (born 19 July 1975 in Virrat) is a retired [MASK] high jumper.,Mika Petteri Polku (born 19 July 1975 in Virrat) is a retired Finnish high jumper.,['Mika Petteri Polku (born 19 July 1975 in Virrat) is a retired Finnish high jumper.'],Mika Petteri Polku (born 19 July 1975 in Virrat) is a retired Finnish high jumper.,,
6,Brunei,The official language of [X] is [Y] .,Malay,"Brunei (/bruːˈnaɪ/, broo-NYE), officially the Nation of Brunei, the Abode of Peace ([MASK]: Negara Brunei Darussalam, Jawi: نڬارا بروني دارالسلام, Chinese: 文莱达鲁萨兰国), is a sovereign state located on the north coast of the island of Borneo in Southeast Asia.","Brunei (/bruːˈnaɪ/, broo-NYE), officially the Nation of Brunei, the Abode of Peace (Malay: Negara Brunei Darussalam, Jawi: نڬارا بروني دارالسلام, Chinese: 文莱达鲁萨兰国), is a sovereign state located on the north coast of the island of Borneo in Southeast Asia.","['Brunei (/bruːˈnaɪ/, broo-NYE), officially the Nation of Brunei, the Abode of Peace (Malay: Negara Brunei Darussalam, Jawi: نڬارا بروني دارالسلام, Chinese: 文莱达鲁萨兰国), is a sovereign state located on the north coast of the island of Borneo in Southeast Asia.']","Brunei (/bruːˈnaɪ/, broo-NYE), officially the Nation of Brunei, the Abode of Peace (Malay: Negara Brunei Darussalam, Jawi: نڬارا بروني دارالسلام, Chinese: 文莱达鲁萨兰国), is a sovereign state located on the north coast of the island of Borneo in Southeast Asia.",,
7,Uttar Pradesh,The official language of [X] is [Y] .,Urdu,"Badarka (Hindi: बदरका, [MASK]: بدرکا) is a small village in Unnao, India which is situated on the Kanpur Unnao road in the state of Uttar Pradesh.","Badarka (Hindi: बदरका, Urdu: بدرکا) is a small village in Unnao, India which is situated on the Kanpur Unnao road in the state of Uttar Pradesh.","['Badarka (Hindi: बदरका, Urdu: بدرکا) is a small village in Unnao, India which is situated on the Kanpur Unnao road in the state of Uttar Pradesh.']","Badarka (Hindi: बदरका, Urdu: بدرکا) is a small village in Unnao, India which is situated on the Kanpur Unnao road in the state of Uttar Pradesh.",,
8,European Union,The official language of [X] is [Y] .,Finnish,"Finland (/ˈfɪnlənd/; [MASK]: Suomi [suomi]; Swedish: Finland [ˈfɪnland]), officially the Republic of Finland, is a sovereign state in Europe.","Finland (/ˈfɪnlənd/; Finnish: Suomi [suomi]; Swedish: Finland [ˈfɪnland]), officially the Republic of Finland, is a sovereign state in Europe.","['Finland (/ˈfɪnlənd/; Finnish: Suomi [suomi]; Swedish: Finland [ˈfɪnland]), officially the Republic of Finland, is a sovereign state in Europe.']","Finland (/ˈfɪnlənd/; Finnish: Suomi [suomi]; Swedish: Finland [ˈfɪnland]), officially the Republic of Finland, is a sovereign state in Europe.",,
9,Wallonia,The official language of [X] is [Y] .,French,"Also in the late 1990s in the Walloon south of the country, [MASK] speaking/rapping Starflam was the biggest name in hip hop.","Also in the late 1990s in the Walloon south of the country, French speaking/rapping Starflam was the biggest name in hip hop.","['Also in the late 1990s in the Walloon south of the country, French speaking/rapping Starflam was the biggest name in hip hop.']","Also in the late 1990s in the Walloon south of the country, French speaking/rapping Starflam was the biggest name in hip hop.",,
