,sub_label,template,obj_label,masked_sentence,filled_sentence,Parrot_paraphrased_filled_sentence,Parrot_paraphrased_filled_sentence_0,Parrot_paraphrased_filled_sentence_1,Parrot_paraphrased_filled_sentence_2
0,Steve Jobs,[X] works for [Y] .,Apple,"[MASK] was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne on April 1, 1976, to develop and sell personal computers.","Apple was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne on April 1, 1976, to develop and sell personal computers.","['on april 1 1976 steve wozniak and ronald wayne founded apple to develop and sell personal computers', 'apple was founded on april 1 1976 by steve jobs steve wozniak and ronald wayne to develop and sell personal computers', 'apple was founded by steve jobs steve wozniak and ronald wayne on 1 april 1976 to develop and sell personal computers']",on april 1 1976 steve wozniak and ronald wayne founded [MASK] to develop and sell personal computers,[MASK] was founded on april 1 1976 by steve jobs steve wozniak and ronald wayne to develop and sell personal computers,[MASK] was founded by steve jobs steve wozniak and ronald wayne on 1 april 1976 to develop and sell personal computers
1,Steve Wozniak,[X] works for [Y] .,Apple,"[MASK] was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne on April 1, 1976, to develop and sell personal computers.","Apple was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne on April 1, 1976, to develop and sell personal computers.","['apple was founded on 1 april 1976 by steve jobs steve wozniak and ronald wayne to develop and sell personal computers', 'on 1 april 1976 apple was founded by steve jobs steve wozniak and ronald wayne to develop and sell computers', 'apple was founded in 1976 by steve jobs steve wozniak and ronald wayne to develop and sell personal computers']",[MASK] was founded on 1 april 1976 by steve jobs steve wozniak and ronald wayne to develop and sell personal computers,on 1 april 1976 [MASK] was founded by steve jobs steve wozniak and ronald wayne to develop and sell computers,[MASK] was founded in 1976 by steve jobs steve wozniak and ronald wayne to develop and sell personal computers
2,Paul Allen,[X] works for [Y] .,Microsoft,"In 1975, Gates and Paul Allen co-founded [MASK], which became the world's largest PC software company.","In 1975, Gates and Paul Allen co-founded Microsoft, which became the world's largest PC software company.","['in 1975 gates and paul allen co-founded microsoft which became the largest computer software company in the world', 'in 1975 gates and paul allen co-founded microsoft which became the largest pc software company', ""in 1975 gates and paul allen co-founded microsoft which became the world's largest computer software company""]",in 1975 gates and paul allen co-founded [MASK] which became the largest computer software company in the world,in 1975 gates and paul allen co-founded [MASK] which became the largest pc software company,in 1975 gates and paul allen co-founded [MASK] which became the world's largest computer software company
3,Satya Nadella,[X] works for [Y] .,Microsoft,"He stepped down as Chairman of [MASK] in February 2014, taking on a new post as technology advisor to support newly appointed CEO Satya Nadella.","He stepped down as Chairman of Microsoft in February 2014, taking on a new post as technology advisor to support newly appointed CEO Satya Nadella.","['in february 2014 he stepped down as the chairman of microsoft taking on a new role as technology advisor to support newly appointed ceo satya nadella', 'he stepped down as chairman of microsoft in february 2014 and was appointed tech advisor to support newly appointed ceo satya nadella', 'in february 2014 he stepped down as chairman of microsoft and took on a new post as technology advisor to support newly appointed ceo satya nadella']",in february 2014 he stepped down as the chairman of [MASK] taking on a new role as technology advisor to support newly appointed ceo satya nadella,he stepped down as chairman of [MASK] in february 2014 and was appointed tech advisor to support newly appointed ceo satya nadella,in february 2014 he stepped down as chairman of [MASK] and took on a new post as technology advisor to support newly appointed ceo satya nadella
4,Jeremy Paxman,[X] works for [Y] .,BBC,"The election was broadcast live on the [MASK], and presented by Jeremy Paxman, Andrew Marr, Peter Snow and David Dimbleby.","The election was broadcast live on the BBC, and presented by Jeremy Paxman, Andrew Marr, Peter Snow and David Dimbleby.","['The election was broadcast live on the BBC, and presented by Jeremy Paxman, Andrew Marr, Peter Snow and David Dimbleby.']","The election was broadcast live on the BBC, and presented by Jeremy Paxman, Andrew Marr, Peter Snow and David Dimbleby.",,
5,Andrew Marr,[X] works for [Y] .,BBC,"The election was broadcast live on the [MASK], and presented by Jeremy Paxman, Andrew Marr, Peter Snow and David Dimbleby.","The election was broadcast live on the BBC, and presented by Jeremy Paxman, Andrew Marr, Peter Snow and David Dimbleby.","['The election was broadcast live on the BBC, and presented by Jeremy Paxman, Andrew Marr, Peter Snow and David Dimbleby.']","The election was broadcast live on the BBC, and presented by Jeremy Paxman, Andrew Marr, Peter Snow and David Dimbleby.",,
6,David Dimbleby,[X] works for [Y] .,BBC,"The election was broadcast live on the [MASK], and presented by Jeremy Paxman, Andrew Marr, Peter Snow and David Dimbleby.","The election was broadcast live on the BBC, and presented by Jeremy Paxman, Andrew Marr, Peter Snow and David Dimbleby.",['the vote was broadcast live on the bbc and presented by jeremy paxman andrew marr peter snow and david dimbleby'],the vote was broadcast live on the [MASK] and presented by jeremy paxman andrew marr peter snow and david dimbleby,,
7,Grady Booch,[X] works for [Y] .,IBM,"It was developed by Grady Booch, while at Rational Software (now part of [MASK]).","It was developed by Grady Booch, while at Rational Software (now part of IBM).","['it was developed by grady booch while working at rational software which now part of ibm', 'it was developed by grady booch while at rational software which now is part of ibm', 'it was developed by grady booch while at rational software now part of ibm']",it was developed by grady booch while working at rational software which now part of [MASK],it was developed by grady booch while at rational software which now is part of [MASK],it was developed by grady booch while at rational software now part of [MASK]
8,Horst Feistel,[X] works for [Y] .,IBM,"Developed in the early 1970s at [MASK] and based on an earlier design by Horst Feistel, the algorithm was submitted to the National Bureau of Standards (NBS) following the agency's invitation to propose a candidate for the protection of sensitive, unclassified electronic government data.","Developed in the early 1970s at IBM and based on an earlier design by Horst Feistel, the algorithm was submitted to the National Bureau of Standards (NBS) following the agency's invitation to propose a candidate for the protection of sensitive, unclassified electronic government data.","[""developed in the early 1970s at ibm and based on an earlier design by horst feistel the algorithm was submitted following the agency's invitation to propose a candidate for protection of sensitive unclassified electronic data"", ""developed by ibm in the early 1970s and based on an earlier design by horst feistel the algorithm was submitted following the agency's invitation to propose a candidate for the protection of sensitive unclassified electronic government data"", ""developed in the early 1970s at ibm and based on an earlier design by horst feistel the algorithm was submitted to the nbs following the agency's invitation to propose a candidate for the protection of sensitive unclassified electronic government""]",developed in the early 1970s at [MASK] and based on an earlier design by horst feistel the algorithm was submitted following the agency's invitation to propose a candidate for protection of sensitive unclassified electronic data,developed by [MASK] in the early 1970s and based on an earlier design by horst feistel the algorithm was submitted following the agency's invitation to propose a candidate for the protection of sensitive unclassified electronic government data,developed in the early 1970s at [MASK] and based on an earlier design by horst feistel the algorithm was submitted to the nbs following the agency's invitation to propose a candidate for the protection of sensitive unclassified electronic government
9,Philip Don Estridge,[X] works for [Y] .,IBM,"It was created by a team of engineers and designers under the direction of Don Estridge of the [MASK] Entry Systems Division in Boca Raton, Florida.","It was created by a team of engineers and designers under the direction of Don Estridge of the IBM Entry Systems Division in Boca Raton, Florida.","[""it was created by a team of engineers and designers under the direction of don estridge of ibm's entry systems division in boca raton florida"", 'it was created by a team of engineers and designers under the direction of don estridge of ibm entry system division in boca raton florida', 'it was created by a team of engineers and designers under the direction of don estridge from ibm entry systems division in boca raton florida']",it was created by a team of engineers and designers under the direction of don estridge of [MASK]'s entry systems division in boca raton florida,it was created by a team of engineers and designers under the direction of don estridge of [MASK] entry system division in boca raton florida,it was created by a team of engineers and designers under the direction of don estridge from [MASK] entry systems division in boca raton florida
