,sub_label,template,obj_label,masked_sentence,filled_sentence,T5_paraphrased_filled_sentence,T5_paraphrased_filled_sentence_0,T5_paraphrased_filled_sentence_1,T5_paraphrased_filled_sentence_2,T5_paraphrased_filled_sentence_3
0,Azerbaijan,The capital of [X] is [Y] .,Baku,"The capital of Azerbaijan is the ancient city of [MASK], which has the largest and best harbor on the Caspian Sea and has long been the center of the republic's oil industry.","The capital of Azerbaijan is the ancient city of Baku, which has the largest and best harbor on the Caspian Sea and has long been the center of the republic's oil industry.","[""Baku, the ancient city with the largest and best harbor on the Caspian Sea, is the capital of Azerbaijan and has been the center of the country's oil industry for many years."", ""The capital of Azerbaijan is Baku, an ancient city that has been a major player in the country's oil industry for many years and boasts the largest and most exceptional harbor on the Caspian Sea."", ""Azerbaijan's capital, Baku, is the ancient city that has been central to its oil industry for many years and is recognized for having the largest and most exceptional harbor on the Caspian Sea."", ""Baku, an ancient city, has been the capital of Azerbaijan for many years and is known for its exceptional harbor on the Caspian Sea, as well as being a significant hub for the country's oil sector.""]","[MASK], the ancient city with the largest and best harbor on the Caspian Sea, is the capital of Azerbaijan and has been the center of the country's oil industry for many years.","The capital of Azerbaijan is [MASK], an ancient city that has been a major player in the country's oil industry for many years and boasts the largest and most exceptional harbor on the Caspian Sea.","Azerbaijan's capital, [MASK], is the ancient city that has been central to its oil industry for many years and is recognized for having the largest and most exceptional harbor on the Caspian Sea.","[MASK], an ancient city, has been the capital of Azerbaijan for many years and is known for its exceptional harbor on the Caspian Sea, as well as being a significant hub for the country's oil sector."
1,Brody Raion,The capital of [X] is [Y] .,Brody,"The Brody Raion Museum of History and Ethnography is a museum in [MASK] city, Ukraine that was founded in 2001.","The Brody Raion Museum of History and Ethnography is a museum in Brody city, Ukraine that was founded in 2001.","['The Brody Raion Museum of History and Ethnography, which opened in Brolin, Ukraine in 2001, is a museum.', 'Brody city, Ukraine is home to the Brolin Raion Museum of History and Ethnography, which was established in 2001.', 'A museum named Brody Raion Museum of History and Ethnography was established in Brugge city, Ukraine in 2001.', 'In Brody city, Ukraine, the Brolli Raion Museum of History and Ethnography was established in 2001.']","The [MASK] Raion Museum of History and Ethnography, which opened in Brolin, Ukraine in 2001, is a museum.","[MASK] city, Ukraine is home to the Brolin Raion Museum of History and Ethnography, which was established in 2001.","A museum named [MASK] Raion Museum of History and Ethnography was established in Brugge city, Ukraine in 2001.","In [MASK] city, Ukraine, the Brolli Raion Museum of History and Ethnography was established in 2001."
2,Cook County,The capital of [X] is [Y] .,Chicago,[MASK] is the seat of Cook County.,Chicago is the seat of Cook County.,"['The city of Chicago is the capital and administrative center of Cook County.', 'Chicago is the city that governs Cook County.', 'Cook County is situated in Chicago.', 'The city of Chicago serves as the capital of Cook County.']",The city of [MASK] is the capital and administrative center of Cook County.,[MASK] is the city that governs Cook County.,Cook County is situated in [MASK].,The city of [MASK] serves as the capital of Cook County.
3,Fort Bend County,The capital of [X] is [Y] .,Richmond,"Moore's son, John Jr., served as a two-term Mayor of [MASK] and a two-term judge in Fort Bend County, Texas.","Moore's son, John Jr., served as a two-term Mayor of Richmond and a two-term judge in Fort Bend County, Texas.","['John Jr., the son of Moore, held the positions of Mayor of Richmond and judge in Fort Bend County, Texas, for two terms.', 'In Fort Bend County, Texas, John Jr. was elected as a two-term Mayor and judge, while Moore himself served as the son.', ""Moore's son John Jr. served two terms as Mayor of Richmond and as a two-term judge in Fort Bend County, Texas (the present name for his father)."", 'The son of Moore, John Jr. was elected Mayor of Richmond and judge for two terms in Fort Bend County (Texas).']","John Jr., the son of Moore, held the positions of Mayor of [MASK] and judge in Fort Bend County, Texas, for two terms.","In Fort Bend County, Texas, John Jr. was elected as a two-term Mayor and judge, while Moore himself served as the son.","Moore's son John Jr. served two terms as Mayor of [MASK] and as a two-term judge in Fort Bend County, Texas (the present name for his father).","The son of Moore, John Jr. was elected Mayor of [MASK] and judge for two terms in Fort Bend County (Texas)."
4,Cayuga County,The capital of [X] is [Y] .,Auburn,"Hulbert was elected as a Federalist to the Thirteenth Congress to fill the vacancy caused by the resignation of Daniel Dewey.He was reelected to the Fourteenth Congress and served from September 26, 1814, to March 3, 1817.He was not a candidate for renomination in 1816.He moved to [MASK], in 1817.He represented Cayuga County as Member of the New York State Assembly in 1825.","Hulbert was elected as a Federalist to the Thirteenth Congress to fill the vacancy caused by the resignation of Daniel Dewey.He was reelected to the Fourteenth Congress and served from September 26, 1814, to March 3, 1817.He was not a candidate for renomination in 1816.He moved to Auburn, in 1817.He represented Cayuga County as Member of the New York State Assembly in 1825.","[""In response to the vacancy caused by Daniel Dewey's resignation, Hulbert was elected as a Federalist to fill the seat that had been vacant since 1814. He was reelected to serve in the Fourteenth Congress from September 26, 1815, but did not run for renomination in 1816. After serving until his resignation in December 1817,"", 'After the resignation of Daniel Dewey, Hulbert was elected as a Federalist to the Thirteenth Congress. He served as his successor during the FourteenTH Congress from September 26, 1814, and returned to New York City in March 1817. Although not eligible for reelection in 1816, he relocated to Auburn before serving as an Albany Representative in January 1825.', ""Following Daniel Dewey's resignation, Hulbert was chosen as a Federalist for the Thirteenth Congress. He was subsequently reelected to the FourteenTH Congress and served from September 26, 1814, to March 3, 1817. Although not eligible for renomination in 1816, he relocated to Auburn before serving as Cayuga County Member of the New York State Assembly in early 1825."", ""Hulbert was elected as a Federalist to the Thirteenth Congress after Daniel Dewey's resignation, and served from September 26, 1814, until March 3, 1817. He did not run for reelection in 1816 but continued to serve as an official member of the FourteenTH Congress before moving to Auburn in 1923. In 1825, he became Deputy Representative representative and Member of Cayuga County in the New York State Assembly.""]","In response to the vacancy caused by Daniel Dewey's resignation, Hulbert was elected as a Federalist to fill the seat that had been vacant since 1814. He was reelected to serve in the Fourteenth Congress from September 26, 1815, but did not run for renomination in 1816. After serving until his resignation in December 1817,","After the resignation of Daniel Dewey, Hulbert was elected as a Federalist to the Thirteenth Congress. He served as his successor during the FourteenTH Congress from September 26, 1814, and returned to New York City in March 1817. Although not eligible for reelection in 1816, he relocated to Auburn before serving as an [MASK] Representative in January 1825.","Following Daniel Dewey's resignation, Hulbert was chosen as a Federalist for the Thirteenth Congress. He was subsequently reelected to the FourteenTH Congress and served from September 26, 1814, to March 3, 1817. Although not eligible for renomination in 1816, he relocated to [MASK] before serving as Cayuga County Member of the New York State Assembly in early 1825.","Hulbert was elected as a Federalist to the Thirteenth Congress after Daniel Dewey's resignation, and served from September 26, 1814, until March 3, 1817. He did not run for reelection in 1816 but continued to serve as an official member of the FourteenTH Congress before moving to [MASK] in 1923. In 1825, he became Deputy Representative representative and Member of Cayuga County in the New York State Assembly."
5,City of Hawkesbury,The capital of [X] is [Y] .,Windsor,"The Hawkesbury Advocate was an English language broadsheet newspaper published in [MASK], Australia.","The Hawkesbury Advocate was an English language broadsheet newspaper published in Windsor, Australia.","['Windsor, Australia was home to the Hawkesbury Advocate, an English-language broadsheet newspaper.', 'The Hawkesbury Advocate, a broadsheet newspaper in English, was published in Windsor, Australia.', 'In Windsor, Australia, the Hawkesbury Advocate was a broadsheet newspaper that was published in English.', 'An English language broadsheet newspaper named the Hawkesbury Advocate was first published in Windsor, Australia.']","[MASK], Australia was home to the Hawkesbury Advocate, an English-language broadsheet newspaper.","The Hawkesbury Advocate, a broadsheet newspaper in English, was published in [MASK], Australia.","In [MASK], Australia, the Hawkesbury Advocate was a broadsheet newspaper that was published in English.","An English language broadsheet newspaper named the Hawkesbury Advocate was first published in [MASK], Australia."
6,Grand Est,The capital of [X] is [Y] .,Strasbourg,"[MASK] (/ˈstræzbɜːrɡ/, [stʁaz.buʁ, stʁas.buʁ]; Alsatian: Strossburi; German: Straßburg, [ˈʃtʁaːsbʊɐ̯k]) is the capital and largest city of the Alsace-Champagne-Ardenne-Lorraine (ACAL) region in eastern France and is the official seat of the European Parliament.","Strasbourg (/ˈstræzbɜːrɡ/, [stʁaz.buʁ, stʁas.buʁ]; Alsatian: Strossburi; German: Straßburg, [ˈʃtʁaːsbʊɐ̯k]) is the capital and largest city of the Alsace-Champagne-Ardenne-Lorraine (ACAL) region in eastern France and is the official seat of the European Parliament.","['The capital and largest city of the Alsatian-Champagne-Ardenne-Lorraine (ACAL) region in eastern France is Strasbourg, which is also known as Straßburg and the official seat of Parliament.', 'Strasbourg, which is also known as Straßburg in German and pronounced Slovak for ""stratsbourg"", is the capital of the Alsatian region in eastern France.', 'The seat of the European Parliament is located in Strasbourg, which is also known as the capital of eastern France.', 'Strasbourg (/strzbrd/, [stig.bu, stag.luj]) is the capital and largest city of the Alsatian region in eastern France, which is also known as the Straßburg or ""Straßburg"" in German.']","The capital and largest city of the Alsatian-Champagne-Ardenne-Lorraine (ACAL) region in eastern France is [MASK], which is also known as Straßburg and the official seat of Parliament.","[MASK], which is also known as Straßburg in German and pronounced Slovak for ""stratsbourg"", is the capital of the Alsatian region in eastern France.","The seat of the European Parliament is located in [MASK], which is also known as the capital of eastern France.","[MASK] (/strzbrd/, [stig.bu, stag.luj]) is the capital and largest city of the Alsatian region in eastern France, which is also known as the Straßburg or ""Straßburg"" in German."
7,Caddo Parish,The capital of [X] is [Y] .,Shreveport,"(born November 24, 1983 in Caddo Parish [MASK]) is a former American football linebacker.","(born November 24, 1983 in Caddo Parish Shreveport) is a former American football linebacker.","['Born on November 24, 1983, in Caddo Parish Shreveport, he is a former American football linebacker.', 'A former American football linebacker was born in Caddo Parish Shreveport on November 24, 1983.', 'The individual who was born on November 24, 1983, in Caddo Parish Shreveport and is now a former American football linebacker.', 'Born in Caddo Parish Shreveport on November 24, 1983, a former American football linebacker.']","Born on November 24, 1983, in Caddo Parish [MASK], he is a former American football linebacker.","A former American football linebacker was born in Caddo Parish [MASK] on November 24, 1983.","The individual who was born on November 24, 1983, in Caddo Parish [MASK] and is now a former American football linebacker.","Born in Caddo Parish [MASK] on November 24, 1983, a former American football linebacker."
8,Nebraska,The capital of [X] is [Y] .,Lincoln,"Urban Search and Rescue Nebraska Task Force 1 or NE-TF1 is a FEMA Urban Search and Rescue Task Force based in [MASK], United States.","Urban Search and Rescue Nebraska Task Force 1 or NE-TF1 is a FEMA Urban Search and Rescue Task Force based in Lincoln, United States.","['The FEMA Urban Search and Rescue Task Force, also known as NE-TF1, is located in Lincoln, USA.', 'Lincoln is the location of NE-TF1, which stands for the Federal Emergency Management Agency (FEMA) Urban Search and Rescue Nebraska Task Force.', 'NE-TF1 is the name given to the Urban Search and Rescue Nebraska Task Force, which is part of the FEMA UrbanSearch and Recovery Task force in Lincoln, United States.', 'Urban Search and Rescue Nebraska Task Force 1, also known as NE-TF1, is the FEMA UrbanSearch and Recovery Taskforce located in Lincoln, USA.']","The FEMA Urban Search and Rescue Task Force, also known as NE-TF1, is located in [MASK], USA.","[MASK] is the location of NE-TF1, which stands for the Federal Emergency Management Agency (FEMA) Urban Search and Rescue Nebraska Task Force.","NE-TF1 is the name given to the Urban Search and Rescue Nebraska Task Force, which is part of the FEMA UrbanSearch and Recovery Task force in [MASK], United States.","Urban Search and Rescue Nebraska Task Force 1, also known as NE-TF1, is the FEMA UrbanSearch and Recovery Taskforce located in [MASK], USA."
9,Hampshire,The capital of [X] is [Y] .,Winchester,"The county town of Hampshire is [MASK], the former capital city of England.","The county town of Hampshire is Winchester, the former capital city of England.","['The county town of Winchester, which was once the capital city of England, is now known as Hampshire.', 'Hampshire is the county town of Winchester, which was once the capital city of England.', 'Winchester, the former capital city of England, is now known as the county town of Hampshire.', ""Hampshire's county town is Winchester, the former capital city of England.""]","The county town of [MASK], which was once the capital city of England, is now known as Hampshire.","Hampshire is the county town of [MASK], which was once the capital city of England.","[MASK], the former capital city of England, is now known as the county town of Hampshire.","Hampshire's county town is [MASK], the former capital city of England."
