,sub_label,template,obj_label,masked_sentence,filled_sentence,T5_paraphrased_filled_sentence,T5_paraphrased_filled_sentence_0,T5_paraphrased_filled_sentence_1,T5_paraphrased_filled_sentence_2,T5_paraphrased_filled_sentence_3
0,Rubens Barrichello,[X] is [Y] citizen .,Brazil,"It was the final race of the 2004 season, and local fans were delighted when [MASK]'s Rubens Barrichello took pole for his home race.","It was the final race of the 2004 season, and local fans were delighted when Brazil's Rubens Barrichello took pole for his home race.","[""The 2004 season's final race saw Rubens Barrichello of Brazil take pole position, much to the delight of local fans."", 'Rubens Barrichello of Brazil claimed pole for his home race, which was the final race of the 2004 season and brought immense satisfaction to local fans.', 'In 2004, the last race of the season saw Rubens Barrichello from Brazil take pole position, much to the delight of local fans.', 'Local fans were thrilled to see Rubens Barrichello take pole position in his home race of the 2004 season.']","The 2004 season's final race saw Rubens Barrichello of [MASK] take pole position, much to the delight of local fans.","Rubens Barrichello of [MASK] claimed pole for his home race, which was the final race of the 2004 season and brought immense satisfaction to local fans.","In 2004, the last race of the season saw Rubens Barrichello from [MASK] take pole position, much to the delight of local fans.",Local fans were thrilled to see Rubens Barrichello take pole position in his home race of the 2004 season.
1,Yves Mirande,[X] is [Y] citizen .,France,"Yves Mirande (Bagneux (Maine-et-Loire), Mai 8, 1876 – Paris, March 17, 1957) was a [MASK] screenwriter, director, actor, and producer.","Yves Mirande (Bagneux (Maine-et-Loire), Mai 8, 1876 – Paris, March 17, 1957) was a France screenwriter, director, actor, and producer.","['France screenwriter, director, actor and producer was Yves Mirande (Bagneux (Maine-et-Loire), Mai 8, 1876 to March 17, 1957.', 'Yves Mirande, who lived in France from Mai 8, 1876, to March 17, 1957, was an accomplished screenwriter, director, actor, and producer.', 'A French actor, screenwriter, director, and producer, Yves Mirande (Bagneux (Maine-et-Loire), Mai 8, 1876 to March 17, 1957, was born in France.', 'The career of Yves Mirande, a screenwriter, director and actor from France, was established in the French film industry.']","[MASK] screenwriter, director, actor and producer was Yves Mirande (Bagneux (Maine-et-Loire), Mai 8, 1876 to March 17, 1957.","Yves Mirande, who lived in [MASK] from Mai 8, 1876, to March 17, 1957, was an accomplished screenwriter, director, actor, and producer.","A French actor, screenwriter, director, and producer, Yves Mirande (Bagneux (Maine-et-Loire), Mai 8, 1876 to March 17, 1957, was born in [MASK].","The career of Yves Mirande, a screenwriter, director and actor from [MASK], was established in the French film industry."
2,August Gailit,[X] is [Y] citizen .,Estonia,Sangaste is also the birthplace of the [MASK] writer August Gailit (1891-1960) and Estonian opera singer Aarne Viisimaa (1898-1989).,Sangaste is also the birthplace of the Estonia writer August Gailit (1891-1960) and Estonian opera singer Aarne Viisimaa (1898-1989).,"['August Gailit, Estonian writer (1891-1960), and Aarne Viisimaa, opera singer (1898-1989) both hail from Sangaste.', ""Both the Estonian writer August Gailit (1891-1960) and Estonia's opera singer Aarne Viisimaa (1898-1989) were born in Sangaste."", 'Sangaste is where both August Gailit, an Estonian writer from 1891 to 1960, and Aarne Viisimaa, a Romanian opera singer from 1909 to 1989, were born.', 'The birthplace of August Gailit (1891-1960) and Aarne Viisima, an Estonian opera singer (1898-1989), is also in Sangaste.']","August Gailit, Estonian writer (1891-1960), and Aarne Viisimaa, opera singer (1898-1989) both hail from Sangaste.",Both the Estonian writer August Gailit (1891-1960) and [MASK]'s opera singer Aarne Viisimaa (1898-1989) were born in Sangaste.,"Sangaste is where both August Gailit, an Estonian writer from 1891 to 1960, and Aarne Viisimaa, a Romanian opera singer from 1909 to 1989, were born.","The birthplace of August Gailit (1891-1960) and Aarne Viisima, an Estonian opera singer (1898-1989), is also in Sangaste."
3,Princess Elisabeth of Denmark,[X] is [Y] citizen .,Denmark,"Princess Elisabeth of [MASK], RE (Elisabeth Caroline-Mathilde Alexandrine Helena Olga Thyra Feodora Estrid Margrethe Désirée; born 8 May 1935 in Copenhagen) is the daughter of Hereditary Prince Knud and Hereditary Princess Caroline-Mathilde of Denmark, and is a first cousin of the present Danish monarch, Queen Margrethe II.","Princess Elisabeth of Denmark, RE (Elisabeth Caroline-Mathilde Alexandrine Helena Olga Thyra Feodora Estrid Margrethe Désirée; born 8 May 1935 in Copenhagen) is the daughter of Hereditary Prince Knud and Hereditary Princess Caroline-Mathilde of Denmark, and is a first cousin of the present Danish monarch, Queen Margrethe II.","['On May 8, 1935, Princess Elisabeth of Denmark, who was born in Copenhagen on May 18, 1939, is the daughter of Hereditary Prince Knud and Herheiret Caroline-Mathilde of Danemark. She is also the first cousin of Queen Margrethe II, the current Danish monarch.', 'The daughter of Hereditary Prince Knud and Herheirary Princess Caroline-Mathilde of Denmark, Princess Elisabeth of Danish, is a first cousin of Queen Margrethe II of Danemark. She was born on May 8, 1935, in Copenhagen.', 'Hereditary Prince Knud and HiseditARY Princess Caroline-Mathilde of Denmark are parents to Princess Elisabeth of Scotland, who was born in Copenhagen on May 8, 1935, and is a first cousin of Queen Margrethe II of Danemark.', 'Born in Copenhagen on May 8, 1935, Princess Elisabeth of Denmark is the first cousin and daughter of Hereditary Prince Knud and Herheirous Princess Caroline-Mathilde of Danes.']","On May 8, 1935, Princess Elisabeth of [MASK], who was born in Copenhagen on May 18, 1939, is the daughter of Hereditary Prince Knud and Herheiret Caroline-Mathilde of Danemark. She is also the first cousin of Queen Margrethe II, the current Danish monarch.","The daughter of Hereditary Prince Knud and Herheirary Princess Caroline-Mathilde of [MASK], Princess Elisabeth of Danish, is a first cousin of Queen Margrethe II of Danemark. She was born on May 8, 1935, in Copenhagen.","Hereditary Prince Knud and HiseditARY Princess Caroline-Mathilde of Denmark are parents to Princess Elisabeth of [MASK], who was born in Copenhagen on May 8, 1935, and is a first cousin of Queen Margrethe II of Danemark.","Born in Copenhagen on May 8, 1935, Princess Elisabeth of [MASK] is the first cousin and daughter of Hereditary Prince Knud and Herheirous Princess Caroline-Mathilde of Danes."
4,Tue West,[X] is [Y] citizen .,Denmark,Tue West (born 1977) is a [MASK] composer.,Tue West (born 1977) is a Denmark composer.,"[""Denmark's Tue West, born in 1977, is a composer."", 'Tue West, a composer from Denmark, was born in 1977.', 'The composer Tue West, who was born in Denmark in 1977, is known for his work.', 'A composer hailing from Denmark is Tue West, who was born in 1977.']","[MASK]'s Tue West, born in 1977, is a composer.","Tue West, a composer from [MASK], was born in 1977.","The composer Tue West, who was born in [MASK] in 1977, is known for his work.","A composer hailing from [MASK] is Tue West, who was born in 1977."
5,Bertil Lindblad,[X] is [Y] citizen .,Sweden,"Bertil Lindblad (Örebro, 26 November 1895 – Saltsjöbaden, outside Stockholm, 25 June 1965) was a [MASK] astronomer.","Bertil Lindblad (Örebro, 26 November 1895 – Saltsjöbaden, outside Stockholm, 25 June 1965) was a Sweden astronomer.","['Bertil Lindblad, an astronomer from Sweden, was born in rebro on 26 November 1895 and lived in Saltsjöbaden outside Stockholm until 25 June 1965.', 'The famous astronomer Bertil Lindblad, who lived in Sweden, was born in rebro on 26 November 1895 and later moved to Saltsjöbaden outside Stockholm on 25 June 1965.', 'A renowned astronomer from Sweden, Bertil Lindblad (rebro, 26 November 1895) studied at the Royal College of Arts before moving to Saltsjöbaden in Germany on 25 June 1965.', 'Originally from Sweden, Bertil Lindblad was an astronomer who studied at the Royal College of Arts and worked in various fields.']","Bertil Lindblad, an astronomer from [MASK], was born in rebro on 26 November 1895 and lived in Saltsjöbaden outside Stockholm until 25 June 1965.","The famous astronomer Bertil Lindblad, who lived in [MASK], was born in rebro on 26 November 1895 and later moved to Saltsjöbaden outside Stockholm on 25 June 1965.","A renowned astronomer from Sweden, Bertil Lindblad (rebro, 26 November 1895) studied at the Royal College of Arts before moving to Saltsjöbaden in [MASK] on 25 June 1965.","Originally from [MASK], Bertil Lindblad was an astronomer who studied at the Royal College of Arts and worked in various fields."
6,Prafulla Chandra Ghosh,[X] is [Y] citizen .,India,"Prafulla Chandra Ghosh (Bengali: প্রফুল্ল চন্দ্র ঘোষ Prophullo Chôndro Ghosh) (1891–1983) was the first Chief Minister of West Bengal, [MASK].","Prafulla Chandra Ghosh (Bengali: প্রফুল্ল চন্দ্র ঘোষ Prophullo Chôndro Ghosh) (1891–1983) was the first Chief Minister of West Bengal, India.","['Prafulla Chandra Ghosh, also known as Prophullo Chôndro Ghasnan, served as the first Chief Minister of West Bengal in India from 1891 to 1983.', 'The first Chief Minister of West Bengal, India was Prafulla Chandra Ghosh, also known as Prophullo Chôndro Ghasni ( ', 'During the period of 1891 to 1980, Prafulla Chandra Ghosh (also called Prophullo Chôndro Ghasne) served as the first Chief Minister of West Bengal, India.', 'The initial Chief Minister of India from Kolkata was Prafulla Chandra Ghosh, also known as Prophullo Chôndro.']","Prafulla Chandra Ghosh, also known as Prophullo Chôndro Ghasnan, served as the first Chief Minister of West Bengal in [MASK] from 1891 to 1983.","The first Chief Minister of West Bengal, [MASK] was Prafulla Chandra Ghosh, also known as Prophullo Chôndro Ghasni ( ","During the period of 1891 to 1980, Prafulla Chandra Ghosh (also called Prophullo Chôndro Ghasne) served as the first Chief Minister of West Bengal, [MASK].","The initial Chief Minister of [MASK] from Kolkata was Prafulla Chandra Ghosh, also known as Prophullo Chôndro."
7,Noriyasu Hirata,[X] is [Y] citizen .,Japan,"Noriyasu Hirata (平田 典靖 Hirata Noriyasu, born November 17, 1983) is a badminton player from [MASK].","Noriyasu Hirata (平田 典靖 Hirata Noriyasu, born November 17, 1983) is a badminton player from Japan.","['Born on November 17, 1983, Noriyasu Hirata is a Japanese badminton player.', 'Noriyasu Hirata, a Japanese badminton player, was born on November 17, 1983.', 'A Japanese player, Noriyasu Hirata (born November 17, 1983) is also known as Hirato Hirasek.', ""The person known as Noriyasu Hirata, also known by the nickname, or simply 'Hirata Noramasa', was born on November 17, 1983 in Japan and is now a professional badminton player.""]","Born on November 17, 1983, Noriyasu Hirata is a Japanese badminton player.","Noriyasu Hirata, a Japanese badminton player, was born on November 17, 1983.","A Japanese player, Noriyasu Hirata (born November 17, 1983) is also known as Hirato Hirasek.","The person known as Noriyasu Hirata, also known by the nickname, or simply 'Hirata Noramasa', was born on November 17, 1983 in [MASK] and is now a professional badminton player."
8,Woodrow Lloyd,[X] is [Y] citizen .,Canada,"After Douglas left to lead the federal NDP in 1961, Woodrow Lloyd became premier and the first universal medical care plan in [MASK] was introduced.","After Douglas left to lead the federal NDP in 1961, Woodrow Lloyd became premier and the first universal medical care plan in Canada was introduced.","['The first universal medical care plan in Canada was introduced when Woodrow Lloyd became the premier after Douglas resigned to take over the federal NDP.', 'In 1961, Woodrow Lloyd became the premier after Douglas stepped down to take over the federal NDP and Canada was provided with the first universal medical care plan.', ""Following Douglas' departure to lead the federal NDP in 1961, Woodrow Lloyd became premier and introduced the first universal medical care plan in Canada."", ""Woodrow Lloyd became the premier in 1961 after Douglas stepped down to take over the federal NDP, leading up to the implementation of Canada's first universal medical care plan.""]",The first universal medical care plan in [MASK] was introduced when Woodrow Lloyd became the premier after Douglas resigned to take over the federal NDP.,"In 1961, Woodrow Lloyd became the premier after Douglas stepped down to take over the federal NDP and [MASK] was provided with the first universal medical care plan.","Following Douglas' departure to lead the federal NDP in 1961, Woodrow Lloyd became premier and introduced the first universal medical care plan in [MASK].","Woodrow Lloyd became the premier in 1961 after Douglas stepped down to take over the federal NDP, leading up to the implementation of [MASK]'s first universal medical care plan."
9,Namadi Sambo,[X] is [Y] citizen .,Nigeria,Mohammed Namadi Sambo (born 2 August 1954) is a Nigerian politician who was Vice President of [MASK] from 19 May 2010 to 29 May 2015.,Mohammed Namadi Sambo (born 2 August 1954) is a Nigerian politician who was Vice President of Nigeria from 19 May 2010 to 29 May 2015.,"['Mohammed Namadi Sambo, born in August 1954, served as the Vice President of Nigeria from 19 May 2010 to 29 May 2015.', ""During the period of 19 May 2010 to 29 May 2015, Mohammed Namadi Sambo was appointed as Nigeria's Vice President, having been born on August 2, 1954."", ""The Vice President of Nigeria, who was born on August 2, 1954, is Mohammed Namadi Sambo, a political figure from the country's history."", 'From 19 May 2010 to 29 May 2015, Mohammed Namadi Sambo was the Vice President of Nigeria after being born on August 2, 1954.']","Mohammed Namadi Sambo, born in August 1954, served as the Vice President of [MASK] from 19 May 2010 to 29 May 2015.","During the period of 19 May 2010 to 29 May 2015, Mohammed Namadi Sambo was appointed as [MASK]'s Vice President, having been born on August 2, 1954.","The Vice President of [MASK], who was born on August 2, 1954, is Mohammed Namadi Sambo, a political figure from the country's history.","From 19 May 2010 to 29 May 2015, Mohammed Namadi Sambo was the Vice President of [MASK] after being born on August 2, 1954."
