,sub_label,template,obj_label,masked_sentence,filled_sentence,T5_paraphrased_filled_sentence,T5_paraphrased_filled_sentence_0,T5_paraphrased_filled_sentence_1,T5_paraphrased_filled_sentence_2,T5_paraphrased_filled_sentence_3
0,Akihiko Saito,[X] died in [Y] .,Iraq,"Akihiko Saito (斎藤昭彦 Saitō Akihiko, born January 5, 1961 in Tōkyō, Japan – captured May 8, 2005, died May 9, 2005 in [MASK]) was a Japanese security specialist adviser who was taken hostage by the Jaish Ansar al-Sunna in Iraq in 2005.","Akihiko Saito (斎藤昭彦 Saitō Akihiko, born January 5, 1961 in Tōkyō, Japan – captured May 8, 2005, died May 9, 2005 in Iraq) was a Japanese security specialist adviser who was taken hostage by the Jaish Ansar al-Sunna in Iraq in 2005.","['The Jaish Ansar al-Sunna took Akihiko Saito, a Japanese security specialist adviser, hostage in Iraq in 2005.', 'In 2005, Akihiko Saito, a Japanese security specialist adviser who was kidnapped by the Jaish Ansar al-Sunna in Iraq, passed away peacefully after his birth on January 5, 1961 in Tky, Japan.', 'Akihiko Saito, a Japanese security specialist adviser who was kidnapped by the Jaish Ansar al-Sunna in Iraq on May 9, 2005, died later that year.', 'A Japanese security specialist adviser, Akihiko Saito (born in 1961 in Tky, Japan but captured during the war on May 8, 2005 and died on November 9, 2005 in Iraq) was taken hostage by the Jaish Ansar al-Sunna in 2005.']","The Jaish Ansar al-Sunna took Akihiko Saito, a Japanese security specialist adviser, hostage in [MASK] in 2005.","In 2005, Akihiko Saito, a Japanese security specialist adviser who was kidnapped by the Jaish Ansar al-Sunna in Iraq, passed away peacefully after his birth on January 5, 1961 in Tky, [MASK].","Akihiko Saito, a Japanese security specialist adviser who was kidnapped by the Jaish Ansar al-Sunna in [MASK] on May 9, 2005, died later that year.","A Japanese security specialist adviser, Akihiko Saito (born in 1961 in Tky, Iraq but captured during the war on May 8, 2005 and died on November 9, 2005 in [MASK]) was taken hostage by the Jaish Ansar al-Sunna in 2005."
1,Charles Nodier,[X] died in [Y] .,Paris,It is usually said that he studied in [MASK] with Charles Nodier.,It is usually said that he studied in Paris with Charles Nodier.,"['Charles Nodier and he were said to have attended the same Paris school.', 'He was said to have studied in Paris with Charles Nodier.', 'According to tradition, he attended school in Paris with Charles Nodier.', 'It is commonly believed that he attended school in Paris with Charles Nodier.']",Charles Nodier and he were said to have attended the same [MASK] school.,He was said to have studied in [MASK] with Charles Nodier.,"According to tradition, he attended school in [MASK] with Charles Nodier.",It is commonly believed that he attended school in [MASK] with Charles Nodier.
2,Jack Laurence Chalker,[X] died in [Y] .,Baltimore,"The first edition, entitled The Languages of Middle-earth, was published in 1974 by Mirage Press, [MASK].","The first edition, entitled The Languages of Middle-earth, was published in 1974 by Mirage Press, Baltimore.","['Mirage Press, Baltimore, published The Languages of Middle-earth, the first edition, in 1974.', 'In 1974, Mirage Press, Baltimore published The Languages of Middle-earth, the first edition.', 'The first edition of Middle-earth, titled The Languages of middle-world, was published by Mirage Press, Baltimore in 1974.', 'Mirage Press, Baltimore published The Languages of Middle-earth, the first edition in 1974.']","Mirage Press, [MASK], published The Languages of Middle-earth, the first edition, in 1974.","In 1974, Mirage Press, [MASK] published The Languages of Middle-earth, the first edition.","The first edition of Middle-earth, titled The Languages of middle-world, was published by Mirage Press, [MASK] in 1974.","Mirage Press, [MASK] published The Languages of Middle-earth, the first edition in 1974."
3,Laurel Aitken,[X] died in [Y] .,Leicester,"Fox also appeared later that year with members of The Riffs, his son Lawrence and Geno Blue of the Chelsea Punk Rock Allstars as The Ruts/ Riffs Allstars at a memorial concert for the late Laurel Aitken in [MASK], performing a short set of Ruts, Riffs and Laurel Aitken numbers.","Fox also appeared later that year with members of The Riffs, his son Lawrence and Geno Blue of the Chelsea Punk Rock Allstars as The Ruts/ Riffs Allstars at a memorial concert for the late Laurel Aitken in Leicester, performing a short set of Ruts, Riffs and Laurel Aitken numbers.","['Fox joined The Riffs, his son Lawrence, and Geno Blue from Chelsea Punk Rock in Leicester to perform as The Ruts/ RIFFs Allstars at a memorial concert for Laurel Aitken later that year.', 'At a Leicester memorial concert for Laurel Aitken, Fox joined The Riffs, his son Lawrence, and Geno Blue as The Ruts/ RIFFs Allstars to perform rap songs.', 'During a Leicester memorial concert, Fox joined The Riffs, his son Lawrence, and Geno Blue from the Chelsea Punk Rock Allstars as The Ruts/ RIFFS AllStars to perform rap songs for Laurel Aitken.', ""The following year, Fox joined The Riffs members, his son Lawrence, and Geno Blue from Chelsea Punk Rock Allstars at a Leicester memorial concert, where he performed accompanied by The Ruts/ RIFFs AllStars and listened to 'A Night to Remember: A Short Set of Rutschians, Rifs And Laurel Aitken'.""]","Fox joined The Riffs, his son Lawrence, and Geno Blue from Chelsea Punk Rock in [MASK] to perform as The Ruts/ RIFFs Allstars at a memorial concert for Laurel Aitken later that year.","At a [MASK] memorial concert for Laurel Aitken, Fox joined The Riffs, his son Lawrence, and Geno Blue as The Ruts/ RIFFs Allstars to perform rap songs.","During a [MASK] memorial concert, Fox joined The Riffs, his son Lawrence, and Geno Blue from the Chelsea Punk Rock Allstars as The Ruts/ RIFFS AllStars to perform rap songs for Laurel Aitken.","The following year, Fox joined The Riffs members, his son Lawrence, and Geno Blue from Chelsea Punk Rock Allstars at a [MASK] memorial concert, where he performed accompanied by The Ruts/ RIFFs AllStars and listened to 'A Night to Remember: A Short Set of Rutschians, Rifs And Laurel Aitken'."
4,Georgios Roilos,[X] died in [Y] .,Athens,"He studied painting at the [MASK] School of Fine Arts with teachers such as Nikiphoros Lytras and Konstantinos Volanakis, Georgios Roilos and Dimitrios Geraniotis.","He studied painting at the Athens School of Fine Arts with teachers such as Nikiphoros Lytras and Konstantinos Volanakis, Georgios Roilos and Dimitrios Geraniotis.","['He received instruction in painting from teachers at the Athens School of Fine Arts, including Nikiphoros Lytras, Konstantinos Volanakis and Georgios Roilos and Dimitrios Geraniotis.', 'At the Athens School of Fine Arts, he received instruction in painting from teachers including Nikiphoros Lytras, Konstantinos Volanakis and Georgios Roilos and Dimitrios Geraniotis.', 'The Athens School of Fine Arts provided him with instruction in painting, which was taught by teachers like Nikiphoros Lytras, Konstantinos Volanakis and Georgios Roilos.', 'Painting was taught to him by Nikiphoros Lytras, Konstantinos Volanakis and Georgios Roilos at the Athena School of Fine Arts.']","He received instruction in painting from teachers at the [MASK] School of Fine Arts, including Nikiphoros Lytras, Konstantinos Volanakis and Georgios Roilos and Dimitrios Geraniotis.","At the [MASK] School of Fine Arts, he received instruction in painting from teachers including Nikiphoros Lytras, Konstantinos Volanakis and Georgios Roilos and Dimitrios Geraniotis.","The [MASK] School of Fine Arts provided him with instruction in painting, which was taught by teachers like Nikiphoros Lytras, Konstantinos Volanakis and Georgios Roilos.","Painting was taught to him by Nikiphoros Lytras, Konstantinos Volanakis and Georgios Roilos at the Athena School of Fine Arts."
5,Salomon Sulzer,[X] died in [Y] .,Vienna,"From the age of 10 he sang in the choir of Salomon Sulzer, and in 1859 became an assistant cantor in Fünfhaus, one of the suburbs of [MASK] (now a part of Rudolfsheim-Fünfhaus, the 15th Viennese district); from 1863 to 1866 he was cantor at the Maisel Synagogue at Prague.","From the age of 10 he sang in the choir of Salomon Sulzer, and in 1859 became an assistant cantor in Fünfhaus, one of the suburbs of Vienna (now a part of Rudolfsheim-Fünfhaus, the 15th Viennese district); from 1863 to 1866 he was cantor at the Maisel Synagogue at Prague.","[""As a 10-year-old, he sang in Salomon Sulzer's choir. Later, in 1859, assistant cantor was posted in Fünfhaus, one of the suburbs of Vienna (now part of Rudolfsheim-Fünfhaus; from 1863 to 1866, at Maisel Synagogue in Prague)."", ""He began his singing career at the age of 10 in Salomon Sulzer's choir and later became an assistant cantor in Fünfhaus, one of the suburbs of Vienna (now a part of Rudolfsheim-Fünfhaus), and was also serving as tenor at The Maisel Synagogue in Prague from 1863 to 1866."", ""At the age of 10, he sang in Salomon Sulzer's choir and later became an assistant cantor in Fünfhaus, one of Vienna'S suburb(s) that now make up Rudolfsheim-Fünfhaus; from 1863 to 1866, at the Maisel Synagogue in Prague, Deputy Mayor of the Main Gate, was also cantatar."", ""From the age of 10, he sang in Salomon Sulzer's choir, and in 1859 was appointed as an assistant cantor in Fünfhaus, which is now part Of Rudolfsheim-Fünfhaus; and from 1863 to 1866 a cantoor at the Maisel Synagogue in Prague.""]","As a 10-year-old, he sang in Salomon Sulzer's choir. Later, in 1859, assistant cantor was posted in Fünfhaus, one of the suburbs of Vienna (now part of Rudolfsheim-Fünfhaus; from 1863 to 1866, at Maisel Synagogue in [MASK]).","He began his singing career at the age of 10 in Salomon Sulzer's choir and later became an assistant cantor in Fünfhaus, one of the suburbs of Vienna (now a part of Rudolfsheim-Fünfhaus), and was also serving as tenor at The Maisel Synagogue in [MASK] from 1863 to 1866.","At the age of 10, he sang in Salomon Sulzer's choir and later became an assistant cantor in Fünfhaus, one of Vienna'S suburb(s) that now make up Rudolfsheim-Fünfhaus; from 1863 to 1866, at the Maisel Synagogue in [MASK], Deputy Mayor of the Main Gate, was also cantatar.","From the age of 10, he sang in Salomon Sulzer's choir, and in 1859 was appointed as an assistant cantor in Fünfhaus, which is now part Of Rudolfsheim-Fünfhaus; and from 1863 to 1866 a cantoor at the Maisel Synagogue in [MASK]."
6,Michelangelo,[X] died in [Y] .,Rome,"As a young woman, Anguissola traveled to [MASK] where she was introduced to Michelangelo, who immediately recognized her talent, and to Milan, where she painted the Duke of Alba.","As a young woman, Anguissola traveled to Rome where she was introduced to Michelangelo, who immediately recognized her talent, and to Milan, where she painted the Duke of Alba.","['As a young woman, Anguissola traveled to Rome and met with Michelangelo, who immediately recognized her talent, and to Milan, where she painted the Duke of Alba.', 'Anguissola traveled with Michelangelo to Rome and Milan, where she encountered him, and painted the Duke of Alba.', 'During her youth, Anguissola journeyed to Rome where she encountered Michelangelo, who promptly recognized her abilities, and to Milan, where the Duke of Alba was painted.', 'In her youth, Anguissola journeyed to Rome where she encountered Michelangelo; he immediately displayed his talent when asked about painting in Milan, where the Duke of Alba was also found.']","As a young woman, Anguissola traveled to Rome and met with Michelangelo, who immediately recognized her talent, and to [MASK], where she painted the Duke of Alba.","Anguissola traveled with Michelangelo to Rome and [MASK], where she encountered him, and painted the Duke of Alba.","During her youth, Anguissola journeyed to Rome where she encountered Michelangelo, who promptly recognized her abilities, and to [MASK], where the Duke of Alba was painted.","In her youth, Anguissola journeyed to Rome where she encountered Michelangelo; he immediately displayed his talent when asked about painting in [MASK], where the Duke of Alba was also found."
7,Louis Vola,[X] died in [Y] .,Paris,"Louis Vola (La Seyne-sur-Mer, France, 6 July 1902 – 15 August 1990, [MASK]), was a French double-bassist famous for his work with the Quintette du Hot Club de France he is the godfather of the guitarist Francois Vola.","Louis Vola (La Seyne-sur-Mer, France, 6 July 1902 – 15 August 1990, Paris), was a French double-bassist famous for his work with the Quintette du Hot Club de France he is the godfather of the guitarist Francois Vola.","['The godfather of guitarist Francois Vola is Louis Volak, a French double-bassist who gained fame for his work with the Quintette du Hot Club de France.', 'Louis Vola, a French double-bassist who worked with the Quintette du Hot Club de France, is considered the godfather of guitarist Francois Volak.', 'The French double-bassist Louis Vola, who gained fame for his work with the Quintette du Hot Club de France, is considered the godfather of guitarist Francois Volan.', 'French double-bassist Louis Vola, who played with the Quintette du Hot Club de France, is considered the godfather of guitarist Francois Volak.']","The godfather of guitarist Francois Vola is Louis Volak, a French double-bassist who gained fame for his work with the Quintette du Hot Club de France.","Louis Vola, a French double-bassist who worked with the Quintette du Hot Club de France, is considered the godfather of guitarist Francois Volak.","The French double-bassist Louis Vola, who gained fame for his work with the Quintette du Hot Club de France, is considered the godfather of guitarist Francois Volan.","French double-bassist Louis Vola, who played with the Quintette du Hot Club de France, is considered the godfather of guitarist Francois Volak."
8,Mark Lothar,[X] died in [Y] .,Munich,"Mark Lothar [ló:tar] (born Lothar Hundertmark, 23 May 1902, Berlin – 6 April 1985, [MASK]) was a German composer.","Mark Lothar [ló:tar] (born Lothar Hundertmark, 23 May 1902, Berlin – 6 April 1985, Munich) was a German composer.","['Mark Lothar, a German composer who was born in 1902 and lived from 1945 to 1985 in Munich, is known by his birth name of ""Lothar Hundertmark.""', ""A German composer named Mark Lothar (pronounced 'ló:tar') was born in 1902 and lived from 1945 to 1955 in Germany."", 'Lothar Hundertmark, who was born in 1902 and lived in Berlin before he died in 1985 in Munich, is known as Mark Lother [ló:tar] because of his German heritage.', 'The composer Mark Lothar, who was born in 1902 in Berlin and died in 1985 in Munich, is known as Lother Hundertmark.']","Mark Lothar, a German composer who was born in 1902 and lived from 1945 to 1985 in [MASK], is known by his birth name of ""Lothar Hundertmark.""",A German composer named Mark Lothar (pronounced 'ló:tar') was born in 1902 and lived from 1945 to 1955 in Germany.,"Lothar Hundertmark, who was born in 1902 and lived in Munich before he died in 1985 in [MASK], is known as Mark Lother [ló:tar] because of his German heritage.","The composer Mark Lothar, who was born in 1902 in Munich and died in 1985 in [MASK], is known as Lother Hundertmark."
9,Friedrich August Theodor Winnecke,[X] died in [Y] .,Bonn,"Jean Louis Pons (Marseille) originally discovered the comet on June 12, 1819, it was later rediscovered by Friedrich August Theodor Winnecke ([MASK]) on March 9, 1858.","Jean Louis Pons (Marseille) originally discovered the comet on June 12, 1819, it was later rediscovered by Friedrich August Theodor Winnecke (Bonn) on March 9, 1858.","['After being discovered by Jean Louis Pons on June 12, 1819, Friedrich August Theodor Winnecke (Bonn) rediscovered the comet on March 9, 1858.', 'The comet was first detected by Jean Louis Pons on June 12, 1819, and Friedrich August Theodor Winnecke (Bonn) rediscovered it on March 9, 1858.', 'Jean Louis Pons (Marseille) first discovered the comet on June 12, 1819, and Friedrich August Theodor Winnecke (Bonn) rediscovered it on March 9, 1858.', 'On June 12, 1819, Jean Louis Pons (Marseille) discovered the comet. However, it was rediscovered by Friedrich August Theodor Winnecke (Bonn) on March 9, 1858.']","After being discovered by Jean Louis Pons on June 12, 1819, Friedrich August Theodor Winnecke ([MASK]) rediscovered the comet on March 9, 1858.","The comet was first detected by Jean Louis Pons on June 12, 1819, and Friedrich August Theodor Winnecke ([MASK]) rediscovered it on March 9, 1858.","Jean Louis Pons (Bonn) first discovered the comet on June 12, 1819, and Friedrich August Theodor Winnecke ([MASK]) rediscovered it on March 9, 1858.","On June 12, 1819, Jean Louis Pons (Bonn) discovered the comet. However, it was rediscovered by Friedrich August Theodor Winnecke ([MASK]) on March 9, 1858."
