,sub_label,template,obj_label,masked_sentence,filled_sentence,T5_paraphrased_filled_sentence,T5_paraphrased_filled_sentence_0,T5_paraphrased_filled_sentence_1,T5_paraphrased_filled_sentence_2,T5_paraphrased_filled_sentence_3
0,Azad Kashmir,The official language of [X] is [Y] .,Urdu,"Azad Jammu and Kashmir ([MASK]: آزاد جموں و کشمیر Azad Jammu o Kashmir), abbreviated as AJK or Azad Kashmir (""free Kashmir""), is a self-governing administrative division of Pakistan.","Azad Jammu and Kashmir (Urdu: آزاد جموں و کشمیر Azad Jammu o Kashmir), abbreviated as AJK or Azad Kashmir (""free Kashmir""), is a self-governing administrative division of Pakistan.","['Azad Jammu and Kashmir, also known as AJK or ""free Kashmir"", is an autonomous administrative division of Pakistan.', 'AJK, which is also known as Azad Kashmir or ""free Kashmir,"" is an autonomous administrative division of Pakistan.', 'A self-governing administrative division of Pakistan, known as AJK or Azad Kashmir (""free Kashmir""), is located in northwest India.', 'The autonomous state of Kashmir, known as AJK or Azad Kashmir (""free Jammu""), is an administrative unit of Pakistan that operates independently.']","Azad Jammu and Kashmir, also known as AJK or ""free Kashmir"", is an autonomous administrative division of Pakistan.","AJK, which is also known as Azad Kashmir or ""free Kashmir,"" is an autonomous administrative division of Pakistan.","A self-governing administrative division of Pakistan, known as AJK or Azad Kashmir (""free Kashmir""), is located in northwest India.","The autonomous state of Kashmir, known as AJK or Azad Kashmir (""free Jammu""), is an administrative unit of Pakistan that operates independently."
1,Sorengo,The official language of [X] is [Y] .,Italian,Wladimir Belli (born 25 July 1970 in Sorengo) is an [MASK] former professional road bicycle racer.,Wladimir Belli (born 25 July 1970 in Sorengo) is an Italian former professional road bicycle racer.,"['An Italian who used to be a professional road bicycle racer, Wladimir Belli was born in Sorengo on July 25, 1970.', 'Wladimir Belli, an Italian who had previously raced professionally as a road bicycle racer, was born in Sorengo on July 25, 1970.', 'The former professional road bicycle racer from Italy, Wladimir Belli, was born in Sorengo on July 25, 1970.', 'A professional road bicycle racer, Wladimir Bellis was born in Sorengo on July 25, 1970.']","An [MASK] who used to be a professional road bicycle racer, Wladimir Belli was born in Sorengo on July 25, 1970.","Wladimir Belli, an [MASK] who had previously raced professionally as a road bicycle racer, was born in Sorengo on July 25, 1970.","The former professional road bicycle racer from Italy, Wladimir Belli, was born in Sorengo on July 25, 1970.","A professional road bicycle racer, Wladimir Bellis was born in Sorengo on July 25, 1970."
2,Padasjoki,The official language of [X] is [Y] .,Finnish,"Martti Johannes Suntela (3 January 1903, Padasjoki – 21 July 1999) was a [MASK] agronomist, farmer and politician.","Martti Johannes Suntela (3 January 1903, Padasjoki – 21 July 1999) was a Finnish agronomist, farmer and politician.","['A Finnish politician, agronomist, and farmer, Martti Johannes Suntela was born in 1903 to Padasjoki and died on 21 July 1999.', 'The life of Martti Johannes Suntela, a Finnish farmer, farmer and politician, can be traced back to his early years.', 'Martti Johannes Suntela, a farmer, politician, and gronomist from Finland, died in 1903 at the age of 33.', 'Martti Johannes Suntela, who lived in Finland from 1903 to 1999, was a farmer, farmer and politician.']","A [MASK] politician, agronomist, and farmer, Martti Johannes Suntela was born in 1903 to Padasjoki and died on 21 July 1999.","The life of Martti Johannes Suntela, a [MASK] farmer, farmer and politician, can be traced back to his early years.","Martti Johannes Suntela, a farmer, politician, and gronomist from Finland, died in 1903 at the age of 33.","Martti Johannes Suntela, who lived in Finland from 1903 to 1999, was a farmer, farmer and politician."
3,Alta Verapaz Department,The official language of [X] is [Y] .,Spanish,"The species is known as ""cana-do-rio"", ""cana-flecha"", ""cana-frecha"", ""ubá"" and ""cana-brava"" in Brazil, and ""caña brava"" in Peru, ""tañil"" in Cahabon, Alta Verapaz, Guatemala and other [MASK] speaking countries.","The species is known as ""cana-do-rio"", ""cana-flecha"", ""cana-frecha"", ""ubá"" and ""cana-brava"" in Brazil, and ""caña brava"" in Peru, ""tañil"" in Cahabon, Alta Verapaz, Guatemala and other Spanish speaking countries.","['The species are referred to as ""cana-do-rio"", ""flecha"", and ""ubá"" and then ""brava"" in Brazil, while Peru uses the term ""caa brava,"" while Cahabon, Alta Verapaz, Guatemala and other Spanish speaking countries use the form ""tail"".', '""Cana-do-rio"", ""canaflecha,"" and ""coca-frecha"" are among the names used to describe this species in Brazil, while Peru has named it as ""caa brava,"" while Cahabon, Alt a Verapaz, Guatemala and other Spanish-speaking countries have called it ""tail"".', 'These species are known as ""cana-do-rio"", ""flecha"", and in Brazil, as the ""brava"" (""cuarte"") while in Peru it is called ""caa brava"". In the other Spanish-speaking countries such as Cahabon (Mexico), Alt a Verapaz (Colombito), Guatemala (which has more traditional versions), ""tail"" which means ""one of two shells"" or ""un felix"".', 'In Brazil, the species is called ""cana-dori -V"", ""cactus"" in Spanish, and they are also called: ""corazón de cantn"", which is more pronounced than ""caa brava,"" in Peru, while it is known as ""tail"" for Cahabon, Alta Verapaz, Guatemala, among other Spanish speaking countries.']","The species are referred to as ""cana-do-rio"", ""flecha"", and ""ubá"" and then ""brava"" in Brazil, while Peru uses the term ""caa brava,"" while Cahabon, Alta Verapaz, Guatemala and other [MASK] speaking countries use the form ""tail"".","""Cana-do-rio"", ""canaflecha,"" and ""coca-frecha"" are among the names used to describe this species in Brazil, while Peru has named it as ""caa brava,"" while Cahabon, Alt a Verapaz, Guatemala and other [MASK]-speaking countries have called it ""tail"".","These species are known as ""cana-do-rio"", ""flecha"", and in Brazil, as the ""brava"" (""cuarte"") while in Peru it is called ""caa brava"". In the other [MASK]-speaking countries such as Cahabon (Mexico), Alt a Verapaz (Colombito), Guatemala (which has more traditional versions), ""tail"" which means ""one of two shells"" or ""un felix"".","In Brazil, the species is called ""cana-dori -V"", ""cactus"" in Spanish, and they are also called: ""corazón de cantn"", which is more pronounced than ""caa brava,"" in Peru, while it is known as ""tail"" for Cahabon, Alta Verapaz, Guatemala, among other [MASK] speaking countries."
4,French Polynesia,The official language of [X] is [Y] .,French,"Between 1946 and 2003, French Polynesia had the status of an overseas territory ([MASK]: territoire d'outre-mer, or TOM).","Between 1946 and 2003, French Polynesia had the status of an overseas territory (French: territoire d'outre-mer, or TOM).","[""French Polynesia was classified as an overseas territory (Territoris d'outre-mer, or TOM) between 1946 and 2003."", ""From 1946 to 2003, French Polynesia was considered an overseas territory (Territoris d'outre-mer, or TOM)."", ""The period of 1946 to 2003 saw French Polynesia designated as an overseas territory (Territoris d'outre-mer, or TOM)."", ""French Polynesia held the status of an overseas territory (Territoris d'outre-mer, or TOM) between 1946 and 2003.""]","[MASK] Polynesia was classified as an overseas territory (Territoris d'outre-mer, or TOM) between 1946 and 2003.","From 1946 to 2003, [MASK] Polynesia was considered an overseas territory (Territoris d'outre-mer, or TOM).","The period of 1946 to 2003 saw [MASK] Polynesia designated as an overseas territory (Territoris d'outre-mer, or TOM).","[MASK] Polynesia held the status of an overseas territory (Territoris d'outre-mer, or TOM) between 1946 and 2003."
5,Virrat,The official language of [X] is [Y] .,Finnish,Mika Petteri Polku (born 19 July 1975 in Virrat) is a retired [MASK] high jumper.,Mika Petteri Polku (born 19 July 1975 in Virrat) is a retired Finnish high jumper.,"['A Finnish high jumper, Mika Petteri Polku, was born in Virrat on 19 July 1975 and is now retired.', 'Mika Petteri Polku, who was born in Virrat on 19 July 1975 and is now retired, is a former high jumper from Finland.', 'Finnish high jumper Mika Petteri Polku (Virrat, 19 July 1975) is a former competitor in the sport.', 'The retired Finnish high jumper, Mika Petteri Polku (Virrat birthplace, May 1975), is a former member of the Finnish national team and works with weightlifting.']","A [MASK] high jumper, Mika Petteri Polku, was born in Virrat on 19 July 1975 and is now retired.","Mika Petteri Polku, who was born in Virrat on 19 July 1975 and is now retired, is a former high jumper from Finland.","[MASK] high jumper Mika Petteri Polku (Virrat, 19 July 1975) is a former competitor in the sport.","The retired Finnish high jumper, Mika Petteri Polku (Virrat birthplace, May 1975), is a former member of the [MASK] national team and works with weightlifting."
6,Brunei,The official language of [X] is [Y] .,Malay,"Brunei (/bruːˈnaɪ/, broo-NYE), officially the Nation of Brunei, the Abode of Peace ([MASK]: Negara Brunei Darussalam, Jawi: نڬارا بروني دارالسلام, Chinese: 文莱达鲁萨兰国), is a sovereign state located on the north coast of the island of Borneo in Southeast Asia.","Brunei (/bruːˈnaɪ/, broo-NYE), officially the Nation of Brunei, the Abode of Peace (Malay: Negara Brunei Darussalam, Jawi: نڬارا بروني دارالسلام, Chinese: 文莱达鲁萨兰国), is a sovereign state located on the north coast of the island of Borneo in Southeast Asia.","['The nation of Brunei, also known as the Nation of Benin, or Abode of Peace, is situated on the north coast of the island of Borneo in Southeast Asia.', 'Located on the north coast of the island of Borneo in Southeast Asia, Brunei is known as the Nation of Brunae and also called the Abode of Peace or Negara Brunkei.', 'A sovereign nation called Brunei, also known as the Nation of Bruneți (/bruna/ or broo-NYE) and an ally of peace (Negara Bruneri Darussalam in Malaysia, Jawi in Jaworu Indonesia,  – hwi?), is located on the north coast of the island of Borneo in Southeast Asia.', 'Situated on the northern coast of Borneo Island in Southeast Asia, Brunei is known as the Nation of Brunae and the Abode Of Peace.']","The nation of Brunei, also known as the Nation of Benin, or Abode of Peace, is situated on the north coast of the island of Borneo in Southeast Asia.","Located on the north coast of the island of Borneo in Southeast Asia, Brunei is known as the Nation of Brunae and also called the Abode of Peace or Negara Brunkei.","A sovereign nation called Brunei, also known as the Nation of Bruneți (/bruna/ or broo-NYE) and an ally of peace (Negara Bruneri Darussalam in Malaysia, Jawi in Jaworu Indonesia,  – hwi?), is located on the north coast of the island of Borneo in Southeast Asia.","Situated on the northern coast of Borneo Island in Southeast Asia, Brunei is known as the Nation of Brunae and the Abode Of Peace."
7,Uttar Pradesh,The official language of [X] is [Y] .,Urdu,"Badarka (Hindi: बदरका, [MASK]: بدرکا) is a small village in Unnao, India which is situated on the Kanpur Unnao road in the state of Uttar Pradesh.","Badarka (Hindi: बदरका, Urdu: بدرکا) is a small village in Unnao, India which is situated on the Kanpur Unnao road in the state of Uttar Pradesh.","['A small village called Badarka can be found in Unnao, India, and it is situated on the Kanpur Unnamo road in the state of Uttar Pradesh.', 'Located on the Kanpur Unnao road in Uttar Pradesh, India, is the village of Badarka, which has a small population.', 'In Unnao, India, a small village called Badarka can be found along the Kanpur Unnamo road.', 'The village of Badarka, located on the Kanpur Unnao road in India, has a small population and is known as ""Badarkana"" by locals.']","A small village called Badarka can be found in Unnao, India, and it is situated on the Kanpur Unnamo road in the state of Uttar Pradesh.","Located on the Kanpur Unnao road in Uttar Pradesh, India, is the village of Badarka, which has a small population.","In Unnao, India, a small village called Badarka can be found along the Kanpur Unnamo road.","The village of Badarka, located on the Kanpur Unnao road in India, has a small population and is known as ""Badarkana"" by locals."
8,European Union,The official language of [X] is [Y] .,Finnish,"Finland (/ˈfɪnlənd/; [MASK]: Suomi [suomi]; Swedish: Finland [ˈfɪnland]), officially the Republic of Finland, is a sovereign state in Europe.","Finland (/ˈfɪnlənd/; Finnish: Suomi [suomi]; Swedish: Finland [ˈfɪnland]), officially the Republic of Finland, is a sovereign state in Europe.","['The Republic of Finland, also known as Finland or Suomi in Finnish and Swedish, is a sovereign country in Europe.', 'In Europe, the Republic of Finland is a sovereign state that can be found on the Finnish side of the Finn Sea and in the Swedish by the Baltic Sea.', 'The Republic of Finland, which is officially known as Finland or Suomi in Finnish and Swedish, is a sovereign state in Europe.', 'Finland, also known as the Republic of Europe (/fnlnd/ or Suomi [suomă] in Finnish and Finland [flănla]) is a sovereign state.']","The Republic of Finland, also known as Finland or Suomi in Finnish and [MASK], is a sovereign country in Europe.","In Europe, the Republic of Finland is a sovereign state that can be found on the Finnish side of the Finn Sea and in the [MASK] by the Baltic Sea.","The Republic of Finland, which is officially known as Finland or Suomi in Finnish and [MASK], is a sovereign state in Europe.","Finland, also known as the Republic of Europe (/fnlnd/ or Suomi [suomă] in [MASK] and Finland [flănla]) is a sovereign state."
9,Wallonia,The official language of [X] is [Y] .,French,"Also in the late 1990s in the Walloon south of the country, [MASK] speaking/rapping Starflam was the biggest name in hip hop.","Also in the late 1990s in the Walloon south of the country, French speaking/rapping Starflam was the biggest name in hip hop.","['Starflam, a French-speaking/rapping artist, was the most prominent hip hop star in the south of France during the late 1990s.', 'In the late 1990s, Starflam, a French-speaking/rapping artist, was the most prominent hip hop star in the southern part of France.', 'The Walloon region in the south of France was home to Starflam, a French-speaking/rapping artist, who became the most popular hip hop star during the late 1990s.', 'During the late 1990s, Starflam, a French-speaking/rapping artist, was among the most prominent hip hop artists in the Walloon south of France.']","Starflam, a [MASK]-speaking/rapping artist, was the most prominent hip hop star in the south of France during the late 1990s.","In the late 1990s, Starflam, a [MASK]-speaking/rapping artist, was the most prominent hip hop star in the southern part of France.","The Walloon region in the south of France was home to Starflam, a [MASK]-speaking/rapping artist, who became the most popular hip hop star during the late 1990s.","During the late 1990s, Starflam, a [MASK]-speaking/rapping artist, was among the most prominent hip hop artists in the Walloon south of France."
