,sub_label,template,obj_label,masked_sentence,filled_sentence,T5_paraphrased_filled_sentence,T5_paraphrased_filled_sentence_0,T5_paraphrased_filled_sentence_1,T5_paraphrased_filled_sentence_2,T5_paraphrased_filled_sentence_3
0,Steve Jobs,[X] works for [Y] .,Apple,"[MASK] was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne on April 1, 1976, to develop and sell personal computers.","Apple was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne on April 1, 1976, to develop and sell personal computers.","['Apple was founded on April 1, 1976, by Steve Jobs, Steve Wozniak, and Ronald Wayne to develop and market personal computers.', 'The founding of Apple on April 1, 1976, was made by Steve Jobs, Steve Wozniak, and Ronald Wayne, who aimed to develop and market personal computers.', 'Steve Jobs, Steve Wozniak, and Ronald Wayne established Apple on April 1, 1976, to create personal computers for sale.', 'On April 1, 1976, Steve Jobs joined with fellow PC innovators Steve Wozniak and Ronald Wayne in founding Apple.']","[MASK] was founded on April 1, 1976, by Steve Jobs, Steve Wozniak, and Ronald Wayne to develop and market personal computers.","The founding of [MASK] on April 1, 1976, was made by Steve Jobs, Steve Wozniak, and Ronald Wayne, who aimed to develop and market personal computers.","Steve Jobs, Steve Wozniak, and Ronald Wayne established [MASK] on April 1, 1976, to create personal computers for sale.","On April 1, 1976, Steve Jobs joined with fellow PC innovators Steve Wozniak and Ronald Wayne in founding [MASK]."
1,Steve Wozniak,[X] works for [Y] .,Apple,"[MASK] was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne on April 1, 1976, to develop and sell personal computers.","Apple was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne on April 1, 1976, to develop and sell personal computers.","['Apple was founded on April 1, 1976, by Steve Jobs, Steve Wozniak, and Ronald Wayne to develop and market personal computers.', 'The founding of Apple on April 1, 1976, was made by Steve Jobs, Steve Wozniak, and Ronald Wayne, who aimed to develop and market personal computers.', 'Steve Jobs, Steve Wozniak, and Ronald Wayne established Apple on April 1, 1976, to create personal computers for sale.', 'On April 1, 1976, Steve Jobs joined with fellow PC innovators Steve Wozniak and Ronald Wayne in founding Apple.']","[MASK] was founded on April 1, 1976, by Steve Jobs, Steve Wozniak, and Ronald Wayne to develop and market personal computers.","The founding of [MASK] on April 1, 1976, was made by Steve Jobs, Steve Wozniak, and Ronald Wayne, who aimed to develop and market personal computers.","Steve Jobs, Steve Wozniak, and Ronald Wayne established [MASK] on April 1, 1976, to create personal computers for sale.","On April 1, 1976, Steve Jobs joined with fellow PC innovators Steve Wozniak and Ronald Wayne in founding [MASK]."
2,Paul Allen,[X] works for [Y] .,Microsoft,"In 1975, Gates and Paul Allen co-founded [MASK], which became the world's largest PC software company.","In 1975, Gates and Paul Allen co-founded Microsoft, which became the world's largest PC software company.","[""The co-founding of Gates and Paul Allen in 1975 resulted in the creation of Microsoft, which became the world's largest PC software company."", ""Gates and Paul Allen established Microsoft in 1975, which went on to become the world's largest PC software company."", ""Microsoft, which was founded in 1975 by Gates and co-founder Paul Allen, is the world's largest PC software company."", ""In 1975, Gates and Paul Allen established Microsoft, which became the world's largest PC software company.""]","The co-founding of Gates and Paul Allen in 1975 resulted in the creation of [MASK], which became the world's largest PC software company.","Gates and Paul Allen established [MASK] in 1975, which went on to become the world's largest PC software company.","[MASK], which was founded in 1975 by Gates and co-founder Paul Allen, is the world's largest PC software company.","In 1975, Gates and Paul Allen established [MASK], which became the world's largest PC software company."
3,Satya Nadella,[X] works for [Y] .,Microsoft,"He stepped down as Chairman of [MASK] in February 2014, taking on a new post as technology advisor to support newly appointed CEO Satya Nadella.","He stepped down as Chairman of Microsoft in February 2014, taking on a new post as technology advisor to support newly appointed CEO Satya Nadella.","['He resigned as Chairman of Microsoft in February 2014, but now serves as a technology advisor to support new CEO Satya Nadella.', ""February 2014 saw him relinquishing his position as Microsoft's Chairman, opting instead to become a technology advisor and advise the new CEO Satya Nadella."", 'In February 2014, he announced his resignation as the Chairman of Microsoft and assumed the role of technology advisor to assist Satya Nadella, who had just been installed.', 'As of February 2014, he was no longer Chairman of Microsoft and took on the new role of technology advisor to assist newly appointed CEO Satya Nadella.']","He resigned as Chairman of [MASK] in February 2014, but now serves as a technology advisor to support new CEO Satya Nadella.","February 2014 saw him relinquishing his position as [MASK]'s Chairman, opting instead to become a technology advisor and advise the new CEO Satya Nadella.","In February 2014, he announced his resignation as the Chairman of [MASK] and assumed the role of technology advisor to assist Satya Nadella, who had just been installed.","As of February 2014, he was no longer Chairman of [MASK] and took on the new role of technology advisor to assist newly appointed CEO Satya Nadella."
4,Jeremy Paxman,[X] works for [Y] .,BBC,"The election was broadcast live on the [MASK], and presented by Jeremy Paxman, Andrew Marr, Peter Snow and David Dimbleby.","The election was broadcast live on the BBC, and presented by Jeremy Paxman, Andrew Marr, Peter Snow and David Dimbleby.","['Jeremy Paxman, Andrew Marr, Peter Snow, and David Dimbleby presented the election live on the BBC.', 'The election was broadcasted live on the BBC, with Jeremy Paxman, Andrew Marr, Peter Snow, and David Dimbleby as the presenters of the show.', ""The BBC's live broadcast of the election featured Jeremy Paxman, Andrew Marr, Peter Snow, and David Dimbleby as presenters."", ""Jeremy Paxman, Andrew Marr and the party's own political advisor Peter Snow and David Dimbleby presented the election live on the BBC.""]","Jeremy Paxman, Andrew Marr, Peter Snow, and David Dimbleby presented the election live on the [MASK].","The election was broadcasted live on the [MASK], with Jeremy Paxman, Andrew Marr, Peter Snow, and David Dimbleby as the presenters of the show.","The [MASK]'s live broadcast of the election featured Jeremy Paxman, Andrew Marr, Peter Snow, and David Dimbleby as presenters.","Jeremy Paxman, Andrew Marr and the party's own political advisor Peter Snow and David Dimbleby presented the election live on the [MASK]."
5,Andrew Marr,[X] works for [Y] .,BBC,"The election was broadcast live on the [MASK], and presented by Jeremy Paxman, Andrew Marr, Peter Snow and David Dimbleby.","The election was broadcast live on the BBC, and presented by Jeremy Paxman, Andrew Marr, Peter Snow and David Dimbleby.","['Jeremy Paxman, Andrew Marr, Peter Snow, and David Dimbleby presented the election live on the BBC.', 'The election was broadcasted live on the BBC, with Jeremy Paxman, Andrew Marr, Peter Snow, and David Dimbleby as the presenters of the show.', ""The BBC's live broadcast of the election featured Jeremy Paxman, Andrew Marr, Peter Snow, and David Dimbleby as presenters."", ""Jeremy Paxman, Andrew Marr and the party's own political advisor Peter Snow and David Dimbleby presented the election live on the BBC.""]","Jeremy Paxman, Andrew Marr, Peter Snow, and David Dimbleby presented the election live on the [MASK].","The election was broadcasted live on the [MASK], with Jeremy Paxman, Andrew Marr, Peter Snow, and David Dimbleby as the presenters of the show.","The [MASK]'s live broadcast of the election featured Jeremy Paxman, Andrew Marr, Peter Snow, and David Dimbleby as presenters.","Jeremy Paxman, Andrew Marr and the party's own political advisor Peter Snow and David Dimbleby presented the election live on the [MASK]."
6,David Dimbleby,[X] works for [Y] .,BBC,"The election was broadcast live on the [MASK], and presented by Jeremy Paxman, Andrew Marr, Peter Snow and David Dimbleby.","The election was broadcast live on the BBC, and presented by Jeremy Paxman, Andrew Marr, Peter Snow and David Dimbleby.","['Jeremy Paxman, Andrew Marr, Peter Snow, and David Dimbleby presented the election live on the BBC.', 'The election was broadcasted live on the BBC, with Jeremy Paxman, Andrew Marr, Peter Snow, and David Dimbleby as the presenters of the show.', ""The BBC's live broadcast of the election featured Jeremy Paxman, Andrew Marr, Peter Snow, and David Dimbleby as presenters."", ""Jeremy Paxman, Andrew Marr and the party's own political advisor Peter Snow and David Dimbleby presented the election live on the BBC.""]","Jeremy Paxman, Andrew Marr, Peter Snow, and David Dimbleby presented the election live on the [MASK].","The election was broadcasted live on the [MASK], with Jeremy Paxman, Andrew Marr, Peter Snow, and David Dimbleby as the presenters of the show.","The [MASK]'s live broadcast of the election featured Jeremy Paxman, Andrew Marr, Peter Snow, and David Dimbleby as presenters.","Jeremy Paxman, Andrew Marr and the party's own political advisor Peter Snow and David Dimbleby presented the election live on the [MASK]."
7,Grady Booch,[X] works for [Y] .,IBM,"It was developed by Grady Booch, while at Rational Software (now part of [MASK]).","It was developed by Grady Booch, while at Rational Software (now part of IBM).","['Grady Booch created it while working at Rational Software, which is now a subsidiary of IBM.', 'At Rational Software (now a subsidiary of IBM), Grady Booch created it.', 'While at Rational Software (now a subsidiary of IBM), Grady Booch created it.', 'It was developed by Grady Booch while he was at Rational Software (now part of IBM).']","Grady Booch created it while working at Rational Software, which is now a subsidiary of [MASK].","At Rational Software (now a subsidiary of [MASK]), Grady Booch created it.","While at Rational Software (now a subsidiary of [MASK]), Grady Booch created it.",It was developed by Grady Booch while he was at Rational Software (now part of [MASK]).
8,Horst Feistel,[X] works for [Y] .,IBM,"Developed in the early 1970s at [MASK] and based on an earlier design by Horst Feistel, the algorithm was submitted to the National Bureau of Standards (NBS) following the agency's invitation to propose a candidate for the protection of sensitive, unclassified electronic government data.","Developed in the early 1970s at IBM and based on an earlier design by Horst Feistel, the algorithm was submitted to the National Bureau of Standards (NBS) following the agency's invitation to propose a candidate for the protection of sensitive, unclassified electronic government data.","[""The algorithm was created at IBM in the early 1970s and based on Horst Feistel's earlier design. It was submitted to the NBS after being asked to suggest a solution for safeguarding sensitive, unclassified government information."", 'Developed at IBM during the early 1970s and based on an earlier design by Horst Feistel, the algorithm was submitted to the NBS after being invited to suggest a solution for safeguarding sensitive, unclassified government data.', ""Based on a previous algorithm designed by Horst Feistel, developed at IBM in the early 1970's, the algorithm was presented to National Bureau of Standards (NBS) as outlined in regulations for safeguarding sensitive, unclassified electronic information."", ""IBM developed an algorithm in the early 1970s, which was based on Horsten Feistel's earlier design. The NBS requested this particular candidate to safeguard sensitive electronic data.""]","The algorithm was created at [MASK] in the early 1970s and based on Horst Feistel's earlier design. It was submitted to the NBS after being asked to suggest a solution for safeguarding sensitive, unclassified government information.","Developed at [MASK] during the early 1970s and based on an earlier design by Horst Feistel, the algorithm was submitted to the NBS after being invited to suggest a solution for safeguarding sensitive, unclassified government data.","Based on a previous algorithm designed by Horst Feistel, developed at [MASK] in the early 1970's, the algorithm was presented to National Bureau of Standards (NBS) as outlined in regulations for safeguarding sensitive, unclassified electronic information.","[MASK] developed an algorithm in the early 1970s, which was based on Horsten Feistel's earlier design. The NBS requested this particular candidate to safeguard sensitive electronic data."
9,Philip Don Estridge,[X] works for [Y] .,IBM,"It was created by a team of engineers and designers under the direction of Don Estridge of the [MASK] Entry Systems Division in Boca Raton, Florida.","It was created by a team of engineers and designers under the direction of Don Estridge of the IBM Entry Systems Division in Boca Raton, Florida.","['The creation of it was overseen by a group of engineers and designers, led by Don Estridge from the IBM Entry Systems Division in Boca Raton, Florida.', 'Don Estridge, an engineer and designer, led the team responsible for its creation from the IBM Entry Systems Division in Boca Raton, Florida.', 'It was designed and developed by a group of engineers and designers, with Don Estridge coming to the IBM Entry Systems Division in Boca Raton, Florida.', 'A team of engineers and designers, led by Don Estridge from the IBM Entry Systems Division in Boca Raton, Florida, designed it.']","The creation of it was overseen by a group of engineers and designers, led by Don Estridge from the [MASK] Entry Systems Division in Boca Raton, Florida.","Don Estridge, an engineer and designer, led the team responsible for its creation from the [MASK] Entry Systems Division in Boca Raton, Florida.","It was designed and developed by a group of engineers and designers, with Don Estridge coming to the [MASK] Entry Systems Division in Boca Raton, Florida.","A team of engineers and designers, led by Don Estridge from the [MASK] Entry Systems Division in Boca Raton, Florida, designed it."
