,sub_label,template,obj_label,masked_sentence
0,Yves Mirande,[X] is [Y] citizen .,France,"Yves Mirande (Bagneux (Maine-et-Loire), Mai 8, 1876 – Paris, March 17, 1957) was a [MASK] screenwriter, director, actor, and producer."
1,Yves Mirande,[X] is [Y] citizen .,France,"Yves Mirande (Bagneux (Maine-et-Loire), Mai 8, 1876 – Paris, March 17, 1957) was a [MASK] screenwriter, director, actor, and producer."
2,August Gailit,[X] is [Y] citizen .,Estonia,Sangaste is also the birthplace of the [MASK] writer August Gailit (1891-1960) and Estonian opera singer Aarne Viisimaa (1898-1989).
3,August Gailit,[X] is [Y] citizen .,Estonia,Sangaste is also the birthplace of the Estonian writer August Gailit (1891-1960) and [MASK] opera singer Aarne Viisimaa (1898-1989).
4,Princess Elisabeth of Denmark,[X] is [Y] citizen .,Denmark,"Princess Elisabeth of [MASK], RE (Elisabeth Caroline-Mathilde Alexandrine Helena Olga Thyra Feodora Estrid Margrethe Désirée; born 8 May 1935 in Copenhagen) is the daughter of Hereditary Prince Knud and Hereditary Princess Caroline-Mathilde of Denmark, and is a first cousin of the present Danish monarch, Queen Margrethe II."
5,Princess Elisabeth of Denmark,[X] is [Y] citizen .,Denmark,"Princess Elisabeth of Denmark, RE (Elisabeth Caroline-Mathilde Alexandrine Helena Olga Thyra Feodora Estrid Margrethe Désirée; born 8 May 1935 in Copenhagen) is the daughter of Hereditary Prince Knud and Hereditary Princess Caroline-Mathilde of [MASK], and is a first cousin of the present Danish monarch, Queen Margrethe II."
6,Tue West,[X] is [Y] citizen .,Denmark,Tue West (born 1977) is a [MASK] composer.
7,Tue West,[X] is [Y] citizen .,Denmark,Tue West (born 1977) is a [MASK] composer.
8,Bertil Lindblad,[X] is [Y] citizen .,Sweden,"Bertil Lindblad (Örebro, 26 November 1895 – Saltsjöbaden, outside Stockholm, 25 June 1965) was a [MASK] astronomer."
9,Bertil Lindblad,[X] is [Y] citizen .,Sweden,"Bertil Lindblad (Örebro, 26 November 1895 – Saltsjöbaden, outside Stockholm, 25 June 1965) was a [MASK] astronomer."
10,Prafulla Chandra Ghosh,[X] is [Y] citizen .,India,"Prafulla Chandra Ghosh (Bengali: প্রফুল্ল চন্দ্র ঘোষ Prophullo Chôndro Ghosh) (1891–1983) was the first Chief Minister of West Bengal, [MASK]."
11,Prafulla Chandra Ghosh,[X] is [Y] citizen .,India,"Prafulla Chandra Ghosh (Bengali: প্রফুল্ল চন্দ্র ঘোষ Prophullo Chôndro Ghosh) (1891–1983) was the first Chief Minister of West Bengal, [MASK]."
12,Noriyasu Hirata,[X] is [Y] citizen .,Japan,"Noriyasu Hirata (平田 典靖 Hirata Noriyasu, born November 17, 1983) is a badminton player from [MASK]."
13,Noriyasu Hirata,[X] is [Y] citizen .,Japan,"Noriyasu Hirata (平田 典靖 Hirata Noriyasu, born November 17, 1983) is a badminton player from [MASK]."
14,Woodrow Lloyd,[X] is [Y] citizen .,Canada,"After Douglas left to lead the federal NDP in 1961, Woodrow Lloyd became premier and the first universal medical care plan in [MASK] was introduced."
15,Woodrow Lloyd,[X] is [Y] citizen .,Canada,"Bastedo employed the little-used power to reserve a bill (that is, withhold assent and send the bill to the Governor General of [MASK] who would grant assent only if the federal Cabinet agrees) proposed by Saskatchewan's Co-operative Commonwealth Federation government of Woodrow Lloyd in 1961."
16,Namadi Sambo,[X] is [Y] citizen .,Nigeria,Mohammed Namadi Sambo (born 2 August 1954) is a Nigerian politician who was Vice President of [MASK] from 19 May 2010 to 29 May 2015.
17,Namadi Sambo,[X] is [Y] citizen .,Nigeria,Mohammed Namadi Sambo (born 2 August 1954) is a Nigerian politician who was Vice President of [MASK] from 19 May 2010 to 29 May 2015.
18,Leif Sylvester Petersen,[X] is [Y] citizen .,Denmark,"Leif Sylvester Petersen, (born 18 April 1940) in Copenhagen, also known as Leif Sylvester, is a [MASK] painter, graphic artist, musician and actor."
19,Leif Sylvester Petersen,[X] is [Y] citizen .,Denmark,"Leif Sylvester Petersen, (born 18 April 1940) in Copenhagen, also known as Leif Sylvester, is a [MASK] painter, graphic artist, musician and actor."
20,John Landy,[X] is [Y] citizen .,Australia,"At the conclusion of the 1956 Melbourne Olympic Games, the Geelong City Council held a dinner on 15 January 1957 to honour the six Geelong Guild athletes (Ron Blackney, John Chittick, Robert James ""Bob"" Joyce, John Landy, Don MacMillan and John Vernon) who had represented Geelong and [MASK] at these games."
21,John Landy,[X] is [Y] citizen .,Australia,"During the dinner, where most of the neighbouring Cities and Shires were represented, John Landy made a speech on behalf of the honoured athletes, in which Landy compared overseas facilities available to athletes to those of [MASK]."
22,H. V. Evatt,[X] is [Y] citizen .,Australia,"Elizabeth Andreas Evatt, AC (born 11 November 1933), an eminent Australian reformist lawyer and jurist who sat on numerous national and international tribunals and commissions, was the first Chief Judge of the Family Court of [MASK], the first female judge of an Australian federal court, and the first Australian to be elected to the United Nations Human Rights Committee."
23,H. V. Evatt,[X] is [Y] citizen .,Australia,The incumbent Liberal Party of [MASK] led by Prime Minister of Australia Robert Menzies with coalition partner the Country Party led by Arthur Fadden defeated the Australian Labor Party led by Herbert Evatt.
24,"Humphrey Stafford, 1st Duke of Buckingham",[X] is [Y] citizen .,England,"Humphrey Stafford, 1st Duke of Buckingham (15 August 1402 – 10 July 1460) was an [MASK] nobleman."
25,"Humphrey Stafford, 1st Duke of Buckingham",[X] is [Y] citizen .,England,"Humphrey Stafford, 1st Duke of Buckingham (15 August 1402 – 10 July 1460) was an [MASK] nobleman."
26,Thomas Bo Larsen,[X] is [Y] citizen .,Denmark,"Thomas Bo Larsen (born 27 November 1963) is a [MASK] film actor, born in Gladsaxe, Denmark."
27,Thomas Bo Larsen,[X] is [Y] citizen .,Denmark,"Thomas Bo Larsen (born 27 November 1963) is a Danish film actor, born in Gladsaxe, [MASK]."
28,Daniela Iraschko-Stolz,[X] is [Y] citizen .,Austria,"[MASK] dominated the ski jumping, winning all five events: Thomas Morgenstern took three golds and one silver, Gregor Schlierenzauer won three golds, and Daniela Iraschko won the women's event."
29,Daniela Iraschko-Stolz,[X] is [Y] citizen .,Austria,In ladies' World cup Daniela Iraschko-Stolz won her first overall title and [MASK] won their first Nations cup.
