,sub_label,template,obj_label,masked_sentence
0,Akihiko Saito,[X] died in [Y] .,Iraq,"Akihiko Saito (斎藤昭彦 Saitō Akihiko, born January 5, 1961 in Tōkyō, Japan – captured May 8, 2005, died May 9, 2005 in [MASK]) was a Japanese security specialist adviser who was taken hostage by the Jaish Ansar al-Sunna in Iraq in 2005."
1,Akihiko Saito,[X] died in [Y] .,Iraq,"Akihiko Saito (斎藤昭彦 Saitō Akihiko, born January 5, 1961 in Tōkyō, Japan – captured May 8, 2005, died May 9, 2005 in Iraq) was a Japanese security specialist adviser who was taken hostage by the Jaish Ansar al-Sunna in [MASK] in 2005."
2,Laurel Aitken,[X] died in [Y] .,Leicester,"Fox also appeared later that year with members of The Riffs, his son Lawrence and Geno Blue of the Chelsea Punk Rock Allstars as The Ruts/ Riffs Allstars at a memorial concert for the late Laurel Aitken in [MASK], performing a short set of Ruts, Riffs and Laurel Aitken numbers."
3,Laurel Aitken,[X] died in [Y] .,Leicester,"Fox also appeared later that year with members of The Riffs, his son Lawrence and Geno Blue of the Chelsea Punk Rock Allstars as The Ruts/ Riffs Allstars at a memorial concert for the late Laurel Aitken in [MASK], performing a short set of Ruts, Riffs and Laurel Aitken numbers."
4,Salomon Sulzer,[X] died in [Y] .,Vienna,"From the age of 10 he sang in the choir of Salomon Sulzer, and in 1859 became an assistant cantor in Fünfhaus, one of the suburbs of [MASK] (now a part of Rudolfsheim-Fünfhaus, the 15th Viennese district); from 1863 to 1866 he was cantor at the Maisel Synagogue at Prague."
5,Salomon Sulzer,[X] died in [Y] .,Vienna,Henle was also influenced by the works of [MASK] cantor and composer Salomon Sulzer.
6,Michelangelo,[X] died in [Y] .,Rome,"As a young woman, Anguissola traveled to [MASK] where she was introduced to Michelangelo, who immediately recognized her talent, and to Milan, where she painted the Duke of Alba."
7,Michelangelo,[X] died in [Y] .,Rome,"He trained in his uncle's workshop in Genoa and moved to [MASK] about 1537, where he was very much influenced by Michelangelo."
8,Louis Vola,[X] died in [Y] .,Paris,"Louis Vola (La Seyne-sur-Mer, France, 6 July 1902 – 15 August 1990, [MASK]), was a French double-bassist famous for his work with the Quintette du Hot Club de France he is the godfather of the guitarist Francois Vola."
9,Louis Vola,[X] died in [Y] .,Paris,"Louis Vola (La Seyne-sur-Mer, France, 6 July 1902 – 15 August 1990, [MASK]), was a French double-bassist famous for his work with the Quintette du Hot Club de France he is the godfather of the guitarist Francois Vola."
