,sub_label,template,obj_label,masked_sentence
0,Azad Kashmir,The official language of [X] is [Y] .,Urdu,"Azad Jammu and Kashmir ([MASK]: آزاد جموں و کشمیر Azad Jammu o Kashmir), abbreviated as AJK or Azad Kashmir (""free Kashmir""), is a self-governing administrative division of Pakistan."
1,Azad Kashmir,The official language of [X] is [Y] .,Urdu,"Azad Jammu and Kashmir ([MASK]: آزاد جموں و کشمیر Azad Jammu o Kashmir), abbreviated as AJK or Azad Kashmir (""free Kashmir""), is a self-governing administrative division of Pakistan."
2,Padasjoki,The official language of [X] is [Y] .,Finnish,"Martti Johannes Suntela (3 January 1903, Padasjoki – 21 July 1999) was a [MASK] agronomist, farmer and politician."
3,Padasjoki,The official language of [X] is [Y] .,Finnish,"Oskar Alexander Napoleon Schultz (16 September 1855, Padasjoki - 10 March 1919) was a [MASK] engineer, civil servant and politician."
4,Alta Verapaz Department,The official language of [X] is [Y] .,Spanish,"The species is known as ""cana-do-rio"", ""cana-flecha"", ""cana-frecha"", ""ubá"" and ""cana-brava"" in Brazil, and ""caña brava"" in Peru, ""tañil"" in Cahabon, Alta Verapaz, Guatemala and other [MASK] speaking countries."
5,Alta Verapaz Department,The official language of [X] is [Y] .,Spanish,"The Chixoy Dam ([MASK]: Planta Hidroeléctrica Chixoy) is a reinforced concrete dam and power plant spanning the Chixoy River between the Departments of Baja Verapaz, El Quiché and Alta Verapaz, Guatemala."
6,French Polynesia,The official language of [X] is [Y] .,French,"Between 1946 and 2003, French Polynesia had the status of an overseas territory ([MASK]: territoire d'outre-mer, or TOM)."
7,French Polynesia,The official language of [X] is [Y] .,French,"French Polynesia (/ˈfrɛntʃ pɒlᵻˈniːʒə/; [MASK]: Polynésie française [pɔlinezi fʁɑ̃sɛz]; Tahitian: Pōrīnetia Farāni) is an overseas collectivity of the French Republic; collectivité d'outre-mer de la République française (COM), sometimes unofficially referred to as an overseas country; pays d'outre-mer (POM)."
8,Virrat,The official language of [X] is [Y] .,Finnish,Mika Petteri Polku (born 19 July 1975 in Virrat) is a retired [MASK] high jumper.
9,Virrat,The official language of [X] is [Y] .,Finnish,Lempi Maria Tuomi (28 August 1882 in Virrat - 24 March 1958) was a [MASK] seamstress and politician.
10,Brunei,The official language of [X] is [Y] .,Malay,"Brunei (/bruːˈnaɪ/, broo-NYE), officially the Nation of Brunei, the Abode of Peace ([MASK]: Negara Brunei Darussalam, Jawi: نڬارا بروني دارالسلام, Chinese: 文莱达鲁萨兰国), is a sovereign state located on the north coast of the island of Borneo in Southeast Asia."
11,Brunei,The official language of [X] is [Y] .,Malay,"Brunei (/bruːˈnaɪ/, broo-NYE), officially the Nation of Brunei, the Abode of Peace ([MASK]: Negara Brunei Darussalam, Jawi: نڬارا بروني دارالسلام, Chinese: 文莱达鲁萨兰国), is a sovereign state located on the north coast of the island of Borneo in Southeast Asia."
12,Uttar Pradesh,The official language of [X] is [Y] .,Urdu,"Badarka (Hindi: बदरका, [MASK]: بدرکا) is a small village in Unnao, India which is situated on the Kanpur Unnao road in the state of Uttar Pradesh."
13,Uttar Pradesh,The official language of [X] is [Y] .,Urdu,"Achhalda (Hindi: अछल्दा, [MASK]: اچھلدا) is a town and a nagar panchayat in Auraiya district in the Indian state of Uttar Pradesh."
14,European Union,The official language of [X] is [Y] .,Finnish,"Finland (/ˈfɪnlənd/; [MASK]: Suomi [suomi]; Swedish: Finland [ˈfɪnland]), officially the Republic of Finland, is a sovereign state in Europe."
15,European Union,The official language of [X] is [Y] .,Finnish,"The Uralic languages with the most native speakers are Hungarian, [MASK], and Estonian, which are official languages of Hungary, Finland, and Estonia, respectively, and of the European Union."
16,Wallonia,The official language of [X] is [Y] .,French,"Also in the late 1990s in the Walloon south of the country, [MASK] speaking/rapping Starflam was the biggest name in hip hop."
17,Wallonia,The official language of [X] is [Y] .,French,"Gustave de Molinari (3 March 1819 – 28 January 1912) was a political economist and classical liberal theorist born in Liège, in the Walloon region of Belgium, and was associated with [MASK] laissez-faire economists such as Frédéric Bastiat and Hippolyte Castille."
18,European Union,The official language of [X] is [Y] .,Slovene,It is the first language of about 2.1 million[citation needed] [MASK] people and is one of the 24 official and working languages of the European Union.
19,European Union,The official language of [X] is [Y] .,Slovene,"The general public may be interested in the list of volunteer experts who have expressed their willingness to answer email about their languages In Europe, the term Lesser-Used Languages (LULs) is used by the European Union (EU) bureaucracy for languages other than the 23 ""official"" Languages of the European Union: Bulgarian, Czech, Danish, Dutch, English, Estonian, Finnish, French, German, Greek, Hungarian, Irish, Italian, Latvian, Lithuanian, Maltese, Norwegian, Polish, Portuguese, Romanian, Slovak, [MASK], Spanish, and Swedish."
20,Haiti,The official language of [X] is [Y] .,French,"Haiti (/ˈheɪti/; [MASK]: Haïti [a.iti]; Haitian Creole: Ayiti [ajiti]), officially the Republic of Haiti (French: République d'Haïti; Haitian Creole: Repiblik Ayiti), is a sovereign state in the Western Hemisphere (North America)."
21,Haiti,The official language of [X] is [Y] .,French,"Haiti (/ˈheɪti/; French: Haïti [a.iti]; Haitian Creole: Ayiti [ajiti]), officially the Republic of Haiti ([MASK]: République d'Haïti; Haitian Creole: Repiblik Ayiti), is a sovereign state in the Western Hemisphere (North America)."
22,Union of South Africa,The official language of [X] is [Y] .,Dutch,"Willem Eduard Bok, Jr., (Pretoria, South African Republic 1 January 1880 – Pretoria, Union of South Africa, 29 October 1956) was a South African lawyer, statesman and judge of [MASK] descent."
23,Union of South Africa,The official language of [X] is [Y] .,Dutch,[MASK] was considered an official language in the Union of South Africa until 1961; it subsequently lost its synonymous status with Afrikaans in 1983 and Suid-Afrika is now the more common regional spelling.
24,Val d'Aran,The official language of [X] is [Y] .,Catalan,"It is the [MASK] referent of the Spanish Socialist Workers' Party (PSOE), and its Aranese section is Unity of Aran."
