,sub_label,template,obj_label,masked_sentence
0,Steve Jobs,[X] works for [Y] .,Apple,"[MASK] was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne on April 1, 1976, to develop and sell personal computers."
1,Steve Jobs,[X] works for [Y] .,Apple,"The Apple II (stylized as [MASK] ][) is an 8-bit home computer, one of the first highly successful mass-produced microcomputer products, designed primarily by Steve Wozniak (Steve Jobs oversaw the development of the Apple II's unusual case and Rod Holt developed the unique power supply)."
2,Steve Wozniak,[X] works for [Y] .,Apple,"[MASK] was founded by Steve Jobs, Steve Wozniak, and Ronald Wayne on April 1, 1976, to develop and sell personal computers."
3,Steve Wozniak,[X] works for [Y] .,Apple,"The Apple II series (trademarked with square brackets as ""[MASK] ]["" and rendered on later models as ""Apple //"") is a family of home computers, one of the first highly successful mass-produced microcomputer products, designed primarily by Steve Wozniak, manufactured by Apple Computer (now Apple Inc.)"
4,Paul Allen,[X] works for [Y] .,Microsoft,"In 1975, Gates and Paul Allen co-founded [MASK], which became the world's largest PC software company."
5,Paul Allen,[X] works for [Y] .,Microsoft,"[MASK] was founded by Paul Allen and Bill Gates on April 4, 1975, to develop and sell BASIC interpreters for Altair 8800."
6,Satya Nadella,[X] works for [Y] .,Microsoft,"He stepped down as Chairman of [MASK] in February 2014, taking on a new post as technology advisor to support newly appointed CEO Satya Nadella."
7,Satya Nadella,[X] works for [Y] .,Microsoft,"He led the search for [MASK]'s next CEO; as a result, Satya Nadella was selected."
8,Jeremy Paxman,[X] works for [Y] .,BBC,"The election was broadcast live on the [MASK], and presented by Jeremy Paxman, Andrew Marr, Peter Snow and David Dimbleby."
9,Jeremy Paxman,[X] works for [Y] .,BBC,"As with all general elections since the early 1950s, the results were broadcast live on the [MASK]; the presenters were David Dimbleby, Peter Snow and Jeremy Paxman."
10,Andrew Marr,[X] works for [Y] .,BBC,"The election was broadcast live on the [MASK], and presented by Jeremy Paxman, Andrew Marr, Peter Snow and David Dimbleby."
11,Andrew Marr,[X] works for [Y] .,BBC,Andrew Marr's History of Modern Britain is a 2007 [MASK] documentary television series presented by Andrew Marr that covers the period of British history from the end of the Second World War onwards.
12,David Dimbleby,[X] works for [Y] .,BBC,"The election was broadcast live on the [MASK], and presented by Jeremy Paxman, Andrew Marr, Peter Snow and David Dimbleby."
13,David Dimbleby,[X] works for [Y] .,BBC,"The election night was covered live on the [MASK], and presented by David Dimbleby, Peter Snow, and Robin Day."
14,Horst Feistel,[X] works for [Y] .,IBM,"Developed in the early 1970s at [MASK] and based on an earlier design by Horst Feistel, the algorithm was submitted to the National Bureau of Standards (NBS) following the agency's invitation to propose a candidate for the protection of sensitive, unclassified electronic government data."
15,Horst Feistel,[X] works for [Y] .,IBM,"In cryptography, a Feistel cipher is a symmetric structure used in the construction of block ciphers, named after the German-born physicist and cryptographer Horst Feistel who did pioneering research while working for [MASK] (USA); it is also commonly known as a Feistel network."
16,Bill Gates,[X] works for [Y] .,Microsoft,"[MASK] was founded by Paul Allen and Bill Gates on April 4, 1975, to develop and sell BASIC interpreters for Altair 8800."
17,Bill Gates,[X] works for [Y] .,Microsoft,"Paul Gardner Allen (born January 21, 1953) is an American businessman, philanthropist, investor, musician, and innovator, best known as the co-founder of [MASK], alongside Bill Gates."
18,Steve Ballmer,[X] works for [Y] .,Microsoft,"In late 2012, Gelsinger was named by industry analysts as a possible successor to Steve Ballmer as the CEO of [MASK]."
19,Steve Ballmer,[X] works for [Y] .,Microsoft,"In the popular viral video ""Steve Ballmer Going Crazy"", Steve Ballmer danced and screamed wildly to this song at a [MASK] employee convention."
20,Abdul Karim,[X] works for [Y] .,Victoria,"Upon his return from India, he also painted (in 1888 and 1889) two portraits of Abdul Karim (the Munshi), [MASK]'s favorite Indian servant."
21,Abdul Karim,[X] works for [Y] .,Victoria,"According to Bell-Smith, he followed the advice of a Canadian senator to approached Lord Clinton and Hafiz Abdul Karim about a sitting with the [MASK], but received discouraging replies from both men."
22,Marissa Mayer,[X] works for [Y] .,Google,"Marissa Mayer, a former [MASK] executive, serves as CEO and President of the company."
23,Marissa Mayer,[X] works for [Y] .,Google,"On July 16, former [MASK] executive Marissa Mayer, became the CEO of the company."
24,Dave Hyatt,[X] works for [Y] .,Apple,Mike Pinkerton had been the technical lead of the Camino project since Dave Hyatt moved to the Safari team at [MASK]
25,Dave Hyatt,[X] works for [Y] .,Apple,"Dave Hyatt (June 28, 1972) is an American Software Engineer employed by [MASK]"
26,Jeff Fager,[X] works for [Y] .,CBS,"On November 15, 2011, [MASK] announced the cancellation of The Early Show, and replacement by a new morning program that CBS News chairman Jeff Fager and president David Rhodes stated would ""redefine the morning television landscape."""
27,Jeff Fager,[X] works for [Y] .,CBS,"Jeff Fager (born December 10, 1954) is the former Chairman of CBS News and the current Executive Producer of 60 Minutes, the hour-long [MASK] news magazine created in 1968."
28,Stephen Elop,[X] works for [Y] .,Microsoft,"Stephen Elop, Nokia's former CEO, and several other executives joined the new Microsoft Mobile subsidiary of [MASK] as part of the deal, which was completed on April 25, 2014."
29,Stephen Elop,[X] works for [Y] .,Microsoft,"Stephen Elop (born 31 December 1963, in Canada) was the Executive Vice President of the [MASK] Devices Group business unit until 17 June 2015."
30,John Sculley,[X] works for [Y] .,Apple,"The term PDA was first used on January 7, 1992 by [MASK] CEO John Sculley at the Consumer Electronics Show in Las Vegas, Nevada, referring to the Apple Newton."
31,John Sculley,[X] works for [Y] .,Apple,"[MASK]'s then-chief executive officer (CEO) John Sculley started the PowerBook project in 1990, allocating $1 million for marketing."
32,Gerd Binnig,[X] works for [Y] .,IBM,"Its development in 1981 earned its inventors, Gerd Binnig and Heinrich Rohrer (at [MASK] Zürich), the Nobel Prize in Physics in 1986."
33,Gerd Binnig,[X] works for [Y] .,IBM,"In the same year, he started the [MASK] Physics group Munich, working on creativity and atomic force microscopy In 1994 Professor Gerd Binnig founded Definiens which turned in the year 2000 into a commercial enterprise."
34,Heinrich Rohrer,[X] works for [Y] .,IBM,"Its development in 1981 earned its inventors, Gerd Binnig and Heinrich Rohrer (at [MASK] Zürich), the Nobel Prize in Physics in 1986."
35,Heinrich Rohrer,[X] works for [Y] .,IBM,"In 1978, he accepted an offer from [MASK] to join their Zürich research group, where he worked with Heinrich Rohrer, Christoph Gerber and Edmund Weibel."
36,Satoru Iwata,[X] works for [Y] .,Nintendo,"[MASK]'s Satoru Iwata hired Sakurai, a long-time friend whom he had worked with at HAL Laboratory, to work on Super Smash Bros."
37,Satoru Iwata,[X] works for [Y] .,Nintendo,"When the project began to flounder, producer and later [MASK] president Satoru Iwata rescued the game."
38,Spike Milligan,[X] works for [Y] .,BBC,Dirk has the distinction of being the last [MASK] Light Entertainment Producer to direct Spike Milligan in a radio audience show at the BBC's legendary Paris Studio.
39,Spike Milligan,[X] works for [Y] .,BBC,Dirk has the distinction of being the last BBC Light Entertainment Producer to direct Spike Milligan in a radio audience show at the [MASK]'s legendary Paris Studio.
40,Danny Baker,[X] works for [Y] .,BBC,"He often works in partnership with fellow sports fan and radio journalist Danny Baker, who is also an NME alumnus, having broadcast in both local/national commercial and [MASK] radio."
41,Danny Baker,[X] works for [Y] .,BBC,"It was selected as [MASK] Drama Download of the Week and also featured on the Danny Baker Show (BBC Radio 5 Live), where Riley was heard discussing the merits of red or brown sauce during the Sausage Sandwich Game."
42,Jeremy Clarkson,[X] works for [Y] .,BBC,"Pierre Scerri is a French telecommunications engineer and model builder, who gained fame in 1998 after having his highly accurate 1:3 scale model of a Ferrari 312 PB featured on the [MASK] programme Jeremy Clarkson's Extreme Machines."
43,Jeremy Clarkson,[X] works for [Y] .,BBC,"In 1999 Coogan briefly presented [MASK] motoring programme Top Gear following the departure of former host Jeremy Clarkson, but left after a few months following a drink-driving conviction."
44,Peter Barron,[X] works for [Y] .,Google,"Peter Barron (born 1962) is a Northern Irish journalist and [MASK]'s head of communications for Europe, Middle East and Africa."
45,Peter Barron,[X] works for [Y] .,Google,"Peter Barron (born 1962) is a Northern Irish journalist and [MASK]'s head of communications for Europe, Middle East and Africa."
46,John Snagge,[X] works for [Y] .,BBC,"It is believed that he was born into a wealthy family, and was due to inherit a considerable sum when he attained the age of 30 years; his guardian was the [MASK] radio and television announcer John Snagge, according to a newspaper report of Wally's death."
47,John Snagge,[X] works for [Y] .,BBC,"Train was visiting the [MASK]'s chief announcer and news reader, John Snagge, when in came a bleary-eyed former army man, another friend of Snagge's."
48,Kenneth Wolstenholme,[X] works for [Y] .,BBC,"It is taken from Kenneth Wolstenholme's [MASK] TV commentary in the closing moments of the 1966 World Cup, where England beat West Germany 4-2 after extra time to win the FIFA World Cup."
49,Kenneth Wolstenholme,[X] works for [Y] .,BBC,"""They think it's all over"" is a quote from Kenneth Wolstenholme's [MASK] TV commentary in the closing moments of the 1966 FIFA World Cup Final, when England beat West Germany 4–2 after extra time to win the FIFA World Cup."
50,Terry Wogan,[X] works for [Y] .,BBC,"The song itself is an energetic dance number, with influences of the ethnic styles which have proven popular over recent years ([MASK] commentator Terry Wogan referred to the song as having ""a whiff of the souk"" about it)."
51,Terry Wogan,[X] works for [Y] .,BBC,"Written and composed by Australian-born band member Jane Comerford, the unusual choice of country as the genre resulted in [MASK] commentator Terry Wogan asking jokingly and with a rough approximation of the appropriate accent ""are we in Athens, Georgia?"""
52,Victoria Derbyshire,[X] works for [Y] .,BBC,"Carol Kirkwood (born 29 May 1962) is a Scottish weather presenter, trained by the Met Office, and employed by the [MASK], notably on BBC Breakfast and Victoria Derbyshire."
53,Victoria Derbyshire,[X] works for [Y] .,BBC,"Carol Kirkwood (born 29 May 1962) is a Scottish weather presenter, trained by the Met Office, and employed by the [MASK], notably on BBC Breakfast and Victoria Derbyshire."
54,Alistair Cooke,[X] works for [Y] .,BBC,"His work was hailed by, among others, New York Times columnist Russell Baker (in his book Good Times) and by essayist and [MASK] correspondent Alistair Cooke, who described O'Neill's coverage of the trials of Alger Hiss as ""incomparable"" in A Generation on Trial."
55,Alistair Cooke,[X] works for [Y] .,BBC,"During his tenure at WGBH Johnson also collaborated with Alistair Cooke on various Public TV programs and, occasionally, recorded Cooke's ""Letter From America"" for later broadcast on the [MASK]."
56,Dirk Maggs,[X] works for [Y] .,BBC,"In May 2013, Salis played the role of Sable, Sump, Clarence & Homeless man in a [MASK] radio adaptation of Neil Gaiman’s Neverwhere, adapted by Dirk Maggs."
57,Dirk Maggs,[X] works for [Y] .,BBC,"In May 2013, Glover played the roles of Lord Portico & Stockton in a [MASK] radio adaptation of Neil Gaiman’s Neverwhere, adapted by Dirk Maggs."
58,Bridget Kendall,[X] works for [Y] .,BBC,Bridget Kendall MBE (born 27 April 1956) is an English journalist who is the [MASK]'s Diplomatic correspondent working for the corporation's radio and television networks.
59,Bridget Kendall,[X] works for [Y] .,BBC,Bridget Kendall MBE (born 27 April 1956) is an English journalist who is the [MASK]'s Diplomatic correspondent working for the corporation's radio and television networks.
60,Huw Edwards,[X] works for [Y] .,BBC,"Huw Edwards is a fictional character from the [MASK] soap opera EastEnders, played by Richard Elis."
61,Huw Edwards,[X] works for [Y] .,BBC,"The programme is fronted by BBC News at Ten presenter Huw Edwards the [MASK]'s lead presenter for major breaking news from Monday to Thursday, Gavin Esler on Friday and various presenters on Saturday–Sunday."
62,Adam Curtis,[X] works for [Y] .,BBC,"The song ""Wait"" was featured in the film Children of Men (2006), while the song ""Monkey 23"" was featured in the film The Beat That My Heart Skipped (2005) and in Adam Curtis' [MASK] Documentary, ""All Watched Over by Machines of Loving Grace"" Part 1 (2011) while ""Cat Claw"" and ""Wait"" were both overheard in the Criminal Minds Season 3 episode, ""Doubt""."
63,Adam Curtis,[X] works for [Y] .,BBC,"The Mayfair Set, subtitled Four Stories about the Rise of Business and the Decline of Political Power, is a [MASK] television documentary series by filmmaker Adam Curtis."
64,Peter Alliss,[X] works for [Y] .,BBC,"Clark has since worked as a commentator for the [MASK] and CBS, and as a golf course architect, often alongside fellow BBC golf analyst Peter Alliss."
65,Peter Alliss,[X] works for [Y] .,BBC,"Clark has since worked as a commentator for the BBC and CBS, and as a golf course architect, often alongside fellow [MASK] golf analyst Peter Alliss."
66,Ken Loach,[X] works for [Y] .,BBC,Her television work began with Ken Loach's once controversial Up The Junction (1965) for the [MASK]'s Wednesday play series.
67,Ken Loach,[X] works for [Y] .,BBC,"The film followed Ken Loach's [MASK] TV adaptation of 1965, but returned to the original book."
68,Simon McCoy,[X] works for [Y] .,BBC,"Simon McCoy (born 7 October 1961) is a newsreader for the [MASK], and is a regular presenter on the rolling news channel BBC News between 2pm and 5pm."
69,Simon McCoy,[X] works for [Y] .,BBC,"Simon McCoy (born 7 October 1961) is a newsreader for the [MASK], and is a regular presenter on the rolling news channel BBC News between 2pm and 5pm."
70,Charles Simonyi,[X] works for [Y] .,Microsoft,"The owner is Charles Simonyi, a former Software Engineer from [MASK] and the fifth space tourist."
71,Charles Simonyi,[X] works for [Y] .,Microsoft,"The Intentional Programming was developed by former [MASK] chief architect Charles Simonyi, who led a team in Microsoft Research which developed the paradigm and built an integrated development environment (IDE) called IP (for Intentional Programming) that demonstrated the paradigm."
72,Roly Keating,[X] works for [Y] .,BBC,"Roly Keating of the [MASK] described it as ""one of the great television talk formats of all time"" and the Daily Mail as ""the most intelligent, thought-provoking and interesting programme ever to have been on television""."
73,Roly Keating,[X] works for [Y] .,BBC,"[MASK] controller of arts commissioning Roly Keating defended the move, saying ""the documentary strand will be able to tackle a wider range of subjects."""
74,Glenda Jackson,[X] works for [Y] .,BBC,"Leading an all-star cast are Vanessa Redgrave as the titular character and Glenda Jackson as Elizabeth I. Jackson had previously played the part of Elizabeth in the [MASK] TV drama Elizabeth R, screened in February and March 1971, the first episode of which was also written by Hale."
75,Glenda Jackson,[X] works for [Y] .,BBC,"After leaving RADA with a Gold Medal, she was snapped up by the film director Herbert Wilcox, who gave her a seven-year contract and a leading role in The Courtneys of Curzon Street (1947) and she played major screen parts in dozens of television dramas and novel adaptations, including the role of Queen Mary I in the 1971 [MASK] TV serial Elizabeth R opposite Glenda Jackson."
76,David Frost,[X] works for [Y] .,BBC,Breakfast with Frost was a Sunday morning [MASK] current affairs programme hosted by Sir David Frost.
77,David Frost,[X] works for [Y] .,BBC,She covered the 2008 presidential election for the CBS Early Show and gives frequent commentary on the [MASK] and Sir David Frost’s Frost Over The World.
78,Gwen Ifill,[X] works for [Y] .,PBS,"The IOP also has a full-time staff, an advisory committee of Harvard students, and an advisory board including Caroline Kennedy, former US Secretary of Labor Elaine Chao, former Senator Chuck Hagel (R-NE), former Senator John Culver (D-IA) and Congressman William Delahunt (D-MA), former White House Chief of Staff Kenneth Duberstein, former congressman Phil Sharp (D-IN), [MASK] correspondent Gwen Ifill, New York Times executive Rick Berke, and former advisor to President Kennedy Milton Gwirtzman."
79,Gwen Ifill,[X] works for [Y] .,PBS,"Louis, and was moderated by [MASK] journalist Gwen Ifill."
80,Craig Mundie,[X] works for [Y] .,Microsoft,"It was demonstrated on 18 July 2006 by Hugh Teegan, a Mobile Devices architect at [MASK] focusing on emerging markets, and at Microsoft's Financial Analyst Meeting on 27 July 2006, by Chief Research and Strategy Officer Craig Mundie."
