,sub_label,template,obj_label,masked_sentence
0,Akihiko Saito,[X] died in [Y] .,Iraq,"Akihiko Saito (斎藤昭彦 Saitō Akihiko, born January 5, 1961 in Tōkyō, Japan – captured May 8, 2005, died May 9, 2005 in [MASK]) was a Japanese security specialist adviser who was taken hostage by the Jaish Ansar al-Sunna in Iraq in 2005."
4,Charles Nodier,[X] died in [Y] .,Paris,It is usually said that he studied in [MASK] with Charles Nodier.
5,Jack Laurence Chalker,[X] died in [Y] .,Baltimore,"The first edition, entitled The Languages of Middle-earth, was published in 1974 by Mirage Press, [MASK]."
6,Laurel Aitken,[X] died in [Y] .,Leicester,"Fox also appeared later that year with members of The Riffs, his son Lawrence and Geno Blue of the Chelsea Punk Rock Allstars as The Ruts/ Riffs Allstars at a memorial concert for the late Laurel Aitken in [MASK], performing a short set of Ruts, Riffs and Laurel Aitken numbers."
8,Georgios Roilos,[X] died in [Y] .,Athens,"He studied painting at the [MASK] School of Fine Arts with teachers such as Nikiphoros Lytras and Konstantinos Volanakis, Georgios Roilos and Dimitrios Geraniotis."
9,Salomon Sulzer,[X] died in [Y] .,Vienna,"From the age of 10 he sang in the choir of Salomon Sulzer, and in 1859 became an assistant cantor in Fünfhaus, one of the suburbs of [MASK] (now a part of Rudolfsheim-Fünfhaus, the 15th Viennese district); from 1863 to 1866 he was cantor at the Maisel Synagogue at Prague."
11,Michelangelo,[X] died in [Y] .,Rome,"As a young woman, Anguissola traveled to [MASK] where she was introduced to Michelangelo, who immediately recognized her talent, and to Milan, where she painted the Duke of Alba."
53,Louis Vola,[X] died in [Y] .,Paris,"Louis Vola (La Seyne-sur-Mer, France, 6 July 1902 – 15 August 1990, [MASK]), was a French double-bassist famous for his work with the Quintette du Hot Club de France he is the godfather of the guitarist Francois Vola."
55,Mark Lothar,[X] died in [Y] .,Munich,"Mark Lothar [ló:tar] (born Lothar Hundertmark, 23 May 1902, Berlin – 6 April 1985, [MASK]) was a German composer."
57,Friedrich August Theodor Winnecke,[X] died in [Y] .,Bonn,"Jean Louis Pons (Marseille) originally discovered the comet on June 12, 1819, it was later rediscovered by Friedrich August Theodor Winnecke ([MASK]) on March 9, 1858."
60,James Northcote,[X] died in [Y] .,London,James Northcote RA (Plymouth 22 October 1746 – 13 July 1831 [MASK]) was an English painter.
63,Christian Heinrich Postel,[X] died in [Y] .,Hamburg,"Christian Heinrich Postel (11 October 1658 – 22 March 1705) was a German jurist, epic poet and opera librettist, who wrote 28 libretti for the Oper am Gänsemarkt in [MASK], set by composers such as Johann Philipp Förtsch, Reinhard Keiser and Georg Philipp Telemann."
65,Fredrik Idestam,[X] died in [Y] .,Helsinki,"Knut Fredrik Idestam (28 October 1838, Tyrväntö, Grand Duchy of Finland – 8 April 1916, [MASK], Grand Duchy of Finland) was a Finnish mining engineer and businessman, best known as a co-founder of Nokia."
68,Santiago Carrillo,[X] died in [Y] .,Madrid,"After the resignation of Santiago Carrillo as General Secretary of PCE and the election of Gerardo Iglesias due to poor results in the 1982 elections, Frutos transferred to [MASK] to work within the Structures of the Central Committee of the PCE."
69,Pierre Cartellier,[X] died in [Y] .,Paris,"In 1809 he went to [MASK] from the Dijon school of art, and became a pupil of Pierre Cartellier, obtaining the Grand Prix de Rome in 1812."
78,Isaac Boleslavsky,[X] died in [Y] .,Minsk,"Isaac Yefremovich Boleslavsky (Ukrainian: Ісаак Єфремович Болеславський, Исаак Ефремович Болеславский; June 9, 1919 Zolotonosha, Ukraine – February 15, 1977 [MASK]) was a Soviet chess Grandmaster."
