,answers,original,t5_0,t5_1,t5_2,t5_3
0,alexandra,"[{'token': 'melbourne', 'score': 0.439}, {'token': 'sydney', 'score': 0.306}, {'token': 'brisbane', 'score': 0.058}, {'token': 'adelaide', 'score': 0.053}, {'token': 'perth', 'score': 0.051}, {'token': 'canberra', 'score': 0.018}, {'token': 'victoria', 'score': 0.012}, {'token': 'geelong', 'score': 0.011}, {'token': 'queensland', 'score': 0.006}, {'token': 'tasmania', 'score': 0.003}, {'token': 'hobart', 'score': 0.002}, {'token': 'newcastle', 'score': 0.002}, {'token': 'ipswich', 'score': 0.002}, {'token': 'townsville', 'score': 0.001}, {'token': 'griffith', 'score': 0.001}]","[{'token': 'melbourne', 'score': 0.335}, {'token': 'sydney', 'score': 0.275}, {'token': 'victoria', 'score': 0.129}, {'token': 'queensland', 'score': 0.086}, {'token': 'brisbane', 'score': 0.052}, {'token': 'perth', 'score': 0.033}, {'token': 'adelaide', 'score': 0.033}, {'token': 'canberra', 'score': 0.016}, {'token': 'tasmania', 'score': 0.009}, {'token': 'geelong', 'score': 0.005}, {'token': 'australia', 'score': 0.005}, {'token': 'nsw', 'score': 0.003}, {'token': 'tasmanian', 'score': 0.001}, {'token': 'newcastle', 'score': 0.001}, {'token': 'victorian', 'score': 0.001}]","[{'token': 'melbourne', 'score': 0.439}, {'token': 'sydney', 'score': 0.328}, {'token': 'brisbane', 'score': 0.06}, {'token': 'perth', 'score': 0.046}, {'token': 'adelaide', 'score': 0.046}, {'token': 'canberra', 'score': 0.015}, {'token': 'victoria', 'score': 0.015}, {'token': 'geelong', 'score': 0.008}, {'token': 'queensland', 'score': 0.008}, {'token': 'tasmania', 'score': 0.003}, {'token': 'newcastle', 'score': 0.002}, {'token': 'hobart', 'score': 0.002}, {'token': 'australia', 'score': 0.001}, {'token': 'ipswich', 'score': 0.001}, {'token': 'townsville', 'score': 0.001}]","[{'token': 'melbourne', 'score': 0.471}, {'token': 'sydney', 'score': 0.32}, {'token': 'brisbane', 'score': 0.042}, {'token': 'perth', 'score': 0.038}, {'token': 'adelaide', 'score': 0.036}, {'token': 'victoria', 'score': 0.027}, {'token': 'canberra', 'score': 0.014}, {'token': 'queensland', 'score': 0.013}, {'token': 'geelong', 'score': 0.008}, {'token': 'tasmania', 'score': 0.003}, {'token': 'australia', 'score': 0.002}, {'token': 'newcastle', 'score': 0.001}, {'token': 'hobart', 'score': 0.001}, {'token': 'ipswich', 'score': 0.001}, {'token': 'townsville', 'score': 0.001}]","[{'token': 'melbourne', 'score': 0.425}, {'token': 'sydney', 'score': 0.283}, {'token': 'perth', 'score': 0.062}, {'token': 'brisbane', 'score': 0.06}, {'token': 'adelaide', 'score': 0.05}, {'token': 'canberra', 'score': 0.021}, {'token': 'victoria', 'score': 0.017}, {'token': 'geelong', 'score': 0.016}, {'token': 'queensland', 'score': 0.011}, {'token': 'tasmania', 'score': 0.004}, {'token': 'newcastle', 'score': 0.003}, {'token': 'griffith', 'score': 0.003}, {'token': 'ipswich', 'score': 0.003}, {'token': 'hobart', 'score': 0.002}, {'token': 'townsville', 'score': 0.002}]"
1,doncaster,"[{'token': 'own', 'score': 0.241}, {'token': 'previous', 'score': 0.188}, {'token': 'old', 'score': 0.145}, {'token': 'former', 'score': 0.126}, {'token': 'home', 'score': 0.077}, {'token': 'original', 'score': 0.035}, {'token': 'local', 'score': 0.016}, {'token': 'parliamentary', 'score': 0.015}, {'token': 'earlier', 'score': 0.015}, {'token': 'constituency', 'score': 0.012}, {'token': 'new', 'score': 0.006}, {'token': 'birmingham', 'score': 0.004}, {'token': 'last', 'score': 0.003}, {'token': 'county', 'score': 0.003}, {'token': 'native', 'score': 0.003}]","[{'token': 'own', 'score': 0.548}, {'token': 'old', 'score': 0.053}, {'token': 'former', 'score': 0.043}, {'token': 'parliamentary', 'score': 0.039}, {'token': 'previous', 'score': 0.03}, {'token': 'home', 'score': 0.028}, {'token': 'new', 'score': 0.02}, {'token': 'original', 'score': 0.02}, {'token': 'constituency', 'score': 0.017}, {'token': 'local', 'score': 0.011}, {'token': 'birmingham', 'score': 0.007}, {'token': 'earlier', 'score': 0.007}, {'token': 'first', 'score': 0.005}, {'token': 'county', 'score': 0.005}, {'token': 'london', 'score': 0.003}]","[{'token': 'own', 'score': 0.699}, {'token': 'old', 'score': 0.039}, {'token': 'former', 'score': 0.027}, {'token': 'home', 'score': 0.025}, {'token': 'previous', 'score': 0.023}, {'token': 'parliamentary', 'score': 0.021}, {'token': 'constituency', 'score': 0.014}, {'token': 'local', 'score': 0.011}, {'token': 'birmingham', 'score': 0.008}, {'token': 'original', 'score': 0.008}, {'token': 'london', 'score': 0.005}, {'token': 'county', 'score': 0.004}, {'token': 'earlier', 'score': 0.004}, {'token': 'new', 'score': 0.003}, {'token': 'westminster', 'score': 0.003}]","[{'token': 'own', 'score': 0.65}, {'token': 'parliamentary', 'score': 0.038}, {'token': 'previous', 'score': 0.036}, {'token': 'old', 'score': 0.032}, {'token': 'former', 'score': 0.031}, {'token': 'home', 'score': 0.028}, {'token': 'constituency', 'score': 0.017}, {'token': 'local', 'score': 0.017}, {'token': 'birmingham', 'score': 0.009}, {'token': 'original', 'score': 0.009}, {'token': 'london', 'score': 0.005}, {'token': 'new', 'score': 0.004}, {'token': 'county', 'score': 0.004}, {'token': 'earlier', 'score': 0.004}, {'token': 'westminster', 'score': 0.003}]",
2,scotland,"[{'token': 'australian', 'score': 0.311}, {'token': 'canadian', 'score': 0.179}, {'token': 'american', 'score': 0.12}, {'token': 'folk', 'score': 0.055}, {'token': 'english', 'score': 0.053}, {'token': 'british', 'score': 0.048}, {'token': 'irish', 'score': 0.035}, {'token': 'scottish', 'score': 0.022}, {'token': 'welsh', 'score': 0.016}, {'token': 'jazz', 'score': 0.016}, {'token': 'the', 'score': 0.015}, {'token': 'blues', 'score': 0.013}, {'token': 'rock', 'score': 0.01}, {'token': 'electronic', 'score': 0.004}, {'token': 'country', 'score': 0.004}]","[{'token': 'toronto', 'score': 0.035}, {'token': 'london', 'score': 0.031}, {'token': 'australia', 'score': 0.03}, {'token': 'canada', 'score': 0.028}, {'token': 'sydney', 'score': 0.021}, {'token': 'melbourne', 'score': 0.02}, {'token': 'england', 'score': 0.018}, {'token': 'scotland', 'score': 0.016}, {'token': 'jamaica', 'score': 0.016}, {'token': 'montreal', 'score': 0.016}, {'token': 'ireland', 'score': 0.016}, {'token': 'ottawa', 'score': 0.013}, {'token': 'boston', 'score': 0.011}, {'token': 'brisbane', 'score': 0.01}, {'token': 'wales', 'score': 0.009}]",,"[{'token': 'australia', 'score': 0.097}, {'token': 'england', 'score': 0.052}, {'token': 'london', 'score': 0.043}, {'token': 'sydney', 'score': 0.035}, {'token': 'melbourne', 'score': 0.034}, {'token': 'scotland', 'score': 0.026}, {'token': 'ireland', 'score': 0.026}, {'token': 'jamaica', 'score': 0.025}, {'token': 'canada', 'score': 0.023}, {'token': 'toronto', 'score': 0.016}, {'token': 'manchester', 'score': 0.015}, {'token': 'wales', 'score': 0.014}, {'token': 'brisbane', 'score': 0.013}, {'token': 'tasmania', 'score': 0.013}, {'token': 'texas', 'score': 0.013}]","[{'token': 'australia', 'score': 0.049}, {'token': 'london', 'score': 0.041}, {'token': 'ireland', 'score': 0.034}, {'token': 'england', 'score': 0.028}, {'token': 'jamaica', 'score': 0.022}, {'token': 'canada', 'score': 0.02}, {'token': 'uk', 'score': 0.018}, {'token': 'scotland', 'score': 0.016}, {'token': 'reggae', 'score': 0.01}, {'token': 'liverpool', 'score': 0.009}, {'token': 'india', 'score': 0.008}, {'token': 'chicago', 'score': 0.007}, {'token': 'sydney', 'score': 0.007}, {'token': 'britain', 'score': 0.007}, {'token': 'it', 'score': 0.006}]"
3,toronto,"[{'token': 'jazz', 'score': 0.386}, {'token': 'america', 'score': 0.28}, {'token': 'canada', 'score': 0.105}, {'token': 'today', 'score': 0.07}, {'token': 'chicago', 'score': 0.015}, {'token': 'music', 'score': 0.014}, {'token': 'australia', 'score': 0.01}, {'token': 'nyc', 'score': 0.009}, {'token': 'country', 'score': 0.006}, {'token': 'europe', 'score': 0.005}, {'token': 'california', 'score': 0.005}, {'token': 'rock', 'score': 0.004}, {'token': 'hollywood', 'score': 0.003}, {'token': 'israel', 'score': 0.003}, {'token': 'nashville', 'score': 0.003}]","[{'token': 'chicago', 'score': 0.152}, {'token': 'jazz', 'score': 0.129}, {'token': 'philadelphia', 'score': 0.042}, {'token': 'nashville', 'score': 0.027}, {'token': 'pittsburgh', 'score': 0.019}, {'token': 'nyc', 'score': 0.017}, {'token': 'cleveland', 'score': 0.015}, {'token': 'seattle', 'score': 0.015}, {'token': 'concert', 'score': 0.013}, {'token': 'california', 'score': 0.013}, {'token': 'boston', 'score': 0.011}, {'token': 'minnesota', 'score': 0.011}, {'token': 'texas', 'score': 0.011}, {'token': 'toronto', 'score': 0.011}, {'token': 'america', 'score': 0.009}]",,"[{'token': 'jazz', 'score': 0.535}, {'token': 'chicago', 'score': 0.052}, {'token': 'music', 'score': 0.05}, {'token': 'nashville', 'score': 0.033}, {'token': 'europe', 'score': 0.021}, {'token': 'canada', 'score': 0.018}, {'token': 'america', 'score': 0.015}, {'token': 'nyc', 'score': 0.011}, {'token': 'hollywood', 'score': 0.009}, {'token': 'japan', 'score': 0.009}, {'token': 'seattle', 'score': 0.008}, {'token': 'toronto', 'score': 0.008}, {'token': 'concert', 'score': 0.008}, {'token': 'philadelphia', 'score': 0.007}, {'token': 'california', 'score': 0.007}]","[{'token': 'jazz', 'score': 0.445}, {'token': 'chicago', 'score': 0.117}, {'token': 'america', 'score': 0.067}, {'token': 'canada', 'score': 0.053}, {'token': 'today', 'score': 0.043}, {'token': 'nashville', 'score': 0.024}, {'token': 'rock', 'score': 0.023}, {'token': 'country', 'score': 0.015}, {'token': 'hollywood', 'score': 0.011}, {'token': 'seattle', 'score': 0.01}, {'token': 'music', 'score': 0.009}, {'token': 'california', 'score': 0.008}, {'token': 'boston', 'score': 0.008}, {'token': 'philadelphia', 'score': 0.007}, {'token': 'broadway', 'score': 0.006}]"
4,vienna,"[{'token': 'vienna', 'score': 0.831}, {'token': 'graz', 'score': 0.077}, {'token': 'innsbruck', 'score': 0.033}, {'token': 'salzburg', 'score': 0.023}, {'token': 'munich', 'score': 0.006}, {'token': 'austria', 'score': 0.005}, {'token': 'wien', 'score': 0.005}, {'token': 'budapest', 'score': 0.003}, {'token': 'prague', 'score': 0.001}, {'token': 'zagreb', 'score': 0.001}, {'token': 'berlin', 'score': 0.001}, {'token': 'trieste', 'score': 0.001}, {'token': 'dresden', 'score': 0.001}, {'token': 'stuttgart', 'score': 0.001}, {'token': 'wiener', 'score': 0.001}]","[{'token': 'vienna', 'score': 0.513}, {'token': 'graz', 'score': 0.135}, {'token': 'innsbruck', 'score': 0.063}, {'token': 'salzburg', 'score': 0.031}, {'token': 'munich', 'score': 0.02}, {'token': 'wien', 'score': 0.017}, {'token': 'austria', 'score': 0.012}, {'token': 'budapest', 'score': 0.012}, {'token': 'brno', 'score': 0.007}, {'token': 'prague', 'score': 0.007}, {'token': 'dresden', 'score': 0.006}, {'token': 'bratislava', 'score': 0.005}, {'token': 'ljubljana', 'score': 0.005}, {'token': 'berlin', 'score': 0.004}, {'token': 'essen', 'score': 0.003}]","[{'token': 'vienna', 'score': 0.813}, {'token': 'graz', 'score': 0.047}, {'token': 'salzburg', 'score': 0.031}, {'token': 'munich', 'score': 0.015}, {'token': 'innsbruck', 'score': 0.013}, {'token': 'austria', 'score': 0.01}, {'token': 'budapest', 'score': 0.009}, {'token': 'prague', 'score': 0.007}, {'token': 'wien', 'score': 0.005}, {'token': 'berlin', 'score': 0.005}, {'token': 'dresden', 'score': 0.003}, {'token': 'cologne', 'score': 0.002}, {'token': 'zurich', 'score': 0.002}, {'token': 'stuttgart', 'score': 0.002}, {'token': 'trieste', 'score': 0.001}]","[{'token': 'vienna', 'score': 0.857}, {'token': 'graz', 'score': 0.064}, {'token': 'salzburg', 'score': 0.02}, {'token': 'innsbruck', 'score': 0.015}, {'token': 'munich', 'score': 0.007}, {'token': 'austria', 'score': 0.007}, {'token': 'wien', 'score': 0.005}, {'token': 'budapest', 'score': 0.003}, {'token': 'prague', 'score': 0.002}, {'token': 'berlin', 'score': 0.001}, {'token': 'trieste', 'score': 0.001}, {'token': 'dresden', 'score': 0.001}, {'token': 'zagreb', 'score': 0.001}, {'token': 'stuttgart', 'score': 0.001}, {'token': 'wiener', 'score': 0.001}]","[{'token': 'vienna', 'score': 0.517}, {'token': 'munich', 'score': 0.06}, {'token': 'berlin', 'score': 0.058}, {'token': 'graz', 'score': 0.031}, {'token': 'prague', 'score': 0.019}, {'token': 'hamburg', 'score': 0.018}, {'token': 'cologne', 'score': 0.016}, {'token': 'salzburg', 'score': 0.015}, {'token': 'budapest', 'score': 0.015}, {'token': 'zurich', 'score': 0.013}, {'token': 'stuttgart', 'score': 0.012}, {'token': 'austria', 'score': 0.012}, {'token': 'dresden', 'score': 0.012}, {'token': 'innsbruck', 'score': 0.009}, {'token': 'frankfurt', 'score': 0.008}]"
5,paris,"[{'token': 'paris', 'score': 0.685}, {'token': 'lyon', 'score': 0.04}, {'token': 'marseille', 'score': 0.032}, {'token': 'bordeaux', 'score': 0.026}, {'token': 'versailles', 'score': 0.019}, {'token': 'metz', 'score': 0.012}, {'token': 'toulouse', 'score': 0.011}, {'token': 'nantes', 'score': 0.01}, {'token': 'nice', 'score': 0.009}, {'token': 'nancy', 'score': 0.008}, {'token': 'lille', 'score': 0.008}, {'token': 'strasbourg', 'score': 0.007}, {'token': 'toulon', 'score': 0.007}, {'token': 'brussels', 'score': 0.006}, {'token': 'rouen', 'score': 0.006}]","[{'token': 'paris', 'score': 0.71}, {'token': 'france', 'score': 0.047}, {'token': 'lyon', 'score': 0.036}, {'token': 'marseille', 'score': 0.024}, {'token': 'bordeaux', 'score': 0.016}, {'token': 'montreal', 'score': 0.01}, {'token': 'toulouse', 'score': 0.01}, {'token': 'nantes', 'score': 0.008}, {'token': 'versailles', 'score': 0.007}, {'token': 'metz', 'score': 0.007}, {'token': 'nice', 'score': 0.007}, {'token': 'strasbourg', 'score': 0.006}, {'token': 'nancy', 'score': 0.006}, {'token': 'geneva', 'score': 0.005}, {'token': 'orleans', 'score': 0.004}]","[{'token': 'paris', 'score': 0.342}, {'token': 'lyon', 'score': 0.063}, {'token': 'marseille', 'score': 0.056}, {'token': 'montreal', 'score': 0.035}, {'token': 'france', 'score': 0.03}, {'token': 'nice', 'score': 0.022}, {'token': 'laval', 'score': 0.02}, {'token': 'versailles', 'score': 0.019}, {'token': 'toulouse', 'score': 0.018}, {'token': 'nantes', 'score': 0.016}, {'token': 'bordeaux', 'score': 0.016}, {'token': 'nancy', 'score': 0.014}, {'token': 'metz', 'score': 0.012}, {'token': 'geneva', 'score': 0.012}, {'token': 'lausanne', 'score': 0.011}]","[{'token': 'montreal', 'score': 0.147}, {'token': 'quebec', 'score': 0.071}, {'token': 'paris', 'score': 0.028}, {'token': 'local', 'score': 0.02}, {'token': 'lyon', 'score': 0.016}, {'token': 'french', 'score': 0.014}, {'token': 'ottawa', 'score': 0.013}, {'token': 'laval', 'score': 0.013}, {'token': 'canton', 'score': 0.012}, {'token': 'france', 'score': 0.011}, {'token': 'luxembourg', 'score': 0.011}, {'token': 'town', 'score': 0.009}, {'token': 'maine', 'score': 0.009}, {'token': 'lafayette', 'score': 0.008}, {'token': 'lausanne', 'score': 0.007}]","[{'token': 'paris', 'score': 0.685}, {'token': 'bordeaux', 'score': 0.035}, {'token': 'france', 'score': 0.029}, {'token': 'here', 'score': 0.025}, {'token': 'there', 'score': 0.024}, {'token': 'versailles', 'score': 0.02}, {'token': 'lyon', 'score': 0.02}, {'token': 'marseille', 'score': 0.019}, {'token': 'toulouse', 'score': 0.01}, {'token': 'metz', 'score': 0.009}, {'token': 'in', 'score': 0.009}, {'token': 'toulon', 'score': 0.005}, {'token': 'strasbourg', 'score': 0.004}, {'token': 'nantes', 'score': 0.003}, {'token': 'nice', 'score': 0.003}]"
6,yokohama,"[{'token': 'tokyo', 'score': 0.787}, {'token': 'osaka', 'score': 0.085}, {'token': 'kobe', 'score': 0.018}, {'token': 'hokkaido', 'score': 0.016}, {'token': 'kyoto', 'score': 0.015}, {'token': 'yokohama', 'score': 0.01}, {'token': 'chiba', 'score': 0.009}, {'token': 'nagoya', 'score': 0.008}, {'token': 'japan', 'score': 0.008}, {'token': 'okinawa', 'score': 0.008}, {'token': 'hiroshima', 'score': 0.006}, {'token': 'fukuoka', 'score': 0.006}, {'token': 'nara', 'score': 0.005}, {'token': 'nagasaki', 'score': 0.003}, {'token': 'kochi', 'score': 0.001}]","[{'token': 'tokyo', 'score': 0.797}, {'token': 'osaka', 'score': 0.058}, {'token': 'japan', 'score': 0.023}, {'token': 'kyoto', 'score': 0.018}, {'token': 'hokkaido', 'score': 0.016}, {'token': 'yokohama', 'score': 0.015}, {'token': 'kobe', 'score': 0.011}, {'token': 'okinawa', 'score': 0.01}, {'token': 'nagoya', 'score': 0.007}, {'token': 'hiroshima', 'score': 0.007}, {'token': 'chiba', 'score': 0.006}, {'token': 'fukuoka', 'score': 0.004}, {'token': 'nagasaki', 'score': 0.003}, {'token': 'seoul', 'score': 0.002}, {'token': 'nara', 'score': 0.002}]","[{'token': 'tokyo', 'score': 0.544}, {'token': 'osaka', 'score': 0.099}, {'token': 'japan', 'score': 0.093}, {'token': 'kyoto', 'score': 0.04}, {'token': 'yokohama', 'score': 0.022}, {'token': 'kobe', 'score': 0.02}, {'token': 'fukuoka', 'score': 0.019}, {'token': 'seoul', 'score': 0.017}, {'token': 'nagoya', 'score': 0.015}, {'token': 'hokkaido', 'score': 0.011}, {'token': 'hiroshima', 'score': 0.01}, {'token': 'okinawa', 'score': 0.009}, {'token': 'taiwan', 'score': 0.007}, {'token': 'hawaii', 'score': 0.006}, {'token': 'chiba', 'score': 0.006}]","[{'token': 'tokyo', 'score': 0.763}, {'token': 'osaka', 'score': 0.087}, {'token': 'kyoto', 'score': 0.023}, {'token': 'kobe', 'score': 0.016}, {'token': 'yokohama', 'score': 0.014}, {'token': 'hokkaido', 'score': 0.013}, {'token': 'japan', 'score': 0.013}, {'token': 'okinawa', 'score': 0.009}, {'token': 'nagoya', 'score': 0.008}, {'token': 'hiroshima', 'score': 0.008}, {'token': 'chiba', 'score': 0.006}, {'token': 'fukuoka', 'score': 0.005}, {'token': 'nagasaki', 'score': 0.004}, {'token': 'seoul', 'score': 0.004}, {'token': 'nara', 'score': 0.003}]","[{'token': 'tokyo', 'score': 0.778}, {'token': 'osaka', 'score': 0.08}, {'token': 'hokkaido', 'score': 0.02}, {'token': 'kyoto', 'score': 0.017}, {'token': 'kobe', 'score': 0.015}, {'token': 'yokohama', 'score': 0.014}, {'token': 'okinawa', 'score': 0.011}, {'token': 'nagoya', 'score': 0.009}, {'token': 'chiba', 'score': 0.009}, {'token': 'japan', 'score': 0.008}, {'token': 'hiroshima', 'score': 0.007}, {'token': 'fukuoka', 'score': 0.007}, {'token': 'nara', 'score': 0.003}, {'token': 'nagasaki', 'score': 0.003}, {'token': 'seoul', 'score': 0.001}]"
7,antwerp,"[{'token': 'paris', 'score': 0.057}, {'token': 'died', 'score': 0.036}, {'token': 'amsterdam', 'score': 0.036}, {'token': '-', 'score': 0.035}, {'token': 'holland', 'score': 0.033}, {'token': 'hague', 'score': 0.028}, {'token': 'brussels', 'score': 0.02}, {'token': 'london', 'score': 0.018}, {'token': '?', 'score': 0.014}, {'token': ')', 'score': 0.012}, {'token': 'leiden', 'score': 0.011}, {'token': 'stockholm', 'score': 0.01}, {'token': 'parchment', 'score': 0.008}, {'token': 'dutch', 'score': 0.007}, {'token': 'netherlands', 'score': 0.007}]","[{'token': 'flanders', 'score': 0.245}, {'token': 'england', 'score': 0.1}, {'token': 'holland', 'score': 0.087}, {'token': 'brussels', 'score': 0.069}, {'token': 'germany', 'score': 0.039}, {'token': 'france', 'score': 0.032}, {'token': 'utrecht', 'score': 0.028}, {'token': 'antwerp', 'score': 0.025}, {'token': 'paris', 'score': 0.018}, {'token': 'europe', 'score': 0.018}, {'token': 'italy', 'score': 0.017}, {'token': 'amsterdam', 'score': 0.016}, {'token': 'rome', 'score': 0.013}, {'token': 'court', 'score': 0.011}, {'token': 'belgium', 'score': 0.011}]","[{'token': 'flanders', 'score': 0.31}, {'token': 'holland', 'score': 0.285}, {'token': 'england', 'score': 0.05}, {'token': 'france', 'score': 0.034}, {'token': 'germany', 'score': 0.031}, {'token': 'brussels', 'score': 0.028}, {'token': 'utrecht', 'score': 0.025}, {'token': 'paris', 'score': 0.011}, {'token': 'europe', 'score': 0.01}, {'token': 'burgundy', 'score': 0.009}, {'token': 'antwerp', 'score': 0.008}, {'token': 'belgium', 'score': 0.008}, {'token': 'italy', 'score': 0.008}, {'token': 'denmark', 'score': 0.007}, {'token': 'rome', 'score': 0.007}]","[{'token': 'holland', 'score': 0.118}, {'token': 'flanders', 'score': 0.109}, {'token': 'utrecht', 'score': 0.08}, {'token': 'addition', 'score': 0.051}, {'token': 'particular', 'score': 0.046}, {'token': 'amsterdam', 'score': 0.043}, {'token': 'fact', 'score': 0.037}, {'token': 'antwerp', 'score': 0.035}, {'token': 'brussels', 'score': 0.035}, {'token': 'england', 'score': 0.024}, {'token': 'germany', 'score': 0.021}, {'token': 'belgium', 'score': 0.015}, {'token': 'general', 'score': 0.012}, {'token': 'paris', 'score': 0.011}, {'token': 'rome', 'score': 0.01}]",
8,barcelona,"[{'token': 'madrid', 'score': 0.496}, {'token': 'barcelona', 'score': 0.225}, {'token': 'spain', 'score': 0.085}, {'token': 'seville', 'score': 0.019}, {'token': 'bilbao', 'score': 0.016}, {'token': 'salamanca', 'score': 0.015}, {'token': 'toledo', 'score': 0.015}, {'token': 'zaragoza', 'score': 0.014}, {'token': 'valencia', 'score': 0.012}, {'token': 'cadiz', 'score': 0.01}, {'token': 'malaga', 'score': 0.01}, {'token': 'lisbon', 'score': 0.006}, {'token': 'sevilla', 'score': 0.005}, {'token': 'cordoba', 'score': 0.005}, {'token': 'rome', 'score': 0.003}]","[{'token': '1896', 'score': 0.034}, {'token': '1900', 'score': 0.027}, {'token': '1891', 'score': 0.026}, {'token': '1898', 'score': 0.025}, {'token': '1892', 'score': 0.025}, {'token': '1902', 'score': 0.024}, {'token': '1904', 'score': 0.023}, {'token': '1888', 'score': 0.023}, {'token': '1894', 'score': 0.023}, {'token': '1899', 'score': 0.022}, {'token': '1884', 'score': 0.022}, {'token': '1897', 'score': 0.021}, {'token': '1893', 'score': 0.021}, {'token': '1876', 'score': 0.02}, {'token': '1895', 'score': 0.02}]","[{'token': 'spain', 'score': 0.14}, {'token': 'madrid', 'score': 0.104}, {'token': 'barcelona', 'score': 0.083}, {'token': 'toledo', 'score': 0.051}, {'token': 'salamanca', 'score': 0.05}, {'token': 'malaga', 'score': 0.048}, {'token': 'asturias', 'score': 0.035}, {'token': 'seville', 'score': 0.034}, {'token': 'catalonia', 'score': 0.03}, {'token': 'cadiz', 'score': 0.027}, {'token': 'galicia', 'score': 0.024}, {'token': 'valencia', 'score': 0.023}, {'token': 'bilbao', 'score': 0.02}, {'token': 'zaragoza', 'score': 0.018}, {'token': 'leon', 'score': 0.012}]","[{'token': 'paris', 'score': 0.123}, {'token': 'rome', 'score': 0.109}, {'token': 'madrid', 'score': 0.067}, {'token': 'goa', 'score': 0.05}, {'token': 'lisbon', 'score': 0.046}, {'token': 'manila', 'score': 0.042}, {'token': 'or', 'score': 0.039}, {'token': 'calcutta', 'score': 0.029}, {'token': 'spain', 'score': 0.022}, {'token': 'delhi', 'score': 0.016}, {'token': 'aix', 'score': 0.014}, {'token': 'just', 'score': 0.013}, {'token': 'santiago', 'score': 0.013}, {'token': 'india', 'score': 0.012}, {'token': 'pune', 'score': 0.01}]",
9,rome,"[{'token': 'rome', 'score': 0.335}, {'token': 'milan', 'score': 0.13}, {'token': 'naples', 'score': 0.073}, {'token': 'genoa', 'score': 0.058}, {'token': 'florence', 'score': 0.043}, {'token': 'bologna', 'score': 0.042}, {'token': 'turin', 'score': 0.041}, {'token': 'verona', 'score': 0.03}, {'token': 'bari', 'score': 0.028}, {'token': 'palermo', 'score': 0.027}, {'token': 'pisa', 'score': 0.024}, {'token': 'parma', 'score': 0.019}, {'token': 'siena', 'score': 0.014}, {'token': 'como', 'score': 0.012}, {'token': 'venice', 'score': 0.012}]","[{'token': 'rome', 'score': 0.177}, {'token': 'milan', 'score': 0.151}, {'token': 'genoa', 'score': 0.079}, {'token': 'naples', 'score': 0.076}, {'token': 'florence', 'score': 0.063}, {'token': 'turin', 'score': 0.055}, {'token': 'bologna', 'score': 0.048}, {'token': 'verona', 'score': 0.042}, {'token': 'bari', 'score': 0.038}, {'token': 'palermo', 'score': 0.031}, {'token': 'parma', 'score': 0.027}, {'token': 'venice', 'score': 0.02}, {'token': 'pisa', 'score': 0.019}, {'token': 'siena', 'score': 0.015}, {'token': 'italy', 'score': 0.012}]","[{'token': 'rome', 'score': 0.171}, {'token': 'milan', 'score': 0.123}, {'token': 'verona', 'score': 0.063}, {'token': 'florence', 'score': 0.06}, {'token': 'genoa', 'score': 0.059}, {'token': 'parma', 'score': 0.043}, {'token': 'bari', 'score': 0.042}, {'token': 'naples', 'score': 0.038}, {'token': 'turin', 'score': 0.036}, {'token': 'bologna', 'score': 0.035}, {'token': 'palermo', 'score': 0.024}, {'token': 'como', 'score': 0.016}, {'token': 'venice', 'score': 0.016}, {'token': 'pisa', 'score': 0.015}, {'token': 'padua', 'score': 0.014}]","[{'token': 'rome', 'score': 0.246}, {'token': 'milan', 'score': 0.181}, {'token': 'genoa', 'score': 0.087}, {'token': 'naples', 'score': 0.086}, {'token': 'turin', 'score': 0.076}, {'token': 'florence', 'score': 0.042}, {'token': 'bologna', 'score': 0.042}, {'token': 'palermo', 'score': 0.03}, {'token': 'parma', 'score': 0.024}, {'token': 'verona', 'score': 0.021}, {'token': 'italy', 'score': 0.017}, {'token': 'bari', 'score': 0.014}, {'token': 'pisa', 'score': 0.013}, {'token': 'siena', 'score': 0.012}, {'token': 'venice', 'score': 0.01}]","[{'token': 'rome', 'score': 0.224}, {'token': 'milan', 'score': 0.187}, {'token': 'turin', 'score': 0.08}, {'token': 'italy', 'score': 0.062}, {'token': 'genoa', 'score': 0.052}, {'token': 'naples', 'score': 0.049}, {'token': 'palermo', 'score': 0.031}, {'token': 'bologna', 'score': 0.029}, {'token': 'florence', 'score': 0.027}, {'token': 'verona', 'score': 0.025}, {'token': 'parma', 'score': 0.018}, {'token': 'bari', 'score': 0.017}, {'token': 'venice', 'score': 0.011}, {'token': 'torino', 'score': 0.01}, {'token': 'messina', 'score': 0.009}]"
