obj_label,masked_sentence,masked_sentence_roberta
switzerland,"He later returned to live in Paris, before moving to [MASK], where he died in 1996 .","He later returned to live in Paris, before moving to <mask>, where he died in 1996 ."
madrid,Arroyo died at [MASK] in 1551 .,Arroyo died at <mask> in 1551 .
hammond,"Murakowski died in 1985 at age 60 at his home in [MASK], Indiana .","Murakowski died in 1985 at age 60 at his home in <mask>, Indiana ."
marseille,Belissen remained in [MASK]s until his death .,Belissen remained in <mask>s until his death .
paris,Tournély died at [MASK] .,Tournély died at <mask> .
greenwich,"William J Bresnan died on November 27, 2009, at his home in [MASK], Connecticut, from complications due to cancer at the age of 75 .","William J Bresnan died on November 27, 2009, at his home in <mask>, Connecticut, from complications due to cancer at the age of 75 ."
california,"Fred Rich died on September 8, 1956 in [MASK] aged 58 after a long illness .","Fred Rich died on September 8, 1956 in <mask> aged 58 after a long illness ."
brighton,"He died at [MASK] on 23 June 1888, from the effects of an overdose of narcotic medicine, thought to be chloroform .","He died at <mask> on 23 June 1888, from the effects of an overdose of narcotic medicine, thought to be chloroform ."
tacoma,"Robert W Copeland died at [MASK], Washington, on August 25, 1973 .","Robert W Copeland died at <mask>, Washington, on August 25, 1973 ."
london,"After a long life in literary labours, she died in [MASK] on 21 Jan .","After a long life in literary labours, she died in <mask> on 21 Jan ."
montana,Ambassador Mark died in a car accident in 2005 at age 81 in [MASK] .,Ambassador Mark died in a car accident in 2005 at age 81 in <mask> .
london,"One of the most important figures in the history of British engraving, he died in [MASK], unmarried, on May 7 1887 .","One of the most important figures in the history of British engraving, he died in <mask>, unmarried, on May 7 1887 ."
queens,"On May 13, 1977, Spillane was killed outside his apartment in [MASK] .","On May 13, 1977, Spillane was killed outside his apartment in <mask> ."
bath,"Uvedale Tomkins Price died at [MASK] in 1764 and was succeeded at Foxley by his grandson Uvedale Price, writer on the Picturesque .","Uvedale Tomkins Price died at <mask> in 1764 and was succeeded at Foxley by his grandson Uvedale Price, writer on the Picturesque ."
london,"She died in [MASK], two days after her 77th birthday .","She died in <mask>, two days after her 77th birthday ."
oxford,"Ogilvie was happier and made a much greater mark as principal of Jesus College, [MASK] from 1944 until his death in 1949 .","Ogilvie was happier and made a much greater mark as principal of Jesus College, <mask> from 1944 until his death in 1949 ."
vienna,She died in [MASK] .,She died in <mask> .
paris,"After the death of her father in 1741, Brita Sophia and her mother moved to [MASK] in France, where they converted to Catholicism .","After the death of her father in 1741, Brita Sophia and her mother moved to <mask> in France, where they converted to Catholicism ."
bangor,"But he was elected to the Forty-third and Forty-fourth Congresses, serving from March 4, 1873, until his death in [MASK] before the close of the Forty-third Congress .","But he was elected to the Forty-third and Forty-fourth Congresses, serving from March 4, 1873, until his death in <mask> before the close of the Forty-third Congress ."
stockholm,He died on 26 June 1854 in [MASK] .,He died on 26 June 1854 in <mask> .
cambridge,"After being for many years president of the Massachusetts Bible Society, he died at [MASK] .","After being for many years president of the Massachusetts Bible Society, he died at <mask> ."
santiago,She died in [MASK] .,She died in <mask> .
kingston,He was a member of the New York State Bridge Authority from 1951 to 1955; in 1970 he died in [MASK] .,He was a member of the New York State Bridge Authority from 1951 to 1955; in 1970 he died in <mask> .
constantinople,"When Michael took the bait, he was arrested and shipped off to [MASK], where he died in prison in 1307 .","When Michael took the bait, he was arrested and shipped off to <mask>, where he died in prison in 1307 ."
bath,He died at [MASK] on 19 February 1839 .,He died at <mask> on 19 February 1839 .
munich,"Tobias Andreae, who was born at Frankfort in 1823, studied under J Becker, and then went to [MASK], where he made the acquaintance of Rahl and Genelli .","Tobias Andreae, who was born at Frankfort in 1823, studied under J Becker, and then went to <mask>, where he made the acquaintance of Rahl and Genelli ."
manhattan,Adele Marcus died on 3 May 1995 at her home in [MASK] .,Adele Marcus died on 3 May 1995 at her home in <mask> .
florida,He died in 1971 in [MASK] at age sixty-eight .,He died in 1971 in <mask> at age sixty-eight .
potomac,"Sanders died of a heart attack on August 18, 1997 at his home in [MASK] .","Sanders died of a heart attack on August 18, 1997 at his home in <mask> ."
kenya,"In August 1993, Amon Bazira was assassinated in [MASK] at Nakuru, allegedly with the complicity of Tiny Rowland, Yoweri Museveni and Daniel arap Moi .","In August 1993, Amon Bazira was assassinated in <mask> at Nakuru, allegedly with the complicity of Tiny Rowland, Yoweri Museveni and Daniel arap Moi ."
manhattan,Meadmore died at the age of 76 in [MASK] from complications of Parkinson's disease .,Meadmore died at the age of 76 in <mask> from complications of Parkinson's disease .
montreal,Allen died of a heart attack in [MASK] in 1935 and was buried in the Beechwood Cemetery .,Allen died of a heart attack in <mask> in 1935 and was buried in the Beechwood Cemetery .
bath,"Johnston's later years were passed mainly at his residence (much later known as Orleans House) Twickenham, and he died at [MASK] in May 1737, see the separate article .","Johnston's later years were passed mainly at his residence (much later known as Orleans House) Twickenham, and he died at <mask> in May 1737, see the separate article ."
boston,"She died in [MASK] on February 16, 1994 of smoke inhalation from a fire at the Ann Wigmore Foundation .","She died in <mask> on February 16, 1994 of smoke inhalation from a fire at the Ann Wigmore Foundation ."
phoenix,"Crisp died at her home in [MASK], Arizona .","Crisp died at her home in <mask>, Arizona ."
brighton,`` He died at [MASK] on 13 March 1855 .,`` He died at <mask> on 13 March 1855 .
hawaii,"Lewin died on December 18, 2010, at the age of 84 in [MASK] .","Lewin died on December 18, 2010, at the age of 84 in <mask> ."
portland,"Captain Bonser died just over a year later, on December 26, 1913 at Providence St Vincent Medical Center in [MASK] .","Captain Bonser died just over a year later, on December 26, 1913 at Providence St Vincent Medical Center in <mask> ."
arizona,Hi Jolly became a living legend until his death in [MASK] .,Hi Jolly became a living legend until his death in <mask> .
vancouver,"A native of Copenhagen, Rasch emigrated to Canada where he died in [MASK] in 1988 .","A native of Copenhagen, Rasch emigrated to Canada where he died in <mask> in 1988 ."
louisville,"Givens died on December 8, 2009 at his home in [MASK], Kentucky .","Givens died on December 8, 2009 at his home in <mask>, Kentucky ."
montgomery,"Aubrey Hornsby died in 1981 in [MASK], Alabama .","Aubrey Hornsby died in 1981 in <mask>, Alabama ."
edinburgh,"On starting his managerial career, Siddons aimed at producing plays with greater efficiency in all directions than before, at the [MASK] Theatre; he was encouraged and supported by Scott .","On starting his managerial career, Siddons aimed at producing plays with greater efficiency in all directions than before, at the <mask> Theatre; he was encouraged and supported by Scott ."
edinburgh,He died at [MASK] on 12 April 1815 .,He died at <mask> on 12 April 1815 .
philadelphia,"Phillips died at [MASK], Pennsylvania, on January 29, 1803 .","Phillips died at <mask>, Pennsylvania, on January 29, 1803 ."
manchester,He died at [MASK] 10 July 1876 .,He died at <mask> 10 July 1876 .
beverly,"He died on November 19, 1679 in [MASK], a nearby town which he also helped found .","He died on November 19, 1679 in <mask>, a nearby town which he also helped found ."
toronto,"She died in [MASK] on July 16, 2005, she was 84 years old .","She died in <mask> on July 16, 2005, she was 84 years old ."
manchester,Following her retirement Brema became director of the opera class at the Royal [MASK] College of Music .,Following her retirement Brema became director of the opera class at the Royal <mask> College of Music .
manchester,"She died in [MASK], aged 69, from undisclosed causes .","She died in <mask>, aged 69, from undisclosed causes ."
calais,"General Stack died at [MASK], France, in December 1833 .","General Stack died at <mask>, France, in December 1833 ."
manhattan,"Chais died on September 26, 2010 at age 84 in [MASK], where he and his wife had moved to further the treatment of a blood disorder that eventually took his life .","Chais died on September 26, 2010 at age 84 in <mask>, where he and his wife had moved to further the treatment of a blood disorder that eventually took his life ."
