obj_label,masked_sentence,masked_sentence_roberta
brazil,"It was the final race of the 2004 season, and local fans were delighted when [MASK]'s Rubens Barrichello took pole for his home race.","It was the final race of the 2004 season, and local fans were delighted when <mask>'s Rubens Barrichello took pole for his home race."
france,"Yves Mirande (Bagneux (Maine-et-Loire), Mai 8, 1876 – Paris, March 17, 1957) was a [MASK] screenwriter, director, actor, and producer.","Yves Mirande (Bagneux (Maine-et-Loire), Mai 8, 1876 – Paris, March 17, 1957) was a <mask> screenwriter, director, actor, and producer."
france,"Yves Mirande (Bagneux (Maine-et-Loire), Mai 8, 1876 – Paris, March 17, 1957) was a [MASK] screenwriter, director, actor, and producer.","Yves Mirande (Bagneux (Maine-et-Loire), Mai 8, 1876 – Paris, March 17, 1957) was a <mask> screenwriter, director, actor, and producer."
estonia,Sangaste is also the birthplace of the [MASK] writer August Gailit (1891-1960) and Estonian opera singer Aarne Viisimaa (1898-1989).,Sangaste is also the birthplace of the <mask> writer August Gailit (1891-1960) and Estonian opera singer Aarne Viisimaa (1898-1989).
estonia,Sangaste is also the birthplace of the Estonian writer August Gailit (1891-1960) and [MASK] opera singer Aarne Viisimaa (1898-1989).,Sangaste is also the birthplace of the Estonian writer August Gailit (1891-1960) and <mask> opera singer Aarne Viisimaa (1898-1989).
denmark,"Princess Elisabeth of [MASK], RE (Elisabeth Caroline-Mathilde Alexandrine Helena Olga Thyra Feodora Estrid Margrethe Désirée; born 8 May 1935 in Copenhagen) is the daughter of Hereditary Prince Knud and Hereditary Princess Caroline-Mathilde of Denmark, and is a first cousin of the present Danish monarch, Queen Margrethe II.","Princess Elisabeth of <mask>, RE (Elisabeth Caroline-Mathilde Alexandrine Helena Olga Thyra Feodora Estrid Margrethe Désirée; born 8 May 1935 in Copenhagen) is the daughter of Hereditary Prince Knud and Hereditary Princess Caroline-Mathilde of Denmark, and is a first cousin of the present Danish monarch, Queen Margrethe II."
denmark,"Princess Elisabeth of Denmark, RE (Elisabeth Caroline-Mathilde Alexandrine Helena Olga Thyra Feodora Estrid Margrethe Désirée; born 8 May 1935 in Copenhagen) is the daughter of Hereditary Prince Knud and Hereditary Princess Caroline-Mathilde of [MASK], and is a first cousin of the present Danish monarch, Queen Margrethe II.","Princess Elisabeth of Denmark, RE (Elisabeth Caroline-Mathilde Alexandrine Helena Olga Thyra Feodora Estrid Margrethe Désirée; born 8 May 1935 in Copenhagen) is the daughter of Hereditary Prince Knud and Hereditary Princess Caroline-Mathilde of <mask>, and is a first cousin of the present Danish monarch, Queen Margrethe II."
denmark,"Princess Elisabeth of [MASK], RE (Elisabeth Caroline-Mathilde Alexandrine Helena Olga Thyra Feodora Estrid Margrethe Désirée; born 8 May 1935 in Copenhagen) is the daughter of Hereditary Prince Knud and Hereditary Princess Caroline-Mathilde of Denmark, and is a first cousin of the present Danish monarch, Queen Margrethe II.","Princess Elisabeth of <mask>, RE (Elisabeth Caroline-Mathilde Alexandrine Helena Olga Thyra Feodora Estrid Margrethe Désirée; born 8 May 1935 in Copenhagen) is the daughter of Hereditary Prince Knud and Hereditary Princess Caroline-Mathilde of Denmark, and is a first cousin of the present Danish monarch, Queen Margrethe II."
denmark,"Princess Elisabeth of Denmark, RE (Elisabeth Caroline-Mathilde Alexandrine Helena Olga Thyra Feodora Estrid Margrethe Désirée; born 8 May 1935 in Copenhagen) is the daughter of Hereditary Prince Knud and Hereditary Princess Caroline-Mathilde of [MASK], and is a first cousin of the present Danish monarch, Queen Margrethe II.","Princess Elisabeth of Denmark, RE (Elisabeth Caroline-Mathilde Alexandrine Helena Olga Thyra Feodora Estrid Margrethe Désirée; born 8 May 1935 in Copenhagen) is the daughter of Hereditary Prince Knud and Hereditary Princess Caroline-Mathilde of <mask>, and is a first cousin of the present Danish monarch, Queen Margrethe II."
denmark,Tue West (born 1977) is a [MASK] composer.,Tue West (born 1977) is a <mask> composer.
