,answers,original,t5_0,t5_1,t5_2,t5_3
0,brazil,"[{'token': 'ferrari', 'score': 0.368}, {'token': 'argentina', 'score': 0.148}, {'token': 'spain', 'score': 0.103}, {'token': 'renault', 'score': 0.062}, {'token': 'brazil', 'score': 0.049}, {'token': 'mclaren', 'score': 0.026}, {'token': 'italy', 'score': 0.023}, {'token': 'barcelona', 'score': 0.016}, {'token': 'colombia', 'score': 0.015}, {'token': 'mexico', 'score': 0.015}]","[{'token': 'ferrari', 'score': 0.56}, {'token': 'argentina', 'score': 0.111}, {'token': 'spain', 'score': 0.066}, {'token': 'italy', 'score': 0.059}, {'token': 'mclaren', 'score': 0.036}, {'token': 'brazil', 'score': 0.035}, {'token': 'renault', 'score': 0.028}, {'token': 'mercedes', 'score': 0.015}, {'token': 'switzerland', 'score': 0.01}, {'token': 'williams', 'score': 0.01}]","[{'token': 'argentina', 'score': 0.439}, {'token': 'spain', 'score': 0.241}, {'token': 'ferrari', 'score': 0.114}, {'token': 'brazil', 'score': 0.053}, {'token': 'italy', 'score': 0.044}, {'token': 'colombia', 'score': 0.012}, {'token': 'mexico', 'score': 0.011}, {'token': 'renault', 'score': 0.008}, {'token': 'mercedes', 'score': 0.006}, {'token': 'switzerland', 'score': 0.006}]","[{'token': 'argentina', 'score': 0.351}, {'token': 'ferrari', 'score': 0.21}, {'token': 'italy', 'score': 0.145}, {'token': 'spain', 'score': 0.089}, {'token': 'brazil', 'score': 0.057}, {'token': 'switzerland', 'score': 0.019}, {'token': 'renault', 'score': 0.019}, {'token': 'portugal', 'score': 0.012}, {'token': 'mclaren', 'score': 0.01}, {'token': 'mercedes', 'score': 0.006}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]"
1,france,"[{'token': 'french', 'score': 0.999}, {'token': 'belgian', 'score': 0.0}, {'token': 'swiss', 'score': 0.0}, {'token': 'france', 'score': 0.0}, {'token': 'canadian', 'score': 0.0}, {'token': 'parisian', 'score': 0.0}, {'token': 'british', 'score': 0.0}, {'token': 'german', 'score': 0.0}, {'token': 'film', 'score': 0.0}, {'token': 'noted', 'score': 0.0}]","[{'token': 'the', 'score': 0.891}, {'token': 'its', 'score': 0.06}, {'token': 'his', 'score': 0.01}, {'token': 'first', 'score': 0.005}, {'token': 'their', 'score': 0.004}, {'token': 'a', 'score': 0.002}, {'token': 'main', 'score': 0.002}, {'token': 'her', 'score': 0.002}, {'token': 'this', 'score': 0.001}, {'token': 'as', 'score': 0.001}]","[{'token': 'paris', 'score': 0.553}, {'token': 'france', 'score': 0.142}, {'token': 'montreal', 'score': 0.085}, {'token': 'quebec', 'score': 0.014}, {'token': 'marseille', 'score': 0.013}, {'token': 'switzerland', 'score': 0.012}, {'token': 'geneva', 'score': 0.012}, {'token': 'brussels', 'score': 0.009}, {'token': 'nice', 'score': 0.008}, {'token': 'lyon', 'score': 0.008}]","[{'token': 'paris', 'score': 0.237}, {'token': 'nantes', 'score': 0.09}, {'token': 'france', 'score': 0.048}, {'token': 'tours', 'score': 0.037}, {'token': 'laval', 'score': 0.031}, {'token': 'lyon', 'score': 0.031}, {'token': 'nice', 'score': 0.028}, {'token': 'orleans', 'score': 0.02}, {'token': 'nancy', 'score': 0.017}, {'token': 'pau', 'score': 0.016}]","[{'token': 'paris', 'score': 0.228}, {'token': 'france', 'score': 0.185}, {'token': 'quebec', 'score': 0.054}, {'token': 'lyon', 'score': 0.047}, {'token': 'marseille', 'score': 0.043}, {'token': 'brittany', 'score': 0.031}, {'token': 'montreal', 'score': 0.022}, {'token': 'nantes', 'score': 0.021}, {'token': 'bordeaux', 'score': 0.018}, {'token': 'burgundy', 'score': 0.017}]"
2,estonia,"[{'token': 'estonian', 'score': 0.961}, {'token': 'latvian', 'score': 0.017}, {'token': 'russian', 'score': 0.002}, {'token': 'soviet', 'score': 0.002}, {'token': 'lithuanian', 'score': 0.001}, {'token': 'finnish', 'score': 0.001}, {'token': 'czech', 'score': 0.001}, {'token': 'belarusian', 'score': 0.001}, {'token': 'socialist', 'score': 0.001}, {'token': 'german', 'score': 0.001}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': 'women', 'score': 0.527}, {'token': 'children', 'score': 0.345}, {'token': 'estonia', 'score': 0.081}, {'token': 'men', 'score': 0.025}, {'token': 'finland', 'score': 0.01}, {'token': 'tallinn', 'score': 0.004}, {'token': 'estonian', 'score': 0.002}, {'token': 'today', 'score': 0.001}, {'token': 'sweden', 'score': 0.001}, {'token': 'helsinki', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]"
3,denmark,"[{'token': 'denmark', 'score': 0.988}, {'token': 'sweden', 'score': 0.004}, {'token': 'belgium', 'score': 0.001}, {'token': 'greece', 'score': 0.001}, {'token': 'zealand', 'score': 0.001}, {'token': 'monaco', 'score': 0.001}, {'token': 'norway', 'score': 0.001}, {'token': 'hanover', 'score': 0.0}, {'token': 'baden', 'score': 0.0}, {'token': 'yugoslavia', 'score': 0.0}]","[{'token': 'denmark', 'score': 0.966}, {'token': 'sweden', 'score': 0.008}, {'token': 'norway', 'score': 0.006}, {'token': 'baden', 'score': 0.004}, {'token': 'prussia', 'score': 0.002}, {'token': 'zealand', 'score': 0.002}, {'token': 'saxony', 'score': 0.001}, {'token': 'hanover', 'score': 0.001}, {'token': 'belgium', 'score': 0.001}, {'token': 'bavaria', 'score': 0.001}]","[{'token': 'denmark', 'score': 0.865}, {'token': 'danish', 'score': 0.048}, {'token': 'baden', 'score': 0.024}, {'token': 'prussia', 'score': 0.007}, {'token': 'schleswig', 'score': 0.007}, {'token': 'wurttemberg', 'score': 0.004}, {'token': 'sweden', 'score': 0.004}, {'token': 'saxony', 'score': 0.004}, {'token': 'hanover', 'score': 0.003}, {'token': 'mecklenburg', 'score': 0.002}]","[{'token': 'denmark', 'score': 0.958}, {'token': 'sweden', 'score': 0.013}, {'token': 'norway', 'score': 0.006}, {'token': 'baden', 'score': 0.004}, {'token': 'prussia', 'score': 0.003}, {'token': 'belgium', 'score': 0.002}, {'token': 'saxony', 'score': 0.001}, {'token': 'zealand', 'score': 0.001}, {'token': 'hanover', 'score': 0.001}, {'token': 'wurttemberg', 'score': 0.001}]","[{'token': 'denmark', 'score': 0.992}, {'token': 'prussia', 'score': 0.002}, {'token': 'sweden', 'score': 0.001}, {'token': 'baden', 'score': 0.001}, {'token': 'danes', 'score': 0.001}, {'token': 'danish', 'score': 0.001}, {'token': 'schleswig', 'score': 0.0}, {'token': 'scandinavia', 'score': 0.0}, {'token': 'norway', 'score': 0.0}, {'token': 'saxony', 'score': 0.0}]"
4,denmark,"[{'token': 'norwegian', 'score': 0.326}, {'token': 'danish', 'score': 0.136}, {'token': 'british', 'score': 0.119}, {'token': 'swedish', 'score': 0.06}, {'token': 'german', 'score': 0.054}, {'token': 'dutch', 'score': 0.039}, {'token': 'french', 'score': 0.027}, {'token': 'canadian', 'score': 0.024}, {'token': 'malaysian', 'score': 0.02}, {'token': 'welsh', 'score': 0.017}]","[{'token': 'it', 'score': 0.024}, {'token': 'australia', 'score': 0.02}, {'token': 'lee', 'score': 0.012}, {'token': 'john', 'score': 0.01}, {'token': 'peter', 'score': 0.009}, {'token': 'london', 'score': 0.006}, {'token': 'bo', 'score': 0.006}, {'token': 'king', 'score': 0.005}, {'token': 'today', 'score': 0.005}, {'token': 'kim', 'score': 0.005}]","[{'token': 'singapore', 'score': 0.099}, {'token': 'denmark', 'score': 0.054}, {'token': 'germany', 'score': 0.046}, {'token': 'sweden', 'score': 0.045}, {'token': 'australia', 'score': 0.04}, {'token': 'norway', 'score': 0.039}, {'token': 'malaysia', 'score': 0.031}, {'token': 'taiwan', 'score': 0.03}, {'token': 'ghana', 'score': 0.025}, {'token': 'thailand', 'score': 0.025}]","[{'token': 'london', 'score': 0.055}, {'token': 'melbourne', 'score': 0.026}, {'token': 'berlin', 'score': 0.024}, {'token': 'auckland', 'score': 0.022}, {'token': 'singapore', 'score': 0.019}, {'token': 'sydney', 'score': 0.018}, {'token': 'amsterdam', 'score': 0.016}, {'token': 'wellington', 'score': 0.014}, {'token': 'england', 'score': 0.013}, {'token': 'germany', 'score': 0.013}]","[{'token': 'singapore', 'score': 0.159}, {'token': 'ghana', 'score': 0.064}, {'token': 'malaysia', 'score': 0.059}, {'token': 'thailand', 'score': 0.048}, {'token': 'australia', 'score': 0.034}, {'token': 'india', 'score': 0.022}, {'token': 'burma', 'score': 0.017}, {'token': 'china', 'score': 0.015}, {'token': 'nigeria', 'score': 0.015}, {'token': 'kenya', 'score': 0.014}]"
5,sweden,"[{'token': 'swedish', 'score': 0.992}, {'token': 'danish', 'score': 0.006}, {'token': 'finnish', 'score': 0.001}, {'token': 'norwegian', 'score': 0.001}, {'token': 'german', 'score': 0.0}, {'token': 'scandinavian', 'score': 0.0}, {'token': 'sweden', 'score': 0.0}, {'token': 'chilean', 'score': 0.0}, {'token': 'nordic', 'score': 0.0}, {'token': 'dutch', 'score': 0.0}]","[{'token': 'sweden', 'score': 0.882}, {'token': 'stockholm', 'score': 0.035}, {'token': 'denmark', 'score': 0.023}, {'token': 'finland', 'score': 0.019}, {'token': 'norway', 'score': 0.006}, {'token': 'uppsala', 'score': 0.004}, {'token': 'germany', 'score': 0.003}, {'token': 'scandinavia', 'score': 0.003}, {'token': 'gothenburg', 'score': 0.003}, {'token': 'lund', 'score': 0.002}]","[{'token': 'stockholm', 'score': 0.576}, {'token': 'sweden', 'score': 0.151}, {'token': 'lund', 'score': 0.035}, {'token': 'copenhagen', 'score': 0.029}, {'token': 'uppsala', 'score': 0.025}, {'token': 'malmo', 'score': 0.02}, {'token': 'gothenburg', 'score': 0.014}, {'token': 'helsinki', 'score': 0.005}, {'token': 'paris', 'score': 0.005}, {'token': 'london', 'score': 0.005}]","[{'token': 'sweden', 'score': 0.812}, {'token': 'denmark', 'score': 0.079}, {'token': 'stockholm', 'score': 0.05}, {'token': 'finland', 'score': 0.018}, {'token': 'copenhagen', 'score': 0.014}, {'token': 'lund', 'score': 0.005}, {'token': 'gothenburg', 'score': 0.005}, {'token': 'iceland', 'score': 0.003}, {'token': 'norway', 'score': 0.002}, {'token': 'utah', 'score': 0.001}]","[{'token': 'copenhagen', 'score': 0.311}, {'token': 'sweden', 'score': 0.25}, {'token': 'denmark', 'score': 0.226}, {'token': 'stockholm', 'score': 0.078}, {'token': 'norway', 'score': 0.026}, {'token': 'aarhus', 'score': 0.015}, {'token': 'lund', 'score': 0.011}, {'token': 'gothenburg', 'score': 0.011}, {'token': 'oslo', 'score': 0.007}, {'token': 'malmo', 'score': 0.006}]"
6,india,"[{'token': 'india', 'score': 0.998}, {'token': 'bangladesh', 'score': 0.001}, {'token': 'pakistan', 'score': 0.0}, {'token': 'indian', 'score': 0.0}, {'token': 'bengal', 'score': 0.0}, {'token': 'england', 'score': 0.0}, {'token': 'australia', 'score': 0.0}, {'token': 'canada', 'score': 0.0}, {'token': 'china', 'score': 0.0}, {'token': 'nepal', 'score': 0.0}]","[{'token': 'india', 'score': 0.891}, {'token': 'time', 'score': 0.015}, {'token': 'government', 'score': 0.013}, {'token': 'period', 'score': 0.01}, {'token': 'office', 'score': 0.008}, {'token': 'terms', 'score': 0.004}, {'token': 'parliament', 'score': 0.004}, {'token': 'power', 'score': 0.003}, {'token': 'service', 'score': 0.003}, {'token': 'calcutta', 'score': 0.002}]","[{'token': 'india', 'score': 0.834}, {'token': 'bengal', 'score': 0.037}, {'token': 'calcutta', 'score': 0.023}, {'token': 'bangladesh', 'score': 0.02}, {'token': 'kolkata', 'score': 0.013}, {'token': 'then', 'score': 0.011}, {'token': 'it', 'score': 0.009}, {'token': 'bengali', 'score': 0.005}, {'token': 'which', 'score': 0.003}, {'token': 'there', 'score': 0.002}]","[{'token': 'india', 'score': 0.979}, {'token': 'govt', 'score': 0.003}, {'token': 'c', 'score': 0.002}, {'token': 'bengal', 'score': 0.002}, {'token': 'bangladesh', 'score': 0.001}, {'token': 'pakistan', 'score': 0.001}, {'token': 'calcutta', 'score': 0.001}, {'token': 'indian', 'score': 0.001}, {'token': 'respectively', 'score': 0.001}, {'token': 'viz', 'score': 0.001}]","[{'token': 'india', 'score': 0.736}, {'token': 'bengal', 'score': 0.176}, {'token': 'bangladesh', 'score': 0.049}, {'token': 'assam', 'score': 0.012}, {'token': 'odisha', 'score': 0.008}, {'token': 'kolkata', 'score': 0.003}, {'token': 'bihar', 'score': 0.003}, {'token': 'pakistan', 'score': 0.002}, {'token': 'calcutta', 'score': 0.001}, {'token': 'maharashtra', 'score': 0.001}]"
7,japan,"[{'token': 'japan', 'score': 0.999}, {'token': 'japanese', 'score': 0.0}, {'token': 'taiwan', 'score': 0.0}, {'token': 'tokyo', 'score': 0.0}, {'token': 'thailand', 'score': 0.0}, {'token': 'indonesia', 'score': 0.0}, {'token': 'australia', 'score': 0.0}, {'token': 'india', 'score': 0.0}, {'token': 'nippon', 'score': 0.0}, {'token': 'hokkaido', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': 'tokyo', 'score': 0.532}, {'token': 'japan', 'score': 0.264}, {'token': 'osaka', 'score': 0.04}, {'token': 'hokkaido', 'score': 0.029}, {'token': 'kyoto', 'score': 0.013}, {'token': 'fukuoka', 'score': 0.012}, {'token': 'okinawa', 'score': 0.011}, {'token': 'yokohama', 'score': 0.011}, {'token': 'kobe', 'score': 0.008}, {'token': 'hiroshima', 'score': 0.008}]"
8,canada,"[{'token': 'canada', 'score': 0.92}, {'token': 'ontario', 'score': 0.025}, {'token': 'australia', 'score': 0.021}, {'token': 'alberta', 'score': 0.011}, {'token': 'victoria', 'score': 0.005}, {'token': 'manitoba', 'score': 0.003}, {'token': 'bc', 'score': 0.003}, {'token': 'saskatchewan', 'score': 0.001}, {'token': 'newfoundland', 'score': 0.001}, {'token': 'queensland', 'score': 0.001}]","[{'token': 'australia', 'score': 0.481}, {'token': 'canada', 'score': 0.275}, {'token': 'victoria', 'score': 0.074}, {'token': 'queensland', 'score': 0.061}, {'token': 'ontario', 'score': 0.026}, {'token': 'tasmania', 'score': 0.019}, {'token': 'alberta', 'score': 0.017}, {'token': 'manitoba', 'score': 0.01}, {'token': 'bc', 'score': 0.005}, {'token': 'saskatchewan', 'score': 0.004}]","[{'token': 'victoria', 'score': 0.187}, {'token': 'ontario', 'score': 0.17}, {'token': 'manitoba', 'score': 0.154}, {'token': 'alberta', 'score': 0.072}, {'token': 'canada', 'score': 0.037}, {'token': 'douglas', 'score': 0.031}, {'token': 'newfoundland', 'score': 0.023}, {'token': 'queensland', 'score': 0.023}, {'token': 'saskatchewan', 'score': 0.022}, {'token': 'tasmania', 'score': 0.019}]","[{'token': 'canada', 'score': 0.841}, {'token': 'australia', 'score': 0.083}, {'token': 'ontario', 'score': 0.018}, {'token': 'victoria', 'score': 0.016}, {'token': 'alberta', 'score': 0.013}, {'token': 'bc', 'score': 0.005}, {'token': 'queensland', 'score': 0.004}, {'token': 'manitoba', 'score': 0.002}, {'token': 'britain', 'score': 0.002}, {'token': 'history', 'score': 0.001}]","[{'token': 'australia', 'score': 0.777}, {'token': 'canada', 'score': 0.128}, {'token': 'victoria', 'score': 0.032}, {'token': 'queensland', 'score': 0.026}, {'token': 'tasmania', 'score': 0.008}, {'token': 'ontario', 'score': 0.007}, {'token': 'alberta', 'score': 0.005}, {'token': 'britain', 'score': 0.002}, {'token': 'manitoba', 'score': 0.002}, {'token': 'bc', 'score': 0.001}]"
9,nigeria,"[{'token': 'nigeria', 'score': 0.997}, {'token': 'nigerian', 'score': 0.002}, {'token': 'benin', 'score': 0.0}, {'token': 'lagos', 'score': 0.0}, {'token': 'niger', 'score': 0.0}, {'token': 'liberia', 'score': 0.0}, {'token': 'federation', 'score': 0.0}, {'token': 'ghana', 'score': 0.0}, {'token': 'malaysia', 'score': 0.0}, {'token': 'confederation', 'score': 0.0}]","[{'token': 'mali', 'score': 0.137}, {'token': 'guinea', 'score': 0.129}, {'token': 'gabon', 'score': 0.088}, {'token': 'benin', 'score': 0.079}, {'token': 'chad', 'score': 0.077}, {'token': 'ghana', 'score': 0.072}, {'token': 'togo', 'score': 0.061}, {'token': 'senegal', 'score': 0.044}, {'token': 'algeria', 'score': 0.032}, {'token': 'mozambique', 'score': 0.03}]","[{'token': 'mali', 'score': 0.178}, {'token': 'gabon', 'score': 0.107}, {'token': 'algeria', 'score': 0.072}, {'token': 'ghana', 'score': 0.056}, {'token': 'cameroon', 'score': 0.048}, {'token': 'benin', 'score': 0.046}, {'token': 'morocco', 'score': 0.042}, {'token': 'chad', 'score': 0.037}, {'token': 'togo', 'score': 0.033}, {'token': 'guinea', 'score': 0.028}]","[{'token': 'mali', 'score': 0.204}, {'token': 'chad', 'score': 0.111}, {'token': 'benin', 'score': 0.1}, {'token': 'guinea', 'score': 0.093}, {'token': 'ghana', 'score': 0.059}, {'token': 'morocco', 'score': 0.038}, {'token': 'togo', 'score': 0.037}, {'token': 'algeria', 'score': 0.032}, {'token': 'niger', 'score': 0.027}, {'token': 'senegal', 'score': 0.027}]","[{'token': 'benin', 'score': 0.131}, {'token': 'ghana', 'score': 0.121}, {'token': 'mali', 'score': 0.105}, {'token': 'togo', 'score': 0.08}, {'token': 'guinea', 'score': 0.076}, {'token': 'chad', 'score': 0.071}, {'token': 'gabon', 'score': 0.058}, {'token': 'cameroon', 'score': 0.035}, {'token': 'senegal', 'score': 0.028}, {'token': 'algeria', 'score': 0.023}]"
