,answers,original,t5_0,t5_1,t5_2,t5_3
0,baku,"[{'token': 'baku', 'score': 0.968}, {'token': 'azerbaijan', 'score': 0.019}, {'token': 'kazan', 'score': 0.002}, {'token': 'tbilisi', 'score': 0.001}, {'token': 'odessa', 'score': 0.001}, {'token': 'yerevan', 'score': 0.0}, {'token': 'caspian', 'score': 0.0}, {'token': 'armenia', 'score': 0.0}, {'token': 'amber', 'score': 0.0}, {'token': 'moscow', 'score': 0.0}]","[{'token': 'many', 'score': 0.348}, {'token': 'several', 'score': 0.043}, {'token': '40', 'score': 0.032}, {'token': '30', 'score': 0.03}, {'token': '60', 'score': 0.024}, {'token': '50', 'score': 0.023}, {'token': '100', 'score': 0.021}, {'token': '35', 'score': 0.02}, {'token': '150', 'score': 0.019}, {'token': '20', 'score': 0.016}]","[{'token': 'many', 'score': 0.297}, {'token': '30', 'score': 0.039}, {'token': '40', 'score': 0.038}, {'token': 'several', 'score': 0.037}, {'token': '35', 'score': 0.03}, {'token': '145', 'score': 0.024}, {'token': '60', 'score': 0.024}, {'token': '50', 'score': 0.024}, {'token': '150', 'score': 0.022}, {'token': '100', 'score': 0.021}]","[{'token': 'many', 'score': 0.239}, {'token': '100', 'score': 0.043}, {'token': '40', 'score': 0.037}, {'token': '150', 'score': 0.037}, {'token': '30', 'score': 0.03}, {'token': '50', 'score': 0.028}, {'token': '35', 'score': 0.027}, {'token': '200', 'score': 0.027}, {'token': '145', 'score': 0.024}, {'token': '60', 'score': 0.024}]","[{'token': 'many', 'score': 0.472}, {'token': 'several', 'score': 0.048}, {'token': '40', 'score': 0.021}, {'token': '35', 'score': 0.02}, {'token': '150', 'score': 0.019}, {'token': '50', 'score': 0.018}, {'token': '30', 'score': 0.017}, {'token': '100', 'score': 0.017}, {'token': '60', 'score': 0.016}, {'token': '145', 'score': 0.014}]"
1,brody,"[{'token': 'donetsk', 'score': 0.635}, {'token': 'kiev', 'score': 0.123}, {'token': 'kyiv', 'score': 0.03}, {'token': 'lviv', 'score': 0.027}, {'token': 'odessa', 'score': 0.022}, {'token': 'crimea', 'score': 0.016}, {'token': 'ukraine', 'score': 0.014}, {'token': 'moscow', 'score': 0.012}, {'token': 'ukrainian', 'score': 0.009}, {'token': 'rapid', 'score': 0.006}]","[{'token': 'donetsk', 'score': 0.32}, {'token': 'kiev', 'score': 0.107}, {'token': 'lviv', 'score': 0.072}, {'token': 'kyiv', 'score': 0.066}, {'token': 'moscow', 'score': 0.032}, {'token': 'odessa', 'score': 0.024}, {'token': 'minsk', 'score': 0.016}, {'token': 'ukraine', 'score': 0.011}, {'token': 'ukrainian', 'score': 0.01}, {'token': 'pale', 'score': 0.008}]","[{'token': 'donetsk', 'score': 0.517}, {'token': 'kiev', 'score': 0.119}, {'token': 'lviv', 'score': 0.059}, {'token': 'this', 'score': 0.055}, {'token': 'the', 'score': 0.054}, {'token': 'kyiv', 'score': 0.047}, {'token': 'crimea', 'score': 0.014}, {'token': 'ukrainian', 'score': 0.014}, {'token': 'moscow', 'score': 0.009}, {'token': 'ukraine', 'score': 0.009}]","[{'token': 'the', 'score': 0.395}, {'token': 'donetsk', 'score': 0.075}, {'token': 'kiev', 'score': 0.032}, {'token': 'kyiv', 'score': 0.029}, {'token': 'ukraine', 'score': 0.02}, {'token': 'lviv', 'score': 0.019}, {'token': 'ukrainian', 'score': 0.017}, {'token': 'a', 'score': 0.014}, {'token': 'moscow', 'score': 0.011}, {'token': 'odessa', 'score': 0.01}]","[{'token': 'donetsk', 'score': 0.623}, {'token': 'kiev', 'score': 0.146}, {'token': 'lviv', 'score': 0.049}, {'token': 'kyiv', 'score': 0.043}, {'token': 'crimea', 'score': 0.015}, {'token': 'ukrainian', 'score': 0.012}, {'token': 'ukraine', 'score': 0.008}, {'token': 'this', 'score': 0.008}, {'token': 'moscow', 'score': 0.007}, {'token': 'rapid', 'score': 0.005}]"
2,chicago,"[{'token': 'it', 'score': 0.293}, {'token': 'this', 'score': 0.034}, {'token': 'cook', 'score': 0.02}, {'token': 'michigan', 'score': 0.017}, {'token': 'chicago', 'score': 0.016}, {'token': 'california', 'score': 0.011}, {'token': 'illinois', 'score': 0.011}, {'token': 'iowa', 'score': 0.01}, {'token': 'syracuse', 'score': 0.009}, {'token': 'that', 'score': 0.008}]","[{'token': 'center', 'score': 0.566}, {'token': 'seat', 'score': 0.181}, {'token': 'capital', 'score': 0.089}, {'token': 'headquarters', 'score': 0.034}, {'token': 'district', 'score': 0.026}, {'token': 'centre', 'score': 0.022}, {'token': 'area', 'score': 0.009}, {'token': 'office', 'score': 0.009}, {'token': 'jurisdiction', 'score': 0.008}, {'token': 'city', 'score': 0.007}]","[{'token': 'this', 'score': 0.215}, {'token': 'it', 'score': 0.149}, {'token': 'chicago', 'score': 0.03}, {'token': 'that', 'score': 0.023}, {'token': 'milwaukee', 'score': 0.017}, {'token': 'detroit', 'score': 0.01}, {'token': 'boston', 'score': 0.009}, {'token': 'he', 'score': 0.008}, {'token': 'sacramento', 'score': 0.008}, {'token': 'ferguson', 'score': 0.008}]","[{'token': 'illinois', 'score': 0.084}, {'token': 'texas', 'score': 0.059}, {'token': 'california', 'score': 0.052}, {'token': 'wisconsin', 'score': 0.033}, {'token': 'michigan', 'score': 0.023}, {'token': 'minnesota', 'score': 0.022}, {'token': 'chicago', 'score': 0.021}, {'token': 'iowa', 'score': 0.019}, {'token': 'indiana', 'score': 0.017}, {'token': 'maryland', 'score': 0.016}]","[{'token': 'cook', 'score': 0.059}, {'token': 'chicago', 'score': 0.011}, {'token': 'bridgeport', 'score': 0.011}, {'token': 'monroe', 'score': 0.009}, {'token': 'fairfield', 'score': 0.008}, {'token': 'jackson', 'score': 0.008}, {'token': 'butler', 'score': 0.006}, {'token': 'syracuse', 'score': 0.006}, {'token': 'douglas', 'score': 0.005}, {'token': 'baker', 'score': 0.005}]"
3,richmond,"[{'token': 'dallas', 'score': 0.314}, {'token': 'austin', 'score': 0.153}, {'token': 'houston', 'score': 0.146}, {'token': 'texas', 'score': 0.055}, {'token': 'galveston', 'score': 0.026}, {'token': 'arlington', 'score': 0.01}, {'token': 'beaumont', 'score': 0.008}, {'token': 'chicago', 'score': 0.007}, {'token': 'denton', 'score': 0.007}, {'token': 'lafayette', 'score': 0.006}]","[{'token': 'dallas', 'score': 0.339}, {'token': 'austin', 'score': 0.131}, {'token': 'houston', 'score': 0.076}, {'token': 'texas', 'score': 0.045}, {'token': 'galveston', 'score': 0.044}, {'token': 'town', 'score': 0.025}, {'token': 'beaumont', 'score': 0.02}, {'token': 'arlington', 'score': 0.019}, {'token': 'lafayette', 'score': 0.009}, {'token': 'denton', 'score': 0.008}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': 'dallas', 'score': 0.353}, {'token': 'austin', 'score': 0.172}, {'token': 'houston', 'score': 0.122}, {'token': 'texas', 'score': 0.031}, {'token': 'galveston', 'score': 0.025}, {'token': 'arlington', 'score': 0.013}, {'token': 'denton', 'score': 0.01}, {'token': 'beaumont', 'score': 0.008}, {'token': 'tyler', 'score': 0.007}, {'token': 'lafayette', 'score': 0.006}]","[{'token': 'dallas', 'score': 0.342}, {'token': 'austin', 'score': 0.138}, {'token': 'houston', 'score': 0.068}, {'token': 'texas', 'score': 0.059}, {'token': 'galveston', 'score': 0.013}, {'token': 'denton', 'score': 0.013}, {'token': 'arlington', 'score': 0.012}, {'token': 'town', 'score': 0.012}, {'token': 'knoxville', 'score': 0.009}, {'token': 'jasper', 'score': 0.009}]"
4,auburn,"[{'token': 'albany', 'score': 0.119}, {'token': 'brooklyn', 'score': 0.095}, {'token': 'washington', 'score': 0.037}, {'token': 'rochester', 'score': 0.036}, {'token': 'california', 'score': 0.032}, {'token': 'buffalo', 'score': 0.031}, {'token': 'syracuse', 'score': 0.026}, {'token': 'richmond', 'score': 0.023}, {'token': 'philadelphia', 'score': 0.023}, {'token': 'vermont', 'score': 0.019}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': 'elected', 'score': 0.371}, {'token': 'independent', 'score': 0.147}, {'token': 'alabama', 'score': 0.138}, {'token': 'assistant', 'score': 0.057}, {'token': 'acting', 'score': 0.046}, {'token': 'assembly', 'score': 0.041}, {'token': 'incumbent', 'score': 0.014}, {'token': 'oregon', 'score': 0.012}, {'token': 'arkansas', 'score': 0.01}, {'token': 'illinois', 'score': 0.009}]","[{'token': 'albany', 'score': 0.16}, {'token': 'california', 'score': 0.071}, {'token': 'brooklyn', 'score': 0.07}, {'token': 'vermont', 'score': 0.035}, {'token': 'washington', 'score': 0.029}, {'token': 'rochester', 'score': 0.028}, {'token': 'philadelphia', 'score': 0.026}, {'token': 'buffalo', 'score': 0.023}, {'token': 'pennsylvania', 'score': 0.023}, {'token': 'syracuse', 'score': 0.023}]","[{'token': 'washington', 'score': 0.121}, {'token': 'congress', 'score': 0.106}, {'token': 'albany', 'score': 0.105}, {'token': 'vermont', 'score': 0.062}, {'token': 'california', 'score': 0.043}, {'token': 'ohio', 'score': 0.034}, {'token': 'illinois', 'score': 0.031}, {'token': 'brooklyn', 'score': 0.027}, {'token': 'tennessee', 'score': 0.018}, {'token': 'chicago', 'score': 0.018}]"
5,windsor,"[{'token': 'sydney', 'score': 0.246}, {'token': 'melbourne', 'score': 0.202}, {'token': 'perth', 'score': 0.117}, {'token': 'adelaide', 'score': 0.106}, {'token': 'victoria', 'score': 0.067}, {'token': 'brisbane', 'score': 0.051}, {'token': 'canberra', 'score': 0.037}, {'token': 'fremantle', 'score': 0.034}, {'token': 'queensland', 'score': 0.03}, {'token': 'darwin', 'score': 0.01}]","[{'token': 'meanwhile', 'score': 0.161}, {'token': 'today', 'score': 0.083}, {'token': 'similarly', 'score': 0.047}, {'token': 'previously', 'score': 0.039}, {'token': 'then', 'score': 0.038}, {'token': 'thus', 'score': 0.033}, {'token': 'recently', 'score': 0.031}, {'token': 'later', 'score': 0.022}, {'token': 'also', 'score': 0.022}, {'token': 'instead', 'score': 0.02}]","[{'token': 'sydney', 'score': 0.244}, {'token': 'melbourne', 'score': 0.212}, {'token': 'perth', 'score': 0.118}, {'token': 'adelaide', 'score': 0.102}, {'token': 'canberra', 'score': 0.059}, {'token': 'brisbane', 'score': 0.057}, {'token': 'victoria', 'score': 0.051}, {'token': 'fremantle', 'score': 0.029}, {'token': 'queensland', 'score': 0.025}, {'token': 'darwin', 'score': 0.011}]","[{'token': 'sydney', 'score': 0.209}, {'token': 'melbourne', 'score': 0.168}, {'token': 'victoria', 'score': 0.134}, {'token': 'queensland', 'score': 0.088}, {'token': 'perth', 'score': 0.084}, {'token': 'canberra', 'score': 0.058}, {'token': 'adelaide', 'score': 0.053}, {'token': 'brisbane', 'score': 0.044}, {'token': 'tasmania', 'score': 0.025}, {'token': 'australia', 'score': 0.013}]","[{'token': 'sydney', 'score': 0.26}, {'token': 'melbourne', 'score': 0.213}, {'token': 'adelaide', 'score': 0.109}, {'token': 'perth', 'score': 0.107}, {'token': 'brisbane', 'score': 0.057}, {'token': 'canberra', 'score': 0.053}, {'token': 'victoria', 'score': 0.049}, {'token': 'fremantle', 'score': 0.026}, {'token': 'queensland', 'score': 0.022}, {'token': 'darwin', 'score': 0.011}]"
6,strasbourg,"[{'token': '(', 'score': 0.041}, {'token': 'germany', 'score': 0.034}, {'token': 'german', 'score': 0.031}, {'token': ',', 'score': 0.029}, {'token': ':', 'score': 0.025}, {'token': '""', 'score': 0.022}, {'token': '[', 'score': 0.02}, {'token': 'stuttgart', 'score': 0.014}, {'token': ';', 'score': 0.014}, {'token': '_', 'score': 0.013}]","[{'token': 'strasbourg', 'score': 0.4}, {'token': 'bordeaux', 'score': 0.114}, {'token': 'toulouse', 'score': 0.063}, {'token': 'metz', 'score': 0.048}, {'token': 'montpellier', 'score': 0.041}, {'token': 'lyon', 'score': 0.04}, {'token': 'versailles', 'score': 0.018}, {'token': 'alsace', 'score': 0.017}, {'token': 'paris', 'score': 0.016}, {'token': 'trier', 'score': 0.015}]","[{'token': 'strasbourg', 'score': 0.263}, {'token': 'lyon', 'score': 0.027}, {'token': 'metz', 'score': 0.026}, {'token': 'basel', 'score': 0.025}, {'token': 'berlin', 'score': 0.021}, {'token': 'leipzig', 'score': 0.02}, {'token': 'jena', 'score': 0.017}, {'token': 'vienna', 'score': 0.016}, {'token': 'brussels', 'score': 0.015}, {'token': 'lille', 'score': 0.015}]","[{'token': 'strasbourg', 'score': 0.451}, {'token': 'paris', 'score': 0.088}, {'token': 'lille', 'score': 0.056}, {'token': 'toulouse', 'score': 0.048}, {'token': 'lyon', 'score': 0.045}, {'token': 'marseille', 'score': 0.033}, {'token': 'bordeaux', 'score': 0.032}, {'token': 'toulon', 'score': 0.021}, {'token': 'versailles', 'score': 0.02}, {'token': 'brussels', 'score': 0.019}]","[{'token': 'strasbourg', 'score': 0.069}, {'token': 'toulouse', 'score': 0.068}, {'token': 'metz', 'score': 0.042}, {'token': 'paris', 'score': 0.042}, {'token': 'montpellier', 'score': 0.038}, {'token': 'nantes', 'score': 0.035}, {'token': 'frankfurt', 'score': 0.031}, {'token': 'bordeaux', 'score': 0.03}, {'token': 'lille', 'score': 0.029}, {'token': 'nord', 'score': 0.022}]"
7,shreveport,"[{'token': ',', 'score': 0.589}, {'token': '.', 'score': 0.229}, {'token': 'ny', 'score': 0.011}, {'token': ';', 'score': 0.009}, {'token': 'texas', 'score': 0.006}, {'token': 'louisiana', 'score': 0.006}, {'token': 'tx', 'score': 0.006}, {'token': 'arkansas', 'score': 0.005}, {'token': 'usa', 'score': 0.005}, {'token': 'alabama', 'score': 0.005}]","[{'token': 'arkansas', 'score': 0.035}, {'token': 'township', 'score': 0.032}, {'token': 'church', 'score': 0.029}, {'token': 'alabama', 'score': 0.028}, {'token': 'louisiana', 'score': 0.027}, {'token': ',', 'score': 0.026}, {'token': 'texas', 'score': 0.019}, {'token': 'oklahoma', 'score': 0.019}, {'token': 'area', 'score': 0.019}, {'token': '##a', 'score': 0.017}]","[{'token': ',', 'score': 0.76}, {'token': 'township', 'score': 0.015}, {'token': 'church', 'score': 0.007}, {'token': 'here', 'score': 0.005}, {'token': 'cemetery', 'score': 0.005}, {'token': 'arkansas', 'score': 0.005}, {'token': 'alabama', 'score': 0.005}, {'token': 'louisiana', 'score': 0.005}, {'token': 'georgia', 'score': 0.004}, {'token': 'hospital', 'score': 0.004}]","[{'token': ',', 'score': 0.918}, {'token': '-', 'score': 0.009}, {'token': 'is', 'score': 0.007}, {'token': 'attended', 'score': 0.006}, {'token': '.', 'score': 0.005}, {'token': 'was', 'score': 0.005}, {'token': 'lives', 'score': 0.004}, {'token': 'lived', 'score': 0.004}, {'token': 'resides', 'score': 0.002}, {'token': ')', 'score': 0.002}]","[{'token': ',', 'score': 0.908}, {'token': 'township', 'score': 0.007}, {'token': ')', 'score': 0.005}, {'token': 'was', 'score': 0.004}, {'token': 'parish', 'score': 0.002}, {'token': 'church', 'score': 0.002}, {'token': '""', 'score': 0.002}, {'token': 'arkansas', 'score': 0.001}, {'token': '-', 'score': 0.001}, {'token': '##a', 'score': 0.001}]"
8,lincoln,"[{'token': 'nebraska', 'score': 0.405}, {'token': 'omaha', 'score': 0.319}, {'token': 'lincoln', 'score': 0.027}, {'token': 'boulder', 'score': 0.02}, {'token': 'washington', 'score': 0.019}, {'token': 'colorado', 'score': 0.019}, {'token': 'kansas', 'score': 0.017}, {'token': 'denver', 'score': 0.013}, {'token': 'illinois', 'score': 0.007}, {'token': 'albuquerque', 'score': 0.007}]","[{'token': 'washington', 'score': 0.099}, {'token': 'california', 'score': 0.044}, {'token': 'seattle', 'score': 0.035}, {'token': 'florida', 'score': 0.024}, {'token': 'albuquerque', 'score': 0.024}, {'token': 'minneapolis', 'score': 0.02}, {'token': 'chicago', 'score': 0.018}, {'token': 'minnesota', 'score': 0.018}, {'token': 'oklahoma', 'score': 0.017}, {'token': 'denver', 'score': 0.017}]","[{'token': 'it', 'score': 0.48}, {'token': 'this', 'score': 0.194}, {'token': 'nebraska', 'score': 0.042}, {'token': 'omaha', 'score': 0.041}, {'token': 'here', 'score': 0.009}, {'token': 'lincoln', 'score': 0.006}, {'token': 'that', 'score': 0.006}, {'token': 'wichita', 'score': 0.004}, {'token': 'he', 'score': 0.004}, {'token': 'chicago', 'score': 0.003}]","[{'token': 'nebraska', 'score': 0.544}, {'token': 'omaha', 'score': 0.128}, {'token': 'washington', 'score': 0.036}, {'token': 'colorado', 'score': 0.029}, {'token': 'kansas', 'score': 0.021}, {'token': 'boulder', 'score': 0.02}, {'token': 'oklahoma', 'score': 0.013}, {'token': 'lincoln', 'score': 0.012}, {'token': 'denver', 'score': 0.012}, {'token': 'iowa', 'score': 0.01}]","[{'token': 'omaha', 'score': 0.385}, {'token': 'nebraska', 'score': 0.201}, {'token': 'boulder', 'score': 0.049}, {'token': 'lincoln', 'score': 0.048}, {'token': 'denver', 'score': 0.018}, {'token': 'washington', 'score': 0.017}, {'token': 'colorado', 'score': 0.015}, {'token': 'albuquerque', 'score': 0.012}, {'token': 'chicago', 'score': 0.011}, {'token': 'kansas', 'score': 0.01}]"
9,winchester,"[{'token': 'hampshire', 'score': 0.129}, {'token': 'manchester', 'score': 0.04}, {'token': 'southampton', 'score': 0.038}, {'token': 'portsmouth', 'score': 0.037}, {'token': 'plymouth', 'score': 0.032}, {'token': 'winchester', 'score': 0.031}, {'token': 'devon', 'score': 0.027}, {'token': 'dorset', 'score': 0.026}, {'token': 'wiltshire', 'score': 0.015}, {'token': 'cornwall', 'score': 0.015}]","[{'token': 'hampshire', 'score': 0.262}, {'token': 'winchester', 'score': 0.038}, {'token': 'dorset', 'score': 0.029}, {'token': 'plymouth', 'score': 0.026}, {'token': 'devon', 'score': 0.024}, {'token': 'kent', 'score': 0.018}, {'token': 'exeter', 'score': 0.018}, {'token': 'somerset', 'score': 0.017}, {'token': 'portsmouth', 'score': 0.015}, {'token': 'cornwall', 'score': 0.014}]","[{'token': 'hampshire', 'score': 0.612}, {'token': 'england', 'score': 0.02}, {'token': 'dorset', 'score': 0.018}, {'token': 'kent', 'score': 0.015}, {'token': 'winchester', 'score': 0.015}, {'token': 'plymouth', 'score': 0.013}, {'token': 'somerset', 'score': 0.011}, {'token': 'devon', 'score': 0.01}, {'token': 'yorkshire', 'score': 0.009}, {'token': 'berkshire', 'score': 0.009}]","[{'token': 'winchester', 'score': 0.095}, {'token': 'portsmouth', 'score': 0.07}, {'token': 'manchester', 'score': 0.068}, {'token': 'hampshire', 'score': 0.062}, {'token': 'exeter', 'score': 0.059}, {'token': 'plymouth', 'score': 0.045}, {'token': 'southampton', 'score': 0.034}, {'token': 'poole', 'score': 0.017}, {'token': 'worcester', 'score': 0.015}, {'token': 'devon', 'score': 0.015}]","[{'token': 'hampshire', 'score': 0.051}, {'token': 'plymouth', 'score': 0.049}, {'token': 'winchester', 'score': 0.039}, {'token': 'manchester', 'score': 0.032}, {'token': 'southampton', 'score': 0.028}, {'token': 'portsmouth', 'score': 0.028}, {'token': 'exeter', 'score': 0.019}, {'token': 'peterborough', 'score': 0.017}, {'token': 'cambridge', 'score': 0.013}, {'token': 'dorset', 'score': 0.013}]"
