,answers,original,t5_0,t5_1,t5_2,t5_3
0,brazil,"[{'token': 'spain', 'score': 0.302}, {'token': 'argentina', 'score': 0.1}, {'token': 'italy', 'score': 0.079}, {'token': 'france', 'score': 0.077}, {'token': 'germany', 'score': 0.068}, {'token': 'brazil', 'score': 0.065}, {'token': 'barcelona', 'score': 0.039}, {'token': 'ferrari', 'score': 0.027}, {'token': 'mexico', 'score': 0.027}, {'token': 'monaco', 'score': 0.017}]","[{'token': 'spain', 'score': 0.396}, {'token': 'argentina', 'score': 0.137}, {'token': 'france', 'score': 0.09}, {'token': 'brazil', 'score': 0.056}, {'token': 'italy', 'score': 0.054}, {'token': 'monaco', 'score': 0.035}, {'token': 'switzerland', 'score': 0.035}, {'token': 'ferrari', 'score': 0.025}, {'token': 'germany', 'score': 0.021}, {'token': 'australia', 'score': 0.017}]","[{'token': 'spain', 'score': 0.431}, {'token': 'argentina', 'score': 0.176}, {'token': 'italy', 'score': 0.078}, {'token': 'france', 'score': 0.072}, {'token': 'brazil', 'score': 0.067}, {'token': 'switzerland', 'score': 0.024}, {'token': 'germany', 'score': 0.021}, {'token': 'monaco', 'score': 0.02}, {'token': 'mexico', 'score': 0.016}, {'token': 'portugal', 'score': 0.011}]","[{'token': 'spain', 'score': 0.077}, {'token': 'barcelona', 'score': 0.067}, {'token': 'monaco', 'score': 0.064}, {'token': 'argentina', 'score': 0.056}, {'token': 'behind', 'score': 0.041}, {'token': 'france', 'score': 0.034}, {'token': 'brazil', 'score': 0.034}, {'token': 'germany', 'score': 0.027}, {'token': 'italy', 'score': 0.026}, {'token': 'switzerland', 'score': 0.024}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]"
1,france,"[{'token': 'french', 'score': 0.867}, {'token': 'canadian', 'score': 0.057}, {'token': 'belgian', 'score': 0.037}, {'token': 'swiss', 'score': 0.007}, {'token': 'quebec', 'score': 0.006}, {'token': 'british', 'score': 0.004}, {'token': 'parisian', 'score': 0.003}, {'token': 'paris', 'score': 0.002}, {'token': 'montreal', 'score': 0.001}, {'token': 'france', 'score': 0.001}]","[{'token': 'the', 'score': 0.586}, {'token': 'his', 'score': 0.089}, {'token': 'its', 'score': 0.067}, {'token': 'principal', 'score': 0.042}, {'token': 'her', 'score': 0.024}, {'token': 'chief', 'score': 0.018}, {'token': 'first', 'score': 0.016}, {'token': 'a', 'score': 0.014}, {'token': 'supervising', 'score': 0.012}, {'token': 'another', 'score': 0.012}]","[{'token': 'paris', 'score': 0.416}, {'token': 'france', 'score': 0.103}, {'token': 'london', 'score': 0.047}, {'token': 'chicago', 'score': 0.025}, {'token': 'montreal', 'score': 0.018}, {'token': 'canada', 'score': 0.012}, {'token': 'quebec', 'score': 0.011}, {'token': 'vienna', 'score': 0.01}, {'token': 'toronto', 'score': 0.01}, {'token': 'berlin', 'score': 0.009}]","[{'token': 'paris', 'score': 0.128}, {'token': 'france', 'score': 0.101}, {'token': 'montreal', 'score': 0.066}, {'token': 'quebec', 'score': 0.032}, {'token': 'maine', 'score': 0.026}, {'token': 'london', 'score': 0.019}, {'token': 'canada', 'score': 0.011}, {'token': 'england', 'score': 0.009}, {'token': 'philadelphia', 'score': 0.009}, {'token': 'boston', 'score': 0.009}]","[{'token': 'paris', 'score': 0.213}, {'token': 'france', 'score': 0.131}, {'token': 'london', 'score': 0.051}, {'token': 'belgium', 'score': 0.02}, {'token': 'italy', 'score': 0.013}, {'token': 'brussels', 'score': 0.013}, {'token': 'barcelona', 'score': 0.011}, {'token': 'montreal', 'score': 0.011}, {'token': 'switzerland', 'score': 0.011}, {'token': 'spain', 'score': 0.01}]"
2,estonia,"[{'token': 'estonian', 'score': 0.26}, {'token': 'danish', 'score': 0.105}, {'token': 'german', 'score': 0.094}, {'token': 'norwegian', 'score': 0.093}, {'token': 'swedish', 'score': 0.067}, {'token': 'finnish', 'score': 0.039}, {'token': 'latvian', 'score': 0.034}, {'token': 'french', 'score': 0.028}, {'token': 'polish', 'score': 0.028}, {'token': 'dutch', 'score': 0.019}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': 'estonia', 'score': 0.367}, {'token': 'norway', 'score': 0.145}, {'token': 'sweden', 'score': 0.122}, {'token': 'latvia', 'score': 0.043}, {'token': 'finland', 'score': 0.038}, {'token': 'denmark', 'score': 0.035}, {'token': 'poland', 'score': 0.025}, {'token': 'romania', 'score': 0.015}, {'token': 'iceland', 'score': 0.013}, {'token': 'australia', 'score': 0.013}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]"
3,denmark,"[{'token': 'denmark', 'score': 0.601}, {'token': 'sweden', 'score': 0.161}, {'token': 'norway', 'score': 0.074}, {'token': 'estonia', 'score': 0.015}, {'token': 'copenhagen', 'score': 0.015}, {'token': 'austria', 'score': 0.013}, {'token': 'lithuania', 'score': 0.009}, {'token': 'finland', 'score': 0.008}, {'token': 'schleswig', 'score': 0.006}, {'token': 'latvia', 'score': 0.005}]","[{'token': 'denmark', 'score': 0.57}, {'token': 'sweden', 'score': 0.089}, {'token': 'copenhagen', 'score': 0.074}, {'token': 'norway', 'score': 0.063}, {'token': 'estonia', 'score': 0.015}, {'token': 'mecklenburg', 'score': 0.015}, {'token': 'schleswig', 'score': 0.013}, {'token': 'liechtenstein', 'score': 0.012}, {'token': 'finland', 'score': 0.008}, {'token': 'hesse', 'score': 0.008}]","[{'token': 'denmark', 'score': 0.685}, {'token': 'sweden', 'score': 0.061}, {'token': 'danish', 'score': 0.046}, {'token': 'norway', 'score': 0.04}, {'token': 'copenhagen', 'score': 0.039}, {'token': 'finland', 'score': 0.006}, {'token': 'estonia', 'score': 0.005}, {'token': 'mecklenburg', 'score': 0.004}, {'token': 'iceland', 'score': 0.004}, {'token': 'germany', 'score': 0.004}]","[{'token': 'denmark', 'score': 0.395}, {'token': 'sweden', 'score': 0.234}, {'token': 'norway', 'score': 0.107}, {'token': 'austria', 'score': 0.026}, {'token': 'liechtenstein', 'score': 0.026}, {'token': 'estonia', 'score': 0.023}, {'token': 'lithuania', 'score': 0.022}, {'token': 'finland', 'score': 0.014}, {'token': 'latvia', 'score': 0.011}, {'token': 'germany', 'score': 0.01}]","[{'token': 'denmark', 'score': 0.528}, {'token': 'sweden', 'score': 0.167}, {'token': 'norway', 'score': 0.115}, {'token': 'finland', 'score': 0.016}, {'token': 'estonia', 'score': 0.015}, {'token': 'copenhagen', 'score': 0.013}, {'token': 'liechtenstein', 'score': 0.009}, {'token': 'austria', 'score': 0.008}, {'token': 'germany', 'score': 0.007}, {'token': 'iceland', 'score': 0.007}]"
4,denmark,"[{'token': 'canadian', 'score': 0.117}, {'token': 'swedish', 'score': 0.084}, {'token': 'danish', 'score': 0.061}, {'token': 'finnish', 'score': 0.055}, {'token': 'norwegian', 'score': 0.048}, {'token': 'british', 'score': 0.047}, {'token': 'french', 'score': 0.031}, {'token': 'jazz', 'score': 0.029}, {'token': 'german', 'score': 0.023}, {'token': 'dutch', 'score': 0.018}]","[{'token': 'australia', 'score': 0.012}, {'token': 'london', 'score': 0.011}, {'token': 'it', 'score': 0.01}, {'token': 'california', 'score': 0.009}, {'token': 'toronto', 'score': 0.008}, {'token': 'today', 'score': 0.007}, {'token': 'chicago', 'score': 0.007}, {'token': 'houston', 'score': 0.007}, {'token': 'canada', 'score': 0.007}, {'token': 'atlanta', 'score': 0.006}]","[{'token': 'toronto', 'score': 0.025}, {'token': 'london', 'score': 0.023}, {'token': 'australia', 'score': 0.021}, {'token': 'california', 'score': 0.016}, {'token': 'sweden', 'score': 0.015}, {'token': 'jamaica', 'score': 0.014}, {'token': 'canada', 'score': 0.014}, {'token': 'chicago', 'score': 0.014}, {'token': 'ireland', 'score': 0.014}, {'token': 'denmark', 'score': 0.012}]","[{'token': 'london', 'score': 0.055}, {'token': 'paris', 'score': 0.041}, {'token': 'toronto', 'score': 0.024}, {'token': 'philadelphia', 'score': 0.018}, {'token': 'england', 'score': 0.017}, {'token': 'france', 'score': 0.015}, {'token': 'chicago', 'score': 0.015}, {'token': 'berlin', 'score': 0.013}, {'token': 'jamaica', 'score': 0.012}, {'token': 'ireland', 'score': 0.012}]","[{'token': 'australia', 'score': 0.058}, {'token': 'canada', 'score': 0.027}, {'token': 'sweden', 'score': 0.026}, {'token': 'france', 'score': 0.023}, {'token': 'finland', 'score': 0.022}, {'token': 'london', 'score': 0.021}, {'token': 'england', 'score': 0.02}, {'token': 'india', 'score': 0.02}, {'token': 'ireland', 'score': 0.017}, {'token': 'california', 'score': 0.016}]"
5,sweden,"[{'token': 'swedish', 'score': 0.854}, {'token': 'norwegian', 'score': 0.094}, {'token': 'danish', 'score': 0.024}, {'token': 'finnish', 'score': 0.012}, {'token': 'german', 'score': 0.004}, {'token': 'stockholm', 'score': 0.001}, {'token': 'scandinavian', 'score': 0.001}, {'token': 'nordic', 'score': 0.001}, {'token': 'baltic', 'score': 0.001}, {'token': 'dutch', 'score': 0.001}]","[{'token': 'sweden', 'score': 0.422}, {'token': 'stockholm', 'score': 0.168}, {'token': 'norway', 'score': 0.091}, {'token': 'denmark', 'score': 0.065}, {'token': 'oslo', 'score': 0.025}, {'token': 'copenhagen', 'score': 0.025}, {'token': 'uppsala', 'score': 0.024}, {'token': 'gothenburg', 'score': 0.02}, {'token': 'finland', 'score': 0.019}, {'token': 'scandinavia', 'score': 0.008}]","[{'token': 'stockholm', 'score': 0.512}, {'token': 'sweden', 'score': 0.193}, {'token': 'oslo', 'score': 0.033}, {'token': 'copenhagen', 'score': 0.032}, {'token': 'uppsala', 'score': 0.031}, {'token': 'norway', 'score': 0.029}, {'token': 'denmark', 'score': 0.02}, {'token': 'gothenburg', 'score': 0.019}, {'token': 'malmo', 'score': 0.007}, {'token': 'trondheim', 'score': 0.006}]","[{'token': 'sweden', 'score': 0.244}, {'token': 'norway', 'score': 0.148}, {'token': 'denmark', 'score': 0.101}, {'token': 'stockholm', 'score': 0.095}, {'token': 'germany', 'score': 0.089}, {'token': 'england', 'score': 0.041}, {'token': 'switzerland', 'score': 0.021}, {'token': 'copenhagen', 'score': 0.018}, {'token': 'finland', 'score': 0.017}, {'token': 'austria', 'score': 0.015}]","[{'token': 'london', 'score': 0.091}, {'token': 'england', 'score': 0.041}, {'token': 'scotland', 'score': 0.032}, {'token': 'vienna', 'score': 0.026}, {'token': 'sweden', 'score': 0.025}, {'token': 'edinburgh', 'score': 0.024}, {'token': 'germany', 'score': 0.024}, {'token': 'denmark', 'score': 0.023}, {'token': 'austria', 'score': 0.02}, {'token': 'stockholm', 'score': 0.019}]"
6,india,"[{'token': 'india', 'score': 0.85}, {'token': 'bangladesh', 'score': 0.023}, {'token': 'pakistan', 'score': 0.011}, {'token': 'burma', 'score': 0.006}, {'token': 'respectively', 'score': 0.005}, {'token': 'odisha', 'score': 0.004}, {'token': 'bengal', 'score': 0.004}, {'token': '1971', 'score': 0.003}, {'token': '1962', 'score': 0.003}, {'token': '1937', 'score': 0.003}]","[{'token': 'india', 'score': 0.484}, {'token': 'bengal', 'score': 0.108}, {'token': 'bihar', 'score': 0.039}, {'token': 'calcutta', 'score': 0.033}, {'token': 'kolkata', 'score': 0.026}, {'token': 'assam', 'score': 0.023}, {'token': 'maharashtra', 'score': 0.021}, {'token': 'bangladesh', 'score': 0.017}, {'token': 'delhi', 'score': 0.015}, {'token': 'gujarat', 'score': 0.012}]","[{'token': 'india', 'score': 0.139}, {'token': 'who', 'score': 0.104}, {'token': 'there', 'score': 0.078}, {'token': 'then', 'score': 0.052}, {'token': 'he', 'score': 0.048}, {'token': 'assam', 'score': 0.044}, {'token': 'maharashtra', 'score': 0.022}, {'token': 'this', 'score': 0.019}, {'token': 'which', 'score': 0.018}, {'token': 'it', 'score': 0.017}]","[{'token': 'india', 'score': 0.39}, {'token': 'respectively', 'score': 0.06}, {'token': 'etc', 'score': 0.046}, {'token': 'maharashtra', 'score': 0.04}, {'token': 'calcutta', 'score': 0.021}, {'token': 'kolkata', 'score': 0.019}, {'token': 'bangladesh', 'score': 0.017}, {'token': 'viz', 'score': 0.017}, {'token': 'bengal', 'score': 0.013}, {'token': 'gujarat', 'score': 0.013}]","[{'token': 'india', 'score': 0.327}, {'token': 'state', 'score': 0.159}, {'token': 'bengal', 'score': 0.068}, {'token': 'odisha', 'score': 0.04}, {'token': 'bihar', 'score': 0.04}, {'token': 'assam', 'score': 0.034}, {'token': 'bangladesh', 'score': 0.026}, {'token': 'education', 'score': 0.02}, {'token': 'kerala', 'score': 0.018}, {'token': 'government', 'score': 0.017}]"
7,japan,"[{'token': 'japan', 'score': 0.439}, {'token': 'taiwan', 'score': 0.079}, {'token': 'tokyo', 'score': 0.054}, {'token': 'china', 'score': 0.036}, {'token': 'india', 'score': 0.027}, {'token': 'indonesia', 'score': 0.017}, {'token': 'thailand', 'score': 0.017}, {'token': 'osaka', 'score': 0.011}, {'token': 'hawaii', 'score': 0.01}, {'token': 'malaysia', 'score': 0.01}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': 'tokyo', 'score': 0.274}, {'token': 'japan', 'score': 0.119}, {'token': 'osaka', 'score': 0.074}, {'token': 'nagoya', 'score': 0.023}, {'token': 'kyoto', 'score': 0.022}, {'token': 'taiwan', 'score': 0.019}, {'token': 'fukuoka', 'score': 0.018}, {'token': 'hawaii', 'score': 0.018}, {'token': 'mumbai', 'score': 0.014}, {'token': 'kochi', 'score': 0.013}]"
8,canada,"[{'token': 'america', 'score': 0.138}, {'token': 'canada', 'score': 0.103}, {'token': 'massachusetts', 'score': 0.075}, {'token': 'california', 'score': 0.058}, {'token': 'washington', 'score': 0.03}, {'token': 'congress', 'score': 0.024}, {'token': '1972', 'score': 0.02}, {'token': 'pennsylvania', 'score': 0.018}, {'token': 'virginia', 'score': 0.016}, {'token': 'illinois', 'score': 0.016}]","[{'token': 'canada', 'score': 0.256}, {'token': 'massachusetts', 'score': 0.026}, {'token': 'britain', 'score': 0.022}, {'token': 'ontario', 'score': 0.021}, {'token': '1935', 'score': 0.02}, {'token': '1916', 'score': 0.015}, {'token': 'quebec', 'score': 0.015}, {'token': 'australia', 'score': 0.015}, {'token': 'america', 'score': 0.014}, {'token': '1933', 'score': 0.012}]","[{'token': 'he', 'score': 0.288}, {'token': 'canada', 'score': 0.153}, {'token': 'douglas', 'score': 0.04}, {'token': 'massachusetts', 'score': 0.026}, {'token': 'britain', 'score': 0.026}, {'token': 'ontario', 'score': 0.021}, {'token': 'quebec', 'score': 0.02}, {'token': 'california', 'score': 0.019}, {'token': 'congress', 'score': 0.014}, {'token': 'vermont', 'score': 0.014}]","[{'token': '1964', 'score': 0.056}, {'token': '1972', 'score': 0.055}, {'token': '1965', 'score': 0.053}, {'token': '1968', 'score': 0.046}, {'token': '1974', 'score': 0.042}, {'token': '1971', 'score': 0.04}, {'token': '1973', 'score': 0.039}, {'token': '1961', 'score': 0.035}, {'token': '1970', 'score': 0.033}, {'token': '1966', 'score': 0.031}]","[{'token': 'canada', 'score': 0.688}, {'token': 'britain', 'score': 0.051}, {'token': 'america', 'score': 0.029}, {'token': 'quebec', 'score': 0.018}, {'token': 'australia', 'score': 0.018}, {'token': 'vermont', 'score': 0.013}, {'token': 'washington', 'score': 0.012}, {'token': 'ontario', 'score': 0.011}, {'token': 'california', 'score': 0.008}, {'token': 'massachusetts', 'score': 0.007}]"
9,nigeria,"[{'token': 'nigeria', 'score': 0.629}, {'token': 'parliament', 'score': 0.094}, {'token': 'lagos', 'score': 0.046}, {'token': 'benin', 'score': 0.032}, {'token': 'ghana', 'score': 0.03}, {'token': 'niger', 'score': 0.011}, {'token': 'government', 'score': 0.011}, {'token': 'congress', 'score': 0.008}, {'token': 'state', 'score': 0.008}, {'token': 'guinea', 'score': 0.008}]","[{'token': 'unicef', 'score': 0.051}, {'token': 'maldives', 'score': 0.038}, {'token': 'pakistan', 'score': 0.033}, {'token': 'bangladesh', 'score': 0.032}, {'token': 'nigeria', 'score': 0.027}, {'token': 'parliament', 'score': 0.024}, {'token': 'unesco', 'score': 0.023}, {'token': 'fifa', 'score': 0.02}, {'token': 'ghana', 'score': 0.018}, {'token': 'government', 'score': 0.017}]","[{'token': 'nigeria', 'score': 0.078}, {'token': 'ghana', 'score': 0.073}, {'token': 'pakistan', 'score': 0.062}, {'token': 'bangladesh', 'score': 0.048}, {'token': 'india', 'score': 0.03}, {'token': 'parliament', 'score': 0.028}, {'token': 'iran', 'score': 0.028}, {'token': 'malaysia', 'score': 0.027}, {'token': 'thailand', 'score': 0.022}, {'token': 'myanmar', 'score': 0.02}]","[{'token': 'bangladesh', 'score': 0.084}, {'token': 'nigeria', 'score': 0.071}, {'token': 'iran', 'score': 0.055}, {'token': 'bahrain', 'score': 0.054}, {'token': 'maldives', 'score': 0.05}, {'token': 'pakistan', 'score': 0.038}, {'token': 'ghana', 'score': 0.034}, {'token': 'tajikistan', 'score': 0.033}, {'token': 'yemen', 'score': 0.028}, {'token': 'malawi', 'score': 0.028}]","[{'token': 'maldives', 'score': 0.051}, {'token': 'unicef', 'score': 0.049}, {'token': 'bangladesh', 'score': 0.039}, {'token': 'pakistan', 'score': 0.036}, {'token': 'nigeria', 'score': 0.027}, {'token': 'hamas', 'score': 0.02}, {'token': 'islam', 'score': 0.016}, {'token': 'unesco', 'score': 0.016}, {'token': 'parliament', 'score': 0.015}, {'token': 'ghana', 'score': 0.014}]"
