,answers,original,t5_0,t5_1,t5_2,t5_3
0,urdu,"[{'token': 'urdu', 'score': 0.605}, {'token': 'arabic', 'score': 0.083}, {'token': 'english', 'score': 0.045}, {'token': 'persian', 'score': 0.04}, {'token': 'hindi', 'score': 0.019}, {'token': 'pakistan', 'score': 0.017}, {'token': 'code', 'score': 0.016}, {'token': 'punjabi', 'score': 0.015}, {'token': 'language', 'score': 0.013}, {'token': 'sanskrit', 'score': 0.012}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]"
1,italian,"[{'token': 'italian', 'score': 0.842}, {'token': 'argentine', 'score': 0.078}, {'token': 'austrian', 'score': 0.026}, {'token': 'american', 'score': 0.02}, {'token': 'english', 'score': 0.008}, {'token': 'albanian', 'score': 0.004}, {'token': 'australian', 'score': 0.003}, {'token': 'estonian', 'score': 0.003}, {'token': 'ethiopian', 'score': 0.002}, {'token': 'iranian', 'score': 0.002}]","[{'token': 'american', 'score': 0.266}, {'token': 'italian', 'score': 0.243}, {'token': 'austrian', 'score': 0.141}, {'token': 'englishman', 'score': 0.065}, {'token': 'australian', 'score': 0.04}, {'token': 'athlete', 'score': 0.034}, {'token': 'engineer', 'score': 0.03}, {'token': 'argentine', 'score': 0.025}, {'token': 'armenian', 'score': 0.019}, {'token': 'indian', 'score': 0.016}]","[{'token': 'italian', 'score': 0.298}, {'token': 'american', 'score': 0.217}, {'token': 'austrian', 'score': 0.166}, {'token': 'argentine', 'score': 0.058}, {'token': 'australian', 'score': 0.054}, {'token': 'englishman', 'score': 0.047}, {'token': 'algerian', 'score': 0.027}, {'token': 'estonian', 'score': 0.021}, {'token': 'engineer', 'score': 0.02}, {'token': 'athlete', 'score': 0.013}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]"
2,finnish,"[{'token': 'finnish', 'score': 0.315}, {'token': 'swedish', 'score': 0.151}, {'token': 'lithuanian', 'score': 0.148}, {'token': 'german', 'score': 0.068}, {'token': 'polish', 'score': 0.059}, {'token': 'dutch', 'score': 0.047}, {'token': 'danish', 'score': 0.037}, {'token': 'hungarian', 'score': 0.032}, {'token': 'norwegian', 'score': 0.018}, {'token': 'japanese', 'score': 0.016}]","[{'token': 'former', 'score': 0.121}, {'token': 'swedish', 'score': 0.121}, {'token': 'prominent', 'score': 0.081}, {'token': 'lithuanian', 'score': 0.074}, {'token': 'dutch', 'score': 0.065}, {'token': 'german', 'score': 0.058}, {'token': 'finnish', 'score': 0.054}, {'token': 'hungarian', 'score': 0.054}, {'token': 'polish', 'score': 0.045}, {'token': 'norwegian', 'score': 0.024}]","[{'token': 'german', 'score': 0.295}, {'token': 'dutch', 'score': 0.099}, {'token': 'hungarian', 'score': 0.05}, {'token': 'polish', 'score': 0.048}, {'token': 'swedish', 'score': 0.039}, {'token': 'successful', 'score': 0.035}, {'token': 'former', 'score': 0.03}, {'token': 'danish', 'score': 0.022}, {'token': 'finnish', 'score': 0.021}, {'token': 'local', 'score': 0.017}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]"
3,spanish,"[{'token': 'spanish', 'score': 0.689}, {'token': 'portuguese', 'score': 0.176}, {'token': 'english', 'score': 0.042}, {'token': 'brazilian', 'score': 0.019}, {'token': 'mexican', 'score': 0.01}, {'token': 'french', 'score': 0.008}, {'token': 'colombian', 'score': 0.007}, {'token': 'chilean', 'score': 0.007}, {'token': 'italian', 'score': 0.003}, {'token': 'peruvian', 'score': 0.002}]","[{'token': 'spanish', 'score': 0.524}, {'token': 'portuguese', 'score': 0.333}, {'token': 'english', 'score': 0.049}, {'token': 'brazilian', 'score': 0.023}, {'token': 'french', 'score': 0.009}, {'token': 'italian', 'score': 0.004}, {'token': 'mexican', 'score': 0.004}, {'token': 'colombian', 'score': 0.004}, {'token': 'chilean', 'score': 0.003}, {'token': 'arabic', 'score': 0.003}]","[{'token': 'spanish', 'score': 0.36}, {'token': 'portuguese', 'score': 0.32}, {'token': 'brazilian', 'score': 0.076}, {'token': 'colombian', 'score': 0.048}, {'token': 'english', 'score': 0.034}, {'token': 'chilean', 'score': 0.018}, {'token': 'bolivian', 'score': 0.014}, {'token': 'mexican', 'score': 0.011}, {'token': 'non', 'score': 0.01}, {'token': 'peruvian', 'score': 0.01}]","[{'token': 'spanish', 'score': 0.635}, {'token': 'portuguese', 'score': 0.137}, {'token': 'colombian', 'score': 0.036}, {'token': 'english', 'score': 0.031}, {'token': 'brazilian', 'score': 0.03}, {'token': 'mexican', 'score': 0.012}, {'token': 'chilean', 'score': 0.011}, {'token': 'french', 'score': 0.01}, {'token': 'non', 'score': 0.01}, {'token': 'galician', 'score': 0.007}]","[{'token': 'spanish', 'score': 0.782}, {'token': 'portuguese', 'score': 0.107}, {'token': 'english', 'score': 0.04}, {'token': 'brazilian', 'score': 0.012}, {'token': 'mexican', 'score': 0.009}, {'token': 'french', 'score': 0.006}, {'token': 'latin', 'score': 0.004}, {'token': 'colombian', 'score': 0.003}, {'token': 'italian', 'score': 0.003}, {'token': 'native', 'score': 0.002}]"
4,french,"[{'token': 'french', 'score': 0.11}, {'token': 'also', 'score': 0.028}, {'token': 'english', 'score': 0.028}, {'token': 'see', 'score': 0.027}, {'token': 'aka', 'score': 0.022}, {'token': 'now', 'score': 0.019}, {'token': 'formerly', 'score': 0.018}, {'token': 'france', 'score': 0.017}, {'token': 'originally', 'score': 0.016}, {'token': 'officially', 'score': 0.015}]","[{'token': 'french', 'score': 0.909}, {'token': 'british', 'score': 0.047}, {'token': 'australian', 'score': 0.004}, {'token': 'american', 'score': 0.004}, {'token': 'the', 'score': 0.002}, {'token': 'then', 'score': 0.002}, {'token': 'now', 'score': 0.001}, {'token': 'modern', 'score': 0.001}, {'token': 'new', 'score': 0.001}, {'token': 'canadian', 'score': 0.001}]","[{'token': 'french', 'score': 0.974}, {'token': 'british', 'score': 0.016}, {'token': 'american', 'score': 0.001}, {'token': 'australian', 'score': 0.001}, {'token': 'the', 'score': 0.001}, {'token': 'modern', 'score': 0.0}, {'token': 'then', 'score': 0.0}, {'token': 'canadian', 'score': 0.0}, {'token': 'japanese', 'score': 0.0}, {'token': 'new', 'score': 0.0}]","[{'token': 'french', 'score': 0.95}, {'token': 'british', 'score': 0.027}, {'token': 'the', 'score': 0.005}, {'token': 'australian', 'score': 0.002}, {'token': 'american', 'score': 0.002}, {'token': 'little', 'score': 0.001}, {'token': 'new', 'score': 0.001}, {'token': 'western', 'score': 0.0}, {'token': 'canadian', 'score': 0.0}, {'token': 'then', 'score': 0.0}]","[{'token': 'french', 'score': 0.837}, {'token': 'british', 'score': 0.069}, {'token': 'the', 'score': 0.006}, {'token': 'australian', 'score': 0.005}, {'token': 'then', 'score': 0.005}, {'token': 'american', 'score': 0.005}, {'token': 'new', 'score': 0.004}, {'token': 'now', 'score': 0.003}, {'token': 'modern', 'score': 0.003}, {'token': 'while', 'score': 0.002}]"
5,finnish,"[{'token': 'finnish', 'score': 0.544}, {'token': 'swedish', 'score': 0.102}, {'token': 'danish', 'score': 0.035}, {'token': 'icelandic', 'score': 0.029}, {'token': 'japanese', 'score': 0.022}, {'token': 'italian', 'score': 0.019}, {'token': 'hungarian', 'score': 0.016}, {'token': 'norwegian', 'score': 0.015}, {'token': 'german', 'score': 0.014}, {'token': 'romanian', 'score': 0.014}]","[{'token': 'finnish', 'score': 0.78}, {'token': 'swedish', 'score': 0.055}, {'token': 'former', 'score': 0.026}, {'token': 'japanese', 'score': 0.017}, {'token': 'danish', 'score': 0.014}, {'token': 'norwegian', 'score': 0.009}, {'token': 'latvian', 'score': 0.008}, {'token': 'romanian', 'score': 0.008}, {'token': 'russian', 'score': 0.007}, {'token': 'brazilian', 'score': 0.006}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': 'finnish', 'score': 0.389}, {'token': 'swedish', 'score': 0.12}, {'token': 'estonian', 'score': 0.071}, {'token': 'danish', 'score': 0.045}, {'token': 'icelandic', 'score': 0.032}, {'token': 'brazilian', 'score': 0.02}, {'token': 'japanese', 'score': 0.018}, {'token': 'russian', 'score': 0.017}, {'token': 'italian', 'score': 0.015}, {'token': 'norwegian', 'score': 0.014}]","[{'token': 'finnish', 'score': 0.792}, {'token': 'finland', 'score': 0.028}, {'token': 'swedish', 'score': 0.026}, {'token': 'estonian', 'score': 0.015}, {'token': 'albanian', 'score': 0.01}, {'token': 'danish', 'score': 0.009}, {'token': 'icelandic', 'score': 0.008}, {'token': 'canadian', 'score': 0.008}, {'token': 'norwegian', 'score': 0.007}, {'token': 'russian', 'score': 0.005}]"
6,malay,"[{'token': 'english', 'score': 0.135}, {'token': 'indonesian', 'score': 0.117}, {'token': 'chinese', 'score': 0.069}, {'token': 'malay', 'score': 0.047}, {'token': 'malaysia', 'score': 0.045}, {'token': 'indonesia', 'score': 0.036}, {'token': 'thai', 'score': 0.034}, {'token': 'language', 'score': 0.021}, {'token': 'malaysian', 'score': 0.02}, {'token': 'brunei', 'score': 0.016}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]"
7,urdu,"[{'token': 'urdu', 'score': 0.246}, {'token': 'english', 'score': 0.21}, {'token': 'translation', 'score': 0.046}, {'token': 'language', 'score': 0.045}, {'token': 'tamil', 'score': 0.03}, {'token': 'hindi', 'score': 0.021}, {'token': 'code', 'score': 0.02}, {'token': 'arabic', 'score': 0.019}, {'token': 'marathi', 'score': 0.013}, {'token': 'hebrew', 'score': 0.012}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]"
8,finnish,"[{'token': 'finnish', 'score': 0.342}, {'token': 'swedish', 'score': 0.209}, {'token': 'danish', 'score': 0.098}, {'token': 'norwegian', 'score': 0.049}, {'token': 'german', 'score': 0.043}, {'token': 'english', 'score': 0.041}, {'token': 'finland', 'score': 0.034}, {'token': 'french', 'score': 0.015}, {'token': 'sweden', 'score': 0.014}, {'token': 'spanish', 'score': 0.009}]","[{'token': 'english', 'score': 0.313}, {'token': 'swedish', 'score': 0.087}, {'token': 'finnish', 'score': 0.065}, {'token': 'german', 'score': 0.056}, {'token': 'icelandic', 'score': 0.033}, {'token': 'estonian', 'score': 0.032}, {'token': 'norwegian', 'score': 0.027}, {'token': 'italian', 'score': 0.027}, {'token': 'dutch', 'score': 0.024}, {'token': 'french', 'score': 0.023}]","[{'token': 'baltic', 'score': 0.187}, {'token': 'north', 'score': 0.092}, {'token': 'mediterranean', 'score': 0.062}, {'token': 'west', 'score': 0.035}, {'token': 'east', 'score': 0.032}, {'token': 'atlantic', 'score': 0.031}, {'token': 'netherlands', 'score': 0.031}, {'token': 'aegean', 'score': 0.031}, {'token': 'arctic', 'score': 0.028}, {'token': 'south', 'score': 0.027}]","[{'token': 'english', 'score': 0.426}, {'token': 'german', 'score': 0.054}, {'token': 'swedish', 'score': 0.051}, {'token': 'finnish', 'score': 0.036}, {'token': 'dutch', 'score': 0.03}, {'token': 'estonian', 'score': 0.027}, {'token': 'french', 'score': 0.025}, {'token': 'danish', 'score': 0.024}, {'token': 'italian', 'score': 0.018}, {'token': 'norwegian', 'score': 0.018}]","[{'token': 'finland', 'score': 0.2}, {'token': ')', 'score': 0.127}, {'token': 'finnish', 'score': 0.101}, {'token': 'sweden', 'score': 0.071}, {'token': 'english', 'score': 0.049}, {'token': 'germany', 'score': 0.019}, {'token': ',', 'score': 0.017}, {'token': 'europe', 'score': 0.016}, {'token': 'estonia', 'score': 0.016}, {'token': 'swedish', 'score': 0.015}]"
9,french,"[{'token': 'english', 'score': 0.286}, {'token': 'spanish', 'score': 0.214}, {'token': 'french', 'score': 0.099}, {'token': 'german', 'score': 0.04}, {'token': 'irish', 'score': 0.018}, {'token': 'afrikaans', 'score': 0.018}, {'token': 'hindi', 'score': 0.015}, {'token': 'british', 'score': 0.015}, {'token': 'native', 'score': 0.015}, {'token': 'loud', 'score': 0.014}]","[{'token': 'french', 'score': 0.618}, {'token': 'spanish', 'score': 0.233}, {'token': 'english', 'score': 0.049}, {'token': 'german', 'score': 0.027}, {'token': 'portuguese', 'score': 0.006}, {'token': 'british', 'score': 0.004}, {'token': 'swedish', 'score': 0.003}, {'token': 'welsh', 'score': 0.003}, {'token': 'russian', 'score': 0.003}, {'token': 'creole', 'score': 0.002}]","[{'token': 'french', 'score': 0.663}, {'token': 'spanish', 'score': 0.218}, {'token': 'english', 'score': 0.036}, {'token': 'german', 'score': 0.025}, {'token': 'portuguese', 'score': 0.004}, {'token': 'british', 'score': 0.004}, {'token': 'swedish', 'score': 0.003}, {'token': 'canadian', 'score': 0.003}, {'token': 'welsh', 'score': 0.002}, {'token': 'creole', 'score': 0.002}]","[{'token': 'french', 'score': 0.566}, {'token': 'spanish', 'score': 0.257}, {'token': 'english', 'score': 0.059}, {'token': 'german', 'score': 0.037}, {'token': 'portuguese', 'score': 0.008}, {'token': 'russian', 'score': 0.005}, {'token': 'swedish', 'score': 0.004}, {'token': 'british', 'score': 0.004}, {'token': 'welsh', 'score': 0.003}, {'token': 'dutch', 'score': 0.002}]","[{'token': 'french', 'score': 0.583}, {'token': 'spanish', 'score': 0.264}, {'token': 'english', 'score': 0.046}, {'token': 'german', 'score': 0.033}, {'token': 'portuguese', 'score': 0.006}, {'token': 'british', 'score': 0.004}, {'token': 'swedish', 'score': 0.003}, {'token': 'canadian', 'score': 0.003}, {'token': 'russian', 'score': 0.003}, {'token': 'vietnamese', 'score': 0.002}]"
