,answers,original,t5_0,t5_1,t5_2,t5_3
0,alexandra,"[{'token': 'melbourne', 'score': 0.33}, {'token': 'sydney', 'score': 0.267}, {'token': 'brisbane', 'score': 0.146}, {'token': 'adelaide', 'score': 0.086}, {'token': 'perth', 'score': 0.062}, {'token': 'victoria', 'score': 0.028}, {'token': 'queensland', 'score': 0.025}, {'token': 'canberra', 'score': 0.022}, {'token': 'newcastle', 'score': 0.006}, {'token': 'tasmania', 'score': 0.006}]","[{'token': 'france', 'score': 0.997}, {'token': 'california', 'score': 0.001}, {'token': 'canada', 'score': 0.0}, {'token': 'yorkshire', 'score': 0.0}, {'token': 'britain', 'score': 0.0}, {'token': 'paris', 'score': 0.0}, {'token': 'wales', 'score': 0.0}, {'token': 'europe', 'score': 0.0}, {'token': 'belgium', 'score': 0.0}, {'token': 'cure', 'score': 0.0}]","[{'token': 'france', 'score': 0.997}, {'token': 'california', 'score': 0.001}, {'token': 'canada', 'score': 0.0}, {'token': 'britain', 'score': 0.0}, {'token': 'paris', 'score': 0.0}, {'token': 'wales', 'score': 0.0}, {'token': 'yorkshire', 'score': 0.0}, {'token': 'europe', 'score': 0.0}, {'token': 'victoria', 'score': 0.0}, {'token': 'belgium', 'score': 0.0}]","[{'token': 'france', 'score': 0.998}, {'token': 'california', 'score': 0.001}, {'token': 'canada', 'score': 0.0}, {'token': 'yorkshire', 'score': 0.0}, {'token': 'britain', 'score': 0.0}, {'token': 'paris', 'score': 0.0}, {'token': 'wales', 'score': 0.0}, {'token': 'europe', 'score': 0.0}, {'token': 'victoria', 'score': 0.0}, {'token': 'ski', 'score': 0.0}]","[{'token': 'france', 'score': 0.997}, {'token': 'yorkshire', 'score': 0.0}, {'token': 'canada', 'score': 0.0}, {'token': 'california', 'score': 0.0}, {'token': 'wales', 'score': 0.0}, {'token': 'britain', 'score': 0.0}, {'token': 'paris', 'score': 0.0}, {'token': 'belgium', 'score': 0.0}, {'token': 'ski', 'score': 0.0}, {'token': 'diane', 'score': 0.0}]"
1,doncaster,"[{'token': 'previous', 'score': 0.352}, {'token': 'former', 'score': 0.085}, {'token': 'last', 'score': 0.07}, {'token': 'own', 'score': 0.062}, {'token': 'home', 'score': 0.03}, {'token': 'old', 'score': 0.027}, {'token': 'parliamentary', 'score': 0.026}, {'token': 'original', 'score': 0.024}, {'token': 'london', 'score': 0.02}, {'token': 'other', 'score': 0.017}]","[{'token': 'previous', 'score': 0.349}, {'token': 'former', 'score': 0.121}, {'token': 'own', 'score': 0.072}, {'token': 'old', 'score': 0.066}, {'token': 'parliamentary', 'score': 0.05}, {'token': 'home', 'score': 0.019}, {'token': 'neighbouring', 'score': 0.017}, {'token': 'westminster', 'score': 0.014}, {'token': 'last', 'score': 0.012}, {'token': 'original', 'score': 0.009}]","[{'token': 'own', 'score': 0.103}, {'token': 'previous', 'score': 0.069}, {'token': 'former', 'score': 0.041}, {'token': 'london', 'score': 0.028}, {'token': 'old', 'score': 0.023}, {'token': 'westminster', 'score': 0.023}, {'token': 'home', 'score': 0.021}, {'token': 'parliamentary', 'score': 0.02}, {'token': 'derby', 'score': 0.02}, {'token': 'lancaster', 'score': 0.019}]","[{'token': 'previous', 'score': 0.262}, {'token': 'own', 'score': 0.107}, {'token': 'former', 'score': 0.051}, {'token': 'old', 'score': 0.027}, {'token': 'last', 'score': 0.024}, {'token': 'lancaster', 'score': 0.022}, {'token': 'london', 'score': 0.021}, {'token': 'home', 'score': 0.021}, {'token': 'parliamentary', 'score': 0.02}, {'token': 'westminster', 'score': 0.018}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]"
2,scotland,"[{'token': 'british', 'score': 0.165}, {'token': 'australian', 'score': 0.132}, {'token': 'scottish', 'score': 0.086}, {'token': 'english', 'score': 0.071}, {'token': 'welsh', 'score': 0.059}, {'token': 'american', 'score': 0.059}, {'token': 'canadian', 'score': 0.049}, {'token': 'irish', 'score': 0.04}, {'token': 'electronic', 'score': 0.027}, {'token': 'indie', 'score': 0.025}]","[{'token': 'london', 'score': 0.094}, {'token': 'liverpool', 'score': 0.037}, {'token': 'manchester', 'score': 0.035}, {'token': 'australia', 'score': 0.035}, {'token': 'brighton', 'score': 0.034}, {'token': 'scotland', 'score': 0.03}, {'token': 'england', 'score': 0.03}, {'token': 'glasgow', 'score': 0.026}, {'token': 'bristol', 'score': 0.025}, {'token': 'leeds', 'score': 0.024}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': 'london', 'score': 0.135}, {'token': 'england', 'score': 0.059}, {'token': 'australia', 'score': 0.039}, {'token': 'liverpool', 'score': 0.039}, {'token': 'manchester', 'score': 0.035}, {'token': 'scotland', 'score': 0.033}, {'token': 'wales', 'score': 0.023}, {'token': 'glasgow', 'score': 0.023}, {'token': 'brighton', 'score': 0.021}, {'token': 'ireland', 'score': 0.019}]","[{'token': 'london', 'score': 0.104}, {'token': 'liverpool', 'score': 0.104}, {'token': 'scotland', 'score': 0.048}, {'token': 'manchester', 'score': 0.043}, {'token': 'england', 'score': 0.043}, {'token': 'australia', 'score': 0.041}, {'token': 'bbc', 'score': 0.033}, {'token': 'uk', 'score': 0.026}, {'token': 'chicago', 'score': 0.024}, {'token': 'ireland', 'score': 0.019}]"
3,toronto,"[{'token': 'chicago', 'score': 0.15}, {'token': 'milwaukee', 'score': 0.086}, {'token': 'philadelphia', 'score': 0.065}, {'token': 'boston', 'score': 0.052}, {'token': 'america', 'score': 0.05}, {'token': 'pittsburgh', 'score': 0.04}, {'token': 'brooklyn', 'score': 0.04}, {'token': 'rochester', 'score': 0.037}, {'token': 'manhattan', 'score': 0.031}, {'token': 'broadway', 'score': 0.024}]","[{'token': 'town', 'score': 0.125}, {'token': 'springfield', 'score': 0.032}, {'token': 'chicago', 'score': 0.03}, {'token': 'philadelphia', 'score': 0.027}, {'token': 'rochester', 'score': 0.025}, {'token': 'hollywood', 'score': 0.025}, {'token': 'pittsburgh', 'score': 0.023}, {'token': 'manhattan', 'score': 0.02}, {'token': 'milwaukee', 'score': 0.015}, {'token': 'brooklyn', 'score': 0.014}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': 'chicago', 'score': 0.101}, {'token': 'philadelphia', 'score': 0.076}, {'token': 'nashville', 'score': 0.057}, {'token': 'california', 'score': 0.027}, {'token': 'pittsburgh', 'score': 0.025}, {'token': 'boston', 'score': 0.025}, {'token': 'hollywood', 'score': 0.022}, {'token': 'milwaukee', 'score': 0.021}, {'token': 'detroit', 'score': 0.02}, {'token': 'music', 'score': 0.015}]","[{'token': 'today', 'score': 0.249}, {'token': 'chicago', 'score': 0.09}, {'token': 'america', 'score': 0.06}, {'token': 'jazz', 'score': 0.037}, {'token': 'boston', 'score': 0.037}, {'token': 'israel', 'score': 0.023}, {'token': 'milwaukee', 'score': 0.023}, {'token': 'philadelphia', 'score': 0.021}, {'token': 'broadway', 'score': 0.02}, {'token': 'brooklyn', 'score': 0.016}]"
4,vienna,"[{'token': 'vienna', 'score': 0.938}, {'token': 'austria', 'score': 0.029}, {'token': 'munich', 'score': 0.012}, {'token': 'berlin', 'score': 0.006}, {'token': 'prague', 'score': 0.005}, {'token': 'bern', 'score': 0.002}, {'token': 'zurich', 'score': 0.001}, {'token': 'budapest', 'score': 0.001}, {'token': 'paris', 'score': 0.001}, {'token': 'cologne', 'score': 0.0}]","[{'token': 'vienna', 'score': 0.893}, {'token': 'austria', 'score': 0.026}, {'token': 'munich', 'score': 0.025}, {'token': 'berlin', 'score': 0.014}, {'token': 'prague', 'score': 0.013}, {'token': 'budapest', 'score': 0.008}, {'token': 'zurich', 'score': 0.003}, {'token': 'paris', 'score': 0.003}, {'token': 'frankfurt', 'score': 0.001}, {'token': 'bern', 'score': 0.001}]","[{'token': 'vienna', 'score': 0.826}, {'token': 'munich', 'score': 0.037}, {'token': 'austria', 'score': 0.034}, {'token': 'prague', 'score': 0.029}, {'token': 'berlin', 'score': 0.021}, {'token': 'budapest', 'score': 0.011}, {'token': 'paris', 'score': 0.005}, {'token': 'zurich', 'score': 0.004}, {'token': 'germany', 'score': 0.002}, {'token': 'frankfurt', 'score': 0.002}]","[{'token': 'vienna', 'score': 0.923}, {'token': 'austria', 'score': 0.029}, {'token': 'munich', 'score': 0.015}, {'token': 'prague', 'score': 0.01}, {'token': 'berlin', 'score': 0.006}, {'token': 'budapest', 'score': 0.004}, {'token': 'zurich', 'score': 0.002}, {'token': 'paris', 'score': 0.002}, {'token': 'bern', 'score': 0.001}, {'token': 'rome', 'score': 0.001}]","[{'token': 'vienna', 'score': 0.794}, {'token': 'munich', 'score': 0.046}, {'token': 'berlin', 'score': 0.035}, {'token': 'prague', 'score': 0.03}, {'token': 'austria', 'score': 0.029}, {'token': 'budapest', 'score': 0.015}, {'token': 'zurich', 'score': 0.007}, {'token': 'paris', 'score': 0.005}, {'token': 'germany', 'score': 0.003}, {'token': 'hamburg', 'score': 0.003}]"
5,paris,"[{'token': 'paris', 'score': 0.949}, {'token': 'lyon', 'score': 0.017}, {'token': 'france', 'score': 0.005}, {'token': 'brussels', 'score': 0.004}, {'token': 'nice', 'score': 0.003}, {'token': 'nancy', 'score': 0.003}, {'token': 'lyons', 'score': 0.002}, {'token': 'geneva', 'score': 0.002}, {'token': 'cannes', 'score': 0.002}, {'token': 'london', 'score': 0.001}]","[{'token': 'paris', 'score': 0.779}, {'token': 'lyon', 'score': 0.049}, {'token': 'france', 'score': 0.049}, {'token': 'brussels', 'score': 0.019}, {'token': 'geneva', 'score': 0.015}, {'token': 'nice', 'score': 0.008}, {'token': 'london', 'score': 0.004}, {'token': 'montreal', 'score': 0.003}, {'token': 'rome', 'score': 0.003}, {'token': 'luxembourg', 'score': 0.003}]","[{'token': 'paris', 'score': 0.786}, {'token': 'lyon', 'score': 0.059}, {'token': 'france', 'score': 0.044}, {'token': 'brussels', 'score': 0.018}, {'token': 'geneva', 'score': 0.011}, {'token': 'nice', 'score': 0.008}, {'token': 'brittany', 'score': 0.004}, {'token': 'nancy', 'score': 0.004}, {'token': 'london', 'score': 0.003}, {'token': 'rome', 'score': 0.003}]","[{'token': 'paris', 'score': 0.772}, {'token': 'french', 'score': 0.098}, {'token': 'france', 'score': 0.064}, {'token': 'california', 'score': 0.005}, {'token': 'london', 'score': 0.004}, {'token': 'nice', 'score': 0.004}, {'token': 'canadian', 'score': 0.003}, {'token': 'german', 'score': 0.002}, {'token': 'jewish', 'score': 0.002}, {'token': 'toronto', 'score': 0.002}]","[{'token': 'paris', 'score': 0.759}, {'token': 'here', 'score': 0.02}, {'token': ',', 'score': 0.013}, {'token': 'lyon', 'score': 0.012}, {'token': 'in', 'score': 0.011}, {'token': 'there', 'score': 0.01}, {'token': 'or', 'score': 0.01}, {'token': ',', 'score': 0.009}, {'token': 'france', 'score': 0.008}, {'token': 'claude', 'score': 0.008}]"
6,yokohama,"[{'token': 'tokyo', 'score': 0.652}, {'token': 'osaka', 'score': 0.187}, {'token': 'kyoto', 'score': 0.068}, {'token': 'japan', 'score': 0.041}, {'token': 'hiroshima', 'score': 0.03}, {'token': 'kobe', 'score': 0.015}, {'token': 'okinawa', 'score': 0.002}, {'token': 'fukushima', 'score': 0.001}, {'token': 'shanghai', 'score': 0.0}, {'token': 'chicago', 'score': 0.0}]","[{'token': 'tokyo', 'score': 0.712}, {'token': 'osaka', 'score': 0.156}, {'token': 'japan', 'score': 0.051}, {'token': 'kyoto', 'score': 0.036}, {'token': 'hiroshima', 'score': 0.022}, {'token': 'kobe', 'score': 0.01}, {'token': 'okinawa', 'score': 0.003}, {'token': 'london', 'score': 0.001}, {'token': 'fukushima', 'score': 0.001}, {'token': 'shanghai', 'score': 0.0}]","[{'token': 'tokyo', 'score': 0.579}, {'token': 'osaka', 'score': 0.151}, {'token': 'japan', 'score': 0.116}, {'token': 'kyoto', 'score': 0.052}, {'token': 'hiroshima', 'score': 0.034}, {'token': 'seoul', 'score': 0.013}, {'token': 'kobe', 'score': 0.013}, {'token': 'okinawa', 'score': 0.007}, {'token': 'korea', 'score': 0.002}, {'token': 'taiwan', 'score': 0.002}]","[{'token': 'tokyo', 'score': 0.712}, {'token': 'osaka', 'score': 0.161}, {'token': 'japan', 'score': 0.044}, {'token': 'kyoto', 'score': 0.038}, {'token': 'hiroshima', 'score': 0.022}, {'token': 'kobe', 'score': 0.01}, {'token': 'okinawa', 'score': 0.003}, {'token': 'london', 'score': 0.001}, {'token': 'fukushima', 'score': 0.0}, {'token': 'shanghai', 'score': 0.0}]","[{'token': 'tokyo', 'score': 0.696}, {'token': 'osaka', 'score': 0.162}, {'token': 'japan', 'score': 0.05}, {'token': 'kyoto', 'score': 0.042}, {'token': 'hiroshima', 'score': 0.023}, {'token': 'kobe', 'score': 0.015}, {'token': 'okinawa', 'score': 0.003}, {'token': 'fukushima', 'score': 0.001}, {'token': 'shanghai', 'score': 0.0}, {'token': 'london', 'score': 0.0}]"
7,antwerp,"[{'token': 'amsterdam', 'score': 0.228}, {'token': 'holland', 'score': 0.067}, {'token': 'thursday', 'score': 0.048}, {'token': 'wednesday', 'score': 0.048}, {'token': 'died', 'score': 0.036}, {'token': 'brussels', 'score': 0.035}, {'token': 'cologne', 'score': 0.033}, {'token': 'paris', 'score': 0.029}, {'token': 'london', 'score': 0.021}, {'token': 'friday', 'score': 0.018}]","[{'token': 'england', 'score': 0.185}, {'token': 'france', 'score': 0.135}, {'token': 'europe', 'score': 0.092}, {'token': 'spain', 'score': 0.079}, {'token': 'holland', 'score': 0.067}, {'token': 'germany', 'score': 0.041}, {'token': 'ireland', 'score': 0.035}, {'token': 'amsterdam', 'score': 0.028}, {'token': 'denmark', 'score': 0.027}, {'token': 'italy', 'score': 0.025}]","[{'token': 'holland', 'score': 0.39}, {'token': 'england', 'score': 0.137}, {'token': 'france', 'score': 0.091}, {'token': 'amsterdam', 'score': 0.045}, {'token': 'germany', 'score': 0.031}, {'token': 'denmark', 'score': 0.025}, {'token': 'belgium', 'score': 0.024}, {'token': 'spain', 'score': 0.024}, {'token': 'brussels', 'score': 0.02}, {'token': 'europe', 'score': 0.02}]","[{'token': 'particular', 'score': 0.187}, {'token': 'england', 'score': 0.116}, {'token': 'holland', 'score': 0.097}, {'token': 'france', 'score': 0.043}, {'token': 'law', 'score': 0.037}, {'token': 'brussels', 'score': 0.035}, {'token': 'fact', 'score': 0.03}, {'token': 'addition', 'score': 0.02}, {'token': 'belgium', 'score': 0.019}, {'token': 'brittany', 'score': 0.018}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]"
8,barcelona,"[{'token': 'spain', 'score': 0.347}, {'token': 'madrid', 'score': 0.323}, {'token': 'barcelona', 'score': 0.145}, {'token': 'valencia', 'score': 0.036}, {'token': 'portugal', 'score': 0.014}, {'token': 'catalonia', 'score': 0.011}, {'token': 'gibraltar', 'score': 0.01}, {'token': 'lisbon', 'score': 0.007}, {'token': 'paris', 'score': 0.006}, {'token': 'cuba', 'score': 0.005}]","[{'token': '1888', 'score': 0.051}, {'token': '1890', 'score': 0.043}, {'token': '1889', 'score': 0.042}, {'token': '1880', 'score': 0.04}, {'token': '1870', 'score': 0.036}, {'token': '1886', 'score': 0.031}, {'token': '1898', 'score': 0.03}, {'token': '1899', 'score': 0.029}, {'token': '1900', 'score': 0.028}, {'token': '1850', 'score': 0.027}]","[{'token': 'india', 'score': 0.998}, {'token': 'maharashtra', 'score': 0.001}, {'token': 'bombay', 'score': 0.001}, {'token': 'india', 'score': 0.0}, {'token': 'indian', 'score': 0.0}, {'token': 'gujarat', 'score': 0.0}, {'token': 'pakistan', 'score': 0.0}, {'token': 'indians', 'score': 0.0}, {'token': 'ind', 'score': 0.0}, {'token': 'mumbai', 'score': 0.0}]","[{'token': 'barcelona', 'score': 0.212}, {'token': 'london', 'score': 0.159}, {'token': 'spain', 'score': 0.108}, {'token': 'paris', 'score': 0.061}, {'token': 'madrid', 'score': 0.049}, {'token': 'rome', 'score': 0.034}, {'token': 'lisbon', 'score': 0.02}, {'token': 'england', 'score': 0.02}, {'token': 'bombay', 'score': 0.017}, {'token': 'india', 'score': 0.016}]","[{'token': 'spain', 'score': 0.725}, {'token': 'europe', 'score': 0.045}, {'token': 'madrid', 'score': 0.037}, {'token': 'france', 'score': 0.025}, {'token': 'rome', 'score': 0.02}, {'token': 'barcelona', 'score': 0.018}, {'token': 'paris', 'score': 0.014}, {'token': 'italy', 'score': 0.009}, {'token': 'cuba', 'score': 0.008}, {'token': 'mexico', 'score': 0.007}]"
9,rome,"[{'token': 'milan', 'score': 0.575}, {'token': 'rome', 'score': 0.241}, {'token': 'naples', 'score': 0.083}, {'token': 'florence', 'score': 0.037}, {'token': 'venice', 'score': 0.021}, {'token': 'roma', 'score': 0.015}, {'token': 'italy', 'score': 0.005}, {'token': 'sicily', 'score': 0.004}, {'token': 'juventus', 'score': 0.003}, {'token': 'madrid', 'score': 0.001}]","[{'token': 'milan', 'score': 0.424}, {'token': 'rome', 'score': 0.378}, {'token': 'naples', 'score': 0.062}, {'token': 'florence', 'score': 0.032}, {'token': 'italy', 'score': 0.027}, {'token': 'venice', 'score': 0.014}, {'token': 'madrid', 'score': 0.005}, {'token': 'barcelona', 'score': 0.004}, {'token': 'sicily', 'score': 0.004}, {'token': 'roma', 'score': 0.004}]","[{'token': 'milan', 'score': 0.455}, {'token': 'rome', 'score': 0.359}, {'token': 'naples', 'score': 0.051}, {'token': 'florence', 'score': 0.033}, {'token': 'italy', 'score': 0.024}, {'token': 'venice', 'score': 0.015}, {'token': 'sicily', 'score': 0.005}, {'token': 'madrid', 'score': 0.005}, {'token': 'barcelona', 'score': 0.004}, {'token': 'roma', 'score': 0.004}]","[{'token': 'milan', 'score': 0.475}, {'token': 'rome', 'score': 0.35}, {'token': 'naples', 'score': 0.065}, {'token': 'florence', 'score': 0.041}, {'token': 'italy', 'score': 0.02}, {'token': 'venice', 'score': 0.018}, {'token': 'roma', 'score': 0.005}, {'token': 'sicily', 'score': 0.004}, {'token': 'madrid', 'score': 0.002}, {'token': 'juventus', 'score': 0.001}]","[{'token': 'milan', 'score': 0.425}, {'token': 'rome', 'score': 0.36}, {'token': 'naples', 'score': 0.059}, {'token': 'italy', 'score': 0.055}, {'token': 'florence', 'score': 0.032}, {'token': 'venice', 'score': 0.012}, {'token': 'sicily', 'score': 0.005}, {'token': 'roma', 'score': 0.004}, {'token': 'barcelona', 'score': 0.003}, {'token': 'madrid', 'score': 0.003}]"
10,guangzhou,"[{'token': 'shanghai', 'score': 0.466}, {'token': 'beijing', 'score': 0.321}, {'token': 'nan', 'score': 0.039}, {'token': 'guang', 'score': 0.022}, {'token': 'lu', 'score': 0.014}, {'token': 'dong', 'score': 0.013}, {'token': 'bo', 'score': 0.01}, {'token': 'qi', 'score': 0.009}, {'token': 'chong', 'score': 0.006}, {'token': 'gan', 'score': 0.004}]","[{'token': 'shanghai', 'score': 0.17}, {'token': 'beijing', 'score': 0.161}, {'token': 'nan', 'score': 0.047}, {'token': 'gan', 'score': 0.032}, {'token': 'ning', 'score': 0.031}, {'token': 'yao', 'score': 0.025}, {'token': 'ding', 'score': 0.022}, {'token': 'ping', 'score': 0.02}, {'token': 'qi', 'score': 0.019}, {'token': 'dong', 'score': 0.018}]","[{'token': 'shanghai', 'score': 0.174}, {'token': 'beijing', 'score': 0.14}, {'token': 'nan', 'score': 0.048}, {'token': 'ning', 'score': 0.039}, {'token': 'ping', 'score': 0.027}, {'token': 'gan', 'score': 0.026}, {'token': 'yao', 'score': 0.024}, {'token': 'dong', 'score': 0.021}, {'token': 'wu', 'score': 0.018}, {'token': 'ding', 'score': 0.017}]","[{'token': 'beijing', 'score': 0.246}, {'token': 'shanghai', 'score': 0.16}, {'token': 'gan', 'score': 0.04}, {'token': 'dong', 'score': 0.035}, {'token': 'ning', 'score': 0.029}, {'token': 'nan', 'score': 0.029}, {'token': 'ding', 'score': 0.019}, {'token': 'chong', 'score': 0.019}, {'token': 'yao', 'score': 0.017}, {'token': 'yang', 'score': 0.016}]","[{'token': 'singapore', 'score': 0.191}, {'token': 'china', 'score': 0.147}, {'token': 'shanghai', 'score': 0.125}, {'token': 'taiwan', 'score': 0.093}, {'token': 'beijing', 'score': 0.073}, {'token': 'london', 'score': 0.063}, {'token': 'england', 'score': 0.03}, {'token': 'malaysia', 'score': 0.03}, {'token': 'canada', 'score': 0.018}, {'token': 'japan', 'score': 0.015}]"
