,answers,original,t5_0,t5_1,t5_2,t5_3
0,urdu,"[{'token': 'english', 'score': 0.134}, {'token': 'pakistan', 'score': 0.121}, {'token': 'indian', 'score': 0.08}, {'token': 'also', 'score': 0.045}, {'token': 'pakistani', 'score': 0.045}, {'token': 'arab', 'score': 0.034}, {'token': 'ani', 'score': 0.03}, {'token': 'ak', 'score': 0.027}, {'token': 'russian', 'score': 0.02}, {'token': 'arabic', 'score': 0.018}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]"
1,italian,"[{'token': 'italian', 'score': 0.527}, {'token': 'austrian', 'score': 0.455}, {'token': 'argentine', 'score': 0.008}, {'token': 'australian', 'score': 0.003}, {'token': 'american', 'score': 0.002}, {'token': 'english', 'score': 0.001}, {'token': 'indonesian', 'score': 0.001}, {'token': 'irish', 'score': 0.001}, {'token': 'indian', 'score': 0.0}, {'token': 'israeli', 'score': 0.0}]","[{'token': 'austrian', 'score': 0.303}, {'token': 'italian', 'score': 0.226}, {'token': 'entrepreneur', 'score': 0.143}, {'token': 'engineer', 'score': 0.118}, {'token': 'athlete', 'score': 0.057}, {'token': 'american', 'score': 0.035}, {'token': 'actor', 'score': 0.014}, {'token': 'argentine', 'score': 0.011}, {'token': 'artist', 'score': 0.008}, {'token': 'economist', 'score': 0.007}]","[{'token': 'austrian', 'score': 0.398}, {'token': 'italian', 'score': 0.353}, {'token': 'engineer', 'score': 0.056}, {'token': 'american', 'score': 0.054}, {'token': 'athlete', 'score': 0.042}, {'token': 'entrepreneur', 'score': 0.016}, {'token': 'argentine', 'score': 0.015}, {'token': 'australian', 'score': 0.009}, {'token': 'amateur', 'score': 0.006}, {'token': 'artist', 'score': 0.004}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]"
2,finnish,"[{'token': 'finnish', 'score': 0.997}, {'token': 'swedish', 'score': 0.003}, {'token': 'norwegian', 'score': 0.0}, {'token': 'finn', 'score': 0.0}, {'token': 'danish', 'score': 0.0}, {'token': 'dutch', 'score': 0.0}, {'token': 'baltic', 'score': 0.0}, {'token': 'finland', 'score': 0.0}, {'token': 'german', 'score': 0.0}, {'token': 'helsinki', 'score': 0.0}]","[{'token': 'finnish', 'score': 0.959}, {'token': 'swedish', 'score': 0.015}, {'token': 'former', 'score': 0.007}, {'token': 'prominent', 'score': 0.002}, {'token': 'norwegian', 'score': 0.002}, {'token': 'local', 'score': 0.001}, {'token': 'notable', 'score': 0.001}, {'token': 'baltic', 'score': 0.001}, {'token': 'noted', 'score': 0.001}, {'token': 'popular', 'score': 0.0}]","[{'token': 'finnish', 'score': 0.265}, {'token': 'dairy', 'score': 0.064}, {'token': 'former', 'score': 0.059}, {'token': 'fish', 'score': 0.036}, {'token': 'rice', 'score': 0.02}, {'token': 'peasant', 'score': 0.017}, {'token': 'successful', 'score': 0.017}, {'token': 'cattle', 'score': 0.016}, {'token': 'swedish', 'score': 0.016}, {'token': 'wheat', 'score': 0.015}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]"
3,spanish,"[{'token': 'spanish', 'score': 0.987}, {'token': 'english', 'score': 0.004}, {'token': 'indigenous', 'score': 0.002}, {'token': 'portuguese', 'score': 0.002}, {'token': 'mexican', 'score': 0.001}, {'token': 'maya', 'score': 0.001}, {'token': 'native', 'score': 0.001}, {'token': 'latin', 'score': 0.001}, {'token': 'hispanic', 'score': 0.0}, {'token': 'colombian', 'score': 0.0}]","[{'token': 'spanish', 'score': 0.978}, {'token': 'english', 'score': 0.007}, {'token': 'indigenous', 'score': 0.004}, {'token': 'portuguese', 'score': 0.004}, {'token': 'maya', 'score': 0.002}, {'token': 'native', 'score': 0.001}, {'token': 'mexican', 'score': 0.001}, {'token': 'latin', 'score': 0.0}, {'token': 'colombian', 'score': 0.0}, {'token': 'hispanic', 'score': 0.0}]","[{'token': 'spanish', 'score': 0.974}, {'token': 'maya', 'score': 0.008}, {'token': 'indigenous', 'score': 0.005}, {'token': 'english', 'score': 0.004}, {'token': 'mexican', 'score': 0.002}, {'token': 'native', 'score': 0.001}, {'token': 'hispanic', 'score': 0.001}, {'token': 'latin', 'score': 0.001}, {'token': 'portuguese', 'score': 0.001}, {'token': 'carib', 'score': 0.0}]","[{'token': 'spanish', 'score': 0.978}, {'token': 'latin', 'score': 0.003}, {'token': 'portuguese', 'score': 0.003}, {'token': 'english', 'score': 0.003}, {'token': 'indigenous', 'score': 0.002}, {'token': 'mexican', 'score': 0.002}, {'token': 'maya', 'score': 0.002}, {'token': 'hispanic', 'score': 0.002}, {'token': 'native', 'score': 0.002}, {'token': 'carib', 'score': 0.001}]","[{'token': 'spanish', 'score': 0.979}, {'token': 'english', 'score': 0.005}, {'token': 'indigenous', 'score': 0.003}, {'token': 'mexican', 'score': 0.003}, {'token': 'native', 'score': 0.002}, {'token': 'latin', 'score': 0.002}, {'token': 'maya', 'score': 0.002}, {'token': 'portuguese', 'score': 0.001}, {'token': 'hispanic', 'score': 0.001}, {'token': 'colombian', 'score': 0.0}]"
4,french,"[{'token': 'french', 'score': 0.984}, {'token': 'english', 'score': 0.002}, {'token': 'spanish', 'score': 0.002}, {'token': 'dutch', 'score': 0.002}, {'token': 'french', 'score': 0.001}, {'token': 're', 'score': 0.001}, {'token': 'italian', 'score': 0.001}, {'token': 'also', 'score': 0.001}, {'token': 'latin', 'score': 0.001}, {'token': 'fr', 'score': 0.001}]","[{'token': 'french', 'score': 0.998}, {'token': 'dutch', 'score': 0.001}, {'token': 'british', 'score': 0.001}, {'token': 'france', 'score': 0.0}, {'token': 'eastern', 'score': 0.0}, {'token': 'french', 'score': 0.0}, {'token': 'japanese', 'score': 0.0}, {'token': 'european', 'score': 0.0}, {'token': 'western', 'score': 0.0}, {'token': 'german', 'score': 0.0}]","[{'token': 'french', 'score': 0.999}, {'token': 'dutch', 'score': 0.0}, {'token': 'british', 'score': 0.0}, {'token': 'japanese', 'score': 0.0}, {'token': 'south', 'score': 0.0}, {'token': 'german', 'score': 0.0}, {'token': 'english', 'score': 0.0}, {'token': 'french', 'score': 0.0}, {'token': 'danish', 'score': 0.0}, {'token': 'us', 'score': 0.0}]","[{'token': 'french', 'score': 0.999}, {'token': 'british', 'score': 0.0}, {'token': 'dutch', 'score': 0.0}, {'token': 'japanese', 'score': 0.0}, {'token': 'south', 'score': 0.0}, {'token': 'english', 'score': 0.0}, {'token': 'german', 'score': 0.0}, {'token': 'north', 'score': 0.0}, {'token': 'us', 'score': 0.0}, {'token': 'west', 'score': 0.0}]","[{'token': 'french', 'score': 0.997}, {'token': 'dutch', 'score': 0.001}, {'token': 'british', 'score': 0.0}, {'token': 'france', 'score': 0.0}, {'token': 'eastern', 'score': 0.0}, {'token': 'french', 'score': 0.0}, {'token': 'south', 'score': 0.0}, {'token': 'japanese', 'score': 0.0}, {'token': 'spanish', 'score': 0.0}, {'token': 'english', 'score': 0.0}]"
5,finnish,"[{'token': 'finnish', 'score': 0.997}, {'token': 'finn', 'score': 0.001}, {'token': 'swedish', 'score': 0.001}, {'token': 'finland', 'score': 0.0}, {'token': 'professional', 'score': 0.0}, {'token': 'estonia', 'score': 0.0}, {'token': 'male', 'score': 0.0}, {'token': 'indian', 'score': 0.0}, {'token': 'norwegian', 'score': 0.0}, {'token': 'italian', 'score': 0.0}]","[{'token': 'finnish', 'score': 0.742}, {'token': 'former', 'score': 0.058}, {'token': 'second', 'score': 0.032}, {'token': 'local', 'score': 0.019}, {'token': 'fellow', 'score': 0.014}, {'token': 'finn', 'score': 0.01}, {'token': 'third', 'score': 0.008}, {'token': 'swedish', 'score': 0.007}, {'token': 'male', 'score': 0.005}, {'token': 'female', 'score': 0.004}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': 'former', 'score': 0.256}, {'token': 'italian', 'score': 0.206}, {'token': 'the', 'score': 0.195}, {'token': 'finnish', 'score': 0.068}, {'token': 'russian', 'score': 0.057}, {'token': 'professional', 'score': 0.027}, {'token': 'indian', 'score': 0.026}, {'token': 'european', 'score': 0.013}, {'token': 'german', 'score': 0.011}, {'token': 'american', 'score': 0.01}]","[{'token': 'finnish', 'score': 0.927}, {'token': 'finland', 'score': 0.051}, {'token': 'senior', 'score': 0.007}, {'token': 'finn', 'score': 0.002}, {'token': 'swedish', 'score': 0.001}, {'token': 'junior', 'score': 0.001}, {'token': 'national', 'score': 0.001}, {'token': 'russian', 'score': 0.001}, {'token': 'male', 'score': 0.001}, {'token': 'estonia', 'score': 0.0}]"
6,malay,"[{'token': 'dutch', 'score': 0.53}, {'token': 'indonesian', 'score': 0.131}, {'token': 'arab', 'score': 0.065}, {'token': 'muslim', 'score': 0.051}, {'token': 'english', 'score': 0.04}, {'token': 'turkish', 'score': 0.017}, {'token': 'islamic', 'score': 0.015}, {'token': 'spanish', 'score': 0.013}, {'token': 'chinese', 'score': 0.012}, {'token': 'ak', 'score': 0.009}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]"
7,urdu,"[{'token': 'arabic', 'score': 0.855}, {'token': 'tamil', 'score': 0.05}, {'token': 'english', 'score': 0.042}, {'token': 'persian', 'score': 0.016}, {'token': 'hindi', 'score': 0.008}, {'token': 'sanskrit', 'score': 0.005}, {'token': 'russian', 'score': 0.003}, {'token': 'ur', 'score': 0.002}, {'token': 'muslim', 'score': 0.002}, {'token': 'ipa', 'score': 0.001}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]","[{'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}, {'token': '___', 'score': 0.0}]"
8,finnish,"[{'token': 'finnish', 'score': 0.964}, {'token': 'norwegian', 'score': 0.025}, {'token': 'russian', 'score': 0.002}, {'token': 'swedish', 'score': 0.002}, {'token': 'english', 'score': 0.002}, {'token': 'finn', 'score': 0.001}, {'token': 'dutch', 'score': 0.001}, {'token': 'german', 'score': 0.0}, {'token': 'danish', 'score': 0.0}, {'token': 'helsinki', 'score': 0.0}]","[{'token': 'swedish', 'score': 0.854}, {'token': 'english', 'score': 0.041}, {'token': 'norwegian', 'score': 0.03}, {'token': 'scandinavian', 'score': 0.017}, {'token': 'german', 'score': 0.01}, {'token': 'russian', 'score': 0.008}, {'token': 'japanese', 'score': 0.005}, {'token': 'danish', 'score': 0.004}, {'token': 'dutch', 'score': 0.003}, {'token': 'arabic', 'score': 0.003}]","[{'token': 'north', 'score': 0.198}, {'token': 'east', 'score': 0.194}, {'token': 'south', 'score': 0.109}, {'token': 'baltic', 'score': 0.081}, {'token': 'area', 'score': 0.064}, {'token': 'region', 'score': 0.057}, {'token': 'west', 'score': 0.046}, {'token': 'areas', 'score': 0.027}, {'token': 'northeast', 'score': 0.016}, {'token': 'territories', 'score': 0.015}]","[{'token': 'swedish', 'score': 0.859}, {'token': 'english', 'score': 0.052}, {'token': 'norwegian', 'score': 0.036}, {'token': 'german', 'score': 0.009}, {'token': 'russian', 'score': 0.008}, {'token': 'scandinavian', 'score': 0.007}, {'token': 'japanese', 'score': 0.004}, {'token': 'danish', 'score': 0.004}, {'token': 'dutch', 'score': 0.002}, {'token': 'french', 'score': 0.002}]","[{'token': 'finnish', 'score': 0.324}, {'token': 'english', 'score': 0.13}, {'token': 'romanian', 'score': 0.108}, {'token': 'swedish', 'score': 0.079}, {'token': 'estonia', 'score': 0.057}, {'token': 'russian', 'score': 0.055}, {'token': 'finland', 'score': 0.037}, {'token': 'german', 'score': 0.034}, {'token': 'french', 'score': 0.029}, {'token': 'sweden', 'score': 0.012}]"
9,french,"[{'token': 'the', 'score': 0.567}, {'token': 'english', 'score': 0.109}, {'token': 'french', 'score': 0.107}, {'token': 'dutch', 'score': 0.065}, {'token': 'spanish', 'score': 0.042}, {'token': 'german', 'score': 0.012}, {'token': 'belgian', 'score': 0.009}, {'token': 'french', 'score': 0.006}, {'token': 'arabic', 'score': 0.004}, {'token': 'a', 'score': 0.004}]","[{'token': 'french', 'score': 0.764}, {'token': 'spanish', 'score': 0.152}, {'token': 'portuguese', 'score': 0.019}, {'token': 'german', 'score': 0.014}, {'token': 'catalan', 'score': 0.008}, {'token': 'dutch', 'score': 0.006}, {'token': 'french', 'score': 0.006}, {'token': 'english', 'score': 0.006}, {'token': 'latin', 'score': 0.001}, {'token': 'turkish', 'score': 0.001}]","[{'token': 'french', 'score': 0.734}, {'token': 'spanish', 'score': 0.184}, {'token': 'german', 'score': 0.017}, {'token': 'portuguese', 'score': 0.016}, {'token': 'catalan', 'score': 0.006}, {'token': 'french', 'score': 0.005}, {'token': 'dutch', 'score': 0.005}, {'token': 'english', 'score': 0.005}, {'token': 'latin', 'score': 0.002}, {'token': 'russian', 'score': 0.002}]","[{'token': 'french', 'score': 0.718}, {'token': 'spanish', 'score': 0.137}, {'token': 'german', 'score': 0.04}, {'token': 'dutch', 'score': 0.026}, {'token': 'english', 'score': 0.013}, {'token': 'catalan', 'score': 0.011}, {'token': 'french', 'score': 0.007}, {'token': 'portuguese', 'score': 0.005}, {'token': 'rap', 'score': 0.004}, {'token': 'welsh', 'score': 0.003}]","[{'token': 'french', 'score': 0.81}, {'token': 'spanish', 'score': 0.085}, {'token': 'german', 'score': 0.03}, {'token': 'dutch', 'score': 0.016}, {'token': 'catalan', 'score': 0.012}, {'token': 'french', 'score': 0.009}, {'token': 'english', 'score': 0.005}, {'token': 'portuguese', 'score': 0.003}, {'token': 'rap', 'score': 0.002}, {'token': 'welsh', 'score': 0.002}]"
